[00:00.000] 5号张晓军在
[12:00.680] 双红线的职责，
[12:02.380] 从这种折磨一下它的质感是非常好。
[12:12.820] 其实你像我前天
[12:14.870] 成天卖那个车，他公司的跟他派人买，就是说
[12:19.340] 他说选他为什么像您说的司机，他对你
[12:22.950] 跟他为什么
[12:24.260] 我觉得
[12:25.490] 邱亚也算是一定的。
[12:27.530] 咱家房子漂亮里面装修是不是也抄下去？
[12:30.360] 因为毕竟来说咱是长期在你的存货，这是咱们自己的享受跟品位的一个体现。
[12:36.830] 这款车做的可以说是非常的精致，有高级感，
[12:41.020] 严禁公职。
[12:42.460] 还有一个特别好的亮点，就是头5号梅赛德斯E
[12:45.880] SOS，包括蜜饯服务件，这是个一站式交互平台，几乎车上所有问题都可以帮您解决。
[12:52.310] 以前可能出问题了，不知道找谁了，现在就联系。
[12:56.090] 他到底解决方案其实就是重点就行。
[12:58.710] 包括手机这些APP，
[13:00.510] 远程的结合火车，
[13:02.410] 包括远程的启动都可以
[13:05.200] 大大提升咱们驾驶的一个便捷性。
[13:09.510] 这功能你觉得怎么样？
[13:16.530] 然后车门因为增加了它的运动性吗？
[13:19.760] 说明我们玻璃水瓶化的设计
[13:23.360] 很有时尚感，
[13:25.520] 包括它的后排，
[13:27.120] 虽然是两门，但是
[13:28.680] 4座。
[13:29.490] 所以说实用性上也能保证
[13:31.750] 美观跟实用相结合。
[13:34.440] 后备箱在你看一眼，
[13:36.230] 快一点。
[13:39.270] 来讲，
[13:56.550] 它的很大一个亮点，还有它的后备箱，
[13:59.750] 后备厢的纵深是很大的，
[14:01.900] 空间很好，
[14:03.100] 而且后排座椅可以看到，
[14:05.080] 这事也不干。
[14:06.450] 因为咱们家用
[14:08.000] 咱也是有个干干净净的，稍长一点大一点的。
[14:11.310] 有时候喜欢高尔夫，
[14:13.410] 破者滑雪，
[14:14.730] 你可以把它放到
[14:16.040] 这个空间可以扩展的很大，这是很多一个轿车或者轿跑车做不到的，
[14:21.950] 非常的
[14:23.900] 点，下面的话还有一个隐藏的从空间
[14:27.410] 您可以放一点有冲劲的，
[14:29.770] 不想万一小件的东西，
[14:32.670] 这款车真的是实用性跟有关。
[14:37.370] 这个设计你觉得怎么样？
[14:41.950] 资料给您做了一个介绍。
[14:44.100] 您觉得还满意吗？
[14:45.890] 或者还有什么有疑问的吗？
[14:50.600] 争取上市。
[14:51.630] 比较满意还是不错的。
[14:54.670] 然后这个车型因为没有试驾车，没法带你体验试驾，正常我们会邀请市场增加，
[15:01.940] 然后那想要具体哪款车型，我可以帮您查一下库存，给您做一报价。
[15:07.960] 实际上现在来说能够买真的是性价比非常高的时候，
[15:12.400] 不光奔驰也好，宝马也罢，
[15:14.990] 运行期间优惠力度也大，
[15:17.080] 而且其实
[15:18.260] 商家也好，店里头也会考虑到，你像这个时候能来看车的客户，肯定是说实在的对这个车是真的是喜欢或者认可。
[15:28.040] 另外
[15:31.720] 或者看一下这价格
[15:36.150] 哪款车型让您觉得满意？
[15:38.920] 合适一点？
[15:42.920] 咱这边行。
[15:47.410] 两种200。
[15:49.160] 就200。
[15:51.630] 想在这边行了。
[15:56.240] 我帮你查一下我觉得
[15:57.670] 了
[15:58.630] 他这个车型的价格的话，
[16:01.040] 就根据信托的
[16:02.760] 如果说没有现车的话，就定车不定价，
[16:05.680] 按照当初的价格，
[16:23.750] 您瞧那小
[16:31.920] 我们厂WiFi有什么车？
[17:00.760] C300苦配没有车，
[17:03.810] 然后26
[17:08.700] 2604驱也没有。
[17:13.370] 只有200还有260户，
[17:18.910] 用220 60口碑了。
[17:21.680] 这两款的报价，
[17:24.860] 这两款我给您。
[17:26.450] 200是不是差异有点
[17:29.170] 有点多了。
[17:30.510] 是有点。
[17:31.570] 260接近一点。
[17:34.070] 我给您算1260的，您看一下考虑分期购车吗您？
[17:39.310] 不是很考虑，一方面
[17:41.440] 厂家现在有低息，其实还挺合适的，
[17:44.420] 也是没有现车是计划里的，
[17:47.720] 有计划从204驱，还有300人计划都没有，订车周期的话大概在半年左右。
[17:55.230] 我给您打一报价单您看一下好吧？
[17:57.790] 如果
[18:00.280] 如果是贷款的话，它的
[18:03.230] 利息是多少？
[18:04.480] 我给您算一下，现在的因为它季度性政策也是三个月一变，
[18:09.090] 今年算
[18:12.110] 的。
[18:25.240] 出来
[18:26.230] 总共3。
[19:03.670] 然后没有什么金融偏好吗？他有两种方式，主要现在每个月连本带利还的。
[19:09.010] 然后尾款的话没有，还有一种的话每个月只还利息，到期之后的话一次性还尾款，
[19:15.510] 中间的话资金可以完成使用。
[19:18.840] 其实关键是利率多少，如果利率足够低的话，
[19:24.490] 是希望利率低一些的，包括什么服务费，
[19:29.420] 奔驰没有金融服务费，您可以放心。
[19:32.680] 我给您算一下调利率低的是吧？
[19:35.810] 因为我这边资金不是说
[19:40.190] 一定要再
[19:41.360] 明白。
[19:43.480] 其实现在
[19:45.030] 接触到很多客户，
[19:48.270] 很多实际上资金越充裕的，
[19:50.770] 他不愿意把钱都放在车上，
[19:53.130] 为什么？因为咱们都知道银行咱不说民间借贷了，银行商业贷款相对来说也比较高，
[19:59.430] 但是汽车贷款会非常低，
[20:01.340] 而且奔驰是没有手续费的，
[20:04.260] 所以说性价比来说很高。
[20:06.680] 因为有些
[20:08.610] 孩子他算上服务费，它反而就
[20:12.040] 对比银行的这种商业贷款的还高了，对。
[20:15.320] 所以说
[20:17.300] 对这个
[20:18.970] 我给您算好了，到时您看一下，您对比一下。
[21:10.350] 您那跑车是旧车直接转给外地是吧？
[21:15.040] 是亲戚。
[21:16.030] 那就不涉及置换了，因为置换的话，实际上厂家还有一个
[21:20.110] 还有一个补贴，
[22:34.640] 您看我是按两年还是三年给您算。
[22:40.680] 先生您看怎么方便您这边？
[22:44.850] 如果是两年
[22:47.910] 两年的
[22:50.690] 首付30%给您算，
[22:57.920] 完了我给您先按算比例套，你要有需要调整，咱们可以在可以调整。
[24:33.080] 再给您报价之前的话，先给您介绍一下奔驰的服务公约，
[24:36.930] 客户为尊相待，诚信经营、合法得体，明码标价、公开透明、配件渠道、信息模式，
[24:42.340] 绝不捆绑销售，强制消费，全部使用假假一次充。好，下面会有400818188服务监督电话，
[24:48.570] 奔驰是第一家不收取金融服务费的品牌，您可以放心购买。
[24:53.080] 咱们的车辆价格包括衍生产品价格都是明码标价公示牌的。
[24:58.180] 咱们
[24:59.060] 楼下的公示牌我带您看一眼。
[25:03.300] 那个牌子对不是牌子那个。
[25:06.110] 看过了，不小的你看了。
[25:08.770] 行，然后报价单的话都是全国统一报价单，我给您介绍一下。
[25:14.460] 车辆公示价格向这C2604两驱版的公式价是380,800，
[25:21.750] 然后优惠完的话现在是342,800，
[25:25.900] 购置税多退少补，跟原来买车一样，以国家实际征收为准，车价除以11.3是
[25:33.130] 现在还有一个活动，
[25:34.910] 是买13,800的精品装饰礼包，但
[25:38.580] 报价包括库存都是实效当天的。
[25:41.380] 您实际购车当时为准，
[25:44.020] 应该还会有变动的。
[25:45.580] 现在的活动是有13,800的经济装置，包括送4000的商业险，
[25:50.010] 然后验车上牌包括在临时牌照是2500，
[25:52.900] 只有验车当天您那边吹人开车就行了，
[25:56.280] 剩下的由我们来办。
[25:59.030] 保险给您估算的，全险的话大概13,000左右，也就是说您首付合计的话差不多40万，
[26:05.730] 实际上不到，因为还送您4000的商业险，
[26:08.710] 大概也就是39万多。
[26:10.460] 39万多。
[26:11.520] 如果分期的话，首付30%，
[26:14.580] 70%，
[26:16.270] 利率是3.72，这是非常低的，10万块钱一年给人3.72，
[26:21.620] 为什么说现在而且没有手续费你可以放心，
[26:25.730] 然后每月还款大概是10,742，
[26:28.670] 首付合计大概162,000。
[26:30.910] 车辆
[26:31.910] 开走了，
[26:32.990] 其实这种的话更符合现在的资金使用规律。
[26:38.430] 这个工作膨胀，咱们电视上都说
[26:42.180] 美国印钱全世界买单，这钱确实越来越忙了
[26:45.840] 了，而且年轻人都知道，咱们现在必然得攒信用记录，
[26:49.800] 以后无论您是做生意也好，买房购车其它的这些大的这种支出，
[26:54.870] 他信用记录是很重要的，就是你有这个条件，您还是可以做。
[26:59.820] 好多北京建指标它想都做不了。
[27:04.660] 就说现在来说性价比这款车型还真的是非常划算的，
[27:08.590] 也没有现车能要的话也得定。
[27:11.750] 这价格上还有什么有疑问的吗？不清楚的。
[27:15.570] 装饰
[27:17.950] 它包括了微步的全车贴膜，
[27:21.720] 前后风挡4门车窗，
[27:24.190] 然后还有专用的行车记录仪，立体脚垫、后备箱垫，
[27:28.400] 包括现在活动期间还能再送一个2000块钱的购车礼包，
[27:32.660] 包括一套毡子的脚垫，高尔夫的双人伞、燃油添加剂、灭火器，还有钥匙链这一套东西。
[27:42.030] 必须
[27:43.590] 无所谓，您自己定就有这么活动现在。
[27:47.920] 还有很多客户会选择安防膜或者贴车衣，
[27:51.960] 这个需求都是很多的，看您个人需要
[27:56.640] 你要是选择好吧，因为现车没有了，这有比较近的计划，我们可以从计划里面定车，
[28:03.420] 也是没有现车。
[28:06.750] 计划里面，但是有的车型上会有选装选配。
[28:12.090] 你看这选择红锅以座椅，红色的是要单独付费的，
[28:16.970] 红色的是一般6，
[28:19.330] 红黑相间的，
[28:20.840] 然后有石墨灰的、蓝的，
[28:24.170] 亏得
[28:25.530] 黑的白的计划你们的车型，
[28:28.800] 咱们都可以选购。
[28:36.350] 对这车辆还有什么
[28:39.290] 疑问的或者故意的吗？不清楚，我再给您介绍一下。
[28:47.600] 你说没记住颜色。
[28:49.520] 现在计划里面有的黑色的、石墨、灰的、蓝的，还有灰，
[28:55.150] 有白酒，
[28:55.980] 这几款是没有选择的。
[28:58.640] 像不带选装的。
[29:00.910] 不再选装的。
[29:04.220] 他有些散装现在还不错了，
[29:06.220] 石墨、灰、灰还有白，
[29:08.460] 还有拦着也不太喜欢。
[29:13.810] 选装这些是在什么？
[29:17.170] 每个车不一样，其实不太一样。
[29:19.840] 有什么选D是的。
[29:21.520] 选座椅加热的，
[29:23.320] 还有什么夜色组件的。
[29:26.790] 这些股票是迎宾灯，然后夜色包围这些东西，
[29:30.460] 有没有现成的？
[29:34.090] 上面有的涨不下那么多，还没有现车，
[29:36.930] 咱们都得定可计划。
[29:42.430] 你可以从老
[29:44.040] 官网上看一看。
[29:46.170] 走完了，谢谢。
[29:50.430] 小什么颜色呢？
[29:52.510] 颜色。
[29:56.170] 愤世嫉俗。
[29:58.620] 没事，您可以考虑一下。
[30:00.420] 你要决定好了。
[30:01.820] 做好计划里面有可以给您定下来，
[30:05.170] 你们就可以
[30:07.640] 公司
[30:15.440] 这样
[30:17.530] 小孩的话过来。
[30:53.700] 移动石先生还有什么想了解的？
[30:56.830] 没关系。
[31:00.370] 其他方面还有。
[31:04.030] 可能没有。
[31:05.980] 3000多。
[31:07.560] 那么行情就有一个二维码，跟我跑一个二维码，做一个服务，直接的评价，
[31:13.240] 也就两分钟。
[31:18.590] 明天我们这边需要给您做一回访，您看您这边什么时候方便，
[31:22.800] 耽误不了您一两分钟。
[31:26.480] 白天应该都还可以是吧？
[31:29.010] 你什么联系方式方便？
[31:31.460] 电话可以吗？你们这可以帮不了你两分钟。
[31:34.650] 然后麻烦您帮我找126可以。
[32:12.870] 是这个吗？
[32:13.620] 对。
[32:53.850] 多谢您的配合。
[32:56.640] 然后这个报价单您可以留着，
[32:58.540] 中间的话有什么不清楚的，
[33:01.270] 或者想再过来看，您可以给我打电话来随时电话联系好吧院长？
[33:14.620] 今天就先给您介绍到这儿。
[33:16.800] 您看您开车来了吗？没开，我说你要开车的话，一会儿前台扫一二维码，就是免停车费。
[33:24.610] 两三个小时。
[33:26.210] 车在外地了，对，还得再往回往回开，你能做置换。
[33:34.270] 今天向原件到这有什么问题咱们电话联系好吧？
[33:38.810] 感谢您来电，您可以歇会，咱们这边有AMD，展区那边的话有一些展商您都可以欣赏一下。
[33:50.340] 别的还需要给您介绍一下吗？
[33:54.460] 从您随便看，感谢您来电。
[33:58.350] 推荐。
[36:15.150] 喝口水。
[36:51.200] 你给他多少钱算的先生？
[36:53.520] 月16我。
[36:56.130] 555万不输入签保险。
[37:02.820] 第二，
[37:08.170] 还找完找台长完成急了，
[37:11.720] 之前约的一小样，我
[37:14.840] 聊着聊
[37:17.800] 聊聊。
[37:19.470] 没电话了。
[37:22.650] 你写个信那什么办法把吸氧钱给你不行吗？
[37:28.840] 我有任务那就跟客户愿意承认买回来买了。
[37:33.440] 怎么招了？
[37:35.040] 要经常
[37:38.320] 我给我打电话看看你自己签新人车是吧？
[37:42.620] 人要找我哥们的。
[37:44.830] 行了。
[37:46.910] 我那哥们打车也不少，你来开车之前
[37:50.290] 我也不知道了，房子不要就找人，你说的什么？
[37:54.580] 不知道了怎样，王超。
[37:58.510] 你忙了吗？
[38:01.360] 来。
[38:02.470] 前厅后厅前台
[38:04.640] 我跟孩子
[38:08.880] 你能帮我接感悟吗？
[38:10.430] 你能报结构物吗？
[38:12.850] 沈先生之前快一了。
[38:17.680] 我一看这客户情况了，
[38:19.650] 这是12年的一个至少
[38:22.440] 12年4月置换。
[38:25.250] 不着急，觉得媳妇没来，
[38:27.890] 完就接着打电话说后天能不能
[38:33.400] 1260
[38:35.830] 你两剩下一个。
[38:39.550] 我能接。
[38:42.180] 我这有几卡了等会儿。
[38:44.320] 他总共用了
[38:48.540] 任小惠。
[38:51.430] 等一下我
[38:52.640] 今天
[38:53.380] 上午
[38:55.370] 3000你不能
[38:57.100] 演讲什么？
[38:59.120] 过来找你了。
[39:00.880] 已经找上门。
[39:04.440] 你要让
[39:12.190] 你说。
[39:14.820] 不用填进去。
[39:23.320] 他们看完了转头走了，然后又来找大熊来了。
[39:31.610] 主播的圈也不是比较
[39:33.380] 跟别人可能颜色直接走向了。
[39:35.640] 你还跟他打个招呼吗？知道。
[39:39.750] 我这基本上给人算了，因为他明天申请价格。
[39:42.700] 谁知
[39:45.720] 我那哥们他都知道从你这儿买，从这买，我从这边我让我这买，
[39:56.730] 因为那哥们修车全在
[39:58.310] 在原来我们装修，
[40:00.120] 我也不知道为什么当时你找我去，这大哥终于了。
[40:05.330] 王先生
[40:06.610] 还有银行，
[40:19.210] 我不都说就让他们在那买
[40:21.480] I客户要不要不停在那买张？
[40:24.280] 我要找你了没？
[40:26.270] 不少。
[40:27.280] 说完了，你要说价格上，
[40:30.560] 您要说您价格上有疑问，您可以跟我说，这价格上给你三秒，这都好说，没事。
[40:39.880] 没事，您有什么事您就说，对，好，我刚才跟领导那说完了。
[40:45.590] 不行的还想还让那小姑娘把要不然你
[40:48.480] 他就跟我说了，他建议从那上面你经常买什么样的，
[40:52.200] 也没法。
[40:53.140] 明天喝。
[40:59.590] 我上楼去了。
[41:00.570] 别你让客户看人家给你忙一个上午是不是？
[41:04.360] 上午10点开始忙到下午，
[41:07.080] 所以也不太露了，我刚跟领导说你可能说
[41:10.900] 贝尔还给人家，
[41:13.280] 你要是实在客户说不找他，到时候再找我也行。
