[00:00.000] 在接待李女士
[12:23.600] 明天我有这点了，
[12:27.940] 反正明天后天我都在这都无所谓，然后关键是我们这个车奔驰，
[12:32.670] 咱们车友一个二次pp I你把这二次屁颠做完了以后，你才能提
[12:40.080] 授权检查，多做一次授权检查。
[12:45.810] 您稍等我去拿，你没钱我去拿钥匙的。
[13:00.870] 不放还就1000，看完你
[13:11.400] 晚装。
[13:12.280] 空调开着。
[13:15.160] 这边开着红灯笼。
[13:19.320] 汉阳、
[14:15.850] 还行。
[14:17.660] 是都有的车，有优惠，也有不优惠还贵的车。
[14:25.120] 现在您这个车
[14:27.120] 还有那些
[14:29.650] 那就没有优惠，而且反而还贵。
[14:33.000] 卖方的
[14:41.260] 1,458,800。
[14:43.110] 现在评价没有优惠，
[15:02.480] 追究咱们不是给分了一台，
[15:04.920] 有什么色的
[15:09.070] 钱特别只有这单一的颜色，其他的不是分的全都是那哑光辉的吗？
[15:14.690] 今天特别的赶紧抓紧，
[15:23.720] 不就分了一个先行特别的，我就说让你把这些年特别的给催，让他加急一点，快点来，
[15:35.590] 数三天就来了，好勒。
[15:41.990] 好了，我得跟他那样凶了，我得让他来改来，
[15:46.890] 对吧？
[15:50.560] 行好。
[16:11.330] 到时候咱不用管，我们专门有储运的。
[16:14.320] 运输
[16:15.130] 楚韵的部门的人，他们专门负责弄这些。
[16:35.690] 您好像就能把车骑走了。
[16:41.990] 明天周四建议，因为您这点已经可能都来不及，我们
[16:47.810] 他得做那二次机电做pp I才能提车，
[17:14.870] 以后我还得
[17:15.890] 上班车，
[17:17.350] 到时候验车去检测场。
[17:19.690] 就看您是跟我们这块弄还是
[17:22.420] 还是您自己他们去自己弄？
[17:25.320] 自己都得去检测厂，不用验车。
[17:29.130] 都得去检测场，你得拍照什么。
[18:12.840] 现在我跟你说现在能找这么一个工厂，
[18:16.070] 能停车，原来我们是有一小区的地下停车场，人家这小区
[18:20.750] 地下停车场总共有三层，
[18:23.130] 每个楼下面有三层停车场，我们把最后底层包括现在让人给赶出来，是不是都停了？
[19:21.490] 那地方住了，
[19:25.830] 我在爬楼我过来这我两口子
[19:37.450] 防止他们逃脱这两天忙。
[19:40.360] 当时我了。
[19:41.960] 你坐在这里。
[19:44.900] 他开车的话可能他对
[19:52.560] 无论是可以考虑这样做
[19:55.850] 等等，
[20:03.810] 就车子在这会拿钥匙。
[20:39.770] 到。
[21:05.350] 我就随便拿两要是咱大概去看一眼。
[21:10.880] 好好看看天气。
[21:14.320] 他那边还没定下来是哪一年是吗？他们没电，哪一辆就随便您看一眼。
[21:21.510] 这是黑的。
[21:31.030] 都是黑的，没有摩擦。
[21:32.800] 贵的模块黑色没有。
[21:34.880] 反正这是黑的，你先开始。
[21:39.550] 我给你开出来，稍微是开门OK，
[21:55.010] 太热了。
[21:56.760] 反正
[21:57.760] 很多老师如果找陈专家想这么
[22:00.590] 导致到是怎么找到您，咱们有没有这样的折扣，因为他也不算。
[22:41.130] 我给他放下去。
[22:43.540] 让他出租。
[22:48.800] 里边太大
[23:01.090] 了，最终这钱是谁来交？
[23:03.960] 给。
[23:04.820] 也是公司给汇是吧？
[23:26.560] 在开车。
[23:28.580] 在这里开一圈，
[23:33.400] 不能走了。
[23:42.750] 他不干嘛，他要真不短，
[23:45.700] 他走了。
[23:46.600] 客户在那边。
[23:47.550] 我这里头也没有水让他们给锁上了
[24:06.920] 了。
[24:08.080] 用在咱们
[24:11.630] 坏。
[24:32.710] 数据、
[24:35.230] 特别
[24:41.520] 大
[25:04.280] 没事你来吧。
[25:05.600] 我也听完全。
[25:22.400] 又一次上场一不倒地位。
[25:30.520] 不是这一辆，让您看我们这有车这么多车，然后我们就按照正常的我们就给您安排一个车，
[25:37.170] 车。
[25:38.800] 对我们会做20万检查，到时候提车时候我们会把
[25:42.590] 里外收拾的特别干净，然后你检查了这些东西，而且有专门教车的流程都放心。
[25:50.270] 我先听为太差了。
[26:26.370] 对的。
[26:27.750] 这样。
[26:50.320] 我们这么多车，
[26:53.050] 这些东西都停外边，
[26:55.030] 你这没事都是汽车用不了两天都卖了，又买一个手机酷的原装进口德国产的。
[27:01.650] 德国签证，
[27:03.210] 对IM是不是AMD A明，
[27:09.010] 德国和美国像GLS
[27:11.430] ps和GRE就是美国，然后就妒忌苦的。
[27:15.600] 对这个肯定都是进口的，然后AMD系列有一个A35LA35现在是北京产的，
[27:22.680] 以前的都有，包括承德德国的对。
[27:27.890] 也
[27:30.600] 他爸爸一块的进口，
[27:33.170] 那儿不动这一切对他您上车开走这车上。
[27:39.310] 我现在
[27:40.290] 可以
[29:01.510] 像GRE这就是美国产的。
[29:06.990] 这个是凉快的，只是两块的。
[29:09.640] 在哪？这他是从上往下
[29:13.700] 充空气，
[29:18.380] 7~17套7楼，对。
[29:21.930] 后面都有吗？
[29:23.540] 要不多久？
[29:24.720] 有这个没有。
[29:26.160] 昨天没有。
[29:41.320] 不是今天疾苦的话，今年都
[29:44.540] 这都是今年的。
[29:46.980] 这都是
[30:39.410] 有车有的，不是这车是刚造的。
[30:42.450] 没有一两天过两天我就没有了。
[30:46.530] 谁知
[30:51.730] 慢慢色，
[30:53.200] 干嘛这叫典藏版。
[30:55.970] 反正是这点车卖了没了就没了。
[31:01.950] 我们这是有车，但是
[31:05.620] 卖的也挺快的。
[31:28.670] 他们就扎进
[31:30.620] 所以要不是他们不参加的口垃圾。
[31:48.990] 还不在火车。
[31:52.810] 这车多少钱？
[31:54.690] 这车全卖完了得100多100。
[32:00.900] 现在没车的。
[32:08.720] 都是这个东西。
[32:25.560] 而且现在投资这两个都说
[32:29.610] 我这个都在
[32:31.390] 手机
[34:47.920] 真的不用了。
[34:48.910] 他在这上面没给我，大概人家在
[34:52.500] 没事的。
[35:50.750] 我已经到南门了。
[35:55.800] 行好，你再回展厅门口的话就
[36:02.690] 你没意思知道吗？意思？
[36:04.600] 设计师。
[36:05.680] A
[36:06.690] 我现在完了以后几万公里，还有今年
[36:10.770] 旁边
[36:12.350] 包装装修，
[36:19.230] 一两年免费的
[36:22.680] 修修。
[36:23.880] 有的。
[36:25.090] 保修，咱们的车在中国咱们这车保修是三年不限公里，
[36:31.180] 三四页几万公里。
[36:34.360] 限公里不限，对。
[36:37.280] 3.8就是按照时间就是保管三年，这三年你开多少公里都可以。
[36:43.530] 对。
[36:45.410] 我知道我没被
[36:47.320] 对这里有问题上我们这来对保修红球
[36:51.820] 3点。
[37:46.990] 这点还好。
[37:47.860] 这壶好这身材
[37:51.230] 这块的话你知道吗？
[37:56.470] 你下车上里头找我就行，我把这车好。
[38:00.330] 在家。
[38:03.120] 你别老跟讲，
[38:04.920] 你别玩了你管他，
[38:09.680] 剩下
[38:10.460] 白氏
[38:34.890] 他说了你怎么能保持这么瘦呢？
[38:37.680] 我上来说。
[38:40.060] 好。
[39:11.190] 他说的有人这首歌，你说的是发明关内才
[39:15.610] I
[39:16.680] 到底其中哪一首？她说为什么这首歌这台台里的优先级这么高，感觉是S级推荐三个小时就拨一遍，
[39:24.410] 我觉得应该是rain这首歌，因为这首歌现在是刚从A
[39:30.420] 降到了BA数在我们这边播放的频率是高的，一首刚手机moto粉丝那首come，
[39:38.310] 目前是处于A类推荐B类推荐的，我们刚刚听到A这首
[39:45.730] 对等他慢慢降到C类，也是说这首歌
[39:51.720] 他的播放频率会越来越少，一直变成H这首歌就是在很长一段时间当中，大家基本上就不会在听到了，我跟大家解释一下是这样吗？
[40:02.560] 然后我们在银屏说我之前一直都在补看量，E的科长特
[40:08.090] 里面的B经验都很好听，而且翻译组都贴心地标注了革命和演唱者，
[40:13.720] 谁知得账册是目前的在热播当中的一套美国的美剧的医疗剧，你知道说医疗剧在哪聚？
[40:28.910] 他们特别爱看医疗剧，
[40:31.660] 从最早的实习生格
[40:34.280] 不能这么说，从实习生格雷开始，我们在医疗剧当中经常能够听到各种
[40:51.390] 多少瓶水？
[40:55.350] 三个支架。
[41:15.750] 开车过来你等
[41:16.780] 现在走过来就行了，我这一块别让过来了。
[41:32.480] 可是有污点。
[41:36.450] 135. 
[41:42.510] 还是导演、
[42:11.510] 远
[42:12.520] 远
[42:13.650] 数据。
[42:15.110] 场
[42:17.720] 场。
[42:20.650] 场
[42:22.250] 场
[42:29.190] 场
[42:34.200] 开票的公司名称什么的都有。
[42:39.240] 这边
[42:42.750] 的
[42:45.240] 这边还需要其他的当时说的这样车架，然后我们这块送您一个35,000块钱的，
[42:55.160] 但是保险里头不含交强险和车船税，就是说如果最终您选择保险不到35,000，
[43:02.010] 那就是您还得自己再交一个说说如果超过35,000，比如说最终算完了，连车船税在交强险全算了38,000，我们掏35,000您掏3，
[43:11.740] 然后还有一个就是有一个5万块钱的上牌押金，
[43:15.320] 这个上班押金是要交完钱以后就验完车以后三个月之后给您退，三个月之内不转移支付。
[43:22.570] 我跟他说了，但是他说这个车是做分期的是吧？
[43:26.760] 做的贷款说是如果说我们这边我跟杨总说的是说如果可以的话，给我发一个您那边做贷款的那么一个凭证，我找拿着找领导说一下这根
[43:37.930] 羊一样的，您这块今天看完车帮他交一个定金，还是也
[43:43.290] 该他那边他是怎么得的？
[43:45.160] 您跟他联系一下，然后
[43:49.490] 现在我这边给您写个什么协议什么之类的，您那边我需要您对
[43:58.150] 我想您我这边需要的是什么？就是一个联系人，最终这联系人就是委托人过来提车，办手续时候签字，核验车的提走车的人要他的身份证，然后他本人来，这是第一。
[44:10.560] 第二，
[44:11.640] 这两个公司打款公司和最终开票的公司的营业执照，那么
[44:17.110] 打款公司就要一个复印件就可以。
[44:20.780] 然后
[44:21.740] 但是我们需要他得给我们盖章，因为他等于他给公司垫付车款。
[44:27.230] 谁知
[44:30.590] 验车上牌最终的开户名的公司，我们要他的公章，还有他的代码证的原件，
[44:36.880] 因为办临牌验车上牌这些手续东西都要用，
[44:41.030] 都用得到。
[44:42.560] 营业执照。
[44:46.200] 营业执照。
[44:47.410] 对，就需要这样您跟杨总说一下，其实我也跟杨总说了，
[44:53.850] 然后还有保险上来哪个保险公司哪个哪些项目。
[44:59.070] 这时候就在北京开吗？
[45:00.930] 一般对那就行了。
[45:06.210] 它发芽可以运到北京的。
[45:09.110] 对。
[45:11.850] 主要我就问一下这情况。
[45:13.770] 所以我把这些所有跟杨总说的情况我也转告给您，您看您跟杨总商量着怎么弄的。
[45:19.230] 也可以打电话，那边现在就下午1:00 3:00，要是没办法的话，我说这边公章现在您就得把东西给我，我得先帮您做合同，要不然这钱打了没法收。
[45:32.090] 公章的公章带着是吧？
[45:34.580] 谁知上牌的
[45:40.020] 得提前
[45:40.740] 上排上您公司的。
[45:42.910] 没事，我就过来提车，还有车牌号。
[45:47.300] 牌子是您的公司的。
[45:49.890] 您这个指标人家公司的。
[45:52.980] 我们一直传过来的。
[45:54.480] 那行，咱们
[45:57.040] 我先给他做合同。
[46:00.090] 行，我不用这个
[46:04.330] 您这边是新摇巷的号是吧？
[46:08.600] 之前有号。
[46:13.050] 的
[46:22.320] 的
[46:23.240] 了。
[46:30.460] 这边
[46:35.870] 外
[46:46.880] 数据。
[46:51.330] 坏
[46:55.950] 的
[46:59.000] 的
[47:00.080] 句
[47:01.650] 数据
[47:03.900] 数据
[47:05.940] 对。
[47:08.060] 把后这边这些
[47:14.310] 完之后，
[47:20.130] 整个车的钱全都是由公司的是吧？
[47:25.940] 全部用
[47:28.140] 的。
[47:45.390] 号
[47:51.520] 的
[47:53.070] 数据。
[47:59.370] 好
[48:01.120] 的。
[48:06.260] 数据。
[48:10.290] 的
[48:18.720] 一会儿把保险的气氛什么的
[48:23.400] 这些是用到吗这边？
[48:28.030] 不用等的话，
[48:30.810] 反了之后完了之后把
[48:56.050] 行行好的。
[49:01.170] 的。
[49:15.500] 保险清单这上就因为我问的上行，咱们这边
[49:23.740] 看着
[49:24.880] 刚上楼从这坐电梯上楼这块人人多没有工作，让这边
[49:33.940] 数据
[49:35.730] 数据
[49:38.400] 数据
[49:49.520] 的
[49:54.850] 的。
[50:03.270] 场
[50:04.900] 场
[50:11.360] 远远。
[50:17.450] 一
[50:30.760] 谁知
[50:34.520] 奇迹你玩的。
[50:36.930] 提前走吗？
[50:40.230] 您坐着，我再给您倒点水。
[50:42.590] 你不用先不用了。
[50:47.320] 的
[50:59.090] 对。
[51:08.870] 看到。
[51:25.280] 还有
[51:26.330] 妈妈说。
[52:22.550] 网标一个车565959。
[52:36.270] 5959。
[52:38.290] 我能问一下吗，这些库表为什么现在改的全都是钱？
[52:43.200] 几乎是。
[52:45.070] 怎么设置？
[52:49.960] 稍微去做一下。
[52:58.440] 我以为你们那特定设计
[55:31.640] 电话都拨。
[55:32.760] 来录音来了吗？
[55:35.600] 我觉得
[56:08.360] 我父母
[56:10.340] 我这里有
[56:13.040] 用有一些有画面弄的，
[56:16.420] 的
[56:17.860] 年味儿。
[56:19.740] 我在。
[56:23.640] 您稍等，我把保险给发过去让他们算一下。
[56:30.590] 保险一般我姐买下边450，
[56:36.250] 他上保险
[56:37.810] 7000，
[56:39.350] 他上像楼下像450，上次买前两年买，
[56:45.610] 买完之后上多少钱就上了七八。
[56:49.340] 他是新车上了七八千，还是就车上77,000，新车第一年七八。
[56:55.360] 我不记得上的时期第二年第三年那车保险2万多块钱，如果您第一年不出险的话，第二年上市打65折，
[57:05.000] 第三年上打打4点多折，所以这个路一年一年陆陆续续他在有好好读照相不上就便宜了，但是你新车第一年
[57:13.160] 没有之前使用记录的都贵。
[57:15.360] 我们谁知五
[57:20.320] 35,000都得多点4万。
[57:22.530] 要算多吗？要是上全部的权益一会算完了，您看一眼。
[57:26.740] 有什么不要的，然后您就往下删点。
[57:29.740] 反正怎么着上完保险您得你35,000多，要不然我们送的保险不合适占股权是不是？
[57:38.900] 还有
[57:40.000] 主管财产，
[57:41.090] 我这就算按照相应的保护
[57:44.910] 这个垃圾吗？
[57:46.780] 按照这个问题不够，我查到结果地上去了，你去
[57:58.970] 你拿的
[58:00.490] 他们带来的。
[58:03.840] 你懂得。
[58:05.230] 而且老先生的问题，这三个问题
[58:09.350] 想她们不抓紧，
[58:12.060] 谁知他吃了太多了，那里头
[58:44.860] 又申请下来。
[58:47.060] 还有
[58:49.040] 他并
[59:04.640] 您那个车
[59:06.650] 这车最终是谁的谁用您用还是？
[59:12.180] 公司有。
[59:14.590] 这车以后什么
[59:17.120] 贴膜，什么行车记录仪脚垫什么的，您在哪呢？
[59:21.840] 他店里我们店里也有车，一有贴膜。
[59:28.230] 那边风倒是有一些。
[59:30.500] 他们那块是多少钱大概，然后他们专业不专业，因为咱们这车
[59:35.320] 可能
[59:36.650] 他们都干这个的，但是他们可能对于车来说，对于奔驰车没有我们这熟悉，我们的东西也不贵，你看我们
[59:43.960] 看您贴哪种膜，比如说你要贴这种安防的就那种汤，一砸一下玻璃可能睡着，但魔趁着
[59:51.740] 是安防膜的话，可能我们这一
[59:54.770] 16,800 19,800 24,000这么着对。
[60:00.630] 对，您买这车你肯定得贴膜，什么车得多热。
[60:05.020] 你像我们这贴个威固的膜就17,800，然后打个折就还能打个折，
[60:10.430] 然后我们这也有套餐的，套餐的也挺合适的。
[60:14.340] 贴膜脚垫您这车的常规的
[60:17.820] 就买了这车都要用的，肯定贴膜得有。
[60:21.170] 脚垫、后备箱垫、行车记录仪，
[60:23.520] 愿意做的做个发动机护板，然后当然有的更对车内更什么一点的，
[60:29.410] 贴一个车，依旧隐形车衣给车上贴一层膜，保护车漆的。
[61:04.400] 这车扶贫一般的人手轮换，
[61:08.810] 后门地板只能是您他大的不是黑色的吗？
[61:13.730] 你要是换的话只能
[61:15.590] 副脚垫的时候，普通B大于其他有那么小，有点黄晓明
[61:20.180] 地方。
[61:22.290] 油价。
[61:23.640] 你改了我们的选择没有？
[61:26.100] 同一个颜色的有。
[61:29.230] 一个56咱们先。
[61:30.470] 脸正经好吧？三公里。
[61:33.720] 保险算完了，全险的话
[61:36.310] 35,000多，
[61:38.030] 总共是加起来35,000U我听他们说是35,000，对35左右。
[61:43.970] 335,000战5000多，反正就这么一个情况。
[61:47.960] 内容给你们看一下。
[61:51.910] 不是你得你们能发过来吗？
[61:54.280] 或者发给人家。
[61:56.160] 我发给
[61:58.200] 是给我我看哪个？
[62:00.440] 我等你发给我一次。
[62:02.660] 我也您
[62:07.190] 您看您微信跟我说句话，我
[62:12.720] 我没有。
[62:14.110] 你找我。
[62:54.090] 给您发过去了，您看一下。
[63:23.420] 介绍。
[64:08.580] 这个应该是最基本的。
[64:11.580] 这里边
[64:13.480] 就全险
[64:16.210] 车损三者盗抢，
[64:18.890] 车损三者，
[64:21.240] 恶盗抢、不计免赔、玻璃、
[64:23.940] 划痕、
[64:25.170] 涉水，
[64:26.420] 无法找到第三方，
[64:28.140] 然后
[64:30.970] 驾驶意外险都有了。
[64:35.320] 如果说您觉得还有问题的话，我们还有一个
[64:38.800] 待不？
[64:39.960] 代步险是
[64:44.000] 他也是一个也是由平安城堡的，但是他是跟您的商业险现在看着保单是没有关系的。
[64:51.170] 当您车辆发生把蹭了以后，上我们店里来修的时候，您是每年交1498，
[64:59.280] 然后赔付没在这里头，他那是单门的一个
[65:03.680] 赔付是5000块钱，分两次赔付给您，总共赔5000块钱。
[65:07.600] 这5000块钱对您有什么意义？就是说说车剐了，我上这修了修车的时候会是be您走一次保险会势必会影响明年的保费，
[65:17.730] 有可能走的少的影响的少点，走的多影响多一点，但是您有了这项险，
[65:23.380] 我这个保费明年多，但我这边额外赔给您2500，总共一年两次，
[65:28.100] 五五千块钱，这赔您的钱有两个作用，第一个是可以抵消明年保险费率上涨的情况，
[65:35.130] 这是第一。
[65:35.540] 第二这像有的家庭家里就这一个车，
[65:39.260] 车我搁这修了我就没车开了，我还得租车还得借车，您这陪你这2500，您就都可以当做租车或者打车的钱，
[65:46.920] 那个也挺好的。
[65:49.600] 1498没在这里头，你要在这里头单交的。
[65:54.790] 然后我们这儿还有一个显得就叫玻璃险，单独的玻璃险，您看您现在
[66:00.790] 上一个玻璃险是3148，
[66:03.720] 3100，我们现在推出的活动您交6000多，这玻璃保您保年三年，
[66:10.640] 一下这三年您就不用再交玻璃险
[66:13.550] 了，这都挺好的，我们店里的这一些
[66:16.390] 这些不的那些都，但不包括保险，就只管这些都是保险额外。
[66:27.200] 不是企业的
[66:27.980] 成功。
[66:29.440] 他们别今天跟的鞋这玻璃险他们的发展
[67:04.280] 加上税全下来了，我大概给您都下来假吗？
[67:09.510] 大概给您算一下。
[67:12.790] 都是140。
[67:14.170] 1,458,800。
[67:31.950] 保险的话
[67:32.860] 您可能就是说超过1000块钱，
[67:40.650] 什么青蛙什么的，你在店里做吗？
[67:43.520] 我们套餐你就把车总监包括税
[67:49.650] 下来，
[67:50.840] 保险不是包括
[67:52.820] 33对，我就把保险考虑我们的那一部分。
[68:11.610] 在工业方面怎么样？
[68:12.870] 有点不一样不对。
[68:15.110] 你差不多谁知
[68:18.960] 对员工的
[68:20.710] 他不良的
[68:24.200] 查询我也
[68:27.860] 不要做餐厅饭餐厅。
[68:36.000] 你价格。
[68:37.090] 了。
[68:37.930] 刚才你材料的好吧李刚。
[68:40.380] 他泡面是一边
[68:43.440] 120。
[68:44.260] 明天
[68:45.680] 一般
[68:47.390] 楼下一楼
[68:50.500] 470。
[68:52.260] 小儿子。
[68:53.460] 400，你这边多少钱？我看了，高配低配。
[69:00.630] 那个不给。
[69:05.080] 我知道。
[69:06.050] 内车是100
[69:09.560] 大概下来100，
[69:11.480] 大概下了120左右，100左右就可以是吧？那些买得税这届全下来，
[69:17.850] 应该是100
[69:19.650] 都下。
[69:21.120] 在
[69:24.030] 您前日子买不是我买了，姐姐买他什么时候买的，我几年。
[69:30.280] 您那会儿那车价还不一样，会这车有优惠，现在这车连优惠都没有是吗？
[69:35.560] 对。
[69:37.440] 现在这车都没车，而且这车觉得那辆车好，
[69:41.190] 我觉得比最高还特好不一样，你用不一样，您商务活动多，你还得是卖麻花，这肯定不行，这是7座的。
[69:50.020] 坐着没有那迈巴赫舒服。
[69:53.910] 这是什么？契丹，你说。
[70:00.630] 他们
[70:02.790] 口感。
[71:14.910] 我跟您说一下，
[71:16.290] 你看咱们报价单是全国统一的。
[71:20.050] 证明原件发给我的那个吗？
[71:23.150] 我给您发那是保险。
[71:25.080] 这是咱们全国统一的报价单，是最新版本的，
[71:28.280] 符合咱们这服务公司客户为对你的下载线结合法得以明码标价，公开透明配置要进行公示，
[71:33.370] 绝不捆绑销售销售消费全部使用全价一次通告，监测电话40088188，
[71:37.870] 做完了一会您帮我们扫一下二维码。
[71:40.470] 简单说说李小姐您买的是迈巴赫450典藏版黑车棕内，
[71:46.210] 指导价是1,458,800，购置税129,097，
[71:52.430] 然后验车上牌是2500，然后这个算去我们送您保险以外，您大概开始抄不到1000块钱，我想1000块钱给您算，
[72:00.870] 算，然后按这些全加在一块是159万多。
[72:05.800] 放下来150 159万，一对160了，对。
[72:10.740] 这些两种都知道。
[72:14.070] 因为这个车价是固定的，购置税也都是固定的，保险也这都可以为
[72:21.670] 税全下来之后100多，
[72:23.880] 光车车就140块，
[72:26.960] 我都可以了。
[72:28.570] 这可以无所谓。
[72:30.710] 您看不清楚，我在后面给您写一个详细的，就是特别容易站起来。
[72:36.810] 您看清，然后又您帮我扫描是吗？可以。
[72:39.960] 包括之后这个事情。
[72:43.790] 然后还有一个武安上班押金，我要上班押金，我只能去找我们领导，我尽量跟您协商。
[73:04.310] 等下来应该是要
[73:09.050] 刘姐。
[75:38.990] 也行。
[75:40.100] 你们的原件回去，谁知。
[75:42.980] 好。
[75:53.790] 我在AMD刚才做了，
[75:56.070] 我就出现网易，
[76:01.800] 你
[76:08.450] 不用。
[76:18.160] 什么？
[76:21.430] 您好？
[76:22.480] 您是彭先生不是。
[76:24.370] 是不是我叫的？
[76:26.220] 不好意思，不是我叫的在后面的。
[76:33.540] 余热。
[76:36.340] 你这鞋真谈跟中国的和尚穿的老头级别，
[76:40.680] 你说的
[76:41.920] 要的。
[76:44.180] 你想可能吗？
[76:46.720] 你这边要忙的话我不忙，没事我就弄没准了。
[76:53.910] 我弄完了我先把您信息给他录入，就提出最后都半车我都是。
[77:00.350] 签字盖章也都是0是吧？
[77:02.180] 拿工资的说是今天不是覆盖了，今天对今天也得用。
[77:07.680] 你要是给我张我没办法
[77:09.600] 亲自标这些。
[77:12.140] 您那收帐就带了吗？
