[00:00.000] 7月27，上午10:33接待处
[09:04.330] 这还是往后移，已经到最后边了。
[09:07.810] 这是5座版的。
[09:09.130] 这多少钱？
[09:10.430] 这个的话我给你看看，
[09:12.410] 这180的办完的话20多，小38。
[09:16.310] 全下来。
[09:18.480] 就跟这差10块钱，手上的机器就是那个机器是一样，也是4缸奶，所以但是排量是1.33平120千瓦。
[09:26.090] 这也是相对含量小那么多，对第2.0的这1.3的对注意点三个没别的对。
[09:34.020] 你看以前现在整个全球这种提倡绿色环保大排量全部取缔，明白。
[09:39.710] 像cos这种3.0的，还有一的三角形全部取消了，他就店就2.0T高，
[09:45.630] 0207普通的。
[09:51.010] 以后反正他实际上
[09:52.980] 比照的只想买大排量，只能说是你性能车，
[10:07.880] 你要什么样的。
[10:09.020] 您稍等一下。
[10:18.670] 昨天进来我
[10:28.480] 这是A级的20，
[10:31.010] 是吧？
[10:31.760] 差不多。
[10:32.810] 这边下便宜点。
[10:34.080] 这是入门的。
[10:40.150] 你说的。
[10:41.030] 休息一下行，咱这边送给你，也是当您。
[10:45.990] 说这边都了解了。
[10:47.730] 都给介绍了是吧？
[10:49.520] 行没问题，咱们二
[10:50.800] 好看下车。
[10:52.240] 行没问题，一会的话咱们去那边，因为这边没开，我让他给你拿去可以对。
[10:59.330] 这可以。
[11:01.410] 3
[11:03.870] 别对，我直接蒸拉近了，因为刚才按电梯了。
[11:14.470] 然后有没有
[11:15.930] 要
[11:22.800] 分期的话您了解一下您这边是小米分法，是想待几年把首付比例多少？
[11:28.550] 分基本没做过分析，但是我看别人买车都分期，我觉得因为现在
[11:34.170] 利息的话，你买省下这钱，哪怕理财也好，或者存银行能买lee，以前正常才挣点钱，
[11:40.260] 所以说都愿意分期了。
[11:42.310] 现在的利息多少？有几种方案，原来这种方法主要先得了解一下客户你想贷多少时间，
[11:51.460] 他2年3年或者5年都可以，
[11:53.880] 5年的话一年银行这种年化利率三点
[11:57.870] 3点3.1%。
[12:00.250] 有这种能记得东西，老王已经打单子，对。
[12:06.650] 我看现在他买的都是公司的分析。
[12:10.620] 手续是怎么的意思？
[12:12.580] 分期的话很简单，奔驰金融市场价在里边，
[12:16.150] 他怎么说？
[12:17.730] 有一些有一定的局限性，就不能提前还款，可以提前还贷违约金，
[12:22.040] 然后两年三年都可以在总体控制在多少都行，
[12:26.230] 至今20%，然后
[12:28.520] 像银行这种他是工行的，它是属于因为咱们店属于工行大客户这种可以做他们那种
[12:34.740] 5年按5年去申请这种，您提前还款，比如说在两三个月或者1年2年后，我不想带人，只还本金方面就OK了，剩余多少本金就还给了，利息是固定的，在月一个月的，
[12:46.490] 折合的话一年年化利率三点，
[12:49.360] 一般都待不到5年。
[12:50.800] 假如说您在20万百分20万存三年死期，您三年还着利息20万，存银行这20万，
[12:57.280] 能把人利息签证出来能再挣点，然后你算不是北京一定没多少了，不就OK了，对，存银行现在可能3点多，
[13:04.420] 不止困难。
[13:05.720] 有32亿做理财，对个人这种钱可不止现在对。
[13:11.020] 就说跟工行的话等于是
[13:14.200] 我们可以跟您用，假如对病房的话，
[13:17.560] 也就是说因为你们跟工行是大多数官员，为我们才能想就是说
[13:23.410] 抵押物什么的都蒙了，没关系都不用，功底奔驰金融就抵押率，本工分制金融就抵押率就要那种，对别人都不要，然后包括工行的也就是要这种，
[13:36.350] 工行也不要，利润什么都不要，工行什么都不要，
[13:39.220] 它是属于叫信用贷。
[13:40.860] 信用贷是什么？就是北京黄河卡就给您发张信用卡，有5个督导，你每个月把钱存里边自个发走，
[13:47.600] 但是他要不要审核我的资质，他不给你面签，就在店里面，我明白，我说的工行这块也签了，对。
[13:55.150] 淘宝分值金融的话，这工行本身是期间客户，那就更不用了，您跟工行的话分是在职员工这种行为，您出租房没有，我是工行的客户，就是说您对
[14:07.250] 不是为了员工，我跟他们信用卡空调跟没关系，能提高您的审批率这种这样行。
[14:15.230] 因为属于它不可能是您是我们的客户，我们现在是工行客户没有用，因为直接对接的是它是对接4S店。
[14:22.470] 对，他实际上还是现金4S店的，对，然后您在线还是实际上替我们做个担保是吗？
[14:28.770] 对可以这么理解吗？所以它才受咱们个人去银行做贷款的话，利息利率非常高，个人信用贷款。
[14:36.330] 因为它经过4S店买车的话，这边你们是直接有一个默契或者有一个合同是吧？对。
[14:42.770] 就可以直接坐到他们拿到最低的利率，实际上你们需要你们的车款时间也不给你，工商银行代表所有4S店都一样，因为我们不是我们的车，反正集团老总直接给厂家打全款，
[14:55.250] 拿车回来很多4S店怎么说？
[14:57.870] 这地皮都是行，合计华人非常有钱把保时捷逮捕中国。
[15:02.620] 对，它整个全中国只有10多个人去，就这样北京就有2亿装一个站，
[15:08.150] 然后所以他不用说很多三线就怎么着，就是跟银行贷出现金来把这钱交给厂家，把车提回来，银行拿走一把钥匙，把所有证件拿走了，信封给你留下。
[15:19.870] 然后现在我说你过去种承兑汇票，现在没有了，信用证，就成都汇票
[15:25.460] 没事都不做是吧？
[15:27.330] 不用，那么就我等于别的4S店都是把这车拿回来，但是合格证都在银行放着，咱们这是开票当天和尚立马拿出来。
[15:36.050] 那么应该因为别的店都是
[15:38.430] 得等几天，为什么他得把这款回来，对他客户交易前拿着客户的钱去银行提合格证，咱们说多少遍，
[15:46.270] 你就了解他们的情况，所以免责这以后你就放开了身份证，
[15:51.080] 信用证就是他们的性质就是承兑汇票，但现在据说成交的票最近新出的规定就取消了。
[15:57.790] 我说银行有，我跟你说现在银行天天学习，就这个问题，您学习这个
[16:03.430] 对吧？我去拿单子给您算一下。
[16:05.920] 银行你别说这样通知的，使用工商银行的就是考虑了没考虑这些
[16:12.210] 金融资产，
[16:13.650] 但竞争但是不允许提前还的，工商银行是可以提前还的。
[16:19.000] 建行银行利息高了，他提钱还你就不用考虑这事儿了，肯定提高，谁知得找他们叫什么汽车，今不找你堪称
[16:28.890] 谁知他们对现在不能吃金融市场价的公司账号，
[16:34.360] 对网站都是厂家的队友主机厂是吧？
[16:38.920] 他就奔驰有一个分支金融大众当时
[16:42.850] 宝马车宝马也宝马技术，
[16:45.150] 谁知
[16:49.470] 它分值也高，
[16:50.710] 分时分区。
[16:52.240] 好，您跟奥迪跟大众的道理，
[16:55.080] 别看一切。
[16:56.200] 对通知不用忍气吞声。
[16:58.950] 其实像你们跟北汽没什么关系。
[17:01.000] 有关系，生产这些国产车都是北京文科，除了我们选的车，是不是也就北京就是国产？
[17:08.690] 我们单位是北京的VIP用户，我们的用户知道我们买车通过4S店，
[17:14.920] 不经过分析，我们属于加盟场，不属于北京的。
[17:19.310] 对，说白了你跟4S店，
[17:22.390] 我跟厂家也不卖车，对厂家好像不是销售厂家，他只是卖给4S店的，具体的就是您跟厂家提车之后，汽车为何因为他没有经销商能给您开票，
[17:33.100] 厂家不能直接对接客户资料，
[17:34.950] 厂家是批发用户，
[17:36.970] 不是人受西方这种厂家，北汽集团它直属中央它不属于就直接被客户了。
[17:44.400] 再补充来完善。
[17:47.830] 因为上面
[17:50.890] 两个金融，一个是工商的，就是大众的金融工商银行的，
[17:54.940] 你根据自己的资质让银行谈谈，完了以后银行业贷款把房子买车一样
[18:00.430] 玩起来玩，就拿还款方式的灵活还款这边颜色的话您考虑什么颜色？
[18:05.290] 那是的。
[18:07.720] 蓝色。
[18:09.000] 我看你刚才我找有蓝色，没错，后面的蓝色。
[18:13.380] 这不是蓝的，不是那个地方。
[18:15.540] 没有车的，谁知
[18:18.520] 还有nothing
[18:22.840] 去年12月份到月份是年底才加入之后，每个月到现在现金有了，你说
[18:28.540] 奔驰从1000开始到现在，你可以网上自己查到是吧？所有车型到现在同级别对比销量全市第一的，
[18:35.430] 奔驰就没什么价格，
[18:37.050] 包括厂家说的什么厂家一拍配合也不是假真的。
[18:41.010] 因为它这些发动机变速箱还是进口的用的盒子，所以什么叫盒子？
[18:45.910] 不是完全中国制造，
[18:47.500] 他只不过加长的车身用的是中国的。
[18:49.870] 而且人家德国还得来叔问我说你得人家得审核你生产这车符不符合人家奔驰的标准，
[18:55.710] 不然不和你的中国因为仿很厉害，
[18:58.770] 不可能你把这个品牌给人砸完了，
[19:01.550] 然后包括它的发动机跟那边将来是有生产日期和型号的，跟车架的日期要差太多了，
[19:07.970] 他就没法弄，必须把车生产出来，生产出来那一天它要卖不出去，全砸死了，所以说一下网上
[19:13.860] 只能是车多让一些把车赶紧卖出去，
[19:17.660] 当时优惠到45,000，
[19:19.480] 综合加起来3万30万补贴，
[19:24.560] 这还有补贴什么的，政府补贴一切厂家给的厂家的车上名片。
[19:30.080] 他换了，对您就是说价格来算，新车这边还有个补贴。
[19:37.490] 就忘了。
[19:38.550] 咱们有收到
[19:40.380] 这句话这点不换队。
[19:42.060] 别的还有摇号应该比较直观是吧？
[19:45.820] 大家知道新车坐车，
[19:48.370] 因为带指标货车，
[19:50.750] 因为别的还有什么放弃，比如放弃宝马的，
[19:53.700] 买奔驰的东西拿没有，
[19:57.100] 但是奔驰换奔驰他有同品牌置换，
[20:00.090] 有补贴没有，那叫忠诚客户，我问一下，比如说待三年待我没有区别吗？有。
[20:08.350] 历史比较高的待时间越长利率越高，对能差多少？
[20:14.870] 您看我们对这次分享都知道这样，
[20:19.270] 然后最后我算一下，
[20:21.760] 年回去三年贵1万块钱，
[20:25.680] 您看您贷多少？
[20:28.830] 他最低是多少吧？
[20:30.360] 比如说我手术组织多少，最低20%。
[20:33.600] 12，对最高。
[20:36.220] 当无所谓不行，你想贷多少？
[20:39.410] 最高低于10万块钱能拿的没必要大了。
[20:44.290] 要die40，万能贷两三年没意义了。
[20:47.170] 那一点意思能干吗？对您咱们批了一个贷款还不如老板在买单。
[20:51.750] 对。
[20:55.190] 能有个表比较传统，对，我最想分享的说都是算了一下。
[21:05.460] 大概什么时间够的？
[21:07.590] 我这的随时了。
[21:09.480] 我那车该换了，
[21:18.030] 没有蓝色，
[21:19.130] 没有明显出来。
[21:21.480] 现在你看
[21:23.260] 验车
[21:27.070] 灰色的黑的白的。
[21:32.210] 非黑白销售的颜色。
[21:34.770] 而且大学生
[21:36.320] 亏得我没看到，
[21:37.800] 就铁灰色。
[21:39.430] 你老爸吗？就石墨灰香妃的。
[21:42.690] 不管。
[21:43.560] 危害的黑洞
[21:45.480] 是黑子的。
[21:47.230] 那就灰的奔驰黑只买
[21:50.540] 孩子。
[21:52.840] 不是您只有那种吗？然后那就要不能要白的。
[21:57.520] 白色黑了不要就亏了吗？还有后还有吗？
[22:01.200] 没了，都纷纷基本都没有。
[22:03.860] 能病吗？
[22:05.070] 定三个月起你就那栏。
[22:08.440] 对，刚才那蓝我跟你单挑，最后买其他颜色卖特别心疼。
[22:13.540] 奔驰就是黑色蓝宝石队。
[22:16.800] 能差多少钱？
[22:18.220] 车架颜色就是不放别的就得
[22:21.890] 1万多块钱起，不光车架你就刮颜色，假如你要卖的话，你给我买价格不一样，对，卖的什么不一样。
[22:29.730] 对，无所谓。
[22:31.140] 你卖了你还想她都快10年的车，
[22:34.910] 现在他还能开10家，谁还基本上都车快持平了。
[22:39.620] 饱满了。
[22:40.670] 不行。
[22:45.510] 现在的车一般都开五五六年是吗？
[22:48.040] 基本上6年免检过了，年检那会儿他怎么卖的话，他也收不了多少钱，天上前立马就能换个新的。
[22:54.900] 大家现在都是这想法，为什么很多人不愿买7多少人，7座两人验车太麻烦了。
[23:00.200] 对了。
[23:01.730] 那一期玩速度方便，后面是等于这么说，我买漆做工直接买商铺翘。
[23:08.090] 比较太太了这种7座。
[23:11.630] 更理解了。
[23:13.720] 我们城管没区别，拿着
[23:16.800] 就买大碗，
[23:22.530] 怎么样长不大？
[23:25.300] 这样
[23:26.100] 这种通常SUV的气管就应急用
[23:29.140] 长途的憋屈死了我觉得。
[23:32.430] 对。
[23:42.650] 你就按百分之多少首付给您算。
[23:45.390] 大概都是分期。
[23:47.000] 没有，我都想知道详细一点，比如23时4，
[23:52.510] 我得给您列两小时的
[23:54.600] 去做，
[23:56.150] 所有各项的乐还什么得挨个算给我来20。
[23:59.900] 行二十几年都可以，对好对。
[24:05.060] 他写
[24:11.530] 咱们这边的MTV大的。
[24:14.280] 那不是咱们这卖的，福建温泉全部卖。
[24:19.820] 谁家卖的？
[24:21.290] 有专门销售权的。
[24:26.130] 你说那飞机是吧？
[24:27.800] 你说何必咱这网络这么好，为什么用？
[24:31.490] 就这钱没人要。
[24:33.840] 我知道。
[24:35.210] 迈步数是吧？对这样这些车一个月300多台足够卖，
[24:39.390] 轻轻松松就完成300多台，天真不得了了，对中国市场还是厉害，也分店占主要占着位置，这是
[24:48.530] 现在这位是太太好
[24:53.600] 了，说这是气候，
[24:55.360] 这里官职什么沃尔沃奥迪都是他们家一样知道吗？银行吗？都是一老板，
[25:00.960] 这地皮他们家肯定一样的。
[25:09.190] 这老板德国人。
[25:10.750] 德籍华人，这是什么叫什么格力带着好百年，
[25:15.720] 这一个秃头那是吧？
[25:18.040] 是吧？
[25:22.990] 小伙子水就挺大，
[25:26.950] 咱们做这种
[25:28.040] 我问他昨天送
[25:32.830] 右边
[25:33.670] 就发了。
[25:35.600] 比如说。
[25:36.440] 你说才5周岁，对。
[25:42.130] 儿子？
[25:43.190] 就是在那里。
[25:45.230] 不是他就是我说这没必要蒙你，我知道那边。
[25:48.750] 是吗？
[25:50.370] 分成三层就是集团总部。
[25:52.870] 他在
[25:57.050] 来找一
[25:58.770] 你跟前厅水后勤水处理车不往前推，然后旁边的公园重点
[26:07.610] 您都知道矿泉水吗？
[26:09.800] 没有，还是凉的还是常温的，漳平市。
[26:14.230] 爱多一点。
[26:18.710] 因为这边
[26:20.130] 因为这边展厅没开，
[26:23.780] 为什么？
[26:24.930] 因为他两个展厅不是弄的话，这边田村接到疫情没解除合同了，还有
[26:30.870] 以前全开着的话，我们这40个销售根本不够用。
[26:40.550] 就是刚录音跟这两天
[26:43.840] 50台车订单。
[26:46.640] 试试一下就上了好多，原来也就是这样，每周末都这样。
[26:52.260] 周一到周五也正常，每天十几年高分。
[26:57.000] 你有没有？
[27:04.920] 您现在是金融全款比例是多少？
[27:09.820] 80%给百分。
[27:12.000] 就说那真是改变了知道吗？因为我们买车还是老派的那种，全部完事了就完事了，就这种其实
[27:19.750] 现在
[27:20.750] 现在分期买车真的是说已经超过50%以上，是否80%？
[27:28.050] 那小伙子能不能麻烦您问一下？
[27:30.320] 宝马什么的也这样，类似的都一样是吗？而且奔驰分期只有利息，没有任何金融服务费手续费什么这些。
[27:37.820] 您励志月还银行就OK了，4S店没有手续费，对分值没有手续费。
[27:45.010] 还能给我张纸和笔，我都给你写的，您别着急。
[27:52.890] 反正您说宝马也跟您这比例差不多应该吗？
[27:58.370] 不多，他们出手续费。
[28:00.600] 包括这不重要，就说他们按金融的这种
[28:03.420] 采用这种
[28:04.460] 分期付款方式的差不多，
[28:07.530] 大众什么的低端车的产量，
[28:10.360] 你硬要说更愿意分期了，
[28:12.370] 是吗？反正现在真的不懂了，原来是这样。
[28:16.670] 因为这一块什么的怎么办？
[28:19.710] 派人家拿着拉活拉活就少付一点是吧？拿活赚钱了。
[28:25.600] 这样为什么？
[28:27.670] 对于
[28:31.240] 正确
[28:35.800] 我们公司买的
[28:37.960] 就可能第一部分
[28:39.740] 贷款的话就
[28:41.010] 比较麻烦的，因为他是公司一般都是城管，不过我这两年多的话，他的营业执照公章这些都没用。
[28:48.430] 对，凡事都。
[28:50.870] 营业执照和公章是吧？
[28:53.100] 还有什么其他的跟着新人，那就法人什么都得开发去，银行，我们那些还没考，就是手艺比正常个人内容传统太多了，1565697，
[29:09.150] 反转就是6207。
[29:10.440] 您可以说一下，
[29:12.410] 做完不少绝对放开。
[29:16.650] 他就是不想来开玩笑，
[29:19.330] 有照相有什么？
[29:39.940] 以前那些高什么人都是一些
[29:42.290] 现在都没力气。
[29:44.430] OK了，没有
[29:46.130] 为
[29:50.600] 对。
[29:56.260] 带着
[29:57.610] 好。
[29:59.710] 一般能带。
[30:05.470] 最近去了。
[30:07.590] 就die了。
[30:09.060] 到时您看一下。
[30:18.530] 我上去。
[30:19.400] 我说
[30:20.710] 不买
[30:23.210] 骗子大一点的。
[30:25.450] 所以
[30:26.520] 也不大的他的这条第还卖得还行。
[30:30.340] 因为新车型
[30:32.050] 就是排量小。
[30:34.880] 等待
[30:38.070] 待时间还不够，
[30:46.020] 可以分析自然。
[30:48.940] 着急了。
[30:50.810] 右边写的战略上
[30:54.870] 都怕你了。
[31:01.510] 让你看看。
[31:03.600] 说实话我正在看直接
[31:15.510] 表，特别是对的
[31:17.160] 操作板块，
[31:20.190] 特别
[31:50.430] 因为他喜欢一点。
[31:51.200] 给你看一下。
[31:55.530] 我看他牛奶喝零的什么意思？
[31:59.990] 那是凌厉的，这是看什么车型，宝马还有
[32:05.020] 但是有手续费，对飞豹里边都一样，
[32:08.770] 因为怎么说分摊怎么去理解这个？
[32:11.380] 手续费是4S店纯正的利息是银行挣得。
[32:14.580] 两种，因为
[32:16.780] 又不烦你吗？不，现在他都贴息了一样。
[32:20.910] 正常的话银行个人贷是不一样的，它是直接贴就贴到这里边了。
[32:25.670] 4S店拿出反的这部分贴给客户的，直接导致
[32:29.860] 现在要不分析，我真的对照着去。
[32:33.720] 好了，咱没车了，谢谢。
[32:35.830] 没事，这很简单，赶紧跟着上房。
[32:38.450] 谢谢。
[32:39.680] 谢谢你说话我说话的。
[32:44.070] 来这边给您报价之前给你宣读一下奔驰的服务公约，
[32:47.620] 客户为尊以礼相待，诚信经营合法得体，各项都是明码标价公开透明的，配件渠道清晰公式，奔驰这边是买车绝不捆绑销售强制消费的，
[32:55.950] 然后局部使用价值给冲行4008181188咱们监督电话。
[33:00.070] 这是最直白的说奔驰的话咱们购车。
[33:02.950] 没有什么必须买的东西。
[33:04.870] 他们贴膜的田大哥您有需要咱们这边多少钱都有，几千上万几万都有，不会说是客户必须得买，皇马是必须得买。
[33:12.540] 不对，这是强制的，他们那样咱们奔驰没有，这个是什么意思？说您从开始从头看，我给您一介绍一下。
[33:21.500] 来。
[33:22.320] 这边的话报价单也全国统一，模板单车都一样，最新版本的报价单这边联系方式是陈女士您的138是您的手机号。
[33:31.280] 这LC260动感，咱们刚才看的颜色这边现在还没确定。
[33:35.110] 制造假就公司价格那边有一个公示价格牌394,800，现金直接优惠到46,000，
[33:40.490] 然后优惠完开票价348,800，
[33:43.460] 购置税用开票价除以11.3，就是准数30,868，
[33:48.010] 还有优惠完的价格为11.3。
[33:53.000] 对，现在怎么算来的这是。
[33:55.040] 等于这个数对。
[33:57.710] 然后像咱们这边北京牌店验车2500，从开完票
[34:03.510] 出保险办临牌工商验证交税，到最后验车我们全管，
[34:07.190] 像保险、人保、平安、太平洋人寿选择哪家客户上什么险种自主选择，因为
[34:12.480] 这车咱们平常经常卖交强险950，车船税一年400，商业险基本就车损三者100万，
[34:18.870] 不计免赔就这必须在这买吗？
[34:21.040] 看您个人需求刚给您多少点。
[34:23.540] 对，第一年都是83折，在哪买都一样，要分期的话就是必须在这是吧？
[34:27.600] 也不用。
[34:29.860] 然后您不在这儿上保险的话，就得先交一个叫1万块钱上牌押金，等您验完车之后所有的东西
[34:36.000] 给我们回传手续，证明您上玩北京牌了，把这家店给您退还，因为这边按照北京价格优惠的
[34:42.850] 价格对全办完的话是396,000。
[34:45.670] 对三十九二。
[34:46.840] 而且就是说您保险吗含保险税什么全有了，落地。
[34:52.280] 落地。
[34:53.120] 而且您这个是我现在不知道您到底知不置换的话，他会补贴6000块钱。
[34:58.730] 对，就是说价格单位它是以商业险的方式补贴6。
[35:02.550] 那就车的。
[35:03.760] 旧车给您评估您开来了吗？
[35:07.450] 惯式减6000是吧？
[35:10.550] 好了，评估完了以后多少钱接受了，就对减6000是拿什么保险底是吧？
[35:17.870] 还有保险比，对所有奔驰4S店都是一方保险商业险帮助补贴。
[35:24.280] 然后这边的话就是咱们分期的，您看一下这上面这两个是奔驰金融的，下边的工行给您写着着。
[35:30.290] 是奔驰金融。
[35:31.800] 对，你就写一本金就知道了，工行的你看出来百%有利息的。
[35:38.980] 这是工商银行给您写上了。
[35:41.750] 这个是三年冲着您就可以，三年首付20%，就是车价是348,800的。
[35:48.810] 您首付20就是69,000多，将近7万块钱首付。
[35:52.280] 大约279,000多，
[35:54.100] 月还含利息的等额本息的还是8424块6毛1，这是36期的。
[35:59.630] 利息是利率多少？
[36:02.020] 这直接换算我们是计算器的，奔驰金融我们也不知道利率是多少，但是具体您可以直接看到她就看总价款多少钱。
[36:10.050] 您可以直接比总利息，对，因为我们也不知道他们怎么换算，他直接给我们一个计算器，我们把金额出现自己就出来了，对，其实大家都是含利息的。
[36:20.090] 他不写的零点儿2 2%点多，一般都这数，然后总利息的话这里边含利息等于还36期之后，尾款加上利息全还完了，利息待了三年待了27万多，总共是24,000多块钱。
[36:33.200] 那就24,000每个月还款是您还这数就行，对，还死树还三十六七个。
[36:39.190] 30×36，然后您反正算算不回去的，我们都算过，要不然金融是早算出来了。
[36:45.910] 他反着算着叫年画算，那叫年画立什么玩意我们也不懂，你顺着能往下算出来，反正是算不回去的。
[36:54.470] 他们那种金融专门的计算专员去算，他们有公式，咱们自己算不回去的，
[37:00.090] 差多少差不多少。
[37:01.500] 你就说白了分期和全款这边差不多都就差一两万多元利息。
[37:06.230] 二不是所有车型，您看他不一样，那是lb对
[37:10.920] lb是可以做到零首付的。
[37:15.280] 车型不一样，利率低至0.99百分之，对，您看是不是所有车型
[37:21.460] bl B是这个吗？对。
[37:23.800] OC也就是说这24,000块钱就是笔钱款多，对比全款多花了这钱，您还银行还2万多块钱，其他是一样的，是三年时间，对这是三年，对两年的话利息就变成了13,000多。
[37:37.730] 2000万他家里每月还的就多点12,000了，对还款就高了，就这么点事，你这个
[37:44.270] 你这工行这非常自由，为了好算，这不是二十七七万9000多，这是资金固定的，因为集团借出了。
[37:50.920] 好算就带28万整，首付68,800还是开票价这个数，您首付加上贷款一共是咱们开票价的，
[37:57.800] 月还本金每个月4666，利息每个月是固定的723代，一个月一个月提前还款，没有任何违约金。
[38:04.770] 按5年申请的，你每个月只还5300多块钱，就5390 5400。
[38:09.850] 然后这是按5年5年总共利息是43,400。
[38:13.720] 5万块钱，对，但是您分怎么算？按三年算的话，您就带到三年，后边剩余本金一次性还给他的话，就按三年就在到三年，
[38:22.760] 利息是26,048，这三年的话是24,000多，这几年
[38:27.660] 这5年的
[38:28.990] 的是吧？
[38:33.430] 这个是这样的一样。
[38:36.060] 都是5年，这就是一年的事儿，对，然后95年没有别的吗？
