[00:00.190] 接受开始接车。
[17:43.580] 上我这到了您是交现金还是其他支付？
[17:48.460] 您是现金。
[17:51.670] 这家保险。
[17:53.000] 知道您是。
[17:54.400] 买的哪家保险？
[17:56.360] 人人宝宝。
[17:57.880] 他也回来了。
[18:00.400] 要
[18:08.800] 要哪个？
[18:10.470] 商业险、
[18:11.220] 商业险、
[18:12.550] 第二，我觉得规范他，而明细扣缴还没写，
[18:18.890] 我这真的什么说不上来差股票干活用的
[18:24.310] 分值。
[18:25.320] 你现在是这个。
[18:27.790] 太牛了，看你们也有任务吗？
[18:30.880] 我知道。
[18:32.400] 还没说死，还是要给我们添了你们二实干。
[18:37.550] 我不少，如果28上个月我
[18:42.210] 但我不知道上次我休假没法卖。
[18:45.120] 还有没有什么工资？
[18:47.760] 这种
[18:48.930] 一进来都有，二
[18:54.440] 有。
[18:56.710] 他还有没有20个保养卡？
[18:58.680] 两个2B
[19:00.950] 两三包2G宝石。
[19:03.720] 要买要卖。
[19:07.360] 也要玩，不然就扣。
[19:09.710] 你完成19个，
[19:12.400] 也不给你钱。
[19:13.600] 你19的都不给你吗？第20个跟你所有的
[19:17.670] 带不了钱一样，他
[19:19.850] 看看。
[19:31.450] 稍微一下。
[19:32.640] 请问你们肯定在这里，你看你稍等一会儿可以
[19:38.210] 给你打电话。
[19:39.710] 微信没有，微信我跟他说法他没有，他说我在忙不让我去哪。
[19:45.270] 谁知。
[19:46.460] 世代不理想的，是不是？
[19:48.400] 下面要跟他们沟通。
[19:49.870] 都行是吗？对他不在我们帮忙行，我直接带客户进来行吗？能稍微等一下，这儿有一个
[19:59.640] 我那天必须找到路，
[20:01.330] 他要是忙的时候或者他休息的时候，我们也可以
[20:05.370] 下午。
[20:08.270] 律师也来吗？
[20:09.660] 你也是吗？对，我这也是我的玻璃碎了。
[20:15.470] 行。
[20:42.400] 单子可以交费了。
[20:46.140] 相对是吧？
[20:48.470] 谁知
[20:50.990] 谁知。
[20:57.630] 他做什么材料？
[20:59.070] 不要个人，
[21:04.920] 千万没问题。
[21:08.630] 咱被保人就宝马送方式。
[21:13.740] 是下次说完过去的时候。
[21:15.640] 带着您的卡，然后
[21:18.070] 网银卡就行。
[21:20.510] 谁知。
[21:22.710] 我先了。
[21:24.450] 你卖了吗？
[21:26.200] 对我没用。
[21:27.720] 不是这样比较高的，你说的了吗？
[21:31.030] 我跟你走，不要刚才砸下来。
[21:34.640] 你主要讲一下商业险，
[21:37.570] 看一下保险单有电子的上班。
[21:40.230] 后面什么？
[21:41.310] 稍等支付了，我把钱看的客户开始。
[21:45.800] 好。
[21:47.330] 行吗？
[21:48.120] 工时克服的，如果没有刷卡的。
[21:52.660] 到了是吗？
[21:53.610] 稍等我回来。
[21:55.070] 然后结果
[21:58.340] 你什么时候来？
[22:03.040] 我问一下师傅给你回信好不好？
[22:07.300] 妈妈是不是给你回电话？
[22:12.190] 我问完师傅给你回电话好不好？
[22:16.300] 问问完了给电话。
[22:17.660] 要求，
[22:21.770] 然后需要
[22:26.190] 包括店面的这样的你。
[22:31.790] 看到的。
[22:34.760] 号。
[22:36.620] 下午二天。
[22:40.350] 还是
[22:41.900] 我拿走了是吧？
[22:46.820] 谁知
[22:50.730] 这个电话
[22:54.320] 完了。
[22:58.650] 玩。
[22:59.260] 就这样。
[23:01.790] 谁知
[23:03.540] 您到底能不能过来？对号。
[23:11.310] 4.27。
[23:14.210] 还有怜惜，有一个系登记500，你记得你啥意见没有密封圈说你说少一个。
[23:20.990] 就了。
[23:21.680] 让那个谁就是打一个。
[23:24.320] 订完货到me换网上E卡就行，很快吧。
[23:27.630] 要
[23:28.370] 的清楚了，方向您是他个人是吧？这个特点我给你开个票就行了，稍等。
[23:35.220] 我跟你说说很快。
[23:38.210] 好。
[23:39.170] 行，我让他来找你，行你好吧？
[23:54.920] 五
[23:55.960] 了。
[23:57.930] 二
[24:06.720] 40分钟左右。
[24:09.120] 40分钟，大概40分钟。
[24:14.840] 行可以。
[24:17.490] 找我就行。
[24:21.750] 没关系。留你。
[24:23.150] 好，再见。
[24:26.180] 你分手了。辛苦了。
[24:34.400] 如果说出来了，刚做完，
[24:38.720] 这边能够在那个里边我要
[24:46.390] 你想。
[24:51.480] 碰着了。
[24:53.360] 又过了
[24:56.240] 67.2。
[24:58.840] 20万。
[25:00.250] 水平有百分，
[25:02.390] 是吧？
[25:05.310] 有时间我这有一个水面交代没有？
[25:10.780] 一点点谁知。
[25:13.290] 我昨天了多少？
[25:16.420] 开始。
[25:17.490] 他让我到上来登录。
[25:20.880] 我就要要帮我一下有个单子的，然后。
[25:28.370] 就行了。
[25:32.060] 到时你你发给我给我转过去。
[25:35.560] 企业微信。
[25:37.090] 好那就急。
[25:39.690] 了。
[25:41.380] 9月份对你就先回去了。
[25:44.540] 待会一会。
[25:50.550] 明天。
[25:52.010] 明天晚上我就让。
[25:53.360] 我好像明天一早就可以回去休息。
[25:56.670] 我看看他们如果快的话，可能
[26:00.100] 下班是只能说完滨州了。
[26:03.940] 到时我看您这边这肯定。
[26:05.650] 难题不了是吧？
[26:07.810] 其实能急买或者是
[26:10.380] 我要和他谈谈。
[26:11.610] 三环你要是能赶上我就正好。
[26:13.800] 他们得六七点钟才能完事了。
[26:15.990] 早上你并不上游。
[26:49.080] 好好的就这么苦。
[26:54.640] 这样
[26:57.570] 我就忙了。
[27:16.870] 在这儿了的是多少，常委相当不错，保养检查互相钙口服液着急，
[27:29.080] 不再安排上吗？
[27:32.040] 动力十足的多点开花。
[27:35.640] 就得多点儿多是吗？
