[52:39.390] 用臂膀7了，就刚才到了给
[56:01.200] 明天我们已经准备明天。
[56:05.030] 一天
[56:10.720] 刚才
[56:12.150] 是不一样的，不知道。
[56:14.380] 这是我们公司的，然后
[56:19.910] 这地方
[56:24.480] 这样的信号。
[56:26.370] 今天
[57:03.660] 这两个发票怎么做，你晚上弄完。
[57:07.250] 看看。
[57:09.590] 我了没多少了。
[57:12.470] 看一下因为又回谁？
[57:16.210] 等等。
[57:18.180] 我可能一直没给我回来，我跟你说了。
[57:20.910] 就没办法了。
[57:23.430] 我当时就把那点不对。
[57:25.870] 都在采纳电话有问题。
[57:28.640] 10还是执行公司的。
[57:30.050] 这是一个找完了，
[57:32.260] 让他打电话老是呼噜响了，对方信心他还直接对方了。
[57:37.360] 对。
[57:39.330] 打开咖啡，
[57:41.280] 没必要让我没闹，我想这当中能不能在。
[57:45.340] 觉得两两。
[57:46.270] 往回打的马路，
[57:48.170] 要不方便的
[57:51.360] 你看我没电了，你看你那能传吗？你要说你
[57:57.290] 再说我那边都
[58:03.310] 这个是偶发性。
[58:05.350] 在这里面还有一个
[58:14.080] 他说。
[58:16.090] 他用了贴身用的耳机就特别厉害，用听筒会好一点，
[58:23.030] 但是现在清楚没问题。
[58:26.510] 这个没有问题，确定不会是听筒的问题。
[58:29.770] 的水平线，他那手机调整就没有问题了，没关系。
[58:35.090] 什么时候提的？
[58:36.110] 这个问题的
[58:37.700] 今天早上
[58:39.850] 有什么要求？
[58:43.390] 这块什么
[58:44.940] 其中这个文章就没这个本事，还要回来看一下我。
[58:49.790] 这个好像还是没问题。
[58:52.000] 给我的话。
[58:53.000] 我
[58:55.750] 我考虑了我感觉
[58:58.000] 谁知
[59:00.020] 没事他有的时候会断断续续的，但是只要用他
[59:05.990] 耳麦的更严重，
[59:09.240] 卖点货没法解决。
[59:11.280] 那能换电话吗？
[59:14.160] 还没的话跟换电话没关系。
[59:17.250] 后面发的。
[59:18.590] 咱们这边还有吗？
[59:19.760] 那就是说我感觉是这样的任务文章我这边打开之后，他比他们都得用生态园不适用症对吧？
[59:30.790] 另外接触的就是的问题，因为我把他转接口那块用他的就同意不能原谅的收到不用，但是只要用看的
[59:41.040] 基本上就这么简单，但是里头有一个附件，一般你的他那边正常不想买不正常，他也不能不兑现可以添加，一般觉得它里边还有很好的，那就说明这那个问题了。
[59:52.510] 是这样，但是耳麦已经不了。
[59:54.740] 当然了贴不了。
[59:56.370] 你把他没看见画好了对吧？
[59:58.810] 软件朋友好，然后他要换过专家，
[60:06.190] 他也不太好使，所以说不是电话的，但是我换过两个像了。
[60:12.430] 说明
[60:14.410] 的
[60:17.380] 如果说把那边换过来也是那种情况说明这个可以，但是那边发过来这边好了。
[60:24.810] 跟电话没关系，但是这边逛逛两个有时间反应。
[60:30.000] 部分。
[60:30.780] 可能就放过了。
[60:35.640] 行，我再问一下，如果要不好使的话，我再换一个电话，到时候你们再调一下。
[60:42.230] 8点谁知
[60:48.490] 找到信号不好，对方信号不好。
[60:53.750] 比方我感觉是我的问题，因为有的时候移动线或者不能电话一个，然后我感觉应该不是上边技术数据差的吗？
[61:03.040] 对。
[61:04.900] 这种他表示如果所有的这样
[61:08.140] 电话，但是偶尔有几个对方习惯，
[61:11.120] 但是对方信号的话，这些的话并没有问题了，这个产品直接
[61:19.050] 因为这种情况特别
[61:25.310] 要这样在上面打电话了。
[61:38.630] 乐乐坐，
[61:43.040] 的，但是好吧。
[61:47.120] 之前做过，然后再帮助不是说。
[61:56.960] 你自己在那弄什么，我放个电话调一下，我后期加上的电话还是这一块对吧？
[62:06.200] 我要是换电话的话，我还能用这个号码吗？行，我就先在跟他要个转变方式。
[62:12.650] 明白，老板因为一点
[62:16.760] 他们临时有事。
[62:21.260] 您这不是吗老师？
[62:25.760] 到底的车基本
[62:35.640] 看看感觉现实单独有一个转接线是吧？
[62:42.490] 对这些我感觉就应该是现在出现问题也应该
[62:48.350] 这应该是按月，因为这个线本来就是
[62:54.430] 基本上的稍微有个县松动，还有情况。
[63:01.060] 你先看看那个线是小店。
[63:04.120] 你换一下。
[63:09.920] 百
[63:15.490] 乐乐
[63:22.130] 还在做一个折线图，
[63:24.780] 过不了8个俩
[63:27.700] 转折，同时的话它是一块
[63:30.540] 订购的一个选择。
[63:32.560] 谁知
[63:34.450] 你要把这两个住庄的跟就要做一次，肯定有两个座位起来，
[63:42.050] 工作一起了。
[63:44.480] 够呛。
[63:46.130] 晚上要跑，
[63:49.640] 我最好不是背着你又不加班，不行怎么样？
[63:54.920] 不行，走推进了写了里成人了，我刚才他给我哥说的我都给吃了有点酸，
[64:02.910] 你说是行了，知道很快乐。
[64:06.650] 慢点，下面我们。
[64:08.590] 央15章下班。
[64:09.730] 明天准备好，下次来要准备上班了。
[64:14.880] 饿了吃的吗？
[64:17.880] 没有，包子当然不能给。
[64:21.270] 我刚才说我不吃，它已经不能给我次。
[64:27.910] 就
[64:29.770] 5万一个月。
[64:33.670] 这边我还有
[64:36.490] 我刚说了，
[64:37.930] 这还开会了。
[64:42.170] 几。
[64:43.040] 天。
[64:43.800] 烟灰缸看看眼角。
[64:46.400] 我看一下年长30就得售前，售后车间大门口不走，
[64:54.040] 别着急了。
[64:58.540] 我做完日报还是做日报呢？
[65:02.150] 我还有一个
[65:03.710] 还有一个电话没打，打了给打多少个电话，我一会看看表达我吗？
[65:09.690] 拉一半了。
[65:12.580] 你看一眼我出了多少个，接送了多少个，我要求去提前的衰老。
[65:18.110] 我们以后要保证每天6:00头部出40个接通。
[65:22.280] 融通。
[65:23.950] 加接通了这个点0是11个10，还有一个表。
[65:29.280] 一年云。
[65:30.130] 你不玩了没用。
[65:33.150] 首先的话
[65:35.600] 11高了点儿，
[65:44.610] 两
[65:46.380] 周棒，然后将石油附加险过一遍，
[65:50.570] 然后你稍微得留下一会，咱俩把食物撤离是吧？我今天接了个有个十三四五个，
[65:57.900] 然后你们这边白天没有时间不行，晚上还要回去加班，今天的
[66:04.350] 我靠这两天。
[66:06.070] 周五明天玩家卡车。
[66:07.150] 记得我这个瘾就上来了，知道吗？
[66:11.690] 咱们上回讲的吗？四大逐渐下危险一个比例。
[66:18.480] 也是一个附加险。
[66:20.070] 然后咱俩得把刘叔的里面刘修专门的流程工作你忙吗？
[66:27.940] 谢谢同学，你要不忙能帮我找一个
[66:31.690] 先事故。
[66:34.660] 你今儿都有的听见。
[66:37.930] 用了一半不能了，8000人在后续
[66:44.480] 又不是什么
[66:47.330] 60个不出40个联通打了有4个人街头了，10个还40~10倍。
[66:55.990] 我今天了
[66:58.600] 看它旧约的多了。
[67:01.530] 好了。
[67:02.600] 数据量坏了，
[67:07.220] 远
[67:10.400] 一
[67:11.640] 对。
[67:14.650] 约几台车。
[67:16.860] 你不是约的车多吗？可不是明天到店的。
[67:25.380] 电话
[67:28.940] 电话出来了。
[67:31.450] 远
[67:33.140] 月
[67:35.140] 了
[67:38.290] 了
[67:41.320] 的。
[67:43.080] 流行麻辣次，
[67:47.440] 可能会再度进场好吗？
[67:51.460] 谁知。
[67:53.660] 花
[67:55.660] 数据
[68:02.880] 远
[68:04.360] 场
[68:07.440] 的。
[68:10.830] 的
[68:20.840] 的
[68:21.840] 的
[68:24.100] 基本的
[68:27.250] 的。
[68:28.790] 昨天有时间了时间
[68:33.720] 弄个车。
[68:35.390] 对。
[68:36.470] 弄了吗？你确定吗？不要摆放用的。
[68:45.240] 赶紧把表都做完了，开始培训到那边别墅，好，今天的今日主要
[68:50.710] 已经住院了，
[68:56.930] 我们这边可以看到
[69:06.050] 的。
[69:12.970] 过去这次的事故出来之后，电话全部都是你们要，然后的上这样子。
[69:18.490] 这样
[69:24.800] 而且在之前你可以看一下不知道了，但是
[69:29.100] 下跌330
[69:32.180] 又上面
[69:35.480] 远
[69:37.830] 场
[69:59.910] 场
[70:01.880] 坏
[70:03.740] 吗？
[70:06.720] 基本
[70:15.680] 场
[70:22.470] 话
[70:30.920] 做
[70:31.680] 场
[70:33.490] 数据
[70:35.110] 场、
[70:40.080] 场、
[70:43.410] 场
[70:44.800] 数据
[70:46.950] 数据
[70:50.810] 数据
[70:52.240] 话
[71:08.330] 的
[71:12.520] 不算吗？
[71:16.380] 数据
[71:20.430] 了
[71:22.840] 三
[71:40.910] 数据
[71:45.240] 的
[71:50.060] 的
[71:53.840] 的
[71:55.130] 的
[71:58.270] 说
[71:59.720] 数据
[72:02.530] 10
[72:06.040] 的
[72:08.470] 数据、
[72:11.650] 数据、
[72:15.200] 数据
[72:17.780] 数据
[72:19.600] 的
[72:23.130] 的
[72:26.970] 的
[72:28.760] 的
[72:36.900] 场
[72:39.440] 车
[72:41.940] 的。
[72:44.620] 对。
[72:46.180] 上面
[72:50.150] 的
[72:54.750] 的
[72:56.310] 的
[72:57.870] 的
[73:01.710] 号。
[73:06.740] 的
[73:38.760] 的
[73:42.200] 了。
[73:46.640] 因为他也知道。
[73:49.010] 没有，现在总计三。
[73:53.770] 你看一下。
[73:56.480] 银行两
[73:57.940] 主要查12号两个我三个3。
[74:00.860] 这是0是吗？00对昨天90。
[74:05.150] 我是周日二上午6月30 5 10 8 17这块石头抱
[74:11.880] 到了
[74:13.040] 到
[74:14.280] 高三了。
[74:15.810] 都吗？
[74:18.790] 2号
[74:20.280] 了。
[74:21.450] 不满意
[74:22.890] 的
[74:37.110] 就一个
[74:49.230] 5月号等等。
[74:54.320] 非常
[74:55.170] 谁知
[74:56.510] 谁知
[74:58.090] 的
[75:13.910] 这样。
[75:15.310] 这个地方特别好，其实一直都有一个都三个女的吗？
[75:20.630] 好吧？
[75:21.910] 有人写吗？
[75:24.450] 我就走了。
[75:25.970] 你知道您来吗？在那里建设的。
[75:31.550] 那家有吗？他们两家住吗？
[75:35.130] 加上帮助
[75:37.990] 家里的
[75:39.360] 坏数据
[75:41.560] 数据
[75:43.510] 花、
[75:47.510] 花
[76:01.240] 坏
[76:25.440] 的。
[76:49.350] 场
[76:50.670] 数据
[76:52.110] 数据
[77:28.610] 坏
[77:29.800] 场
[77:32.670] 场
[77:35.230] 坏数据
[78:02.970] 数据
[78:06.750] 数据
[78:22.000] 说
[78:24.230] 数据。
[79:41.110] 把
[79:42.480] 了。
[80:22.960] 开始
[80:25.480] 完善
[80:30.600] 第。
[80:32.000] 的定义你都知道吗？
[80:36.230] 网络并保回答的吗？
[80:41.560] 的。
[80:43.210] 并冒着极大的
[80:45.890] 冒朝晚实际打的吗？
[80:52.100] 积累战功的，
[80:54.390] 稍微
[80:57.720] 高远的东西，
[81:00.370] 到店的时候除以
[81:03.410] 实际娇兰的
[81:05.010] 数量
[81:11.110] 到店。
[81:13.970] 越成功的
[81:15.600] 月充到电的时候，那也不可能。
[81:18.970] 分母是
[81:23.370] 约的。
[81:25.570] 分女士，我们集团有多少除以3，为什么136三个月打击电话，三个月一个质量，当然成功率就是电话。
[81:34.900] 等你的电话说
[81:37.320] 那些越成功就这样，
[81:39.650] 越长越
[81:45.690] 数据。
[81:49.220] 了
[81:51.370] 三
[81:52.620] 谁知
[81:55.540] 不是吗？我们的是什么呢？
[81:57.920] 你们要到后面
[82:00.140] 分子式育方面的这么贵时间了吗？
[82:04.900] 你今天约了几个，然后回来了几个主体，因为时间问题的约，成功率的疯子了，
[82:12.010] 月病灶进的社对吧？
[82:14.520] 分母我不等，你月整个的除了
[82:17.910] 不能还不出来，你们把我们的一个症状就是这个月成功率的分母是
[82:24.370] 什么？老师进入场的实际入场谈的是维修加保护的彩色，咱每个月都会报整个工厂，
[82:33.170] 也不是整个如果要继续反身的，
[82:36.030] 谁知
[82:37.670] 谁知
[82:38.740] 今天我们做活动，
[82:46.290] 计划
[82:49.690] 计划
[82:53.170] 我们都半天了，到了来在昨天
[82:57.750] 我们不没有收入计划，
[83:01.720] 谢谢了，让我们几
[83:03.420] 让你介绍咱们的方向在哪边，要不咱们
[83:06.330] 怎么干嘛呢？
[83:09.970] 然后我给你再讲一遍，
[83:12.140] 我从心里边招揽成功率，你们知道了，
[83:17.820] 怎么样
[83:19.870] 了？你不就用定保，所以客户管理什么玩意处理的，
[83:28.200] 没什么味道。
[83:30.050] 约成功率
[83:33.110] 越成功，越用提交事故算，
[83:36.520] 数据越多，
[83:38.170] 不是调过来。
[83:40.070] 一点讲一讲，然后。
[83:42.530] 都记好了，
[83:43.500] 并保障来实际达成，
[83:46.240] 约定成功到店的。
[83:48.860] 每天报的事儿是咱们写月道歉，
[83:52.140] 招揽成功分子式，
[83:55.020] 预约成功照片的商品，
[83:58.850] 鸡排份÷3
[84:01.390] 等等高的集团前面都是咱们客户管理办法的，现在是2000多了，53。
[84:06.800] 然后预约成功率的三次就是居家照片的
[84:10.750] 除以
[84:11.850] 分母是。
[84:13.370] 实际进场时机进场是不是？
[84:16.580] 维修台次，
[84:19.050] 狗家、保修家、保修家一般维修是你们倒的，19里面的保修家一般维修。
[84:26.690] 然后维修工厂计划就是指咱们的实验计划里面的，并
[84:32.220] 加广州的台词，
[84:34.460] 然后免费送回厂计划达成
[84:37.340] 咱们实际的进场处理咱们的招揽计划。
[84:42.700] 所以你们前面的音乐粉就是指前面的预约成功率，维修入场是不是加上你们的预约，加上你们的
[84:51.130] 未预约的牌子，
[84:52.750] 是后面有关系的。
[84:55.310] 这是我们第一部分运动方法，然后盯宝模块咱们上个月的话，
[85:00.320] 目前进度看在哪里，咱们可以一个看，那么成功率我们目前
[85:06.290] 百分之
[85:07.550] 三百十，2%上下9%点多，
[85:10.670] 咱们的成本是9.6%，这个原因是因为这上面很多新客户，
[85:15.850] 这些部分都是咱们得高，另外的话比较愿意的确还不错，
[85:20.140] 咱们当然成功率高，然后月成功率也比较高，越成功越高的原因，技术工作在意的目标
[85:26.900] 比较少，现在咱们销售的
[85:28.980] 然后数据维修工厂计划达成率很低，
[85:32.660] 就意味着现在售后的总进场白色很少，
[85:36.110] 然后总计两台次跟不上进度，但是我们的约束有效高，这边
[85:41.520] 没有什么随机进场的牌子，
[85:44.330] 或者违约的台词这种比较少。
[85:49.310] 其实归根到底还是懂的程度上，
[85:52.190] 造成最后我们的数据是飘没事吧？
[85:55.210] 我们确实也是到头了，一个
[85:59.370] 彩色，
[86:02.430] 然后后边
[86:05.420] 然后下面那个叫
[86:07.640] 今天整个三期
[86:10.010] 3100，
[86:11.110] 然后我们原来记得
[86:19.970] 然后续保这边
[86:21.280] 虚报的话，你们可以看一下这些极端是用户的数据，
[86:25.350] 确保计划这个就是40的
[86:27.530] 续保达成是36，
[86:29.520] 一直到现在，
[86:30.800] 你看后面的续保招揽成功率是什么？
[86:33.690] 跟下面的什么是一样的，是
[86:36.270] 招揽
[86:37.360] 招揽成功率是一样的。
[86:39.480] 它只不过它的分子式，我们一共去了多少？
[86:43.400] 分母是我们的基盘数是除以12这样一个定义，他的照亮成绩21%是比我们要高高很多的。
[86:52.510] 刚才9%，所以还是看一下，然后他们的事业计划达成了90%，也就是36÷40，你就要看你这数据，如果是把真正放过来，你们享受高收入的同时能不能超越这些指标？
[87:06.260] 所以这就是我今天跟你们说，为什么你们要保证你们6分钟护住4 40分接触了，
[87:11.410] 咱们之前可能薪资相对不是那么高，
[87:15.010] 要求的也不那么松，要求比较松，
[87:18.160] 后续的话可能会需要一些数据上的流程，
[87:21.900] 我觉得也是挺的原因。
[87:24.470] 要说可以。
[87:26.240] 所以你们每个月出去微信维护是你们的工作之一，但是微信维护其实都能占用了你们其它的一些事情。
[87:34.410] 我不是说上下午打电话皇帝的时间去维护一些，而且其他的时间去做这些东西，事实的
[87:41.470] 客户全部联系我们，我们要在几分钟之内回来，不是这样的，我是说的是你们主动去联系客户，包括其他信息或者这些工作，因为你群发来的信息必然会引起很多。
[87:54.190] 的回报。
[87:55.080] 所以这些工作你要先安排好这口了，比如说你约或者11点你要开始发了，然后中午时间去回复，这是第一个办法。
[88:02.700] 第二个方面就是你们的专业能力，
[88:04.520] 你们每去问S一套，就像刘青那边说得很多导演尽量不要去走，
[88:10.370] 尽量靠电话解决，您去一趟你最少要30分钟，待会都你打电话的时间，
[88:15.150] 在去往那等着，也是要尽可能用缩短听你的效率，缩短占用你的数量，你们没干一个其他的杂事，包括你们多聊聊之前天都是这样的。
[88:25.740] 你看由于家长打电话请你
[88:27.810] 介绍给我聊聊天，
[88:29.910] 所以你们的时间还要
[88:31.800] 在丰富起来，又什么付出44的接通，
[88:35.690] 这是后续我会列入考核的。
[88:38.950] 然后是这个东西
[88:41.670] 可以去，然后第三
[88:44.990] 就是说其实咱们现在缓慢的话，往往这边去走，
[88:48.620] 然后这个月
[88:50.670] 京东这边可能会优先县城的出租车，
[88:53.580] 下午有我们这边可能会进行调整，这种也可能会放着伊朗的
[88:58.910] 这个月放到你俩里面，当然如果我们享受飞行预约项目提成你们的货的话，因为现在工厂
[89:08.400] 我觉得是通话量，
[89:11.740] 集团涨停一直都在这材料，我们经常能不要财政好，我们如何正常材料，如果像你们每天报道实行电话二通电话，
[89:19.830] 肯定是没有数据的支撑得到我的意思了，
[89:23.090] 所以你的结果很好，但是样样有我能看到你们的结果，但是前看到你的量，明白我的意思吗？
[89:31.410] 咱们这个事故车的话，现在的情况是公司整体的达成还是比较跟他说。
[89:36.820] 可能。
[89:37.370] 完成37%，
[89:38.800] 是50的机场目前是一，然后接收短信的话是29，
[89:43.840] 到电视时期实际大概是19。
[89:47.240] 为保证质量，
[89:49.070] 这也就是为什么在你们医保已经删掉了。
[89:52.630] 然后咱们今年的续保主力军的交流工程，
[89:57.560] 这条原料
[89:59.190] 之前的话额度在20~30%，
[90:02.280] 4080%可能是40%多，
[90:05.320] 5%只是一个基本的行业最低的，
[90:09.380] 所以我们其实要跟上进度话基本要到60%，
[90:12.640] 所以接受到百分之达到60%，我没有办法收入增长，所以2000块钱10万到之前，
[90:19.230] 所有的短信都是由当地的自己去想办法解决，现在咱们就在市场那边了，
[90:25.950] 然后经常想到的东西，完了说大家考虑的收入多少，完了
[90:30.870] 大家都忙
[90:32.620] 好，是否需要第3月份？
[90:35.240] 就是这样的话，
[90:37.100] 这个月
[90:38.100] 提奖事故车
[90:40.350] 也会正常给你们进行具体讲，出去笔墨之外再执行一下。
[90:44.810] 是和过去一样。
[90:46.280] 凡涉及到一个问题，
[90:47.880] 里面是无数体谅也是乘系数的，
[90:50.010] 那是什么性格成的？
[90:53.160] 短期到
[90:55.310] 短信邀约到店率的系数，就是它分为两个，
[90:58.960] 树木车短线分两个，一个是自保的，一个是杯子包的，可能是这两个区别，技术基本在70%以上。
[91:06.310] 这是我们到店里
[91:09.390] 他们家的产品。
[91:11.970] 所以其实你们每次都招来招回来一个车，你的分母对不对？问题都是增加很多的。
[91:18.460] 所以还是说你们自主状态要跟上，聊到这聊到了下一个环节就是单车行。
[91:23.990] 其实你们现在每一通电话都可以去铺垫战车，行好。
[91:29.050] 然后杨晓那边有一些电动车新闻，还有一些照片可以去转发，
[91:34.200] 担风险我觉得你们应该也有意识，但之前其实是一个盈利的车，我不知道你们干什么感觉，因为我现在看到的每一个事物时候，都会觉得这个客户没有这2500机会没有整了，
[91:44.550] 我们的定价是很低的，你们那边平时也看到了一个奔驰保费是一个定价，
[91:49.850] 但是我们的赔付他出一次险2500，基本可以覆盖他的宝贝商铺。
[91:56.790] 因为这次
[91:57.920] 假设这次都没到的时候，我们也直接用
[92:01.390] 是吧？
[92:02.080] 他哪怕就赔一块气都是2500，甚至像那种开车二把刀就上面别出事故的，但完全就是挣钱了。
[92:09.990] 他一个保费都还过来，我给他出两次前，比如说今年被自己撞了一次给2500，别人撞了他一次就给2500，这5000
[92:18.430] 基本都够能够覆盖它去年的保费了。
[92:23.010] 他们考虑的肯定直接的对，所以二之前但是不
[92:27.780] 他在笔录我主要是
[92:29.920] 奖金开始。
[92:31.120] 因为我们这个点子就是推这项的业务，目前就当百度利用赔付人直接赔付的，保险公司赔付他的，今天帮我提问的观点不认真听，
[92:40.880] 保险公司是赔百%的，有所以这也是一个捆绑，第一卖逮捕车险新政160感，毕竟确保要这么，
[92:50.530] 明白吗？这是第一。
[92:51.960] 第二一个他出险回来找你，你还会整一个，
[92:56.090] 明白我的意思吗？
[92:57.360] 所以基本现在每通电话，我是希望你们每通电话
[93:01.290] 都去提起这辆车险，
[93:03.680] 把手机留下。
[93:05.410] 现在还需要我给你找点话说吗？
[93:08.960] 你就自己找，你明天给我们俩一人找一个。
[93:12.500] 他说
[93:13.590] 有问题吗？
[93:16.590] 一定能给到我怀里。
[93:19.430] 你来说。
[93:21.690] 你不知道我刚才说
[93:23.200] 明天早上我就说你思路没有100
[93:29.110] 数据
[93:32.190] 要写
[93:57.410] 数据
[93:58.980] 的
[94:00.320] 数据。
[94:03.440] 数据
[94:06.710] 坏，
[94:09.730] 场
[94:23.380] 场
[94:26.500] 什么时候发现
[94:38.270] 的？
[94:53.640] 您看
[94:54.630] 有人讲过了吧？
[95:01.520] 是吗？没事，咱们现在有能不能上班的话，你想说
[95:06.630] 咱们当中两让他的这样提升老师
[95:13.200] 这样就了吗？
[95:14.860] 谁知
[95:16.360] 1918
[95:19.550] 的，
[95:21.680] 还有
[95:23.240] 的。
[95:37.760] 您这两天还
[95:39.580] 了两次还开车又开始老师上课了。
[95:43.760] 好的。
[95:48.200] 好，您想跟
[95:50.560] 尝试着脸对一下，看看不会可能后期都会说
[95:56.280] 数据。
[95:59.640] 数据、
[96:02.160] 数据
[96:03.760] 的
[96:04.580] 的
[96:06.550] 数据
[96:07.820] 花
[96:10.160] 数据
[96:11.160] 数据、
[96:13.530] 数据
[96:14.480] 花、
[96:17.030] 数据
[96:18.480] 的
[96:19.790] 坏
[96:22.940] 的。
[96:29.610] 我到时候
[96:35.150] 看
[96:37.480] 看
[96:45.570] 差点
[96:57.440] 他们
[97:01.200] 谁知
[97:11.440] 这样
[97:12.910] 了解这话，但是如果我们
[97:17.350] 我觉得
[97:19.220] 谁知
[97:21.360] 等一下，然后我就跟他交流一下，
[97:23.680] 的这个时候多大，干的时候明天了
[97:34.330] 两
[97:35.400] nano我要是有那么大的谁知安全
[97:43.310] 安全性能的话，咱们就行了好吧？
[97:47.370] 然后就完了这边，但是他有时候谁知
[97:54.970] 内容刚好就是针对的是吧，就完了倒下了。
[98:01.020] 因为这样想发错三个没有找人给我一点自己的客户，
[98:06.510] 这样
[98:08.960] 然后我们刚才说到了的话，尤其是你俩咋招缆的时候，每天电话你不要太干，你就是这样打进去了都得挣点钱回来了，
[98:17.750] 就变成自己挣点钱回来。
[98:19.890] 你现在要die，亏得你还能赚160之后给你打个7保费，好好的。
[98:25.200] 然后了
[98:26.400] 不错，然后当天还有然后是回访质量，回访这边的话是根据这边的情况，
[98:32.710] 我今天下午跟你说的那个事情意见建议挖掘认可，第三号人要控制到32%，
[98:39.050] 现在国家3%以上，也就意味着门面房要跟上，
[98:43.410] 然后画面房销售率又开始6月，
[98:46.170] 这个月的话增值到百%或者90%往上80%，
[98:51.550] 这样的收入。
[98:53.390] 这个月比如说他这个月还是下个月，我的电脑资金质量比较高，我给你收购绩效的事情，
[98:59.130] 要把这个东西
[99:00.300] 去掉了，
[99:01.260] 然后最后没办法我觉得
[99:04.370] 把这些东西你们说的多，
[99:09.280] 所以
[99:16.490] 你这边把这个人的非常了，
[99:19.160] 加一些东西的。
[99:20.930] 退休。
[99:23.700] 然后第二个就是确实不错，7月份之前
[99:27.120] 谁知61%怎么样？
[99:32.790] 把这个东西浏览器他的帮助，
[99:35.090] 这就是咱们的表格，你们大概的情况你都知道了，
[99:39.480] 然后这些基本上都在知道就行了。
[99:41.640] 这个完了之后我们过一遍咱们商业信息，
[99:45.860] 然后你也想要跳过，
[99:48.240] 今天商业险比较简单，就不敢
[100:23.640] 不用。
[100:24.810] 谁知
[100:26.780] 8月7月份327点开始，
[100:29.280] 附加险的话始终是有10种，附加险的前提是不能单独上的，必须要在基础显得
[100:35.810] 基本系统风险的基础到底上面，
[100:38.640] 你想第一个我也看出破费一下，
[100:42.440] 电池干嘛用的？就是民生上面显示。
[100:44.860] 检查解释，由于平常车窗玻璃前后风挡玻璃，然后
[100:49.980] 单独破碎的损失，
[100:51.800] 电控玻璃属于车损半圆，也就是说你这边问题一个问题，前后风挡玻璃4门玻璃角色，还有车通道停车准备，第一个
[101:00.700] 购买建议，你要知道
[101:02.520] 日常行驶车辆很容易被死者或不明原因破碎，这种造成的损失不在保险公司车子
[101:09.940] 险的赔付范围内，需要个人承担修复费用。
[101:13.500] 车前玻璃用于进口火力国产玻璃，
[101:16.400] 对于高端车型与进口车型一定需要购买进口
[101:20.730] 过滤车险交保障，避免损失，
[101:23.380] 需要先购买车损后再购买，
[101:25.650] 都可以进行更好的补充，这上面没有明确这一项不要再有诉讼费用。
[101:35.020] 不保什么写的是安装维修机动过程中造成的玻璃单独破损，
[101:42.480] 所以报案的时候你说注意力的话，
[101:45.590] 我不知道怎么睡了，腰就开车了吗？一般这种都没有问题。
[101:49.820] 根据客户的
[101:53.850] 朋友车窗玻璃
[101:55.230] 破碎，
[102:01.930] 然后怎么保购买车辆损失险后可以购买，车主需要
[102:06.800] 选择购买进口玻璃还是国产玻璃车，然后
[102:11.140] 按车辆的使用性质或者是以及
[102:14.040] 多列
[102:14.920] 国别积分保证，
[102:20.870] 也不会单独破碎险，您都知道吗？
[102:23.530] 玻璃单独过去研究的前提只是注意这两个字就单独或者如果他有A柱，包括B度的损坏了，
[102:32.660] 对就可以坐车走了。
[102:34.260] 所以一般有的客户，比如说他没有活力单位，或者像以前受伤的话，都会把A股的
[102:39.830] 完了
[102:41.570] 在外做在
