[00:00.800] 7月26号下午，
[03:14.210] 有你要在这儿都将了，公司的股东也
[03:17.450] 谁知。
[03:21.840] 王瑛是您本人吗？
[03:24.190] 那就是说
[03:25.520] 汽车的
[03:26.950] 今天主要是利用了有时候也没事。
[03:33.570] 您在
[03:40.690] 当年的OK
[03:46.820] 你报一个范围。
[03:48.380] 我到时给您过去看看，就跟您当时成交价肯定不一样。
[03:58.010] 所以我在这里。
[04:03.810] 咱们这个就是宁夏说很多时候今天我准备长大，
[04:08.420] 我也告诉因为价格总机我只能走了3000，这真是其实我爸我都知道，因为
[04:14.170] 这是我好像因为没有真实出来了。
[04:19.290] 没看着300培养，刚才看他知道。
[04:25.920] 一样。
[04:28.890] 做事风格的。
[04:53.480] 这4家店应该给公车。
[04:55.070] 车这边。
[04:56.600] 这张一会我们评估师会告诉我人组成，
[05:01.750] 因为评估的价格
[05:03.510] 当然叫评估见面。
[05:06.060] 好吧，跟您当时成交价有可能还有一个技术性，
[05:08.830] 成交价格我们当天有效，到时候坐下来新车听好了咱们坐一块。
[05:13.610] 然后我们目的就是不给你买一新车，并不是为了收您旧车，你知道吧，尽量让您满意好吧？
[05:20.240] 这么着我跟你说下去了，
[05:24.450] 咱们这边看看买楼上，
[05:27.720] 谁知。
[05:29.820] 要干的，他说一样的干啥？
[05:33.240] 这拉长。
[05:38.320] 主要名牌吗？
[05:40.960] 您多大权力？
[05:45.060] 说好的。
[05:47.440] 价格一样，
[05:51.850] 的
[05:56.880] 我们这有没有黑色性？没有。
[06:03.130] 奔驰基本也黑色的基本，然后小车才能白色的，相当于现成的基本都没有，对。
[06:10.460] 想买灰的那是大概要等段时间。
[06:14.290] 灰色定了两三个月三个月，对，因为这个厂家就在一庄相对于快一些，
[06:21.450] 但是里边还有个电视，一张是厂家一块红外科对公司的
[06:27.470] 的。
[06:51.050] 目标、
[06:53.780] 你鼓励，要不然我先给您做个简单的需求分析。
[06:57.620] 您这边的话主要是公开。
[06:59.680] 对家用。
[07:05.160] 我只是在看球的。
[07:07.520] 饮料最多的是53。
[07:10.300] 对我一个人也Top3的。
[07:12.860] 对530我20K多大码，
[07:16.520] 227~12.85。
[07:19.000] 二百五十八九。
[07:20.990] 差不多。
[07:22.440] 三。
[07:23.260] 评价140 600米，这三是因为银行当时太多，
[07:28.320] 就开始的话合作，因为他之前也不太一样，
[07:32.030] 时尚叫龙骨，就是这样的结构。
[07:35.400] 内饰怎么说不是
[07:38.790] 这块的工作量这是中国对。
[07:42.900] 对非洲太压力了。
[07:45.290] 错做，你可以调一下公司就这样密码。
[07:57.390] 要带什么？
[07:58.710] 就选中了，他本身就再多一点，
[08:02.430] 但店内不会容易改装任何东西，
[08:04.660] 什么车型都一样，
[08:05.940] 电极板都是市场原厂，就是生产规模下面的原则整改完了，出现任何质量问题，厂家不认。
[08:13.610] 对，不知道您注意到一级河道后面的门的设计，
[08:17.850] 地方个是一样，他们装到后面直角。
[08:21.870] 对他的那一边有空，
[08:28.380] 平时跟宝马差两个，就是两种极端，宝马要
[08:31.470] 和公平
[08:32.950] 好玩的。
[08:33.900] 但是那是的话声音就不太好看。
[08:37.490] 本职的话工程方面是非常强的。
[08:42.240] 你不问他们
[08:43.710] 并且改不了，因为他这联盟刚改了一年多，
[08:47.790] 像林昭这还没改成电脑。
[08:50.880] 我觉得有年报。
[08:53.700] 在五六年该改了也不打车，
[08:56.680] 但依然卖得非常火。
[09:06.480] 是不是你交钱了？
[09:09.670] 第一次接待您给您这边介绍一下奔驰的服务空间，然后它是秉着客户为尊，以礼相待，诚信经营合法得体，然后各项都是明码标价公开透明的，
[09:18.540] 配置渠道清晰公示，买奔驰就是最简单的地方，绝不捆绑销售强制消费者，骑楼车子能买，没有任何强制要求，
[09:24.770] 不用什么装饰这些，没有这房子，
[09:27.320] 然后go像维修保养就不会使用，甲家也冲好，下边4分钟开始
[09:32.070] 只接听电话。
[09:33.330] 而且奔驰也是所有汽车行业，原告客户没有任何金融。
[09:36.850] 服务费手续费
[09:38.100] 怎么分期的话还要力求
[09:40.180] 然后网络战
[09:42.200] 刚才给我聊聊看价格了，行车您都聊一聊，
[09:48.470] 然后倒进了我。
[09:50.960] 不行，因为我看到咱这边给您。
[09:54.020] 裂大。
[09:59.550] 我说这两我看到要包含一个快乐。
[10:09.920] 没结果。
[10:12.640] 而且64克的和梅刚随意电动调节的，
[10:16.440] 然后安全的话主动刹车。
[10:19.000] 然后12颗雷达，还有他就是。
[10:22.120] 自动泊车这些都
[10:25.440] 时尚相当于是300的。
[10:27.890] 是他就两费的时尚。
[10:29.980] DD
[10:30.990] 低档的。
[10:33.870] 相对于的话是根叔想就差的是柏林音响后台的电动座椅调节跟
[10:40.800] 后排电动遮阳帘电动尾门，
[10:50.170] 他的倒车影像是360有360。
[10:55.030] 就不带不要惊动。
[10:56.520] 这一键启动，
[11:00.650] 这倒无所谓。
[11:01.900] 反正。
[11:02.770] 正常366是300标配，
[11:05.920] 分高低配。
[11:43.960] 为他月光石灰。
[11:45.710] 对公I事8月13号开始生产，然后基本上三周到店8月。
[11:50.490] 那个是时尚吗？对时尚的。
[11:54.190] 楼下有一个C是亏的是那啥的，对于光吃亏的是我。
[12:01.680] 对，行内是综合作家，不是培养。
[12:04.300] 那跟我那做好。
[12:05.600] 对。
[12:06.600] 8月13号开始生产，然后这边主要。
[12:09.160] 要是有订单就可以推。
[12:12.180] 调配也没有选装的。
[12:35.600] 您购车全款还是？
[12:37.590] 你可以先看看先。
[12:53.870] 咱们这边算旗舰店，因为我看AP爸爸基本上北京没有比电商大战，
[12:59.240] 是VIP迈巴赫，还有G全麦车所有东西都
[13:02.980] 完全现在写这边基本没有能挂到4亩，
[13:06.060] 挂在每一面其实代表着每一种车型。
[14:37.910] 在爆炸之前再次给您宣读一下这服务公约，这个
[14:41.180] 客户为根以李湘，但诚信经营合法得体，明码标价、公开透明推荐渠道信息公示，
[14:46.800] 绝不捆绑销售强制消费，绝不使用家寨的工号300881188是咱们通电话，
[14:52.120] 这块带有全国统一模板最新版本的报价单，然后这边购车人王先生指标是您父亲的是吗？对。
[14:58.100] 考虑车型E300例表的没处您就可以时尚外观，灰色的那是棕色，136是您的手机号，
[15:06.370] 465,800是咱们的指导价，也是公示价格，下边有公示价格牌，现金优惠是7万，优惠完是395,800，购车费用开票价除以11.3，就是准数上下浮动在几毛钱？
[15:16.970] 35,027，然后北京牌咱们电力这边验车2500，然后包含就正常开完票，出保险办理牌，工商验证的交媾车验车全款，
[15:26.500] 然后这边保险像人保平安太平洋人寿选择哪家上什么险种，客户自主选择，
[15:31.910] 这个车加上交强险，咱们长期上来就是车损三者100万不计免赔，这些大概在1万块钱左右，
[15:37.600] 第一年都是83折，
[15:39.150] 置换的话您就车价格单算直接补贴5000商业险，假如您上1万自己花5000块钱，想今年
[15:44.840] 旧车价格都是咱们为什么刚才师傅跟您说，咱们同时进行不是直接抵新车款，
[15:50.370] 假如今天咱们来办新车，
[15:52.250] 就车款当时当天就打到您账户上，
[15:54.730] 咱们上午办手续下午就能到你账上，这边的话新车应该交新车两项同时进行，
[15:59.690] 哪个都不耽误，陆地的话就车价税验车保险跑去补贴总共438,000。
[16:05.500] 全办。
[16:06.560] 对，没有强制购买，相当于就差一个，到时候一保险我得再没有保险错。
[16:12.810] 对。
[16:13.910] 你这次438,000是加了5000。
[16:16.850] 了。
[16:17.500] 三五千有用。
[16:19.390] 就这样。
[16:20.360] 置换的补贴，就想。
[16:21.680] 置换的话就。
[16:23.190] 以这都5000万，
[16:25.030] 就多5000块钱。
[16:33.270] 初次。
[16:36.600] 第二，假如我们要是想贷款的话，价格就会在。
[16:39.840] 跟价格没有关系，跟池这边所有您购买任何东西跟价格没有关系，
[16:44.310] 你就提裸车走，都是这个价格不会动车价。
[16:47.950] 好多品牌宝马反正是1万多装饰分期的，有服务费，这一项就花2万块钱。
[16:53.080] 对，等于白扔给他的这种
[17:01.220] 一个月还400块钱左右，两年三年都可以。
[17:03.920] 咱们这么重视不动。
[17:06.310] 奔驰不动的。
[17:08.270] 谁知
[17:10.750] 重视客户选择性购买，几千的上万的几万的都有，但是不会强制你买。
[17:15.640] 我就跟这么说，你花钱买的跟送的东西是不一样的，花钱的肯定质量上乘，以保障送东西应该是最次的。
[17:21.720] 这是针对。
[17:23.860] 哪怕您在店里花几千块钱买的东西都给你送你的钱，送您它是要多次有多次的。
[17:29.560] 你说都四五十万都花了您的宝马送那些酒店什么家里都说1万多块钱，您信吗？我想肯定不可能。
[17:38.110] 就是说我不要，然后走上人就必须得咱跟店里买，正常奔驰这边的话是8800的可以去给您申请，
[17:45.350] 这是正常有质量的，奔驰不送，但是东西质量肯定是不一样的，这些东西咱们都是质量保10年的。
[17:52.670] 对，没有花钱的，不是拿钱买东西肯定跟他人给的不一样。
[17:57.300] 你再帮我们算，假如我们想贷款的话，大概利率和贷款您是想带几年怎么个贷法？现在首付比例咱们这都是有多少都可以，不对，但是零首付基本批不下来，很难不会零首付。
[18:11.540] 都可以吗？我们贷10万。
[18:14.220] 在10万这样子。
[18:15.630] 在几年。
[18:17.640] 你们有一年两年。
[18:19.860] 我给您看，
[18:22.650] 这是奔驰金融的或者银行的都可以，银行的话是按5年去贷，提前还款，没有任何违约金，假如说您贷两个月，后面不想带了，提前还给他，把本金还给她OK。
[18:32.800] 对。银行贷款利率是多少？
[18:35.380] 年画是3.1，
[18:37.060] 文化三。
[18:39.070] 非常低，甚至金融稍微高一点。
[18:42.110] 他的31还高，就是说具体的
[18:55.510] 又开始挪车了。
[18:57.440] 了，我们客户都问二楼这些车怎么上来，下边这S这个位置是个起重机，把着栏杆会打开，我们车子开上那去，
[19:04.030] 很危险，我也。
[19:05.540] 都有律师，我真好听，我这二层每个客户都。
[19:09.050] 再问，因为我们每天都在卖车，刚刚跟师傅30来个了。
[19:13.800] 平均周末两天都得订五六十天买30多辆车，
[19:17.800] 这一个月非常轻松，就300多台，还能给下个月留100多个订单。
[19:24.190] 这怎么说为什么车员一开始E级车不好，匹配的比较严，100台里边有一个彩色。
[19:28.520] 测绘白色就不错。
[19:30.170] 厂家给匹配资源也得看着店销量高，要是不高的话，你给匹配好的资源不用全浪费了。
[19:49.380] 年化就是一年是利率多少？
[19:51.740] 年利率大于1万。
[19:53.490] 估计这300下一个利润。
[19:59.370] 您贷100万的话，一年就是3万块钱。
[20:04.150] 2000. 
[20:05.220] 相当于101,000年份将近
[20:08.840] 5个人。
[20:10.820] 对在您待不到5年，您会提前还款这种。
[20:13.860] 对很多人员做银行这种的5年的话去它按申请5年。
[20:19.410] 工行的。
[20:20.310] 它是用个人信用贷这种就会给您还款卡是已经发生信用卡，但是没有额度，您每个月往这边存钱他就划走了。
[20:27.400] 这种假如咱这5年您假如说在1010万块钱存银行存三年死期，您存的利息政策能把这利息顶了之后还能再挣点，
[20:36.720] 剩下的本金没多少了，一定还给她OK，这样能挣钱。
[20:40.520] 您就是这样，他年利率3%，我们30万一年3000，然后我们盖完了一两个月就提前还款了，那也可以。
[20:48.570] 算没有利息。
[20:49.800] 后边利息丰富了，待一个月一个月利利息是固定的，对也没有违约金这种是吧？
[20:55.110] 对，就直接回要提前还款，就剩了多少本金，直接给他就OK了。
[20:58.670] 这样的
[21:01.410] 往往经营号码这看书网了。
[21:04.610] 弄罗马什么宝马金融，奥迪轿大众金融吗？
[21:10.000] 跟大众用的是一个东西。
[21:16.730] 杨哥了吗？
[21:18.200] 然后正好也问了像E3的。
[21:20.660] 平时比如说1万公里我做过。
[21:23.290] 保养大概多少钱？
[21:24.870] A宝1158必保1600多AB循环，这保养跟宝马差不多。
[21:29.510] 是啥意思？一年或者1万公里一保养就行，没有首保3000 5000这么一分，也没有5000~7500保养，假如今日开早过一年或者1万公里，哪个先到去保养就行。
[21:40.580] 咱们这做一次是1000
[21:43.070] 1000多少钱？1100百五十八五。
[21:45.080] 5万。
[21:46.000] 还
[21:52.010] 宝马是有什么三年质保的？
[21:54.540] 三年不限公里数，不是他那宝马三年10万公里，
[21:57.970] 这是三年不限公里数。
[22:08.830] 可能8月份到了灰色城市地标还是。
[22:12.220] 列标的给您看的是绿标的，对。
[22:15.840] 这种的话就是在10万块钱利息总共是待几年？
[22:21.760] 年6月。
[22:23.580] 两两最低两年，
[22:25.160] 两年的话利息是4743，然后每个月还4364块3毛3，
[22:30.720] 然后你们奔驰成交还款是有3%的违约金，
[22:35.270] 对这种年化利率和4.49，
[22:39.400] 这个是奔驰金融对奔驰金融的。
[22:42.320] 或者是这种的话也是两年的，它是先息后本首付交一半，然后带一半，
[22:48.120] 每个月只还410块钱的利息，然后两年之后一次性把本金给他就可以了。
[22:53.370] 然后一共利息的话花了适合9855，两年您带到十七六万七千九，就这一半395,800的一半，
[23:02.640] 就小20万将近。
[23:04.410] 那么我们看一下这个车型，灰色的不是立标的，有最近能到吗？达标了，对达标我看一下。
[23:17.530] 目标的出口吗？
[23:21.500] 没有，一直到9月份生产都没有。
[23:31.150] 我现在C。
[23:33.930] 哪个cc
[23:35.920] C也有立标的，但是没法看，根本就没人要目标就太哭了，就有点感觉太别扭，能看着。
[23:45.650] 说。
[23:52.110] 我觉得好像黑色的可行。
[23:55.510] 黑色。
[24:02.630] 递交。
[24:03.920] 像
[24:05.200] 去洗车，他们有电动车没事抽不出来，他现在里边是一滚轴，
[24:09.540] 让他们过来，对他未能直接折回来，而且正常往下搬的话他才能弹回去。
[24:14.790] 除非小孩直接薅住了，转着圈井那会耍，对。
[24:23.090] 对这层就是AMD，性能、车排量基本都在4.0双T的。
[24:33.670] 刚才说要是走银行那种保险，
[24:36.770] 贷款是
[24:38.410] 是相当于我们去自己走，他在这住店直接住店，他这个月底之前他都在咱们店面签，不用去银行直接在这签的，当天订车当天就能
[24:48.160] 但指标人家来。
[24:49.660] 对。
[24:51.130] 谁知。
[24:52.270] 就可以借贷分离这种工行的，比如说您审核人是您，还款人您都可以
[24:59.550] 指标是您父亲的，可以这么借贷分离。
[25:04.240] 这个价格上面我们还能再聊聊。
[25:07.160] 对，看您什么时候定了去找领导申请，这是我的权限，随时对你有效。
[25:13.640] 就奔驰怎么说没有什么可比的东西，没有强制要求就非常透明化。
[25:21.050] 的。
[25:26.150] 对，您可以看他们现在往生的下边。
[25:29.270] 对。
[25:43.370] 493的啥房子？
[25:45.360] 16三件新款那老款卖完了。
[25:48.460] 那会是报完的话是100
[25:51.970] 不到100亿。
[26:09.850] 还有。
[26:11.240] 没问题，那就是没有任何。
[26:13.950] 您看有什么疑问再给你解答一下。
[26:19.410] 如果提交之后他就得干。
[26:25.120] 对价格的话估计今天晚上够呛能出来，因为咱们这不是店内给价格，他是直接上百得利集团的拍卖网。
[26:31.510] 后台出价没事，明天出来之后正好明天我给您打回访电话，
[26:35.340] 然后直接给您报过就可以，对。
[26:41.160] 行行没事您客气，有什么疑问的顾虑方面您随时打电话都行，下面的二维码直接邀请您扫描作为一问，
[26:49.650] 服务业作业白天调研。
[26:51.530] 对。
[26:58.600] 都可以。
[27:07.270] 就完了跟我说看看。
[27:13.880] 我们这块我说
[27:15.730] 一楼人口
[27:19.430] 不到，
[27:21.450] 谁知
[27:32.480] 影响
[27:33.480] 里面到了之后就走吓着了，没事下来。
[27:38.310] 然后我看了看了
[27:44.660] 您开车了是吧？对吧？手机空间好像还是免费停车的。
[27:48.880] 咱们
[27:59.620] 下面
[28:00.650] 应该时间长了，他那收费反正也就收费了。
[28:05.950] 有不少一会儿。
[28:06.980] 对，验证码点确定之后整个停车点评。
[28:12.410] 对，还没有看到，您感谢您再见，都及时打电话。
[28:31.670] 我这看着长得真漂亮。
[28:36.130] 咱们13671186363，
[28:39.750] 第312对比武器64期分期回想好像清华还有什么要求。
[28:45.710] 妈
[28:46.860] 这小姑也真的好漂亮是吧？
[28:51.480] 邻居小短裤的，
[28:55.070] 你在这两
[28:56.880] 88周岁那大水B我怎么办？
[29:01.360] 谁知
[29:03.730] 45 26块
[29:09.510] 热死我了。
[29:15.390] 136。
[29:19.560] 6363。
[29:25.600] 530 280多岁。
