[00:00.490] 接待二次客户李先生试驾，
[08:11.200] 一三百的薄款的不会的。
[08:14.840] 除非是有一种情况，新款出的保款医护车就三四百家，每个店都得好多车，
[08:21.570] 但是人家9月份就不再生产老款的车了，8月份的都没有车卖，你想想他可能
[08:27.730] 不会的。
[08:28.640] 奔驰也他厂家也不少，因为他不是大的换代。
[08:32.400] 他生产到出产，谁知
[08:36.020] 正常一个月他要说发布的话肯定有车卖了，能不发布的车还没到，这A和CRV都发不了，现在没车到。
[08:44.830] 他酒店很无聊，他那只是小改款小的，
[08:51.360] 他还没到中期在场的时候，
[08:54.120] 但是每年3月份9月份都
[08:57.470] 一遍就优惠就少，这个时候估计这是他们套路。
[09:02.070] 那就没问题了，这块没
[09:04.290] 本来没想明白人家后面
[09:06.880] 明天你们叫了准备，
[09:09.440] 一般东西如果咱们开车能开完了，
[09:12.480] 没什么技术这一块，你要开场的话一年1万公里就保养一次。
[09:17.140] 待多少公里高压一
[09:18.920] 1万一包。
[09:20.670] 1万或者一年
[09:22.500] 签到位置。
[09:33.000] 到时候
[09:34.440] 出来了。
[09:35.590] 不出去还得走走。
[09:37.660] 头上不知道，确实对。
[09:42.170] 周六周日就知道就到下边这一圈，然后周一至周五就是到南门桥。
[09:52.080] 等。
[09:53.800] 还有。
[09:55.410] 你们是想7月份换是吗？
[09:58.720] 我8月份左右8月份。
[10:01.780] 可是你要8月份的化，现在这款肯定有，但是要是9月份真不一定有车，
[10:07.880] 只要交定金这应该肯定保障不记得，毕竟我们是不给留车的。
[10:12.940] 我上午那客户交不清。
[10:15.090] 这证明他不一样，因为它指标10月份才能排一个半月，他是在9月底才能下来。
[10:19.840] 没事装这类标的大卖的好。
[10:23.040] 他俩还真差不多，他要真差不多分不开。
[10:27.480] 因为一般的你要是递交的话，你就是比较商务一些，但是我个人觉得你要是大标的更年轻化一些，
[10:33.830] 但是家庭用车买大车的话，我感觉自己表现得比较大。
[10:37.840] 对，一般一边写的前脸那块比较宽一点，比大标比较宽一点。
[10:42.490] 这是平均分代表吗？对。
[10:45.800] 反正家用的还是大格的多。
[10:49.080] 这样
[10:52.010] 好吧，反正你3点三百的话真的比这重的要好。
[10:56.070] 差挺多的，谁知。
[10:59.380] 对会比他少一点点，有，但是也不会差太多，因为两个车整车的重量都是一样的。
[11:05.820] 那就是跟男人似的，你一个大人去扛着100斤大米和一个稍微小一点的孩子，其实她肯定就不一样了，就这种感觉。
[11:14.710] 所以说他配偶上也差不了太多，你说
[11:19.310] 咱是的这款是12604去的，咱们从前面貌似对咱从下面保持有点紧，在动力上是一样的，
[11:27.160] 动量有一样的一样加速四驱的比两驱的man
[11:34.720] 当时跟不要你先赶快来一下都不一样，对，我跟先生说了这oc是300有时驾车的那样，对。
[11:43.270] 你是不了了，没法再试了。
[11:52.710] 你看装备防护角用地板摄，
[11:54.920] 次序的跟操控没有关系，四驱的就是你在与铁路面冰雪面试这么准，它会更稳一些。
[12:03.480] 他四轮驱动是这个意思，他不是
[12:06.880] 他不是什么，不是说它加速什么会更好一些，它加速比两区还慢一点，慢了0.1秒是1秒2秒。
[12:14.050] 明白了，V
[12:15.570] 刚才
[12:17.240] 小花
[12:18.500] 水上上。
[12:21.150] 但是
[12:25.080] 黑色的
[12:26.970] 召开
[12:28.050] 面才能飞翔，可以
[12:30.810] 敏感，我看这个是事实。
[12:33.840] 你不用你看这个是T档，对。
[12:48.990] 对。
[13:09.300] 已经了，对，头发也是电子的，只要一熄火手刹自动就上来了。
[13:15.340] 对，自己就上去了是吧？
[13:17.670] 不用了就可以了，只要你一开暑假车门的音乐它就关了。
[13:23.710] 然后安全带
[13:27.350] 我觉得还没有，他们说
[13:43.840] 我应该
[13:44.600] 关注。
[13:47.740] 可以。
[14:03.130] 这应该比咱们那会儿
[14:04.920] 也要差一点。
[14:10.120] 今天买的是两栖的，
[14:11.980] 不设区的。
[14:13.370] 跟那个没有关系。
[14:17.640] 加速指的是看他的功率和马力，
[14:25.140] 他还是很好。
[14:28.280] 你他玛利会更大一些，你要是选择高配的
[14:33.520] 动力会更好一些，因为它发动机也大，2.0T的发动机，
[14:43.420] 你没事好像是下个月定还是现在考虑订，然后下越提越高交警。
[14:49.090] 对确定的话您交1万块钱定金就行了。
[14:51.780] 而且周六周日店里边有活动，
[14:57.380] 我给你算算。
[15:00.390] 行，你给我算过不干了，对给您算过一次还有新的优惠，对你要今天能定的话就从还得给您问问您再优惠点，上次给您微信给说了吗？因为杭州的用户7月3，
[15:12.140] 因为你们要是考虑用的话，我才能再去给你问问。
[15:18.000] 360什么颜色？
[15:19.870] 颜色现车应该都是可以的，我查一下。
[15:25.360] 谁知
[15:28.930] 坐着我查一下有没有喝完事了吗？
[15:33.720] 吴哥？
[15:35.360] 我跟他说了还没。
[15:38.630] 我那完事了吗？
[15:40.720] 不过
[15:43.520] 没问题了
[15:48.390] 觉得你问他不就完了吗？
[15:53.520] 你们是要达标的还是地标的？
[15:56.000] 两
[15:57.010] 快是要最顶配的还是要时尚型的？
[16:00.390] 就这样时尚型的是吧？
[16:03.270] 差多少钱，其实你们来晚了，你们应该今天有一辆车一三百豪华492,800的车，现在搞特价优惠8万。
[16:11.760] 因为为什么特价？因为那个车的话是3月份生产的车，就时间稍微长一点，
[16:16.760] 上午被我同事订了，订办完了跟现在一三百十上的价格差不多。
[16:21.480] 反正他3月没有，您坐着我给您看一下。
[16:25.820] 要大点。
[16:27.640] 你说
[16:30.760] 第三轮高位差多少钱？16年的差了一个是34时465,800，一个499,800差34,000，
[16:39.410] 一个差一个后排座椅可调，柏林之声音响，后边隐私联系人，
[16:47.240] 然后还有前面的一个抬头，
[16:49.980] 还有其他龙骨，其他的都是一样的。
[16:53.240] 10楼开始都是一样的，对农产品。
[16:56.510] 没有现车这车你看现在咱们先把那个证
[17:00.760] 调不可调的，对，只有最高配的是可以调的。
[17:04.210] 时尚行的现在没有现车。
[17:08.090] 什么时候？
[17:09.390] 最早的7月29号生产，其次是8月7号生产，然后8月10号生产。
[17:14.910] 他7月29生产，如果到这8月10号差不多，
[17:21.370] 但是黑色的这车没有别的颜色，都是黑色的。
[17:25.120] 现在有一个我看这是什么，有一个红色的，
[17:28.390] 红色的，红色就是展车，
[17:31.440] 这个都有点的
[17:33.170] 黑的、红的、蓝的、灰的、
[17:35.550] 白的，
[17:38.800] 但这车还是买黑色的多，反正
[17:41.900] 现在还有这课做活动蓝色的，但这是1260，
[17:46.830] 这也是高贵的，这就是1260我现在定心，
[17:52.800] 这是429,800那款。
[17:55.900] 对他那个问题。
[17:57.620] 价格不着，你你在我店基本不破坏，
[18:01.100] 你要买其他没关系。
[18:06.000] 关键问题。
[18:07.540] 还有联系吗？不完了，比如说我们钓上来了还是没找着，
[18:13.000] 您需要买白的，我估计现在8月份车牌产9月份就开始修上新款了，您定的就是新款，您在哪买给你拿说话单位现在就不生产了。
[18:23.230] 现在看到的排产日期都是8月份了，他不可能在那什么了，
[18:27.340] 在等9月份9月份就那什么了。
[18:30.320] 9月份他就上新款了。
[18:32.910] 现在你要是要白色的话，就是大最顶配的有一辆白色的现车。
[18:37.950] 白色订的话什么？
[18:41.720] 没车，现在图我看不到。
[18:43.900] 所以他说扮演的生产出来还没生产，7月份都没有车生产的，现在看到最早8月份的了，
[18:52.450] 8月份预计生产，
[18:55.000] 8月份我现在看到的全都是黑的，
[18:57.240] 它是指成长的，不是说它只生产黑色的，现在能看到的资源是黑色的，
[19:02.290] 白色的就是大标的有白色的，不是就是最顶配的。
[19:08.910] 是不是最顶配的？
[19:10.970] 有白色的，我家车子要把在那边的黑色
[19:16.390] 射手，但谁知
[19:19.890] 白色的你可以考虑高配的有白色，
[19:22.720] 33万多块钱。
[19:27.560] 没有，我觉得我们店没有，其他店也不会有了，因为我们店的资源还算比较多的。
[19:34.950] 的。
[19:39.490] 的
[19:41.450] 的
[19:44.910] 我说
[19:49.520] 挨着云南的车你肯定要充电的，
[19:55.930] 现在订白的你只能定顶配的，
[19:59.450] 时尚的看到的反正全都是
[20:02.370] 那个电话全都是黑色的。
[20:05.660] 看不见。
[20:06.620] 电动后备箱对。
[20:08.700] 其实您要是选择你考虑全款还是分期付款？
[20:12.130] 定期的分期就是一半一半，对，我觉着您就差不了多少钱了。
[20:17.500] 对吧？就跟那牌子黑的哪个好。
[20:21.480] 对我们的
[20:23.520] 刚才您试驾那车都是绿标的白色，反正我跟您说卖得多的肯定是黑色。
[20:29.210] 白色很少。
[20:30.710] 买白色的很少，一般买C级车都是买白色的。
[20:34.810] 流水。
[20:37.050] 你要是选黑色的话，现在订的最早7月29号生的，
[20:41.240] 自己有点您就只能像黑洞，因为E级车的或者黑的一E级车黑色是最好的，然后其色实习四是蓝色，再其次是白色，然后是红色，
[20:53.480] 灰色选的人也不多，
[20:55.020] 不可能C级那个会
[20:58.060] 门口C月光石灰，
[21:00.320] 就是钱为什么？
[21:02.180] 也收回收回。
[21:04.960] 您就定。
[21:07.790] 最快的就是7月29号生产，8月10号能到，
[21:11.090] 再往后的话就8月7号生产，8月10号生产，8月12号
[21:15.240] 一共就这几张车。
[21:19.330] 5辆车，
[21:29.110] 的
[21:33.840] 奔驰销量的高大。
[21:35.530] 对。
[21:36.520] 往往这人每天其实在奔驰，现在确实比宝马奥迪
[21:43.400] 是我今天一天我都跌了10拨客户
[21:46.590] 了，就不停的接，然后过太也挺累的，像你们上
[21:51.920] 不需要您去找，都是属于上门去给您安排，我刚记完这个客户马上就立马就让我接下一个客户，奔驰销售最好。
[21:59.990] 不重复了，对这确实，但是我们也累就不停的接，其实但是不见得所有人都立马就能买或者什么，有很长时间的大家都在看吗？
[22:09.040] 都在车上看看，对都在看，第二次看的上海来，刚开始看二第二天一直没有时间，
[22:16.930] 我那个客户也是两周之前看完，今天上午来定的，昨天那两个也是。
[22:23.030] 我觉得您反正你现在来看你现在的情况来看，市场包括昨天客户跟我说的，他朋友就干二手车的，
[22:30.470] 保证D上来讲，奔驰现在是最保值的，奔驰比宝马高一些，宝马比奥迪高一些，奥迪是最不保值的这几款。
[22:36.790] 反正如果说您从长远的考虑的话，您开个7年8年的再换车的时候，您肯定也是奔驰的会比您看宝马要稍微略高一些。
[22:46.590] 蓝本上面黑色楼上就是一300十上行，但是那势力标的。
[22:51.750] 对，就是说
[22:53.000] 的标准咱这也是上不是那是也不一样的，大标的，那是木门都是黑色的，
[22:59.520] 然后立标的木门全都是黄色的，
[23:03.910] 对，然后他俩方向盘也不一样，立标都是圆的。
[23:07.290] 大标的下边是平的。
[23:11.130] 反正上面我看那个绿标我是外接手，
[23:14.750] 这里边我是在这边的大标的，反正我觉得大标的更够更好一些，目标太商务了。
[23:22.470] 对很多那种东西。
[23:25.050] 绿标的确实有点点。
[23:26.940] 这种只能看标准。
[23:28.880] 这就是打包黑色，我觉得你就黑色的。
[23:34.960] 再放。
[23:36.220] 我们差300块钱的，对，所以他就查三你考虑大包。
[23:40.830] 关于这两个价格都能最低到多少，您要是说您今天能定错，我就给你找经理问，因为昨天根本没有都约好了是。
[23:50.130] 谁知对。
[23:52.300] 试驾一下我把不还得现在去应该能睡着。
[23:56.260] 估计还有。
[23:58.320] 宝马在哪儿附近附近有吗？
[24:01.320] 反正哪有汉丰湖那边。
[24:04.320] 也不知道怎么都是
[24:08.130] 还有一次专家最近你去过吗？去没去过巴马甸？
[24:13.740] 就上回看过一眼也没事，谁知
[24:28.630] 三个月之后我交流咱们去一下。
[24:32.400] 基本上每个人对
[24:34.640] 你具体什么交流工程，
[24:38.010] 即使需要对那一次电话
[24:41.430] 要穿我去还钥匙，
[24:43.770] 你还让人家稍等。
[24:45.620] 常常原意就是低地
[24:53.810] 做
[24:56.200] 特别难闻。
[24:57.080] 这样的
[24:58.330] 你就是说跟这几年自己刹时间，
[25:02.670] 18月之后交133万。
[25:06.520] 千，对这个手机不行，就是说
[25:19.080] 只要我这个还没买了1万块钱
[25:22.180] 回去。
[25:24.960] 对你给他。
[25:26.810] 我们汽车都定了，他也不能他刚才我
[25:33.040] 不可能这个不用
[25:37.440] 提交。
[25:43.400] 不行。
[25:45.010] 还有他的。
[25:48.330] 对，你知道WiFi吗？看起来完全没有看那个邮箱吗？
[25:52.840] 这边有一点闪失了，能听见声，但完全没事儿都没有电了。
[25:58.450] 真正乐趣了，对，完全没太少，由你给我声音反馈了没有？
[26:02.960] 走路就走了。
[26:04.660] 那不做电车吗？
[26:06.060] 但是
[26:07.780] 你给我声音赶快过制度震动反馈吗这些。
[26:12.030] 反正我转讨论说你看一下高级了，我就特意听了不。
[26:19.110] 没事你上面你三八行稍微抓点紧，问了我两次了，好的来。
[26:25.240] 这起码给了没啥用看着，然后你就什么都没有。
[26:32.600] 你还没事。
[26:34.640] 屏特别粗的那种。
[26:37.840] 看一下中间要是看看
[26:46.120] 你们是置换是吗？
[26:50.020] 车上的评估了吗？都不记得了。
[26:54.390] 你要车开过来的话，到时也可以给您评估一下是吧？
[26:58.480] 但是这评估的价格可能低，但你置换还有5000的保险赠送，您就是衡量
[27:04.010] 您的车在外边，假如说您那边卖5万，我们只给您4万，加上补贴才45,000，我看看有没有人等一下，
[27:13.630] 到时您做参考。
[27:28.030] 五
[27:29.390] 4
[27:38.300] 花
[27:40.200] 远远
[27:42.990] 数据
[27:44.490] 场、
[27:45.600] 场
[27:48.030] 场
[27:50.160] 数据。
[27:54.760] 的
[27:59.930] 一
[28:04.830] 感觉
[28:08.370] 坏。
[28:10.410] 数据
[28:13.160] 远
[28:36.260] 稍等一下。
[28:37.940] 客户看车。
[28:40.210] 我觉得你要是真的更倾向于奔驰的话，您就可以考虑定下来，因为今天确实价格还能给你再申请。
[28:47.200] 下周市价三三百一三百一三百试驾车是什么？是借出去了，一直都没还回来。
[28:53.860] 其实有1000买试驾车的就一直都没还回来，都已经结束一个多月了。
[28:58.410] 然后你要是市价同等的发动机的就是SUV，但是SUV跟轿车驾驶的感觉是不一样的，但是动力上是一样的。
[29:09.210] 对她那一三百两区肯定会比40的。
[29:12.700] 动力好的肯定的，1211260L两驱的也比四驱的动力要好，
[29:20.350] 因为它加速会快一点，因为他四驱的车会
[29:24.160] 对。
[29:24.980] 四驱的车它会比沉一点。
[29:32.830] 没有高配的四十九万四十九万九千八，对。
[29:44.080] 对，他是在柏林之声音。
[29:47.510] 他后边那块也丝连对还会那种条。
[29:55.500] 是。
[29:56.560] 其实我觉得你要分期的话，E综合P也没有差多少钱真的。
[30:01.440] 然后高配的它毕竟奠基性还是比较好的，舒适性也会比因为靠背能调，
[30:07.490] 第二排靠背能调，还是要这两款哪个都行，都有车，
[30:11.000] 带头的也都有车，只要你要黑色的牌，
[30:14.230] 你后背的话跟前还行，我不背了，
[30:19.300] 怎么行，但是后排不行，副牌不能的。
[30:21.670] 肯定不能对的角度，对，他不会说他那么疼得对。
[30:29.110] 我知道我前排的娇娇坐前排有家可以这样的。
[30:35.510] 2600块钱整的，
[30:37.780] 这3639的引导这个意思，
[30:42.220] 那就太厉害了，一个是在包括大概的时候，本身车牌都被你说哪个
[30:48.910] 就一下买，那是因为我们车牌我不是，因为我们车牌给那放着，它是不固定的，沟通肯定会有声的。
[30:55.920] 他这种物理的感觉没啥子感觉，弹的比较快，
[31:01.690] 弹起来的比较快，但你关上的话正常的互相它不是那种肆意枉为妻的那种。
[31:10.160] 你们就考虑收藏版的有钱能优惠多少钱，提前收样板，你们要考虑D我真的去给您问题，我觉得这个价格
[31:20.090] 这周末跟下周末就能差多少钱，对。
[31:23.700] 差两三千块钱我怎么也得吃一下，不行，这打电话说现在不让卸了妆。
[31:30.510] 对着太晚了，这会儿对他们经常这样的，好像没关门应该怎么做。
[31:35.420] 你们就只有周六周日有时间是吗？那都是想带孩子也抽不过来，现在想到自己在家呆着，你们家孩子多大？
[31:44.450] 88岁还好点，你们也不大，孩子都8岁了。
[31:49.650] 也不小了。
[31:51.670] 你们俩看着不大感觉就是8889左右的没有现在就好多了是吗？
[31:59.090] 您就下周过来也行，反正这像您说的您不试试你也不甘心。
[32:04.830] 不好，我觉得你要是说您差差不多的话，还是让您今天定下来清点一下。
[32:13.950] 总在网上那些车评什么的，都专门去上班级的所有店的。
[32:19.670] 但是是肯定没错的，你肯定得要试试，但是好不好看只有自己知道，真的测评这个东西。
[32:25.780] 他们说的都真的是挺夸张，要按他那么说，咱真的就没有办法去买车了。
[32:30.960] 那东西就跟咱女孩如果的护肤品让他们给拆解，这不行那不行，咱就没办法去买了。
[32:36.460] 真的包括那天我看一个斜的测评，那一个鞋的成本就几十块钱，
[32:41.800] 然后1万卖好几千，这种东西没法说。
[32:44.770] 确实是
[32:46.770] 现在能有效果了。
[32:48.540] 我去给你问问。
[32:50.040] 我就给你问问看看能用多少钱。
[32:54.090] 好听。
[32:55.240] 继续行，您稍等一下，说说我看他回来了。
[33:20.970] 看到了我
[33:22.500] 个
[33:25.540] 那也得先打个合同号再说是吧？
[33:28.810] 好。
[33:30.810] 我上去。
[33:32.840] 我拍过来寄到哪儿车主呢？
[35:00.330] 这500多完事了。
[35:02.290] Cd M9802是500万，
[35:06.920] 送辛渐不说不到话，对我们范围后来他这谈价钱，但是我让苏涛跟
[35:14.960] 而且他家去了，他回来下面施工怎么走？
[35:24.260] 这次我看
[35:26.100] 他马上看完车就回去，过来马上你再稍微等几分钟了，马上就出价格了。
[35:33.370] 你知道不够？
[35:37.720] 这个也是我签约的一个客户，他现在在对比号码，其实没试驾宝马，然后静下来，然后看二手车，VC在这有可能看过。
[35:46.090] 今天上这是我们评估过后，然后您看看您的车，
[35:55.840] 二
[36:00.170] 号
[36:13.080] 可
[36:15.940] 不一样
[36:22.530] 的。
[36:27.740] 快，我们讲所有的这话就说明他肯定是就是说怎么样拉近了
[36:38.620] 这种东西到那里很多事基本北京销售方法，
[36:42.130] 谁知
[36:45.240] 人家希望这个地方
[36:50.110] 谁知
[36:57.080] 中国社会地方别的国家、
[37:04.510] 谁知
[37:07.990] 没有什么？
[37:14.750] 的
[37:16.720] 在这里
[37:20.570] 的
[37:23.720] 中国人家庭里头我
[37:27.360] 谁知
[37:30.320] 没有什么最大的余地。
[37:32.560] 比如说我给你6000，
[37:34.340] 你不去，
[37:35.840] 没有那么好的，我在打开问题，
[37:39.200] 说说咱不说谁家没钱，
[37:41.620] 所以这个钱公司的
[37:43.860] 我这个车可以过来了。
[37:48.200] 你说刚刚经历
[37:50.040] 没有人清楚他们做保养当做
[37:53.410] 没有都进行着生活人，你的信息便为他人
[38:00.910] 北方的
[38:03.070] 不要这样说。
[38:06.940] 谁知
[38:13.870] 的
[38:14.930] 对吧？大概
[38:17.790] 来。
[38:19.750] 您好的先生，今天我回来没有看到您的
[38:26.390] 市场不是。
[38:28.160] 您走了是吧？
[38:30.320] 您还有一个给您约其他时间吗？
[38:34.370] 我这款车不用看，您看您什么时候方便，我您直接给您约好了什么，你来了，因为我也
[38:41.640] 电脑两个或者是您想什么时候您就来也可以。
[38:50.240] 对，您也可以加我微信，我手机号做微信。
[38:54.450] 然后我要看到这个颜色，我也可以给您拍照片。
[38:58.110] 别的了吗？您不是要蓝色吗？我们得真实。
[39:02.830] 行，我要看见盖世兰，我就给你拍照片给你发给你。
[39:08.210] 行，您加我微信，然后随时联系。
[39:12.370] 倒这没事。
[39:13.850] 对，你就直接问我就行，到什么时候给我发微信都行。
[39:17.300] 好了，不好意思看看怎么到时候您再下次再过来你微信，我说不行，你们什么事都微信联系就可以。
[39:25.450] 刚好了先生，好就这样，再见，今天我给你
[39:31.090] 到时昨天我还拍照，谁知
[39:35.670] 三号线没问题。
[39:38.140] 不要我有可能产品
[39:42.670] 对吧？现在
[39:48.110] 现在肯定了，把电瓶我把这下回来请你别闹了，解决我能做的真的这个价格已经。
[39:55.160] 你把再申请。
[39:57.620] 我刚才都没跟你吵架，那边
[40:01.800] 掌握时间我跟你做
[40:06.250] 的
[40:13.330] 数据
[40:23.250] 的
[40:25.520] 快。
[40:35.370] 的
[40:39.430] 的
[40:41.350] 数据
[40:44.990] 的
[40:45.940] 号
[40:48.480] 的。
[40:50.230] 坏
[40:52.520] 场
[41:04.490] 接下来
[41:10.270] 这款车不是用
[41:17.490] 快件要多少钱，这车现在优惠完应该是好像
[41:21.270] 更好一些优惠374,800这基础上还能再有优惠，优惠多少的？赵家是429,800这筹码现在能直接将8万。
[41:30.480] 有one30对600万应该是40 349,800，现在还送什么保养吗？不送。
[41:40.720] 行了吗龙哥？
[41:42.190] 你们说完了，然后再回去一下。
[41:45.840] 好吧了。
[41:47.800] 刚才接电话我过了这拉东西
[41:50.490] 差不多了，没啥司机，这是昨天没什么特别清晰的两个车，他跑15,000，你说我这边加5000 16,000，
[41:58.430] 你旁边什么给你过户，
[42:00.550] 他这是
[42:02.440] 我真想刚我又进货了，我上次你
[42:07.380] 谁想她那台11,000，我这头给你一半不来了，我人家1.8G
[42:11.750] 一个月165，那车13,000我挺高的价格，你怎么不用？
[42:17.230] 他说啥？
[42:19.060] 拿他们他那多少也没了，首先那东西准备好了吗？
[42:24.180] 不用找，找了这就是。
[42:27.220] 不是开灯里头稍后就找了。
[42:30.880] 回来了，结论三四月份昨天你想把车直接放着，后面打开门，
[42:35.710] 我把它开起来，
[42:37.050] 我就开车可能放在棋盘上，车子后边的小车小电瓶车拉要开车了。
[42:43.410] 好的，谢谢。
[42:46.270] 反正应该差不多。
[42:50.240] 是1,811,000他
[42:55.750] 我说车号。
[42:57.920] 哥你看到谁的身份证了，我给你放在家里了，别忘了。
[43:17.570] 的
[43:19.090] 数据。
[43:25.320] 的
[43:30.240] 到
[43:32.800] 数据。
[43:35.440] 的
[43:37.290] 今天
[43:38.100] 这个车
[43:43.220] 要。
[43:43.930] 这块了吗？
[43:46.320] 然后我爸爸
[43:48.180] 把完了。
[43:51.360] 稍等一下，然后刚刚打电话说。
[43:54.390] 所以说你条块钱我觉得上海然后过来，然后
[44:00.390] 两个半圆
[44:03.110] 谁知
[44:03.860] 到了午饭的时候，谁知
[44:08.340] 谁知
[44:10.200] 然后用在这里，
[44:18.960] 走
[44:23.440] 谁知不是。我约会。
[44:31.110] 试驾完了，
[44:33.580] 就没试驾宝马，要不他今天也能定，他说我这不死心，
[44:37.620] 评估车去了，
[44:40.930] 价格合适的了，对，我说你今天订价格肯定合适。
[44:46.670] 看一三百。
[44:49.090] 我给他转线车。
[44:57.750] 你怎么样了？
[45:00.410] 8月。
[45:02.110] 他也在看一下别的车也开着宝马
[45:04.900] 坏数据。
[45:12.480] 场
[45:13.970] 场
[45:23.950] 的
[45:39.120] 数据、
[45:42.550] 五
[45:45.690] 的
