[00:00.000] 我不管了。
[10:49.540] 这不是5000，报废的话人家是提供1A+1B养护礼包。
[10:56.400] 他就说如果走高费就是他们给我加1万。
[11:00.130] 对，这事就一共一说什么国家的5000，他给5000一共1万块钱。
[11:05.530] 不对，您报废国家给1万。
[11:08.350] 厂家给两次保养是这样的，我先给您算车价，我觉得他。
[11:13.870] 为什么？
[11:14.840] 这个说的是电话。
[11:17.650] 是这样的。
[11:18.770] 所以我说我们想因为他一跟刚才女士跟我说高5000块钱做装饰，
[11:25.360] 我就说了滴是5000，
[11:30.780] 就
[11:32.080] 花椒。
[11:33.420] 5000就5000。
[11:34.700] 因为您想他就算不赚钱，但她不能赔钱，买贴膜、大包围脚垫、后备箱垫我刚刚听检测还有镀膜，
[11:42.830] 这成本5000块钱下来了，根本就不是了。
[11:45.730] 这贴玻璃就前后玻璃贴膜，贴膜最普通的牌子，咱说国产档案强生
[11:53.370] 最起码还是3000，反正他就是说让我就掏5000块钱就行了，因为我们是上周末去的，他们是有活动。
[11:59.200] 一我们上周末我们到周末都说有活动的，
[12:03.750] 而且他大牌子写着就是EL乐乐E260全下来398,000对吧？
[12:10.590] 大牌子。
[12:11.770] 写了吗？
[12:16.080] 我觉得蓝色。
[12:19.240] 咱就站一排。
[12:21.440] 这台车是
[12:23.230] 摆正一星期了，反正。
[12:24.920] 因为260只有一帧一台偏一点的颜色，我们想要在库里边大家都想起来卖，
[12:30.720] 就给摆出来了。
[12:35.880] 去年。
[12:46.620] 第买你买
[12:48.610] 的。
[12:59.910] 那个小就得大小。
[13:02.670] 对，您买颜色必须买大标准前脸吗？
[13:07.880] 是代表比例比较贵。
[13:10.240] 部分车型您比如说就像我刚才为什么问您，我说您是确定要立标的时尚还是豪华？
[13:15.990] 立标的话。
[13:17.610] 顶配要优惠少一点。
[13:20.270] 时尚要给的多一些。
[13:21.840] 但是大标的话就反过来，
[13:24.550] 时尚的
[13:25.620] 有关里头的
[13:27.550] 大拿也比较
[13:31.590] 小号相结合打胶如果是300，
[13:35.510] 它只有黑色晕，
[13:39.030] 然后还有一个吴星空灰，但是出乎我就是整个灰色科长想要花都黑色，
[13:45.040] 这开始特别少，如果您要的话那小子难看，但你看我卖京东大表姐小舅不好看，
[13:50.670] 运动大标您就像
[13:52.730] 白色或者这种宝石蓝都好看，红色也挺好看的其实。
[13:57.330] 不买公司。
[14:09.610] 然后咱们是装饰是15,000卖，
[14:12.260] 马都不能，煤炭也是
[14:15.690] 也不捆绑，但是说有活动你要是想做你就掏5000块钱，不想做的话就在这边做，那意思也是不可保证。
[14:24.470] 包括什么过户。
[14:26.450] 我怎么也没什么
[14:29.130] 过户，他收银就车库也不能收费，就3000块钱。
[14:34.230] 是吧或。
[14:35.710] 但坚持不收费不收3000元
[14:39.390] 来
[14:40.390] 常常
[14:41.790] 上牌什么的，上牌咱觉得就是上牌长辈给你说二手车过户不是上牌3000 3000，我们2500，利星行系统都3000，其实这些没事，他要是多给您优惠，那3000就3500。
[14:54.900] 应该都是一样的，我转了两家都是3000，您看的应该都是宜兴行，我们是2500。
[15:01.530] 这么多年就没电了。
[15:04.190] 车价75,000，时尚时尚是一共75,000，
[15:08.320] 然后税的话是34,000多，应该是一。
[15:12.310] 398,000. 
[15:14.120] 跟一样。
[15:15.500] 对裸车价给咱们已经便宜75,000了，对，然后税的话是34,000多，印刷上牌2500。
[15:23.190] 保险也说对考试也是一样的，国家应该都是花香的选择，对。
[15:29.610] 然后谁换算的不对，30 9000万，保险是13,000多，产险在13,000左右，您这车1万块钱肯定下来，但是我们也是不报名全险。
[15:39.570] 他说给咱们上的什么，就是说送8000也是11,000，就那几个主险种，
[15:45.470] 就1万块钱就减一8000，然后剩下多出的那部分咱们再抛弃。
[15:51.270] 然后反正现在是13,000 13,000的话，我们是送5000置换补贴，
[15:57.070] 如果您要是外迁的话，转转出佛山在转车，我们是在送2000保险，相当于是7000保险，然后国家那边给人5000。
[16:05.940] 是这样。
[16:08.110] 一个就是置换5000国家贷款5。
[16:13.120] 对，国家补贴的这5000是咱们这边厂家对我们全家福的，您付保险对。
[16:19.580] 然后这个是合计是435,000吨，
[16:23.440] 然后底下是装饰套餐。
[16:25.080] 桩15,000，对这个行业这里面的是吧？没行是麻烦，所以给它写在底下了。
[16:31.190] 我们不绑定。
[16:32.720] 但是就是说他说5000块钱贴膜得次数少，明儿不是问题。
[16:37.940] 肯定下不来，因为咱们是微不应该都听过，它都是本身它就是在行车记录仪后面房间，然后大包围脚垫贴膜对外边有13,80013,800的贴膜都是长春。
[16:51.680] 他不是威固的。
[16:54.400] 裸车价格是一样的人，他都有可能35这也是一样的，验车是他们的3000在这235，
[17:01.580] 那都是小事，保险他说是
[17:05.330] 玉泉影的就是1万，然后
[17:08.640] 8000，但是他没有给咱们算单，算的置换是13,000。
[17:12.980] 没算在怎么写。
[17:14.550] 因为我听您跟我讲就挺乱的，反正我们这就是比较简单，基本上也都这一块差不多全才得13,000左右。
[17:22.690] 然后我们是厂家补贴5000，然后如果咱们外迁的话，国家在补贴6000，
[17:29.380] 单独申请。
[17:31.850] 他那个是怎么回复我8000呢？
[17:34.400] 所以我在纳闷。
[17:36.080] 真的。
[17:36.840] 厂家补贴我8000，国家补贴5000你肯定没有。
[17:40.640] 因为这个是全国统一的厂家政策，
[17:43.040] 就是说如果。
[17:45.130] 您在这购买这个版本了，我们是在置换补贴基础上再多余再多送您2000是厂家给的。
[17:53.860] 就相当于7000，他们8000，但是他那8000跟您刚才跟我说的是他们直接保险减8000减的是什么？我不太清楚，您说他还没把置换补贴合计没算。
[18:05.170] 如果他俩
[18:06.320] 后来他听不出，
[18:08.050] 如果他把切换补贴和进去的话，他保险应该全送了，他相当于8000+5000就13,000了。
[18:13.570] 但是不用了，按照您这么说的话，他就应该是全送。
[18:21.240] 这全险。
[18:22.790] 全险差不多给袁帆。
[18:27.080] 他就是让我在那集成险里边选，就给我主险1万之内。
[18:32.950] 让你必须上到1万是吧？
[18:35.080] 对，就是1万之内，他说不是说你的想你这车是肯定1万不够，然后就1万之内我给你补贴8000，放两天就行了。
[18:43.150] 比如说主险之外的保险，你想上你得单掏钱那么说的，
[18:49.500] 我们就比较简单，透明人一看就能看明白我对钱。
[18:57.070] 你们做到最低。
[18:59.000] 对。
[18:59.800] 就是75,000最低了。
[19:06.820] 你站在上边放，
[19:09.620] 反正我总可以把他让我守着他跟价格一样，这也一样，对我想看看，因为你看他
[19:19.610] 他那装饰他是房子里面他在里边他5000还便宜。
[19:26.060] 他是什么膜前
[19:28.210] 离手。
[19:31.370] 43万多是吧？他那是35,350，我保险单1万3亿多，
[19:37.390] 这是50006000。
[19:40.380] 6000他也低，他6000有什么？
[19:44.120] 公诉人员工
[19:45.400] 对三伏酷暑。
[19:49.810] 购置税。
[19:51.150] 购置税是这个。
[19:54.190] 保险、
[19:57.170] 2万多。
[20:07.750] 没空。
[20:09.360] 是吧？
[20:13.950] 你
[20:20.860] 差不多要如果
[20:22.490] 换句话的话就要三哥Y的，后来的但是装饰不对，装饰这征税不错。
[20:28.880] 他那是没算置换这个事，那个是我现在渴望不能拍卖行啥。
[20:35.910] 或者明天我去也行。
[20:37.240] 昨天拨出来里边又没
[20:39.530] 因为现在工作
[20:41.670] 目前
[20:42.440] 好了。
[20:43.520] 好，爸爸。
[20:45.290] bye bye，你说F0是吗？
[20:48.830] 没有不是，那是之前给人别人。
[20:56.480] 这个还能有什么最大的别的用过这个给您算的最低价。
[21:01.490] 然后装饰的话咱们就是不捆绑，但是你要说像他们5000 6000多我们肯定退不了，因为这个成本价都没有。
[21:09.270] 太便宜了他。
[21:14.690] 因为
[21:15.840] 为了数大家可以不挣钱，但是不能赔钱卖。
[21:24.400] 我可以银行都会都是操盘上面。
[21:27.590] 一般的装饰里边就是贴膜、大包围脚垫、后备箱垫纪录页面，
[21:31.960] 一般都是这些项目。
[21:33.510] 其实平常他只乐于也没得到没多少钱，
[21:36.470] 隐藏式专车专用的不便宜，咱单卖的话3800走套餐的话按2800数。
[21:43.950] 他什么都知道。
[21:51.770] 您这车是打算全款买还是分批？
[21:54.600] 现在的。
[21:55.920] 没有分期和全款是吗？
[21:58.120] 您和小分期。
[22:00.500] 您这指标是咱自己吗？自己可以分析。
[22:07.390] 现在奔驰他不收手续费，不收手续费就只有利息是吧？对利息的话也就三个点左右，我给我看一下。
[22:15.870] 想要是自己的还是比较合适的，你要是知道别人指标那种就不太合适，他没有那些贴心自己的。
[22:29.600] 都给我打电话，我不
[22:33.240] 没事，他应该这两天还得给领导。
[22:37.540] 不是，我是想如果他说妆是跟你差，如果说不是特别多的话，不是。
[22:44.410] 就是说如果说像你说的好多东西不一样的话，我就直接在你这定了，其实车位都差，车价都差不多。
[22:50.390] 然后你的购置税都是一样的，因为我们这儿包括或者保险什么都差不多，所以我就想如果说
[22:57.950] 穿一个装饰，说您那能够便宜点，看着我得问问都有啥，我就在你这订了，因为他实在是太便宜。
[23:07.160] 他别说就是他7天他也便宜。
[23:12.190] 是交的。
[23:13.650] 增加量很多。
[23:15.240] 应该是2点车。
[23:16.340] 对这个。
[23:21.010] 你好，你是奔驰。
[23:25.690] 我们上次在你那看车
[23:29.080] 装饰不是6000吗？都包含什么？
[23:43.090] 都是原车的事吗？还是说？
[23:46.270] 临海。
[23:48.280] 也是专车的。
[24:02.630] 给我签是吧？
[24:04.360] 你在干吗？
[24:07.260] 铁棚什么海？
[24:11.550] 这贴膜镀膜贴膜动。
[24:16.870] 什么膜？
[24:19.930] 能磨
[24:23.910] 龙膜，
[24:27.280] 行。
[24:28.120] 我知道了好好。
[24:32.010] 好最近你看看什么，我最近。
[24:38.860] 对在舰队
[24:44.840] 方便。
[24:51.460] 说什么美国进口的膜，就是有些跟你这一样，
[24:54.740] 也是全是好的，那就是他龙膜不是进口的，跟美国进口头模拟到外边就打上他，您说我就知道是什么。
[25:06.330] 我们这从来不做，他说招标日会有活动，你觉着就是什么付出吗？她有没有在教会的？
[25:12.300] 我跟您说都这么说，因为我也实在点，你都看的差不多了。
[25:16.460] 平常说有没有活动跟他一样？
[25:21.590] 我们都会那么书。
[25:25.090] 他所有的东西就跟你的一样，还有车镀膜，
[25:29.670] 全车存车动物，
[25:31.760] 我们没有。
[25:33.930] 因为他那部门一般做的都不是镀膜，做的后面
[25:38.540] 分期的话我给您算两个方案，因为我两年提了一个分3年期的利率更低一些，5年期我们标的是3.3平方米，贴完4
[25:48.430] 贴完漆之后相当于1.84的力相当低。
[25:51.680] 那5什么？
[25:53.800] 对因为他只有利率D您也可以首付30%，就利率稍高一点，慢慢二。
[25:59.650] 我给你调一下，你看看。
[26:01.410] 您看阿姨的时候也有套炮，就是小动物，
[26:07.980] 他在电脑上的我姐姐有我有一样的，都有首付36%年期的话，
[26:17.090] 他都是4.45的利息。
[26:19.330] 如果是
[26:20.950] 3.33.4就相当于
[26:23.760] 长了年化一个点。
[26:26.120] 说的比重也低，结合咱们银行放在别克的听到没有？
[26:31.840] 20分，这相当于咱们待了
[26:34.640] 273,000。
[26:36.030] 然后花的利息是12,000。
[26:38.660] 模式
[26:43.870] 只不过我给您算的首付大概一半更低，
[26:49.490] 总是13,800，
[26:51.620] 这是总数。
[26:53.150] 15,000，这是5%的是吗？对，这是3.7，对，这个是2700，这是3.7的，您可以拿两元7 50%跟
[27:02.760] 相当于隔完了是1.84的利率，这个是2.37的，就是30%的。
[27:08.290] 对了对。
[27:16.210] 10%，因为是垃圾桶，反正利率肯定都不高，都挺低的。
[27:22.950] 你好。
[27:26.020] 35%年，
[27:29.090] 两年的话还了1万多，也不会更多一些。
[27:33.250] 媒体。
[27:35.200] 二条车道。
[27:38.730] 咱们这是二手车。
[27:41.730] 妈妈说什么来着？
[27:44.520] 你把S打牌了吗？
[27:47.880] 一层。
[27:52.250] 从什么的。
[27:54.790] 就卖190多。
[28:00.150] 对他只有二手车反正买。
[28:14.950] 您说的那是S45。
[28:17.640] 文石敏是吧？
[28:26.640] 对。
[28:27.970] 那个是二手车认证18年。
[28:30.830] 18年上的排了两年。
[28:34.930] 那个不是新车怎么可能新车的前190多万的车二手卖就买。
[28:46.750] 新车现在办车贷200多，
[28:48.910] 现在190多个下不来了。
[28:51.820] 没事了，拜拜。
[29:01.680] 反正你就看他
[29:04.730] 这个装饰您说龙头我就知道，
[29:08.090] 因为我们也不懂傻啥意思。
[29:17.270] 5年质保，
[29:19.050] 所有的馍这些东西都是5年质保的，
[29:22.550] 都有是吧？所以在4S店贴唯一一个好处。
[29:25.800] 欧式都给质保挺好，有什么问题？
[29:28.060] 这三天起码其实就是说。
[29:30.180] 也无所谓是吧？就是说有治疗问题他会换还是怎么样？
[29:34.810] 一般很少有质量问题，就是看它的材质薄肉跟防紫外线。
[29:39.390] 咱们都是微酷的。
[29:42.110] 内部要比龙博友。
[29:43.400] 有明说了，您可以问您自己的朋友。
[29:45.630] 不太懂，这跟牌子肯定有关系的。
[29:49.880] 反正是。
[29:50.780] 一掀车是吧？
[29:51.720] 汽车反正还没有，因为我们这家店算是全员华北地区销量最好的店。
[30:01.570] 可以看看反正还有什么他能有什么优惠，他6000块钱给您，我们是肯定给不了，因为这车成这几项东西，它成本在那，
[30:11.030] 15,800整个都要申请一个展示，就是咱整天找经理，
[30:15.420] 也都申请到13,000万。
[30:17.560] 当然比如他们什么周末就有个什么砸金蛋什么乱七八糟的要送东西，有活动不断的
[30:25.850] 我们从来不搞那些花。
[30:27.240] 谁知。
[30:28.190] 都是忽悠人的。
[30:31.290] 比如说送您一张代金券以后售后维修保养不用他不给他送的。
[30:35.480] 是实物东西，比如说有你。
[30:38.350] 当场当时交，
[30:40.590] 当时成交的话送一辆。
[30:42.680] 自行车，然后再答个村寨。
[30:44.750] 存在。
[30:46.190] 到里边也。
[30:46.790] 都是实物的东西。
[30:48.770] 行，反正您看看我们这儿反正价格比较透明，看着比较简单。
[31:00.950] 如果说我先接个电话我先接。
[31:05.390] 哥，
[31:07.840] 您说。
[31:12.480] 那就别看了，我感觉是不是家里混油蹦出来这样的什么把这油比如说消耗，
[31:19.230] 把这油烧完了之后再加油，有可能就没了，因为我不瞒您说我那车也这样，但是不是分成我家保管，
[31:26.290] 发动机故障灯亮不了，回来都去那儿给我削完了之后，
[31:30.120] 我再回来再拍拍拍自个没了，我开了只有一个录音机，
[31:43.330] 他那不是传动轴，他那是凸轮轴，我也不知道凸轮轴在哪个位置，反正就是我听同事说的凸轮轴，然后
[31:50.440] 他直接熄火就开不了了。
[31:53.390] 他不是拍着出这毛病，他那样特回来就熄火。
[32:15.010] 好。
[32:19.310] 您观察一下开空调跟不开空调都没受影响，因为我们那S就是开空调脚底的等等的事儿，
[32:30.310] 有那种当当事人
[32:32.780] 没那证明咱这车没事，应该就是加油导致的，它有的时候油品因为现在大气，包括肌肉三更娇气，
[32:42.100] 拘留三现在是不加酒吧油，根本就不能行使了，咱这还稍微好点。
[32:49.320] 加95有什么，但是我建议您尽量要没差多少，您是家酒吧的。
[32:55.540] 对车好点。
[32:59.810] 对，
[33:01.770] 蓝色我得说。
[33:05.690] 您这样
[33:10.010] 您到外地的时候您准备点燃油宝，
[33:13.850] 到外地加油的时候，
[33:15.840] 到外地加油的时候您对点
[33:30.700] 挺吓人的是吧？
[33:34.150] 反正您就准备点燃油宝爸去外地加油，一定的加进去。
[33:37.720] 因为咱这车确实觉得比较难伺候，
[33:40.640] 好车有事，完了你再给我打电话。
[33:45.320] 拜拜。
[33:51.210] 姐姐不好意思，您接着说。
[33:54.610] 想要说啥？
[33:56.180] 反正
[33:58.670] 比如说我们要是换的话，
[34:02.870] 大概多长时间给我们？我们这个车咱们可以分期批，您先拍个零牌车先开着，不受影响，二手车过户慢慢做，因为现在受疫情影响，整个市场行情二手车过户都卖，我们先开开我们宣开展，还是说新车能跑得开？
[34:21.100] 不上门您得办临牌指标，对您的指标出来
[34:24.890] 我们才能去交，可能我们现在只能是先挂临牌，对没错。
[34:30.560] 临牌咱最多可以挂两多月，我们那牌子我们那牌子还能圆圆盘用吗？
[34:35.780] 当然能了，您国三的车都少几年了，能
[34:39.640] 保留原号牌就行，到时候咱验车上牌的时候您跟他说就行
[34:44.670] 了，跑步什么好牌就儿子非要用，
[34:47.360] 那就留着也好近，
[34:49.180] 那会儿的牌应该都是数字那就行，如果我们要办分期的话就先批分期，
[34:56.510] 批完分期之后，他的款到完了我们才能提车，
[35:01.240] 咱们是先交订金，然后可以分期分期批下来，我们再通知您，或者是比如说我们今天交定金的话，分期大概多长时间能下来？
[35:11.770] 星期有时候你要快自己指标人本人去带的话，
[35:15.360] 因为它本基本上征信没问题，有的时候一两小时就有幸了，
[35:20.900] 就可以。
[35:21.560] 慢的话可能一两个工作日，
[35:25.090] 现在分期都比较方便。
[35:26.960] 行，你反正有印象，你
[35:30.340] 桩就是想他们这几天了。
[35:32.480] 这两天了，因为你。
[35:33.530] 要说周工作日的话，人家银行也不上班是吧？Rp我们都可以奔驰金融我们奔驰金融有专员在铺垫，行。
[35:43.770] 你反正我这个报价单您好，
[35:48.850] 简单透明，您说他们什么置换什么补贴您得问清楚。
[35:54.100] 我觉得太乱了，因为全国都是一样的。
[35:56.570] 他就说什么他们。
[35:58.300] 应于8000。
[35:59.600] 然后国家这5000是置换吗？
[36:04.350] 说如果报废的话就1万，
[36:06.100] 那么说那店里就没补贴了，都是国家单给您1万，那肯定不合适，肯定外迁要合适一些，所以他说外迁核实
[36:13.070] 以前那破车还有可能好好签吗？
[36:16.620] 好千家店一个都能给办。
[36:18.920] 就走走一楼流程就完了，对。
[36:21.430] 然后反正外迁的话就是国家补贴金5000，我们这补贴您是
[36:26.500] 您是纯够它是零几年的。
[36:28.830] 03年的车。
[36:30.420] 03年是国二三国三，您就做好准备，好多都申请不下来。
[36:35.670] 他可能在北京这号已经给您生成三三星了，国三了，但是在国家档案系统里边您还是不二的车，然后就享受不了货架5000了。
[36:47.250] 车也出厕所进来节奏就是谢谢没看咱这边不着急
[36:53.510] 了，
[38:20.660] 去了又见了，那宝宝要上厕所，我要先去。
[38:24.940] 稍微等一会儿。
[38:30.110] 你们去吗？直走。
[38:34.490] 这个价格就不能再商量了是吗？挺低的了，全北京航程是非常透明的，
[38:45.730] 而且咱们店都是限制
[38:48.110] 都到店没多少对吧？都没有什么常规零的车。
[38:53.640] 你们这个店就算比较大的了，对百得利挺大的，在华北地区都是比较大的店，咱们
[39:01.000] 咱这唠唠明星，咱这老有明星来，我明天是说因为觉得这百得利这名字听着说好听，
[39:09.370] 他们有的那信这了，
[39:14.270] 反正我们这报价单也好记，
[39:18.040] 哪块在哪块让了多少？
[39:20.110] 比较简单。
[39:26.060] 如果像他跟您说的44的话，
[39:29.150] 其实把
[39:31.570] 装饰它是6000是吧？加进去那就跟我们差不多。
[39:36.000] 不是，他是加进去之后是44。
[39:41.150] 我们这儿按照我们装饰套餐贴膜给您去申请是吧？经理权限13,800可以出这个吗？
[40:02.560] 刚才我你知道52 30%是
[40:08.560] 是首付30%，
[40:10.870] 这些应该是不变的，对那些不变您就往上加就可以了，因为他购置税保险那不是不能分期。
[40:19.010] 对。
[40:43.180] 这个是你够降75,000是什么时候降下来的？
[40:49.280] 7万也是这2000。
[40:51.530] 你去年没有一起之前也是这么多，去年还没有预期，应该是在67,000~7万之间。
[40:58.230] 这7万左右。
[41:08.730] 我是希望还能再便宜点，再便宜点我估计你都赚了，现在75,000已经挺亏的了价格。
[41:21.720] 你们那个车都是不同没有多长时间了是吗？
[41:26.710] 对，我给你看看。
[41:29.810] 出场时间最长，最早出场的是6月20号的时候，
[41:34.820] 出厂时间是6月20号。
[41:37.320] 不是，对，从出场，但是到咱店里也就才20天。
[41:43.080] 一个月左右。
[41:44.930] 没有库存车我给
[41:47.120] 都比较
[41:56.830] 那就随时可以提车了。
[42:00.040] 天桥东那些发咱有基本上随时跟我提出，刚才跟姐姐聊天，说咱们这个流程了，流程就是先交一个1万订金回来批分期去批下来才付首付什么的。
[42:12.140] 然后咱这旧车就是等着过户什么的。
[42:15.570] 然后您这车姐姐跟我说是03年的，03年应该是活儿生活三年了，
[42:20.840] 所以您国家补助不一定能拿得到。
[42:23.580] 您得存过去。
[42:24.670] 因为我们有好多客户4都失败。
