[00:01.010] 行，7月22上午11:40，现在朋友推荐的客户
[06:19.250] 我弄不清你长的号查银是不是颜色。
[06:23.640] 所以我也现在这俩，因为我们手机上也能看，我看不清在哪是吧？
[06:28.580] 是你展着那个是哪，
[06:30.920] 我都不知道什么时候涨的，大家这个是转了很多次车了，
[06:34.340] 放过什么黑色的红色的，然后送是
[06:38.820] 还有号查银就涨了就卖了，就骂了什么，一我记得你老地方应该是号刷银，
[06:45.070] 是吧？记得营员这个时候应该颜色就是一个前面的和一个深点，对这个钱点完了，还有婚姻月光指挥真的不一样，不是伸手就是浅字，还是应该就是这种纯银的那种颜色没倒过车，
[07:02.110] 也不是黑颜色的，
[07:04.200] 就那黄沙银的。
[07:05.590] 对吧？就华山银的。
[07:07.610] 这个是
[07:10.480] 让你们不敢吗？这个不是动感，这个是三板的对待，AMD看见最高最顶配的。
[07:16.770] 但是在外观是一样的，有一些
[07:19.760] 那些我没用我也不会，但是咱们这300的车没有摆在这，没有展车都卖了。
[07:26.510] 然后是现在您看的高配的结合它高配的，您看看差别是这样的，就我说300的动感的叫靠山银的，你这有没有车？
[07:38.190] 不是一个是有没有不着急用，因为我旁边他的那什么
[07:44.680] 价格。
[07:45.750] 价格是吧？
[07:47.040] 大哥我可以给你简单给您报个价格，因为像这辆车都没出，都但您需要对，我得帮您查一下，看您要的颜色有没有现车。
[07:55.460] 污染物也不着急，现在好多颜色都没有现车，
[08:00.440] 那些卖还有所以说咱买就是说随时有可能这个车就是谁买的是谁的呢？
[08:07.710] 咱等不了。
[08:11.530] 兼C是动感是吧？
[08:14.990] 现在能优惠到4万多一点点，就是449,800减去4万多。
[08:20.520] 42,000左右。
[08:22.330] 我只能给你保守的报449,800
[08:25.970] 减去42,000，
[08:27.990] 不能够多少两？
[08:30.830] 407,800 407,800，对404,800。
[08:36.290] 为什么置换那些置换补贴是有6000 6000是不在保险上面的，要不我再给你写个单子，写个报价单，行行感谢好了，对咱们找着坐下来。
[08:46.420] 是吧？因为车看不到，我让你参考一下他那个价格是吧？好知道哪个车型。
[09:03.430] 作为拿30
[09:04.440] 回来了。
[09:15.950] 一号4个。
[09:17.750] 这个时间只有什么？
[09:29.440] 那里面应该有特殊。
[09:31.520] 我给你拿一个图册，对这里应该有一个称号了。
[09:40.490] 来，
[09:41.220] 你坐下来。
[09:42.590] 对，
[09:44.280] 可以。
[09:46.870] 丫丫不要朋友。
[09:49.290] 还是站在这儿，
[09:50.770] 这么大是最可爱的时候，
[09:53.220] 等到10 10十一二岁的话就不开了，就赶紧好好享受这个过程。
[09:58.310] 来我们内部可爱，现在疯了，现在最可爱的时候蒙蒙等斗子是吗？还能抱得动。
[10:04.900] 你看我们家闺女现在已经11岁了，
[10:07.060] 整个跟我对着干就够不动了，已经进入青春期，对，所以我就特别渴望这么着，那会儿
[10:13.280] 再生一个没经历娘没精力养，
[10:18.270] 说的真的很清晰，感觉很轻盈
[10:20.960] 的。
[10:23.880] 关于您为什么最快的时候
[10:30.010] 懂点用户痛点对咱说话说的对，这还有懵懵懂懂的最好的时候，
[10:36.800] 最招人疼的时候，
[10:38.680] 怎么规划问题？
[10:41.490] 肯定乖乖的是不是？你敢真乖，
[10:46.660] 出来又乖乖。
[10:52.420] 你说分值
[10:55.350] 不吃刚刚的玩具，咱们找老了让你爸爸具体的问说着觉喷齿吗？你看过院长真的是三天，
[11:05.050] 他的谁知
[11:09.160] 小孩那时候也只能定下来了是吧？
[11:12.700] 我给你查一下。
[11:16.330] 还有验车，
[11:18.660] 刚才我开车过去，周恩来
[11:21.640] 就是说源头的4分，完了
[11:24.180] 3939万吨就是40万是吧？
[11:29.160] 广告现在
[11:32.430] 动物很多不能都可以出来的。
[11:36.540] 动荡的好砂岩是吗？
[11:39.930] 看看有没有这个价格，还真没有了。
[11:44.200] 没了，光线里面都没有这么多车都没订这颜色。
[11:48.450] 有白色、黑色、石墨灰，
[11:52.520] 婚姻的石墨灰色，
[11:54.260] 还有一个红色，还有897是旁边红宝石黑，
[11:59.790] 怎么看旁边这颜色，还有松石绿。
[12:04.680] 都有。
[12:07.030] 这个都是很低我。
[12:09.420] 对接近一个颜色，但是还有色差的。
[12:12.800] 我有实际照片你可以看一下。
[12:16.550] 没事我不着急可以定可以讲。
[12:19.240] 我都没看上眼颜色的跳着上上你这来一看你觉得它好看，就觉得那颜色是很好看对吧？对，反正比较稀等于什么？没有路上跑的也很少特别少，就是说别的家的车
[12:35.550] 即便是也跟他不一致而不一样，所以先入为主了就不了，你现在看搜视率是颜色，
[12:46.630] 我把他跟那太大上海有差别的。
[12:48.980] 其实收视率也不难看。
[12:54.270] 先给您大概算个价格软件，咱们现车只有三个颜色里面没有时候摘的给老妈，
[13:01.550] 大概给您算了一下，让他钱对目前我们给算了一个销售顾问的权限，然后价格还能申请449,800，是交C300动感型的，优惠42,000，用完了407,800，故事36,088，保险按12,000估算，验证上保费是2500，装饰15,800，
[13:18.870] 这两项我们都不强制的，这三个都不强制的，可以自己验车，可以自己上保险，自己上牌的都没有问题。
[13:24.180] 办齐的是474,000，全部落地价格，对车的一个价格，
[13:28.560] 这些都不算。
[13:29.880] 你可以不算，我都给我东西算好了，你可以不算的话就剪掉就OK了，舰船自己装饰可以。
[13:35.910] 对，然后电车对接的是不是购置税就自己交了，对，
[13:41.450] 所以说你要说就是个裸车，对就40万零点对4.1万，然后如果你要是有一个旧车置换的话，就从保险这块
[13:50.800] 从这减掉一个6000，这个是厂家给予的一个置换补贴，所以这个价格还要减6000，就相当于是46万多一点，
[13:59.190] 最后办起了这个车。
[14:00.630] 是这种概念，就是说我要是不要的话是从这件
[14:04.680] 是不是减不了，只能从保险检，这是厂家的，对脂肪补贴只能补在保险上面，这厂家再给他补贴，不要吵架上面比如差价说的他的购车会有变化了，但是保险是必须得在店里上保险，然后才能有这个
[14:18.110] 6000的，如果这样的话你肯定要低一点，在店里上他是合适一些，不然你外面你享受不到，然后险种我们也可以决定，不强制了都可以自己决定，几项险种都可以。
[14:30.300] 大概这种情况，这是特殊。
[14:33.870] 有个介绍我们拿一个可以拿走这单子拿走，了解一下，我把刚才有什么保养吗？
[14:43.430] 还要有增持，买第二辆好像有一个会送我们家，比如说有一辆奔驰在买这辆，其中有优惠，有您专利奔驰是直系亲属还是
[14:54.170] 还是？
[14:54.920] 直系亲属是吧？儿子是吧？完了这个车您看是您的名字是吧？
[14:58.760] 这是我这要买是我怎么样？闺女的理针对，二是我媳妇，就是他闺女开会，前面亲闺女的名字对我们都可以，户口本上可以享受可以享受，我看一下，他说就这样，他是
[15:14.130] 这个属于是老客户重构，然后享受到一个9000，
[15:18.880] 你可以享受这个，
[15:20.790] 他俩不能同时享受，只能选一个选71，R也想了之后，选择退房补贴的话，你就选择不了这个重构了，您这属于是重构吗？可能想9000的补贴都3000块钱，
[15:32.820] 也是从保险理解也是一样不了解，到时候我们会需要一个你的你老车的行驶本户口本这些东西。
[15:42.120] 然后刚才你说的还有什么送的多少是吧？保险现在对车应该是送两两次。
[15:47.710] 我跟你确定一下，现在之内分层应该都是1万1万，一年。
[15:52.400] 100万。
[15:53.330] 一年或1万公里，对。
[15:56.190] 这个车是送两次了。
[15:58.160] 提供两次。
[16:02.180] 1A+1B
[16:03.810] 两次保养，
[16:05.790] 这个是有一个是
[16:08.040] 老客户重购，
[16:10.160] 1+1笔是一大一小是吧？一次大宝还是一角二分，他是一次A保加一次B保，A保B保不存在大宝小宝，A宝是基础保养，
[16:18.330] 低保是做一个滤芯，真正大保养的话到6年或6万公里了，还差得很多了，
[16:23.680] 基本就这样了。
[16:25.130] 完了价格你确定买的时候还能再谈。
[16:28.050] 我给您简单报一个我的参考价格，
[16:31.770] 要去掉9000的话，那就
[16:34.040] 有什么区别吗？不会再便宜两块钱。
[16:39.420] 几百倒不至于几千块钱的，对几千块钱的浮动，还得说看您是买限制还是计划车，线车的话价格我能给你争取了几千块钱浮动，你要是买计划车的话，我们基本都不定价，
[16:51.630] 因为计划我们不确定什么时候到，你看现在后面计划车都是
[16:55.820] 酒类的生产。
[16:57.120] 我还多问一句车的，他是不是座椅，也有座椅和内饰那些都有可选，有黑色，
[17:04.990] 有棕色，还有双拼色，我要订的话就可以选这个药，是4S店自己来的，现车就没法去了。
[17:11.150] 对是吧？对你那个展车那天我也没细看他
[17:16.640] 配里边的配得上是什么色，
[17:19.920] 工作作业黄金皇上的，你看到车的棕色的就看到说深是深棕色的，
[17:31.510] 对吧？这个都是大家的
[17:34.610] mighty在我这说的颜色，他不喜欢这个颜色就
[17:38.380] 对那颜色其实还有说好的，你看我们这么多车，
[17:44.470] 这棕色不是中不中不是这种，这宗是浅棕色，
[17:50.310] 然后咱们的终身深棕色。
[17:52.830] 看
[17:54.090] 咱们纵三四这种，
[17:56.880] 这周好像就属于深棕色，这浅棕的话它是属于是马鞍，棕是比较浅，要发黄，
[18:03.450] 其实要综合这些都好看一些。
[18:06.470] 这里有。
[18:09.260] 不是棕色是吧？是这种吗？您看一下这个事卡中是深宫sir可能还是对这都难看，这不是比这个颜色好看，对。
[18:20.090] 这组好看对。
[18:22.140] 那不好吧。
[18:24.930] 你看我们这么多车的颜色都没有这个颜色，你可以考虑要不要看旁边这个颜色红宝石黑能不能接受，其实这颜色也是很抢手的。
[18:34.830] 这颜色松石绿，对他对这样看发动黑对有点靠近，反正是车就在旁边，你可以看看我现在开的小一样，
[18:45.480] 不是您红色，
[18:48.080] 松的是我宗陈总所咱们这是红宝石黑，它是变色，抗战变色，您是一个好的颜色发黄一点的正宗，我知道颜色。
[19:00.030] 完了这颜色是阳光照的时候它发红，宗在小金属颗粒让阴凉着的时候，它就是黑色是金属漆吗接触器，
[19:07.450] 这颜色也可以考虑一下，旁边就这车的颜色一模一样，
[19:12.490] 有现车的给你看一下。
[19:15.350] 有现车的是有灰色，
[19:18.300] 叫石墨灰石貌灰，我都给你看照片，这都看不出来颜色。
[19:25.080] 石茂辉也不难，
[19:31.560] 什么灰就是哥要送红头那个车。
[19:34.260] 这个颜色
[19:36.010] 有点像。
[19:38.130] 这就跟本田是没差多少。
[19:41.120] 看一下。
[19:42.300] 因为我拿着每次跟松开一次，不过现在我们有现车的话，只有是
[19:48.550] 石墨灰，
[19:50.570] 还有黑车，黑内还有897897，我的训练三号
[19:55.870] 期就赶897这个对红宝石黑就这三台现车，
[20:01.320] 这三台现车的话还是有两台在途还没到。
[20:06.560] 对那事不难。
[20:08.670] 对，不让那些不是你看他离去不难看，你要买就买深棕色，别把黑色对黑色不紧张，宝宝的咸丫有采就变成白的夜了，你知道吗？
[20:20.160] 你那吃的什么小美女，
[20:25.020] 像玩具
[20:26.680] 磨牙的是吧？感觉别用嘴吃了。
[20:30.410] 我当时给他洗了，
[20:32.200] 小孩的坐在车上，那小座女生反正不拿着玩具他也闹腾，对小孩吗？筱筱嘟嘟嘴自好看，
[20:41.150] 很好看，天天就有了下嘴唇漏俩小兔子牙跟我们家孩子睡，谁知到
[20:50.800] 多嘴，对我那孩子现在还是一样的，赶不过来。
[20:57.270] 然后那时候
[20:59.140] 我带孩子在外交嘴唇
[21:00.720] 也
[21:05.560] 谁知到了这样就说不了。
[21:11.680] 他就了白天说的还好，一他一睡着了都不管用，对。
[21:16.990] 我这孩子重大都11岁了还那样的，有时候睡着了就给发一下它就没事了，这个没有
[21:23.080] 没有变形，但是我们现在看到一点，下面的牙往里有点害怕的，我们家孩子牙也是一样的，它也是跟小朋友关系，整个两个板牙往前突，你看他跟他有关系，怕他不齐以后咬养蜂养不起这
[21:39.480] 该改改了宝贝现在还能改，我们加大也改不过来了。
[21:44.000] 不是中控盒门板都一样，都是木头的吗？对都是胡桃木的。
[21:51.570] 没有什么纯黑的，或者有别的有钢琴漆面那低配的。
[21:55.970] 那低配的
[21:57.670] 260的动感型才是钢琴漆面的，就是亮面的。
[22:02.150] 我如果要订就300的动感型，全都是这种木头的，全是这样的胡同，不能改成更新的打不了。
[22:09.640] 你钢琴漆面的不如胡桃木的好吧，现在高配都湖道路的就是中控那一溜和门把手那个标准都是木头这的，对，现在就跟那车是一样的，只是这配对没他高。
[22:22.220] 对，只是配置没太高。
[22:24.350] 是这样的差别，座椅可以选，所以可以选深粽、甜粽黑色可以选择。
[22:31.250] 然后
[22:32.360] 顶的时候被推选固定的也是固定的，300都是黑色还是灰色？
[22:39.050] 固定的灰色，这是黑色的，黑色，这是MB全是黑色。
[22:44.540] Mb套件里头可以说
[22:46.060] 我说这差点真的好奇怪，有时候差1万我就想不起来到底什么颜色了，
[22:50.430] 就不注意这个细节，明天再挂，可能灰色的可能是黑色，灰色可能灰色的
[22:58.950] 应该是黑色的
[23:00.530] 颜色。
[23:03.520] 你看那个的心要不要
[23:06.340] 喜欢也是人家的，那就是300这个情况，他有的固定的不能选的，针对不同的都是路子的，
[23:14.230] 没有那种谁知。
[23:16.930] 做颜色可以选，人家就这个配套的东西咱也改变不了，对。
[23:22.660] 踏板什么的都自带的都自带的，踏板网点监测，主动制动辅助系统，包括它前后的雷达，
[23:30.970] 自动泊车，然后全景天窗就先标配的这些
[23:37.440] 在哪？主要差的柏林之声音箱，还有360度影像，
[23:42.280] 360都是从上往下流的，对合适的对他。
[23:47.810] 没我来说没有，我也不会谁知，要是你要不注重动力的话，我觉得20年都够了。
[23:57.280] 真的聊到说妈妈在家睡觉，我看我可能260和反正没差多少钱那天，对有时候就这么想，你说也没差多少钱，我干嘛不要钱买了。
[24:08.130] 就不一样，对是有时候百科就这样的，差到100万买房子这问题赚钱都花了，也不怕
[24:18.580] 这点对吧？
[24:21.240] 小兔子乖乖咱就了解，不行回头看看。
[24:26.870] 反正你都知道吧？这几天我们看看就把旧车开过来，行这话是吧？还着急我有你的，所以这么着我来自己然后了你想还是喜欢那首还挺那啥了，
[24:40.650] 哎哟认准了你知道吗？
[24:42.210] 太好拔出来了是吧？为什么我们这么多车都没有订立颜色，可能是相对来说比较独特的一个颜色，对你看现在都没有，我也不着急，反正他要是订的划定就等着，后来都算，我看现在是9月份的车，现在你要在店9月份生产的话，10月份了没关系，12月份都没关系，我有车开我这边怕作废了，
[25:07.120] 是吧？
[25:07.970] 你要如果订的话，你只能说交一个定金，就等着什么车到了什么时候给您来提。
[25:19.490] 你看清楚了，到时候听听他们的意见，没错，反正我也建议是你知道为什么，因为这车这么多车都没有颜色，
[25:26.900] 他肯定有他的道理，就是我们店的颜色肯定是卖最好卖的，因为我是那天看见了，我要不看见我也不知道，我也就不那么喜欢他，也就这样就算了。
[25:37.650] 不就是吗？我是用这有这首，我说很少见，我说这事还真的敢很好看，对真的我说这事还是挺好看的，他爸爸这了怎么了别掉了。
[25:50.310] 这个的谢谢了，在不能喝了洗衣机，
[25:57.600] 你看到这个颜色电费这玩笑也不难，对这颜色还有现车，
[26:04.450] 你这样你可以买车，你得往长远想，颜色可能刚一点就对在于置换，他们说这颜色也挺大气的，这颜色很好，这样子叫红宝。
[26:19.690] 他光一打，你看他光阴打开了，过去对她特别亮，你
[26:25.100] 他一关机打他，他是发金光的这种量，然后阴凉地的时候大一看就是黑色的。
[26:30.970] 还行。
[26:32.440] 对，您看这颜色有点像这种颜色。
[26:36.230] 你这颜色印象一种黄队稍微浅一点，对稍微新点是这种颜色。
[26:42.290] 就号茶盐就好蓝颜，所以要这么看的话，你往长远想的话，这颜色是不是开启年会险是吧？会显旧等这种颜色喜欢还这样大陆
[26:54.210] 对颜色真的开口这些是吧？对有点保时捷这块。
[27:00.790] 保时捷有款车的颜色。
[27:05.680] 谢谢。
[27:07.150] 稍等一下颜色的商量一下，没事，有时候还找我，随时过来找我来你拿。
[27:15.430] 好吧？
[27:15.900] 我给夹在这里边了。
[27:17.980] 加在里边了，家里了我这边。
[27:20.760] 应该说你跟我家里边，我给你家里面好像在我这里了，加你这里了，那个没有。
[27:26.900] 好，这里在我这里，我说我看着加了一下，
[27:30.600] 咱先用微信扫二维码，车停那边了是吧？别光这么走了，用微信扫二维码，然后免费停车。
[27:39.110] 找吗？
[27:40.140] 没几分钟我不知道，小时候也没了，那也
[27:45.230] 步行不到也到半小时了吗？好了差不多了半小时还是收费，谁知。
[27:51.060] 对用微信扫就可以。
[27:55.770] 要不然8块钱刚才就从。
[27:58.420] 用后面照是吧？
[28:02.280] 咱来说说你车牌号。
[28:03.880] 我帮你说你换了号码。
[28:06.910] 京温。
[28:08.210] 2N
[28:09.550] 2M
[28:10.700] M 2M
[28:11.950] 7X
[28:13.780] 6
[28:16.850] 京NMCS68
[28:20.620] 不就可以了。
[28:24.450] 你岂不是几个号俩车我开，俩车没同一个D来看。
[28:29.980] 去哪从一点来电号码。
[28:33.270] 听M记。
[28:36.200] 5968。
[28:40.060] 新F568对行。
[28:43.310] 这就可以了，那就直接出去了，对，然后到出口的自动台湾了就好勒，谢谢没事您坐谢谢，回去好好研究这个颜色，行，看看是买大众化颜色还是买一个一第一眼看到的颜色，对。
[28:59.010] 你可能外面买也没有。
[29:01.300] 没有颜色真得很少，颜色对很少。
[29:07.350] 前两天我们这停了一个刁意思颜色，
[29:10.320] 那也卖了也开走了。
[29:12.280] 然后你看看绿颜色。
[29:14.340] 对，我一看路上
[29:16.240] 特别少颜色。
[29:18.460] 还真没有已经
[29:20.320] 完了颜色很多没那么多，说这么多，对我们的颜色如果没有的话别家现在估计也就没有了。
[29:26.710] 对。
[29:27.850] 来爸爸。
[29:29.880] 好发。
[29:31.260] 我要是下次看看那个车，我到时候给你拍照片，好，您的手机号是微信号吗？是回头我加您微信，到时候那个
[29:40.930] 有什么这方面的颜色的车，我给你发照片，好来好图册拿着
[29:48.040] 拿着回去研究一下。
[29:51.300] 拜拜，回去慢点，谢谢拜拜。
[29:55.440] 晚上7:30你俩又不回一个D
[29:59.930] 我回这边各回各家，
[30:04.890] 但是
[30:05.820] 科长了，
[30:07.160] 您可能去哪了？
[30:08.460] 车您这边行点沿着行，好谢谢你，没事你客气。
[30:15.420] 她一个人带孩子没问题吧？没问题，后面有点作有宝宝椅是吧？我看需要帮忙我帮忙。
[30:21.160] 你回去慢点。
[30:23.630] 需要帮忙吗？
[30:25.640] 有宝宝椅是吧？
[30:28.120] 用安全座椅是吧？对，那得。
[30:31.920] 现在孩子太幸福了。
[30:34.950] 好安全还有安全感。
[30:37.870] 从小就做出生就开始做是吗？已经做习惯了。
[30:42.840] 刚才小朋友好多都是咱小时候从小就得养习惯，对，现在就有点
[30:48.300] 不爱刷牙这习惯，然后就得给他坂从小就开始弄的我这个小约束的。
[30:55.030] 说拜拜，为什么刚刚也有还在旋转，还有好感觉这首的那样装了就特别方便，说别说真是。
[31:05.380] 然后有时候闹的时候妈妈坐那边好像赚了，我们当时都没想到有这么那会儿吃饭没有，
[31:11.590] 我没有，反正件都越来越接，我们现在看刚出生小孩都会动心还电动，
[31:17.000] 现在孩子回去慢点，不会拜拜。
[31:23.270] 拜拜。
[32:01.860] 等会到刚刚开车别走走一下。
[32:04.240] 我这
[32:13.210] 行，拜拜。
[32:14.820] bye bye。
[32:15.780] Bye bye。
[32:47.040] 给你看。
[32:48.050] 拿走了钱了。
[32:50.020] 拿走了
[32:51.560] 以后
[32:56.510] 不行，
[33:12.270] 搞到我的手机。
[33:20.130] 的
[33:21.230] 的。
[33:23.090] 听听了。
[33:29.440] 车手就5点发邮件，什么时候就往这呢？
[33:35.040] 李大军的李大军都是下午，
[33:40.170] 我发个字没签多少了。
[33:42.880] 回来了谁知找我不是说
[33:46.510] 因为我管这东西，
[33:48.240] 谁知
[33:55.520] 我忘了问到了我加个微信。
[34:03.670] 大姐姓啥的，我感觉这么mean。
[34:16.070] 喜欢好发银。
[35:36.950] 张。
[35:37.850] 知道水准太高了。
[35:39.710] 我早上看还在那。
[35:41.410] 对。
[35:47.550] 谁知吗？
[35:51.040] 你看看，
[35:52.860] 反正价已经相当于站住脚了，外边也就是在全险4万块钱保险，
[35:59.010] 也就这两。
[35:59.820] 没有，我那天跑了一个是外边是
[36:04.280] 送车一
[36:06.210] 也是这样东西，然后比咱们多一个车衣。
[36:09.720] 一
[36:13.130] 谁家还真没说，好像是挺远的。
[36:16.060] 记得好像什么特意那家现在讲的
[36:20.970] 5000万的保险，
[36:22.690] 树桩的装修还得3万多页，
[36:25.280] 不适用3万装饰里面包含车一，人家装饰礼包含抽一，
[36:51.630] 宝马
[36:52.790] 加工。
[36:54.290] 哪个
[36:57.040] 看？
[38:12.910] 30多万。
[38:13.680] 小赵多便宜。
[38:26.920] 要不要？
[38:30.240] 我刚才我说了，他说
[38:39.520] 我们这有一个
[38:42.130] 我认为客户来了，我把这手续搁你电脑上了，一会你给我签一下字，
[38:49.230] 你知道吗？那边我现在谁家给的？
[38:52.320] 不知道。
[38:53.550] 谁知
[38:57.710] 我刚才又补充了，
[38:59.530] 不是固定不动这样的吗？
[39:02.210] 这个事情都慢慢
[39:10.850] 家里的号码了。
[39:12.810] 你好那个账号吗？
[39:17.640] 他们也参与完了。
[39:19.990] 问一下告诉他，
[39:26.630] 这都是里边了。
[39:27.950] 有没办法？
[39:38.500] 我这张卡带着
[39:40.630] 给
[39:41.860] 万的那30 7 12。
[39:47.130] 好好的。
[39:50.970] 杨杨雪。
[39:53.170] 然后
[39:54.670] 而且他这张他们的配件干嘛不11只刷吗？
[39:59.430] 他那边写了12 16，对，看到没问题了。
[40:04.280] 你这根本都来了。
[40:06.350] 怎么又讲12个？
[40:19.790] 感觉一天天的
[40:22.280] 压力好大。
[40:30.710] 远。
[40:34.250] 的。
