[00:07.410] 保养
[11:53.480] 已经
[11:54.710] 用不着你释放出来，行，待会给你带拖里边，没事放在空调了没问题。
[12:00.630] 看到。
[12:01.840] 因为我跟
[12:04.590] 为啥让他回来？
[12:09.670] 我没事。
[12:11.390] 这样的话
[12:14.510] 保养那种那些就正常的那么好的明白完成得说讲话了。
[12:24.610] 买的就是的，然后
[12:33.650] 不当回事。
[12:40.230] 18年18年6月之后就没在4S店了。
[12:44.130] 来你们这里。
[12:47.210] 错过我看上一次在他们的保养
[12:54.630] 讨论一下
[12:58.300] 场
[13:05.160] 的
[13:11.790] 坏数据，
[13:13.570] 喜欢
[13:15.980] 坏
[13:20.960] 话，
[13:24.130] 雨刷刮得还行吗？
[13:26.770] 能接受。
[13:32.010] 三
[13:34.600] 远。
[13:43.730] 保养什么保养召回之类的，这种东西是没有问题的，主要是啥？您反映的一个是
[13:53.550] 正常电脑过去看有没有故障记录，电子类的故障，如果有电子类的故障记录，咱也算好查一点，
[14:08.450] 这就比较难弄了，对不对？咱没有方向了，不可能哪都差一遍，
[14:14.670] 不现实。
[14:17.290] 好一了。
[14:19.010] 要么
[14:21.430] 不一定您当时没有反映仪表灯亮吗？
[14:26.560] 啥都没有是吧？
[14:29.820] 就像
[14:30.860] 有可能是电子类的，对，有可能如果打仗的我看有没有，因为咱这不是两把钥匙，有没有试过另一把内保我没事。
[14:42.770] 基本上演唱查或者厂家让他们多打一个菜牙肉什么，再说环境里边是也条一环一，然后水电哪个照明不是这意思，现在是需要判断啥呢？
[14:59.860] 比如说车也没有任何的报警之类的，都没有故障点保护，您出现这个现象时候就这把钥匙不好使，然后关系一般要是判断要是那个人的这样能查到好像是吧，这边得有一个重启，推掉了以后给咱们这招怎么样，你也是老天不是吧？
[15:22.480] 说你吗原来那天你看他的钥匙没关系，就是钱他找不着我关了就睡着了，明白，那就有可能啥要是没了
[15:34.650] 又不知道，他说那也不影响，他说你什么时候第一次我不知道我怎么问题，咱们有人说你框框创业板或者
[15:45.310] 状况就起来了，后来矿上也没事，
[15:50.270] 两码事，跟那没关系，上方不忘跟他们说了，他们也忘不了相互方向盘，就是相当于接触不良。
[15:58.570] 你们都接触学生实际不是白天也的，
[16:03.320] 有除了常规保养外，有几个情况跟您说一下检查的。
[16:09.010] 一个是4轮的刹车盆磨损比较严重，这回给您报价换一下。
[16:16.370] 这个花多少钱吧？
[16:18.300] 一个下车牌号客车应该是1000多块钱，你要钱下来就得5000来块钱左右了。
[16:25.530] 见张照片没事，刹车盘的go特别深，
[16:29.360] 源头我们现在烧车房基本上出现了，对，所以看先行这行行就磨损的比较厉害了，现在师傅检查
[16:39.150] 先机行没问题，其他就水乡天窗这里边排水口堵了清一下到这边放掉了。
[16:47.270] 对，然后还有一个咱最近情况下，因为没有三天记录，我不知道有些东西已经换了没有，
[16:53.270] 就驱动皮带，然后驱动发电机，空调压缩机转向助力泵，
[16:58.580] 都靠它来驱动的。
[17:00.340] 正常应该6~8万公里换一次，我有清单。
[17:06.210] 这个东西不到，您话没话，因为这个东西一旦出现断裂暴死，
[17:11.530] 就只有拖车了这个了，因为这看不出来啥，您要说换过咱就不用换了，
[17:18.560] 你要是没换过咱就得
[17:20.430] 考虑换了公里数和年限来说，R等于行吧？
[17:24.920] 您先回去跟我确定一下，我让你给我查一下，对您不是上机场路出门没问题可以。
[17:34.230] 你现在出差还是用这个时间吗？
[17:38.830] 又出差，人家办个什么航班的套餐，
[17:44.930] 两三千块钱随便飞下来都玩知道他压力了，各个的航空公司都开始出来，因为他没人过来现在。
[17:53.590] 你现在票价也便宜，对特别开心，现在都出2999，
[17:58.800] 到年底随便站着，
[18:01.420] 就跟坐公交似的，谁先送到
[18:04.080] 那也可以，你可以去看看要几趟一个来回三个来回。
[18:10.670] 对就回来了。
[18:12.020] 因为我现在宝成都才五六百块钱，对，现在它应该千多，你要固定这一个航空公司的，对固定的航空公司。
[18:21.390] 那是哪个公司的都有，基本哪个公司都有。
[18:24.640] 你们这能办吗？是不是？我看到的是看到对回头问。
[18:29.930] 像银票的，对，他现在只能这么推出来增加客户粘性。
[18:36.930] 挺合适，你要固定光辉成都肯定那一个航空公司这个事了，那一段时间本来想出来，突然北京从出来就什么了，出不了了，
[18:51.090] 这回估计应该能控制的还行，现在都放开了。
[18:56.440] 他说你本来出差都是有事的，对谁没事，这情况还满处逛没那么多时间了，对，结婚有是遇到疫情
[19:06.540] 更少，我们也是包括经常老出去，
[19:11.990] 其实现在一看也想开了，就全都忘上弄了，省着来回应酬就那麻烦了，
[19:18.490] 那就行去，然后接下来下车了去不需要去就不去，对这些也照样该办的那也得办了。
[19:26.950] 但我们这不行，我单子打出来去现场
[19:29.980] 保养上我跟您介绍一下的基础B机油几率、空率这基础方向，
[19:37.290] 然后哗塞咱是2万公里换一次，我这边记录是您5万多公里的不开前面在那画过。
[19:44.200] 换了是吧？这就不用换了，上次换了是吧？
[19:47.050] 然后
[19:47.540] 上车油是两年换一次，您正好是两年前在台上话务不知道，估计应该没坏。
[19:54.490] 因为两年前咱正好换了，我问他对您确定一下我先去掉。
[20:01.690] 对，其他就空换空调滤芯清洗空调，这是常规的空调，女性空调清洗，然后还有刚师傅检查的一些机舱里边后水箱在清理了，
[20:12.430] 然后就天窗里边排水口堵了，就要做像这种什么水箱这些，我看会不会贵四五百块钱，
[20:21.810] 估计下应该是500四五百，我在
[20:25.740] 普通电我全套都能下来。
[20:29.380] 因为什么雪乡这破玩意就是一个
[20:31.880] 就从
[20:34.060] 还包括机舱里边都给您，包括毛毛该不该到底牌的悬挂，咱们这肯定是贵的，您跟外头比肯定是不一样，并且
[20:45.750] 用来的效果也肯定有区别。
[20:48.420] 但是这些小事先不弄好，
[20:51.240] 那就别的不用管了，就换个三句兴庆宫条就完了吧。
[20:56.950] 那就给您换机油，三滤清洗空调就完了，别了就没了。
[21:02.250] 你要检查一下您说这两问题，
[21:06.500] 然后有一个问题，咱基本上肯定是要先做定位，
[21:10.440] 你不做定位没有数据咱也没法判断出啥来，
[21:14.550] 就通过数据来做调整，
[21:17.520] 调整能好就OK了。
[21:19.990] 然后定位给您
[21:22.950] 出一下报价。
[21:32.230] 您这款车4轮定位是3250，
[21:37.130] 您这车4轮定位3250，就这么贵，对很费劲，这半天多。
[21:43.740] 我在上一家他帮我做过，那事咋的，水平不行，对定位一样最简单。
[21:52.250] 不是说有定位仪就能做定位，还是定位仪里边他的电脑里
[21:57.910] 是存着这款车的数据来做，
[22:01.800] 给您拿个亿，
[22:03.220] 拿个C这两个数据都是不一样的。
[22:05.870] 要后台的拿这个标准数据来做这么多钱能解决问题，
[22:12.690] 这是第一步检测。
[22:14.660] 你就跟拍片子什么是的，这第一步有它的数据表出来，他才能针对来做检查，
[22:21.880] 做判断，比如说某个前述数据偏大，有可能就拉杆或者什么哪的有变形，
[22:30.310] 这要数据都比较差0.5差1那就能调整就OK了。
[22:35.440] 说了做完了，我可能还是接着花钱吗？要没有硬件损坏的情况下就不用了，
[22:41.930] 如果有硬件损坏肯定需要修好一点，对这个东西必须得通过数据来判断，
[22:48.420] 还不见得解决问题。
[22:50.240] 对，万一事儿都不好说了，这是第一部分检查差别。
[22:56.090] 你要不检查咱也判断不了哪个问题是吧？
[22:59.280] 这怎么叫。
[23:01.520] 对，您应该自己也是查过这方面了，也做过外边的这种定位了。
[23:08.670] 肯定是知道这个东西不是那么好，能维修好的，
[23:12.710] 还是什么能外边能随便解决了，这些东西就很简单了，
[23:18.270] 也不可能还草了。
[23:20.120] 行，接下来解决这个东西。
[23:24.830] 还有哪些？
[23:34.020] 再帮我查一下
[23:38.260] 上次做的内容，
[23:44.190] 要
[23:47.810] 定位？
[23:49.470] 什么时间？
[23:52.320] 他这边做完定位是一点效果没有吗？有点效果，不是说做完了没毛病了，完了就好了，最近又这样了。
[24:03.930] 有可能是有硬件有
[24:07.420] 情况，而且因为有
[24:11.280] 不一样，你卖得跟4S店肯定不一个。
[24:14.240] 这不用比。
[24:15.900] 快点，我这里一下你就等于说我只要来你们这一趟万8000块钱，
[24:23.950] 你看show什么问题，不管是你要是你
[24:29.250] 你要是常规保险的这什么叫一年买两一两套，
[24:33.440] 我刚才出来了，然后明天再见，好，非常谢谢。
[24:38.340] 您好。
[24:39.140] 互相你来回答二共识，我知道你帮我看看以前在你们那修过啥，我这一次
[24:46.860] 我这边出了问题，我看看是不是你们那边弄好了，还是收
[24:52.840] 因为我记得他没做过您接触
[24:58.990] 上次调整
[25:01.440] 了。
[25:03.070] 就拿出来了那条
[25:09.230] 号
[25:10.270] 说不错，我回头这对可以没问题，我就先做保养，常规检查。
[25:15.980] 没问题，咱们电话沟通对没问题，您选择修哪些我就给您修哪些，别的不修你知道我就先做。
[25:24.750] 挺常规的，我就先要不然您不急。
[25:28.890] 没事还需要啥吗？我给您打一单子作为确认就行了。
[25:35.250] 洗手间近了。
[25:37.920] 从这边左转再右转就是了。
[25:41.440] 老师让我打过来这样，老师
[25:45.510] 不用了，上班不是说交通闹，过时候再来弄来，明天他要用车，
[25:57.170] 到了山上。
[25:58.160] 您是明天早上一早就行，今天晚上都行。
[26:05.280] 行行好了。
[26:09.600] 远
[26:12.250] 乐乐
[26:20.080] 那种好的慢点话，第一句话，
[26:25.100] 现在看有可能打错了，不会也我们再加上
[26:33.570] 了。
[26:39.960] 忙，
[26:43.550] 然后我今天晚上他可能听上去，我想把他们喊了，
[26:48.130] 对吧？对我的水是吧？我就不差你回去，
[26:54.950] 淀粉可能都有电，
[26:57.980] 不是说你接反弹这一开始就散掉烧掉了，你接受了才能够让他们干什么控制都是
[27:04.390] 你不全。
[27:06.590] 今天
[27:08.100] 不要接反了，我决定一次没有电了，我给你打电话了，为什么？因为计时这边请问您跟我说这事儿一开始对吧？因为告诉我我跟你说话我说了我来不说了，快点时候你说了可能没时间及时，
[27:24.260] 我不跟你们说了
[27:29.390] 的。
[27:31.290] 因为这个可能还不了解
[27:33.450] 哪个情况，
[27:35.120] 自己内心及时，他们不了解到典型的这个时候后来发现不是，
[27:40.950] 但是我们这样，刚才你们进来了解情况都跟你们讲了，对吧？都讲的是什么，我看你们能不能
[27:48.430] 的。
[27:49.470] 你可能在地面的时候开始一个在还车检查的简直一样，反正已经过了，对，后来咱俩在一块
[27:57.470] 还是不一样，因为我也根据你应该了解一些情况，到底
[28:02.430] 我也说了昨天
[28:04.920] 好，我最早从说完去年开始时候回去转变，不用没有的地方没办法完善的地方，
[28:12.820] 让他保险一般多久基础上一般的开始，因为真的就报了。
[28:19.110] 对，刚刚玩的什么电压广告还有的地方。
[28:24.380] 对没法，反正现在报警，因为长大了，谁知
[28:32.130] 电动车当然现在刚刚在充电当中，谁知
[28:38.470] 这个店非常发电，
[28:41.550] 别忘了这一点，
[28:44.620] 并没有。
[28:46.090] 恭贺能有效吗？
[28:48.800] 电瓶车谁知
[28:50.790] 你把手机不见了，手机非常是吧？这是通过的
[28:56.640] 购房研发关系的装一样的，你看咱们听到没有？你说过。
[29:02.390] 谁知对，然后调整很man的一个数值，
[29:08.030] 你说跟马壮天下第一，
[29:10.190] 这是他说的是不是以来是1300平米，
[29:15.540] 这不是1200，他这按10块钱算的。
[29:19.070] 远。
[29:23.390] 场
[29:24.680] 快
[29:28.550] 的
[29:34.230] 场
[29:36.070] 数据
[29:40.910] 数据
[29:43.890] 的
[29:47.200] 数据
[29:48.320] 场。
[29:54.470] 三
[29:57.070] 的
[29:57.920] 的。
[30:02.480] 好
[30:03.310] 永远
[30:11.850] 数据
[30:14.830] 你实在不行，
[30:19.920] 三点没办法。
[30:23.800] 完了后面有时间了，
[30:34.750] 上
[30:39.160] 号。
[30:44.160] 的。
[30:46.780] 让他干的。
[30:50.950] 谁知
[30:53.520] 吗
[30:59.920] 那就跟他这么说，
[31:02.380] 你就跟这些条你把签不签都做了，
[31:07.390] 别提别再提别的条件了，
[31:10.870] 实在不行让他干吧。
[31:18.210] 人
[31:19.750] 牢固。
[31:20.830] 老婆如果要不行，他找不着人了，
[31:24.480] 不专业。
[31:29.090] 包工包料。
[31:34.150] 行，我上次跟他走了。
[31:36.430] 您确认个单子帮我签个字，好。
[31:40.160] 我看了。
[31:41.130] 看作为最后确认就OK了。
[31:43.280] 然后您反映的问题，第一个给您做检查，一个薄片看一下，还有一个您
[31:49.830] 那个时候就找出那个情况，然后保养换空调滤芯，清洗空调，
[31:55.130] 这样换机油机滤空滤这些一共自费部分是2498，他的地方什么其他的，对，随时咱再确认二
[32:04.230] 再来研究。
[32:05.880] 这个拿着取车用好，行您先撤，别着急，不用了没事，甭管了再随时联系。
[32:15.430] 你没过来。
[32:18.820] 一定20号把气氛
[32:22.330] 放心。
[32:24.640] 明天到哪了？
[32:26.830] 就连看到的
[32:31.170] 你的少，对我让他的工地。
[32:35.320] 好，下面二3走。
[32:37.130] 谁知。
