[00:00.000] 关上不是前日本在我报。
[08:27.900] 钱就打到您的卡里了，你要是保证别人不敢保谁，
[08:31.470] 是打到他卡里的钱一点就是存钱是不是我取的时候钱就给我们了？
[08:37.430] 不是从这时候你取车的时候，所谓的曲是什么？视频日期。
[08:42.990] 修车车今天修修修。
[08:45.450] 你稍等一会我给你打电话，你先去吃饭应该也差不多，也一会也换了。
[08:50.880] 你喷漆你不是报保险分期，拍完漆之后取车的时候
[08:56.380] 会给你一张单子，就是维修证明单单是修完车了，然后再交钱的，
[09:01.360] 把银行卡的单子留给然后他就给你。
[09:04.400] 往里边就是走财务这之前的谁出的，保险公司出的也是保险公司赔钱。
[09:11.490] 为什么作为副总搞这个呢？
[09:13.800] 这是反正你给他丫头的B宝是吧？主要是针对疫情，现在进厂量下降了，然后就我们集团
[09:21.920] 要公司给我们推出一个活动，让我们来吸引客户进场，
[09:25.400] 然后那一年我们给他们出这么多单，是不是得给点支持啥？
[09:29.480] 然后我看见我刚才跟我说说为什么会这样，他根本没有平白无故的金额，好多客户都理解为就是国家办公也是跟我说，
[09:37.930] 说是不是到时候给你返点什么积分之类的，行行有现金对现金看着很好奇，他说凭什么给你返青很明显的概念就是现金这吗？不让你赚3500块钱，
[09:48.610] 但不是您是他平安它实际上办公司规范也没有出那么多，
[09:53.930] 也没有够参加也差不多，你看每年有多少，每个人车尤其在这种大城市一般都是全险，对挣得不少，就像我们一年
[10:02.090] 像我这种要是他不说我都不在修的。
[10:04.720] 对，所以就说它就像这种情况。
[10:08.690] 咱们奔驰店里边这么着钱，你看我上一个车，
[10:12.240] 开了6年就换了，17年17年花掉了，
[10:16.990] 没走过保险就没出过钱，对，然后年年权钱
[10:20.800] 也出口就是收购什么划痕之类的一下，然后剩下就是别人把我撞了，人家走他的保险拿，对，我跟你说这个险种，我说对，
[10:31.190] 你要走我就直接把他全部都修了，
[10:34.240] 反正到时候
[10:35.680] 如果啥再走保险收费，
[10:42.190] 我一般情况下没有什么大事，也没什么不能看了再说。
[10:47.670] 真没办法，现在小区的车位比较咸，动车变大了，别人还你多。
