[00:42.280] 为
[13:14.130] 应该是有这么多人这里。
[13:15.960] 这边都是叔叔说
[13:17.420] 今儿算少了，东部这边更加这边都是你们来维修的。
[13:25.080] 这款持久也有这么多包子吗？
[13:28.260] 好了不少，
[13:33.360] 高压
[13:37.640] 的
[14:07.520] SUV。
[14:09.050] 笔笔的卧室还贵的吗？
[14:12.640] 哪个？
[14:13.830] ID给
[14:15.760] 那个人
[14:17.300] 他那叫
[14:19.600] plc R
[14:23.220] plc跟这价格应该差不多，
[14:27.330] 那种实现好，
[14:29.150] 时间好，这里边也不大。
[14:31.980] 他那是。
[15:46.120] 奔驰E都有几款，
[15:50.330] 咱都纷纷多大的
[15:51.940] 材料，
[15:53.240] 他不有三有30629260
[15:57.440] 2601.5T的，
[16:00.630] 30620P。
[16:04.430] 还有比。
[16:05.910] 还有比这大的吗？
[16:07.050] 还有320358。
[16:10.120] 350350就最大的对。
[16:17.440] 你像他只能说他那拍
[16:20.430] 红绿不一样，它里头里的都一样。
[16:23.170] 里外的
[16:32.970] 需要
[16:48.510] 正在
[16:50.870] 不知道
[16:52.360] 了。
[16:54.190] 也没联系，该改了，
[16:56.740] 这个谁还要
[16:59.120] 我在穿衣服这
[17:00.740] 这都里边完了，
[17:02.480] 没来结果
[17:05.520] 昨天早晨我问了他，他说没事，昨天周二
[17:09.340] 出来结婚没问题。
[17:14.320] 我还那样。
[17:15.770] 它是属于
[17:17.520] 不太管用。
[17:19.750] 大概也就来
[17:22.530] 他哥们还不让出。
[17:24.360] 是。
[17:25.910] 还得穿上。
[17:28.280] 够呛。
[17:29.480] 瞧西方不大，
[17:32.680] 想法，
[17:40.120] 品牌肺结核能
[17:41.470] 他要是带的
[17:43.480] 各个器官全给你们全都坏了。
[17:48.230] 往前面
[17:49.770] 出发，
[17:51.850] 也
[17:53.890] 厨房。
[17:55.260] 你想把潜力的肾
[17:57.420] 他也亲了别的器官，
[17:59.520] 没请别的器官它根本抄不了。
[18:01.880] 可是一开始死。
[18:03.690] 好的。
[18:06.490] 谁哪知道谁问到呢？
[18:47.920] 那不有一通吗？
[18:49.020] 内不都是吗？他说要我头一天，
[18:53.470] 我说今儿个
[19:00.130] 1600没用，
[19:03.650] 吃没大，吃的不收，收了
[19:07.300] 还能吃
[19:08.910] 的大师。
[19:24.390] 他那脖子嘎吱。
[19:25.780] 他弄的到
[19:31.350] 拿酒泡了盒，
[19:34.170] 治那病的。
[19:37.550] 的
[19:41.590] 的
[21:22.760] 还是
[21:24.250] 被警察的上门。
[21:26.240] 这上面镜头
[21:35.840] 这要是国产到进口的差也限制。
[21:40.530] 进口车辆主要的整车观测到
[21:45.310] 它的各种配置上都一样吗？好多人都
[21:48.570] 的这么多好，
[21:49.500] 这种车有毛病也不少。
[21:51.830] 我们那大事记200多万的车来了，
[21:54.200] 我有一客户买回去，
[21:56.180] 他说我头天跟人喝酒，我还效果人家30多万C天天漏雨。
[22:02.100] 第二天下大雨，我这200多万地铁了，结果到咱这查一下怎么
[22:06.680] 在国外
[22:07.680] 上面排水管少这么一点，
[22:09.780] 拍晚上客户给我录那视频的时候，你说坏客户急，
[22:15.000] 统一下上面跟水帘洞
[22:17.970] 了。
[22:19.490] 人说把我的仪表台上套了吗？
[22:21.880] 可能
[22:23.080] 人人找了人能不少吗？你说30多万的国产车也就得了，200万车也是。
[22:28.640] 对。
[22:30.220] 加价。
[22:30.790] 的钱都买谁了？买俩了，你说价小60是吧？
[22:36.550] 对，他就管管睡好。
[22:39.670] 那些都200300%的。
[22:42.020] 为啥要加价？是怎么没有车，他这么
[22:46.760] 他那村一直这样子就很
[22:48.560] 现在查了6多，
[22:50.370] 现在听里边大街后边护理镇，你看要卖到今年年底，
[22:56.550] 再来点明年了，所以他能不着了。
[23:00.050] 要不说现在好多都卖，他进那就是进货进。
[23:04.020] 进不来是吧？
[23:07.310] 还得一清近。
[23:09.280] 车都没他也加价。
[23:11.620] 这一清正的假的，他车进不来不是。
[23:14.650] 还得买那玩意，还就得买平行进口车。
[23:19.330] 平时上头只要靠谱有保障政策，
[23:22.530] 他也有质保，他能管行他质保他是啥，咱现在不行了，买不了了。
[23:31.710] 现在都国五的上班了，对。
[23:35.040] 你之前客户在
[23:37.720] 老板没劲儿了，
[23:40.280] 那会还没有这么完善，只管卖，人家不给你作保。
[23:44.140] 行，进口车说了，我们就是改装车，我不给你取保候审。
[23:47.720] 结果开了一年多。
[23:50.330] 弄
[23:52.880] 变速箱坏了，换一电子相识了，自个掏钱，
[23:56.870] 他就这么一回，他自己回，我说我不买废了。
[24:00.530] 现在瓶颈好像是改成有了。
[24:04.280] 平均进口它的质保是买的。
[24:07.010] 自然可能保险吗？
[24:12.100] 我以为跟咱一样，
[24:16.680] 它只保可能都不是在4S店，
[24:19.740] 可能都是让他们知道。
[24:25.710] 每当看完了他说就给我快递，
[24:35.140] 今天听完了他把
[24:37.080] 不要把上课跟熊版快递
[24:40.560] 了。
[24:41.670] 我昨天看了
[25:21.000] 根本值也大小小的，
[25:26.360] 这两套系统
[25:28.130] 都得梳理看。
[25:33.290] 我这是倒了10分钟，可能还没批，不能给他打一电话。
[25:38.950] 这贴膜都是过两天。
[25:41.790] 这样车在街什么的？
[25:45.920] 上班
[25:48.960] 是繁华试试这感觉。
[25:51.910] 好的。
[25:54.050] 谢谢大家。
[26:23.970] 的
[26:24.880] 用
[26:25.850] 的
[26:29.390] 底盘。
[26:35.790] 调查
[26:45.470] 的
[26:50.520] 介绍
[26:53.470] 的是
[26:57.640] 坏
[27:00.150] 的
[28:09.680] 数据
[28:10.760] 的
[28:12.560] 场。
[28:16.990] 的
[28:24.600] 便宜
[28:26.520] 差不多。
[28:30.460] 最便宜的。
[28:33.560] 但是现在30多万能拿下来，
[28:37.640] 一天不到40。
[28:40.570] 现在看缺多少？
[28:43.080] 四驱的也都40左右。
[28:46.850] 20。
[28:48.410] 你要喝点那些事情。
[28:53.150] 那价位差不多是吧？
[28:55.770] 严明不起了。
[29:03.550] 6场这两大差不多
[29:10.260] 刚
[29:19.230] 这场
[29:25.050] 的感觉，
[29:28.030] 这要穿显得
[29:31.510] 那里边一点
[29:33.330] 从外观
[29:35.060] 他买房要看，
[29:36.560] 没那种感觉。
[29:45.280] 水桶要是。
[29:46.200] 对还得提供答辩。
[30:04.790] 比咱们先
[30:05.680] 订车的也
[30:07.480] 我说月光曲辉的他现在还没办手续，
[30:11.890] 也不是天天能用吗？
[30:14.050] 贷款也批了。
[30:15.640] 贷款也不行在晚期。
[30:19.050] 然后车昨天想打款，
[30:21.760] 我昨儿忙完了6点多了给我打电话，我先能打款吗？来得及吗？我说你来不及了，我今儿打
[30:35.210] 这会儿还也不知道怎么就那么忙，昨天看车的时候看了两天在这呆着，
[30:40.600] 你忙你的我都传过去了，我再看看。
[30:43.600] 这段就纠结了两天，
[30:47.460] 我有一站车的越王是回去了没有？
[30:50.740] 那不是丽江吗？他要打进来，刚才一样都要大大表。
[30:54.750] 然后
[30:56.250] 就说半天还有一拍卖车，他这俩车他想要红的，
[30:59.950] 但是他后来不能觉得那价格没有差那么多，然后他说他哪怕差5万块钱我都考虑了，那就差了2万多3万多我就不考
[31:08.810] 了，然后就说想折腾点就到飞得高。
[31:12.890] 咱们沃尔沃电脑
[31:16.070] 那两天也不知道怎么就那么闲，都能在这正该交车了，
[31:20.880] 着眼走
[31:22.110] 了。
[31:24.310] 他那大彪等小的有区别吗？
[31:27.050] 指导价都一样。
[31:28.800] 前两部
[31:30.870] 千点后面长点。
[31:33.860] 但年轻还都
[31:36.090] 原来立交协调。
[31:42.070] 感觉那边的不断
[31:45.340] 表达了一下。
[31:50.810] 大表上面上都没有列表吗？
[31:53.960] 没有。
[31:55.980] 前机盖上面的地标。
[32:06.490] 二
[32:13.170] 市场
[32:17.730] 场
[32:19.890] 走。
[32:25.760] 场
[32:26.660] 数据
[32:28.890] 数据
[32:33.080] 的
[32:38.740] 场。
[33:18.730] 要
[33:20.040] 的。
[33:22.400] 10点。
[33:23.660] 对，你要不着急到最终话10点。
[33:27.070] 不等会儿。
[33:30.140] 不耽误了。
[33:31.500] 了。
[33:34.630] 二怕辛苦讲讲听听。
[34:15.120] 到底在那边
[34:21.270] 等于
[34:22.870] 自己
[34:24.700] 的。
[34:26.450] 都在那院里
[34:28.480] 了。
[34:29.720] 都一个板块，这天不到
[34:54.760] 89
[34:55.880] 5805。
[35:17.590] 保时捷全是进口。
[35:19.660] 没有国产的没有。
[35:27.780] 多少钱，严禁到时候买房子，
[35:31.960] 保质期价位高，拿点钱。
[35:36.650] 我是他的
[35:38.320] 我吃多了不拉了。
[35:44.510] 就先买的楼房还贷款吗？
[35:47.200] 现在我们说能贷款的没人生气，甭管是没钱买房更不全款。
[35:55.010] 用公积金贷款，他这贷款是越带的多越好，
[35:59.590] 是吧？
[36:00.940] 因为通货膨胀现在太厉害了，
[36:02.980] 中国压根你像日本韩国都不一样，日本韩国特别
[36:07.230] 他没有通货膨胀预期，
[36:09.110] 80年之前都是他现在30年之后的，
[36:12.320] 没人看到。
[36:14.010] 粤房产也可以。
[36:16.180] 也累。
[36:17.530] 因为您。
[36:19.210] 炎陵段就是跟我父母我父母比那还大，那个年龄段都是
[36:24.150] 属于什么？
[36:26.150] 天天一周年还是坚持了这事儿，那
[36:29.180] 贷款客户你签，
[36:31.100] 美月你都得还，
[36:33.510] 但事实上我们反正就绑定了。
[36:36.790] 你对你要是
[36:38.500] 你要是有固定的工作还好一点，就怕没有固定工作了。
[36:44.010] 房产也不一定。
[37:18.880] 6
[37:19.840] 10分。
[37:24.600] 百
[37:29.380] 现在都没我便宜的。
[37:34.640] 两
[37:39.710] 便宜
[37:41.170] 的
[37:45.140] 也都拿下来。
[37:54.250] 我现在
[37:59.040] 但是好多人在买多少钱？
[38:01.680] 刚毛。
[38:02.890] 我发小卖了一年多路我不卖，
[38:05.710] 他说了基本上能达到90%的不找你，这都是你今儿
[38:12.230] 还想接新客户卖车的老客户了，找了这么好的每天都空着，你说着好车为啥？
[38:20.840] 你像我出租车
[38:22.790] 修好车一年都不用修，
[38:25.920] 过去你说你像日本车为什么毛病，那么一一100跑100多万，
[38:31.860] 你这车还拿
[38:33.840] 你跑也跑多少公里，
[38:36.350] 有多少？
[38:38.610] 不困难，4号你这跟车换玻璃手了解奔驰专用的去外边弄。
[38:43.700] 就从网上买的分析可用的车也行，不用可以在对几乎是吧？
[38:48.360] 不是玻璃壳。
[38:49.960] 你要玻璃和从外边美容不通的，它不识别它能正常用，但是他一个还老提示请下注玻璃平移，
[38:58.230] 是吗？机油是不是也得是那啥？
[39:02.290] 金融。
[39:05.330] 没有什么特殊的。
[39:07.040] 玻璃水还必须得试着圆场。
[39:09.100] 断了。
[39:10.000] 谁知
[39:17.350] 玻璃水多少钱有点？
[39:19.450] 网上没多少钱。
[39:21.470] 就从奔驰天猫上面都有那种。
[39:24.520] 因为这儿放着肯定过瘾，
[39:33.510] 不幸的玻璃水果都免费的给。
[39:37.090] 后面
[39:47.400] 实际上都是
[39:48.340] 是管理水平。
[39:49.440] 那时候
[39:52.080] 买那种浓缩的往里一倒都。
[39:54.560] 对，这加水也行。
[39:57.430] 对，其实他就是说不是说不能死，又加别的颜色，你夏天你加上水它也没事，他很不得力，他刷不过去他那有啥呢？
[40:07.330] 他就那玻璃窗他不是跟够用的，它那系统老提示你家了，他还可以释明一下，
[40:13.290] 但是你正常使用没事，没有那不会影响，你就别管他那屁事了，对。
[40:34.800] 咱们财务明细。
[40:36.400] 看一下咱们
[40:38.220] 因为上次交了1万了，
[40:40.320] 所以这回事
[40:43.410] 这块应该是107246
[40:47.450] 然后加上您可以自己加一下，一个车上牌2500，购置税多的基本上不是有什么差额。
[40:55.100] 现在不交易保险，
[40:57.890] 上班费现在也不交。
[40:59.730] 快乐就连这也交了，对。
[41:02.390] 行，然后这些都是送到青楼。
[41:05.360] 然后咱这回再交的话就交15块多，本身手术不是16万多，然后点1万可以
[41:11.190] 待会刷刷底。
[41:12.680] 155,000多万更
[41:29.190] 一般客户都带过来的不一样。
[41:51.240] 万完这系统之后自
[41:52.840] 比原来小了，我们那活跃
[41:55.890] 岁数还挺大，是不是考验我的？
[41:58.940] 但是小了占的面积都小的少，时一张纸，
[42:04.750] 现在真的这只花
[42:07.360] 一个月我们销售部就1500块钱的体现。
[42:11.120] 根本不会。
[42:13.950] 证明车卖多少，
[42:16.160] 有的话拿东西都拿一份都不够，这摆在列本质是最正确的，全都泡温泉。
[42:25.130] 真是
[42:26.040] 就弄的馍比
[42:28.830] 就是什么奔驰挣钱打在那上头了。
[42:34.910] 不能弄那毛笔毛笔。
[42:36.740] 通过请3000万吃东西吗？
[42:44.150] 看着剥削，
[42:55.250] 车比原来没想卖，
[42:57.160] 人比原来少了，
[42:58.830] 太太人家奔驰销售都是最多的。
[43:02.200] 对我们的销售钢材400，我现在就剩30万，他产业是不是一停牌的原因，
[43:07.600] 还是后排品牌火灾都拍了？
[43:22.450] 一清是都各行各业都受影响。
[43:26.130] 好多了现在。
[43:27.980] 也对，精油都倒闭了。
[43:32.820] 它主要是第一桌的影子还能够跑出来，
[43:35.440] 第二波又起来了，然后就跑了，有些北京市餐饮
[43:43.770] 奶茶店都到家了。
[43:46.960] 按理说奶茶店利润还挺高的，
[43:49.760] 第一波疫情的时候过年那会儿躺着了，
[43:52.560] 然后前一阵北京一成都死
[43:54.440] 跑。
[44:12.670] 广发我们
[44:13.620] 它可以裁员，然后
[44:15.240] 我们现在相当于一二站这儿的活就发放的工资，
[44:19.710] 先做重要工作也讲，
[44:22.390] 这样子现在好几个部门还合并了，
[44:26.430] 明天5:30能下班的部门，现在经常7点多，
[44:30.110] 我们就不用了。
[44:33.130] 你们是不是也没法开会，我经常下班了，我都走了，说你俩大意溜号，
[44:39.630] 准备要孩子不一定就没法说。
[44:42.350] 我妈老跟我说，他说这两块钱不能给，
[44:45.330] 天天晚上到家之后也不知道白天在那磨叽什么，
[44:49.220] 还是考察9点
[44:51.300] 点买。
[44:52.650] 看了，
[44:56.230] 早上天天5:30下班，早上7:30~点。
[45:00.880] 还是
[45:03.040] 面。
[45:18.060] 要刷的卡还都是您名下是吧？
[45:25.160] 它这办贷款是吗？是办贷款麻烦还是？
[45:29.860] 还是？
[45:32.840] 还是车买班车？
[45:36.120] 我叫那边那时候我买我那车的时候有点没弄。
[45:40.360] 对一家钱完事了。
[45:44.820] 贷款麻烦。
[45:47.840] 贷款审批模块您联系呢？
[45:50.090] 是现在都不用去银行打流水什么的，
[45:52.780] 也不用拿房产证过去了，打流水现在简单。
[46:57.310] 咱们等刷卡
[46:58.580] 碰碰凉，因为咱们这以后牵扯到退款的，
[47:01.660] 凑合俩直接到都签署了一个什么
[48:20.760] 检查一遍，
[48:22.090] 我天天擦，
[48:24.920] 他也不了。
[48:26.150] 要看看
[48:28.340] 我们朋友看警察都给拍照，
[48:32.340] 有一个都变成了
[48:34.190] 你要不差不多就好了，给你拍。
[48:37.290] 前台给你排的你不知道，
[48:44.010] 而且有给排的哪一块第203门。
[48:47.160] 现在每当听说没有，后面
[48:51.940] 口感不他了。
[48:54.080] 不扣扣就扣200块钱分地段。
[48:57.780] 现在扣分分地段他就还不是重要地段。
[49:03.200] 不够。
[49:04.560] 很地段有的地方就空了。
[49:07.650] 二
[49:08.700] 让我放到哪儿，一看有三分是牌照的，
[49:13.320] 这景阁特别的定格，
[49:18.320] 有的分地点，我身体听着不对劲了。
[49:22.680] 地点。
[49:25.510] 有点。
[49:30.130] 你看着景阁现在他有很多顶格，他聪明这条路不到庭，
[49:34.940] 他从后头一走就把牌子给拍，
[49:37.340] 就算就给你弄。
[49:39.320] 你也不知道。
[49:50.330] 这边没有的还在那放着。
[49:52.170] 我在找地，我们这开公司里面
[49:55.870] 还公司B毛都没搞定了这样
[49:58.830] 的。
[49:59.680] 领导一想填有也没给他放。
[50:03.410] 在那
[50:05.390] 到同时有的你歇着去。
[50:08.210] 你现在
[50:09.360] 你去公司的话也就给你登记，没有你吗？
[50:12.440] 二身份证就复印，有些青阳老人登记吗？
[50:17.910] 到哪儿都登记是。
[50:31.480] 我走着都舒服。
[50:32.600] 后来不睡觉都得走二，
[50:34.900] 就当锻炼身体。
[50:37.310] 我说
[50:39.100] 要倒也不敢太忙了，
[50:40.840] 太晚了，他警察他过去给你排了，那不就麻烦了。
[50:50.680] 谢谢。
[51:02.720] 还有等待。
[51:04.180] 我也不
[51:07.690] 不知道有没有牌子。
[51:11.720] 外省市有牌子，北京市
[51:14.440] 北京没有，这是全国非常
[51:17.540] 查得最严的就是三个，反正外地有排出去安全带都给你。
[51:22.270] 山东那边D延长时间也没。
[51:29.540] 我室友楼都得记上，这没有我都还不进，他不愿不牌子。
[51:34.330] 不太记得了。
[51:35.680] 记得点安全，这城里都跑，有啥不安全，
[51:39.700] 也不上高速去。
[51:42.420] 城里的不够堵车，你记不记？我看现在以前大空调都不接，现在大公交车都寄过去了，
[51:49.350] 跑到公交司机都记上了，
[51:51.770] 后面有牌照的。
[51:57.270] 还有我也得记，他也没牌子。
[52:02.160] 没动。
[52:16.110] 快乐的
[53:33.840] 的
[53:36.000] 的
[53:37.790] 了
[53:39.320] 选票
[53:44.640] 数据
[53:46.040] 帮我看看
[53:48.760] 这个膜上面为什么
[53:50.680] 可用不用管，
[54:01.960] 花。
[54:04.600] 的
[54:11.010] 话
[54:28.500] 号
[54:29.450] 的。
[54:36.940] 数据
[54:38.870] 场
[54:43.440] 的
[54:44.520] 的
[54:46.720] 数据
[54:47.650] 的
[54:50.230] 的
[54:51.640] 的
[55:10.740] 花、
[55:23.890] 就
[55:38.540] 135的。
[55:41.440] 时尚
[55:45.330] 要
[55:49.530] 坏。
[56:00.880] 35
[56:03.230] 三
[56:18.020] 说。
[56:27.290] 坏
[56:32.570] 数据
[56:34.090] 坏数据
[56:39.090] 场
[56:40.390] 的
[57:11.920] 数据。
[57:12.840] 数据
[57:14.880] 远场
[57:20.640] 数据
[57:23.190] 数据
[57:27.990] 数据
[57:53.760] 数据
[57:57.960] 坏数据
[57:59.140] 美好
[58:00.710] 场
[58:01.950] 数据
[58:04.330] 数据
[58:10.610] 坏。
[58:14.120] 场
[58:16.950] 场
[58:20.760] 坏
[58:22.640] 场
[58:31.920] 的。
[58:37.940] 他在里边用下来过来。
[58:40.610] 没事。
[58:46.960] 还有
[58:48.270] 了。
[58:53.340] 的
[58:57.890] 销售员
[59:00.890] 还
[59:03.190] 你打那个我要用一下我就
[59:14.040] 我今天就这么火爆，
[59:16.550] 今天时间好，所以才说了开始施工了没了，
[59:21.560] 发工资了还没给他发工资。
[59:25.910] 是吧？
[59:29.970] 你都是你的。
[59:31.840] 做了没有，今天是工作日。
[59:33.850] 不是工作日必须。
[59:41.290] 15号发工资的话信用卡
[59:45.810] 我有两张信用卡，一张16号。
[59:48.540] 1~21号。
[59:54.750] 三。
[59:57.200] 但是因为今天是15，
[60:02.830] 数据
[60:07.340] 的
[60:12.270] 数据
[60:14.650] 坏
[60:18.090] 的。
[60:22.690] 花。
[60:36.280] 里边
[60:38.570] 快。
[60:49.380] 对吧？
[60:50.120] 我们主管安排一下。
[60:51.710] 应该这样。
[60:54.000] OK。
[60:56.820] 行这才哪到哪了，我看着这系统我给我来着，那时候很他这两块
[61:04.650] 看着这系统马上就要下线了，
[61:07.520] 是吧？
[61:08.310] 这过度期间
[61:10.370] 接待
[61:11.590] 部门领导的点，
[61:14.000] 系统马上下去
[61:16.700] 监控。
[61:18.270] 其实用习惯了倒也还可以，现在上新的，谢谢，谁知
[61:23.970] 我觉得比他
[61:28.580] 我还全你OT的权钱卖车有得起，就德国企业的都用那个东西，我一看你这是SB，我说。
[61:38.070] 好行了我慢慢等，对。
[61:41.870] 德国。
[61:42.890] 企业都用那种。
[61:45.110] 我现在上网做完网上这边，
[61:48.030] 做到里边路就到了。
[61:51.310] 明白。
[61:54.170] 还得找。
[61:55.460] 我说。
[61:56.480] 先跑一下。
[62:00.330] 考虑到。
[62:02.500] 谁知。
[62:06.210] 的。
[62:07.280] 都是市场非常都来了。
[62:08.960] 没问题。
[62:11.330] 那天手机网站
[62:12.880] 这边也都是双向RNN。
[62:16.260] 好。
[62:19.250] 来拜拜。
[62:20.530] 然后
[62:23.130] 然后
[62:29.440] 好吧？
[62:31.130] 好。
[62:34.600] 我说那天。
[62:35.800] 原来的话
[62:36.870] 跟我说说说没说过，
[62:39.320] 那个过程发票做主管
[64:15.460] 复印件，
[64:19.080] 发票的复印件给你留一份。
[64:22.700] 发票复印件都是下班。
[64:35.480] 这个号码。
[64:36.800] 我在打过什么？
[64:39.260] 打了阿姨的身份证复印件，
[64:42.130] 到时候退款的时候你就直接这一沓
[64:46.170] 了。
[64:48.170] 了。
[64:53.340] 退款还得过来吗？
[64:54.980] 这款你得把这个单子送过来。
[64:57.900] 给
[65:00.220] 然后复印一下垫付。
[65:23.200] 89 10。
[65:25.550] 10月789。
[65:27.480] 89 10 10月份，
[65:29.480] 10月份时间过了国庆节就直接想到这事儿吗？
[65:34.330] 直接办理了。
[65:45.840] 收据，然后发票复印件
[65:50.430] 和关单复印件，
[65:52.730] 然后垫付，还有阿姨的身份证，还有过敏，
[65:56.520] 然后退款的时候就用这些，正好这块你都还快一点，还有你什么票要放一起的。
[66:02.600] 要
[66:03.860] 我天地了。
[66:06.550] 拍一张2500的那发票还定吗？
[66:09.270] 谁知
[66:11.720] 对在我这验车的
[66:14.970] 他
[66:17.440] 在你们那上
[66:18.740] 我说没有。
[66:19.820] 对，他都做着做。
[66:22.510] 另一块我们找不着。
[66:27.130] 这其实跟好多店压根就不开了。
[66:29.990] 还用对吧？店里能不开发票就不开发票，这种又没什么用。
[66:34.740] 对外企就这样，OK这些您打好关系。
[66:38.560] 花园。
[66:39.480] 他
[66:46.400] 不会咱下一步去讲车，然后我就去别的了，知道待会出保险的时候，
[66:53.040] 你的手机里会收到一个保监会的验证码，是一条短信，短信里边有一条链接，你点开链接，
[66:59.730] 链接是咱们的保单，然后你点一下确认投保就行了，别的就没什么了。
[67:05.030] 你等等，然后验证码，我们
[67:09.250] 工作人员给你打电话，要的话你就直接给他就行了。
[67:15.920] 把那个条件很好，好的，因为这事好的累计他是吧里边
[67:22.070] 神经规模谁知1~4个礼包，还有一个
