[00:00.790] 20分钟是吧？
[17:21.890] 让300分过来确定送礼，三国可能对B的
[17:26.320] 这个都没有意义。
[17:28.740] 三个。
[17:30.210] 文章以后照片。
[17:31.820] 因为我觉得。
[17:54.230] 标准也不来。
[17:55.620] 熊哥哥明说他来10个人都听说了，熊哥咱们月底能不能努力两
[18:02.470] 组，你也拉了三场，我们也称初夜就缺几个大单，我们就玩上了，这个月客户一个都比我积极参加，
[18:13.000] 感觉应该更急。
[18:23.910] 就和你这6个
[18:26.590] 就跟你这差200 212。
[18:31.800] 消费多少钱？
[18:33.530] 3800。
[18:35.030] 49,800。
[18:39.000] 达50多平方，我稍微想想我的
[18:44.550] 这价格定的就是为了跟全国统一价好好接着。
[18:54.710] 当然利润客观一点，能挣钱不会。
[18:58.840] 我这列号真挺好看。
[19:02.200] 昨天放射CI。
[19:06.160] 那车要像我做的你还行蹭8
[19:13.960] 他这两天走一圈里边刷奥迪新的RS7，
[19:19.720] 好看吗？
[19:20.880] 太好了。
[19:23.670] 不适合我这种。
[19:28.200] 然后我看他跟
[19:30.600] 跟小牛俩人。
[19:32.950] 弹射拉了。
[19:33.870] 一段。
[19:34.520] 谈这一下没有？
[19:35.660] 小牛远没到，没有200米的就给抄了。
[19:40.070] 感觉
[19:41.930] 还挺牛逼的。
[19:43.930] 但是在这我一看我说牛都不在，
[19:55.590] 害怕了吗？
[20:01.950] 他并没有压根
[20:04.760] 才发给你的就是
[20:06.650] 你不是说押给我吧？
[20:08.590] 不一样了。
[20:09.640] 你收款了为什么了？
[20:21.160] 超5点了是不是交不了？
[20:25.950] 能交吗？
[20:30.780] 能交那我就找经理签字。
[20:34.080] 这几点能完，OKI ct都弄完了。
[20:37.000] 就交了定金。
[20:39.530] 没有什么没有你合同
[20:43.550] 我们要把钱用了，不要钱了，这真的。
[20:51.690] 怎么两卖什么？
[20:54.370] 好吧？
[20:56.780] 特别
[21:00.920] 结果要不要改掉吗？行天平上刷pos说5.01了不行了是吧？
[21:07.050] 要去
[21:08.220] 等我。
[21:09.560] 刚才我们说他们也在这边
[21:13.850] 你就不用操作了，你算算名的吗？
[21:18.210] 这就算明天了。
[21:19.760] 放在。
[21:20.780] 要。
[21:22.120] 差一分钟。
[21:24.200] 刷pos是吧？
[21:25.940] 明天的是吧？
[21:28.550] 一边做我去找头先做下清洁。
[21:34.140] 德国。
[22:31.640] 5点他基本上。
[22:33.560] 怎么说？完了。
[22:35.700] 3+3在哪儿？北京。
[22:40.410] 分机吗？交流。
[22:45.780] 你这就
[22:49.790] 对交换的。
[22:52.090] 我37块白干，刷走怎么办了？北京？
[22:56.170] 咱们干什么呢？
[22:57.630] 但是价格
[22:59.890] 不能光卖全款车，
[23:04.240] 不卖人家的数不够，不可能没
[23:12.660] 肯定也就2500，我还喜欢干吗？
[23:15.260] 他写清楚了吗？
[23:17.240] 好谢谢。
[23:25.400] 小学分析循环哪个？
[23:28.140] 还有订单交吗？还有加S是分解悬挂着，还有意识分析。
[24:29.280] 慢了一小步，
[24:31.520] 就看你的。
[24:53.500] 真是早上这不就找着了
[24:55.300] 吗对吧？
[24:56.530] 这原来是芊多少，完了
[25:13.900] 请用您的银行卡
[25:26.160] 请输入密码，
[26:26.990] 销售自己的书。
[26:28.490] 不一样。
[26:32.140] 怎么
[26:34.270] 有事忙得过来的。
[26:46.750] 没车。
[26:47.840] 老牛。
[26:49.530] 就这样聊着车，
[26:50.900] 订车交车，
[26:52.680] 你就不管了，我不让过来这边。
[27:09.050] 那是我写的。
[28:56.860] 我6654。
[29:00.410] 待都没
[29:05.570] 来
[29:11.700] 了。
[29:13.080] 没有也没有。
[29:16.990] 袋子从来没有了。
[29:21.870] 黄的地儿
[29:23.450] 数据
[30:00.600] 了。
[30:02.400] 你用一下。
[30:03.500] 卖。
[30:14.160] 花
[30:17.720] 数据
[30:19.080] 快。
[30:27.840] 了
[30:34.770] 好。
[30:36.630] 报告没有。
[30:38.550] 我靠你没有呢。
[30:40.710] 号。
[30:44.500] 减了不知道。
[30:47.610] 我感觉这种心理。
[30:50.790] 例如这种。
[30:52.650] 但是手机
[30:54.350] 的地方
[30:55.810] 不用这个地方。
[31:06.520] 他这傻逼这待着。
[31:22.840] 迅速。
[31:27.640] 你还走不了电话多少，185578。
[31:31.510] 19789686。
[31:35.720] 49。
[31:39.800] 什么意思吧？
