[00:06.160] 打了，
[05:32.670] 过来修车直接修车就行了，完之后直接开走就可以了，就这行也挺高兴的。
[05:39.970] 说。
[05:40.760] 对没错，等待15天，就是说虽然是因为正好有时我们应该是15天之后就生效了，这个是一年有效期的
[05:48.210] 一个自然年今天生效了生效之后你再报保险给你两修改，这就是属于今天17号等于是生效的话，大概是8月2号左右到明年的8月2号，这是一个有效期，等于8月2号之后我才能开始修，8月份之前如果出事过这个我1点多长时间。
[06:04.650] 对您是不是这意思？你比如说8月2号过来报案了，你抱了出来我是8月1号把这块蹭了一下对吧？只要这个能生效找到对方了，他只是按您把您的报案的人计算，不是出险，但是你在这三天里是说两天还得还可以给你拿，
[06:22.630] 不只是局限于自己的老总
[06:30.970] 很快的，
[06:31.720] 基本上就是4块钱。
[06:34.570] 修修多是吧？
[06:36.420] 这个反正拿2500块钱，白拿1000，
[06:39.860] 等于交了1590 800~1000块钱，就这意思。
[06:45.710] 修的话跟您
[06:48.520] 一般的话修要账的空气的话，你们家没啥伤的话，应该也就是两三天我估计大概。
[06:55.790] 谁知
[06:59.670] 应该是有点悬，因为他是怎么回事，但修飞机不只是说您刷的那点分，还是整条道路里头呢？
[07:06.610] 整条情况。
[07:07.590] 不得另外到时候他会给您看一眼。
[07:10.300] 你那个里边用损伤需要更换的部件，你比如说卡子断或者什么之类的，
[07:15.720] 内气什么之类的这些坏的需要换新的。
[07:20.300] 对喷漆所有的空气，你比如说小道，
[07:24.420] 指甲盖大小大道整条道全是伤，都是一样的一个道理，分期全部是整喷，
[07:29.910] 整条道都是真的。
[07:31.850] 谁知。
[07:35.810] 对没错。
[07:37.800] 前杠情况都得因为这是标准的。
[07:44.370] 你就定损的时候需要带被保险人的身份证
[07:48.750] 原件行驶本驾驶证被保人身份证原件，如果带代理人的话退保您。
[07:53.570] 不是您打个比方被保人不是您，那还得带你的身份证原件。
[07:57.880] 您好。
[08:01.870] 要被保险人的身份证原件必须得要。
[08:05.040] 稍坐一下，一会再打电话通报行吧？你来了之后就是先别着急报案，你来了之后先别着急报案，然后我会找一些给您看一下车。
[08:16.030] 明白。
[08:19.990] 没事，你看你说来联系。
[08:24.220] 我打。
[08:25.470] 好，还有。
[08:27.710] 这个召回我刚才看了一下，正常情况下是您今天过来之后您做登记或直接给你订上了，然后你到时候再过来。
[08:37.070] 这不用了，今天有可能今天下午或者明天上午，明天中午之前
[08:41.810] 会到一批货，行到最后正好因为您气囊是副驾的，
[08:47.570] 负假期，
[08:49.070] 前面特色的气囊就把它换掉，然后最晚明天中午应该会到疑惑，这样的话您这车就别动了，就放到这
[08:57.220] 了。
[08:58.540] 建议钥匙开走，要不然还得来一趟。
[09:03.780] 因为这个货就是订货，咱们现在是这样，
[09:07.280] 气囊是属于一个危险点，
[09:09.640] 订货之后好多出现遇到这种情况，订货来了一趟订完货了，当时第二天来不了，
[09:15.720] 或者过了两天就过来了，货三天就过来了，已经没了，就定的货他也不会存的，因为危险品肯定流动很快，
[09:22.970] 正好反正明天今天下午或者明天上午中午之前肯定会到货，我个人的建议是看您的时间安排，
[09:28.830] 个人建议就能把车留到这最好的，明天差不多争取明天就把它弄完，
[09:33.300] 明天下班前能弄完，如果完不了最晚后天怎么也完了，人家车就可以不用再来回跑了一套，
[09:39.270] 是这么一个意思。
[09:41.240] 正好赶上我刚才打电话咨询了一下，有可能今天最晚明天中午之前到货
[09:47.370] 了，我一倒一批这一批到货是什么用的？有好多肉钉钉导弹它来不来你可能来来不了，直接给他拿过来，咱们永远
[09:55.900] 那边，然后这方面也要把取走了是吗？
[09:59.810] 打错了，那就礼拜今天是周五对吧？
[10:04.930] 周五明天如果快的话，明天下班时间能取，如果稍微
[10:10.530] 他那货来货之后，他可能时间会来回差一点，时间的话最晚周日怎么也去。
[10:16.080] 没想到还得放在了，如果是这样，因为我今天给您定的话，即使您明天来一回，你还得放在这
[10:24.230] 换一个行业，所以主要是主驾跟副驾的不一样，暑假就翻盘上老的东西一你又换就完事了，副驾的跟那什么对吧？我说我现在晚上
[10:36.180] 在你脸上
[10:39.920] 时间、
[10:47.270] 功效。
[10:52.480] 五。
[10:56.420] 王先生打电话了。
[11:02.570] 好了，那车完事儿了，江先生电话
[11:07.470] 先生电话1381381151015966，
[11:13.450] 可以再留一个钥匙放在对130。
[11:16.780] 1351885188是吧？
[11:19.140] 51885599这两个都联系了，这两个都给了，他们直接交车了，你看。
[11:25.270] 要确定的话，今天你还得放着，挺麻烦。
[11:29.490] 现在就算我明天开了，什么时候来，什么时候搁在这，然后等你修好了，对。
[11:36.350] 重新排队了，不是不用重新弹对了，我给您定，如果我明天就到货，你别说他俩。
[11:42.670] 打个比方说今天您来了，现在就开走到了，明天12点到了我给你打电话，
[11:48.310] 你当天又来了，明天就来了，
[11:50.930] 还得放在这周日去。
[11:52.830] 但是这样的话有可能明天就能取了，想说
[11:58.270] 副驾驶气囊正常的流程的话是您今天来，然后来了之后给您订货。
[12:03.880] 我周日去，周日我来，行行。
[12:07.230] 今天这边迁入车，用车路车队
[12:17.670] 然后戴先生一会办了车，有伤到时候要出险是吧？
[12:22.970] 行，您合适主要您拿着针对有事有伤的，要没上您车，没有伤就不跟你说这个了。
[12:32.110] 取消单子衢州拿个单子去车里面凭证行驶本你们要
[12:36.310] 前10本暂时也不需要，你得把身份证拿来，被保险人你上哪家保险公司，人保人保的，然后是在这上头。
[12:42.660] 咱在那店不是在这，没事打电话没关系，然后被保险人是您本人吗？行。
[12:48.350] 很好的，然后有车损险有专业选择那就行，好。
[12:52.370] 15天之后生效，然后过来修车的时候。
[12:57.840] 不好意思。
[12:58.920] 给2500现金，到时候您就留您的银行卡，个人银行卡才会打到银行卡里就行了。
[13:06.390] 修两次，再给2500，
[13:11.190] 这一年之内的销售量一年这个咋说反正是
[13:17.370] 你要修一次7还没杀商也就没必要了，真是有伤，你正常报报两次就拿5000块钱现金，你这保费在涨，
[13:24.690] 怎么涨它也涨不到5000点，它即使
[13:28.640] 即使她长得比较高，打比方说这技术可能涨的比较高了，但是您的
[13:32.570] 车也修了，然后你不可能比他还高，一给您的补偿的不可能比他长点，刚才说了我2月份有一次锥子，
[13:41.950] 然后出过一次钱，然后他跟我说了，
[13:44.800] 我明年的保险就是因为出这次险，今年的保险会上上涨2000块钱，差不多
[13:51.390] 三两千块钱，您这样的话精辟，
[13:55.750] 既要京pp011是吗？
[13:59.220] 对。
[14:00.670] 一次和两次应该
[14:02.600] 差别不大。
