[00:00.560] 稍等，现在唐先生。
[21:30.370] 直到我出院去。
[21:34.630] 住这附近不是。
[21:35.940] 都有就在海淀。
[21:43.750] 你找个朋友之间的吗？
[21:45.260] 还有指标。
[21:47.160] 在朋友的指标。
[21:52.350] 他可以来配合你做贷款是吗？
[21:55.010] 他不用不要挂它名下。
[21:57.400] 对没错，贷款是您的，您来还。
[22:01.810] 可以，我要钱。
[22:15.910] 第一次好久没开过。
[22:18.690] 给了多久？
[22:23.470] 不是咱调头。
[22:28.910] 不用紧张没事，他说开玩笑。
[22:30.840] 功能很简单，就是昨天唱歌赚5倍，
[22:43.120] 坏
[22:49.520] 挺舒服。
[22:52.690] 的。
[23:06.840] 让你们看一看吗？
[23:08.480] 电邮车电车对吸收更快。
[23:16.470] 慢点。
[23:19.040] 没事儿坏。
[23:32.350] 车中间走后面那个车被我骂我
[23:45.270] 你最近有什么优惠吗？新对象安心开车，大家怎么走都搬走。
[23:51.290] 第吃饭
[24:02.560] 的确是发展部开头了。
[24:04.330] 三
[24:05.640] 我就跟人见过几次。
[24:09.350] 要分开多大。
[24:10.830] 是。
[24:12.280] 表演要不到，要学会了都忘了，对。
[24:23.920] 也很早就想到了。
[24:25.640] 14年了。
[24:28.280] 行。
[24:29.560] 月
[24:31.000] 的。
[24:32.990] 现在没拿。
[24:38.580] 停车到他的时候。
[24:40.400] 对这个得重新出去。
[24:42.920] 往前开前面对太好看。
[24:46.130] 自动挡比手动挡方便了，要开始更冷不定。
[24:50.160] 增长手忙脚了。
[24:53.660] 好的点慢。
[25:03.950] 开展4号
[25:06.490] 收到了吧？
[25:07.530] 我就到放假，
[25:09.120] 调头虽然条条件给我看看，
[25:11.830] 东西
[25:13.600] 你看
[25:45.840] 我正在看把它先过去，
[25:49.760] 里头走。
[25:52.310] 您的时候站着。
[26:02.870] 面多多开起来就少。
[26:06.990] 其他问一下自己
[26:11.180] 多开，对开枪就开，洗完之后对我就好久没有上车。
[26:24.190] 频道的时候不要减速，
[26:25.800] 不管有没有车，有车还得加速去冰岛，好，
[26:31.470] 我们就进到你这了，
[26:33.320] 有病了你车道马上调出了。
[26:35.730] 掉头了吗？对，教头左边调头。
[26:43.290] 尤其是平时你开起来之后，
[26:45.580] 如果他说走四环走路，
[26:48.860] 不是三车道吗？如果有车你越减速它越不让你病，
[26:53.450] 一般都是加速去电脑里边掉头。
[26:58.120] 太好了，我已经学会了一个新的开车技巧。
[27:08.280] 先从这走行，不要去拍照片了。
[27:10.140] 对，这边没有。
[27:30.520] 左边出说慢点。
[27:32.590] 等会儿停会儿。
[27:33.890] 拍照技术。
[27:35.330] 老人先走，
[27:40.490] 这时候可以把刹车踩死了，
[27:42.690] 在身法，
[27:44.290] 生产在拍死，
[27:46.130] 后来带劲儿，
[27:48.440] 好吧，送他没找到那个点。
[27:51.160] 他原来一脚踩下去，它就可以将放开
[27:54.720] 了。
[27:57.010] 等我们回来接着就不着急。
[28:01.570] 你看一下刹车踩死了。
[28:03.490] 对，出现好的可以松开了就松开了是吧？对，给松开就停住了就。
[28:07.710] 然后可以说走就行了。
[28:09.650] 没给油就解除了。
[28:11.510] 打牌。
[28:35.070] 不用加挫折多过去了。
[28:39.740] 中间不要走。
[28:47.950] 你们已经到了。
[28:48.840] 我是知道。
[29:04.960] 往这边一下。
[29:05.950] 这个人倒过来。
[30:00.760] 这块是如何？
[30:02.730] 他作为我开的开
[30:09.240] 后来谁知
[30:10.770] 慢慢
[30:22.550] 了。
[30:23.800] 对，稍微减点速度下口进。
[30:25.830] 车型到出口的知道。
[30:31.600] 这倒车不变它值多少？
[30:36.150] 对，口感又管，从而接近。
[30:40.160] 这是人心创造，火车可以变成
[30:43.300] 一面的一下党费。
[30:45.080] 我在这儿又不要想。
[30:50.370] 观点、
[30:51.720] 肯定挺好的，很紧张。
[30:57.620] 这个方法其实。
[30:59.290] 更好看一点，这样对。
[31:02.400] 300多少钱？
[31:03.700] 这是老爸。
[31:04.880] 要贵一些。
[31:07.470] 大概差不多都在50左右。
[31:11.790] 现在这也有300。
[31:14.210] 对。
[31:16.120] 它GLK。
[31:18.440] 应该是老以前都叫K下载都改成724，
[31:27.000] 这一期还有一个牌号码的50多万，
[31:30.250] 哪怕
[31:31.430] 这个不是4号拍卖
[31:34.070] 了。
[31:37.040] 司法拍卖就是哪个最便宜买哪一个是最好买不着，他全都是顶格，然后对于他是摇号时间也好时间长，但是你就买最破的那辆车，
[31:47.210] 他有一个最高限价，你就买最破的也买不着，人家都这么操作的，都那么操作，就看谁进瓶子走是很清楚，你就买100万的车也是到最后也是排，
[31:58.280] 也是到最后是拼谁进去吃得早，对没错。
[32:02.260] 你就何苦你买个100万还是个二手，你何苦把卖掉，那就相当于买个5万的。
[32:08.530] 买房子肯定要亏的多，昨天都是都这么干就摇不着，你除非是简陋。
[32:15.060] 就运气有望
[32:17.300] 这群安静开放。
[32:19.010] 她没事都开起来了。
[32:21.500] 听说我聊天。
[32:23.080] 听清了。
[32:24.180] 搞起来的。
[32:25.350] 韩国的事情。
[32:28.910] 上网。
[32:29.820] 对停那了。
[32:31.930] 你看事不要踩这么死的时候慢慢踩OK可以了，放P的
[32:38.250] 不行了就可以了，好谢谢赶紧走。
[32:49.240] 颜色有点偏红的。
[32:52.140] 远
[32:55.080] 的。
[32:57.810] 的
[32:58.600] 的
[33:44.680] 这个车。
[33:45.870] 咱开这个车是豪华版，对豪华的定量是42的吗？
[33:50.810] 没错。
[33:52.330] 目标看黑色是动感差，你看强点
[33:58.230] 着满天星的，你看特别
[34:01.200] 难听，新闻都很出名的，
[34:04.840] 踏板的轮毂这是19的，
[34:08.460] 那个是18的点点还差内饰座椅加热，前排的
[34:14.350] 内部座椅加热，还有内饰是黑色钢琴烤漆的，世代实木的。
[34:19.470] 对，有这些区别，价钱。
[34:22.440] 差3万块钱。
[34:23.630] 这贵3万倍，对先污染。
[34:27.730] 这块你就来
[34:29.680] 给我们报告一下，没问题可以。
[34:32.640] 我们也不用给你吃饭，咱们绕圈子过去，
[35:00.600] 年后等我一会把钥匙还一下。
[35:03.160] 好勒。
[35:08.360] 远。
[35:17.460] 数据、
[35:20.790] 了。
[35:26.940] 收了5块钱惊吓费。
[35:35.730] 你帮我下。
[35:37.560] 了
[35:38.580] 的。
[35:42.120] 在上海走走咱找个位置，一坐K3报价。
[35:48.960] 对好。
[35:57.910] 然后运动舒服。
[36:01.680] 你拍卖行去对面都是一些。
[36:06.280] 不是没事，我们站的也行。
[36:08.550] 谁知
[36:11.530] 不用
[36:14.110] 就在这里也没有供被咱这座。
[36:17.290] 这跟我没什么说到这下面
[36:28.480] 时间你知道
[36:29.680] 你在干嘛？
[36:32.190] 做。
[36:33.090] 这让薛谭政鹏过去你要和他说
[36:37.120] 了，
[36:38.890] 东南荷花
[36:41.780] 了，
[36:44.730] 我觉着你这差3万块钱满天星，然后轮毂什么的。
[36:50.410] 你先好好
[37:08.490] 的
[37:11.730] 二
[37:16.760] 的。
[37:56.470] 首付金额年限要求吗？
[37:58.760] 总共赚多少？
[38:00.980] 5年最长5年，然后利息首付要求多少？
[38:05.180] 30%最低，然后利率
[38:08.170] 5年15.5，百分
[38:10.030] 15.5是年化15.5是吧？5年总共15.5和23,000.1，23,000.5手续费没收益。
[38:17.590] 都没有，之前的都没有是吧？
[38:19.990] 如果是两年。
[38:21.500] 两年
[38:22.800] 就没化4%，对日常也延长了。
[38:26.620] 我们就做过5年的越长没亮相30%，
[38:31.460] 收获60%。
[38:33.750] 行行，百分98你就按一半行反正。
[38:43.030] 60了，你还套房子。
[38:48.610] 5年太长了。
[38:50.990] 36。
[38:55.190] 三年的是百分之多少？1%，相当于每年是三点。
[39:04.150] 3.45
[39:05.710] 场
[39:10.950] 数据
[39:12.870] 的
[39:37.840] 给您说一下。
[39:43.200] 的。
[39:45.090] 对。
[39:45.900] 无论是适用
[39:47.720] 客户为尊，一项在天津合法得体，明码标价，公开透明配件渠道信息公示，绝不服贸销售全是消费，绝不是S中行
[39:55.620] 官方客服电话4008818，
[39:57.560] 咱们今年都是全国统一的报案模板，
[40:00.240] 说明价格每天价格都是有公式的，供应价格在多少还可以再看一下。
[40:05.320] 你像LC260L豪华，
[40:08.500] 必须的豪华指导价422,800，现在北京查现金优惠4万，
[40:14.240] 北京牌照优惠4万，对U盘之后是302,800，租税33,876，
[40:23.840] 基本装饰园林800，包括贴膜、脚垫，互相叫异常记录仪，要不要也可以。
[40:30.570] 也可以，没有其他的乔治没有强制型，
[40:34.250] 上牌2500，保险这个车12,000左右也不强制2500，你指的是出库费，你们有出库费，没有出库费，保险就是上牌2500，包括代办临牌代缴购置税，新车的obd检测就环保检测，
[40:48.380] 还有一个待在Y上，
[40:50.110] 4项服务要不要这个也可以，要2500也可以，对保险12,000左右，保险强制在这上不强制全险。
[40:58.650] 他说那就我只在这交个交强险也行，不行就行行，然后441,900
[41:06.690] 76，对44万，我记得我看见了，喂
[41:12.040] 首付5成，
[41:14.790] 191,400，
[41:20.000] 一个月还6000，
[41:22.360] 支付合计2万25，三年相当于
[41:30.560] 你这种贷款要
[41:33.720] 要点我看看，我看下子着急吗？
[41:37.940] 你这样你不要
[41:40.380] 不要照搬，不要没见过车没车都怎么卖他。
[41:45.900] 可以
[41:47.710] 上。
[41:49.750] 它这个是额外的家里
[41:53.030] 一旅行
[41:55.580] 还剩2万块钱，真没见过。
[42:01.890] 11%一一袋20万人，10-25，一共44能够干20，你等一会我想我打断问一下11
[42:11.990] 那就是2万多块钱的意思。
[42:13.900] 来我们这儿是吗？
[42:16.000] 算，行行，好了。
[42:19.670] 拜拜，贷款的多待着，你带上了。
[42:25.180] 分期的话这边有个
[42:27.760] 一年4两年。
[42:30.640] 三年11。
[42:32.130] 因为你手术车的分离不是说咱自己的指标，
[42:35.980] 所以只能是在按这个方案走。
[42:37.990] 这几指标的话怎么办？
[42:39.980] 对自己成本比较好，你想怎么做就很简单的。
[42:44.330] 利率跟这个一样，如果说本身技术会比这更低，因为咱是说是在分离，所以只能做按这个关系。
[42:52.150] 他有点麻烦。
[42:53.580] 然后你看就4万优惠，这肯定是不好的，你再给我们优惠点，别的店没有这么
[43:01.350] 还比还有点优惠不了多少钱了，为什么？
[43:04.590] 你得给我抱抱，我这一下子一口说了，你让没有回旋余地了，这样的，如果你经常订车吗？
[43:10.800] 我们这诚心实意来了4个人订车的话，这个车价格因为我4万给您报价格是非常划算的，没有任何市场销售，没有强制消费，
[43:20.190] 因为4万
[43:21.260] 我也可以给您报个35,000或者38,000，但我互相余地，
[43:25.200] 这个司法是我的寿命近的权限，
[43:27.420] 给你便宜申请的话，大部分送2000块保险。
[43:30.690] 你看我说的价钱是这样的，
[43:33.510] 就说我们要不要保险了，
[43:35.620] 我们要不要装饰了，光留2500的证明，然后
[43:39.960] 在给我们多少钱优惠，送千元保险。
[43:43.490] 就4000+2400万加2000，对没错，这样还是不行。
[43:48.290] 没事你可以问他价格我们全是这样的。
[43:51.960] 如果你买装饰的话再给你便宜，没问题可以没事我们不要装，对，就是说你这最大的条件就是2000保险。
[43:59.130] 那也不行，你太大吸引看你说购车咱们再沟通，
[44:03.670] 对吧？
[44:04.770] 颜色就是本来我们要黑色或者颜色有什么前瞻产品没有差异，不一样钱
[44:11.550] 有现车。
[44:15.400] 对，现在间接是各种颜色都有，主要还是黑色为主，也就是my。
[44:21.360] 一个月还5000多是吧？
[44:25.430] 绝对扣划走。
[44:34.190] 它不会影响到我买房子，
[44:36.550] 信用背书，
[44:38.110] 信用代表队。
[44:39.900] 房买房子只认房贷，包括你什么样大概有什么关系，你怎么会
[44:48.770] 他把那什么疑问或者其他物流给解释一下，我如果以前我能提前还吗？不能提前是吧？
[44:53.840] 这个可以再探讨，咱们就说今天的
[44:58.510] 你怎么还钱呢？
[45:00.850] 对吧？你再给我们什么？
[45:03.480] 我们这了解的确实比这个钱
[45:07.260] 咱这样咱简单直接一点，你说你想多少钱买，我先问申请不完了对不对？那行。
[45:13.530] 你得先给我们报一个说不用说了，我现在有2000 2000多钱，而且还不是实打实的现金，
[45:20.060] 还是个2000块钱保险是吧？那还不是现金，我们说是
[45:24.210] 这是咱抛开这些附加的那些装饰保险的是附加在咱们都是我们说限电还能给我们，
[45:30.970] 我们不要2000块钱保修完了头了，
[45:33.590] 我们2000块钱多钱的。
[45:36.770] 因为你保险的话你在哪都一样，其实价格我们不要求上全险，
[45:40.950] 咱们上个车损上三种没问题可以，我们不强制事，也不要经常权限。
[45:46.790] 不过里程就是说我们保险我们一直这样交，强险，我们自己好比说去上其他的钱险，
[45:53.530] 我们都是现金，你38万多肯定不行。
[45:59.950] 当时估计
[46:04.240] 先生
[46:05.480] 到不了，我给你说的非常靠谱的价格是被成交去的，
[46:08.950] 您这么聊的话就没有意义了就对不对？当然你受价格是你的预期，没错我承认，但是我们现在给不了你的价格，也可以
[46:16.290] 到达在其它店，我们上周也差不多了，对于现款而言我可以负责任告诉你这价格到不了，
[46:22.610] 因为车没问题，车都是6月份5月份新车没问题，不是老板的车对不对？
[46:28.660] 以前你要说上一款到5万没错，能到为什么他
[46:33.640] 4月份之前的车，他以前人口是18英寸到中国，现在是19个重视新款的车，
[46:38.620] 然后价格的话几千到48,000~5万的确是
[46:43.350] 的确是有，但什么说什么的确是。
[46:46.260] 但对现在而言，这款车
[46:48.670] 4万家里什么保险是我的权限，
[46:51.660] 就是知道你也很辛苦，我就说您的权限能你是否理解税务，他比如说上年的上一级给我们争取没错，只要是能好比说价钱合适，我们今天肯定就定，我们也是放任这来买，
[47:04.860] 不是说4个人这么大热的天过来，光市场不可能说过来我转，完了对我们这一看这个阵势就不像是装，肯定是他带着朋友过来给出个主意，肯定是奔着买车去的，是不是？咱们
[47:17.520] 是说相互这个事都相互理解，相互支持对不对？
[47:21.110] 看着您这也是吧，肯定也是
[47:23.430] 也很实诚，我们也就是说您给我们去申请一下不行，然后您把您能好比说上一级领导或者一级领导能给他最大的优惠给我们说一说，
[47:34.610] 我们再商量商量是这样，咱们对吧？像谈判一样得取个中间值，不能让你说
[47:40.440] 一我说二那不行，谈不了就疯了，不行做买卖不能这么没错对吧？我们就说要不然您是请示，你说我们也确实去其他地方去卖，
[47:52.050] 我们那店里面反正对吧报价肯定每张亮不是一样的，一般就是找到人生得多少钱。
[47:58.450] 这个是这样的，车间有一台在盲点辅助的贵了4100块钱，
[48:03.830] 就原厂选装的
[48:05.250] 能额外优惠点，你有必要吗觉得？
[48:09.950] 在忙点补助，后边盲点监测，
[48:14.490] 你说是后视镜就是在毛区医院灯亮，对没错，不到有必要。
[48:20.560] 没有千块钱的有点贵了。
[48:23.720] 你进入你的车的右后方或者后方盲区的时候，你在忽视境里边
[48:29.650] 很难观察，但是他护士正常
[48:32.360] 会有一个
[48:34.260] 灯它会提示。
[48:35.880] 红灯。
[48:36.750] 这是4000块钱是不是有点不太合适？
[48:39.710] 还不如把三块钱用到了其他的
[48:42.010] 更加什么？更加有用的，
[48:44.580] 让你更满意。
[48:45.940] 你技术也没算价格的，是对分期的话是做哪种方案？
[48:50.120] 触电就36，您百367对50%或60%我们都能接受OK OK好的。
[48:57.630] 行了。
[48:58.160] 没问题可以，现在猪不看的话就装是不在里面做对吧？对装饰行，好勒，我去问一下。
[49:04.490] 等我练我们就提个裸车，好的上班。
[49:25.880] 我西安
[49:26.790] 没水用的，谢谢。
[49:28.320] Show给他教育厅什么的。
[49:30.380] 没有有幸这里休息。
[49:32.670] 那位姐。
[49:34.050] 咱家有E旅行的车资源什么的卖过吗？
[49:45.270] 我现在看不到没带这么多电脑描。
[49:50.190] 行好拜拜。
[49:55.450] 路
[49:59.550] 花
[50:04.510] 场
[50:08.570] 的
[50:15.690] 人家
[50:18.960] 周二拿回来，
[50:22.500] 反正能拖一下。
[50:28.010] 盗刷。
[50:33.350] 远
[50:58.250] 行行好勒。
[50:59.620] 什么配件
[51:03.060] 了？
[51:06.510] 场。
[51:10.950] 了
[51:16.170] 了
[51:21.070] 选一个
[51:26.490] 慢慢对A不行。
[51:42.730] 谁知
[51:44.190] 199
[51:46.280] 对吧？又提交，
[51:52.660] 慢慢旋钮才能显示。
[51:54.570] 三点，还有7。
[51:59.840] 65
[52:02.230] 了。
[52:03.550] 无议价，
[52:09.760] 双方看着车查不到，
[52:12.760] 展厅经理是平你也是情况。
[52:16.560] 也就是
[52:17.830] 的。
[52:18.650] 咱俩是一样的，就是说你这个人的权限对。
[52:23.720] 你快追上那傻逼刘帅了，
[52:26.390] 你在桌上傻逼刘帅上周上老在那查小刀，你打站起来了，
[52:33.010] 没接到就不用写了。
[52:35.780] 那就写上。
[52:38.110] 谁知
[52:44.540] 怎么说？
[52:45.420] 春季
[52:47.150] 什么事情？
[53:08.960] 问经理他说是因为这个月厂家有政策是送DAEB的保养，
[53:15.630] 但是我们已经够数了完成任务了，这个事刚才我们给您说，
[53:20.520] 然后我经理说1B是什么意思？两次保养，然后这里说没事，因为咱们不是分期，我可以人气换个全款的，反正就不给他报了，就报咱
[53:30.650] 给您报两次保养，
[53:32.370] 再额外给送2000元保险，再送4000万保险，
[53:36.640] 然后困难和保养，
[53:38.770] 4000块钱保险是什么意思？如果买保险要1万块钱，要交1万块钱。
[53:44.510] 没错。
[53:47.560] 然后
[53:49.770] 保险给您提供4000。
[53:52.120] 刚才不说2000吗？
[53:53.620] 再加个2000。
[53:55.060] 然后给一个ea B
[53:57.960] 两次保养，
[54:00.360] 装饰你可做可不做，
[54:03.530] 就是钱没有优惠，
[54:05.640] 前4万是顶天了到头了。
[54:08.180] 到头了。
[54:11.050] 1A的话它是1万公里或者一年一次保养，
[54:14.340] 首保就是A宝，
[54:16.900] 支付宝本来不免费，
[54:19.350] 第二次保养就是B
[54:21.180] 滤跟机油三率的区别，
[54:25.000] 的。
[54:26.690] 就这样和我们多多少少还是有心理特征。
[54:31.050] 这样这不是和滑板那一款是光裸车价能便宜多少？
