[00:00.230] 在我们的风险单子在哪呢？
[12:48.000] 后备箱怎么后备箱，咱是不是带300的待命一小时的？
[12:56.060] 摘草莓都留下了，对这车是防爆他所以他没备胎怎么开这等着。
[13:07.240] 好。
[13:08.160] 看看三角牌就是善良，对。
[13:13.560] 对，因为防爆胎。
[13:15.130] 也不用您自个去换轮胎什么的，像这种在it1I
[13:22.560] 谁都可以等要是得在身边，
[13:27.430] 要不在身边也不行。
[13:29.250] 对。
[13:29.960] 还得加油在这加油是直接解锁
[13:34.560] 解锁的议案，
[13:36.560] 然后解锁谁问你了？
[13:39.660] 怎么解锁你这个人就一人他就都不用管车里，就什么没有单独开关了那个东西对。
[13:48.610] 没事，到时候这功能交叉
[13:50.780] 给你讲一遍。
[13:52.880] 咱办手续了，我下大了走。
[13:57.990] 谁知
[14:00.020] 结果还行，还好没下大。
[14:09.160] 咱坐那边对吧？
[14:11.290] 现在就差一个，前需要确认保险，您看怎么
[14:18.080] 咱险种，
[14:19.750] 您看您怎么
[14:22.920] 就拍一个钱，其他
[14:25.050] 都没有问题。
[14:29.750] 坐着。
[14:38.750] 一般像车的保险都是车损三者三者看您保额多少，100 200
[14:45.960] 都可以，
[14:49.510] 然后盗抢您上不上了？
[14:52.340] 车辆被抢。
[14:54.250] 你上
[14:55.840] 反正新车第一年你要全点的话，就是车损险，
[14:59.460] 三桌一半都报100万以上了。
[15:02.630] 咱也保一
[15:04.270] 还是
[15:05.310] 高点。
[15:06.290] 当时
[15:07.200] 赔对方的险种。
[15:10.610] 反正我们这车原来都是
[15:13.550] 都是最多5050万，您上午10万100 100万不就赔对方吗对吧？那么多
[15:20.540] 像劳斯莱斯撞赔的可不知道，
[15:24.830] 你撞别人就是撞的人是不是人财物都给？
[15:28.930] 都
[15:30.260] 三者对方的人财物全赔，
[15:34.370] 反正50跟100也就差四五百块钱。
[15:39.810] 一般都是100了，我觉得我
[15:42.010] 我开车这么多年没人撞了。
[15:45.180] 能上多少感觉？
[15:47.000] 怕什么？
[15:50.030] 反正保一保万一百81,000
[15:56.830] 盗抢上了是吧？
[15:59.320] 玻璃划痕险的。
[16:01.600] 玻璃写也得上班，玻璃好了，石子崩人是啥？
[16:08.190] 那车包括玻璃，
[16:11.970] 罚很简单。
[16:14.010] 车辆被划了什么的加上是吧？
[16:17.830] 咱们以后的生活的一点，
[16:20.610] 然后涉水险上不上发动机进水的
[16:24.060] 300多块钱，
[16:27.000] 妹也加上。
[16:28.530] 先都给您算一下，一会您看一下保费。
[16:31.850] 自然就没必要了，咱三年不限公有制，
[16:36.500] 自燃没必要，当然不了了。
[16:39.990] 即便然了咱整车有三年不像宫里吃饱了，
[16:51.030] 那就是小型的。
[16:53.230] 对小词。
[17:00.850] 你内饰什么其他东西还能再优惠点吗？
[17:04.320] 没事，他就一个固定套餐。
[17:06.730] 然后
[17:08.210] 我们这儿也有笔，我给您报14,800，还有好的套餐，其实您可以去体验，正好我没有体验任务，
[17:16.610] 买卖都行，可以了解这个东西。
[17:20.040] 行，给您算一下保险，
[17:23.110] 包括咱们现在比较有高端的这种贴膜，还有车衣，
[17:28.640] 咱们都有。
[17:31.640] 保险公司咱们上平安人保、
[17:35.250] 安的平安的，
[17:37.960] 要强化有一平安好车主就那车对省得我再折腾一个班，对平安好好车主方便。
[17:46.980] 您是平安好车主，那就留您的电话，您电话多少？
[17:51.560] 刚才那个篇油库还留他们，你不是平面好好深入，到时候自动的时候特麻烦，到时候他会给您发验证码，如果先生留他的话，他没平安好处还得下载。
[18:03.940] 您电话多少？33906311391063272747。
[18:17.800] 夏冬夏冬。
[18:23.360] 夏东收到了吗？夏？
[18:27.960] 来一下后厅给客户体验一下咱装饰。
[18:35.670] 你可以体验，你买不买都行，可以了解到我们有着任务，
[18:39.750] 就是装饰这东西对吧？
[18:43.120] 他有更高端的
[18:44.760] 您了解了，我们也有体验任务后
[18:49.200] 到
[18:52.330] 像我们还有一个险种叫代步车险，
[18:56.890] 如果说您的其实他现在叫做钣金军饷里，如果说您那个车
[19:04.950] 举个例子，您有一些剐蹭什么来着，修车了有半斤的部位，
[19:10.920] 比如他上保费是1498，
[19:14.230] 如果说您有这个险种了就答出来了，修车单次金额就赔付您2500块钱，
[19:20.140] 只要您搁这修车，
[19:21.770] 原来名叫逮捕车险，那好意思用车，这修了没有车了。
[19:26.540] 相当于给你损失，就是它是消费1498，
[19:31.510] 一年最多赔付两次，
[19:33.780] 可是您修一次车人就有半斤的地儿，您就给您2500块钱直接打到您卡里。
[19:39.660] 您车您该打车打车干什么？
[19:42.780] 这。
[19:44.010] 为什么能单独一个衍生的险种？因为你要说就举个例子，如果说您没有修，
[19:51.850] 相当于对我们店里头有创立了，我们不用赔付您钱，但是一旦您修车了，
[19:57.700] 肯定您是挣钱的了。
[19:59.830] 这样也是赔钱的，对咱那个装置的一个体验人员，让他们介绍一下客户做水晶店吗装置，然后你大概的人在讲讲咱们有更高端的东西。
[20:10.910] 行，介绍一下简单的您能不了解一下从店里的装饰先去了解展现。
[20:15.920] 因为您这边做完。
[20:17.030] 车肯定要责任，不光
[20:19.350] 不是简单介绍一下。
[20:22.380] 好吧，之前交定金。
[20:25.830] 说徐总签名就不用再退钱了，
[20:28.640] 您怎么操作重新做一份合同。
[20:31.050] 重新做。
[20:33.240] 鉴定人的时候。
[20:35.300] 该见见。
[20:38.490] 你把这辆车关联上也不用关联，你把你之前见的合同的车给取消了。
[20:44.460] 然后。
[20:45.560] 到你新建的合同，然后垫付就是谁给谁垫付钱不就完了，写清楚了就行，对吧？
[20:51.280] 还是做现金信息。
[20:53.840] 对，还是限定腺体好。
[20:56.940] 现在
[21:01.210] 需要徐总签字。
[21:02.120] 我都没找到。
[21:04.450] 我也直接给我。
[21:07.920] 今天教教。
[21:09.920] 没事。
[21:11.510] 我那不是我那是G5版，人家把钱都打过来，
[21:14.870] 早都打过来，一直没开课，就因为指标的问题。
[21:17.900] 了。
[21:23.810] 开会又说啥？
[21:26.450] 你说任务的事了，
[21:35.600] 点我名了。
[21:38.330] 拿下了。
[21:39.420] 你再说一下。
[21:43.750] 没问题。
[21:45.280] 因为我这边
[21:46.910] 了
[22:01.840] 不能防止
[22:02.880] 进这玩意没用了。
[22:08.310] 这年代谁还用彩信。
[22:11.080] 你们都微信是吧？
[22:14.140] 微信用彩信。
[22:18.970] 看着
[22:19.880] 他也不卖车。
[22:21.880] 谁？
[22:23.180] 我咋又没卖车？
[22:27.250] 这不卖车一天停，
[22:29.180] 你说你这咋又不卖车，
[22:33.980] 你就没啥又不卖车不差钱。
[22:38.680] 这么说是这个道理，挺刺伤我的。
[22:43.620] 呵呵。
[22:44.930] 我觉得你要说是这个道理，
[22:49.990] 钱是王八蛋花难赚，
[22:55.730] 没干嘛。
[23:00.990] 在哪？
[24:14.380] 但起码给sp帮我释放一下说
[24:17.640] 737034号。
[24:21.720] 331
[24:25.240] 三
[25:04.050] 137034
[25:05.530] 4
[25:36.350] 名单
[26:04.430] 花
[28:04.070] 我知道。
[28:06.230] 等。
[28:08.440] 等。
[28:09.770] 了
[28:13.930] 场
[29:33.810] 阳哥。
[29:35.140] 咱那一批不是13,800，
[29:37.730] 然后我这是按14,800卖的，多了1000块钱，你说里头能加个镀膜什么的吗？
[29:46.020] 有些
[29:47.120] 我们都要
[29:48.560] 家就不行了是吧？
[29:51.320] 我只能给客户便宜1000块钱，是这意思吧？
[29:55.810] 他说
[29:58.270] 我就按这个钱卖来，
[30:04.580] 我那是14,800，差100多块钱，我就跑100多块钱，
[30:09.700] 对吧？好的。
[31:33.950] 体验完了吗？
[31:35.940] 那膜就是贴膜。
[31:39.060] 他那是怕雷迪分等级的就是打的。
[31:44.780] 那是进口膜我记得。
[31:51.890] 有需求提升的话，你就跟我说这是保险我就算完了好。
[31:57.570] 不要钱。
[31:58.500] 计算器
[32:00.370] 32134281377是商业险，950交强车船是200，总共是这么。
[32:08.390] 险种包含这么多的，您看有没有调整的需要？
[32:12.790] 预算的。
[32:14.950] 哪个？
[32:15.900] 属于私送驾乘人员险？
[32:21.660] 人家显示没给您算上。
[32:24.520] 对人员要不要？
[32:27.490] 人员没算人员要吗？
[32:29.840] 车里面的人员对。
[32:32.130] 应该不用不用，我们是不是看着都您自个有人身意外险是吧？
[32:38.520] 你要自个就没必要上了。
[32:40.730] 不是自己有，你要是在车里撞了，你去医院看病，他要按交通责任来赔定他不管，
[32:49.530] 走医保是可以，但是他
[32:52.640] 医疗
[32:54.050] 应该没有。
[32:57.290] 反正它这种人员险就是您上来之后有问题，保险公司赔您钱医药费，他主要培训
[33:14.870] 机构收了三种吗？
[33:17.270] 我出租既然这没算，对3005个人300块钱。
[33:24.960] 算上是吧？
[33:26.410] 然后再加上说
[33:30.480] 机动车损失保险无法找到第三方，无法找到第三方的意思就是比如说您车停路边，别人给你剐了蹭跑了，
[33:39.450] 找不着了，您可以拿这个险种还正常去。
[33:43.110] 我那车有一次跟人家管了，我
[33:47.370] 就同事，然后我就也懒得那什么，我就自己修修了，然后一看就是车管了，我就说我是挂住了，
[33:54.990] 然后他就说没法，他就把我车开过去在管一下住。
[33:58.960] 对，是不是都这样，像您有第三方就没事了。
[34:04.470] 不够。
[34:11.030] 他也就再算一遍行。
[34:17.160] 算算。
[34:18.470] 是不是大家都是这么算上了，这价钱算上了，
[34:22.900] 这总共加上人员了，
[34:32.990] 一下
[34:34.270] 保险
[34:40.600] 保险就是以防万一。
[34:44.920] 算人员了，这里头包含人员了。
[34:49.960] 用这个钱好好给。
[34:53.760] 那就按
[34:55.060] 这个是13777，然后一把加一想给家里头了，这家一点300块钱加到这里头了。
[35:04.510] 对。
[35:09.890] 那就把这合同给路里头了。
[35:15.120] 装饰什么的有想法吗？有提升吗？
[35:19.640] 以前他一套模它分4级6级到8级12级，其实咱自个用弄个4级或者6级就够了。
[35:30.240] 一一个馍我看一下，
[35:32.880] 不便宜，那一个魔比你装的套餐还贵。
[35:41.430] 一般可能。
[35:42.440] 一般会用不上这个东西就是更高端一些，也更安全其实。
[35:54.850] 他跟隔热的话，其实咱们理工也隔热，对。
[35:58.950] 他也隔着它膜的厚度更高，
[36:13.930] 就繁荣
[36:16.850] 等
[36:19.580] 木块。
[36:20.840] 这个单词怎么你这收益不是给沉淀交代吗？
[36:28.520] 哈雷，
[36:30.990] 咱就看美国，
[36:33.600] 你要整车都换成那样的，就得也得万，
[36:36.840] 就得你又得天1万多了。
[36:40.040] 多。
[36:43.970] 哈雷
[36:46.740] PLD442M798 19,800，
[36:52.100] 给您做个优惠，估计也得16,800，就一个。
[37:00.570] 其实弄这门不是贴脱衣，
[37:02.950] 我觉得你不如贴个车衣。
[37:07.000] 车一他没跟你讲，
[37:09.210] 隐形车衣。
[37:10.970] 如果您家是那种老小区，没有这种特别好的车位，没有我们就
[37:16.990] 都有地库那就好点，就是车E什么就跟咱手机的钢化膜是一样贴在漆面上，
[37:23.910] 所以人为的拿钥匙划轻微的剐蹭，不会伤底漆，
[37:28.430] 还会自我修复。
[37:30.010] 对，漆面的。
[37:31.940] 他跟你讲的是玻璃膜的。
[37:36.760] 是这样吗？
[37:37.760] 就这样。
[37:38.720] 行。
[37:39.530] 因为我们
[37:41.020] 来回单位也有苦，没有那就行，基本上除非就出去玩去。
[37:48.870] 用不着去。
[37:51.520] 行，我把这合同在
[37:54.420] 弄一下。
[37:57.090] 然后今天流程是这样，车不也验完了吗？咱下一步就是说算钱交款，
[38:03.550] 交完款咱们就开发票出保险，
[38:06.670] 然后在这阶段有个交车专员会把这功能都给您讲解一遍，
[38:10.990] 然后今天您的车是不是开走？
[38:13.510] 开开走不开，走你不要踢吗？贴膜得验完车以后贴。
[38:20.020] 然后您这指标是有是吧？
[38:22.100] 那就是燕车头
[38:24.260] 过来取车，因为咱们验车也得跟着车去验吗？
[38:28.010] 其实我这安排的我要快的话，今天中午可能咱快中午就能把睡觉了，
[38:34.180] 咱们约验车都能约到荆州几？
[38:37.580] 周四是吧？下周一。
[38:40.160] 下周一就能验车，验车只有工作日才能验。
[38:44.650] 其实你今儿穿你就能开走，我今儿就可以给您办个临牌就能开了。
[38:49.360] 要不您还得下回再来一趟，还得再来取车。
[38:53.440] 我这儿其实挺简单的。
[38:57.430] 弄完车以后，你知道我今天开怎么样。
[39:01.440] 不喜欢今天都不了，我都没干就没车了，没办法照。
[39:06.230] 我以为你都得。
[39:08.250] 弄完了装饰我除了贴膜，其他我今天都能做特别快，那都很快的。
[39:14.920] 天文就得验完车以后才歇，对，像脚垫互相移，这可能就40多分钟，我今天就能做完了。
[39:23.050] 要多少贴膜？
[39:25.270] 烟会稍微长一些，得小半天时间。
[39:30.720] 还有拍。
[39:32.540] 号您说。
[39:34.200] 您不是说现场拍好吗？验车当天到那就能拍，燕天当天就能拍，或者您手机在12123上面就能选号都可以。
[39:44.550] 现在就能选吗？
[39:45.680] 可以，现在一个车。
[39:49.590] 发票那个东西我会把给您。
[39:52.300] 发票以后做。
[39:53.540] 是吧？
[39:55.520] 发现我现在小区不是
[39:58.880] 能开的。
[40:09.050] 他用车送。
[40:11.570] 待您的那的跟个人。
[40:13.660] 这车您得去。
[40:15.560] 得去就开车去，手续是我们来跑，但您得有一个人跟着说不去。
[40:21.790] 不也可以那样吗？开个车过来，然后
[40:26.080] 就俩人来了。
[40:27.510] 然后把车
[40:30.720] 咱们验车，咱们现车您从我们这走，基本上没这个可能性，因为你们7:30就得到那
[40:39.220] 我们7.8折都不开门。
[40:41.720] 验车去的早，因为验车的人多，
[40:46.410] 排队。
[40:47.300] 上次我买的东西我没去，
[40:51.170] 有可能有的店有这种，比如我们这儿也有代价服务，虽说我们收您2500了，但它是属于里头这个钱，他只是负责上牌的手续，这边的
[41:02.030] 有代驾业务在家业务可能就是要收费了，但您这边可以说是
[41:07.710] 也并非说您二位本人来就行，比如身边有朋友不忙不上班的，
[41:13.650] 您可以让他开着车来带着车主身份证过去都行。
[41:16.840] 这倒没事，您有事吗？
[41:19.910] 行。
[41:20.880] 咱预计是都医院出来，但验收我们后续可以往后给您延，比方您确定好哪天您没事的情况下，咱约那天也可以。
[41:30.820] 关键是今天你把车开回去就放。
[41:34.800] 个人给你建议是吧？说他走最好。
[41:38.380] 因为您这个车即使您不拍走车，开完发票搁到我们店里会出现任何的问题，我们店也没法办公承担。
[41:47.320] 又开会了。
[41:48.530] 拿把那车证双方那种。
[41:52.590] 先开始跟说一下，对你
[41:55.770] 今天听今天你要来不及就回头都行。
[41:59.480] 我今天就把这手续能给您办完，回头你方便就直接来许多。
[42:04.710] 你先办手续，然后再冲一下都可以。
[42:11.570] 的。
[42:14.190] 数据
[42:17.270] 数据
[42:18.520] 数据
[42:19.590] 的
[42:23.490] 先把。
[42:26.680] 晚上开到院。
[42:30.030] 张经理我有一个OA你帮我先聚一下，
[42:35.990] 我就忘了添加项目。
[42:43.620] 这个号段
[42:51.210] 到不行，
[42:52.560] 我下周一10月我们去给他。
[42:55.350] 要是没有那没办法了，
[42:57.890] 临牌也可以上路，
[43:01.010] 不干我还得去单位上给我换衣服。
[43:05.350] 对，你要是选择拍张好看。
[43:11.040] 对。信号绍兴。
[43:15.660] 下周还得看。
[43:20.830] 您今天是请的假还是？
[43:23.360] 休息？
[43:25.400] 我觉得我们也没那么严格，没能每天都。
[43:31.570] 但是下周
[43:34.130] 下周有事，每天晚上就走了。
[43:37.660] 你们晚上去。
[43:39.690] 我也没报社，晚上值夜班。
[43:46.740] 也挺辛苦的。
[43:56.930] 反正现在他们
[43:58.760] 用户
[44:00.430] 那个是肯定的，但是就到门口了不到的地方。
[44:06.650] 你自己去操作，
[44:15.160] 这样的
[44:22.830] 下周就都办完了。
[44:24.620] 一般
[44:28.910] 没问题，周一不是那个网站消息。
[44:35.320] 对吧？
[44:36.910] 然后我就周一晚上就一个。
[44:39.340] 周一以后干嘛？
[44:42.840] 完了
[44:43.640] 把风全做完了，上面那边不都是先把有一个车做到了。
[44:51.000] 我就说一下，
[44:55.250] 说我要用，
[45:01.840] 我说我先办。
[45:03.120] 下周你可以
[45:05.200] 你不要用。
[45:11.360] 这边的
[45:13.460] 好声音现场了。
[45:18.210] 就把那车
[45:20.630] 就算了，而且你要弄你得告诉你车牌号，你才能给你
[45:25.480] 才能做到。
[45:26.550] 你好。
[45:28.130] 今天电话
[45:29.960] 号。
[45:30.940] 今天就可以在网上买，杨总他知道这边车流了，今天就可以把号选了。
[45:37.310] 行行，那就可以跟物业说了。
[45:40.430] 可以换句。
[45:42.350] 看了。
[45:43.750] 反正明天咱俩都行。
[45:50.350] 电话当时其实
[46:41.930] 这车不会有什么问题。
[46:43.640] 要问题是不是就可以直接再找你。
[46:46.430] 您有问题您就找我就行了。
[46:48.980] 等一下了。
[46:50.240] 他们来了吗？
[46:55.080] 回头加我微信。
[46:56.680] 行，一会再见。
[46:59.070] 要把
[47:00.380] 给你
[47:01.480] 指标是吧？对你不要。
[47:05.420] 我微信上也可以，你有我微信吗？
[47:09.360] 加一件。
[47:10.650] 你转给我给打印出来。
[47:13.000] 你加一下我。
[47:19.870] 你们扫我吧。
[47:21.590] 而且就那天你跟我说他
[47:24.110] 什么安全方面旁边有个车过来，然后他能开始赌牌怎么样，你怎么过，再有主动式刹车辅助系统带测横向的政策的
[47:36.040] 表现，就是说别的车来了他就能，但他从得您说到状态，这个状态走这么过来它探测不到，
[47:45.250] 他只会看看广角的。
[47:47.840] 善行。
[47:49.070] 我知道是不是你说前夜前后进货进来一个红点吗？
[47:55.030] 并线幅度
[47:57.220] 安全配置比较多，有并线辅助主动去莎车服务，
[48:02.520] 然后比如说咱安全配置防爆胎，这都是安全的，
[48:06.880] 都告诉都跟你讲。
[48:20.450] 问一下。
[48:24.380] 为解答吗？
[48:31.130] 我就给他打了。
[48:37.250] 三。
[48:38.240] 你看一下。
[48:45.500] 为
[48:49.970] 这百分。
[48:55.520] 行，现在就走了，万一临时的谈着。
[48:58.410] 对，今天我就能办临牌了，那边手机发过去。
[49:01.740] 你看一眼。
[49:02.660] 我这正弄天弄。
[49:07.450] 在哪办，你说办就在我们这，不是说他现在不是现在演出R7421检测场，
[49:16.230] 回来不？
[49:18.700] 来了我都抽个见完了我就放手了，多着充完了。
[49:22.750] 我发给你看一下，张那叫什么路，我给你看一下。
[49:29.030] 我给您发一个位置，我的手机有位置。
[49:31.680] 为什么非得等着呢？
[49:33.470] 咱们验车现在不光咱一个店，
[49:37.220] 很多品牌
[49:38.830] 这检测厂就那么大。
[49:40.760] 那得多长时间？
[49:41.900] 咱去得早点回来的早，
[49:43.970] 你去得晚回去到11天了。
[49:47.290] 可是你本人去河北起来
[49:50.560] 的？
[49:51.900] 10。
[49:53.370] 谁知
[49:57.050] 不是在东海复杂的
[50:00.760] 那个就好。
[50:03.020] 我给先生发过去了。
[50:10.070] 叫什么路？他说什么小露珠？
[50:14.440] 不是，他是叫
[50:17.790] 凡杨
[50:19.410] 凡杨路五环边其实它
[50:23.020] 王心凌
[50:24.000] 花香五环边。
[50:26.760] 他不到花香在五环边。
[50:28.720] 梨花香还有学习。
[50:32.050] 哪里气温高？
[50:33.990] 中。
[50:45.340] 把指标拿
[50:49.740] 的
[51:26.170] 是这几。
[51:27.240] 对。
[51:28.560] 不是太。
[51:29.790] 谁知。
[51:34.720] 谁知
[51:36.420] 第一。
[51:38.600] 是吧？
[51:39.350] 那车优惠多少？4万呢？
[51:44.380] 现金是优惠了。
[51:48.500] 您这是443,000。
[51:53.280] 后面。
[52:04.160] 一样的。
[52:05.910] 了
[53:02.210] 我出现。
[53:05.330] 本土病例，
[53:06.410] 然后源头
[53:14.030] 明天是你的
[53:15.190] 白色线行吗？
[53:17.490] 对
[53:22.850] 那不是一次。
[53:25.470] 你当时姚一个尾数是一的。
[53:29.600] 可以的。
[53:32.840] 对返程航班。
[53:34.720] 观众朋友们，
[53:35.910] 我看丁一发养护里边
[53:41.320] 魔笔打不出来，我可不可以打一个SAP的衍生和财务信息表，那里头有，
[53:47.730] 然后后签字。
[53:49.740] 可以是吧？
[53:51.100] 行。
[53:53.810] 对吧？合同和毛姐不就行吗？
[54:08.880] 稍等会儿，在领导那审着，
[54:11.640] 他审完之后才能交钱。
[54:23.170] 宝石蓝
[54:45.470] 号
[55:45.000] 朱敏对吧？校园
[55:47.560] 咱们厂方指导价，咱们开票价现金优惠了43,000，定金交了1万，
[55:54.350] 咱钱的话就用这个钱加上咱们3万块钱2500，
[55:59.540] 收税的消费36,000，
[56:01.740] 保险刚才算了是14,700 14,627万，
[56:06.910] 咱养护礼包赠送有
[56:10.070] 夜夜D在这里头，
[56:13.340] 轿车里边就有。
[56:15.070] 那样东西一种。
[56:16.470] 四宫眼见。
[56:18.420] 然后于要和感悟。
[56:21.260] 咱装饰李芳有胃部的脂肪行车记录仪，后期将
[56:27.290] 大包围的脚垫，这是一个简单。
[56:30.460] 然后这分成半起来团队承办就是475,027块9毛2。
[56:35.950] 因为您交一订金。
[56:37.930] 就三套。
[56:40.090] 然后。
[56:41.760] 车主是您是蓝的。
[56:43.850] 三个。
[56:45.650] 正常的话不用。
[56:47.000] 签了，因为您这牵扯到养护礼包必须得。
[56:50.160] 要说。
[56:52.000] 这个号到那肯定。
[57:09.720] 等会儿就是我电脑打出来，系统没和过晚交不了钱，得等它系统合作，领导那批完了。
[57:22.490] 奔驰销量还挺高的，月这月其实也不太好。
[57:29.040] 这也不行，上几个月好像是。
[57:31.410] 就高端车好像跟11对。
[57:34.390] 前几个月还可以，这个月不知道怎么就一下生意就冷清了，没人了也。
[57:40.530] 现在想要换的多吗？
[57:42.710] 对，大部分都是换乇。
[57:44.800] 没有阳刚号。
[57:46.200] 摇号现在中签的概率太低了，耳朵，而且现在好多
[57:52.620] 中签了，都是家里有车的，不是就一台车的，真是。
[57:56.920] 她真是说想买车送他姥姥家，
[58:00.650] 身边好几个朋友都是
[58:02.560] 家里没说想弄山都动不了关键是。
[58:07.330] 挺尴尬的东西。
[58:17.650] 我带的。
[58:20.340] 他因为老开公车他也不买车，后来等
[58:24.220] 不让把公车开回家了以后，然后就网上买车，他一直到退休了，都没晚都会摇上号，
[58:32.110] 然后就特生气，因为他就特想开车出去玩是吧？因为没有司机
[58:37.790] 退了休，然后但现在还是。
[58:40.930] 干嘛了？现在摇号挺难的。
[58:56.930] 这票。
[59:01.750] 他这号确实挺扯的。
[59:03.680] 上面看过房子了，
[59:06.760] 主要是摇上的人太多了。
[59:08.990] 没有有很多人其实都没有做，对。
[59:12.170] 认识的好多人应该都没有。
[59:14.960] 不是，我像这种的话，我不知道还能再重新建议那种
[59:20.200] 就像幻听来的。
[59:22.230] oo出来你放开票人不就行吗？算了被告人对。
[59:27.710] 既然开票日期
[59:45.390] 数据。
[59:47.450] 的。
[59:48.820] I
[59:52.200] 两
[59:54.680] 的
[59:56.310] 的。
[60:05.710] 我看领导今儿开会，
[60:09.160] 您这车平时是您用是吧？也还是俩人都用，先讲说下次功能给你讲讲小
[60:15.910] 我那一块就行了，谁知
[60:19.320] 因为讲车其实她快讲车可能20分钟左右，因为我估计他们开会也得有10多分钟，咱们13 10小时左右干点别的。
[60:30.150] 对您身份证还有收据您给我，我一会开票什么的我得用，我先去印身份证。
[60:42.150] 然后小的收入给我，
[60:49.570] 原来
[60:53.360] 别的不要了。
[61:08.360] 郭靖
[61:12.380] 我应该是第一个，应该没有比我还早了。
[61:31.290] 哥你是有讲出吗？
[61:33.850] 先讲我OA，等半天没弄，你先想说。
[61:39.750] nano。
[61:42.280] 可以，他们出去都违约，是我说那个车只有他们出去为人。
[61:46.960] 来吧先交车子，我这
[61:49.880] 生教授。
[61:51.610] 拜拜。
[61:55.360] 坐着这边都过车。
[61:57.360] 你有。
[61:58.890] 什么打的没有，我们家没这。
[62:01.490] 小样的东西，对。
[62:03.460] 而且现在车不建议用掸子，因为胆子上面都是沙粒。
[62:07.680] 咱那个戚叫水溶性漆不？
[62:10.140] 现在要是车上有土有土的尽量。
[62:12.810] 也别去擦，怎么根本都不管，就过一阵习惯。
[62:17.200] 水溶性漆说实话就好看耐用，但他也比较娇气，
[62:22.280] 他焦急就在那杀了，你老长时间打的就是那个文了。
[62:26.230] 在处理不是特别了，拿可以。
[62:28.460] 别擦，脏了就拿水洗的最好的。
[62:31.760] 你猜相亲。
[62:32.640] 比如说这车都是水水的，然后就这么着我也不管。
[62:36.550] 那不用管。
[62:38.970] 洗车就行了。
[62:48.030] 我问你个题外的，就刚刚我们从那边。
[62:50.670] 烟开过来就基站没法调，
[62:53.310] 不得从前面那边。
[62:54.620] 5路居不能就。
[62:56.330] 四季青桥那叫或者您
[62:58.800] 您住哪儿就一人居的怀大街，你下回就从。
[63:03.720] 五合工那口说。
[63:06.570] 我的眼
[63:07.940] 太远了是吗？对，我们从叫定慧桥。
[63:12.480] 对，所以走辅路到这条路也还是走着瞧，反正自行调好走。
[63:21.710] 就是切非洲的那地方。
[63:24.440] 你就好像调头，
[63:26.260] 我们上班也天天都那样走，
[63:28.580] 发那路。
[63:29.790] 不对，调头
[63:31.810] 掉了就到不了。
[63:34.080] 目录君掉不了头。
[63:35.910] 50机怎么倒腾？只有四季青桥。
[63:48.850] 不是一直没给我。
[63:51.040] 怎么半天？
[63:53.100] 张旭尧都没贴。
[63:55.190] 谁知
