[00:00.240] 再见。
[08:20.160] 对，一般的建议咱们就搁在行程里看一些基础信息，
[08:24.040] 最大的变化就是档位在这儿了，
[08:27.060] 提示都在这着，不陌生标示，
[08:30.040] 方块白字母是您刚填岛外P达，这个案件真是P
[08:35.630] 灭车之前用了一下，其他时候用不着挂档的话，跟其他车一样必须踩刹车，
[08:40.660] 不睬挂不上档，
[08:42.660] 踩刹车往下，
[08:44.450] 党为跳转，
[08:45.910] 手刹解除，
[08:47.180] 雷达会在哪出现，或者这个屏幕前面放了一个锥筒，
[08:51.220] 随着咱们距离的接近，您看右边雷达
[08:54.630] 他就蹦出来，
[08:56.430] 颜色黄橙红您离得越近，这小格爷子越深，看到吗？红河亮警报响，现在离那
[09:04.240] 30公分了，宏原谅咱就不动车了，到达往上推到底。
[09:09.800] 候影出现
[09:11.860] 最下面那一小条黑色的是您的后杠，
[09:15.360] 这调。
[09:16.070] 红线是停在的临界点。
[09:18.390] 内侧。
[09:19.210] 二大宽限是轮胎压着大块夜走，您动方向盘他就赶紧往哪拐了，看到吗？
[09:24.140] 左右两个细黄线是车宽。
[09:27.650] 后雷达，一个是看着。
[09:29.230] 红格，一个是看红线，
[09:30.970] 后面现在是不是玻璃门？
[09:34.120] 咱们随着距离的接近，您看一下，
[09:36.830] 什么时候您就不能往后倒了？
[09:39.630] 红线上、玻璃门、红、格亮、
[09:45.230] 薄、
[09:46.120] 这杠了一大盘就。
[09:47.080] 这么样了。
[09:47.790] 您再到。
[09:48.610] 港就撞上了，这能理解吧？没问题。
[09:52.010] 这个车左右。
[09:53.000] 4个门的位置离近了都会有提示，
[09:55.880] 不光前后杠着一圈，哪一间都会有。
[09:58.500] 你要记住我们离旁边这数据干什么都会提示提示你要记住。
[10:04.670] 这车4周红歌一。
[10:06.350] 咱就不动车就可以了。
[10:08.090] 挺好车归档就是这跟腱
[10:12.180] 停号以后直接按一下，它就自动切到P挡了。
[10:15.760] 然后您就摘到了到了您按启动键灭车手刹
[10:21.410] 自己就上了，赛车离开就结束了，手刹他不用管，都是电子
[10:26.890] 损伤，它自动我开车他手刹不都是存了，对。
[10:34.110] 我也不那边有没有？
[10:36.300] 什么？
[10:40.150] 到了吧？
[10:42.500] 你在哪儿？
[10:49.830] 我知道我问问马上给打过去问一下。
[10:59.460] 这边。
[11:00.310] 控制，首先这跟腱是右边屏幕的开关，您用得打开，不用关了就可以了。
[11:07.190] 操作的话这三个案件还有中控板都是控制右边的小房子，小房子是现在主界面，
[11:15.870] 左右滑动，点击确定这是一样的，都是触屏控制。
[11:20.670] 这也是出庭，这个可以接电话，可以直接点您把您电话打开，设置蓝牙，我给你俩打电话，
[11:37.630] 就爱这儿连接设备，它就自动找您的蓝牙了。
[11:44.050] 找到以后点击确认，它会提示您的手机做配对。
[11:47.830] 要
[11:49.870] 然后点一个同意，一会儿。
[11:53.680] 统一是
[11:55.640] 你看电池电量移动信号这都是您的，
[12:00.840] 这里就是您的通讯录马上就导入了。
[12:04.080] 我给他打电话不用答，我告诉您这怎么用，您女士的电话在您手机里存的叫什么名字，
[12:12.220] 叫什么没存。
[12:15.840] 我这么举个例子，比如说您。
[12:17.840] 掉不那个人叫韩艳华。
[12:19.750] 你想给他打电话。
[12:20.750] 不管在任何界面这个案件
[12:22.860] 往上推开说话要什么往上推，听我的语音命令，首先上推。
[12:30.520] 呼叫。
[12:32.940] 请告诉想要拨打的号码或者联系人的名称。
[12:37.400] 安耀华、
[12:40.430] 正在呼叫安耀华的手机，他就直接糊涂了，我挂了
[12:46.110] 呼叫加名字他是。
[12:48.600] 掉话，本着小华名下就一个。
[12:50.200] Art就直接呼出了，如果是两个它就蹦出来了，您就点一个就糊涂了，就记住您电话本里的名字就行了。
[12:58.390] 后来店的话存过名也显示了自己开车这根箭网上。
[13:02.810] 一推就接了，往下是挂断，下车这个自动断开，这信息就清空，它不存在车上，其他人开车看不见的，
[13:10.930] 上车开着蓝牙他自己就不去了。
[13:14.390] 收音机调频都是存好的，左右滑动。
[13:17.870] 快速切换。
[13:19.160] 这也一样。
[13:19.980] 一样找您所有的喜欢的调频，喜欢的找到了想存点的小加号，
[13:25.190] 他就存进来了，清除、摁住、选项、删除这清空了，
[13:30.640] 或者用声控也行。
[13:33.610] FM. 
[13:34.500] M94.5，
[13:38.760] 他就切过来了。
[13:40.730] 音量、
[13:41.240] 上大下小这也是一样的，静音摁一下就可以。
[13:46.080] 再有的话。
[13:47.110] 就是这个声控还能干嘛？
[13:50.290] 比如说咱们现在空调调的是低温，
[13:53.280] 我想换一个空调的温度，
[13:55.420] 上推。
[13:56.980] 请将空调调整为二。
[13:59.030] 20度。
[14:01.000] 好的。
[14:01.900] 我把驾驶员侧温度调到20度，它就直接换过来了。
[14:06.510] 了都可以。
[14:08.780] 再有的话。
[14:09.810] 就是手机。
[14:11.430] 药丸蓝牙平常要是。
[14:12.460] 手机听歌的话选择媒体，
[14:14.900] 他会默认您的手机歌曲，用手机任何播放器放歌，他就直接转出了，这就是您的手机可能直接放就行了。
[14:23.860] 但是一定记住是在
[14:26.120] 媒体理财可以。
[14:28.830] 再有的话就是车辆。
[14:32.600] 这里功能是相对最多的。
[14:35.010] 辅助项里。
[14:36.320] 都是车辆的主动安全，默认开启，不做任何的关闭或变更，这里不要动。
[14:41.340] 车辆里都是一些小功能，比如说
[14:44.340] 安全带系的时候他会勒你一下有预警，包括咱们锁车的时候喇叭响声要提示，
[14:50.900] 车速1~15公里，中控4门它自动落的，
[14:55.690] 包括锁车镜子自动车回都给你设定好了，再有就是加油站提示都会有。
[15:01.840] 照明里。
[15:03.340] 锁车走的同时大灯照亮一会它自动熄灭，一般15秒就够用了，车内岩石也是开启对应的。
[15:11.880] 晚上停车
[15:13.540] 左右的两个镜子下边有对应的照地灯出现，
[15:17.380] 系统里咱们时间去核对一下。
[15:22.750] OK没问题，石区对表全自动都不用过。
[15:27.340] 这一行。
[15:29.110] 金属件全部是车的空调手动调整，
[15:32.420] 蓝红箭头左右温度往上是加往下减，
[15:37.170] 风向你吹什么位置，前锋挡正面脚下根据需求去选择。
[15:42.640] 风量最大，网上是7。
[15:45.780] 鸟官到头32。
[15:48.410] 一在关才能关掉，开的话都可以。
[15:52.320] 自动空调，您可以设定一个车里。
[15:54.480] 的合适的温度点亮凹凸见车内会一直保持温度。
[15:58.410] 雨雪天如果您起雾了，咱们前窗后窗除雾点亮就行了。
[16:03.620] 这个案件不亮灯左右是分区空调个人控制个人，
[16:08.190] 但是按量变成宠物状态，
[16:10.540] 一样。
[16:12.400] 现在外循环亮灯内循环这都一样，
[16:15.440] 制冷一定开AC才有这种状态，
[16:18.230] 出风口小竖线充不上，这都是触碰往左拧水平状态就nb了，
[16:24.230] 往左拧着干了。
[16:26.440] 角度的话。
[16:27.430] 咱们上下左右
[16:29.600] 自行调整的情况。
[16:31.630] N-A。
[16:32.840] AA一下还是空调，只不过变成触屏控制，直接在这点击就行了，内容是一致的，然后。
[16:41.790] 快捷键。
[16:42.580] 电话一键进入。
[16:44.440] 导航这个车没有，收音机和蓝牙音频是一个按一下是蓝牙音频，再按一下是收音机，
[16:51.340] 然后再有车辆，
[16:54.440] 小的一个收藏家，
[16:56.790] 重设顺序，它指的是图标，您可以自行去排列，它跟手机这个小程序是的。
[17:02.450] 根据需求去选择生产的，咱们是在
[17:05.410] 有事故警示后方启用。
[17:08.820] 养个委托这个不用。
[17:10.000] 关闭就行了。
[17:12.460] 是您车辆的驾驶模式，咱们对应的是蓝底的C能看到吗？上下选择
[17:18.460] 由低到高，分别是一节由
[17:21.560] 舒适
[17:22.730] 运动家这4个模式由低到高，每上一档车的功率都会相应放大，
[17:28.890] 越往上调这个车提速又快，动力越强，但是相对油耗也会
[17:33.560] 一般建议咱们用C舒适就够用了。
[17:37.400] 第二个雷达关闭。
[17:39.600] 我刚才演示雷达。
[17:40.880] 离近了一圈的黄志红小阁提示。
[17:44.060] N-N辆全车雷达都会关闭，一般不要去观察。
[17:48.920] 这个车同时也。
[17:50.030] 手动挡刚才教您挂档，
[17:52.230] 看着R币是自动想开手打，
[17:57.300] 放盘两边各有一个播片，
[17:59.640] 这下边按一下，它换一下M它都会变成手动状况。
[18:05.330] 这种情况下。
[18:06.450] 想换挡，驾驶员必须对光线行干预，左侧按一下
[18:11.240] 减挡，右侧按一下加到。
[18:14.960] 太下，不管您给多大油，不用拨片都不换档。
[18:18.360] 发现。
[18:19.180] 不对了，您得摁一下它，
[18:21.690] 切换成正常模式才可以，要不然就会出现什么，光给油不走车噪音也起来了。
[18:27.520] 因为是低档位。
[18:30.560] 自动启停之站车辆有吗？您？
[18:32.980] 发动机自动熄火那个功能我那个车没有。
[18:36.910] 每次启动的时候一着车这小灯。
[18:39.540] 自己开。
[18:41.780] 车一段时间以后。
[18:43.570] 车的水温油门进入工作状态，同时会出现什么情况？
[18:47.040] 这个车只要。
[18:48.230] 一停住不动了，禁止，比如说你等会你这一停车发你又灭火了，
[18:53.030] 目的是结构减排，但是你一走它就会自动打着，他本身是个结构装置，如果说
[18:58.200] 走这路不堵车，您就正常开，这可以，如果说走这路特别主频繁的起停，
[19:04.720] 走一点停走，那停你就代表发动机会启动列车启动面车太平凡并不好，咱们就把挂了对摁灭就关闭了，但是每次启动它都会开，不想用，只能每次启动每次手动的那些材料，这不让他关发动机了了，老款发动机也不好。
[19:23.190] 这个是防止侧滑的。
[19:25.320] 一st永远不要关，如果您关了看仪表盘。
[19:29.560] 有。
[19:30.350] 标识提示这是关闭状态。
[19:32.740] 停车都怎么样？
[19:35.370] 贴库倒库，
[19:37.320] 我们马上就这设备也自己停还行。
[19:42.460] 还行这。
[19:43.100] 是自动泊车，对它是。
[19:47.320] 能自己找车位，能。
[19:48.740] 自己停，但如果说您技术过硬，咱们就自己行，这个过程相对漫长，
[19:53.310] 而且它是机械助力他自己车辆打分，他说苍白和大哥不知你有律师是吧？
[20:00.620] 对。
[20:02.160] 时不时都姓是不是点着了，自动就甭管他了，别的你得先。
[20:08.480] 适用。
[20:09.050] 试一下行。
[20:10.380] 我可以看看。
[20:12.680] 过程是不是您想的那样。
[20:19.600] 那就简单。
[20:20.560] 都给代名词。
[20:24.590] 刚刚这个怎么用，首先看到了停车场自己先挂前进档，
[20:30.920] 挂完按摄像头。
[20:33.820] 提示前新茶找停车位，现在。
[20:36.330] 开始的。
[20:37.910] 正常的开车
[20:39.580] 找到车位他会。
[20:40.630] 自动提示您。
[20:44.000] 不管这车位在左边还是右边。
[20:46.110] 安是错峰还是垂直，您都不用管。
[20:50.190] 当然有障碍的话。
[20:52.860] 是最合适的。
[20:54.290] 看到吗？这是竖直的测方对吧？左侧的。
[20:58.760] 他只要找到了，它就会提示，比如说这儿有一个车位一定要。
[21:02.410] 过车位开到前面去，
[21:05.560] 他才会视频，你要是齐头它不识别看到了吗？
[21:10.000] 看到车位想停这。
[21:11.600] 车自己去刹停车辆停。
[21:13.190] 住以后。
[21:13.800] 他会问您选择并确认。
[21:15.600] 一个车位没得。
[21:16.700] 选直接你确定。
[21:19.570] 倒退。
[21:20.310] 只倒进去车头冲脉前禁止车头进车尾冲Y跑出倒退，
[21:26.010] 挂入倒档。
[21:27.620] 这时候。
[21:29.120] 自动泊车启动了，您现在需要做的就是交代刹车控制车速，其他的动物馆。
[21:36.490] 你说。
[21:39.200] 绿色的是他刹车。
[21:41.540] 俺
[21:42.730] 轮胎电压就没有了，短红线是他的有没有什么了少运动的防毒口罩了，有点后悔上游晚上
[21:52.290] 主要的里面相关吊在那里。
[21:58.030] 山东。
[22:01.090] 口罩，然后重新挂到然后再下。
[22:04.850] 好。
[22:06.810] 10块
[22:08.170] 都感动。
[22:23.930] 他要不挣他会在挂牵，你等再上再调一把。
[22:28.310] 这个过程您只要在。
[22:29.590] 车其他的全都是他自己调整，
[22:33.970] 然后再挂倒档在
[22:42.270] 自己在浮动的。
[22:43.730] 踩刹车是吧？对，你就带点刹车控制车速就行了，其他都不管。
[22:50.110] 平衡了以后。
[22:51.900] 这儿
[22:54.010] 他会真为P等现在需要做就按下启动键子隔离看就结束了。
[23:01.040] 册封垂直都是一样的。
[23:13.130] 发电机，
[23:14.360] 发电机较。
[23:17.560] 当然
[23:20.420] 求来了那就
[23:26.270] 他那个是个技巧，
[23:30.150] 因为那就是把我忘了，我说的是无价的还是多少。
[23:34.920] 好了，
[23:36.950] 私下都无效了。
[23:38.920] 上面的话都是灯光，您试一下阅读灯左侧有一个包括您这边有测试吗？
[23:46.620] 大概。
[23:47.680] 设定开门亮灯，只要开门灯光。
[23:49.930] 误解4门关好自动熄灭，
[23:52.930] 谁知后台照明都能开启。
[23:57.880] 这两个叫me。
[23:59.450] 我待会会给您用身份证实名认证，激活，激活以后这两个文件能干嘛，首先您一按它会接到奔驰的服务后台，
[24:06.850] 同时它是人工接电话的，
[24:09.160] 要是三年使用一个免费周期，
[24:11.550] 密标识，比如说
[24:13.510] 您想订机票酒店餐厅查询信息点，
[24:16.510] 出去玩旅程咨询服务，还有一个就是车如果抛锚走不了了，道路救援，
[24:21.800] 都是这一问题。
[24:23.360] 中间。
[24:24.240] 是紧急呼叫键，假设行车过程中遇有人员受伤，紧急情况，
[24:29.120] 暗红的除了连接后台，这个案件120是自动连接的，咱们尽量不去占用，我一会激活明天正式能启用了。
[24:36.670] 天窗遮阳帘，就这一个案件往后第一下先裁量。
[24:42.830] 跑高速，如果。
[24:43.910] 是您想换气咱得往上推。
[24:46.790] A撬起一个状态，往后推是平开的状态。
[24:51.200] 找到合适的位置，您按。
[24:53.030] 一下调整为大小，否则就开到最大。
[24:56.320] 你想反之往前关两下。
[24:59.560] 第一下相关甜圈。
[25:06.310] 就能放下，
[25:08.740] 再关一下。
[25:10.540] 这样眼光好，还是摸一圈坐在这个位置。
[25:14.610] 右侧侧面漂亮，远景是吧？
[25:18.010] 前后上下4个小凹槽，之前别撒手，
[25:22.570] 要窗户往外顶，上下前后调整套装都处理了，
[25:28.170] 其他也就。
[25:29.180] 什么了，看看您这边还有什么需求了解的，车内发现当时大家有下过邮箱，
[25:35.100] 放弃头在卖4块钱，
[25:40.350] 400的。
[25:42.310] 都其他的看看还有什么？
[25:44.960] 分区同步亮灯一样温度。
[25:47.390] 灭灯个人控制个人，
[25:52.030] 都是新人。
[26:00.580] 平时加入在那讲。
[26:02.480] 邮车里没有油箱盖开关，您就记住这个门是开着的前提下，油箱盖外边。
[26:07.320] 一下就弹开了，如果是这个状态油箱盖一块锁死，谏了加油站按一下开锁，
[26:13.640] 弹一下能打开，
[26:15.880] 他车内没有单独的邮箱开启开关。
[26:18.710] 都是好了，咱后来什么你给他说。
[26:22.080] 什么现在。
[26:24.240] 列车，您直接按下启动键就可以。
[26:32.400] 后备箱里有点东西，还有这要是有两板，我下车都给您试试，然后
[26:37.590] 什么他送的东西送我的东西散了，东西您没到那步了，
[26:42.790] 一会灭就给您行。
[26:45.640] 弄了。
[26:47.570] 来下车您说说外边。
[26:55.710] 不知道了，我要是首先要两把，我跟您说一下，这是锁止键按一下，
[27:02.330] 有声音转动量三下代表锁好，中间是开锁，
[27:07.070] 这是第二版锁车，
[27:10.210] 开锁，如果您那车门有一个门没锁时这种情况。
[27:14.360] 锁车看一下，
[27:15.960] 没有声音转更不量，明显区别要查一下车，他也其实锁上了，
[27:21.560] 这种情况也是锁上了，拉不开，但你没有锁时，
[27:24.810] 它没有声音。
[27:27.070] 后备箱对下面的按键长按独立开启，
[27:33.290] 随车的话您看一下，
[27:35.720] 这个车三脚架，原车自带在最下边没有备胎，
[27:40.080] 这里是您随车的东西，一个急救包里边是绷带、纱布、剪刀小意外临时应急的，
[27:46.990] 跟交警的反光背心似的，一个荧光救生衣，晚上有事故起到警示作用。
[27:51.660] 保养您在这边保养信息，
[27:54.590] 说明书
[27:58.120] 都在这，
[28:00.510] 最后的这说明书到了绝缘纸难觅会员的介绍，搞清都在这，
[28:05.700] 验车的括号跟照片。
[28:08.760] 这都待了，对，都有。
[28:12.480] 都是什么？
[28:18.990] 这还有一份三包，一会我填完了给您做个解释，应该再走，你车是北京用吗？对。
[28:25.030] 对。
[28:28.720] 你合格证都在里边，在这一会你点来安提供
[28:47.870] 我用一下岳。
[28:52.540] 作老妈
[28:56.540] 我手机在这充电充您做上，然后您的身份证原件给我。
[29:09.270] 不沉的是吧？不是。
[29:11.400] 使用人的使用的他有的是吧？对您或者您像都行。
[29:18.570] 好的，不是你吗？
[29:20.940] 您二位的您儿子不在，这个激活不了。
[29:24.320] 实名制的了。
[29:27.280] 真的就过来待你那个吗？
[29:30.300] 你妈担心就过来了。
[29:32.080] 反正就不忙了
[29:33.840] 了。
[29:36.550] 嘉嘉还得给您。
[29:39.070] 您不是军人是吧？北京市型号？
[29:43.600] 哪里？
[29:45.420] 激活了以后别人都能使医院也不少了，只要激活任何人开都能提供服务。
[29:57.840] 他不在这还不能接受。
[29:59.600] 对，他因为要人和深圳的合影才能激活还是实名的，那年是免费的。
[30:05.790] 我刚才跟您说了三年免费。
[30:11.360] 还早上我都一年
[30:13.850] 7点。
[30:15.380] 三天没厚衣服受不了了，对后期会资费，但是后台会主动联系，您可以选择不用。
[30:22.300] 不用的话中间SOS还是给您保留的。
[30:27.560] 柔软。
[30:28.620] 762
[30:42.040] 这字谁签的？
[30:49.520] 一会儿
[30:50.760] 都签这个名。
[31:06.770] 使用还得写。
[31:09.060] 还得不是没事，一会所有签字都签。
[31:14.150] 连这帮
[31:15.480] 相信这个就行。
[31:19.440] 留个您电话。
[31:21.240] 137您说1818您说。
[31:24.620] 1237。
[31:27.140] 手机您拿着是吗？拿的您看您手机马上会给您发一个短信，里边有一个6位数字收到你告诉我。
[31:34.910] 你请过来帮我，谁知
[31:43.960] 接受
[31:45.040] 年版。
[31:46.530] 您看电话。
[32:00.430] 750。
[32:02.660] 好勒。
[32:35.640] 这两天
[32:44.570] 看他
[32:46.100] 不就拖车什么的也是免费吗？
[32:50.200] 您说什么我没听清，说什么叫救援车？
[32:54.750] 车里那个是免费的，三年
[32:58.030] 一个等号的，大家应该接着检查，人家给送反过来理解。
[33:04.440] 电线，我说我们6平方公里又删了，大家soso发过来，
[33:09.390] 视频都快流，听完驾照那就杀掉了，等会梦以后回来了，
[33:14.420] 弄点就开始，然后
[33:17.090] 有的还带有点傻了，
[33:18.720] 有密码可能又上去了，
[33:22.830] 冒后面下去。
[33:26.090] 你们谁回松一点是吧？
[33:40.740] 你给人说话的，
[33:43.410] 为什么点？
[33:44.860] 换了。
[33:49.710] 电脑不是你们到那边不知道。
[33:53.120] 先把所有yy手机。
[34:27.950] 西瓜你今天过来吗？
[34:30.720] 越来越
[34:32.820] Y就是一点用观察，谁知
[34:38.480] 这车回头您二位开的时候，
[34:41.150] 新车刚开始一定稍微注点意，车速不超120，这度不能高，3000钱1500公里，
[34:48.770] 尽量平稳驾驶，找急加速急刹车，出了1500公里以后您正常开就行了。
[34:55.320] 邮的话95号的
[34:57.790] 不能低于95。
[35:00.820] 别超过120，对，车速不超120。
[35:03.700] 对，车速不能超3000，您不开手档就没事。
[35:07.600] 自动挡不会。
[35:11.760] 尽量咱们刚开始让车适应安全。
[35:15.540] 对除了你不懂职工，你控制屏路军队匀速行驶的，
[35:20.560] 就不能对吧？挂到不用P直接往上往下去，对挂倒了就是停车列车之前要归到P挡，
[35:27.640] 我当时查手册是勾搭那啥了，
[35:32.430] 停车的时候看一下，对侧面按键归到P档直接灭车就等了，手刹都是电子现在。
[35:40.600] 来身份证您这样打的，
[35:43.040] 拍个照片口罩您临时摘一下，不要挡着身份证号。
[35:47.880] 小小等也没啥了，我
[35:49.900] 到后来走了没事儿。
[35:52.640] 您先弄。
[35:54.170] 等于这车您要是给她孩子也开是吗？
[35:57.310] 对。
[36:00.150] 这车还给我送两次保养。
[36:04.140] 屋里到处乱逛，从西方上街的这些了。
[36:08.730] 没事聊聊。
[36:10.620] 这个玷污了给他弄胡桃下，
[36:14.390] 就平方根社评房子给弄电加油平方，电缆夹杂就可能有0了，加加了6个借口，
[36:23.960] 我们包括老板咱都丢了丫，
[36:27.770] 包括不能包在才来火，咱们扣了。
[36:39.500] 您那车是4月28号征收，
[36:43.690] 咱们今天开票是7月3号。
[36:56.960] 来我给您拍照片。
[36:58.840] 是不是这样？对，身份证没有打这号不要动行吗？
[37:05.290] 身份证你手，好我这就用完了。
[37:09.520] 待会您的手机会收到实名认证通过的短信，他会提示这台车534414完成实名认证，
[37:17.040] 然后您用的什么手机？
[37:20.310] 安卓苹果。
[37:22.630] 您打开微信扫一个码，把
[37:25.680] 对应的软件装一下，
[37:27.600] 后期的话明天您手机上的软件能看到这个车所有对应的数据信息，比如说
[37:34.080] 您这车跑多少公里，剩多少油，玻璃水是否缺失，什么时候保养，纹窗是否关好，
[37:39.470] 包括车停在什么位置，手机都能看见，
[37:44.220] 包括网您安装一下软件，
[37:58.210] 微信对微信扫一扫。
[38:05.310] 谁？
[38:09.070] 下载安装然后
[38:16.910] 的
[38:17.960] 都是点下载点右边，
[38:22.160] 然后通过浏览器下载看看浏览器，打开百度，
[38:33.370] 直接下载安装，
[38:39.400] 用
[38:40.710] 流通。
[38:49.310] 一会下完安装就行。
[38:51.440] 如果通过手机
[38:53.100] 苹果手机应用商店里边就直接能签，
[38:55.560] 实际上它有途径
