[00:00.700] 2020年7月19号，张国良客户下小陈教授录音。
[09:41.130] 这一圈离近了都会有，雷达提出一圈都有，不光是向后-360度对。
[09:47.880] 停好车您需要做的一下P档，
[09:51.480] 然后直接灭车就可以了。
[09:54.080] 首山他会自动。
[09:56.520] 这就结束了。
[10:00.050] 对。
[10:02.640] 右边这大屏幕开关，首先是右边第二个案件，R您按一下断电按一下打开我就不关了，N操作这个屏幕，首先这三个门店以及触控板都是控制右侧的。
[10:15.400] 小房子和小房子。
[10:17.290] 现在店面。
[10:18.880] 这二左右滑动点击确定这也一样。
[10:22.870] 同时又变成出庭了。
[10:25.780] 来个电话给您连上，先生您把您电话拿出来，甚至开个蓝牙
[10:30.460] 都可以。
[10:31.840] 多部电话都可以。
[10:35.330] 设置您开个蓝牙。
[10:37.430] 蓝牙好。
[10:38.950] 没事我告诉你一下。
[10:40.690] 我鲜花、
[10:41.860] 蓝牙、
[10:44.000] 您看您蓝牙就叫您的名字的F这个是触屏。
[10:47.550] 咱们看一下。
[10:49.000] 点击
[10:50.420] 连接设备。
[10:51.870] 他就开始找您了，看到吗？找到以后再点确认。
[10:55.520] 它会提示您的手机做一个配对。
[10:57.920] 然后点允许，
[11:00.550] 稍后。
[11:02.750] 电池电量移动信号都是您手机的忽略。
[11:06.450] 这里通讯录就是您手机所有的通讯录马上就导入了。
[11:11.920] 来电一波的同时，屏幕手机都显示自己开车。
[11:16.630] 上推接听，下推挂断。
[11:19.690] 女士在您手机存他叫什么？
[11:22.780] 没有存没存我没事，我想给您演示一下，这个车是有声控系统的，以后打电话怎么打，首先连蓝牙，
[11:32.480] 比如说您手机有一个名字叫白姓，您想打电话怎么来操作，不管他在什么界面。
[11:38.330] 按。
[11:39.010] 这个案件往上推一个说话的标识，
[11:41.980] 听一下我语音命令，首先上推，
[11:45.100] 你让他打给我就行。
[11:47.770] 呼叫。
[11:50.080] 请告诉想要拨打的号码或者联系人的名称由来。
[11:55.500] 我先给您做演示好吧？
[11:57.540] 白净。
[12:00.200] 请重复白净，
[12:03.830] 正在呼叫白静的手机直接回了，
[12:07.450] 我挂了没让他接通。
[12:10.080] 上推嘟一声，您说呼叫他就问您名字和电话号码，您直接说就直接护住了，
[12:15.410] 就不用再去找了，没错，您那个连吗？
[12:19.280] 我连设置您开个玩笑，我给你训练一下。
[12:24.480] 是的。
[12:28.120] 您这叫您名字的这儿一样连接新设备。
[12:32.300] 他会再找。
[12:37.570] 这个是您的选中。
[12:39.530] 它也会提示您手机做配对。
[12:42.010] 频频对。
[12:45.040] 明确OK
[12:47.800] 两位。
[12:49.500] 都在车上，我就选第一个，他是同时蓝牙都连了，打谁的电话都可以直接车载，如果您二位就一个人上车了，
[12:56.960] 他就默认的是哪一个，如果两个人都上去都默认了。
[13:03.720] 您不用管我待会对给您下软件。
[13:06.520] 这是电话导航，原车也是自带的，使用的话也比以前省事。
[13:11.990] 直接还是上推这个声控功能很强大。
[13:15.230] 大您听我说。
[13:19.260] 导航。
[13:21.610] 请告诉我您想输入的目的地金融街，
[13:28.600] 请选择一条记录，记录着您自己的需求计算路径。
[13:34.270] 但是有个问题就是说他这个行是不是因为肯定是要变化的，多少资源更新的话也不跟您一是的，您那一最早都是小导航卡。
[13:46.260] 要来电有费用。
[13:47.890] 现在都是车载互联网冲击，到时候差会有提示，直接更新就可以了。
[13:52.230] 对咱们。
[13:53.650] 不用说我。
[13:55.240] 玩电脑用。
[13:56.410] 在店里头在什么用夹包，有的不需要的，没错。
[14:01.190] 收音机所有的调频首先都是存好的，直接左右滑动快速切换，
[14:06.780] 当前能搜着的他全能找到，
[14:09.530] 喜欢找到自己的需求波段想存储，
[14:13.040] 选择小加号直接点一下就进来了。
[14:15.760] 清除暗助。
[14:17.040] 祝选项删除，
[14:19.300] 或者说咱们
[14:20.690] 怕麻烦找开车工作不方便上推。
[14:24.160] 三口之家。
[14:25.200] 对FM94.5，
[14:31.200] 就可以了，音量上大下小，
[14:34.880] 这也是一致的。
[14:38.580] 方便附加控制静音，咱们就按一下按键。
[14:42.460] 往下按。
[14:43.780] 对，暂时出现经营标识。
[14:46.840] 再有的话
[14:48.330] 练完您手机。
[14:50.490] 咱们想听手机的歌曲就选择媒体。
[14:53.470] 对，它默认看看您用听谁的手机。
[14:57.660] 比如说听您的。
[14:59.560] 权重应用手机任何播放器放歌都可以转出就可以了。
[15:04.060] 听U盘就选择USB。
[15:06.720] 再有什么茶馆。
[15:08.940] 由朋友代入感就放到乡里。
[15:10.760] 我待会儿没有关卡，对没有光盘了，cd类的没有。
[15:14.980] 我跟您再说一下这个身后。
[15:16.720] 还能干嘛？刚才演示了电话、导航、收音机，
[15:20.570] 包括空调的设定，现在是不是低温？
[15:26.760] 请将空调调整为20度，
[15:30.750] 好的。
[15:32.500] 我把驾驶员侧温度调到20度，
[15:35.910] 你看他会直接切过来，
[15:38.010] 包括氛围灯，
[15:40.150] 颜色，
[15:45.110] 请将环境氛围灯调整为绿色，
[15:51.240] 好的。
[15:52.240] 我来改变氛围照明颜色，
[15:54.880] 或者还有哪几种颜色，绿红64种，我待会让您看。
[15:59.940] 包括加热应该也可以
[16:04.350] 开启座椅加热
[16:06.760] 的。
[16:07.740] 好的。
[16:08.740] 我来打开座椅加热都没问题，这个声控而且它是黏度非常高，
[16:14.560] 你打开座椅加热，你要说我要关上也在跟他再说，应该是可以。
[16:20.220] 车辆里是咱们这个车现在功能选项最多的。
[16:24.080] 辅助象里这里都是这台车的主动硬件安全默认开启就不做任何的关闭变更了。
[16:30.470] 车辆里对应的有一些小功能，比如说
[16:34.780] 轮胎不用管，因为不是街坊地带不放松一胎，然后再就是方便出入三种状态。
[16:40.500] 第一种方向盘高位下车自动会做自己后撤。
[16:44.120] 第二种只是方向盘溃缩或者什么都不。
[16:47.920] 这个根据需求去调整。
[16:50.550] 开车人多，就第一个如果自己开无所谓了这样一个状态。
[16:56.030] 安全带系的时候有预警，这都是一致的。
[16:59.600] 锁车喇叭显示上提示。
[17:03.220] 车速1~15公里中控自动死。
[17:06.550] 还有就是锁车镜子自动收回。
[17:09.930] 包括加油站提示都会有。
[17:12.320] 照明里第一项就是所谓登刚才咱们语音演示了一下，实际上这个颜色是64。
[17:18.770] 喜欢哪个是您点他又换了。
[17:21.550] 对。
[17:22.380] 根据需求去调整就行了。
[17:24.490] 这亮度只是氛围灯的明暗。
[17:27.180] 乱越往上越亮，晚上其实有一半足够了，晚上就很亮
[17:32.320] 了，再有。
[17:34.850] 锁车走的同时，大灯照亮一会儿自动熄灭，建议15秒。
[17:39.630] 够用了。
[17:41.200] 车内言是指对应的，还有就是咱们晚上停车，
[17:45.350] 左右镜子下面会有对应的召集中出现，
[17:47.960] 这都给您开启了。
[17:49.410] 系统里的话咱们时间去核对一下。
[17:55.900] 时期对表全自动的您都不管。
[18:00.930] 再说一下这一行金属件全是这台车空调的手动调整，
[18:06.450] 首先左右的蓝红箭头是温度左和右，
[18:10.010] 往上是加，往下是减小。
[18:12.310] 对根据需求去调整就行。
[18:14.760] 第二个是
[18:16.430] 您吹什么位置，钱放到正面脚下咱们自己去切换，这是您右侧的也是一样。
[18:21.880] 对。
[18:23.050] 这个是风量，咱们网上。
[18:25.740] 最大是7冠，第三个键关到头。
[18:30.800] 开都可以。
[18:32.820] 自动空调。
[18:34.250] 您设定一个车里的合适温度，点亮这个凹透镜才能一直保持。
[18:38.420] 雨雪天起雾的话，
[18:40.560] 前窗后窗除点亮这两个间就可以了，制冷咱必须踮量AC，否则没有这种状态。
[18:47.350] 现在是外循环亮灯，内循环雾霾扬尘这种开空调，咱们建议那个状态，
[18:53.770] 出风口小竖线冲上都是开启您往左你。
[18:58.260] 水平状态就关闭。
[19:00.600] 对前排5个，包括您这个都是一样，网上。
[19:05.200] 对。
[19:08.410] 这个案件是空调的触屏控制摁一下还是这些功能，您在直接做点滴就行了。
[19:15.280] 了，这个是分区同步空调。
[19:17.860] 不亮灯的状态，左边右边是个人控制个人温度，但是我按亮。
[19:22.760] 它就变成同步了，就差这一个，其他都是一致的。
[19:28.000] 这些全是快捷，电话一键进入，包括这个是导航，
[19:34.290] 收音机和蓝牙音频是一个，现在是蓝音频，再按一下是收音机，
[19:40.390] 这个是刚才接触过的车辆。
[19:43.510] 小五星是一个想到收藏家。
[19:46.580] 图标，根据您的喜好可以重新排整排列顺序，
[19:51.330] 就跟您手机这个小程序小放在哪都行，他可以自己去调整，对，您可以新建起名字都可以，
[19:58.640] 就根据自己的习惯去调整就行。
[20:01.550] 双闪在这个位置，
[20:04.080] 这个是刚才您说过的驾驶模式。
[20:07.570] 动力的选择一共有5种，首先按键上下选择对应的是这儿的一个蓝底的C字母
[20:14.390] 上下选由低到高，分别是节油一状态，
[20:18.430] C舒适状态、S1运动状态和运动。
[20:22.320] 这4个模式由低往高涨，每上一档功率都比之前放大，音乐网上这车提速越快，动力越强，
[20:29.820] 但是油耗相对高一些。
[20:31.600] 对，一般的话一般正常
[20:34.760] 本身咱这300就是2.0高功版。
[20:38.040] 第二个雷达关闭，我刚才离近了，演示一圈儿红城湖小格。
[20:42.300] 第二个键点亮，全车雷达关没有任何提示，
[20:46.580] 洗车机的时候您可能会用到，其他时候都开着就行。
[20:50.470] 手动。
[20:52.020] 什么时候关掉？洗车的时候关注上洗车机，自动洗车机它不是一进来一直听理想，您就关一下。
[20:59.680] 手动挡是一样的，
[21:01.560] 刚才交警挂挡D状态自动开手挡，按M或者是放两边的拨片，
[21:07.760] 他就切换成手动状态，这时候换挡右侧按一下加左侧一下简，否则就不换挡了。
[21:15.280] 对您的意义是一样的，对。
[21:18.300] 这有必要吗？
[21:19.600] 基本上一点都用不上，打破了爬坡，看您什么状态比较陡的坡那就有可能用到，因为你正常自动挡的扭距相对会小，比如说
[21:30.700] 自动挡车，您看咱们进不了2000转左右换挡了，对，如果说您付了中了，
[21:35.870] 坡度比较大，你看乃菁状扭曲就不够，对吧？这时候切入手动挡，
[21:40.440] 您给多大油转速它就是多大的凝聚出相对于输出，他不会说到两天就切换了。
[21:47.690] 对。
[21:48.880] 用不惯，
[21:50.010] 或者说发现这状态不对，按一下M正常模式就可以了。
[21:54.880] 自动启停这是一样的，发动机自动熄火，默认开启，基本北京用不上，直接关闭就行了。
[22:02.250] ESP永远不要关车辆出现甩尾侧滑状态的时候，这个系统会自动启动，同时纠正减少事故发生，
[22:10.270] 默认开启，如果您关闭了，
[22:12.840] 这会出现对应的橙色标志，尤其是雨雪天更重要，
[22:17.580] 所以一定不要关机。
[22:19.570] 您刚才说这里
[22:23.080] 手机充电变了，说一下。
[22:25.700] 新的车型现在都是tp C的转接口，
[22:29.280] 不是USB，口回头二位咱们得在淘宝买一个tbc的转换头，跟咱们手机数据线对接才能充电，
[22:36.440] 就差这一个十十十几块钱了，
[22:39.440] 买一根就行。
[22:41.720] 上边
[22:43.300] 都是一样的。
[22:44.600] 这一行灯光阅读灯左侧
[22:47.880] 对应的您右侧，
[22:49.760] 这儿给您设了一个开门亮灯，晚上比较有用，
[22:53.870] 关好自动熄灭，
[22:55.480] 包括咱们车辆的前排照明，
[22:58.390] 这个是您后排的，
[23:01.120] 后边您每一个都能独立控制。
[23:04.720] 这两个是刚才介绍了叫me，
[23:08.170] 这车里有一个内置好的电话卡，跟您这手机没关系，
[23:13.090] 我待会会给您实名认证激活，激活以后这两个文件能干嘛？
[23:17.120] 首先您的话
[23:18.510] 它是由人工语音接电话的，同时
[23:21.680] 是三年的一个免费使用周期。
[23:24.200] 右边的me标识，比如说您想订机票酒店餐厅，
[23:28.640] 查询兴趣点，或者说出去玩旅程咨询服务，包括这车如果抛锚了，道路救援，
[23:35.350] 都是又跟着一个案件
[23:37.150] 一样就有人接电话了。
[23:39.160] 中间这个是紧急呼叫，
[23:41.660] 假设行车过程中遇到有人员受伤，紧急情况，
[23:45.690] 这红的除了连接后台，120都是自动连接的，尽量不去占用，
[23:50.270] 三年免费
[23:52.760] 天窗遮阳帘一样，就这一个案件先第一下是打开张脸，往后。
[23:58.420] 跑高速，如果说您想换气，咱就往上推对吧？
[24:01.790] 俏一小缝。
[24:03.300] 第二下再往后还是平台状态，找到合适的角度，
[24:07.720] 调整空间，否则开到最大状态。
[24:11.650] 反之咱们就往前刮两下。
[24:15.200] 第一下相关天穿
[24:24.350] 赛冠这样点关闭。
[24:26.870] 对，这个本身就是电子房项目后后面玻璃不动打不开。
[24:34.160] 这个本身就是电子防锈膜环境，您就调一个后补脑室角就行了，晚上用光他也不刺眼。
[24:39.880] 座椅的位置
[24:41.850] 侧面您摸一下右边。
[24:43.800] 往前一点的圆钮，
[24:49.720] 前后上下4个小凹槽，按住钱别撒手，
[24:55.440] 要拖在往外顶，对腰部支撑对吧？跑长途会对。
[25:01.850] 对我也一样。
[25:06.020] 对您跑长途这个肯定特别有用，就不用垫了。
[25:10.850] 其他的也就没什么了，车里。
[25:13.630] 看看您这边还有哪些需求了解，要是没有就下车说说外边钥匙使用注意事项，还有后备箱的东西做的清点。
[25:21.370] 行。
[25:22.570] 灭说一下就行，不是那
[25:24.940] 那个小伙子问你一下，你这个座椅好像是还有什么？你前半截儿怎么还能出去，对暑假上那个地方。
[25:34.770] 多了一块可能。
[25:36.580] 它可以前后延长座椅，副驾就在这手抠提起来，抠起来往前一放就行了。
[25:44.190] 越长肯定支撑越好，就跟沙发似的，越长您越舒服相对。
[25:49.320] 对副驾驶手动，然后他可以躺下，就跟其他的车都一样，对一直
[25:55.340] 他靠背调整是后排座椅是没有，后台没有是吧？后排就是这样。
[26:01.640] 它多了一个是这两个文件，
[26:04.260] 前后可以用后这个位置可以推座椅前后可以去调整。
[26:11.670] 然后现在这个位置已经是
[26:14.410] 最归档的位置，靠背已经是最贵档的位置。
[26:18.310] 他不能动，对这个不能动，但是可以倒下，没错。
[26:23.010] 待会下车给你演示，能把这儿排放到
[26:26.370] 再来下车。
[26:30.130] 这个是这个知道。
[26:32.840] 哪个？
[26:34.880] 您别。
[26:36.440] 对推进就行，不要往外搬，那是儿童座椅的安全卡扣。
[26:40.400] 还说现在儿童座椅都是对插式的，您直接拿过来作为网上。
[26:45.690] 一对，后边您在记上就行了。
[26:48.230] 这边打过去，对那4个都是。
[26:51.480] 对差感受，今儿网上一对就行了。
[26:58.000] 然后说一下这个车，首先
[27:00.650] 4个门和后备箱都锁好了，钥匙所说的话上面建了一下。
[27:06.360] 如果。
[27:07.460] 声音转灯亮三下代表锁。好，如果车门有一个
[27:12.350] 虚着没锁时，这时候所说
[27:16.310] 没有声音的灯不亮，但它也死了，只是没错。
[27:20.640] 油箱盖
[27:22.000] 他所的前提下，N一下会打开。
[27:25.840] 由95号锁车以后，
[27:29.400] 他就完全。
[27:30.800] 了。
[27:31.530] 动不了了。
[27:32.210] 这个是长按独立开后备箱，这个车因为它有无钥匙，进入以后这要什么就装在身上，包里带着不用拿出来，
[27:42.520] 锁车是个门把手坐一等层，
[27:45.570] 摁一下就锁止。
[27:46.960] 对吧？
[27:49.270] 派出所这要是一进手往中间一个看着锁头，
[27:52.400] 自然就开了。
[27:54.210] 我要是跟哪个人在一起，那个人才有这个功能是吧？对，我在这在那边拉不开门。
[28:01.760] 距离就是这么近，所就按一下。
[28:05.120] 开往那儿一坐就行了。
[28:06.960] 他这个声音就这么大，对。
[28:09.160] 对。
[28:10.200] 屋里
[28:10.660] 有点回音，下面对
[28:13.180] 后备箱长的就独立开了。
[28:17.500] 单开户行4个门不动，
[28:20.060] 同时的话您这个车也有感应式后备箱一样，前提要是在
[28:25.930] 应该在差不多这个位置，咱们做一个前后的积水。
[28:29.880] 可以关注了。
[28:31.440] 前提也是要在这儿，您要什么型？
[28:35.340] 您记住大王这个。
[28:37.920] 记一下型号。
[28:41.240] 要明白前提它必须达到必须要没有，要是随机抽了，
[28:47.310] 对吧？
[28:49.330] 后备箱里首先三脚架在下边没有被开，对，您刚才说后排座椅放哪了？在？
[28:56.560] 在家怎么收？回去。
[29:00.680] 打开支付来就行，所有三甲都一样。
[29:05.330] 这两个是您刚才说的后排座椅放的这个案件是右边这一个座椅，左边的按键是左边的，两个它是46折叠的，
[29:14.070] 用的话咱把头枕卡扣推进去，先把头枕收下来，
[29:18.000] 您在一震就放行了，
[29:20.220] 拉大进纵深就走了。
[29:23.130] 楚玲用拉手网上一挂拉东西，观众特别将看不到了。
[29:30.520] 如果说这个也放到拉大件纵深比较高，得把它对它是活的，它有尖三角小箭头，
[29:38.600] 顶住网上一拿就拿掉了，看到了吗？就直接能解下来是活的，
[29:44.590] 但是起来那就是手动了，
[29:47.250] 他不能说漏一下，它不是电脑。
[29:50.200] 这里就是您随车的一些东西，
[29:53.680] 类似交警的反光背心，荧光及救生衣，
[29:56.850] 车的说明书到了救援指南，颐和园的介绍都在这里，
[30:01.140] 保养咱们在这边
[30:03.080] 发个信息，
[30:05.440] 这个是一个急救包、绷带、纱布、剪刀、小意外临时应急用的。
[30:11.270] 除此之外，
[30:13.540] 三包我填一下原件一会你拿走。
[30:19.820] 后备箱
[30:21.250] 这两个文件
[30:22.880] 功能也不一样，右边您按它是连冠后箱在锁车。
[30:27.650] 车。
[30:28.980] 左边人家如果4门是开着锁的情况下，你看它直观用户所。
[30:33.630] 是后面的门。
[30:35.140] 对。
[30:36.400] 如果说4个门是落锁的状态下，我单开了1个玻璃箱，
[30:40.080] 您再按它也是连冠带所关注的东西也会所行。
[30:43.950] 尾门的高度同时也能设定现在是特别最高的位置，女士开车或者用其他的车速肯定开不了这么高，
[30:51.990] 按左侧先下调合适位置。
[30:55.550] 二和是N瓶。
[30:56.710] 停住。
[30:57.460] 长按左边那段时间听听
[31:01.260] 一生记忆在这儿，下午一开就是这个高度想复原两。
[31:06.440] 车。
[31:09.610] 下回就回到这方，为了北门高速您可以到时候自动去设定。
[31:18.320] 您好，高老师没有。
[31:20.960] 吗？那个不是您说。
[31:23.900] 他后视镜有一个小三角，这个是盲点。
[31:31.530] 是这个吗？
[31:33.300] 对，告诉您什么意思，您正常坐在驾驶员位置调好了一个视角，
[31:39.170] 正常怎么定性？
[31:41.340] 后方如果车辆出现在小镜子范围内，正常的距离正常订就行了。
[31:48.170] 出现在大镜子里面，它就是有安全隐患。
[31:52.860] 当您侧后方有车辆的时候，小三角它会变成红色。
[31:56.070] 红色进行提示。
[31:57.740] 试着帮您定。
[31:58.990] 小三角如果适量，
[32:00.400] 你要注意的在我做好车辆三点注点意，
[32:04.190] 就代表两颗都一样，要不要放松警惕，是您有车辆，
[32:10.060] 其他的都是一样。
[32:12.110] OK。
[32:13.300] 没问题，行，咱不能进宫去激活那个功能，我待会给您手机下载软件，
[32:19.670] 那两个案件今天激活，明天就能用了，手机上下一个软件，这个车一会就跟到您的账户名下了。
[32:28.250] 了这个车刚才咱们看到这车
[32:30.600] 车里跑了多少公里，剩多少油，什么时候保养，轮胎修补缺气，门窗走没走好，
[32:37.030] 包括这车停哪了，您的手机上全都开。
[32:42.000] 95的油，然后有一些去加油的时候，他们告诉你要加瓶子精油。
[32:49.040] 那个是小的燃油添加剂或者是叫快乐跑的东西。
[32:53.340] 北京加油95号什么都不需要。
[32:58.380] 如果说您去外地有些油品不好的小油站，或者说这个油就是乙醇汽油，
[33:04.870] 或者说没有95投，只有92的你要开车走，这时候一箱油对那一罐就够用。
[33:11.710] 我们。
[33:13.070] 到时候
[33:20.130] 只要我去我有挺不好的地方，你还可能会添加北京咱们正常加咱们北京公交多高，没必要。
[33:26.920] 你正常加油就OK。
[33:28.970] 来。
[33:32.980] 您还能坐着。
[33:34.400] 坐着不会有点可以吗？
[33:39.420] 而且
[33:41.090] 您老开奥迪可能相对机油费的，咱们这个车是绝对不会这种状态是吧？
[33:49.010] 而且咱们保养周期也长，一年或1万公里才保一次。
[33:54.470] 呵呵。
[33:55.970] 您喝点什么？
[33:57.480] 茶水饮料我给您要。
[34:00.610] 喝茶喝绿茶绿茶，您阿姨您呢？
[34:04.790] 就买点什么？
