[00:00.340] 七夕打仗了叫什么要。
[04:52.160] 对这比香槟肾对有点签卡是吧？对。
[04:56.690] 对吗？的咖啡色的都是。
[04:59.590] 这是
[05:00.700] 近看也不是太
[05:04.610] 这比蓝可差远。
[05:07.200] 你要是拦的话就只能运动有。
[05:11.130] 这不好看。
[05:14.350] 那立马就也不是那个来也就年轻。
[05:18.540] 咱们就辛苦了，我觉得这像那种大一点的轿车其实很少怎么不看，我不喜欢黑色，不喜欢黑色会比较脏，你知道吗？这奥迪就没有别的。
[05:29.310] 黑的是吧？
[05:30.180] 黑的这不他说过。
[05:31.720] 不像A6本身之前观光用车多一些，对，所以他们就主打这一方面。
[05:39.430] 他因为这差已经处理装了，完了你
[05:42.880] 你在什么说是露白的讲的
[05:46.840] 更大更好看。
[05:48.320] 怎么跟你说你们都一样，哪一条你看卖的别人不是人视觉
[05:54.560] 舒服是吧？
[05:56.070] 应该能出嫁吗？
[05:57.550] 能是这样，您带驾照了是吧？
[05:59.800] 对，能试驾一下可以吃掉在哪，不是试驾咱就是见蓝色的，这是油电混合的一个版本。
[06:06.300] 对，这是带安装免费给加装充电桩，到时候如果说您要选这个的话，
[06:12.350] 这是电的是吧？
[06:13.950] 油电混合的店铺。
[06:15.670] 对，他不是像丰田也可以用，油也可以用，对，它沉淀的续航里程就53。
[06:22.750] 53公里。
[06:25.850] 你充完了也只能。
[06:27.470] 它自动驾驶是有什么还是二级L二级别的一个自动驾驶辅助，
[06:33.040] 它可以识别车道线，然后使车辆进行前行，一会咱在四环上能开的时候就可以带您试一下，他不是有个还有什么L的4级的。
[06:42.050] 现在中国不允许。
[06:44.130] 之前沃尔沃对，因为中国现在不允许进行全自动驾驶这种，对，然后之前沃尔沃它在国外的时候有一个实验，有。
[06:51.630] 隔道路全没有人看，没有。
[06:54.610] 啥是一条封闭的道路，因为
[06:57.080] 这条风水到了进行实验，它刹得住。
[07:00.580] 其实挺好的，然后也挺完美的，但是现在中国不允许进行全程的压力，而且
[07:06.050] 其实像中国的路况比较复杂，您看着咱比如说跑四环辅路自行车行人什么这些路况也是比较复杂的。
[07:14.050] 明白。
[07:15.410] 还有一个今天。
[07:16.450] 问他直播时我问他，
[07:17.910] 我说。
[07:20.580] 差不多。
[07:21.850] 只吃他不累，
[07:24.180] 他说目前没办法，
[07:25.820] 不能不考虑。
[07:27.070] 不用，另外我问他黑内黑外有没有？
[07:30.920] 没用，所以那一块就像我跟您说的他比较难找，
[07:36.580] 黑色的外观加黑色的作用这种。
[07:39.800] 因为他这样子看看他黑的，如果是黑Y的话，他那座位是那种棕色的。
[07:46.290] 浅色的肚子趁老婆。
[07:48.020] 而且不赚钱不是浅的。
[07:50.170] 深了不买黑的，你又不做伤生意也真不愿意。
[07:55.680] 我生意大了，我怎么不做生意，我在圈，你看我这得找人给我看着。
[08:00.720] 明白了。
[08:03.770] 其实棕色比较适合您，比如说您就算商用棕色的作业适合。
[08:08.680] 对吧？他也不是说那种特别浅的，特别出票的颜色，
[08:12.480] 也不是特别出挑的颜色对吧？你。
[08:14.570] 跟这个树有一他小时候长的是在一块的。
[08:18.210] 长分开了是吧？是还你没注意过今天是多好。
[08:24.660] 好，是跟你这里边
[08:26.530] 长得还挺高的，两棵树你看。
[08:28.850] 一开始在一起慢慢分开了看。
[08:32.540] 而且都是一一特好知道吗？
[08:35.800] 是吗？
[08:38.060] 我这个手
[08:39.960] 感谢来电，您看一下。
[08:45.180] 您是有个车置换是吧？拿奥迪置换是吧？
[08:48.820] 不是奥迪离开月好像太岳是吧？销售
[08:53.240] 问题。
[08:54.430] 别告诉他，
[09:02.510] 然后丰田
[09:03.680] 过于的话，我带您看看松鹤的阿sir做也就是对这种颜色的，然后做也不是纯黑的吗？
[09:12.070] 然后基本都是这种颜色的座椅，
[09:14.650] 不是不属于太浅的那种颜色，真色对，其实这个表谁知
[09:20.920] 黑的不是鸡，除了这台白车黑内以外，基本上所有的外观都是这种风色座椅。
[09:29.690] 对，因为只有它白的外观，它可能搭一个深点的座椅的颜色，然后基本上像比如说黑色外观，
[09:37.160] 然后蓝色外观基本上大家都是一个棕色的爱，你像SUV跟他的差这就得贵了是吧？
[09:44.270] 对这个都要贵一点，这个价位的话在60多万70多万，我觉得家里头有一袋子油味就行了是吧？应该
[09:51.590] 您之前在家里用你家那还怎么着？
[09:55.360] 对，您看一下。
[09:56.850] 他
[09:58.220] 你别看他这做颜色都正，
[10:01.480] 但这颜色挺好看的，对颜色倒很重的照片，你就不知道sir就是我们的。
[10:08.950] 对颜色。
[10:10.280] 的特别你看周sir就特别要买包就买这种事儿就正规出来，对有一些它棕色它是偏红或者怎么着那种就显得特别浅，特别有一种车，今天看的那一种车就是那种发红太阳照说阿那种
[10:28.090] 就显得很廉价，那叫箧中对白色全是bug花上妹妹。
[10:35.960] 手机保持安全，
[10:39.550] 它只支持苹果目前
[10:42.960] 目前是纸质苹果，它有一个叫car play的，您如果说跟苹果手机连上以后，像苹果直接一个数据线连上以后，然后手机上的音乐直接可以在那上播放，然后打开比如说QQ音乐会，你就用这手机，
[10:57.960] 这可以，然后地图比如说您是高德地图和百度地图都可以，他也是直接在那上面进行过。
[11:05.130] 现在。
[11:07.090] 他是华为对那天现在来说的话是吧？
[11:12.360] 经销商什么，但是的话后续都是北京拿出来，你为什么这个没有往后？
[11:19.690] 他是不光
[11:21.280] 没有这个只配置苹果是好多年前就这车上市的时候15 16年那快乐吗？他是
[11:28.870] 那会还跟国外的是不是他是15 16年那会儿，其实那会儿苹果要在华为高很多，你知道吗？
[11:37.360] 行对，后来慢慢的华为越来越好了，对，然后其实到后来包括拆迁40跟华为的P40时候有一个合作，然后就拿车，
[11:46.930] 比如说这就是要是直接进去那种也有一定的合作，但是这个的话它还需要慢慢的在改进。
[11:52.780] 对，还需要慢慢的在研发，其实你合并了应该就回来了是吧？断线的。
[11:59.920] 咱们再合并。
[12:05.870] 行了。
[12:07.070] 他
[12:09.180] 不是和这不一样，他那龙骨是5跟他的那么多是否还适合吗？
[12:17.360] 其实就是一个细节，他俩动这些发动机变速箱都是一样的颜色真洋气。
[12:23.670] 这些设计一点。
[12:25.300] 还是你别说是年轻开的谜色，那不是特别那种颜色，
[12:31.370] 下面次数都可以开，是不是？
[12:34.610] 他颜色比较少，或者厂家要这车要全拿来看看。
[12:40.170] 差不多品牌，谁知
[12:44.170] 有些宝贝什么不管，
[12:46.600] 你可以算就行了。
[12:49.270] 然后你这里选择如果这东西的话，这边有区别的保养这种感觉。
[12:58.370] 应该是的。
[13:00.160] 的，研讨会也好保养。
[13:03.340] 好的。
[13:07.280] 然后找回来。
[13:12.370] 正好那天真的人说的是吧？
[13:19.650] 今天叫研究过程。
[13:23.270] 我直观怎么着，不能说可能给高点，就是说
[13:28.410] 要
[13:30.080] 我经常店里了解到也就是11万，因为现在
[13:35.040] 厂家这边
[13:37.890] 他们也许这车卖的价格特别低，你知道吗？
[13:42.840] 所以还要慢慢我们回去我给
[13:45.810] 发现尤其咱们还好配置，我刚才到32,000 86888
[13:51.560] 780，非常28万多。
[13:55.160] 你们那S662没法卖你知道吗？
[13:58.990] 就是说你在那比较的
[14:03.240] 下一个对。
[14:05.900] 把
[14:10.310] 他还有一个电力
[14:16.990] 策略方面，
[14:19.150] 前后活动，
[14:21.000] 包括
[14:22.040] 系统
[14:23.440] 厂家这块要求每个店都有，然后因为我们这个店是去年刚开的，
[14:30.090] 所以我们没有设计。
[14:34.240] 是哪块能区，然后哪块用的是什么材料是吧？
[14:39.230] 黑白都有现车，我给您查一下现车要地志远就是原价439,900那款对吧？
[14:46.900] 行，你稍等我查一下，而且他的
[14:52.320] 这是第的，多了曼卡的营销系统，
[14:56.200] 多了前排座椅的推脱，
[14:58.180] 然后多了
[15:00.490] 后排有一个
[15:03.160] 恒温的一个四驱空调的调节，
[15:05.980] 然后多了导航，
[15:08.440] 然后贷款那块还没等，
[15:11.290] 低配的这块没有导航那打了。
[15:14.620] 他能够接手机的话，用手机的只能是用手机导航，然后连蓝牙或者是can play都可以。
[15:20.770] 可能是这样的。
[15:23.220] 然后指导价是多少？
[15:25.920] 33万块钱4399，这个是4029。
[15:32.790] 安全配置上也是一样的区别。
[15:36.130] 安全
[15:37.500] 安全上
[15:40.040] 车道预警什么这些基本差不了太多，这样我商量你看看安排个时间。
[15:47.290] 我得查一下试驾现在驾照了。
[15:49.500] 需要用一下您的家，我先给您查一下现车，您稍等。
[15:55.250] 中国大学人。
[15:58.270] 广告公司的太快，为什么把中国建成？
[16:01.440] 我科技首先我会看很多，其次我可以提高它的一个歌剧，
[16:06.110] 对吧？而且在国内的话我更好去掌控。
[16:11.770] 在网点还有一个
[16:15.530] 奔驰他就不知道北京怎么样。
[16:17.730] 他知道。
[16:19.150] 但是我知道这车我送进来后还能买，谁知
[16:29.010] 对。
[16:32.250] 我知道之前的。
[16:37.220] 瑞典
[16:39.650] 进口的美国产生的冲动，
[16:44.160] 而现场的不用
[16:45.920] 不能。
[16:46.800] 国产的。
[16:51.250] 如果说
[16:53.430] S90没了是吗？
[16:56.270] 了。
[16:57.730] 我的妈
[17:00.440] 自动化
[17:03.000] 社会代表
[17:23.030] 刚才了S久了一共就剩两台车，
[17:32.510] 吃错了。
[17:34.110] 只是在前台吗？
[17:36.920] 不管。
[17:40.240] 不跟一样吗？
[17:41.860] 外科。
[17:43.630] 还是一样的是吧？
[17:46.520] 数据。
[18:09.360] 因为
[18:29.710] 其他的。
[18:50.830] 了是吗？
[18:55.270] 想要啥车？
[18:57.440] 想要。
[18:58.830] 开灯。
[18:59.850] 致远吗？不是黑的。
[19:02.720] 啥配置致远之一都在聊。
[19:06.390] 我想看有哪个推哪个，我一看啥也没了，这一只有台白车黑车，就屋里这对我们那个台肯定不要。
[19:15.240] 你还真的
[19:16.830] 也不要黑的蓝的有吗？
[19:19.370] 我给你找。
[19:22.280] 志远的好找吗？
[19:23.770] 致远兰笔这一栏难找点，
[19:27.700] 也没必要拦，我先看看他想要什么颜色，但你也就常规就这几个色，对你就是月底没问题吧，月底前没问题，但是我现在涉及到一个问题，我看在现有管线也没有，现在管线里有一台二一款的之远黑，
[19:43.650] 我就怕下边分的都是21块，
[19:45.810] 21款全是B
[19:47.540] 对什么B什么的，
[19:50.090] 我就怕下。
[19:52.120] D有什么区别吗？B5差别大了。
[19:56.040] 清清火了。
[19:57.960] 48都清了，差别大了不行。
[20:00.940] 还有20款吗？
[20:03.080] 卫生资源我都不知道中医，但是一周一慧芬资源我觉得我去过，好好我知道吗？
[20:09.280] 你问问猴哥就算走一块去没有？
[20:14.490] 我看了一眼，别人家已经分了一块，只远远的那么好玩。
[20:21.790] 数据。
[20:25.770] 报告
[20:32.240] 数据
[20:33.650] 数据
[20:38.800] 数据。
[20:41.150] 数据。
[20:43.060] 数据
[20:45.650] 数据
[20:55.930] 的
[20:57.900] 的
[21:03.240] 数据
[21:09.150] 大
[21:11.220] 的
[21:14.630] 快。
[21:16.030] 了。
[21:20.730] 给
[21:38.120] 查查
[21:46.290] 商量
[21:57.050] 的
[22:03.340] 看
[22:09.490] 白色的
[22:18.180] 的
[22:31.990] 的
[22:33.590] 的
[22:36.930] 价值观我拿过来了，行我拍一下照，我看一下您的照片。
[22:42.560] 您驾照看一下照片，
[22:47.330] 然后签一个书面协议，咱就可以去试驾了。
[22:51.550] 我跟我上次说你这个车几个，第一个名字
[22:54.660] 比较复杂是吗？什么具体。
[22:58.410] 行给到您收好就行了。
[23:01.440] 之一，运动员智雅是顶配那款。
[23:05.970] 40
[23:08.160] 49万多例，
[23:09.520] 这个是43万块钱支援桃花。
[23:12.160] 对，您先看一下，
[23:15.400] 既然比它更高一个配置，
[23:17.620] 至于稍微低点对之一就是咱看的
[23:22.640] 他这块对白色的这个都是一样的，不要
[23:29.690] 谁知
[23:31.750] 请您帮我联系行，我鲜虾试驾您稍等，如果不
[23:41.370] 的。
[25:12.600] 先生这边需要您签一下字，大众清洗。
[25:16.310] 差这个是吧？
[25:18.100] 还只是7有个大农清洗，
[25:22.110] 这两块。
[25:23.480] 您说智雅的是吧？对致远和质疑。
[25:29.010] 这不是质疑，志远差一个大灯清洗吗？
[25:37.440] 这个是假，还得什么签，对都有。
[25:44.030] 研究一些交通法律法规，双区自动空调。
[25:48.120] 这是四驱的，您看底下太多了看见了。
[25:53.410] 对，这是四驱的。
[25:57.390] 的
[26:04.250] 那里面每天都消吗？
[26:07.000] 每天什么消毒的那种消耗也变得，我们每天就这个上面。
[26:12.790] 对，然后我们也会有。
[26:15.270] 专业人士来进行打扫。
[26:17.050] 专门给车进行清理。
[26:19.840] 所以现在已经7点都会出去是没事。
[26:24.930] 行先看一下，然后我一会您去试驾，好，一会带您去吃饭行吗？大家老师感觉。
[26:39.410] 等会儿谁？
[26:42.120] 客户这个您是您过了三小时了，对我就要弄三小时，过了三小时了就要三全面弄得全免是吧？对。
[26:49.830] 您说现在享受的爸爸马上我过去拿去
[26:54.050] 手铐。
[26:55.050] 这个是啥情况了？
[26:57.150] 你打电话，
[26:58.560] 我也都说啥PPT。
[27:00.870] 我觉得那老三套没必要说了，咱完事了是吧？但是没想到
[27:06.150] 但是他别的有没有什么特殊强调应该怎么办？
[27:10.410] 也没了。
[27:11.210] 教授你好。
[27:12.490] 你好没事，谁知
[27:15.150] 超三小时吗？我你找我那天。
[27:18.880] 不对没有进去，因为靠ps90超了三秒钟。
[27:27.790] S901是吗？那就不要了，别的谁知下去了，这是嫁了谁？
[27:34.230] 我也不登记。
[27:35.920] 琢磨我觉得我整了也不一定能上网了，
[27:42.860] 没准他们几个上了握疼了给我我还更好。
[27:47.040] 你不走好对我的，所以昨晚上不上了，刚才说了他给我了。
[27:54.850] 个大家好过去意思谁知。
[27:59.870] 你先忙。
[28:02.320] 他
[28:03.840] 是5年之后是吧？
[28:05.920] 如果出现三年也正常，谁知说不要了，
[28:12.870] 过来的不微信扫一扫
[28:15.770] 了明天第三感觉又要二
[28:21.960] 好了吗？
[28:24.120] OK别走了，行了，弄好了吗？
[28:28.810] 无非就是给了一下，
[28:32.740] 然后那人说是我就让我说
[28:37.490] 都那样没事不行再打过来好了。
[28:45.800] 小霞
[28:48.630] 号。
[28:51.060] PPT。
[28:58.380] 数据。
[29:06.490] 开始。
[29:09.440] 然后O下面
[29:14.400] 一下，然后
[29:18.110] 文静。
[29:19.300] 咋了？
[29:20.880] 还在那意见。
[29:23.590] 当时给那二手车看价格可能
[29:41.190] 签了就拿着这个介绍给我。
[29:43.640] 这个签字到达。
[29:47.150] 全面发了，应该做好了可以了是吧？然后你再拿这个还不是靠的那种东西网店吗？
[29:55.890] 今晚上行好了，慢点回头。
[29:58.650] 我还说
[30:00.820] 还有什么，然后S90的车思源对韩国还没完事了。
[30:08.420] 12天去试驾了是吗？他咋不登记呢？
[30:12.190] 不知道。
[30:13.300] 能不见他们吗？没定住，我忙别的了。
[30:16.960] 了。
[30:17.880] 今天7月4号是吧？
[30:34.030] 发现你们都不
[30:35.460] 也没有，我也那一双哭我就花。
[30:38.910] 话说
[30:40.270] 不花真不花，
[30:41.800] 不花也有了，我以为你花钱也太好看了。
[30:46.260] 是吗？
[30:47.670] 我知道。
[30:49.100] 海洋更漂亮。
[30:51.220] 我家是录音好像规定得很漂亮。
[30:53.550] 花的。
[30:54.770] 可惜我没有钱。
[30:56.190] 你在哪个地方买点
[31:00.550] 地点等等花了钱
[31:07.080] 的。
[31:08.040] 可以用的什么？
[31:10.500] 才想法拿怀孕。
[31:12.180] 一会要洗澡一下不要。
[31:14.610] 好香，你很小水了吗？然后你还演示。
[31:18.580] 是吗？不是。
[31:22.480] 这边主动是这个味吗？谁知。
[31:26.260] 谢谢，返回起点看见了，谁知
[31:38.060] S 90. 
[31:39.280] 培训一开始说去成都吗？
[31:43.090] 换地了。
[31:44.300] 商量，一开始说6月底加7月份去了，北京你收拾就见了，我没休息，听到你在哪呢？
[31:51.510] 初三三亚他跟我给我报了。
[31:54.760] 对我也想去，我知道咱们有3个名额，咱们他们注册销售部未够10个吗？认证的。
[32:03.390] 这样乖乖我就看正好见吗？
[32:07.570] 正好10个认证。
[32:11.970] 还没他没认那不够。
[32:13.530] 俺只能吃俩，我还去不了。
[32:16.530] 认证以后不给利用，为啥？
[32:19.220] 不就了了。
[32:21.000] 不耽误卖车，你也要去成都没什么意思，回去这可行吗？去成都不想去。
[32:28.110] 去过一次报道，对西门每天你能看住哪了？
[32:31.810] 去三亚那这样安排好了，S有没有回来叫吗？
[32:36.830] 肯定是这样。
[32:39.560] 你徐哥回来了是吧？三天不重要了，你想的跟他们
[32:46.610] 看他们好多个，
[32:47.780] 看好多个。
[32:51.310] 我们
[32:53.050] 这一块
[32:53.880] 在这等着。
[32:55.730] 要感冒了是在你那里。
[32:59.640] 谁知
[33:06.450] 然后哥
[33:07.960] S9量还有20款车。
[33:11.560] 我看咱这没车了没有。
[33:13.750] 码头你干嘛？
[33:15.920] S2衣服B5吗？
[33:18.980] 大概款不全是2020这批授权，20这个皮肉全是0。
[33:24.680] 刚刚一排一款资源就一台是吧？目前分了，但是还没其他资源如何，他还是轿车。
[33:32.770] 对，那就全是20正常我不能卖是吧？
[33:37.450] 黑的好找哈，志远。
[33:39.870] 大量。
[33:50.680] 咱可以去试驾了，他们回来了咱可以去试驾了。
[33:54.830] 然后正好也给您问了一下，然后颜色的话基本上都能找到，如果是常规颜色的话，
[34:00.640] 黑白都有黑的，反正多黑的多白的要稍微少一点，因为像这个车和白的这俩都是我们特意跟厂家要的，然后来做一个展示，这颜色不好找，颜色的就是白事吧，他就是白和黑是吗？基本上颜色的
[34:20.500] 不是运动款，可能就这一吓对男装的不是运动款，只有运动款有着颜色，
[34:26.530] 然后也得提前下订单是吧？对也得提前下订单，这边不是T8对他们是提拔去了。
[34:43.300] 白的会少一点。
[34:45.650] 然后您直接上主驾驶，我会告诉您大概操作，对就这台。
[34:52.520] 行女士麻烦您先坐了后排，我给先生指路您看行吗？这件？
[34:57.400] 二
[34:59.190] 你就坐旁边对您做后来感受一下后排空间，正好感受一下后排空间。
[35:05.640] 咱试驾的这款的话是一个高配，是一个顶配那块你看你知道吗？它这里看算说正。
[35:12.350] 对，就这个意思。
[35:13.540] 事儿了。
[35:14.250] 焦虑座椅它叫。
[35:16.310] 叫什么是雅，咱刚才看对致雅的
[35:19.880] 我觉得。
[35:21.050] 还年轻，然后这个行业已经。
[35:22.520] 是照片了，真的启动往右边往右扭。
[35:26.840] 不用你踩刹车你我告诉你了，对踩刹车往右拧。
[35:33.020] 踩刹车。
[35:34.720] 对。
[35:36.660] 我刚刚查了一个门对象标准的待黄油。
[35:42.240] 手刹手刹在对您先看后视镜跟座椅需要调节吗？
[35:46.880] 作为经销商条，然后实现就开始需要调节了。
[35:51.970] 在什么岗位在这？
[35:54.090] 我这边您先点L
[35:57.570] 然后在调理。
[36:00.750] 好吧？
[36:02.390] 然后档位的话在这儿看。
[36:05.670] 对单位在这。
[36:08.310] 这个事所电话
[36:10.500] 往往后再采沙场回来就行。
[36:14.210] 对那张力量锻炼。
[36:16.660] 直接搜对搜刹车就行了。
[36:21.170] 跟没什么难的。
[36:26.000] 然后咱路线的话是从定慧桥底下跟四季青桥底下掉头这么一圈。
[36:30.790] 对，走辅路主路都行，那主路就一小段。
[36:38.190] 眼睛。
[36:39.680] 谁知
[36:49.750] 他那些
[36:51.100] 自动驾驶的设置都是咱调过头来吧，调头来我给您试一下，再见。
[37:06.980] 对，这个也可以调节后排空调温度这个地方，然后配置就调节后排空调温度，那是包含一些印象。
[37:14.370] 只有顶配有的营销系统。
[37:17.000] 然后这个是最低配，没有装配就有了这个
[37:20.050] 调节后排温度，
[37:21.650] 包括后排张连就都有了。
[37:28.850] 油表在哪一边在底下？
[37:32.120] 底下谁知
[37:36.770] 懒得。
[37:37.730] 对，还有320公里，不是满分是满的，整个从最左边道这边还能走320公里。
[37:44.790] 对，续航里程那是
[37:46.790] 满的才320公里不大对吧？
[37:49.520] 反正他
[37:50.750] 应该差一点，但是差不了太多，从那掉头走掉，对这边掉头的。
[37:57.500] 是左转正好对正好。
[38:00.720] 没有方向。
[38:02.790] 指南就是指南针，对这个没有。
[38:16.590] 你可以让它显示，
[38:19.370] 先是低头可以让他
[38:22.750] 那块就有地图了，它可以显示不同的东西，比如说缩小
[38:27.340] 什么地图缩小的话就那什么他就不显示了。
[38:33.170] 它只是一个显示，它有个自动跟车，
[38:39.390] 大概是加上
[38:45.150] 但是空调
[38:48.430] 您试一下，
[38:49.760] 您靠左边靠左边车道，
[38:55.250] 点往右的，然后再点中间的。
[38:57.740] 然后现在你稍等，他现在没有识别到车到
[39:00.750] 车道线不是太明显。
[39:04.140] 现在这座巡航
[39:08.790] 车道线
[39:09.600] 太快现在可以了，
[39:10.800] 现在放它变成绿色了，你看到吗？他相当于一个零花驾驶辅助了，您不动话，它自己会跟着这个车到现在北京推动，如果我洞房买他是不是不然就是教的。
[39:21.270] 对。
[39:22.430] 现在没实行。
[39:25.750] 他现在放还是灰色了，石雕对，灰色的就是它识别不到10套现了。
[39:32.190] 对，现在就然后你可以不给油可以设置了。
[39:35.630] 现在窗并
[39:38.660] 跟车。
[39:40.410] 不是你设的是49 60是这条路的限速，
[39:43.940] 设的是49，
[39:45.680] 然后增加
[39:47.120] 对。
[39:48.060] 现在是70，A是不是80了，现在跑到
[39:53.230] 没有说5000台车，
[39:54.930] 因为为什么？他跑到5~一定距离，但是会不会自动刹车？会，你看前车因为跑的慢，所以他现在已经虽然设的是70，但是他也跑55，
[40:03.110] 你车别玫瑰长苏什么？
[40:09.480] 叫刚才
[40:11.010] 你刹车就都什么这就解除了。
[40:15.320] 你像这种弯路它都可以随着走了过去，
[40:25.910] 像比如说等红绿灯的时候，
[40:27.980] 前面有红绿灯对吧？
[40:29.620] 然后这个车就前方车停了的话，然后这个车也跟着就停了。
[40:42.320] 对。
[40:43.040] 不知道。
[40:43.880] 您看这块你给他先别接，都灵的话掉头这三个掉头，但掉头这种
[40:50.130] 180度的这种咖啡办法没有
[40:53.360] 得咱自己掉。
[41:14.960] 你别看
[41:16.420] 干什么，
[41:21.490] 哪一位？
[41:25.410] 你好，稍等一会，我正在开车，一会给你回过去。
[41:29.240] 好好。
[41:32.050] 你们死亡。
[41:33.160] 好的是吧？
[41:35.980] 对，像这种外露它都可以识别得到。
[41:39.510] 你看你这打开不用管了，放卡你不用管她，所以就可以。
[41:43.960] 这就没动这个车道了，对就是收到。
[41:48.310] 有点扭转。
[41:54.580] 往左一点
[41:55.820] 安排在走对吧？
[41:57.550] 请使用方向盘。
[41:59.150] 他可能识别得不清楚，不是他事情是有放开，是因为你手不能离开方法。
[42:04.560] 你离开方向盘大概9秒8还是11秒，它就提示您在前10个方向还带返还加热吗？这不大。
[42:11.170] 要加热。
[42:12.950] 你说到这个道理，车费都不讲话加热，
[42:16.840] 怎么加热器冬天好使，前期都不带发板夹着。
[42:21.770] 我说冬天号对前排座椅都是
[42:24.470] 前对前面做已经都有对。
[42:27.540] 后边没有见到什么。
[42:29.280] 后边
[42:31.480] 只有顶配这朋友头发夹住
[42:33.860] 还在检测。
[42:35.080] 开关检测大概
[42:40.010] 还有点晚走。
[42:41.470] 还有
[42:50.370] 还没搁手机的地方。
[42:52.140] 还可以，然后这边。
[42:54.290] 那不是干吗？
[42:56.110] 刚刚原来太阳花，
[43:00.010] 如果我往左偏一点，
[43:10.240] 全是用
[43:12.570] 他是0~130，最多可以射到130。
[43:27.230] 咱可以再来一圈。
[43:28.550] 这边在等候，然后感觉他
[43:32.060] 悬架比较
[43:33.920] 这个的话全价对他的确设计是偏硬一点，这跟他的一个设计是有关系的。
[43:39.580] 你像Volvo的话，它是
[43:42.080] 他不主打安全吗？他要求你这个就是车的一个
[43:46.670] 你对作为开车，然后你需要时时刻刻知道你路面的一个情况，
[43:52.890] 对目标对路况的一个情况，然后另外的话，
[43:57.690] 我不知道您之前是不是开日系车，
[43:59.840] 然后还有不是什么都德系的是吧？
[44:03.370] 德系的还好，有好多比如说之前开日系车的一个客户来试驾这个车，就会觉得这个车特别的
[44:10.440] 的什么特别硬，底盘悬架对。
[44:29.720] 股市的时候看见了没有？
[44:31.690] 这个有点
[44:34.520] 他反应有点慢的感觉，不是，因为他刚才从那边并过来的。
[44:38.850] 本身东西，但是现在就不行，因为现在收到钱不清楚，也谁知
