[00:01.820] 哥咱们这次就一个星期就走边门了，别的没事吗？下边大阪没事就磕了一下。
[06:42.310] 我刚才试了一下感觉还行。
[06:48.030] 我觉得谁知。
[06:51.400] 百。
[06:53.220] 如果要花钱的地方还有活动吗？
[06:59.360] 一般。
[07:05.170] 然后取了到时候拿这个能取出。
[07:12.880] 你这还找你找我。
[07:25.030] 你留好到时候咱学章取车的时候拿到
[07:33.480] 的。
[07:34.360] 好，我正好把照片给他们给棒那闯了。
[07:40.960] 看看咱是哪年的车的，咱这保险是什么时候上？
[07:47.080] 16年的车在这。
[07:49.240] 6年的时候没问题，上还没问题了。
[07:51.950] 可以。
[07:53.280] 下次上保险的时候好像医生上了，伤的话一会
[07:59.860] OK明天咱就到。
[08:02.170] 不客气。
[08:05.140] 算掩耳盗铃。
[08:06.630] 走走。
[08:08.250] 的。
[08:15.780] 谁知。
[08:19.110] 好。
[08:23.420] 都没事儿要放在你
[08:25.910] 你在跟着下来了。
[08:45.410] 好多车都这样，
[08:47.060] 而且跟职场好像还基本不管，
[08:50.680] 你要修得自己掏钱，
[08:53.970] 你下回跟那有那么一块直接
[08:56.060] 他说带保
[08:58.320] 不在了，我找找过了对吧？咱这车一直都在家休，单位在边上近
[09:04.690] 之前提供的时候，
[09:06.080] 我也
[09:07.460] 无解，
[09:08.330] 只能自费，人家
[09:10.160] 有文件你行吧，就这样了。
[09:13.450] 方式这么多年了，没事的，要不让他开车了。
[09:17.140] 行了。
[09:18.890] 回去好谢谢了。
[10:03.450] 136811。
[10:05.290] 4
[10:09.230] 一。
[10:26.320] 了
