[00:03.110] 您上次在
[02:42.540] 我今天给您算的成交价，您明天您说拿录音来找我了，我给不了您，这就是投诉，所以我们奔驰是不允许这样的，对奔驰不允许这样的，所以也离
[02:53.360] 对您也理解一下，我因为可能这个东西您不再监听，但是我们厂家是有在监听的电话里边是酷人去给客户报成交底价的。
[03:01.070] 所以这个东西说比如说您觉得我1万多块钱加100多块钱我能可谈，我再往下谈谈，我就想近期买了您就来，我给您找我们主管，
[03:09.590] 他主管权限比较大，会比您直接来的话，销售顾问的权限要大，他可能说话。
[03:18.980] 价格现在。
[03:20.340] 您这周工作日有时间来展厅吗？我给您约个销售顾问，先让他给您算报价，
[03:27.060] 因为这个工作日是一个价格，周末他肯定还是一个价格，工作日人少，所以我们有时候为了凑单数价格好谈，并不是说周末人多就好谈。
[03:36.450] 对。
[03:37.140] 无果你要真想买车。
[03:38.220] 然后想问这些是否沟通好吧？
[03:40.040] 对。
[03:40.590] 想把你销售。
[03:41.970] 对，就比如给您打个比方，今天我们必须卖出10个包子去，但我们可能就差这一单，可能价格就给您便宜点。
[03:48.330] 他不会等到周末，因为我们有每天的日指标跟周指标，你看周末的客户那么多，如果他订单因为我们这周末卖了30多台车，就两周六一天卖30多台车，所以说他不差这个指标，如果要是看您的意向比如不太明确，我就怕到时候
[04:05.520] 能给您的优惠没给到您，因为这我出发在我这个部门，我个人的角度我给您分析的，因为自己
[04:13.070] 我不是销售，我是电话销售，我只是告诉您哪个方面您能争取的福利，然后您谈价格的时候什么时候谈好谈一点，
[04:21.650] 因为您赶在周末。
[04:26.790] 因为我觉得买车都是咱们自个挣的钱，也没必要说给您买这什么这个东西的话，有您的福利，我就大概都告诉您了，这个东西要是谈的话毕竟也得有技巧，不能说咱周末来了这个东西我明白，明明我可以少交点钱，我为什么非得都交给你对吧？我这个东西我你可以不便宜我，但我必须得知道。
[04:45.640] 我觉得对这个东西你得知道，反正您就安排好时间你随时来就行，然后如果有需要我的地方，我就给您约我们的销售主管，让他给您算这个价格，他肯定有权限给您就是降低一点价格的。
[04:57.870] 到时候您要来的话，我如果是现金这块，我们。
[05:01.040] 不要了这款。
[05:01.890] 您上北京牌有置换吗？
[05:06.910] 你要方便的话建议报电用电话这边报不了最低价。
[05:10.710] 这个东西你要了解R先生所有的奔驰4S店是不允许强加装饰的，如果你要是想买车觉得配置够了，你可以不做，唯一需要奔驰厂家规定的就是需要在店里做保养，
[05:21.690] 就保险上保险，但这个保险也不一定要上全险，就是您挑几个主险上就可以了，因为这个保险并不是说我们必须说跟保险公司合作，是因为奔驰它对每款车的每台车每个批次的车有一个售后返厂率的调研，
[05:35.860] 您这个车在头一年之内有没有发生什么哪个配件出现问题了，然后哪个配件说有没有误差，这种东西去不要召回，我们是要做统计的，并不是说为了您上保险，
[05:46.730] 而且上保险的时候你也可以跟您销售顾问说，我只上几个主险，我不上全险，这个都是可以谈的，就不说它规定什么你就做什么就可以了，
[05:54.870] 都能。
[06:05.670] 对。
[06:08.570] 对也可以谈。
[06:10.000] 有价格起伏的区间，主要是我们这个价格都是报价时效性的，比如说我今天给您报这个价格，然后过两天这个车只剩一台了，这价格肯定会再往上涨，您放肆，因为库存少的情况下，他价格肯定会重新。
[06:24.190] 对一共电话。
[06:25.480] 目前有俩您可以挑内是可以调棕色或者米色的。
[06:29.510] 为什么先让您看看车？
[06:32.370] 对，您先看看这个颜色，那是喜不喜欢？
[06:34.910] 计划的是吧？
[06:37.720] 有一句话
[06:41.010] 等等评价完之后是吧开始
[06:49.920] 您最近也了解我价格，我这边先给您简单做个价格对比，到底是。
[06:55.640] 他可能来的不是时候只能这么跟您说，因为我们这边的客户的都有确实是有，你想甭管密云到通州的都往这边来，您要考虑为什么客流量大。
[07:05.790] 一是口碑的问题，二是咱们价格肯定是占优势，要不然客户也不可能跑大半个北京城来你这买车对吧？
[07:17.610] 客户。
[07:26.920] 别下来。
[07:30.720] 明白这样。
[07:33.430] 同。
[07:33.940] 女生。
[07:35.060] 同级之间肯定会有这种重伤或者是这种抵触的这么一种话术，但我们这边是不允许的。
[07:42.130] 因为大家都是奔驰旗下的品牌，卖得好或者卖的坏的话，那都是你本店的经营问题，跟我们这边个人是没有任何关系的。
[07:49.560] 但是这个东西我觉得三人为虎，您要说这个东西您自己没去感受的话，我看您前两天来过店里是吧白先生？
[07:57.290] 现在因为资源也比较紧俏的。
[08:00.810] 对，所以说您可以自己感受，如果说您对您当时接待30部分不太满意，或者说咱们价格政策
[08:08.470] 不太满意，我们这边都可以再给您申请，包括销售顾问这块，如果您觉得服务不满意，或者说在专业知识上面有所差的话，我们可以给您更换销售顾问，这都是没问题的。
[08:18.650] 不算旧车了，就是说一个
[08:21.550] 多米。
[08:23.460] 谢谢。
[08:25.620] 谢谢王书金。
[08:29.600] 不负责卖车，但我可以给您约销顾问，我这边只是电话销售。
[08:32.860] 然后花费的话。
[08:33.670] 给您做一个简单的咨询，对详细的成交肯定是咱们这边销售顾问更专业一点，包括在车辆的配置产品知识上面可能比我们要强。
[08:42.340] 完全给您发个电话，到时需要可以随时联系好吧？
[08:46.560] 好，拜拜。
[08:50.990] 也不是太熟是吧？没事，您下次要是再来，你过两天再来的话，我就给您换个销售顾问，我要是对他专业不太满意的话，我给您让我们主管接待舰，上次可能接待您的是咱们这边展厅的普通销售。
[09:02.750] 行。
[09:04.950] 没问题，如果您要有需要的话，我也下楼，我一会把我的电话发给您，您下次在这展厅的话，如果有需要我就过去接，您好。
[09:13.800] 感谢。
[09:15.040] 感谢您的评价。
[09:16.470] 我先给您发短信一起来的关联白先生。
[09:19.400] 祝您生活愉快，再见，拜拜。
