[00:00.000] 567
[11:48.430] 你看这车，当然这45的动力比较
[11:51.440] 三菱的技术跟铁路
[11:56.160] 350比较弱一点。
[11:57.800] 多一点对。
[11:59.120] 百公里多少？
[12:00.300] 百公里油耗正常开的话大概11个。
[12:03.560] 11个，
[12:05.820] 高速公路一个将价格高，
[12:10.200] 这车13。
[12:12.050] 黑车的这车差不多也得12左右，
[12:15.420] 因为它的电机
[12:16.840] 所以他就不会说加上原来是这么的费用，
[12:19.660] 正常一个320的车都得133个到4次，
[12:26.400] 这车在才高兴。
[12:27.970] 这是选装的。
[12:29.210] 我选择三轮车都没有到能
[12:31.900] 送了也不出去装上，
[12:33.650] 能选择就订车都能。
[12:37.260] 要是
[12:39.640] 你要是
[12:41.240] 订的话时候嫁接家庭
[12:45.040] 要加强的话，
[12:48.390] 是这样定的话，
[12:50.390] 价格是一样吗？您得有时间就能等着，别着急就行。
[13:15.000] 不睡的话我给你算算。
[13:17.280] 明天调教多以把光调差不多。
[13:20.010] 对都看都调好之后没问题再来走。
[13:23.100] 挂上D档以后他手刹会自动解除，
[13:26.330] 他要直接的可以走。
[13:29.560] 要是350的话几？
[13:32.000] 3 738,800点要1085，
[13:39.040] 岁的话63,000多，
[13:40.950] 1350的配置163,000多的税。
[13:44.430] 245
[13:45.730] 15点的话，
[13:51.930] 咱们现在是舒适性。
[13:53.620] 对胡适模式。
[13:57.200] 75,600。
[14:06.510] 咱们桥底下调头是吧？对咱上主路上主路
[14:16.520] 350 63,000。
[14:18.180] 稍微一点点就行。
[14:22.070] 你们化验了。
[14:24.410] 小小点。
[14:31.320] 车
[14:34.550] 面料有区别吗？
[14:36.480] 区别。
[14:37.770] 句
[14:39.060] 大。
[14:40.220] 3:04。
[14:45.470] 350开的静音效果什么跟是一样，动力要比这弱，
[14:51.570] 没这么有劲。
[14:54.820] 但是别的事一样，
[14:57.620] 驾驶感受，
[14:59.260] 比如说悬挂这些都是一样，我看你那还显示的是
[15:04.040] 88万。
[15:05.320] 那个是豪华，
[15:06.770] 是吧？经费的判断，
[15:08.620] 一般的
[15:09.760] 正常的是834,000百，我
[15:12.180] 不是300 900 1 810万块钱。
[15:14.180] 对。
[15:15.640] 三三千块。
[15:17.360] 350的。
[15:18.520] 350还是738,800吗的还要优惠，可能优惠两户，他现在是71块
[15:22.850] 300多万10，反正现在在犹豫，咱们重复出现捕捉一些前面下一个天桥下
[15:30.190] 一点，到时候你给我算算，行行我就给你转，然后还有一个名车，
[15:36.330] 你想搞那种按揭的话给我算算
[15:41.590] 多少，然后按揭多少，
[15:44.420] 每个月多少钱，什么时候付，
[15:47.700] 然后保险是多少？
[15:49.520] 好。
[15:50.520] 有邮费吗？
[15:52.270] 现在的话是项350是738,800吗？优惠25,000。
[15:57.170] 然后又让他给你问问这个口出去了。
[16:00.110] 天桥底下那个口子，
[16:01.960] 然后也是掉完头咱们还回来。
[16:06.640] 然后450配置是没有456没有优惠，450是
[16:12.650] 834,800，但是他现在稍微降了一点点，现在的卖价是864,800，相当于加了35,000。
[16:19.930] 350
[16:23.790] 0
[16:24.800] 在7的话，
[16:26.750] 长期
[16:27.600] 和一模一样，对不对？对。
[16:29.860] 那么那东西是生完
[16:32.490] 不会，
[16:34.090] 他350的动力就已经够用了，3.0G只会更好，相当于
[16:41.170] 储备的动力非常充足，他要给你要加油的时候特别感更强一点，
[16:45.660] 那个也会有推背感，那就没有这么强了。
[16:48.520] 咱用起来绝对是不用。
[16:52.220] 你们经常有没有？
[16:54.420] 没问题，要不然他奔驰它不会是和积累这么大的车，那么小的材料，
[17:05.510] 43
[17:06.360] 2907。
[17:09.360] 要说是高职高，
[17:11.690] 还是因为它有2000卖的最好？
[17:14.450] 车
[17:17.680] 查实
[17:21.850] 差好几十万，
[17:23.630] 差多远
[17:29.360] 的
[17:30.480] 的
[17:32.050] 数据
[17:33.560] 数据
[17:35.360] 基础
[17:37.000] 来
[17:40.520] 句
[17:41.780] 数据
[17:43.750] 的
[17:45.680] 的
[17:46.840] 数据，
[17:48.650] 他美事
[17:50.040] 是要各地买，
[17:51.520] 内饰有黑、棕、米这三种只是对这是米大道东的跟黑的。
[17:58.050] 选米色的多吗？
[18:00.160] 不多是吗？反正这个新大理
[18:05.180] 我这车原来米色的一直使车跟呵呵一笑，然后档次高，对这个颜色很好看。
[18:13.020] 的衣服不能掉队，就是夏天别出汗，衣服给调色，
[18:17.340] 它容易烂底下那块。
[18:22.430] 再说你得勤打理，你要老不搭理他，
[18:25.760] 就该破要脏了就不好看。
[18:32.010] 稍微给一点碰到一下90了。
[18:35.680] 刚开始。
[18:37.800] 开始清道夫。
[18:38.830] 而且它猜测性质也
[18:40.850] 他写了一些公益服务
[18:43.130] 的
[18:45.070] 不要看
[18:46.730] 还是
[18:48.080] 非常清楚，而且非常好看。
[18:51.070] 你妈妈。
[18:53.320] 宝马是那种感觉。
[18:55.150] 那种
[18:58.040] 外面
[19:02.330] 配什么？
[19:03.880] 他是
[19:05.280] 他这是你自己纠正。
[19:08.640] 它是有一个，因为刚才可能离的有点近，然后再加上车速比较快，它可能没识别好弄那个。
[19:14.920] 他认为是直线。
[19:16.400] 他会给您
[19:17.500] 这左边会点脚刹车，
[19:20.250] 拽一下，
[19:22.020] 防止您饭困了睡着了。
[19:24.430] 因为自动纠正对吧？因为就相当于您要病的时候打字打晚了，
[19:29.520] 要提前打折，他是看不会有。
[19:33.280] 她就扫这些。
[19:36.470] 他说你越
[19:39.440] 哪怕东西再并线，对，然后他给你点脚刹车，
[19:43.390] 让他帮忙传一下。
[19:48.600] 车道保持
[19:55.920] 比较安全。
[19:57.720] 这车
[20:00.110] 40都办完了就行了。
[20:09.890] 看到前面的货车
[20:28.870] 一般要在此状态下基本上没什么声音。
[20:31.720] 那就是这个案子的是吧？
[20:33.930] 你看你后面做这个数据，
[20:36.370] 宝马就是I
[20:54.850] 这停了车就不用管了是吧？
[20:56.800] 他是那身材叫刹车，现在不是停了吗？你再快点往下伸开一下快上。
[21:02.070] 往下现在快点踩。
[21:05.660] 对，他两脚刹车就别台彩妆了，停住，然后再快点往下点。
[21:11.190] 对，他就要出发一个厚的，然后有英文字模，
[21:13.920] 就绷鳎沙蜇了。
[21:19.800] 这车就是转校的时候，我必须得等风格的是吗？
[21:22.700] 我要不打的话是不是就跟刚才是的，他是这样，他像有中间有那些路线的话，然后有速度的。
[21:30.320] 他就像刚才您开车应该超过45迈车或者55迈车，
[21:34.270] 它才会启动那个功能了。
[21:36.170] 如果你要不打转向灯，他他可能会
[21:39.180] 刹车了，
[21:40.800] 它会闪闪那红的当当的。
[21:57.490] 因为技术
[21:58.750] 看您刚才那一把轮就能看出来，现在老司机了，技术绝对没问题。
[22:04.920] 好了。
[22:06.180] 然后一下就行了。
[22:07.760] 行了是吧？对，然后只要一灭车，
[22:10.250] 它自己就杀上了，都不用管，然后您一拉门他就所有的一道反正锻炼。
[22:18.400] 老婆咱就这个。
[22:21.600] 看这个样子了。
[22:23.920] 看了是吧？
[22:26.170] 所以说我上台做世界一下就知道别跑。
[22:30.600] 对，必须得开一下试试。
[22:32.870] 被告这里就是了，
[22:34.360] 大家看着办这边。
[22:37.470] 你不会吗？我姓刘，叫刘帅小明。
[22:40.460] 看看。
[22:41.150] 你看咱金融我给您算算。
[23:07.680] 我给你看看。
[23:15.390] 反正开始了。
[23:16.620] 来，您坐。
[23:26.030] 那会心情很高了。
[23:28.390] 动车了订车，他说叫我小麦300万，
[23:32.010] 他最低卖多少3万，实际多少钱？2万块钱。
[23:38.910] 谁知
[23:41.670] 张伟、
[23:49.800] 张伟。
[23:51.480] 聊聊天，张哥谈及的可以。
[23:55.800] 号。
[23:57.860] 王老吉黄文杰。
[24:02.610] 时间你是标C20的是吧？都说完了还。
[24:10.350] 我去
[24:15.610] 我
[24:17.950] 对外了
[24:19.880] 别到了快乐。
[24:23.700] 连钥匙还是第。
[24:27.680] 谁知
[24:29.840] 好勒。
[24:32.680] 您等几分钟，我说拿个东西马上过来，
[24:41.240] 走走回来了，正好刚回来。
[24:43.630] 还是
[24:44.680] 我知道。
[24:49.980] 今年几万了。
[24:52.180] 没卖一到礼拜六里边是太忙，只能修起来了这意思是。
[24:59.370] 都不知道了。
[25:00.930] 我平时
[25:02.180] 也平时
[25:03.580] 都少了，基本上不用怎么走。
[25:06.210] 一到礼拜六礼拜日就我没法走时间。
[25:11.160] 按理说副驾驶
[25:14.200] 其实
[25:16.400] 你明白客户，
[25:18.200] 我看你这么忙，还要找你不给你提升演员，大家知道基本上拿到车就意识到标本，
[25:25.130] 让今天我一起非常谢谢我妈妈。
[25:27.960] 你
[25:29.410] 我上午出去了，他们都累了，然后他自己来，你自己刚才也不是家人，
[25:38.360] 他们找我聊天，然后问什么给你报价是吧？
[25:43.680] 车坐一条贴在门板聊调节前后，到时候直接搬就行了，
[25:50.540] 然后向上台阶往上，
[25:52.240] 然后回荡倒在
[25:54.480] 向上是倒档，
[25:56.300] 轻轻扳一下是N的，网下是D打，
[25:59.980] 末端一下就挂P挡。
[26:02.170] 好。
[26:05.470] 不要找我，然后我说是这样见他问你给你报多少钱吗？我这是。
[26:12.050] 他没人要买车的客户，
[26:16.010] 这个送给我报多少钱，要看稿件反光镜跟这条一块，
[26:20.470] 按亮了以后上下左右调，然后那边的定位也是按亮了，大家都有
[26:25.250] 包装。
[26:33.800] 咱俩
[26:34.700] 可能镜子烧也挺了。
[26:36.750] 行不行？
[26:37.730] 这是上个客户开的。
[26:40.770] 只要这少一个车，因为DIC本身就多，这事儿到0是吧？
[26:45.890] 这都一样是吧？其实一样。
[26:49.570] 300也这样，就300就是高功率利用率是吧？
[26:53.950] 然后300会多踏板，
[26:56.230] 晚上哪个就两边
[26:58.950] 有一个桃，你俩然后300会多，
[27:01.850] 无钥匙进入这一拉门可以解锁，
[27:04.170] 一划可以锁车，
[27:05.460] 多了些功能上了向开着都一样。
[27:07.780] 我起来
[27:09.010] 我在这不习惯网上
[27:18.970] 带着手刹我不用管是吧？
[27:21.600] 这是所以从那下车就可以走了。
[27:44.620] 慢点。
[27:47.760] 走辅路就行。
[27:51.900] 这给地板油二高龄跟那300感觉不太一样，
[27:56.840] 叫我怎么着过来，
[27:59.740] 前边调头，
[28:02.720] 然后到四季青桥，从C丁四季青桥再掉头回来，
[28:08.880] 确实
[28:10.710] 功率就感觉出来了跟300
[28:15.330] 照片、
[28:17.790] 他没有进，对这个点我感觉得起，不能给脚地板油才行知道吗？感觉他。
[28:23.200] 你看车都上不来，我感觉。
[28:25.510] 300点整个加油对了，
[28:29.860] 感觉动力有点弱，就260上涨到家用的东西，300就是会充分一点。
[28:34.900] 我看那个画面开了开工了，
[28:39.880] 大
[28:47.140] 吓坏了。
[28:49.800] 准备提车了。
[28:52.070] 下午那个车是不是我还得要置换的话就把对吧，太累了就开过来给你评估一下。
[29:04.080] 在这一直走辅路，
[29:09.770] 就得约是吧？一个评估就提前给你约一下，评估很不用很快就辞职走来的，其实都在这。
[29:17.390] 他只要没事儿，
[29:18.940] 评估完了别的车，
[29:20.810] 订单评估A车很快10多分钟，
[29:23.330] 基本上不用打。
[29:25.300] 评估就评估完以后可能就出价，稍微等一等，大概的
[29:30.870] 要个
[29:32.680] 20分钟
[29:34.310] 出价格，
[29:36.760] 我感觉我那车次是200块钱。
[29:39.440] 什么热？就06年的雅阁，
[29:42.730] 流年国三的对湖南有补贴，
[29:46.040] 就9000块钱还是吧？
[29:47.340] 这车置换不有6000吗？然后卖1000我们一般都是外迁的话，你还能买一个5000块钱，我下不去申请，对自己申请，
[29:55.730] 但是特好申请就走辅路，男朋友差不多。
[29:58.760] 到时只要过完户，你从国家网站上就能申请，有没有那流程，你就直接申请。
[30:04.910] 他会打到5000块钱就直接打到你卡了。
[30:07.990] 指标本人的一样。
[30:13.490] 然后报废给1万，
[30:15.340] 白大你这钱又拿不到的时候就没法卖了，我就没法卖钱了那种。
[30:20.780] 报废比如说车不值钱的旧车就没钱，平车只能卖废铁，你要一个小面包是吗？这种车你报废合适，
[30:29.730] 你像正常的车像06年的车你还得卖点钱，你能卖钱你肯定不会报废，报废就不可耻了。
[30:36.170] 前面是灰的是吗？对的，那是越王实惠的。
[30:40.670] 觉得石墨灰还行。
[30:43.140] 什么叫比较深一点？
[30:45.200] 要不
[30:47.680] 那女孩
[30:48.680] 过了半天，我做这部分漆什么怎么说，
[30:53.770] 他也卖300多个。
[30:55.280] 你这个口直行，
[30:58.760] 执行调头正好下楼。
[31:04.800] 要大家一出就给它通车，把老人推出去，对后边还拍恋爱了。
[31:10.800] 我们现在接待客户就这么一个高峰，
[31:16.110] 差不多吃完中午饭1:00 1:30就走，
[31:20.050] 1:30，
[31:21.420] 然后直接就奔到3点去了。
[31:23.400] 过了三天以后
[31:25.740] 会稍微好一点，然后到4点多到5点要快下班的时候又是一个高峰，
[31:30.980] 每天都是里边有一个是每回都是天，
[31:39.350] 到期底下还有人。
[31:41.130] 现在这边离开晚上。
[31:44.640] 7点还有人你不是5:30下班。
[31:47.360] 对，下不了班。
[31:49.880] 原来5:30就围绕他回家了，就平时上班了。
[31:53.110] 现在平时5:30以前周末加班费，平时正常下班，平常现在也下不了，5:30，现在都得7点这么好，
[32:03.190] 比每年看车人都多，今年都不回来。
[32:06.790] 你别还有这一听，
[32:08.950] 大家都认为这车不好卖，鲍鱼消费都觉得不好卖，然后现在说应该便宜。
[32:14.820] 姨舅舅现在这人每年现在销量
[32:18.970] 在最起码这5年之内今年销量是最好。
[32:22.160] 这鞋大家都能报名消费还是怎么着？
[32:25.280] 辨别着来看一下，原来来看车的话，
[32:29.570] 比如客户一聊可能聊个10来分钟后就打开，知道价格就走了，不是买车，比如说明年买车今天就开始看。
[32:37.290] 对，现在这客户你基本上特别准，
[32:41.020] 70%都是要买车的，就是寒假
[32:43.640] 价格合适。
[32:45.800] 但是这一谈就两个小时，
[32:47.850] 所以我们就没时间，就这一个客户可能一谈谈生活的时候，
[32:52.950] 又有三个人找你，你说你怎么弄？
[32:56.010] 谁知等就只能是这样。
[32:59.680] 所以现在我们根本不够使整个展厅的销售顾问都不够吃，你们知道多少销售？
[33:06.530] 然后30
[33:07.510] 30多了不好使，每天都在几上百人得上，昨天190波客户进店，
[33:13.540] 我们总共昨天上班33个销售全把全起来了，不许休假是吧？
[33:19.140] 190多，现在你们销售已经起到休假了，
[33:21.930] 几百六礼拜日不用休息，平常可以
[33:24.570] 你就一周休一天。
[33:26.340] 开着。
[33:28.090] 还好。
[33:29.530] 我说你这卖车越多，你这么远，
[33:33.330] 累，等你来也没有精力，当时你们不想卖了，
[33:39.260] 因为你不是说你车卖了就完了，你车卖了后面还有好多事，
[33:44.180] 约交车，
[33:45.550] 然后到时候办临牌交税约验车全是你账上。
[33:52.360] 你这1个月你们20个车你试试，你的客户你都记不清谁是谁，累死，
[33:56.910] 是吧？有时候你找你了，你这么萌，我说小刘过来，
[34:02.840] 然后在想我他过来干嘛来了，不让你再想
[34:07.260] 你哪年
[34:08.690] 你是哪年的？
[34:10.480] 晚上89年了。
[34:12.550] 我不能叫你小牛了，
[34:14.740] 叫你给我走。
[34:15.940] 刘哥。
[34:18.820] 92
[34:22.720] 钱
[34:24.880] 谁知
[34:26.400] 二
[34:31.180] 跟着车子这个不是私家车，不是
[34:34.280] 啥事都黑的，应该是
[34:36.840] 售后修的车来吃，
[34:38.840] 然后他不可能跟他们一块一开始绕一圈才回来。
[34:41.960] 应该是车
[34:44.360] 拍对象。
[34:50.970] 动力稍差别的，
[34:54.170] 还是跳开来。
[35:03.000] 媳妇喜欢没办法。
[35:05.470] 他没给你来，我们早上去哪儿去奥森去转一大圈，他累了我就自己了。
[35:11.320] 我说
[35:13.440] 要不一块过来，暑假他平常开车吗？
[35:15.960] 怕不开你说他赶紧先带他让他试试什么，你俩都一般
[35:21.270] 爱我就够了。
[35:23.120] 你不用直接开一个小型
[35:26.170] 直接走还不错这个市场。
[35:31.750] 对，私家车不用。
[35:33.560] 你们想象不是帖子了，第二。
[35:35.320] 对。
[35:36.370] 私家车在那个系统里面是常常的管教。
[35:39.460] 对印刷质量。
[35:53.500] 比如说
[35:54.660] 我开的时候，比如说突然闯一个新人，他是不是前面会报警，他会刹车，他自动他会知道会有显示，我说前面有个人是什么，他有个红色的三角里边一叹号，
[36:04.650] 用于汽车一叹号，
[36:06.320] 他目前开的时候那种对行人这样say回来了，这样C回来了，停车停转就行，停车关系吗？不用拐，
[36:14.770] 就停在车位上，你说也说是吧？
[36:18.650] 然后挂到墙上是到达
[36:22.640] 国号。
[36:24.470] 好车我给你扔门口了。
[36:30.060] 放不用听特征，只要平静也行，
[36:33.710] 坏事就行。
[36:35.240] 行哥那行，马上就走了，快点。
[36:38.580] 按一下行。
[36:40.380] 开断。
[36:42.280] 但你行他P挡
[36:45.370] 看图片他在矿上P档就行了。
[36:50.990] 这张马这车马上就走。
[36:53.610] 到了。
[36:58.120] 你还有时间跟我聊什么？
[36:59.780] 我这会儿估计没戏了，这会就搞两里边有两客户，
[37:06.030] 微信都要个微信聊会吧？
[37:08.730] 我给你算价格。
[37:10.060] 赵薇。
[37:11.320] 那就没人跟我谈了是吗？然后直接回去了，到我微信我给你发价格，我给你解释一下，你要你开车了吗？不太多了。
[37:19.910] 不要走可。
[37:21.680] 到时候
[37:22.590] 现在是优惠政策是一样的，然后比如说你分期就到了咱们东西，
[37:28.310] 所以结果而且有些傻也可以献歌，比如我当时提车的话也不用场面看要什么颜色，
[37:33.580] 我有黑色的黑色，
[37:35.440] 黑色白色床前都有车。
[37:37.180] 别吵就不行了，觉得。
[37:39.360] 就得大了看你买的不用。
[37:43.200] 不是还那价我家。
[37:44.730] 装那边便宜点的。
[37:47.630] 我们这好多家不了。
[37:50.230] 比如你看你家什么东西，
[37:52.040] 贴膜、脚垫、记录仪吗？
[37:56.390] 办法。
[38:03.620] 贴膜那些都没有。
[38:06.610] 常见贴膜脚垫，然后记住汽车就离对就配置什么的，咱们这加不了，比如说你想加一个比如说黄龙骨是吧？如果想加后排座椅加热。
[38:15.970] 佛教关于柏林之声音响不行，那些我们了对不对？
[38:19.770] 你在美国可以说到这是吧？
[38:24.310] 稍后跟您聊，回头。
[38:27.210] 微信。
[38:29.060] 不是哪天我只是打开原来。
[38:31.190] 一一块的中国人太多了，让我找一周一到周五你来了上班，关键是我要是我出去了，
[38:36.950] 反正
[38:37.660] 主要周六周日人才，
[38:39.930] 平时我上班我回家的路也是假都知道什么呢？
[38:43.770] 知道我上班没时间。
[38:46.580] 下班
[38:48.310] 下不来了。
[38:49.550] 下班你赶小吗？我下班了，我们反正7点多了才走了。
[38:53.520] 我来这6:00可能
[38:55.360] 接下来咱们来聊聊。
[38:57.800] 行，到时候我下班来找我那天周末，
[39:01.110] 你说礼拜六礼拜日早上A
[39:03.620] 一上班来是吧？10:00 11:00没什么人，
[39:07.160] 越下午越多。
[39:09.220] 让我们没事儿，不忙的时候都没问题。
[39:12.330] 咱俩聊聊时候被
[39:14.770] 我先走再慢点。
[39:31.270] 谁知
[39:51.260] 一
[39:53.590] 走。
[39:59.820] 号
[40:00.720] 数据。
[40:02.800] 数据
[40:04.750] 数据
[40:05.600] 数据
[40:06.610] 坏。
[40:08.830] 的
[40:14.780] 的
[40:17.130] 的
[40:19.240] 远场
[40:23.920] 的
[40:26.270] 的
[40:30.000] 五
[40:31.180] 的。
[40:33.380] 来嘴巴过来聊聊的另外报价。
[40:40.590] 想到了就
[40:44.160] 跟他聊聊，但是需要时间。
[40:47.950] 像现在如果订的话，大概
[40:52.170] 号
[40:55.360] 颜色白色，
[40:59.520] 灰色，
[41:03.120] 的
[41:08.540] 三
[41:09.700] 还是
[41:12.230] 的。
[41:16.200] 基本上没问题，你说的配置
[41:23.910] 话。
[41:25.050] 的。
[41:30.360] 好
[41:40.760] 这个是绿色，
[41:43.320] 然后黑的灰的，
[41:47.080] 有过那事。
[41:49.620] 还是黑的。
[41:51.610] 中心中的东山羊在那边。
[41:55.120] 中国只是只要是不知道这两个1:00的话，最快的一个是6月15号的，
[42:03.570] 快的话在9月9月份9月
[42:06.940] 9月8日中旬，反正能今天说大概是9个月，但是具体的我们确定不了。
[42:13.070] 9月能到应该9月中旬左右，下午也是这样。
[42:18.440] 这是最快的一点，6月6月6月份生产的一般是三个月。
[42:22.960] 这黑车冬梅是烧伤灰车棕内饰是吧？
[42:30.340] 您坐会等会我一会我先跟你说。
[42:35.630] 灰的。
[42:37.070] 什么不是的？
[42:39.320] 这样。
[42:40.330] 到底是不是你们现在最好卖的颜色内痔，还是外边外面最好卖的黑的，卖黑的最多，你看我们现在后面的车
[42:52.930] 电话
[42:54.160] 全是黑的。
[42:56.130] 这些都有7是非代码，
[42:59.540] 就黑的多，然后有一个灰的，
[43:01.820] 989是绿的。
[43:03.820] 有点绿的比较。
[43:06.310] 然后剩下都是黑的，所以说黑的好卖。
[43:08.830] 所以我们进来也是近黑的多。
[43:12.710] 对，因为这车本身就是偏商务。
[43:16.460] 我们是什么样的自己开车？
[43:19.740] 他没给我灰的，灰的就是黑。
[43:24.240] 太深了。
[43:26.180] 真不喜欢那里边红色是哪里的？
[43:30.270] 的？
[43:33.250] 看着表也不白，
[43:38.190] 白的是黑的。
[43:41.050] 白白
