[00:06.610] 你好。
[12:24.290] 原来觉得
[12:26.490] 差差一点，对草原成功的也是穿
[12:31.400] 号把党一边大他就被提升，设备可能更高一点。
[12:36.530] 最主要的U盘主要这两天是吧？
[12:40.280] 不一样，对。
[12:42.630] 太阳这个可能也有点
[12:44.870] 有不同的感觉出来了。
[12:47.590] 行，咱们用那天就给你简单介绍一下行吧？
[12:56.660] 咱们一会儿有E级车的300乘试驾，
[13:00.200] 咱们可以感受一下，行，那时候我做一下感受一下，有给我推荐一个，我记得应该是OK的，
[13:08.220] 应该是咱们想看到的数据，好好
[13:12.050] 上面的来。
[13:14.900] 咱们先用这台车给您给他介绍一下，好吧？
[13:18.120] 首先咱们一直说它分为两种风格，一个是立标，一个是大标，那么绿标的话它的商务性会更强一些，因为它前脸采用了很多镀铬的装饰，
[13:27.870] 那么大标的话我们采用的这种大的运动型的隔扇设计，所以说看上去更加时尚一些，
[13:33.720] 两种风格，
[13:35.940] 咱们前大灯全部都是LED封装及效果还是非常不错，在各种路况都能用好多照明，
[13:42.260] 立标的下唇跟咱们的运动版的车还是有一些区别的，
[13:47.570] 这里标的话可能会比较
[13:49.550] 规整一些，大表的话会可能有一条那种有两道叫什么哥哥综合度假，
[13:55.730] 涉足说说感觉对运动感会更强，要求总量
[14:00.720] 特别长。
[14:02.190] 然后你介绍一下，因为立标它的风格不一样，所以说龙骨的话也是跟这个车
[14:07.000] 相匹配的，它采用这种多福阁权运动版的车型，采用的是一种双5个人，
[14:12.280] 两种风格不一样。
[14:14.100] 最主要的话我想给您介绍的是他这个车的采用是自适应空气悬架和自适应敏捷情况，就是说它可以根据路况的实际情况来自己调整文化的软硬度。打个比方，您现在在四环辅路上有很多井盖或者减速带
[14:28.050] 在小区里面，那么它会根据路面的这种连续的颠簸的情况，自己来调整悬挂的软硬，我相信您做过很多车，
[14:34.390] 有的车很舒服，
[14:35.620] 有的时候消相对来说硬一点，但是来讲的话各有各特点，一点的车在高速上行驶非常安全。
[14:42.500] 那么如果说软一点的时候会更加的承诺会增加出去，但是都有问题，因为它软的车上高速它不稳定，
[14:49.510] 他用的时候又出，所以说这个就可以综合这两种情况给您提升到更好的一种价值和趋势。
[14:55.430] 那么第二点就是我来咱们介绍一下咱们这车的内饰，
[15:00.450] 一级车我们从上市的开始到现在你网上看到会有很多评价，
[15:06.510] 其实E级车来讲的话，它的内饰做工真正是让人很亮的，就是说他的墓室也好，实木的故事，
[15:13.310] 还有皮革包裹的中控台以及它的圆形的空调出风口，还有我们两块十二三寸的大屏幕，
[15:19.390] 就是说你坐在这个车里边，感觉这个车的档次绝对是豪华。
[15:22.840] 是比较足的。
[15:24.720] 另外的话就是他座椅的设计以及包裹给你身体的这种感受确实比较舒服，老话说开宝马坐奔驰，奔驰主要的特点就是说豪华部分书库，
[15:33.950] 要说说建筑，这是它的一个特点，那么同时在E级车来讲的话，我们第300级以上的车型全部配备了这种
[15:41.890] 全景天窗给你带来什么效果，就是说很好地通过通透性，那么你向同级别的宝马5系也好或者奥迪的车也好，对吧？像你家里用的奥迪车也好，
[15:51.620] 他没有这么大的作用，咱们只有奔驰的面积最大的对手，你感受视觉冲击力非常好。
[15:57.340] 另外在后门你看那车的部门不一样，跟咱们普通车
[16:01.700] 不同，
[16:02.830] 这车的后门跟我们迈巴赫的后门造成一样的，因为它在这个位置有过一个单独设计三角形窗，
[16:09.450] 设计细节就是普通的轿车是不具备的，因为普通的车是在车门上，
[16:14.970] 所以说这样的话涉及上下车会更方便，因为他属于常手续的车，咱们家里人或者是说
[16:20.270] 后排乘坐的人上下车更方便更舒适。
[16:24.630] 而且在我们豪华车型上面的话，后台我们还配备了这种
[16:27.980] 电控电动调节，也就是说一般的车后排是固定的，他没法调节后排的
[16:34.450] 靠背的角度，咱们那车你长时间乘坐的话可以调节它的角度，这样的话相对来说会更舒服。
[16:40.670] 行，然后咱们在北部这块能给您简单介绍一下，
[16:45.300] 咱们北部采用的是一个漫反射的效果，就是说当您这个车比如说在这种
[16:51.410] 月亮的方向的时候，它尾灯的亮度会越高，
[16:57.570] 然后起到一个很好的组织作用，比如说我们一起出行的情况下，那么在天不是特别亮的时候，它也采用一个相对来说比较温和的这种光，她不会刺到我们候车的
[17:08.390] 跟随着这个车的一个
[17:10.560] 事件起到一个分能主要起到一个警示的效果，但是不会刺眼，
[17:15.450] 这是它的主要的特点。
[17:16.900] 另外的话这车前后牌都有6个探头的雷达，
[17:20.440] 您基本上没有死角，360度基本上没有私交，你前车雷达是那个姿势了吗？就是说
[17:26.810] 一一进来以后自己就亮了，就不用挂到了，这代表
[17:30.700] 一进来以后对当然了这都是最标配的，现在这是最简单的，车除了您说的点以外，
[17:37.630] 他还标准特别的自动模特问题，像这种纵向的设备或者摄像设备，只要符合他的性格要求，它就可以自动拨的东西
[17:45.990] 比较方便。
[17:47.820] 行，咱们到下边咱们给你介绍一下其他的一个特点，什么内饰这个是。
[17:54.970] 好。
[17:57.470] 给您一张名片成像有。
[18:01.000] 内饰是棕色，
[18:03.720] 然后这车还有米黄色的，还有纯黑色的，就这三种内饰可以选择。
[18:08.120] 一般的话选择棕色的客人会比较多，因为外观的颜色一般大多数会选择黑色，但是里边带黑的话会有点暗，然后如果他选的米色又不太紧张，像您穿的这种仔裤的话容易染色，
[18:22.970] 那么棕色的话会调剂一下
[18:25.320] 这酱多少钱？
[18:26.120] 这个车的话优惠应该在6钱6万到7万块钱左右，具体的话说
[18:32.150] 比较大一点。
[18:33.190] 使你算一下，对比较凉快，他在网上给算一下，咱们你到前台做个登记。
[18:39.160] 没咱们再你楼上交易，
[18:42.620] 交易楼上没有白展车，因为GRE的限制特别少。
[18:48.210] 行。
[18:50.750] 理解。
[18:51.840] 342。
[19:12.420] 他这
[19:13.560] 这个是300。
[19:14.940] 这也是300，买车刚才看那时候也是三百一三一三百对OK。
[19:22.250] 配置跟你去过推荐配置差什么，
[19:25.260] 看到香不香跟你讲，然后后面。
[19:28.580] 以及
[19:30.350] 后来订这张脸。
[19:31.650] 就这三项是吧？
[19:33.350] 什么还有文武。
[19:39.490] 轮毂的造型不一样。
[19:42.080] 我觉得老师想这种生活中多数用的不喜欢那种的，只能选择这种。
[19:49.310] 那个是什么龙骨看一下。
[19:53.280] 现在没一搭，然后后来什么
[19:56.190] 然后就是说虽然不好打理，
[20:01.040] 但这种启动
[20:22.120] 咱们带您看一眼西面跟皮革的样板，那边有个漆面跟pig一样。
[20:25.740] 满墙你可以瞧一瞧。
[20:59.690] 和。
[21:09.740] 这是咱们漆面跟pig要买，你可以简单看一眼，然后这个车卖的比较好的。
[21:14.540] 确实也就是黑色卖的比较多。
[21:17.220] 里边的话就是棕色的资源，就是棕色座椅，然后还有这种米黄色，然后还有纯黑色。
[21:23.110] 这种作业不也就这样，行，咱们这边再用那个屏幕给您看一眼，简单介绍一下。
[21:29.840] 然后我就加
[21:34.560] 运动的两
[21:35.560] 点到晚上色又这里面
[21:38.180] 这种看他合适。
[21:40.980] 是这样的，然后像家庭一样就是比较严重，但是一个管道特别蓝色，
[21:45.910] 然后用新媒体的袋子，你看一眼的颜色，
[22:01.010] 你看这龙骨，
[22:02.380] 咱们
[22:03.550] 这属于轿车版的轮毂，
[22:05.350] 然后运动版的龙骨的话就这种
[22:07.620] 这种，然后现在
[22:10.800] 然后来这边在日本的
[22:16.210] 路上盆。
[22:19.050] 你看颜色的话有白色、
[22:21.160] 黑色、银色、红色、蓝色，对蓝色和红色就这两种。
[22:26.210] 蓝、宝石蓝这一种，
[22:28.770] 还有灰色的目光指挥上飞船，
[22:32.870] 无颜色。
[22:35.020] 咱们整个先给您介绍到这，对于展开讲解这块您看什么一定会有问题，没有，咱们邀请你做就行，价格感受一下您都来了是吧？驾照你带咱们经常结果作用，我不喜欢假假的。
[22:45.550] 行，您介绍就有用。
[22:47.750] 看不上。
[22:50.570] 谁知走右手边，
[22:54.930] 就你办手续，行行行，你就在这等我就行。
[23:01.710] 这等会。
[23:14.670] 300的药。
[23:17.400] 有13买私家车。
[23:18.210] 车没在哪，边界外界了，160在吗？
[23:24.590] 锻炼，
[23:28.750] 完了加MB。
[23:30.120] 对。我没有车是谁开走了？
[23:46.190] 张亚威、
[24:11.080] 杨梅。
[24:12.450] 姚伟你那1204完了吗？
[24:14.250] 这个是多少钱？45,000 445,000。
[24:18.020] 行，你回来。
[24:19.200] 你回来给我就行，你喊我先找找完了。
[24:25.070] 咱们年龄
[24:26.240] 电话给我给您发过去问题电价。
[24:30.070] 这样
[24:31.390] 自己的那天负责134号，我的要求公平在哪里？
[24:37.030] 那种调调6.777，
[24:41.750] 所以我还想明白他9点到这儿，然后你在做完以后发现和去到公司他来不及，也然后直接去。
[24:50.630] 你这边饭菜终生伴你快乐。
[24:52.720] 辛苦了没办法，你等着他在这用身份证应该半天车。
[24:57.830] 原来。
[24:59.650] 给你拿过来。
[25:00.960] 你好，我说有什么公务员，
[25:05.070] 这样。
[25:05.980] 是这样。
[25:07.940] 李院士今天在北京的。
[25:09.940] 你没有吗？
[25:12.740] 怎么办吗？
[25:14.090] 我们现在身份证
[25:16.150] 送过来吗？
[25:20.790] 要不这样您把送过来，然后明天上午您比如说在新车手机，
[25:26.320] 我们把这带着身份证以后去结算客户，
[25:30.160] 中午之前把东西送了一下午的火车，
[25:35.330] 因为上午跟范鑫哥的时间。
[25:38.950] 对签合同条款
[25:43.030] 的。
[25:46.490] 三。
[25:51.350] 虽然它两边
[25:52.820] 我们这边打工开始办公了，但是办公你们今天给我
[26:05.950] 不会的，因为是这样，如果要是明天现场回来，
[26:17.030] 方不方便？
[26:24.950] 的
[26:26.000] 五
[26:29.800] 的
[26:33.650] 号。
[26:35.960] 希望
[26:37.380] 的
[26:42.980] 什么？
[26:44.020] 你不要跟我说明天到公车，
[26:46.780] 人家说得
[26:48.040] 家伙不老把他们送来，明天一早漂了都不吃午饭，赶快去，那组长我都会通报了。
[26:56.060] 他有那么着急吗？吴总我不用说了解，反正还个人平时到那对。
[27:02.070] 不愿意去新城那边，他想到这一会回来了，进去了来不及了，下午1点不我都走了。
[27:09.830] 先有钱了可以。
[27:17.480] 没事。
[27:18.270] 没事过去了。
[27:20.920] 对。
[27:23.110] 好了，打多少架也就一个小时了发给你说。
[27:27.160] 您说明白了吗？这得周一到周五看你们河南郑州上班，他把身份证寄过来，咱该怎么用怎么用，
[27:34.510] 要不是或者怎么过完了等等，让他一礼拜了，他又着急了。
[27:39.830] 我上次没说就周六定了吗，就这么定，给他约着他他回来了。
[27:45.600] 我要把身份证带着送过来，
[27:49.540] 受不了你明白你找谁去办你怎么办？这边开始办了吗？还得办。
[27:54.540] 第一个要把工作。
[27:55.500] 咱用户玩去赶快往下做，
[27:57.640] 哪怕不行，明天让你做一车，我去取，他说行。
[28:24.220] 麻烦您帮我签个字。
[28:26.530] 咱们一三百的升值价值在外界了，咱们那个是一下1260什么时候，因为他那个都是一样行吗？从舒适度没什么区别，咱们这边帮我冲刺。
[28:39.730] 没事。
[28:41.810] 好
[28:47.630] 行，这等着你说好。
[28:49.340] 然后这边就是咱们收假协议，您看一眼协议的内容，
[28:53.700] 主页主页上面的基本信息，下面主要是我们注意交通安全，别违章，如果违章的话就咱们自己承担，如果说不小心发生交通事故的，还是对方责任对方承担，
[29:03.360] 我们责任我们承担就行了，你签约人家名字。
[29:10.020] 行，然后给您说一下，这是咱们使用下面图，从咱们展厅门口掉头跟
[29:16.870] 最后底下掉头根楠木桥得掉头出来，这个位置是换成Jay。
[29:20.520] 对，来回大概9公里去的时候，咱们去狮城回来在时间好吧，稍等几分钟，那车出去了马上回来咱们就去是吧？
[29:28.390] 咱们
[29:32.800] 然后我要这样子他都寄回了，我都会用这边工作。
[29:41.230] 我住在干嘛他们？
[29:48.960] 哪些公司了？
[29:50.380] 工作的收入。
[29:52.430] 最后我要把这条路我认为
[29:55.870] 的
[29:57.590] 14,000多。
[29:59.230] 你这么晚
[30:00.470] 那么说拿双手老板要编制，
[30:04.750] 就把房东的房子
[30:08.470] 有时间找您在这里蓝天我跟他交流，行行行了。
[30:15.190] 没问题，我在这里。
[30:20.630] 数据
[30:23.940] 坏数据
[30:26.240] 数据
[30:34.770] 五
[30:38.700] 场。
[31:43.360] 的
[31:59.390] 七
[32:05.710] 场
[32:06.950] 的
[32:09.250] 二
[32:16.800] 数据、
[32:18.040] 数据、
[32:21.410] 数据、
[33:12.800] 数据、
[33:15.240] 的
[33:17.150] 数据
[33:20.370] 的
[33:29.850] A
[33:33.960] 白色的了。
[33:40.050] 坏。
[33:44.960] 对。
[33:45.840] 话
[33:47.810] 远远
[33:54.870] 话
[33:55.780] 改变
[33:58.520] 的。
[34:01.390] 不是规划。
[34:19.800] 的
[34:23.470] 的。
[34:25.150] 不要好了，你把ol帮我接一下，我就写上时间了。
[34:31.430] 场
[34:33.080] 场
[34:37.640] 场
[34:40.120] 数据。
[34:45.770] 谁取走？
[35:36.410] 收到了。
[35:43.500] 收到。
[35:46.300] 好像要
[35:48.840] 你在哪儿在哪儿呢？
[35:50.680] 门口了，后面有车我回去过来了，在前头的，
[35:54.710] 你就放边上，我马上回去带头找客户。
[36:13.790] 咱们13版是哪个？
[36:17.020] 订车哪个138一天买不会买车试驾是吧？咱美女上海88160
[36:23.730] 0260。
[36:25.270] 120好像一个是7月份行，四哥你能听王老。
[36:29.520] 75我知道小妹帮忙填写一下。
[36:34.150] 弄。
[36:38.930] 我也接不了，我来接这个。
[36:46.110] 一次性。
[36:48.250] 今年了，
[36:49.540] 刘先生能到前台车回来了，咱走对乱。
[36:55.520] 一起穿花衣，
[36:58.440] 别的国家名义接差距，这么这属于两门轿跑车，
[37:02.940] 对进口的质量，
[37:04.980] 那么差价差不乱？
[37:07.320] 外形来说就之前
[37:09.300] 两门了。
[37:11.170] 要
[37:12.400] 常规的话4门的照片
[37:14.840] 而且他俩刚才他也是156明天的班机
[37:21.150] 不完全一样。
[37:22.630] 24。
[37:56.570] 明白。
[38:21.120] 好吧？
[38:28.700] 好了。
[38:35.000] 花
[38:39.290] 周顺。
[38:41.840] 这两杯小杯结论有点也回来参加了。
[38:46.080] 6。
[38:47.650] 好了，
[38:51.010] 咱们先市场在试驾连坐旁边。
[39:07.070] 走
[39:09.590] 去的时候我来看您主要是体验一下，然后回来时候您自己开。
[39:31.110] 数据
[39:32.770] 的
[39:34.750] 号。
[39:42.330] 没事都是一样的。
[39:43.490] 内饰都一样。
[39:45.440] 他分几种颜色，这是纯黑色的。
[40:19.850] 咱们这个是采用了两块12.3寸的大屏幕，
[40:23.320] 然后是分为仪表显示，还有主要是多媒体显示。
[40:28.350] 然后咱们这是260，因为他是不是全景天窗，
[40:32.070] 就是说他没有300，看上去更显档次，
[40:36.480] 然后300后排还可以单独调节，
[40:46.600] 186。
[40:49.360] 然后这个车里面是有64种颜色的环境氛围灯，你可以根据自己的习惯来调整他的颜色，
[40:56.500] 包括喜好。
[41:02.290] 车开起来也特别的款。
[41:03.750] 然后后排你觉得空间其实
[41:06.790] 还是比较大属实的，对，舒适度还是比较不错。
[41:12.770] 单纯的车从内饰的
[41:16.260] 视觉感官感官上还有
[41:19.240] 对咱们身体的这种支撑和包裹还是做的比较不错。
[41:24.770] 比如说品质的话，相对来说比其他品牌高一些。
[41:28.980] 作为咱们家庭用车的话，
[41:33.690] 面条起来。
[41:35.140] 在哪那个是不用管的，有可能是更换过。
[41:39.640] 因为我们有一些
[41:41.470] 车轮子的车跟试驾出来道歉。
[41:44.970] 这个对就是他自己颠覆颜色。
[41:50.350] 现在咱们这款侧采用的是酒书的电教，
[41:53.380] 您在驾驶起来的话加速起来，
[41:56.430] 评审都非常好，
[41:58.610] 而且每个雕塑的话，
[42:01.230] 在我们日常平时可能会比较慎重。
[42:04.900] 二三百虑，
[42:08.710] 260是135千瓦，
[42:12.500] 300的话是190千瓦，是
[42:18.210] 差了大概60多平米。
[42:21.790] 茶叶哪里拆迁款，
[42:23.800] 还有好多平台算差多少？
[42:26.680] 查询里面
[42:28.160] 靠这个不声音响，后来就电动座椅调节后排电动遮阳帘，
[42:35.220] 还有一个是抬头显示。
[42:37.970] 350块钱，对并没有赔钱。
[42:40.650] 还有盲点辅助。
[42:44.400] 主动什么系统？
[42:50.030] 那个点
[42:53.660] 而且刹车也比较线性，奔驰的车主要的特点就是开始做的都比较舒适，
[42:58.560] 不会感觉你加速或者降速比较突然，不会的，
[43:04.180] 这就是奔驰的一个核心的亮点。
[43:10.000] 包含着应该做的
[43:12.060] 整体
[43:16.840] 空间后面坐着，
[43:18.420] 尤其哪一款
[43:20.650] 没时间分析，
[43:29.620] 其实空间是一方面，还有一个车整体性很好，
[43:35.390] 然后舒不舒服内饰的合同，
[43:39.730] 他看上去有感觉叛乱，
[43:54.770] 商定
[43:56.660] 现在目前有少量现车，
[43:59.960] 不需要
[44:04.070] 看您女儿说大概小12月都是现在商业车险。
[44:09.920] 现在并不这边早上稍微有点
[44:13.190] 货场也了解起来学一下。
[44:19.840] 咱那个厂房是怎么说的？
[44:21.980] 之后就把您的车开过来，咱们让评估师给您做一个评估，然后的话
[44:27.160] 对。
[44:28.000] 然后咱们
[44:29.900] 可以。
[44:31.040] 所以刚好价格直接咱们签个协议。
[44:33.880] 这边指标我们就帮您弄出来了。
[44:58.520] 上班你需要不用本人去，但是得需要有人开着车。
[45:02.830] 酒店咱们不能开车可以代办，咱们有人开车
[45:15.690] 买车。
[45:17.330] 你这是在进口没有吗？
[45:19.640] 你上牌还是客户过户基本上都在华强那边过。
[45:26.120] 上牌的话在对742邀请的场大型那边
[45:32.110] 您舒适度感觉情况。
[45:36.210] 可以吗？
[45:37.080] 后来还有这种软头枕，全部这程度安徽首富一些，
[45:41.320] 一会咱们马上到换乘点了，谁来开？
[45:44.180] 打开好吧？
[46:05.270] 车起火了。
[46:34.070] 咱们调整一下做一下。
[46:36.440] 方向盘和后视镜。
[46:38.770] 前后高低靠我调的比较低。
[46:51.560] 编制的对的是。
[46:57.830] 惊魂。
[46:59.120] 行不要？
[47:00.720] 你看看可以。
[47:03.040] 看看。
[47:04.310] 踩着刹车单位在
[47:06.170] 看一下买一下是这样。
[47:08.740] 岗位它显示在左侧里边很重要。
[47:11.940] 地道地道。
[47:13.840] 使劲。
[47:19.250] 得有人倒了。
[47:21.590] 人调走了。
[47:27.730] 一直到
[47:29.310] 晋城路。
[48:48.170] 辅助没有。
[48:50.270] 你说的
[48:51.790] 顶配的要求，
[48:54.480] 比如咱们有没有
[49:01.070] 豪华的有一三百头。
[49:03.250] 要
[49:04.660] 整数相板
[49:16.560] 也好看，
[49:38.320] 它对它的功率，
[49:39.440] 他的功率是多大功率，比原来的S300
[49:43.240] 180千瓦的自己的车还要高，
[49:45.960] 自行车也才180
[49:47.990] 二人，最高已经达到190千瓦。
[49:51.150] 30队已经超过3.0的一个功率机车是
[49:57.350] 有点问题，
[49:58.380] 属于尾货这个东西也不能叫真正意义上的变化，
[50:03.540] 他只是在你匀速行驶的时候，加速的时候给你用了这个电机的推动力，
[50:08.250] 工作基础。
[50:09.910] 但是来讲的话就是他
[50:12.500] 还是我定义为汽油汽车
[50:14.750] 高位相应的就是在日常的使用中会接一部分号，
[50:22.990] 加速。
[50:24.360] 比如说由贺正常开的话，这车应该左右都有车的对吧？的就没有特有。
[50:32.810] 对工科那种。
[50:35.180] 什么地方？
[50:37.470] 而且一般
[50:41.310] 一年或14,000
[51:04.830] 时间，
[51:05.540] 或者说低速刹车在
[51:08.090] 因为
[51:08.960] 他也有这种感觉，整体性
[51:10.950] 都还是不错，反正整体就比较强。
[51:14.010] 有些车你开起来以后，它整体就不够车发，
[51:17.000] 奔驰的时候看起来比较
[51:19.320] 这就是说开的东西有什么感觉了，人车合一那种感受就比较
[51:24.400] 等到了就行了。
[51:35.360] 直接进来。
[52:22.600] 到厅里等我。
[52:24.060] 可以。
[52:25.100] 我已经参加了，可以。
[52:27.510] 行吧？
[52:28.880] 上面直接批评对一下就到底了。
[52:48.810] 倒过来了。
[53:00.290] 我在这边。
[53:39.680] 二了。
[53:49.240] 到了
[54:15.720] 这个
[54:16.740] 车辆公司价格牌
[54:18.730] 6号下
[54:21.960] 咱们E300，
[54:24.040] 对版运动版价格4，
