[00:00.000] 您带着的吗？
[13:57.130] 在除了保修期延不了了，
[14:00.890] 我先给您
[14:03.430] 保养是一个医保，
[14:07.920] 保养就是属于质量问题，
[14:13.240] 保险费钱
[14:15.820] 保险。
[14:17.390] 保险就是上保险的。
[14:27.920] 了。
[14:29.430] 晚上这边还有整车的，
[14:35.020] 整车的或者是核心部件，
[14:37.450] 你那车用的少，办核心部件的也比较合适，
[14:43.880] 核心部件延长一年是3800，延长两年是7600。
[14:50.510] 为啥要不要紧？
[14:54.860] 对，您没事儿，这两天您要
[14:59.630] 可以
[15:07.580] 的。
[15:10.180] 的
[15:17.000] 用花
[15:21.160] 场
[15:25.480] 场
[15:26.370] 花
[15:27.730] 数据
[15:31.960] 花
[15:33.190] 号
[15:34.420] 数据。
[15:40.200] 坏数据
[15:46.470] 场
[15:50.090] 场
[15:52.770] 数据
[15:56.550] 数据、
[15:57.940] 场、
[15:59.220] 数据
[16:03.120] 场
[16:04.810] 数据
[16:07.260] 数据、
[16:10.770] 数据。
[16:12.380] 稍等一会儿。
[16:15.630] 您先吃饭，我给你发一圈。
[16:29.680] 主要是
[16:33.550] 微信
[16:35.960] 场
[16:54.990] 场
[16:58.200] 五
[17:02.100] 数据
[17:05.760] 场。
[17:07.800] 句
[17:10.930] 五
[17:14.000] 场。
[17:17.700] 您的手机号码。
[17:24.960] 一会在这
[17:26.930] 测测。
[17:29.410] 数据。
[17:30.430] 一会给您发个圈。
[17:40.990] 五
[17:44.800] 数据
[17:46.530] 场。
[17:48.810] 二
[17:58.800] 场
[18:02.120] 的
[18:05.850] 三
[18:10.600] 五
[18:13.740] 674
[18:21.760] 三
[18:26.140] 场
[18:33.660] 句
[18:34.530] 第
[18:39.440] 的
[18:56.270] 放。
[19:01.120] 的。
[19:06.670] 您这车上次保养是做的B保换了机油机滤，空气滤芯，还有一个
[19:12.040] 空调滤芯，还有一个沙石油都换了，
[19:17.610] 您火花塞是公里数没到，但是时间到了，这次公安就下次消化了。
[19:23.590] 在有几
[19:25.780] 基础保养这一项是不用您花钱，但是有两项是需要做了，是建议过来。
[19:31.400] 我给您报个价。
[19:32.910] 一个天窗的机舱，
[19:36.680] 相关设备，包括的
[19:56.290] 您之前保养是存着的，这次是不收费的。
[20:01.820] 三这车是这三个都没做过，
[20:05.660] 也是两公里了，三年了是建议做的自费部分已经算了一些
[20:11.150] 15,000块钱，14,980。
[20:13.810] 4900 1400对1000。
[20:16.540] 吓我一跳已经。
[20:18.250] 说错了，1490发动机发动机机舱，他就是做一个线路养护，把发动机机舱整个清一下，
[20:25.470] 还有发动机的散热这清洗一下，天窗是有一个天窗，两天穿华都是有天窗导轨的，
[20:32.410] 不用的话，它里边也会有一个排水管，有可能会
[20:36.980] 这是需要轻的，还有一个底盘的养户，一般也是在两公里就需要做的。
[20:42.780] 这是跟公里数和时间你那车都应该做一下。
[20:47.140] 我给您看一下您那车的保养记录。
[20:49.640] 推车是上次是
[20:57.540] 这车上次是做的一个B宝崖
[21:00.790] 换的空调滤芯儿，
[21:02.450] 上次换了刹车油了。
[21:04.400] 空调清洗对其他的都是
[21:07.670] 之前上次也是做过一个A网或者机油机滤，
[21:12.310] 这是走过一次保险，所以这几项这次是监狱作用。
[21:17.340] 火花塞正常应该是三年或者是
[21:20.900] 四往锅里，人家公里分差的多一点，我
[21:25.380] 这个号码了。
[21:32.020] 13701121235，
[21:34.420] 1370112
[21:37.630] 1235。
[21:53.520] 保修的保养就是属于保修了，还有是版开心城堡修。
[21:59.810] 其他的这三项
[22:02.310] 您看一下划我的保险单里面
[22:12.400] 交强的。
[22:18.790] 三
[22:21.560] 车损
[22:22.540] 司机
[22:23.520] 有些
[22:25.760] 没有罚款，
[22:27.020] 那就不能让这些。
[22:28.800] 对，你要弄的话只能走车损。
[22:32.150] 走车损险。
[22:33.840] 肯定想不想修它那两块小伤。
[22:37.340] 最后有一块，
[22:39.370] 最后一块和右后有一块，
[22:42.240] 这个就看您对商的要求高不高了，你要说我就想修他一下，
[22:49.190] 他收了多少钱？
[22:50.390] 现在就走保险。
[22:52.050] 我想冒险下次就会了，对，肯定会上浮这个手机。
[22:58.220] 上浮是这样，刚才我也跟您说了一下，如果你要是想走，我也想show他现在办这个事最合适。
[23:05.000] 是这样，这个挺好。
[23:07.470] 您如果要是想想修两次，
[23:11.100] 您可以现在先交一个1498，
[23:14.080] 修一次我修一次左后卫，
[23:17.320] 修一次的时候它会返您2500，
[23:20.420] 等于咱们追了一个就是把明年的保费追了一个1000块钱，
[23:24.970] 他就是一星期间，他为了让客户留在这儿修车，
[23:29.190] 做的
[23:30.410] 活动是保险公司和百率做的。
[23:32.980] 您想比如说您在一年之内他就有71年，你想在今年之内我还想把右边在修一次，等于咱们走了两次保险，
[23:41.630] 下一次他会反应一个2500，等于这车总的咱们是追了一个3500块钱，
[23:47.770] 等于把明年的保费上浮
[23:50.950] 追一下追3500块钱，
[23:53.460] 也不少钱。
[23:54.900] 这就看您
[23:58.090] 听不懂。
[23:59.340] 咱们先正常说，就没这个。
[24:02.530] 我就想修它。
[24:03.970] 明年保费上浮
[24:05.960] 是一样的，都是要上浮的。
[24:08.320] 如果要是想修我不想修，您能考虑都不用考虑，我也想说您就先上一个身上，先上这个之后，他会把明年的保费追一个3500块钱，
[24:21.520] 上浮的那部分就
[24:23.630] 基本上都追回来。
[24:25.540] 对。
[24:27.020] 这块您想不想听？其实我不想说无所谓。
[24:31.020] 那就正常用了，然后无所谓的话就以后也可以收的。
[24:35.290] 以后也可以修你时间越长保费
[24:38.120] 追上浮的要求的对，不知道为什么。
[24:44.180] 不是，如果你一年没出钱，
[24:47.490] 它是一个折扣，两年没出钱又是一个折扣，三年没出险又是一个折扣，你等你4~5年没出险了，
[24:54.110] 你别
[24:55.050] 那就已经很了，4~5年要4~5年保险都没付，4~5年您那应该是去年前年出过一次保险。
[25:04.110] 对，如果要说近几年我去年我输过去，你第二年再出一次也无所谓。
[25:10.970] 如果你要是说我连续4年出厂
[25:14.120] 了，
[25:18.000] 句
[25:20.080] 句。
[25:22.090] 我想我就按这项目给您做。
[25:24.440] 这个是建议做，您可以这是您选择的。
[25:31.520] 要四五年没出险，冷静的赚钱，整钱会让你很辛苦。
[25:40.990] 是这样。
[25:42.870] 就这三项里边这两项是比较重要的。
[25:46.230] 底盘在市北京市里边开着，但是这两项是建议做了。
[25:50.980] 我先把这个删了，您再考虑一下，你要说不需要做我就已经删了。
[25:58.140] 我先您等我一会我先不做了是吧？
[26:03.340] 先把这两块目前已经删了，下次再做吗？
[26:06.580] 行。
[26:07.360] 先做着。
[26:09.480] 您车也是今天就放着，我就把什么一块给弄，中央水再见。
[26:18.900] 什么时候？
[26:21.220] 不计的话得后天。
[26:26.510] 的
[26:39.460] 您用您的手机搜索一下百得利集团，我给您发一个参照。
[26:45.170] 干嘛？
[26:46.520] 后边餐厅
[26:47.890] 保险的二楼
[26:49.920] 团队微信搜索百得利集团，
[26:58.920] 对，你打车回去。
[27:02.640] 对，观众您点我的店内。
[27:08.130] 登录点一下登陆输一下手机号和验证码。
[27:16.310] 检查中央饰板起皮
[27:19.490] 全
[27:24.910] 的
[27:32.510] 稍等。
[27:34.190] 69167。
[27:43.390] 积分多少。
[27:54.440] 的
[27:55.910] 的
[28:07.330] 五
[28:08.680] 数据
[28:10.400] 数据
[28:13.680] 点
[28:17.750] 场。
[28:19.690] 场。
[28:28.560] 的
[28:33.430] 的
[28:35.620] 数据
[28:37.310] 的
[28:43.740] 您这手机号您告诉我。
[28:46.690] 137
[28:48.650] 112，
[28:52.720] 大。
[28:54.730] 您一位是吧？
[28:56.560] 谁知
[29:01.820] 屏幕
[29:07.390] 对。
[29:11.600] 已经开始了，
[29:18.110] 不用排队了。
[29:23.860] 您帮我签个字。
[29:25.220] 您稍等，公司签个字，您等我一下我
[29:31.070] 的
[29:32.500] 数据，
[29:35.240] 买车
[29:39.490] 场
[29:41.880] 联系了
[29:54.030] 行了。
[29:57.780] 您车怎么啦？
[29:59.390] 没事用您手机，您搜一下百得利集团。
[30:05.550] 下午送过来过
[30:12.480] 想，
[30:15.150] 他下午把车放了。
[30:17.820] 行。
[30:19.390] 号
[30:20.950] 在这边。
[30:23.310] 五
[30:24.970] 微信百打是吧？对微信搜索百得利集团就行。
[30:40.720] 场
[30:56.360] 公众号关注
[31:01.090] 功能
[31:11.990] 月
[31:13.800] 的
[31:16.750] 了。
[31:24.520] 你那登着等会。
[31:29.240] 手机号您告诉我一下，133
[31:32.070] 13366886688668816885698。
[31:38.640] 56988了。
[31:41.360] 后面
[31:45.240] 几万。
[31:47.300] 两个，我不知道他俩来了来不了，他又吃不成。
[31:52.740] 行，他谈了下午咱们下午过来行，这就可以了。
[31:58.180] 好了。
[31:58.670] 行。
[32:01.300] 说
[32:20.400] 行了吗？
