[00:00.570] 录音码S90
[19:10.690] ÷11.3。
[19:12.730] 二，
[19:14.660] 税的话2123。
[19:17.640] 保险的话就大概9000。
[19:20.970] 验车。
[19:23.420] 3000. 
[19:57.300] 小红书。
[20:11.600] 咱们现在这贷款。
[20:13.300] 如果想贷款的话，是不是肯定。
[20:15.940] 现在没有免，本来说上个月底的时候开会说厂家应该。
[20:21.170] 下来就从就开始没有免息了。您这贷款是从厂家直接给带吗？
[20:26.590] 厂家没有直接的中国银行厂家现在只有一个极致金融，他不是属于沃尔沃，是属于吉利的。
[20:33.460] 但是我们现在目前做的基本上都是跟银行的。
[20:37.600] 有过手续费也没有联系着。
[20:40.480] 对，在那油站是免息的，我们今天刚发下来的政策是免息的还是免息？手续费的话贷款额的4个点最少6000。
[20:59.880] 能把这页扯掉给我吗？你要拍照片这拿
[21:03.620] 别人单子一开就散了。
[21:15.370] 那天嫂子说要来这边，
[21:18.580] 然后我就等到时候等着咱们过来就一块看着找点礼品之类的，然后一块给你拿到让你拿走。
[21:29.000] 你现在要的话，现在今天我就给您寄。
[21:32.450] 这个是就是他的
[21:35.630] 拿材料这保险必须从那上。
[21:38.150] 保险得在店里上，第一年都083折验车上牌。
[21:41.870] 也是你这的，能你们就给罢了，对。
[21:45.570] 3000块钱，别的也没了，其实都买保险这一块，对，包括您办临牌的所有的费用都在这里边，验车的话，
[21:52.940] 到时候您得开着车去，什么都不用管，眼车师傅会给您掏手机了，对。
[22:01.780] 这样我哪天。
[22:03.170] 我跟回去跟他商量，行行联系一下行行。
[22:07.280] 行我自个就断行。
[22:16.400] 快进来了。
[22:21.720] 一会您要是出去的话，哥您扫一空调。
[22:25.120] 我到老在前台，前台您车停哪了？庭院里边您的扫图片不对。
[22:39.080] 马占干嘛？
[22:42.660] 这是麻烦吗？不是麻烦。
[22:44.920] 马上。
[22:46.710] 天蓝色的。
[23:12.680] 张哥你不是5分钟就能买，
[23:18.070] 我说你还多久？
[23:22.910] 不能了了。
[23:24.630] 谁知。
[23:26.290] 我都。
[23:27.450] 回头了集团的，因为还有他下班，还有真的对，要不然他拿过来。
[23:33.640] 有问题还能找茬，
[23:35.510] 关键是你找完了他不给处理。
[23:38.550] 我找了集采，
[23:41.430] 他们也不管。
[23:42.840] 对，他只要你卖其他你pp我特别难受，在还不能跟情况刚口说。
[23:48.770] 你想一想这事，完了回头明天我也跟后面说一下走了。
[23:53.360] 了。
[23:54.320] 怎么了？客人要不然我看看我看从这里走不走？
[24:01.170] 看清楚。
[24:02.580] 下午
[24:04.610] 我就了。
[24:06.160] 看着货币的飞了，马上有点
[24:09.240] 我们这次
[24:10.110] 不能我有用，应该你们拿出来，对，表现在找你刚才走过来了。
[24:17.420] 到。
[26:18.760] 完全外交早在哪天来了，好了，
[26:47.270] 咱们找到客户的兴趣，找到客户人了，
[27:13.570] 20 90什么上个月最后才买的。
[27:34.480] 这个时候还能再往后。
[27:36.140] 妈调不了了。
[27:37.300] 到了这块做得还如果真要用7个的话，你整体来讲少点。
[27:43.620] 而且。
[27:44.660] 条。
[27:45.520] 后边做这块的。
[27:48.290] 这种靠背这个角度就能这样对。
[27:53.840] 就固定死的。
[27:55.040] 固定死，也不能这么条固定的放开心。
[28:00.570] 对。
[28:02.430] 评估是来了行。
[28:08.480] 讲
[28:12.160] 反正我说
[28:13.390] 我看着公车
[28:17.120] 用你好，
[28:18.600] 要是谁知，
[28:21.620] 谁知
[28:24.710] 这个是吧？
[28:26.150] 风光的。
[28:30.520] 首保的话1万1万公里。
[28:35.390] 反正就直接沟通。
[28:38.800] 不是他门口规划坐在这讲。
[28:43.560] 哥。
[28:47.260] 你说。
[28:54.340] 的
[28:59.280] 场
[29:00.880] 数据
[29:07.470] 谁？
[29:10.180] 纪纪委。
[29:17.960] 百得利。
[29:19.840] 坏
[29:26.660] 花。
[29:29.970] 温度。
[29:31.920] 准备模仿。
[29:34.990] 应该是有，但是因为我不是销售。
[29:37.980] 了吗？我不太清楚售后那边有其他的活动应该是有的，如果说是有的话应该是
[29:44.280] 肯定没有。
[29:56.520] 对。
[30:07.580] 你含冤花呢？
[30:11.790] 还有。
[30:24.000] 三个北京查。
[30:25.780] 不分了。
[30:27.650] 你怎么花？
[30:29.200] 你看看他微商里面有啥换赶紧换了，一定在有效期内话，
[30:40.650] 说。
[30:45.330] 这款看到不？
[30:48.270] 不给存。
[30:49.540] 对，出货就是出货了，出货的话你可以在拿给拿走。
[30:53.520] 现在不断
[31:02.890] 那条轮胎得着，那个东西都靠他
[31:05.960] 里面什么花纹了，然后零销售了多少钱，
[31:16.390] 你每个轮胎的汽车不一样，所以
[31:34.590] 电话的
[31:35.460] 的话，
[31:36.400] 一克现在
[31:39.670] 等等你。
[31:45.270] 好了没？
[31:46.080] 爱读书。
[31:49.630] 那得看你的轮胎规格。
[31:54.340] 得看具体的规则。
[31:56.240] 你要不把具体规则跟纪委说一下，你跟纪委对一下，问他一下，他那个表里面应该会能查得到。
[32:15.630] 对，你看它那上头里边有。
[32:17.320] 或者
[32:18.120] 这东西挺多的。
[32:28.130] 我看着我之前看过一次。
[32:33.300] 使用了。
[32:35.600] 不用就是换养护代金券合适。
[32:38.650] 要休带薪。
[32:40.490] 但是你看你说你保养的时候才用得上。
[32:59.080] 行
[33:00.610] 行。
[33:08.740] 我这样我回头我给你发一个我的企业微信，
[33:13.280] 下雨天我微信我建议您选有我你拉一个客户服务，
[33:18.180] 我让他们
[33:19.550] 在群里面跟他们说一下。
[33:21.280] 有什么好的推荐的话，他直接在群里边还有什么？
[33:25.600] 跟你说一下。
[33:27.640] 好，来着。
[34:15.080] 我有两个二次对吧？
[34:18.040] 首次还没有的明天
[34:24.360] 啥。
[34:28.220] 性。
[34:31.510] 电话。
[34:33.130] 我找找。
[34:37.110] 是哪个车？S90。
[34:45.720] 132
[34:47.840] 的。
[34:55.210] 他那个替班。
[34:56.720] 照片您说的哪个地方？
[34:59.450] S60。
[35:01.910] S60的话得需要预定T8的车型，
[35:05.760] 他展车现在都没有。
[35:07.790] 对没有S90那个也没有。
[35:10.760] S90。
[35:14.460] 卖了，前两天刚卖。
[35:16.430] 二有点前两天有车。
[35:19.030] 刚卖了，
[35:20.660] 那个车刚进展厅没几天就卖了，
[35:23.320] 我们将在途还有一台T8的车，
[35:29.360] 估计也就这几天那边没有有私家车，有赛车，下车T878的。
[35:35.190] 有。
[35:37.440] 不知道越是这样的小给他们一个销售顾问，
[35:41.980] 应该338，
[35:43.770] 他第86还得还，等一会得分到30分钟到4分钟这就行，我想给拿下来的一个是吧？他报价。
[35:53.550] 第二就是说把价格话的行行，你们要不找着座给您算价格。
[35:59.010] 行，您也是第二次来了吗？
[36:01.340] 说得细一点是吧？
[36:05.360] 还有一个。
[36:06.830] 咱不先来这边，来这靠窗口这块。
[36:11.770] 你先稍坐一下，拿到。
[36:15.600] 这种模式
[36:17.720] 往前压。
[36:20.240] 前面严防发生多少调解。
[36:22.590] 谁知工作，
[36:28.360] 专注的工作。
[36:38.750] 网上。
[36:41.190] 他说。
[36:42.370] 我院里头摆个桌子。
[36:48.240] 差不多点，包括。
[36:56.080] 给您送哪个配置的，
[36:58.210] 就算是一的还是假的，
[37:01.970] 高点了就要致雅的和之一的都算一般多少钱行。
[37:10.010] 一。
[37:15.570] 的
[37:16.580] 一
[37:21.090] 您是车前段时间过一次户是吗？
[37:25.420] 多多就是这车13年我过没事。
[37:29.880] 不是近期就行。
[37:32.250] 因为保留不了车牌是吧？
[37:34.710] 不是保留车牌，是拿资本补贴，
[37:38.410] 置换补贴厂家要求在本人名下半年6个月，对。
[37:46.390] 怕他就怕你临时随便拿一个不值钱的车，你拿着补贴你不是
[37:52.680] 就差的比较多了，
[37:55.350] 1000块8块钱买个面包，花个1000 2000的买个快报废的车，你拿14,000的补贴，差价太大了，这反而不错。
[38:05.440] 所有都有管控，
[38:07.110] 我可以提前买了就等半年，
[38:10.630] 人家到时候这一年了，
[38:13.720] 真正换车的他很少这么干。
[38:24.930] 现在是三四千再减去一个14,000，
[38:29.840] 4。
[39:13.400] 我上三个问问您都不是什么医护人员。
[39:17.260] 有队
[39:24.630] 您什么孤单？
[39:27.150] 我不知道也一样是吧？一样你没有影响。
[39:32.960] 公务员有些没有，现在公务员也没有补贴，沃尔沃的话，
[39:37.660] 沃尔
[39:39.170] 然后沃尔沃的话它是
[39:42.810] 15年有那会儿16年也有17年就没了，一天就取消了，跟所有的
[39:50.790] 军人，包括你的
[39:57.000] 公务员全都说的补贴全没有，就跟你的工作没有关系，一声的话补贴是两个点，现在目前只有医生的补贴是两个点。
[40:07.490] 可以，那也不对，进口车是三33个点，
[40:14.350] 有点2万块钱了。
[40:17.310] 因为现在疫情期间，国家各个行业对于这种医护人员都
[40:23.330] 都有照顾都照顾，
[40:26.050] 人家冒着生命危险
[40:28.780] 干出点事儿。
[40:30.300] 初中
[40:31.670] 发电机
[40:33.250] 完成的情况，对于厂家来说，这点钱不算，这个是。
[40:41.890] 数据
[40:46.300] 五
[40:47.930] 的
[40:50.410] 的
[40:56.130] 一
[41:08.760] 6
[41:21.060] 的
[41:25.110] 其实看车的比较多。
[41:27.500] 今天人不多，这没
[41:31.920] 昨天人少，昨天下雨前天人特别多，
[41:36.420] 前天的销售顾问接不过来。
[41:38.610] 前期对，但是我还休息给您算了一下。
[41:44.610] 这个世道不是要滋养，是我试一试不考虑这样不考虑质量就是不考虑资源。
[41:53.810] 行。
[41:54.740] 毕竟这辆车差到几万块钱，对没必要，我觉得我也考虑这个我就挺费劲的，我考虑他干嘛。
[42:03.390] T5是没车是吗？53来一直没有车，要是订的话能订到。
[42:09.630] 的
[42:18.230] 场
[42:27.810] 小说。
[42:29.540] 他是有075的车，什么时候能有车？
[42:34.840] 对，没听清。
[42:38.190] 咔一下。
[42:38.920] 我是穿C9075的车，
[42:43.460] 包括说
[42:47.210] 反正7月份没有。
[42:49.880] 整个7月份都没有。
[42:52.370] 对整个7月份都没有去的资源。
[42:55.880] 去。
[42:56.970] 行勒我知道了。
[43:01.220] 整个7月份都没有，厂家都没有提过。
[43:05.900] 要
[43:07.430] 不是等着的，你要是
[43:09.650] 等着他，那就等什么时候厂家有资源了。
[43:12.430] 7月份没有看到，8月份如果有的话肯定
[43:16.500] 反正咱们假如订完车之后，我们录完了S参加了sm系统之后还会看得到这种订单，
[43:23.170] 没准他看到订单它会排产了，7月份他肯定不排场的，因为7月份
[43:28.440] 基本上7月份
[43:30.960] 我们看得到的是已经在港口的这点车。
[43:35.460] 90道口，对，基本上都是到岗的车。
[43:39.710] 如果说是没到岗的话，这个厂家看到我们这可能会排产，排产的话再往这边运，估计8月份的事了。
[43:46.490] 优惠的价格都是一样的，有价格是一样的，现在才9.15 156,000。
[43:53.640] 是对156,000，然后
[43:57.200] 有一个14,000的住院补贴现在。
[44:00.770] 整个140，
[44:03.380] 所以购置税是根据来开车，价格除以11:30，购置税
[44:07.250] ×11.3÷11÷11，
[44:12.190] 基本上将接近9个点的1个收费，是不是按这个开吗？对。
[44:19.480] 接近9个点，保险14,000，验车三，
[44:22.880] 保险的话以到时候以您自个显得没主见。
[44:26.160] 保险的话都是全国统一的，咱们这也没有什么强制要求。
[44:30.050] 不用说第一年费上全险，我们这上车子上三者就OK了就够用了，这就是一般的吗？还是座位这是上班的话得奔着16,000。
[44:38.920] 还行有检查对有剪。
[44:43.480] 大概因为这段时间交这车的话大概都
[44:47.160] 因为我们交完车之后，保险合作
[44:50.150] 基本上都是差不多，这个数差上下差不了多少钱，OK
[44:55.040] 好用了。
[44:55.630] 所以我们的曲文中给客户算好算，你们还有别的吗？有分部吗？
[45:01.210] 目前还真没有什么天空什么的，这些都不动。
[45:04.430] 我们贴膜的话百度lee，因为他的用的膜的话跟其他店可能不太一样，我们百得利的话现在只有
[45:11.300] 目前只有三款，
[45:13.020] 一个是
[45:14.340] 买最贵的从最贵的帕雷迪，全世界最顶级的安全防护门，从15,800~3万米×8价格不等，而且是全国统一价格的。
[45:22.930] 然后还有一个微不，而且是保真的维护，不是说你外边修理厂花个1000 2000买的，
[45:31.490] 保真没故的话，基本上外边买的话也得四五千块钱。
[45:35.180] 我们对真的
[45:37.210] 我们这儿位故友套餐
[45:39.350] 是8800的一个套餐，
[45:41.580] 包含了全贴膜，然后
[45:45.190] 行车记录仪、脚垫、后备箱垫，还有一个CM的水晶封釉，还有一个发动机的加速版，一共是8800。
[45:52.710] 发动机的一个防护板，下边钢板它不是说喷塑，是钢板，正儿八经的钢板，我知道现在还装钢板，
[46:01.330] 桩装钢板的话一是房客，第二的话它是保护底盘的。
[46:08.570] 防腐蚀。
[46:13.450] 然后蒸汽的话现在还有免息，本来
[46:17.630] 没了，本来以为是得回收0.99个点的地址，今天我们刚发群里边
[46:23.180] 银行的免提肯定继续。
[46:26.510] 那咋不继续吗？
[46:28.420] 我还说
[46:29.720] 我说
[46:31.000] 早上开会的时候还说，说
[46:33.560] 厂家信誓旦旦地要
[46:35.860] 当时跟我说下个月可能去消所有的免息政策，因为现在经济条件不好，
[46:42.380] 现在大家挣钱的人少，
[46:44.470] 大家都有影响，
[46:46.120] 还是三年免息还是15万，或者说首付60%，在40%，
[46:50.800] 2700。
[46:52.210] 两年免鸡。
[46:53.840] 一个4040%的话按这个带是吗？不是吧，按照开票价格带。
[46:59.840] 对20万。
[47:02.740] 不到21万。
[47:04.550] 21万是4个点是吧？8000块。
[47:07.380] 手续费没有8000块钱手续费20万两年。
[47:12.750] 那就要20万。
[47:15.250] 30万，
[47:16.880] 30万加36。
[47:19.470] 十六七三18万左右。
[47:23.210] 38万左右的话，
[47:25.360] 基本上就配齐了这车也就贴上膜干啥了。
[47:34.900] 对你给我算一下那T吗？
[47:36.840] 那个项目。
[47:38.360] 我总感觉苹果性价比高。
[47:40.740] T5的话给您算5段还是要777段的，我
[47:46.250] 肯定是系统的不错，绝对不考虑。
[47:50.040] 买这么大的车就是跟着机构买，
[48:15.360] 您再减去个医院，
[48:29.410] 去看了看汉兰达，汉兰达也不加价了，现在都。
[48:33.070] 整个经济形势不太。
[48:34.930] 太好，他们也要明天上新款吗？
[48:37.920] 也算是清库。
[48:39.230] 也算是清楚，但是他们应该还在生产有的。
[48:42.960] 但估计生产不了太多了估计。
[48:45.440] 看了两家。
[48:46.590] 基本上也都有。
[48:48.390] 都有现车了，现在是以前不都等了吗？
[48:51.360] 在家请的都是他们
[48:53.320] 说是等着故意的，我之前我们在其它店的时候也是园区，
[48:58.830] 我们的库房跟丰田的不光是一个库，
[49:02.010] 其实都有，对，我就再带着客户说，您不是刚才进丰田说没车吗？来我带您看看去。
[49:09.920] 一排一排的。
[49:11.170] 谁家的钱多，当时政策就是这样的，给店里叫你们那会儿挣钱，
[49:21.550] 接个电话。
[49:23.780] 送书。
[49:24.900] 我让咱们一会再查一下，我今天早上跟他们说了，然后他们还没给我结果。
[49:34.990] 等等。
[49:38.220] 我问问
[49:41.970] 这跟没事没关系，也是厂家卡住了，厂家可能
[49:49.500] 敢于季度末，不是上个月6月份6月份也是属于年终的坐台报，可能对
[49:58.010] 这种企业的话都是以
[50:05.010] 没事，我给您想这事您放心。
[50:11.480] 我这一开头提一我那一开抽屉就是手续，
[50:17.390] 我每次开车去都想起来，
[50:24.730] 没事那倒没事。
[50:28.000] 放心说。
[50:30.120] 行行没事。
[50:39.360] 谢谢大叔。
[50:40.370] 这个叔叔是上个月提的车，
[50:43.980] 当时我出于好意，
[50:46.650] 当时他是国三的车，国三的车报废不是有补贴吗？
[50:49.960] 当时他评估他那车特别破了，评估了3000块钱，我说你别置换了，非得置换。
[50:56.540] 我说你要是什么的话，你就开口你就报废去自个报废一下，或者说你包不自然不费，我该帮你帮你联系也可以，你报废的话能多拿7000块钱，
[51:08.800] 多少？7000块钱对你报废有补贴。
[51:11.340] 报废补贴是1万，而且在报废的时候，国三的车现在是有政策支持的，国三报废的话也算。
[51:17.010] 之后
[51:17.680] 多拿7000块钱。
[51:20.570] 对。
[51:22.260] 他就开心，别精美开回去了，
[51:25.440] 开着新车二手车都开过去了。
[51:30.200] 转眼间他就自个卖了，过户卖了，
[51:34.250] 多卖2000块钱5000块钱卖了。
[51:38.020] 我说跟你说了，你这走支付补贴没有了，对，你包括您置换的话几天就没有了。
[51:44.450] 后来算什么帐了？
[51:46.710] 他可能糊涂有点糊涂。
[51:51.390] 后来我们又跟厂家去提申请，各种给补材料，
[51:56.090] 先让他把按照置换的政策先给他走了。
[51:59.540] 车先提走了，但是手机没给他他手机了，
[52:02.580] 因为得等厂家审批通过了，完全通过了之后我们才能给他开票。
[52:08.110] 怎么还掰扯这事没有，现在就等厂家审核完了就行了。
[52:14.050] 审完了手续就补贴吗？上给他补贴已经钱了，已经给他开票了。
[52:19.860] 还算已经把补贴的钱都给到他了，
[52:24.800] 但是厂家现在没审核通过，
[52:30.240] 这就看场子走特批了，这都走特批。
[52:36.320] 他还好是国三的车，国三的车能协调，
[52:40.100] 怎么个协调法？
[52:42.880] 跟厂家打申请，因为国三的车特殊政策支持。
[52:46.920] 我说国四的话也就明年或后年。
[52:50.890] 不好说，那给您算了。
[52:54.020] 差个4万块钱，还不到4万3万多，
[52:59.760] 是吧？33万。
[53:02.100] 对，都是个9。
[53:09.800] 按这个价的话才少3万14，这俩车的话本来没差多少钱，这车优惠的也少，这车优惠148,000，
[53:19.140] 那个是156,000，
[53:21.060] 148,000差8000块钱。
[53:24.300] 因为T有的车少了，优惠的相对来说少一些。
[53:35.630] 差34,000块钱，
[53:39.080] 还有吗？
[53:42.710] 55万。
[54:02.750] 就没有别的申请的优惠政策了。
[54:09.270] 目前政策就是这样。
[54:11.060] 对。
[54:12.720] 申请的。
[54:14.220] 车价格现在厂家要把控。
[54:17.480] 这个是哪个T5的P5的队伍是卖55克，然后这是减掉1S的是吧？
[54:25.690] 这个是优惠完的这油环的价格再减去140 49万多，然后这个是
[54:32.120] 谁知税保险承担了55万，然后这个是
[54:37.660] 的对76之1，这都是这两都叫之一，T5是76，
