[00:02.360] 走？
[09:08.990] 而且帅了有可能就不是公司跟你说了，让你走了有可能。
[09:14.510] 我说你这卖不好，你只能去回针是吧？
[09:18.680] 就只能这样了，所以我们现在
[09:21.530] 中间
[09:22.880] 这一个月
[09:24.590] 我没怎么管他假，
[09:26.690] 对吧？
[09:27.240] 他马路和董部长这是因为
[09:31.010] 异形专家里头好多户没有
[09:34.110] 丢了。
[09:35.120] 你
[09:37.730] 这全是负努力，我关了14天的我管什么十字架，
[09:42.520] 这些大哥给顶着顶，晚上就留下给外人听了，要不然告诉就吹了。
[09:49.380] 说自己也看着自己的情况，包括别的组人家也在看，还有
[09:55.430] 张扬也来看，现在没太多，他一直是让我们三个人去
[10:01.460] 去把握这个团队，是你去自己想办法，他不要求什么，留下来打多少回访，打多少电话，实在没辙了，你数真不够，你就下来只能逼这丫。
[10:12.140] 但是我又不是很
[10:13.880] 跟他们说的，你看刚才你们都看见了，胡杨你天天让他们写日报，
[10:18.000] 我都没让你们写过，
[10:19.430] 对吧？人家联组天天有时候有要求，
[10:23.270] 发很多标准影响，每个销售顾问他都打电话盯着每个人的二次客户什么的接待，
[10:31.400] 你问他们组的每人都能接受羊讲话，休息的都能接这两点吗？
[10:35.520] 然后盯的特别紧，
[10:38.320] 我们一定
[10:42.420] 所以觉得舒服的这种状态，
[10:46.140] 一个月完了就完了，而且这两天咱们订单收的越来越不好，
[10:53.620] 所以下月董事长反正给我订好了，他就固定礼拜才休息，他就4天，
[11:00.470] 他在党组就4天。
[11:04.320] 所以咱们
[11:06.390] 就跟我之前说的是可能
[11:09.280] 这月
[11:10.430] 过去了可能就过去了，下个月
[11:13.240] 就不能上这越是了，抓完了咱们统计就可能从8月1号
[11:18.840] 第一天就开始抓了一个
[11:20.720] 一定要跟着进度走，跟着节奏走，你说你现在慢慢都不能慢了，
[11:25.060] 这个机会就慢了。
[11:26.870] 里边一线票了，
[11:29.790] 对吧？你说你差4个车50个你就得给他换票了。
[11:34.270] 你下个月你相当于在订15，你得卖19个，
[11:38.140] 对吧？
[11:39.070] 你感受合肥奶量回来接55和我销15车，
[11:42.680] 你现在别接那么多客户了，
[11:45.000] 你们才能接30多个客户，
[11:47.100] 孩子实际上就一个问题，还是接待量，
[11:50.700] 接待量不够，
[11:51.880] 这是体现出来的。
[11:55.060] 装扮
[11:56.920] 我看的是22号发的，马上冻结55个，总装机51个，我得接65。
[12:02.870] 首次
[12:04.360] 黄色旗街41
[12:07.140] 基本承接51个，
[12:09.790] 刘帅街36个，
[12:15.670] 对吧？你只要接到60，
[12:18.890] 有可能卖的数就不是现在这数，你还得必须得量大，
[12:23.980] 你成交率跟这摆着你10%，
[12:26.380] 你这100个能卖10个，
[12:28.290] 对吧？除非你把成交率提高，
[12:32.960] 24我就不说了。
[12:34.690] 浙江教授问你这二次没来的什么情况？是38的还是什么，我从来就没问过，说你8.24到底是不是明天能在静坐的？
[12:47.640] 要不然你这马哥的查着头数追上来了，订单多少个了？
[12:51.290] 12 23对这真是我不让他休息给定了。
[12:56.120] 那天我休息天不接了一天。
[12:59.490] 是吧？
[13:05.930] 这就完了。
[13:13.650] 价格了。
[13:19.270] 你们差点
[13:24.350] 好多了。
[13:25.750] 咱俩接触最好的，在群里大家都
[13:30.730] 完了没事吧？
[13:31.920] 你看人家
[13:34.110] 最后下班以后，我让你们俩接触客户，
[13:37.180] 要。
[13:38.580] 你打过来咱们解决，
[13:40.650] 你根本就不管这护士不怕什么，
[13:43.890] 他根本就不叫就跟着
[13:46.470] 是吧？
[13:48.850] 是吧？你看人家这种精神，
[13:52.600] 有什么软件卖的多。
[14:05.800] 行，然后
[14:07.680] 打码做好了。
[14:09.620] 明天
[14:10.920] 这报价站起来
[14:12.990] 找我再接着报。
[14:15.990] 怎么聊这？
[14:17.760] 好吧，客户靠谱多聊会儿，
[14:21.380] 不靠谱赶快回来，别跟屋待着，
[14:26.110] 没客户就上来，后天那就做，
[14:30.030] 你不排没人叫，你现在是吃就那人讲你过了几倍，我是9位，
[14:35.810] 你不过了，你连酒杯都没有，没人叫，就老有人对吧？
[14:39.900] 你看杨雪赵毅什么的，看见谁就叫什么把卡给人，
[14:43.960] 谁在这后来谁走不了，就在网上后，
[14:47.400] 需要研究要接客户，
[14:49.160] 你跟他做的时候就行。
[14:50.790] 除非说好了1234胃
[14:52.860] 没有了，到后来都不说的话，你只能上后边再这样。
[14:56.760] 你叫他过来说我也能干，就一会给我一会我说能进，
[15:00.660] 都得这样叫什么，谁知
[15:03.830] 你不过来你就没客户，你就只能跟着减，你不减没人叫你，这一天都没人叫你，
[15:08.840] 我都没叫你。
[15:11.920] 因为想不起来，你们这一堆人等着，我不能说这叫你过来接收过来，你都在那排着。
[15:17.480] 所以现在
[15:18.850] 这款来，那么7月底8月初就是占地，
[15:22.490] 要是放假我出去玩也没人卖车，你现在只能从这些现有的客户里去完成
[15:30.150] 这成交价，
[15:31.260] 你只能比别人更努力，你看出来了，别人已经比你很努力了，
[15:42.110] 是吧？
[15:42.910] 就干到8点，
[15:44.730] 这个骨头
[15:48.990] 看明天还下雨。
[15:53.800] 多点是吧？看着跟打身上人家11:30开始吃饭了，咱们1:30点结合。
[16:01.850] 玩小票，谁知。
[16:04.620] 不是这样的。
[16:05.870] 明天中午别吃饭了。
[16:07.860] 都得吃饭。
[16:09.390] 最后一个谁1:00能下来种田的，去把整个组织他都发群里了，完了打车半回来，
[16:16.850] 回来是啥时候接完了然后再吃，
[16:19.680] 不能充电咱还不能打面，就诱导套餐，对就答辩了，周都没有90不知道吗？我们就是这样的，1:00集体去打扮，
[16:29.370] 别着急吃饭，等你就先泡活知道吗？
[16:33.740] 就跟你找警察，你开图图你拉分钱，你是不是得编一个去机场大火？
[16:38.320] 没有一大活的情况下你心里能有底吗？跟识别开没了，咱就一组就发个我
[16:44.770] 能听得
[16:46.050] 快乐。
[16:50.390] 放心。
[16:52.640] 9:00 8:00。
[16:55.100] A
[16:58.200] 老婆你多几个先了解，我是把你给吃了，个人现在。
[17:03.660] 率怎么样了？
[17:06.010] 我跟他说一下，
[17:11.720] 做什么饭我想半天我看看，每天我不认识姜波，
[17:17.300] 北京台的。
[17:19.560] 天儿还积极，是不是？
[17:22.510] 粮食信息的给打电话报了周。
[17:25.990] 没给我们都报了就
[17:29.810] 到现在成了，刚才我算了一下，
[17:33.510] 6月
[17:37.410] 不用。
[17:38.840] 这两天以下。
[17:43.430] 这就行。
[17:47.790] 承诺零公里路又反了，买什么车，后来我车价优惠了21万了，操车辆售价5万。
[17:55.170] 我说你这肯定录错了，折扣8818.1。
[18:16.860] 好了。
[18:24.270] 明天8点。
[18:27.010] 我从来没走之前没点一下保存电脑给关了是吧？过来了。
[18:31.600] 了。
