[00:00.000] 还有什么颜色？
[05:27.770] 差不多对相对方差也差不多是。
[05:33.320] 你这个样子也挺好。
[05:41.920] 都是金属漆，像这种漆面。
[05:44.020] 如果
[05:45.120] 这个位置
[05:46.040] 做这种
[05:51.330] 白的白色其实它有两种，
[05:54.080] 一个叫北京，还有个叫测量。
[05:56.200] 送圆白菜几种西，但是非常少。
[05:59.230] 那种普通版的
[06:01.400] 因为表面有点那种
[06:04.350] 范围奶黄色的。
[06:05.880] 泛黄这种事主体蓝色。
[06:08.590] 对焦化厂不太一样。
[06:11.080] 因为他已经用这种金属本色。
[06:13.910] 金属光泽。
[06:15.180] 你把这种从蓝色就覆盖了。
[06:18.290] 所以说写大红，
[06:22.870] 全校的那只黑色。
[06:26.810] 还好。
[06:29.070] 销售部的展映他能先坐下来了，
[06:32.950] 黑的显得更加庄重一些，这种身份只能把它装着，没有。
[06:39.640] 可以的话可以说仅仅是
[06:42.270] 为何开心的时候还是可以，一定是蜂蜜都行不行？对手写的话可能是东北
[06:48.420] 就这样被压抑。
[06:52.830] 因为这个颜色它如果说是除了黑色外观之外的
[06:56.690] 其他颜色，
[06:57.760] 像白色或者是灰色或者香槟色内饰，黑色东西无所谓的。
[07:11.000] 这可能最主要的重点有黑和白。
[07:14.880] 这里边有其他车吗？
[07:16.860] 有一个小吃那种白岛
[07:22.010] 产品。
[07:26.330] 的
[07:32.530] 就飞的可能不太
[07:34.660] 我肯定不要装。
[07:36.690] 白色石家庄的就是亮色白色或者银色非常大的这种香槟色或者黑灰色或者黑色的那种这种放心。
[07:46.020] 现在开的另一个是上面的花
[08:14.130] 电子版，
[08:15.400] 这两个站起来
[08:17.140] 不一样。
[08:17.880] 看不到对一样。
[08:22.340] 还是少一点。
[08:23.530] 对面这个要最多
[08:31.880] 要爬上去，那边折腾穿着一个
[08:33.820] 增加
[08:35.950] 还有房子给。
[08:37.260] 可以的，在售后估计今天也不限行，不知道干嘛去了，都接走了。
[08:54.060] 开玩笑吗？现在给你。
[09:14.630] 他
[09:15.730] 今天自己弄病了，还是这个姐姐商量下来。
[09:21.630] 稍微商量下。
[09:23.850] 要不你等周日到时候大姐过来看，我带你去或者开大车去看那个车去，
[09:28.330] 到黑点赞。
[09:29.930] 对了能不能？
[09:31.140] 不开车10分钟到底算。
[09:33.650] 真的调整现在看不了，现在拿钥匙。
[09:36.770] 除了剪掉，
[09:38.290] 到时候颜色到时候
[09:43.680] 香槟色、灰色还有黑色的这么看到一大库的话，
[09:47.800] 我都能看到了更加直观了没有。
[09:51.970] 我能看到你就起来，因为这个车
[09:55.280] 不是说
[09:57.010] 开一两年对，你肯定开的时间完成开了，所以说你这个颜色也选好了。
[10:03.770] 应该价格是一样的，这款颜色那个事情都不要超过颜色。
[10:10.250] 谁知
[10:16.370] 故意的，还有吗？
[10:20.360] 但这样
[10:30.560] 主要我想开点
[10:41.320] 周六过来周日过来。
[10:42.950] 到时看行，抓紧写完电话。
[10:45.140] 反过来你打过来好勒？
[10:47.790] 等会交钱行，好了，你现在算完不管了。
[10:54.270] 落地价多少钱？
[10:55.640] 应该在30左右，大概现在我们全线优惠4万大几不到5万1万5万算不对？
[11:01.470] 对318,800。
[11:05.040] 二
[11:05.950] 318800咱就按5万算。
[11:11.940] 26800÷11.3的购置税加268800这个车保险的话也就在8000块左右加一个2500，
[11:21.520] 30万多一点就这样。
[11:25.440] 5对303,000原谅。
[11:28.860] 到时候具体价格咱再沟通好。
[11:32.070] 方式就没有了，都是不强制说你先买菜去买，因为买的话
[11:37.040] 10,800要5000两个档，你可以自由选择，咱们具体沟通完了开车过来。
[11:43.610] 谁知马走之前稍微你先看着好好拜拜。
[11:52.610] 放开。
[11:56.670] 我这忙着。
[11:57.860] 好好。
[12:10.830] 业主我还接了个24，
[12:12.440] 我在交车客户还等着我。
[12:15.470] 李先生135
[12:18.260] 5272
[12:22.080] 5072
[12:24.290] 24客户你先生。
