[00:02.150] 没有侦查，
[08:00.500] 太平洋人保天整个都一样，你放着
[08:03.860] 我这是不是一种都行，没有区别，
[08:10.500] 没有必要就上权限。
[08:14.360] 没必要他。
[08:15.650] 你能选吗？完全改，我打不打仗，对，就比方说哪个没上马。
[08:21.470] 对。
[09:20.630] 我7月8号。
[09:21.930] 知道吗？7月8号销售的。
[09:24.690] 我今儿给了
[09:26.350] 直接开放。
[09:28.360] 我还用打工了。
[09:31.090] 全都没电不出来。
[09:32.860] 不用存在了。
[09:36.210] 你要开票就没了，现在定都是把投标完了，
[10:28.030] 卖一个车手续这么麻烦，你说你一个月
[10:32.260] 这个指标也太累了，
[10:34.640] 但是完成了
[10:36.230] 没办法。
[10:38.180] 你卖个车你可能就折腾一天半天，
[10:43.840] 现在9:30你看我搬走就得一点，对，你给我办手续你就没时间见客户啥了。
[10:50.470] 对。
[10:51.310] 我了解到了，互相也。
[11:31.580] 你的身份证号有X
[11:33.480] 不知道。
[11:36.050] 可能是因为啥什么重了那个的可能
[11:43.470] 挺多的其实。
[12:03.920] 说你打的吗？
[12:05.140] 再打
[12:06.950] 打的文档不是照片，
[12:17.830] 内存不够，
[13:13.640] 我是一个全险打不开，我只能照片给你看。
[13:16.560] 全写。
[13:18.190] 车损三者100万，
[13:21.070] 然后报废这样的不计免赔，然后到讲可有可无，有个点玻璃、划痕、涉水或者第三方，
[13:30.110] 还有个车上人员，
[13:31.760] 在这有4毛钱。
[13:33.730] 你看哪个要，反正正常的话新车在北京来讲到差不多到时候我也觉得是别的都可以，然后别的因为划痕玻璃说说
[13:44.410] 对不对？
[13:45.140] 他这保险要多少钱，哪个保费2000到强势吗？是1900加398后面加单。
[13:52.280] 那就不要报警。
[13:53.480] 对别的我觉得还有必要，珊珊要不要上人员，书上也这是有一个意外省，不包括我的其他人，包括5个座的，
[14:04.300] 我也包括我对55段，包括司机跟乘客，
[14:09.110] 这个也要吧。
[14:10.950] 没多少钱多少钱。
[14:16.360] 有不要的还都要了。
[14:19.040] 这玻璃和划痕的话多少一块的？
[14:24.390] 11万块钱14块。
[14:34.910] 玻璃那1万块钱是几块？
[14:38.530] 不是花8块8毛钱。
[14:40.320] 三块是吗？
[14:43.150] 全车的如果是
[14:45.940] 最高2万
[14:47.150] 260一块全车相当于
[14:50.810] OK。
[14:51.940] 保费贵多少钱呢？
[14:54.270] 现在1万，现在是971+145。
[15:02.690] 1400 7 74的谁知。
[15:05.510] 他说。
[15:07.690] 这是三块两不要三块。
[15:23.650] 之前你说1000和98
[15:26.470] 就划了碰了一点钱，我那个拆迁不用了就。
[15:35.360] 有用吗？
[15:37.130] 我再问你那车看得多吗？我不知道。
[15:41.200] 那东西的话，
[15:43.270] 拐着碰着
[15:44.430] 一回一两千五，
[15:46.170] 一回给2500，招到工程师10块钱。
[16:28.740] 好听完先找你的首当其冲，
[16:32.200] 到收盘已经接到。
[16:46.730] 今天就104
[17:15.380] 怎么办呢？
[18:23.680] 78%，
[18:26.800] 首付3%。
[18:31.440] 他钱已经相当于打到你们这里了，没有？
[18:35.000] 今天也可以审批通过了，谁知
[18:45.160] 坚持金融的审核是全中国一起审。
[18:48.000] 对。
[20:34.570] 前厅二楼、
[22:17.560] 7160。
[22:18.360] 0。
[22:26.750] 可以。
[22:28.700] 应该是已经签完了，昨天我看群里边谁说的。
[22:31.970] 听哥说的。
[22:33.170] 在线上签上签完了应该是。
[22:35.830] 好的。
[22:36.960] 对我的现在还没签，你看你签他让我今天来这。
[22:41.550] 这都是钱。
[22:43.060] 您点开链接，按您。
[22:45.410] 操作的项目，
[22:47.230] 还是
[23:31.560] 这个是合同您
[23:33.000] 玩一会儿。
[23:34.970] 我跟您说一下了。
[23:37.610] 您这车开票价
[23:39.040] 429,800，您选择是首付三成贷7成的话，带一个300,860分到3700万，16970823。
[23:47.720] 没问题，这边就是上面这两个您分别点开。
[23:51.400] 333对。
[23:53.080] 然后点一下阅读灯圈上。
[23:57.580] 38038。
[24:02.890] 然后这个合同号在约翰表示。
[24:05.090] 一样吗？对，您可以放大看。
[24:07.830] 该干嘛干嘛。
[24:11.110] 马威能说吗？发。
[24:13.610] 就让你
[24:14.790] 给那客户做了刚才车架号什么，我查了是之前的几个新的客户，
[24:20.560] 然后你就第一个魔比做1.0不辣，然后在备注里写清楚就行了，这一不好意思。
[24:26.160] 然后问客户车好是哪台车，原来GRE的还是13版的，不都是在。
[24:32.710] 是置换吗？还是指标其他指标，行行，如果今天开走的话，进而激活以后每月的。
[24:39.830] 40多号。
[24:40.790] 下个月开始算27号我号码日月激活下个月第一次扣款。
[25:03.970] 开玩笑。
[25:05.150] 好。
[25:06.470] 然后帮您绑一下咱们的。
[25:08.330] 微信公众号您之后查还款情况都存在上面有。
[25:12.110] 您微信关注一下，要奔驰金融服务，
[25:36.720] 他会给您发短信。
[25:38.890] 短信
[25:40.330] 来了他就没出处，对。
[25:48.540] 然后让输入信息的时候需要输入主要的你们的还有。
[25:52.480] 非常好。
[25:53.170] 这样。
[25:55.920] 谢谢张越。
[25:58.960] 稍等。
[26:00.870] 帮你发了一个写微信能帮我拍个卡尔。
[26:09.000] 张婉。
[26:13.880] 逗号收到。
[26:26.320] 还有个验证码。
[26:28.510] 指标人对。
[26:30.940] 您再看一下后面吗？
[26:33.390] 方便，但是我在微信里打开了，我要是看他的短微信的话，我觉得就亏损了。
[26:39.970] 能干到您能服侍吗？
[26:43.540] 服装。
[26:45.320] 浮窗。
[26:47.310] 这可以。
[26:49.100] 不光是一个服装是一个什么东西，
[26:52.190] 用小窗口。
[26:53.630] 那就是把这最小化，你待会想点上点话就不会占用你微信这程序。
[27:00.180] 等等。
[27:08.380] 然后绑定就行，对，然后马上您有一个需要注意的，如果您还款日赶上周末或者节假日的话，他就会提前一个工作日后款。
[27:17.790] 没事在我这个账户里面长期有。
[27:21.610] 行
[27:25.020] 给您发过来吗？
[27:26.040] 他可能在忙。
[27:28.280] 没事。
[27:29.740] 我知道怎么。
[27:31.770] 刚才那步骤再过一个号码就可以了，然后因为激活之后您的信息我这边是看不到了，您每次还款提醒什么，包括已经还了多少，然后还差多少什么都能上面收到的。
[27:45.630] 全都从这上面啥号我知道，行，那就想把那个样子好吧？
[27:51.880] 手机
[27:52.590] 认识了耗费话费。
[28:10.820] 我因为看到
[28:11.960] 有些设备来做，
[28:14.530] 他们在一个旅馆。
[28:16.160] 第四我叫个外卖能在这吃吗？
[28:19.400] 文章谢谢。
[28:21.410] 谁知
[28:50.110] 不要说。
[28:51.110] 对
[28:52.190] 非常
[29:50.750] 于先生。
[29:52.320] 你好。
[30:00.720] 没问题，可今天300的车限号是260行吗？
[30:05.500] 或者300的车，你在园区里边开一圈也行。
[30:09.060] 好了，到我给安排行了。
[30:15.560] 这交1万1万块定金就行了。
[30:20.320] 我给你做订单归订单，然后留资源给流出压力。
[30:24.540] 大概对半小时一小时大概。
[30:28.500] 好大概几点过来？
[30:32.890] 没问题好勒。
[30:34.230] 没问题好勒拜拜。
[30:58.850] 小。
[31:04.110] 做。
[31:25.470] 上
[32:16.830] 你好
[32:21.140] 问题。
[32:22.330] 你好姐。
[32:26.290] 开个在职证明的话，需要用您公司您医院抬头的公文纸开一个。
[32:34.390] 然后还
[32:35.720] 就营业执照复印件盖公章就行了，盖两份。
[32:39.050] 别的不需要了就。
[32:41.550] 那就要干两份，留着点干两份我就
[32:44.760] 用帮忙吗？
[32:46.830] 不用检查，我等我电话等我电话过一分钟我确定一下要得了几分。
[32:54.310] 拜拜。
[32:57.550] 感觉谁知
[32:59.870] 好。
[33:03.020] 仅仅没错，现在不用了，现在都改。
[33:06.730] 开放政策这块只是把然后后面
[33:14.760] 后面NASA证明给营业执照复印件。
[33:22.840] 各两份是吗？
[33:25.810] 包括
[33:27.460] 刚要
[33:29.720] 旁边和平。
[33:34.270] 23,000。
[33:35.710] OK，然后再证明两份，另一个是医院的什么？
[33:39.760] 谁知
[33:41.920] 是不是营业执照？
[33:47.160] 到医疗什么？
[33:50.880] 一医疗机构执业许可证。
[33:54.790] 行好，这就盖复印件，盖公章行一份行了。
[33:58.900] 好拜拜。
[34:01.650] 应该是一
[34:03.720] 应该
[34:05.870] 应该试一试
[34:09.450] 了。
[34:10.850] 好好我知道了。
[34:15.000] 拜拜。
[34:16.820] 医疗机构职业许可证。
[34:28.340] 的
[34:31.200] 姐
[34:32.280] 那个是一个叫什么类似于营业执照的，叫医疗机构什么职业许可证，
[34:37.930] 那个东西。
[34:39.280] 谁知。
[34:41.600] 应该是那东西类似的东西的医疗机构什么许可证，
[34:47.130] 他觉得有可能是
[34:52.580] 一盖公章盖一份行了。
[34:55.720] 反正。
[34:57.770] 对。
[34:58.710] 你带着证明开两份。
[35:00.890] 对，用您公司要您一个月开头只打印，
[35:06.690] 还有您应该有什么医生一个营业执照那东西，上岗证书。
[35:16.840] 职业证书，对有好的，还有您的工牌。
[35:21.070] 这都让大哥带着。
[35:25.870] 也。
[35:27.030] 也行，照片他复印件都给我拍一下，到时候他都留个点。
[35:32.020] 对。
[35:33.760] 三对一对，还有您的算法，什么叫上岗证书？
[35:42.080] 好的。
[35:45.280] 对接证书，好，拜拜。
[36:02.410] 三。
[36:20.790] 2.4。
[36:21.730] 要
[36:25.320] 中
[36:34.650] 这个电话包括了爹打断了。
[36:39.990] 了，
[36:42.930] 下午好两个客户过来。
[36:47.340] 让我上午过来，我说你直接放车上，我交车没时间，
[36:50.410] 下午我下车了，我给你办事，还得说
[36:53.250] 村给你接了，咱住在
[36:55.650] 谁知南阳
[37:02.680] 而且酒店
[37:03.750] 有点像一个承东小城的感觉。
[37:08.570] 对，我觉得房贷对不对？
[37:10.470] 我没有还本机制它就是怎么说，
[37:14.720] 没一点还，问题是环境都还行，就是问题购物不太方便，刚才我们平时不怎么购物。
[37:21.570] 二谁知
[37:24.940] 感觉上千的。
[37:27.070] 哪个晓得？
[37:29.680] 就完了，年产品完了。
[37:31.920] 这多少也让
[37:34.920] 还
[37:36.670] 刚才力帆的弟弟说10%，
[37:40.070] 依据也按这个算，还有按照2.4才652,000就算了，三点。
[37:46.030] 这个阶段的照片。
[37:47.980] 就你管理协调款号130013938032。
[37:53.430] 他的信息写，然后就打点一下，
[37:58.800] 加上一个03730.69973030000
[38:06.150] 0
[38:07.180] 496825.09。
[38:11.200] 9795，
[38:13.110] 15253
[38:18.410] 300860
[38:20.220] 裥裙应当根据房产1996零几号，
[38:27.510] 都是07年3月
[38:29.340] 安装下的。
[38:30.490] 今天。
[38:32.830] 然后离开。
[38:34.830] 可以关注。
[38:38.990] 然后以后每月的还款支付宝还有所有关于
[38:45.270] 微信号别人
[38:48.360] 也用直播，首先达到这个就到了让你来
[38:52.570] 又看谁银行关注也不能超过要把它删了。
[38:58.450] 麻烦还得昨天。
[39:05.990] 它自动付款是吧？
[39:08.430] 谁知
[39:16.080] 活动
[39:17.390] 用设计的我用
[39:22.320] 和了解的
[39:27.010] 主要
[39:28.090] 以后需要解决是吧？
[39:30.640] 导演您就开始保养了，然后两年以后你在哪里来，有时公共产品
[39:35.600] 然后因为谁知打开微信的基础现场就算找我这个看法。
[39:43.010] 谢谢，第二个增加到
[39:44.880] 其实然后听着研究包括奔驰
[39:49.530] 昨天
[39:50.360] 金融还有什么利息补贴的就是低吸的。
[39:55.280] 刚才解压这样。
[39:57.460] 做好个人。
[39:59.060] 方面
[40:00.080] 不用
[40:01.840] 要求往往服装你的成长
[40:04.690] 太大，我在你身边的
[40:08.290] 说明你的
[40:10.120] 验证码。
[40:11.040] 是我的吗？银行分红过程里面。
[40:15.760] 对没错可以没问题。
[40:17.430] 好好了解。
[40:27.500] 你在群里给一声寻找给他说一声。
[40:33.670] 我知道。
[40:38.510] 没问题的29。
[40:46.640] 没问题可以。
[40:48.640] 429888。
[40:51.080] 没问题，你在群里面直接跟合约就行了，跟你有错误吗？
[40:57.860] 6639。
[41:01.210] 639951。
[41:04.510] 我关注一下，没问题。
[41:08.050] 到时候这样姐，您在群里不是有个群，
[41:10.890] 你在群里边跟范经理给你先给他碰一下，先给他沟通一下。
[41:16.050] 行吗？好勒，拜拜。
[41:18.320] 28号5月3号。
[41:22.560] 号
[41:24.120] 下午。
[41:25.930] 2月。
[41:27.320] 7号。
[41:30.400] 二天27那就是下月。
[41:34.620] 我把上班时间。
[41:36.680] 没事白等了。
[41:39.720] 了这些。
[41:44.120] 干完。
[41:45.070] 咱又发了一个聊了一下没空。
[41:48.730] 不让走。
[41:50.410] 当然我跟工行这边马上的东西别走，也要装。
[41:56.730] 非常。
[41:58.260] 的
[42:01.100] 咱们是这种方法，现在你们完了
[42:04.860] 银行管还是这种委托专业银行？
[42:54.310] 关注。
[42:55.330] 你看公司金融服务，我们的科学，我们公司名称，
[43:01.910] 谁知
[43:02.720] 激活完了以后不用这边操作，他们用自己，然后以后每个月很多时间，
[43:08.430] 短信为发展这块，微信会提供到费用的。
[43:12.610] 然后如果这个股票
[43:14.430] 下班看到一个活动查询非常长沙比如说最后一次哪年哪月汇款购买计划我们都可以，
[43:23.230] 这个表达了
[43:32.590] 数据
[43:37.770] 数据。
[43:40.350] 对
[43:42.720] 远。
[43:49.570] 车辆
[43:51.190] 谁知
[43:55.080] 谁知
[44:00.000] 还有。
[44:04.120] 二
[44:05.740] 三
[44:07.190] 三
[44:10.230] 一块当然
[44:19.500] 上边的
[44:30.030] 都不愿意。
[44:31.260] 谁知
[44:33.000] 一个月都不能。
[44:34.390] 今天交钱的总金额是
[44:40.050] 6，
[44:43.550] 看着咱手写在一块，
[45:04.880] 外卖送进来。
[45:06.410] 毛病。
[45:07.720] 到门口应该是到开始。
[45:11.310] 对让深入接触，然后一个
[45:14.270] 到沃尔沃门口
[45:17.810] 爆了有点
[45:19.950] 我还没邦典。
[45:22.480] 内容来源。
[45:30.520] 我们认识。
[45:31.670] 对，您可以阅读一下车价429800购置税38035.7是40，
[45:39.920] 保险是13,730块0毛9，这儿提供一
[45:45.960] 进行保险上述2500是131吧，合计是49万
[45:51.510] 6866块008分，
[45:54.790] 减1万斤斤减30万贷款金额，今天总共交18万 06块08分，
[46:01.050] 谁知。
[46:03.730] 已经有三。
[46:05.490] 具有相当的
[46:09.960] 谁知
[46:12.320] 的
[46:24.440] 副经理胡新蕾你在什么位置？
[46:38.130] 楠哥，楠哥在什么位置？
[46:41.000] 数据。
[46:44.620] 点
[46:46.970] 远远。
[46:48.510] 坏。
[46:51.990] 号。
[48:50.840] 在哪签字
[48:54.270] 了？
[49:39.410] 数据
[49:41.890] 数据
[49:45.370] 你是不是在车里面淘气了？
[49:48.080] 你是不是在寝室里面淘气了？好。
[49:50.360] 你早上起来。
[49:51.750] 里边淘气这不是我就打买了这台车以后。
[49:55.130] 我不买。
[49:56.510] 不承认吗？不承认事实就证明了你肯定是我还有其他知道我下午三波客户过来了，过来这事儿。
[50:03.410] 第二，反正你有两个订座的一个暑假的鞋，
[50:07.860] 啥意思？我下午肯定忙不过来，但客户没意思，肯定忙不过来，反正
[50:13.250] 人家不说人家忙不过来啥意思，你是要现在就要预订，我妈妈
[50:18.720] 当时15,800装饰送两趟保险，我现在直接给它减13,000了就。
[50:23.160] 你这样不断对车间还有点议价，然后我是给他
[50:27.370] 优惠7万算钱买保险。
[50:30.210] 谁知
[50:33.470] 我记得应该是有
[50:35.220] 看一下协调。
[50:38.000] 好像这些政策我看一下，你是最早现在是24。
[50:42.210] 这个不需要客户签了是吧？这个不用给我签。
[50:46.020] 你看照片用我看一下，我今天这74,000千万，
[50:51.560] 也就是什么运动豪华。
[50:53.790] 运动叔讲，
[50:57.320] 看看谈论证婚。
[50:59.280] 就24了，不是323，因为你24的更新版，
[51:04.150] 你别的看似24，他妈没法看23吗？
[51:10.190] 三。
[51:12.160] 你也没提提了。
[51:14.840] 哪级了？
[51:16.960] 卡片不需要我批，还是批发还是直接就做一晚上，
[51:21.460] 你都给我整晕了，反正我P
[51:25.530] 不是ova，我
[51:28.790] 上午
[51:30.160] 你给1000，你跟张经理说一下，然后让他尽快记录。
[51:36.490] 又不是不，我说反正你核实过了，反正是
[51:43.010] 法院也得
[51:45.340] 反正也都在里面了，是都在我没拿电脑。
[51:50.730] 这个是不是也是你看等
[51:53.410] 这是你设备多少钱优惠的基本情况，还有
[51:57.960] 还有多钱之前
[51:59.850] 提交什么？
[52:02.370] 还有意见吗？
[52:06.700] 源路口老车主老客户。
[52:09.870] 来看看24号中断，
[52:13.520] 24号灯是不是也是这张？
[52:19.340] 7月24。
[52:21.070] 一份就行。
[52:22.690] 十二三到72。
[52:26.260] 没有别的了。
[52:28.470] 在上楼我看看这是什么玩意，
[52:31.820] 还有什么玩意，P的好的。
[52:34.660] 他是那个玩意怎么没有特别讨厌，
[52:38.950] 人家弄完结束材料不是现在没问题，让他才能在哪收回去结账就行了。
[52:45.510] 让收据结帐就行了，再反正
[52:47.610] 你每次做完这卡片以后的话，
[52:49.800] 你会干啥去？
[52:51.050] 我啥不用睡上了。
[52:54.420] 有一个问题，这个车现在在做的
[52:59.240] 个人的时间在做，谁知
[53:04.660] 你放下，但是
[53:06.280] 在上还有你写完了不能使用吗？
[54:48.830] 或者。
[54:50.260] 谁知
[54:51.210] 这边
[54:57.640] 为什么我在亲属报表。
[55:06.650] 对。
[55:08.520] 法官宣判，
[55:11.580] 在程序正确。
[55:14.000] 篇你
[55:15.220] 你看一下。
[55:21.580] 标准的还是防守的拿的。
[55:40.520] 这怎么办？
[55:41.250] 还有个叫生产胶合板就是地标的，
[55:46.120] 对，运动版的都是大标的。
[55:49.000] 然后还有一个标准的交流的比短了7公分大部分。
[55:56.110] 交流的是三的，对他们上班我去到对面第。
[56:01.650] 我知道了，小小天要开了，然后点
[56:08.280] 那就交友的的。
[56:11.430] 在东边对。
[56:15.230] 好。
[56:16.410] 其他对要说。
[56:19.150] 谁知
[56:21.810] 也不一样，看不行，对干热还有点，然后还差一个。
[56:28.350] 里边的，然后对是的。
[56:37.150] 还有。
[56:39.890] 的
[56:47.320] 的
[56:49.870] 的
[56:55.490] 对。
[57:04.390] 对。
[57:07.920] 他那是cd。
[57:09.710] 4C4000，
[57:13.220] C是4000，直接长假
[57:18.880] 4000，然后但是你得看一下，看能不能存点钱。
[57:26.880] 看看
[57:27.800] 面板吗？
[57:29.530] 也能指点你就看怎么说，如果你要整一个。
[57:32.750] 尽管然后再说这边可能。
[57:35.530] 答曰，但他不一样的。
[57:56.050] 好不好？
[57:57.120] 杭州的吗？你好好对着拿手套了。
[58:01.600] 再见。
[58:02.970] 又有点
[58:07.690] 多少钱加上补贴是多少钱？
[58:37.950] 还有
[58:39.070] 它就变成块一种方式了。
[58:42.610] 他是不是用错了没有提成吗？
[58:47.050] 等会儿。
[58:48.290] 他小票吗？
[58:51.650] 发两张小票。
[58:53.230] 那就是差不多76,000。
[58:57.500] 还有一张吗？
[58:59.480] 在里头。
[59:01.610] 好差不多，不过这不是咱们
[59:06.000] 我一会给你问题，看看能不能回来一下。
[59:12.760] 好多都没有。
[59:16.830] 小声的对他们家1000家到一起。
[59:19.710] 去了对你。
[59:21.300] 你说谁昨天谁什么实习单位？
[59:33.470] 大概
[59:39.230] 对，看到你不应该。
[59:41.500] 你是不是前台？
[59:49.350] 还是销售
[59:51.980] 流逝，
[60:13.290] 今天等会。
[60:15.150] 走
[60:16.980] 数据。
[60:22.900] 等着
[60:25.240] 千。
[60:29.350] 等等。
[60:41.950] 三
[60:42.680] 10
[60:43.520] 号。
[60:46.860] 知道
[62:43.610] 你就不能给我个清楚点吗？
[62:45.620] 都这样。
[62:47.100] 是早的时候你们都没有意义吗？没有。
[62:50.860] 我们早不知道，我们只能从公司里面打印。
[62:55.800] 没打。
[62:57.320] 他们扫描的，对。
[63:00.640] 滑动折腾这减少了。
[63:02.530] 不知道你找的。
[63:05.270] 不过80%是吗？
[63:07.160] 这得交够80%的，现在咱们差别太太清楚。
[63:11.430] 但是。
[63:12.850] 全部拿来，我给你休息了，可是
[63:21.870] 我就好像是5%那天给我发的。
[63:24.490] 7080%多了，
[63:26.420] 差异就差一点个我觉得。
[63:29.360] 平时不
[63:31.440] 谁知。
[63:33.980] 2000
[63:35.980] 02
[63:36.790] 二。
[63:37.830] 2
[63:45.400] 这好事没有。
[63:47.990] 我看他财务信息表不就有特。
[63:52.930] 你说的是合格证编号。
[63:58.550] 你用自己
[63:59.920] 反正1234有的他那有重演了。
[64:08.300] 最大。
[64:17.200] 这都是空调的。
[64:24.930] 弟弟、
[64:40.360] 昨天黑车分列式就那一台，我现在不知道有没有被并过去，反正黑车黑红也是这些。
[64:46.750] 知道什么倒车了什么。
[64:50.120] 张姐我这会儿交车完我给您确定一下回复，你稍等一下您
[64:56.320] 完会我找部门那边确定一下，再试一下，直接。
[65:47.950] 然后对。
[65:49.630] 待空了。
[65:51.400] 喝。
[65:52.590] 吓人是不是？不是下雨是真的。
[65:55.840] 说哪个地方黑夜是什么？
[65:59.000] 反正除了。
[66:01.640] 我懂了姐我知道了。
[66:03.250] 我做了我知道。
[66:05.750] 我走了吧。
[66:25.030] 01021974
[66:27.090] 01312749。
[66:29.960] 0. 
[66:31.500] 90。
[66:33.020] 没太多了。
[66:53.480] 0
[66:54.530] 谁知。
[66:58.150] 0217，
[67:01.920] 150042。
[67:05.710] 清楚你购买吗？
[67:09.100] 拿了。
[67:14.290] 房款是谁？
[67:16.360] 弄好了。
[67:20.280] 你要有事你可以忙。
[67:22.410] 该公司。
[67:23.670] 后边就是监管专项保险，想说
[67:27.460] 分析了
[67:44.550] 为下片
[67:45.380] 不能走了。
[67:46.840] 你说等一下。
[68:06.760] 不行，那不是咱的。
[68:08.690] 就是一样的。
[68:10.690] 在会上没有我
[68:14.850] 主要是质量
[68:15.880] 的
[68:18.200] 的。
[69:42.720] 小孩那天换指标的。
[69:45.330] 我
[69:47.680] 我给你重新打一个。
[69:49.430] 然后OTR怎么弄？
[69:58.190] 就。
[69:59.250] 管开票人换一下是吧？
[70:07.230] 订单还是用之前订单的吗？
[70:19.270] 哪个那年马上。
[70:21.310] 做。
[70:53.810] 没有刚。
[70:54.720] 等等。
[70:56.270] 到了刚看完车，然后
[70:59.560] 再帮找一地儿坐，然后
[71:02.680] 后门什么手续？
[71:31.570] 好，这把你的身份给
[71:33.430] 来。
[71:40.080] 去
[71:52.090] 写下你的电话和邮箱，
[72:28.650] 一下
[72:32.200] 员工这一块。
[72:43.370] 稍微
[73:00.510] 行没问题。
[73:03.860] 好了，拜拜。
[73:05.170] 大概多少天回来。
[73:07.240] 没问题，拜拜。
[73:56.610] 那本叫中医吗？
[73:58.100] 应该是吧？
[74:03.480] 那个门我们服从是沃门口门。
[74:06.720] 我对
[74:20.050] 一个卧室门口一个保洁的门口。
[74:32.000] 身份证给你先不用。
[75:11.910] 一会。
[75:13.930] 走带着走。
[75:15.600] 已经定了，你到了吗？
[75:17.700] 快到了。
[75:21.040] 他初五办了。
[75:29.400] 一会有三个同事
[75:31.180] 来给你接触，
[75:32.460] 一个是
[75:33.960] 销售员你讲车，
[75:37.260] 然后二一个是
[75:40.050] 客服做面访，
[75:42.480] 三一个是有一个售后的讲讲质保，同时
[75:46.980] 来讲是
[75:49.490] 我现在去给您交给他们，然后我给出保险。
[75:55.040] 我等会给你聊天。
[75:57.240] 没问题可以。
[76:01.570] 标准。
[76:02.880] 对。
[76:05.730] 讲车
[76:08.570] 大概多长时间？
[76:11.110] 没问题，好了。
[76:12.420] 拜拜。
[76:16.890] 标准的比还要。
[76:19.840] 对这个车标准进口的。
[76:22.880] 进口的291是这1.5T
[76:25.980] 三款之后还是控制300停产了已经。
[76:38.350] 条例现在多少？
[76:40.290] 这样一便宜点也得80。
[76:43.390] 咱特别少。
[76:46.260] 这一场吗？
[76:49.320] 60和70 70的网上你先去那等我一会自己等着一楼行吗？
[77:26.790] 对朱先生。
[77:28.680] 我这边摆的一直坚持的。
[77:30.760] 您爹俩手都出来了，您就过来睡着了。
[77:35.530] 好勒。
[77:39.200] 白净。
[77:40.320] 发票管理
[77:49.600] 指标是什么？个人指标是现成的。
[77:56.030] 第一次
[77:58.240] 微信。
[78:01.920] 订单这套表。
[78:05.720] 在这边看吗？
[78:06.920] 然后出来。
[78:08.670] 达标
[78:09.790] 等。
[78:12.490] 发票退了没错。
[78:14.990] 发票对了。
[78:17.870] 马上
[79:14.480] 你好。
[79:20.540] 第不是我
[79:25.790] 对被上诉人
[79:26.800] 谁知
[79:29.480] 出来是吗？老师知道吗？
[79:32.630] 考虑。
[79:34.740] 你看见我的iPad，妈妈没让你跟你说啥，我不知道吗？不要活了，来看没有不
[80:07.160] 又瘦了。
[80:11.250] 他老板。
[80:15.560] 我也是好的。
[80:20.630] 你看也是什么？
[80:23.250] 我刚刚我问一下也常规。
[80:25.880] 来。
[80:27.970] 太平洋哪个老板？
[80:30.620] 太平洋。
[80:31.930] 要不要我错的上，之前算过吗？怎么样？
[80:40.510] 有人给你算过吗？
[80:42.840] 算过，上午你给我算了一个，谁知
[80:46.520] 花了有。
[80:50.060] 觉得。
[80:52.060] 我怎么给你？
[80:53.820] 报警。
[81:00.340] 就刚刚工作
[81:03.140] 的
[81:04.510] 月。
