[00:00.660] 接待二次客户，李富先生看着LC
[03:08.590] 我就在那坐着喝点典型，没带是吧？他没回来，我刚打完电话移没回来我就去看看。
[03:15.510] 行，一会要不你帮我再问一下吴哥，把张鸿章我给打电话，我再给。
[03:22.480] 我现在再给他打一个，他刚才没停过完了。
[03:25.370] 不是，他刚才是苹果和一个的车，我给他打不用打了，我打了。
[03:36.070] 张哥您恢复完了吗？
[03:38.640] 你出了价格了吗？
[03:40.700] 了。
[03:43.550] 是他们了的结果不是吗？好好的
[03:50.230] 了。
[03:52.340] 这洗车的心跳网络太明白，包装等一下，
[03:56.720] 包括的公司贴完出去之后，
[04:00.220] 一些华为主管挂号，
[04:02.270] 看到不会担心，
[04:04.400] 因为这车它属于橡胶，我在这下功夫这块的不能
[04:09.500] 下一个点非常
[04:15.320] 两几分钟就出来价格了，几分钟
[04:18.850] 几分钟她的价格了，
[04:20.870] 再等几分钟，然后帮我去跟新车或者带他们去后面这边安置点，我觉得也是因为价格，我们这块这边不是为了挣您多少钱，就是为了让你能再买新车，不会拿修车肯定的不要总在变。
[04:35.050] 对，我也想说如果你们家有合适，我们也就gg了，不折腾了，因为你这里离我也近是没有对，
[04:43.410] 当时因为我们朋友非得
[04:50.700] 肯定是老款的，我想要么就是很长时间的库存了，结果正常的破电话来了。
[04:55.690] 对，当时我也快钱都交完了，他才发现的
[04:59.460] 型号不对了，就交完定金了。
[05:01.620] 正在记下，你正在接前就交了，预付款那些都交完了，然后他要出
[05:08.750] 合同融资合同全部低开，对，我说你嫌工资少，到最后给你优惠多少钱，
[05:14.720] 他6万的基础上我们再谈的其他的就做的什么，其它就是你们家什么内饰是吧？还有
[05:24.350] 什么那是让你做多少钱？
[05:26.440] 那是他们家是8。
[05:29.160] 千多千三八，包括啥烟？
[05:32.430] 什么膜脚垫、后备箱垫记录仪，对这些都只吃这些，行，因为你们上1万了，这房也没有必要什么就多一个量子膜，对，要不一会我给你问问。
[05:46.000] 我也给你问问，按照他价格他说优惠6万，
[05:48.570] 然后8800的装饰，然后保险是保险就正常上你就上多少了，我一会加上最有兴趣问一下，我一会就按照简单我们也不要那么复杂。
[06:00.650] 东西单子我都了是吧？一会我就按照你问行了，这样我们就对你不用再跑了，没意义了。
[06:07.840] 一会我家人请坐着，等会开车帮我照顾点睡，刚了回去去做那些会。
[06:18.650] 客户也是来订车的，他在节目看到他说确实他觉得其实也见，他说确实都没有并，
[06:25.330] 而且还老是说这真的有很大的行业。
[06:30.010] 您看看这个吗？
[06:38.970] 效果，
[06:40.330] 手机北方的一些问题，
[06:45.550] 这种
[06:49.000] 模拟
[06:49.920] 视频的这种题目虚假，但是他是冠军要包括谁知
[06:57.540] 情况。
[07:09.950] 真实的两
[07:10.960] 侧身将玻璃帷幕主力的钢化玻璃，
[07:14.110] 你看一个缺的
[07:16.480] 特种话，这6个0 60
[07:21.440] 非常好。
[07:32.310] 所有的东西
[07:33.250] 都是贴在玻璃的颜色，对吧？这个
[07:36.500] 我也把
[07:38.350] 整合的增长一个
[07:52.490] 就是模拟高速。
[07:53.560] 谁知号往后稍微大一点，
[08:05.390] 如今的钢球
[08:06.740] 可以看到直接
[08:08.220] 穿透玻璃，
[08:09.690] 而且
[08:11.190] 为什么说伤害最大的是玻璃的碎包，他会全部地随着一种
[08:16.620] 直接飞溅到车里头，
[08:18.350] 怎么会飞到咱们的身上，对他们全家人造成很大的二级。
[08:29.880] 如果奔驰说没弄这个膜，他也是碎成被。
[08:33.840] 是的，只要是玻璃都会碎成这样的，管理都是一样。
[08:38.760] 就是甭管今天您提迈巴赫岁及奔驰的A200两车价差100万，他玻璃都是一样，
[08:45.030] 它只是分8厘夹胶玻璃分5厘的钢化。
[08:50.440] 这个是安徽。
[08:58.360] 没事没有，他说你因为4点。
[09:00.980] 特别安全。
[09:08.550] 不一样吗？
[09:09.690] 你是不是犯错玻璃了？
[09:16.000] 拿
[09:20.550] 你这是普通的玻璃，
[09:23.290] 玻璃它不是普通的膜，
[09:39.480] 你这是哪个？
[09:52.220] 10
[10:10.250] 他们
[10:11.700] 贴了安卓之后，当时砸了可以看到玻璃依然是岁，
[10:16.790] 但是最主要
[10:20.740] 坐在车里面，
[10:23.480] 你可以用红包的，
[10:26.370] 对这琢磨还是完好无损的。
[10:28.900] 对斜晖脉脉。
[10:30.540] 他没有完全的穿透，
[10:32.480] 对吧？
[10:33.320] 它可以防止玻璃的碎砖毕竟闹出来，而且
[10:37.140] 它能提升玻璃的强度，
[10:48.950] 通过
[10:50.600] 万色的炸鸡，
[10:52.250] 这个玻璃依然是无法穿透的。
[10:54.920] 如果说真是
[10:56.130] 好在超速路上有这种石子或者其他义务的天下，首先咱们车内人员肯定特别安全，
[11:06.990] 普通膜搁上3~8倍的一种方式。
[11:10.480] 我查申请。
[11:12.150] 可以有一个墓碑的传统，
[11:14.360] 这是正常。
[11:15.360] 用什么工具才能把
[11:17.770] 膜很快表什么？我说
[11:21.460] 对，用什么板材能膜很快的就给它充电，如果说真是
[11:27.350] 遇到比如说危险涉水的情况下，咱们车内头枕
[11:31.800] 安全特征可以取下来，
[11:33.760] 可以正常去从里边往外拿，我说外边咱就假设就是说因为你这个东西那啥，
[11:40.640] 你外边好多车都是外边救援，人家连你破裂都打不开。
[11:45.340] 你说是开水吗？比如说遇到这种东西。
[11:48.110] 对外边儿太对，那人也打不开你的玻璃了，不。
[11:53.950] 正常救援时候应该是
[11:56.380] 开车门也经常救援最直观的天穿。
[12:01.010] 咱们正常逃生其实是天窗，贴膜的是不包含天窗，因为天山不缺点不足和
[12:07.070] 能贴膜都是什么前档，然后后倒
[12:11.360] 车身4个门的玻璃，
[12:13.440] 宜家上小三角的全车玻璃，
[12:16.100] 周边您看这边这一个圈，
[12:18.300] 全贴。
[12:19.260] 除了天窗不能贴，
[12:20.910] 其他都能接，正常说您说的这种情况基本是没有，但是如果说真是发生可以从天窗去复杂。
[12:29.490] 这是安防，但是他也不是说完全的不能砸碎，您看我这视频里连续的敲打，
[12:37.070] 可能连续把这馍砸穿了之后，他也能进去，它就是防止一下的。
[12:42.920] 这是安防膜，其实现在您可以考虑一个4级或者6级，
[12:48.550] 性价比最高的也是D4级全球这种外面是吧？
[12:53.720] 13986辑是26,800多两个安全等级。
[12:57.950] 这一个因为店里普通的一个好一点的顶级的折磨，家里都在1米7左右，就是说你那最低1.5是多少？
[13:06.980] 内部的跟主题的来自增大，然后稍微给他差不多也8800。
[13:13.400] 对常规的主要是8800，然后还有稍微不好点是7800。
[13:19.370] 给您简单说明三口，其实这贴膜您这么想，你买这么高端的车，
[13:23.720] 后续肯定开个5年甚至8年，
[13:26.120] 每天都开，核心这天你肯定考虑第一点考虑退热，第二这就是一个
[13:32.280] 一个无形的保障。
[13:34.400] 这个牌子和任何一样都是最低的，只不过是防暴队就煌对要总结一样，对，所以说为什么说是建议你每个4级或者6级就行了，不用买最高，没必要12级，
[13:47.850] 那种都是基本迈巴赫清楚。
[13:49.980] 考虑比如说真是我经常外一些商用的特色对新人，
[13:56.370] 谁知
[13:57.560] 好好谢谢没事。
[14:02.380] 谁知
[14:03.460] 吹和他前妻分两种，一全车所有的漆面能看到的。
[14:08.880] 都贴上光盘，村里头全都下来了吗？
[14:12.400] 当然对
[14:13.740] 这个价格达到实际上RNN
[14:17.260] 能够有的活动。
[14:19.540] 然后还有一种所以说为什么我说您一起聊好了，一起去给你问，去对一个什么局部，
[14:25.590] 比如说您看我这有一之前的客户，
[14:35.980] 这个客户是之前在我电脑你们那份做活动，
[14:40.760] 送了一个单独的手段，
[14:43.310] 然后中医
[14:45.190] 然后随着
[14:47.530] 在我们做演示的时候，
[14:49.170] 电离刺激
[14:50.660] 红线受到别的车
[14:53.470] 思想
[14:54.330] 能够看到
[14:57.100] 他这个东西。
[14:58.870] 最大的实木
[15:00.460] 保证
[15:01.480] 车漆不受损伤。
[15:03.880] 因为这车你想开个几年，真是表面要发乌了不亮了，你要卖车的话卖不出。
[15:11.310] 因为
[15:12.370] 对车意思
[15:14.550] 原车漆面没有上来。
[15:16.670] 这个车E道，但是我们车主一般贴局部，完了后来反正也考虑做一个全车，
[15:23.290] 后期每年其实也能省不少钱，您这么讲每年的初面的
[15:27.910] 划痕险一年省了2000多块钱，
[15:30.940] 然后每年去卖的养护省了一两千块钱，那一年就存3000块钱。
[15:35.200] 而且不管说您什么时候贴，后期什么我不用都他能使用5年8年，
[15:40.590] 对吧？而且出现剐蹭，4月在
[15:44.960] 比如别人给你挂了，然后换的话也能做出来保险。
[15:48.610] 比较。
[15:50.050] 行领导有问题的，行好。
[15:53.290] 我刚才给你算个单子，
[15:55.810] 看看在河边吗？没拿。
[15:58.270] 我在那里的是吗？
[15:59.820] 我们的
[16:05.650] 的单子
[16:11.110] 应该差不多了。
[16:12.810] 你现在去那边问张哥，
[16:15.020] 是张哥是戴眼镜那个吗？不是瘦高说的，就是她我的单子还是负责咱们。
[16:23.450] 我看州长
[16:24.920] 我愿意
[16:25.920] 张哥出来那么价格。
[16:27.950] 我那个是吗？行了好了，我让柴静才去找你，去后勤门口找你。
[16:34.310] 我在前厅这边，我这边有个客户，我客户让产业建材带着你去找带她去找你们，你跟
[16:40.160] 我这客户都看好了，张哥，你就直接跟人实实在在的多少钱就多少钱就行了。
[16:45.230] 您那边到时候一会姐这边都看过了，谢谢麻烦张哥了，拜拜。
[16:53.090] 明天去我给你打电话，然后一会过去找你们，跟他那边说好了，告诉我一声猜歌，然后我就去找你们。
[16:58.160] 然后就你把单子给我，一会我拿你的单子，对你现在给我拿那个单子毕业是问你。
[17:04.600] 谁知
[17:07.440] 这定价是吧？直接要这太有说服力了，对我就拿因为你看他是到最后打出来之后发现了，你看其实是31880的，我看这个价位打的，但实际上他最后给我打出来的价是31448的，就是老对。
[17:25.640] 不就这个吗？
[17:26.700] 对非常重要的就是这是
[17:29.400] 咱给他不一样的，您对就一会我们把它细化，我们当了爸爸每天的客户，
[17:35.900] 你喊一下你将礼金前天有客户找你都完了，就看一下我给你发过去，
[17:42.340] 还要跟妈妈去客厅，
[17:45.020] 最后听了你
[17:49.460] 大哥，
[17:50.480] 二
[17:51.660] 爱和。
[17:53.270] 他说。
[17:54.670] 咱坐在屋里边，
[18:06.050] 这部分人
[18:09.510] 这讲
[18:15.270] 你看你这什么时候是感兴趣做，然后我这就去给你问题，
[18:19.970] 我正好直接翻了一下不少钱。
[18:22.960] 装饰怎么说这东西反正是对自己再确实有用的。
[18:28.160] 魔我觉得你要写那个的话，你。
[18:29.660] 选一个4级的就行了。
[18:30.960] 我给你的建议你就不用选了，19,800你就不用选高的了，没意义。
[18:35.760] 这样没招。
[18:36.830] 你就选维护。
[18:37.920] 芴，对，我选普通的那种。
[18:40.240] 维护的，你就切8800微博的就行。
[18:42.660] 那个不就是快递那什么吗？
[18:45.800] 隔热，对，只是说他只是说得不那么黄闸那发达的东西。
[18:51.860] 感觉有点累。
[18:57.400] 您要维护贴膜，我记上点，一会我去问他们，你就要八千8的，因为为维护的顶级的一万七七八。
[19:04.270] 你不要那个了，不要
[19:05.770] 你要8800的就行了，一
[19:08.740] 隔热就是不是这个牌子的是吧？不是这牌子的，这牌子最低的就是19,800的，
[19:15.490] 最低的就是19,800的，对。
[19:18.760] 他刚才跟你说的排最低的就是1万。
[19:21.630] 6800. 
[19:22.680] 因为他真的是隔热什么都是最好的格式，是这样，对。
[19:27.610] 和热是最好的，都是一样，我客户非常明显他买的事业，然后他那时候确实是车夏天最热的时候会比其他的车。
[19:35.690] 量一些，温度低一点，
[19:37.510] 确实这是她的反应，所以看看您自己
[19:42.390] 经常说。
[19:44.170] 看能优惠多少了。
[19:46.600] 对，您说19,800能打一个多少？
[19:51.210] 我就不知道维尼的真的是他是。
[19:54.930] 26大概一年最低点。
[19:57.790] 为D的是19,800，
[19:59.170] 我觉得差不多8折。
[20:02.350] 好像是
[20:04.350] 这样。
[20:05.160] 因为它本身的品质就在那儿，对，像你要咱们跟着毛笔膜给你打个。
[20:09.660] 折旧六七千块钱了。
[20:10.950] 就跟您在外边贴的是一样的，多拿点打个5个不就出来，不肯定没有解着PAD，A级的膜我们都有规定的，这个东西本身它就贵，它不像您这个本身它就不会定价那么高，因为东西的质量也是不一样的。
[20:25.470] 车运的车一需要吗？
[20:27.680] 要
[20:28.600] 才一多一点。
[20:29.870] 万3800全车。
[20:31.620] 两
[20:33.500] 你要一个贴膜，然后贴膜的话您自己选，还有记录仪我记上去。
[20:38.680] 进入1月份情况。
[20:40.190] A股因这等于是3800，但是我能给您便宜没事儿。
[20:43.870] 这我能给你钱，我估计2000多块钱就能让您抓下来。
[20:47.110] 然后脚垫，
[20:48.410] 后备箱垫这就都没有太贵了。
[20:50.660] 你就看你模写的哪个，然后一起去给你问，咱们都看单价离最低。
[20:57.010] 问问多少？
[20:58.110] 行可以没问题，弄1万块钱左右下不来这块。
[21:02.480] 真下来1您1万块钱他真贴不了这车膜，哈雷的士这个膜外边没有，他只做高端品牌，你就包括隔壁保时捷贴都是这一块。
[21:14.100] 他那边和都是一样的，火热都是一样的，车款咱刚不说了，再降个5000。
[21:21.100] 然后刚才。
[21:22.370] 隔膜的话您5折大不了你打个6折。
[21:25.560] 66号我要到府，然后我们就定了就完了。
[21:30.700] 是慢磨小调，然后记录仪对。
[21:35.480] 记录仪后备箱件要吗？
[21:37.380] 要。
[21:38.470] 后备箱垫一块，然后。
[21:40.210] 给我看看。
[21:41.660] 我看看我看这些多少钱我给你算，我也得算一下我能不能申请下来，我别到那挨骂，我先看一眼就对，你也别骂都骂我，别到了挨骂，挨让他一顿骂他们，我们都啥咱们双方都舒服点行没问题，好吗？是吧？
[21:58.710] 我看看这个报价得多少心。
[22:03.760] 哥。
[22:07.560] 行了，我这就去
[22:10.600] 沟通完了是吧？行勒好勒。
[22:13.680] 谁知。
[22:16.400] 分期我都算过了。
[22:24.390] 知道了好。
[22:25.750] 拜拜。
[22:28.370] 好。
[22:32.690] 我看他这个都报价多少钱，正好给客户问，俩一起去问，还好问，我说你们俩认识。
[22:38.600] 就是一块对。
[22:51.630] 等他打开他
[22:54.890] 我印象中记录仪是3800酒店多少钱？
[22:58.880] 基本没钱了。
[23:00.910] 不是，它这个是奔驰专用，也是外边没有的，它不像脚垫后备箱垫这些东西，咱们在外边买也可以。
[23:06.640] 你看进度于是3800，脚垫是2500，后备箱垫8800，
[23:12.080] 2500将.388 800 880，对我这几个都得拿奖加上。
[23:25.710] 怎么办？
[23:27.220] 行车记录仪真跟在外边不一样。
[23:32.230] 小金、
[23:34.690] 了，但是交代。
[23:40.430] 我去问去这些东西正常按照原价加起来是26,980，
[23:44.970] 这4样东西他那看雷迪的19,800.5，26,900万。
[23:51.200] 2001号了。
[23:53.550] 您想要的这再给您优惠个5000。
[23:56.050] 车款优惠再就是2000，
[24:00.200] 整你打个6折，
[24:01.870] 打6折多少钱？
[24:03.490] 16,188。
[24:05.400] 你先标一下。
[24:08.360] 问去了。
[24:09.790] 分期是吧？三分然后置换掉换，行，你看我这个客户拿单子来了，
[24:16.140] 这种的特点是什么？
[24:18.670] 都把它都得他把别墅的单子给我拿来了，我正好一起去。
[24:22.410] 谁知
[24:24.630] 后来谁知
[24:39.230] 这听懂了开，但是这次没有销售，后台那边有销售，莱阳，
[24:45.350] 我拿着客户的订单去找去，
[24:49.510] 他在别人家已经定完之后LB我现在往后走就车已经评估完了，价格也说好了，现在就是新车这块你想
[24:58.070] 你在哪我去找你。
[25:02.520] 我迎你我在路上说，
[25:05.120] 然后还有一个JLC也能定下来了，但是他要的价格有点很
[25:10.030] 回来。
[25:59.150] 这个是。
[26:00.530] 客户在波士诚达的一个订单的状况，现金优惠就先上牌2000万，
[26:05.120] 就6万装饰8800，包含进口车模这么矫健，
[26:08.720] 置换分期分期在那边，
[26:10.660] 还送5000收购。
[26:12.230] 这个没关系，盛达是黄山传达室顺义这边。
[26:17.130] 晕周应该拥有的。
[26:18.970] 对治疗D有车。
[26:21.280] 家有谁知，
[26:23.290] 咱155,000那时候就跟他说给不了，他们上那边买车6万我都不信，那结果就真拿单子给我来了。
[26:29.100] 走走咱回去了。
[26:32.600] 好喂。
[26:34.880] 挨个。
[26:41.320] 260是吗？行吗？我再给你问问260可以没问题，一起给您问，好。
[26:47.150] 拜拜。
[26:49.330] 没有现车那边是有现车当时，然后结果销售顾问不知道现车是老款的，我就跟他说，
[26:56.940] 我说姐他给你的车绝对是老款了，然后他说完了你看着交真是318,800，结果
[27:02.490] 到那什么时候看车的时候，
[27:04.360] 发现了314,800销售也确实不知道，要知道不能决定，
[27:10.330] 这都有点肉前的事了，我就一直跟
[27:12.940] 咱家带头的车都到了，主要是新款担心场了吗？
[27:16.760] 没有行走。
[27:19.710] 那什么呢？
[27:21.170] 咱楼下。
[27:22.420] 忘了。
[27:23.460] 但是他到也这价格大概有6万，我问了这155,000送5000保险5万我你这样
[27:29.370] 55,000把站牌给他送了，
[27:33.550] 上班送了8800，然后咱们也这些东西，
[27:36.850] 我这分复用了。
[27:38.500] 上牌分没了。
[27:40.180] 我看分特别低。
[27:44.690] 要是把上牌给他送了，上盘之后，
[27:48.240] 给他送了4000保险。
[27:50.410] 6500了吗？对。
[27:52.280] 还比他高，对他不还有售后，售后给他说明白了，我没跟他说，就你说那玩意去那儿保养，而且我觉得我就给他这个价格了，就签收后就结束。
[28:02.450] 是不是售后不说是啥意思，就说过我就看您跟我提过售后就是售后把客户什么中学时送的工时吗？他自个花料傻逼，对没必要。
[28:14.080] 它是从3000多就送3000保险。
[28:17.390] 送3000。
[28:18.420] 我觉得在这基础上直接送父亲保险的，他一天都没看。
[28:22.810] 有2500接收了，那边被人家收吗？
[28:26.220] 你就这么着。
[28:27.730] 买8斤三哥4000 4500都行。
[28:32.760] 这个车应该是。
[28:34.400] 能排下来吗那边？
[28:35.690] 该差不多这个不行的，你说你不要跑了，盛达我们到精神都是开着，
[28:41.250] 咱们回东北你走京城走一会才看到成的牌子，你干嘛就去那，然后
[28:46.520] 这两款车都不让我体验完酷思迪了，他是想这个是我按照43,000给他报的，因为这也是约会的客户。
[28:52.890] 然后43,000报的，他是想在这手术上没算装修，但是我招呼肯定得买多少钱体验的付斯迪，
[28:58.710] 然后伺机抢119800的，一会再给您出装饰了，然后现在想在这个基础上再减5000，那属于4万。
[29:05.980] 点5000，就是他置换也置换有分期，
[29:10.900] 你送了5000毛选8150，
[29:13.110] 要什么谁知
[29:19.400] 这些东西加在一起，我刚才给他算了，我说26,980，然后她身上她然后给打了6折，打6折就是16,188，那车价就别动了。
[29:29.050] 您说就不送了5000块钱了，
[29:31.850] 你要16,188再送她保险送5000他就太合适了。
[29:39.270] 我想想。
[29:41.630] 有分期是吧？
[29:42.780] 有的话就算
[29:44.080] 不说话，
[29:45.150] 我觉得也可以有置换的话，加上一个2500加上一个3800，
[29:50.680] 加上一个880，
[29:52.420] 是26,981.7的
[29:55.390] 18,800。
[29:59.750] 你从你总数乘以1.2。
[30:02.870] 第二个1点儿5366，
[30:07.220] 你给他打7折送3000保险吗？
[30:11.290] 打7折送到3000保险。
[30:15.110] 我估计他不。
[30:16.680] 这样有优惠吗？
[30:18.880] 46,000看看一个说他两个小老板，
[30:22.730] 看着我给他推着260，那会咱补贴二个0，他回去两周，
[30:26.800] 小的还小。
[30:29.330] 我觉得你现在谈装饰装饰谈谈好了到底多少钱，能不能做下来多少钱。
[30:34.330] 说着
[30:36.670] 要不然就都从高空里装上去。
[30:43.030] 当时6折太狠了，6折。
[30:49.090] 他看上19,800的了是吧？
[30:52.070] 的。
[30:53.310] 你有那些电话吗？卖煎饼没有夏东的，他微信没他电话在这能吓走太他们丢nothing。
[31:05.050] 你砸的那是顶级的。
[31:07.030] 这三天估计听错了，赶紧拿女孩过来了。
[31:10.680] 大哥怎么着你认可，就怕在多少钱，大哥挺认可的，咱就觉得太贵了，钱我给打5折，有多少年钱会打水漂，您真别贴了，
[31:18.010] 你就踏踏实实的谢飞不就得了，不是。
[31:20.850] 你这么跟他跟人说，
[31:22.780] 你说
[31:23.700] 您看模拟刚刚体验了火热特别好是顶级的，所有的魔都比不上，这可热，他就看重的是不对。
[31:30.430] 然后你刚才说安全也是无形的安全的，你说这膜首先惊艳程度那么高，你要说买普通馍，你要是花1万多，
[31:37.590] 结果家里还真的你这买你说打5折不现实。
[31:40.990] 对，我跟他说的答，我觉得他可能
[31:44.030] 你就这样。
[31:45.240] 你让帮着你真的你别谈装修了，不知道你这打不了5折，你要不要不行你就甭买了，你也不强。
[31:51.350] 以前跟他这么说，让他觉得他心里早就说不上了，对我早就说了，我说你别到我这做装饰了，你就知道教会优惠能优惠点，
[32:00.710] 只要售价就完了对吧？
[32:02.050] 1万了。
[32:03.120] 他选16,000多钱6折，
[32:05.940] 6折还得66折6折12,000吗？
[32:09.880] 应该能到一万七八。
[32:12.540] 17,000是吗？
[32:14.410] 反正18,800装3000保险才能
[32:19.510] 实在不行你套路这一保险
[32:21.510] 不是本身不就跟我要5000看看，
[32:24.900] 要5000你就给什么车。
[32:30.360] 然后退役口腔科衣服要了瞄了。
[32:34.700] 咖啡机都活下来了吗？
[32:37.180] 我就打点折。
[32:39.560] 可是现在能出来，现在没有哪个我都不知道了，这两个客户理解这么差。
[32:44.500] 你看看刚才说了，
[32:47.350] 咱先把装置给您定下来还是怎么？
[32:50.530] 一起？
[32:52.300] 我不干学校，他不叫一个车，他设计好卖点了，他去年报了46,000，
[32:57.840] 他说他都上一到期4万三八，这是多少？46,000146,000，
[33:04.090] 我还可以说比上周多一直接说优惠3700步左右是吧？还没带单子。
[33:11.230] 我觉得这也没有啥错都送三金保险。
[33:16.510] 购买装饰都送3000保险，
[33:18.320] 买装饰再去买装置的。
[33:20.410] 装修是几折？就是18,800。
[33:22.680] 18,800你谈不下来，他非得打6折是吗？
[33:26.680] 他不能依着他。
[33:29.080] 超市多少钱，
[33:30.560] 你看他又给我发短信了，
[33:32.110] 200怎么也像个8000 1万？
[33:34.160] 您还得考虑。
[33:35.420] 我觉得不是的，我来说。
[33:37.660] 8000万。
[33:39.360] 没有这价了，咱们260其实跟300在这市场价都不懂。
[33:45.720] 都不低都不高。
[33:47.420] 我这也就是在送三星保险的哪个车？
[33:50.870] 对。
[33:51.620] 行我现在着急，我这lp在这走路，他我这都4.2了，让
[33:57.520] 财经才帮我带着浇地吗？
[33:59.280] 我带着弟弟。
[34:00.590] 澳币没什么事的，只要下功夫了，你就赶紧跟那边教授，他说到时候咱们
[34:05.320] 咱们买卖装饰，我可以给你申请飞机折扣，但是您说派遣要跟两
[34:10.900] 你购买装饰人家也不强求，车我还给你捡便宜三天这价，你随便骂你们后这车就这样绝对借钱这家了。
[34:19.310] 我这lp
[34:21.620] 我怎么去跟他说一下，要B你跟谈谈给打电话了，
[34:27.090] 偷了就行了。
[34:28.440] 客户应该在后厅的客户在后天。
[34:31.450] 我问问婷婷还没分清，
[34:34.480] 我先把这解决了。
[34:39.780] 等一下我这有一个客户他装他分期在波士诚达已经批过了，这种咱怎么转一下？
[34:53.560] 现在您去不了，现在这会都排队了。
[34:57.000] 新来的都走不了了。
[34:59.740] 现在您是不了了，这一点都。
[35:02.630] 都4点多了，现在都排队三
[35:06.840] 是这样子，我看到您给我发短信了，你们都没有内向，说现在我不论你买哪款车，就是这两款车哪个都可以，
[35:15.030] 都能再给你，让3000块钱都能车3000块钱开票价也动不了，因为开票价都是先跳的，都是以保险形式赠送给您的，对于您来说都是一样的。
[35:23.930] 然后装饰你想做就做，不想做就不做，这都。
[35:26.480] 无所谓。
[35:27.400] 装饰有多少？
[35:30.730] 陈哥。
[35:35.060] 我问完了，要不你过来找我。
[35:41.660] 你过来找行。
[35:43.880] 后面拿。
[35:45.430] 还没着地。
[35:46.640] 我在。
[35:48.480] 前天
[35:51.410] 谁知
[35:53.310] 差不多第二行。
[35:57.680] 挂你过来找我。
[35:59.640] 23. 
[36:01.890] 方式多少高手没有，那价格给不了，人家给我一顿说他说裤子他帕雷迪哪有那价格，
[36:09.910] 装饰多少，装饰的话他们最多能打个8折。
[36:15.120] 整体的8点。
[36:16.680] 帕雷迪最多就给你打8折，对，然后其他东西我再给您问。
[36:22.070] 他最多只能打8折，他先给他们销售精品的经理打电话，
[36:26.360] 最多就是怕丁打8折，它跟别的东西真不一样。
[36:29.650] 你要说记录仪脚垫，后备箱垫我一会再给你问问。
[36:35.710] 3800+2500再加5000块钱搞定。
[36:39.640] 没搞定下来。
[36:41.230] 我没搞定下来，我那会不都跟你姐说了吗？我说两天三天没问题。
[36:45.080] 问题
[36:47.150] 你这家伙5000都没搞定，我还跑去拿，所以给他打个电话都不收5800。
[36:53.650] 你给谁打电话，给你们经理打个电话，你说不值钱，它跑一趟他才给你送个3000。
[37:04.340] 我在竞品的话您拍了一笔最多8折，然后其他的。
[37:07.820] 再给您多优惠点。
[37:09.120] 嗓子都疼。
[37:10.320] 其他的你装个记录仪，装铰链装会相见，
[37:14.350] 一共估计我一会问，那这都就属于你装记录仪，能不能把小家伙微笑着告诉您看行吗？
[37:21.630] 三天反正得告诉你。
[37:26.420] 2万块钱。
[37:28.460] 2万块钱我看看吗？打完折多少钱那个是1万。
[37:31.910] 万19,800是16,000多加上那个是吧？
[37:35.560] 那是15,840。
[37:37.050] 就15,800 15,800+3800。
[37:39.730] 万19,600。
[37:41.090] 六不是脚垫加上行车记录仪一共多少？
[37:45.390] 脚垫加上行车记录仪，加上后备箱垫，一个是3800。
[37:49.050] 8，一个是2500，一个是880，加在一起是6380。
