[00:03.000] 行吧？
[27:12.810] 不是赠送的，是不是总是正常的？
[27:15.610] 打折原价是15,800，
[27:18.660] 新车然后有
[27:21.600] 套餐的折扣应该是1 15,800。
[27:24.920] 可以选这样一个，对，你们要不要赠送得看，你到时候跟经理去申请对不对？公司？
[27:32.950] 对，正常都没有，总体正常都没有走进。
[27:36.650] 你的模式还是不一样的，他们上来就跟你说了这些这都可以直接给你赠送。
[27:43.400] 说4S店，北京市的4S店，这些优惠利率基本上差不多，只不过是在这个政策上面，
[27:50.710] 大家会有不一样，
[27:53.080] 有可能
[27:55.920] 有可能。
[27:59.240] 其实现在卖车这个行业很透明，
[28:02.470] 不会说差出太多是肯定
[28:05.460] 大家不是在乎的就是差那一两千两三千块钱，
[28:09.320] 就这点。
[28:14.490] 所以还得。
[28:16.410] 您是这约定是吧？下月定。
[28:20.680] 这个月如果差不多他就定了，对，所以得看您当时的政策，假如你们是
[28:26.060] 总公司是每个月都会给你们遍，不同的政策不一定，反正连着涨了两次了。
[28:32.340] 最近期大家搞两次了，而且叉C90是因为国外的疫情也没得到控制，
[28:38.420] 哥德堡的工厂已经停工了，
[28:40.380] 现在超级90资源特别的少，
[28:42.750] 已经进不来了。
[28:45.710] S90是国内的，
[28:47.420] 除了叉C90现在都是国内生产S90是大庆的平衡。
[28:51.640] 大钱
[28:56.590] 那就赢了。
[28:57.800] 最近价格浮动大吗？
[28:59.850] 优惠力度普通大妈，现在所有的车型
[29:02.920] 这个月比上个月上调一个点，
[29:05.560] 所有的整合一个点，
[29:09.100] 从7月份开始，
[29:12.200] 6月份比5月份
[29:14.430] 也在连续上涨。
[29:17.260] 6月份比我印象中是对
[29:20.340] 近两个月调了一个
[29:22.930] 是因为一起，而且像S90这个车型，如果你要考虑买这车的话，您还得近期买，
[29:29.230] 因为马上他出的21款就是青混了，
[29:32.300] 加电机的了。
[29:34.810] 没有纯油了，
[29:37.410] 而且价格可能也会高一点，
[29:39.390] 这个价格就会高一点，
[29:41.280] 就没有20款了，马上上到21款，
[29:43.960] 就变成轻粉了，
[29:46.260] 没有油的了。
[29:47.910] 按老款了，那不就老板不会优惠吗？
[29:52.200] 但是它库存量他现在也不会太特别多了。
[29:55.250] 知道就这批在21前上完之前，他的全已经全都
[29:58.940] 卖光了。
[30:00.900] 所以不会因为这个车件您想办完30多万，
[30:05.280] 配置他还能给您优惠多少呢？
[30:08.600] 配置比同级别的像157都高，
[30:12.390] 比他价钱可差不多一小时万块钱。
[30:21.140] 我知道了。
[30:23.370] 我有你电话，到时候如果定下来到时候再说，然后现在就像你说的，
[30:28.210] 跑一次两次这事也定下来了。
[30:30.900] 对您这对我们4S店反正一次估计定不下来，您就先回去考虑要哪个，
[30:36.960] 然后什么时间定。
[30:38.690] 因为每个时段的活动政策可能也都不一样。
[30:45.160] 除了衬衫着宝马店附近还有吗？
[30:47.840] 经贸行，香山闵庄路有一个香山、闵庄路，闵庄路都不远。
[30:56.800] 宝马是您是想看什么是吧？
[30:59.550] 我想想看。
[31:01.560] 35
[31:03.560] 535
[31:05.220] 五
[31:06.140] 5358得50多了。
[31:12.220] 不是加床那种。
[31:13.650] 基本
[31:14.460] 都不远，也可以去
[31:16.940] 光路。
[31:19.050] 从那向到那边大概
[31:21.660] 20分钟10分钟。
[31:36.070] 附近宝马mini是吧？对那个是只有mini。
[31:40.410] 只有mini对。
[31:42.450] 石景山一个，然后闵庄一个，
[31:46.540] 就算近点的，其他都不太近了。
[31:55.690] 往则
[31:57.410] 意思。
[32:05.630] 丽泽桥那边你知道吗？
[32:08.150] 铝合金。
[32:09.280] 丽泽桥没有这俩。
[32:12.690] 我要从走那边
[32:15.330] 我还不太清楚。
[33:00.840] 行，那是这样，我能拍到吗？可以。
[33:03.260] 我就不打扰你了，我再去看看宝马，然后比较完之后，
[33:09.770] 如果要订的话，
[33:11.080] 你到时候帮我申请一下，看看哪边的更合适，我主要是
[33:15.410] 真是不想来回来回跑，老这么来回为这事儿扯锯，但是也得建议您赚两个店，人家好事知道看他们店看了一趟来你们这儿也比较一下。
[33:28.630] 有必要再去看看其它的片子，因为看起来其实没有必要，因为差不多，因为看你们现在说的优惠力度
[33:37.640] 基本上都是一样的，对，就是一些
[33:40.400] 小的培训，就算细小东西上面的
[33:46.480] 好先这样行好谢谢。
[33:50.390] 没事，这边可能24小时会给您有一个电话回访回报，方便接听一下。
[34:05.870] 您开车了吗？
[34:07.060] 差不多。
[34:07.930] 开车您还转其他牌子吗？
[34:11.600] 咱们园区不是E宝就是几分持本也
[34:15.360] 不怕，您可以扫一这三小时免费停车这个吗？
[34:21.110] 微信的走了。
[34:22.450] 对难。
[34:23.560] 然后扫完以后时间8号
[34:27.460] 确认绑定以后，您15分钟之内就得给抄了，抄了15分钟话之后。
[34:32.770] 行好的好谢谢，这样慢慢。
