[00:00.000] 来了张聊聊。
[22:04.450] 现在存钱现在你们这卖价吗？
[22:08.950] 银辉厂了吗？
[22:10.730] Nasa。
[22:21.030] 商家
[22:22.880] 这已经是加价了。
[22:24.780] 然后那车成交价的话是575,700，2 200多万，家里价格就考虑了7万多，那不是1万多，
[22:33.450] 51万多的话他已经价格还是假的，假的这车就是成交价了260。
[22:41.000] 您就看看石墨灰或者
[22:44.160] 黑的。
[22:48.020] 回来。
[22:54.460] 还有一个白
[22:56.000] 260加过价。
[23:01.350] 哪个二楼的？
[23:02.540] 要是没有加过价就是成交价。
[23:04.650] 原来的价值更加没有钱，这车160多，
[23:08.900] 指导价160多，
[23:12.150] 加100万能关税层的价格一下在国外买的那种我便宜，
[23:17.930] 但是这车是4.0的，马上4.0就不出了。
[23:23.210] 后来
[23:27.110] 二三十万平米
[23:28.910] 开车。
[23:30.040] 多少钱？
[23:31.080] 二三十万100块钱。
[23:34.220] 应该是低配的。
[23:35.930] 二三十万那也不错，但是便宜了，但它便宜了二三十百万。
[23:43.120] 差不多，你看咱们国家家人射进车指导价160多
[23:48.080] 了，差不多10次，
[23:49.940] 但他那边可能
[23:54.480] 反正现在有的就是黑的红内室跟石墨灰的黑色，
[23:59.800] 石墨灰好看，你要见到实车特别漂亮，觉得有惊喜。
[24:03.830] 夜黑的看起来，
[24:05.140] 因为这车为什么黑色的不太好，因为这车的反光镜
[24:10.900] 他那耳朵是黑的，
[24:13.000] 你要用一个黑色的车全都是黑的脸，但是石墨灰的车
[24:17.360] 他那反光镜就是黑的，
[24:18.880] 一眼就能区分出来。
[24:20.570] 您就看您刚才不拍银色的那车。
[24:23.480] 您说一下，您看他红就是黑的。
[24:26.630] 它有区别，他看
[24:28.690] 怎么办？他不舒服。
[24:33.190] 石墨灰的车一看就特别高档的车。
[24:36.510] 对。
[24:41.760] 的
[24:45.830] 主要不在这都在大库里边。
[24:49.160] 您往这边弄吗？
[24:52.310] 也就是看好就从那直接走，对您有了订单之后那边才可以帮他调过来。
[24:58.030] 我觉得别的你们好几个分店，别的店要定，就从别的店有可能发票了。
[25:04.950] 反正
[25:06.480] 的地方
[25:09.840] 所以我一直想来，但是没看到错，从别的地方也看了，交了点定金。
[25:16.870] 有车吗？没有反应。
[25:18.980] 是吧？
[25:20.200] 8月份估计都悬了。
[25:23.240] 订什么啥的呢？
[25:25.150] 当时他们给推荐黑的，我没见到石头，我刚看完也没吃，没背后真好看，比黑的好看多了，真的空白。
[25:33.750] 你看看实车绝对有惊喜的车，
[25:36.990] 就光国产的gl C里边主要有实木和的颜色，基本上不用等两天基本就没了。
[25:42.440] 有的连汽车都定
[25:44.370] 了，我看过灰的是他不是这个灰，你知道您说的那叫月光石，
[25:50.580] 不怎么搞高级，看我就一点没心动，老师那样多我以为就红不知道。
[25:56.540] 说了石墨灰的好，
[26:01.560] 你看到不行那就不行，把这个
[26:04.820] 你在还有优惠你就没了，就这个期末会要
[26:09.080] 就
[26:10.150] 有没有优惠，你过来对3万了，就330现金。
[26:16.860] 因为这进口车本来资源就少，你知道吗？
[26:20.610] 而且来一个挺那什么的。
[26:24.550] 我让你看看什么回应吗？
[26:26.850] 有三点。
[26:28.580] 有一个现成的什么都不用等着。
[26:31.520] 叫口叫跑了，对。
[26:33.960] 300的是吧？
[26:35.640] 他买的。
[26:45.060] 这个只能从奔驰官网给您看一下这车的。
[26:48.490] 这是石墨灰。
[26:53.390] 你说这个反光镜是黑的，手都是黑的，然后这车7的话他有点深灰色，
[27:05.190] 特别漂亮这傻子。
[27:07.490] 因为你不是那种就是说你要是E级车什么的，轿车黑的嗜好一直在，所以说我们那同事
[27:15.680] 赛车有一个那种刚刚跟您说的厂家那种拍卖车，
[27:19.450] 钢板的展厅里边没两天，
[27:21.670] 什么货就卖，
[27:27.110] 你要黑的有线条的多，你看黑的库里边现在白脸，
[27:31.840] 对吧？
[27:32.740] 这小子可真没有。
[27:35.270] 而且您这辆车估计
[27:37.880] 下回带来这傻子车就是年底了。
[27:42.550] 的
[27:50.120] 百得利。
[27:57.930] 没啥毛病是吧？全新。
[28:00.580] 而且今年3月份刚生产，
[28:07.450] 您开始这个车这车您看是2020年3月14号生产的，
[28:14.090] 3月然后7月7号到了我们店。
[28:20.790] 分子的
[28:36.100] 上海。
[28:38.580] 在店里。
[28:50.760] 的
[28:54.050] 的
[28:55.310] 过去，
[28:59.930] 然后就抄。
[29:02.970] 你走到
[29:04.220] 你看那个店里有个什么核心中场的那些去看一眼行吗？您看看去，我问你电话啥接着电话门店吗是吧？
[29:12.920] 这个不定肯定不可能的，如果要不行，我接他们定了得了，反正响马早晚得。
[29:18.450] 行，你琢磨。
[29:20.020] 好吧，明天的话还得给您做一个回访电话给您，您看上午方便下午方便两个行不行？
[29:25.530] 行行没事肯定。
[29:27.720] 对。
[29:33.870] 这边送过去。
[29:36.270] 这就在
[29:38.160] 这边出去了，刚刚开始。
[29:40.270] 那边跟这边走又慢点，您这三个平台马我不准备跳楼。
[29:47.970] 在哪边你在哪
[29:52.320] 要
[29:54.540] 十里河那边我觉得
[30:07.720] 马
[30:10.640] 300
[30:13.060] 三。
[30:25.670] 它的价格
[30:30.850] 这东西
[30:41.030] 还冲着口哨中场
[30:44.220] 了后边
[30:46.490] 这里这边。
[30:47.720] 这边有那就是出口。
[30:49.140] 好行好好勒，出去之后，然后你这不是上次我录了电话慢慢好谢谢您，看看车好。
[30:56.540] 万一没有
[31:00.390] 刚刚去了。
[31:01.560] 好吧？
[31:10.450] 我来不了了吧？
[31:11.780] 看着你好梳理了。
[31:13.800] 走过来接待你
[31:15.750] 了。
[31:18.500] 了。
[31:25.230] 7月10号。
[31:26.520] 下午现在53，现在手机待会
[31:28.970] 完了就到了。
