[00:00.000] 你看出来这个情况怎么办？我觉得不方便，我这快干完了都。
[11:19.180] 做他们说刚才宋婉君海风来这是吧？我们现在红色建筑虽然谁知
[11:28.520] 没有了，他已经会了，然后我想我们应该是宋宝就说了，
[11:35.010] 应该跟宋哥已经瘦了，那次还在试车调降中国。
[11:38.670] 反正没咱们昨天聊的那么会怎么办？他们在干嘛都得解决那种是多少。
[11:50.060] 第三个这不是找中坚力量的，你要是您戒指，你说你要是不达标，说说怎样解决一下。
[11:58.470] 试想其他的
[12:05.590] 你弄完。
[12:07.280] 还有费用是。
[12:09.390] 要做这个服务，有时候说人家说一种通过，你要说关键我不想发，如果黑色黑色要不
[12:17.930] 正负偏差超过55%，尽管他不低要不要？
[12:25.050] 我们又被了一次，我们可以看到结果才能更好。
[12:31.360] 要
[12:37.880] 谁知
[12:40.720] 这样简单的介绍市长这样的
[12:46.510] 经常罢工。
[12:47.300] 可以这个月的话
[12:50.040] 的。
[12:52.120] 年
[12:53.690] 具体的
[12:55.680] 上面
[12:58.200] 可防了。
[12:59.850] 不用找了。
[13:03.020] 了
[13:04.860] 又换了。
[13:07.250] 调解跑到这儿干嘛？
[13:11.220] 比较。
[13:13.430] 着急就走了，其实没什么。
[13:18.300] 特清楚，
[13:20.080] 倒掉相当的轻一点。
[13:23.310] 像淘宝的时候。
[13:24.420] 你才700公里招生，
[13:26.480] 不要说先。
[13:27.740] 开走是对你帮我跑1000公里，如果它那种找他。
[13:31.790] 泡别的模式传播，
[13:33.050] S模式操作。
[13:34.400] 您饭馆的拍摄模式好了吗？
[13:37.600] 什么这车您换过S模式跑了吗？主要是这一次通过又没有用M再走，因为听说
[13:45.270] 咱们穿了一些，但是我们昨天的518还是比较专业的，因为你们看看也是要给两边的，
[13:53.520] 因为说杨树刚才杨总他上海市了也出现这个情况，我这两天开了为什么？其实送过来，因为券商拉6个人，
[14:02.690] 一出现这个情况就会排多少人，直接就往前倒，门口他们是一种很轻微的一点，明天上的按倒上当走的过程轻轻过一下。
[14:13.470] 所以说这个情况你看我们老师拍的这种情况下，这出现在别的问题试试看这样的数据了，你从数据看它都是正在正常范围内，一般我们现在都是电脑控制的，你要真有问题，他会故障特质你的数据不正常的，但是我问这个钱我们就是他们对
[14:33.710] 就是说他营销
[14:36.590] 还是每一个标志乡，它都有一个根据你学习开车的驾驶情况，
[14:41.920] 你试一下每个车你去是他那晃荡底，包括
[14:46.320] 货单的发动机转速都不一样，
[14:48.990] 我们一般的CEO是在1000多种就报道了是二到期，
[14:54.230] 就说你现在是坐在K一段时间，对我700公里，我觉得他我已经发现了问题了，
[15:02.230] 你在这一块的话肯定还会有这种问题，要不你就是能让你放着我们在做试试，然后让厂家来看看数据。
[15:09.230] 你目前来看我们是发现到任何异常，
[15:12.630] 谁知是确确实实存在哪个是
[15:19.620] 所以说它并不是他们从我们修车来讲，你相当于九数的标志下，我们认为已经非常贫中，你们也卖过原来起诉的那什么感觉？
[15:27.830] 我了他为什么我说今天我们是一直从刘速7速修过来的，在我们看来9速的这样的群众性一定比7速的翻天覆地的变化，
[15:40.240] 可能好多客户他的收入是不是要给他报不了或者报名没有，你要抱电脑一下子，你要是报了故障或者数据不正常了，对于我们来讲太好
[15:52.110] 了问题，这车你数据也正常，能不能拿个个条件范围都在放一点？
[15:57.330] 梅超风。
[15:59.580] 我告诉他为什么我觉得我说你要不你要着急用车你就再跑，因为这种问题他肯定不管，
[16:06.650] 这个说是最早摸不到，人家都心存情况，你在新卡用的标示像是9速的，
[16:12.710] 他还能用石素的分期的，行车全都是这样，90元之间。
[16:18.660] 虽然是GS当庄的量相比你S没有区别，
[16:23.520] 有气味没有？
[16:25.610] 一样的。
[16:27.500] 就对于这个雕塑将来讲，他不是新的，好几年前就出了，我的意思他那个车不能上市，总共市场没有几台，就这两天就陆续向他一样开走，有没有发生这种情况？哪有你
[16:40.870] 有的话我们修都修不过来了。
[16:43.920] 是他说了我说所以我的意见对我心里还能安慰点，特别是更没有中不存在的情况，我这一辆我觉得他总共没有几台说给我反映意思，
[16:55.950] 他觉得会不会是因为咱们给他方案看不开，你跟这一步你再继续看看是不是都一直这样，没关系，张电脑是没有任何故障，我是真的建议你要说不着急用车就再放两天，
[17:07.220] 调一下数据，因为数据服装的每天都有更新，我们调一下数据让厂家看了一下，
[17:13.160] 你要是着急你就着急用车，你就先开走了。
[17:16.270] 因为他不是毛病，也不是故障，你不用担心。
[17:20.910] 不像你想象的印象和哪有问题了，当然别的也不会的。
[17:25.360] 对，肯定你们会担心是不是有毛病，越开越洋中越来越多，这样的我这样说定了，我送过来，
[17:32.790] 我在哪个州给我找遍，我把你放这放着到我汽车，那天你不管说住10天多时间，你能给我把车整的话，我推荐了保时捷和宝马叉五一样就行了，
[17:43.110] 没别的故障，
[17:44.080] 他没有发生这个情况就行了，我把车放这，
[17:47.210] 我不去了，
[17:48.190] 那就没问题，我放在那放点行吗？
[17:51.100] 我告诉你等等咱们要不你厂家怎么你不打瘦，把这东西在需要磨合，需要什么开，这个是咱就得这么大人了。
[17:59.710] 因为你说现在我也知道，要是你从我的建议来讲，就像我说的，你要着急用车，你不发没事我还是没东西。
[18:07.470] 没事我跟你说，因为我们
[18:10.380] 这个标志奖金非常了解了，他不会是什么硬件故障，什么重大问题不知道，
[18:16.710] 有问题也不敢让他来，咱就这样把车放上去。
[18:20.460] 放着还是说你得这10天20天了，终于是咱近日1000，到时候我提车好出去走走，对，不要不出现这个情况就行了。
[18:30.950] 咱们也把它放着行不行？
[18:34.400] 也现在发展让，然后我们再分析一下技术人员和厂家什么怎么协调，你们是
[18:41.850] 这一块来说就是两点，一个时间问题，他们觉得领导可以听到到不了，而且天有也无所谓，他反正我也上，
[18:50.020] 但是也是有个最新问题能够解决的什么，不要互相调节，
[18:54.240] 不会这种困扰，谁知不是我们这边教授主任，他是比较关键性有这种问题，你要说出故障，在我们修车来看话，不叫空调倒不是故障，在客户这你们就觉着他不正常，
[19:09.390] 所以你要show你还真没地方下手，
[19:12.330] 也没码也没有毛病，都电脑我们来修车来讲束手无策，所以我们就能调数据去，到数据你没想法有一个视角，他们明天跟他说就没问题，不要走了干嘛？
[19:25.070] 重要关键剩下他说要当初起来我找找找，但是之后就行了。
[19:31.530] 我还没去，你给我现在我在车间这块我瘦了，我现在马上回去，我换了衣服，然后拿东西走，先给出去那边三哥打一方会等
[19:41.980] 给我们
[19:42.840] 一下分析一下不行了，电话你等等我咱们不懂，我分钟，我说你不要数据发给厂家，他们重新出一些问题。
[19:51.750] 它是软件调校的问题，还是说是哪个原因不用做的事，你们放着慢慢吃，你确实是这个问题，你要说是别的，你是维修保养或者什么东西早就没弄好。
[20:04.870] 你这个问题我们师傅都纠结，说是故障，他不是不良，说show感觉无从下手，大家可以开放，还真正存在的问题是，而且另外你喝700公里，它标志将。
[20:19.120] 形成的数据包很小。
[20:21.790] 所以我们相对的来自是按照德桑档案拿到商场高负荷敌素，让他形成数据包，然后发给厂家人才有分析的价格，
[20:32.040] 就说你们私家车什么也跑不了，
[20:35.720] 我也做，
[20:36.820] 但是的话没钱，
[20:39.720] 你看对吧？
[20:40.610] 还有现在很正常，现在别的重点我也从没做过，然后你告诉我你开车新车到手，理事
[20:49.350] 上手就这样的，还是跑了几百，他也不是，
[20:52.620] 可能是放水的时候他没这个理解，
[20:56.280] 没什么问题，就说从上个星期这个问题发生问题了，
[21:00.610] 你上诉人他没认为。
[21:02.620] 不知道，所以说这就是问题了，这个问题好像说他操控习惯
[21:08.690] 和驾驶习惯不怎么好，他就说一开始拍拍七八天再美的人，
[21:15.040] 他会学习你才有猛踩刹车看好的驾驶机构，我换个人看看我换，他也出现问题了，对。
[21:23.350] 所以说为什么直接送过来吗？
[21:26.110] 我说你看看他也可以说一下自己的问题，这个也是将他的当然杨素。
