[00:00.000] 对上保险最多应该是8000多，然后给了一些邮对什么微友的咋回事一年。
[03:51.200] 如果把门如果说您的话，我会把门再抱一下，我再修一次他又给我2500，反正就是两次，等明年保费上涨保费上涨的时候，
[03:59.770] 我这钱也怎么也够弥补了，我车也修了。
[04:02.810] 行，或者说您无责来这修也行，您可以先把衣服板休了，然后你就等等快到一年的时候您再见。
[04:12.530] 万一哪个不长眼睛碰你一下子，然后你还能得不行，我跟你说我就不知道，今天她不说我就没看着我，那车压根就不开，就在那停着。
[04:21.070] 我可无语了，我上次来修车也是在停车位里就被人家给蹭了，他停车位是这么倒着停的还是侧着停的，正常直的都是你愿意政策，就像类似于停路边的那种，还是不是不是不是就尽量的对，但你这不写的吗？
[04:37.090] 我的市政你们放的吗？我跟你说了。
[04:40.980] 好的人无责方，您就是吴泽芳，
[04:43.980] 也赔你钱就什么意思呢？
[04:45.680] 别人把您的车撞了是吧？您不用走自己的保险，走别的车的全责，他走他保险给你修车，
[04:51.720] 只要这个车修，他就想起着车来了，算你撤下来了。
[04:55.260] 这样的话最合适，万一就是像你刚才说的，
[04:58.410] 如果家里有两台车，另一台车就是说保险保费比较低，
[05:02.510] 专门的把车俩车I小心不小心蹭一下是全责，这是无责，这还拿2500都够他上保险的钱了。
[05:10.340] 真的我真厉害，我那时候真不够2500，跟你说实话是2300多，什么车也是奔驰吗？
[05:16.890] 陈都那么便宜了，所以那个时候保险便宜，你就用那台车小
[05:22.320] 给他走保险，齐心那个其实那个车
[05:26.740] 他买了二手车7天没出血，7年没出险，然后差不多了，您对你折扣老B了，对了，我那也是我都
[05:35.590] 我这好几年不动了，它已经是最低折扣了，就2200还2300。
[05:39.760] 对。
[05:40.910] 可便宜了。
[05:42.660] 那人就说最低了，没有办法再低了就已经是最低了。
[05:47.450] 老不出险，其实我也不愿意出现了，对不对？肯定
[05:53.410] 但是你飞你的车好好的车，那伤看起来你
[05:58.720] 关键是我挺郁闷，也不是我自己，
[06:01.730] 你要开出去了也行，就在那自己打的也认了，特别被动可以造成的，不知道你不说我就完全没意识到我今天来走，我都路过了，我也没看见那块有伤疤。
[06:14.120] 平时您不注意，那肯定也不注意，上车直接上车就走了，到车边上车就走了。
[06:23.150] 我去交去，反正等下我带你去，因为我对你得知道在哪儿，然后还带什么东西，待会给你说这叫什么东西，行驶本得要行，不在车里了吧？对在车里等一下再拿行驶本身份证。
[06:33.940] 你不是我的行吗？
[06:36.150] 上谁的，就是你这个保险不管像谁的多钱谁都行，跟保险是两码事，跟保险保险是到时候你病死的时候要他身份证，
[06:45.160] 就保谁的给谁谁卡里汇钱，到时候您修完车之后，你不是拿着卡过来吗？今天保证你得拿你自己来，
[06:51.560] 拿别人卡不行。
[06:53.720] 好的。
[06:56.440] 等一会儿。
[06:59.390] 而且我看到带银行卡，
[07:05.440] 红楼拆红楼这个召回，我估计也不知道是怎么回事，我给你再简单说一下。
[07:12.010] 这个召回是把咱车上四驱车
[07:15.630] 有两根传动轴，一个是主线特别大，传到后面的推动力，
[07:20.280] 还有一个是从
[07:21.480] 变速箱飞到前面那个小才能
[07:23.870] 小盘中。
[07:25.630] 在极端的情况下，你比如说扭矩特别大，然后路况又不好的时候，极端的情况下有可能会
[07:30.960] 有可能会拖尺，
[07:32.760] 就是说白了就是失去作用了。
[07:35.590] 质量不行，然后现在厂家是把它有可能用很长时间才会出现，
[07:40.880] 反正只要把它换成新的，两个都换到一跟前面小的大的不会出问题了，就晓得前面小道你对有剧的，对，然后把它棉布换成新的。
[07:52.440] 也有过时间就会长一点。
[07:57.780] 大概明天后天。
[07:59.880] 明天周一后天周二预计应该是在周二。
[08:03.690] 周期，谢谢现行反正就是正好
[08:07.350] 三。
[08:08.520] 身份证拿着的您的要。
[08:12.590] 我不要等下我带你过去到他那边的，然后保险就咱这上的。
[08:19.440] 保单已经打出来了。
[08:22.240] 没打你确定是人保平安太平洋人寿总公司。
[08:26.740] 然后保单要是没打手机上也能看到是吧？
[08:29.490] 钱都给我发了，但不会过期了。
[08:32.210] 打开过吗？中间打开过应该不算。
[08:35.760] 就行，有电子就行，反正过去他要，因为我前世跟他要的
[08:40.360] 还要对信息，
[08:43.370] 谁知
[08:48.390] 清楚的
[09:05.870] 了
[09:10.310] 19号。
[09:16.060] 7月20号。
[09:18.480] 21号。
[09:19.730] 99号。
[09:21.150] 对，到21号什么行，12点左右。
[09:26.200] 掉了。
[09:33.230] 哪个？
[09:34.840] 是不是这个地方取票到时候你也过来取。
[09:40.240] 取车也是你过来取。
[09:42.470] 等等我给你打电话还是139这个。
[09:45.130] 11387036。
[09:47.540] 您打电话。
[09:48.770] 好看一下，这我看着你。
[09:52.310] 在哪能看出来是人保的原版的。
[09:57.860] 上。
[10:02.720] 你是这张单子给您，
[10:04.440] 无论是您来提车还是谁来提车，让他拿着这张单子过来，
[10:11.520] 大概周28对。
[10:13.480] 完事给你打电话。
[10:26.590] 先得把行驶本拿出来。
[10:28.680] 小日本对白斑进去拿去，直到里。
[10:39.540] 先拿一下。
[10:43.440] 我你拿再给你拿下身边，然后我在你
[10:46.400] 带你过去。
[10:53.930] 在哪放着呢？
[10:55.390] 你自己去拿别处，您别去了太热了，行，这里面不同点在这边。
[11:00.560] 还是明天？
[11:01.640] 我给你汽车中间把中间打通。
[11:24.270] 谢谢，我给你讲完了。
[11:26.480] 好好你好，约了是吧？好了。
[11:30.850] 赵娟女士是吧？行了。
[11:33.760] 下午
[11:35.230] 我看到了。
[11:37.120] 你们要
[11:38.730] 然后到
[11:40.230] 刚开始电话的话，
