[00:00.000] 刘韩文人才13810739448对。
[09:39.650] 买保养用这4次我不会用。
[09:44.240] 一年就正常了。
[09:46.300] 然后您换吗？
[09:49.060] 1804。
[09:50.230] 对不对？多少钱是吗？完事了千千04年换一次行。
[09:56.350] 然后
[09:59.760] 刹车活塞是969，等于就是1804+969，
[10:05.080] 已经是折扣价了，
[10:07.020] 这都是套餐价你自己可以看到的。
[10:13.750] 没打出来，一
[10:15.080] 空调448块钱。
[10:16.740] 有位吗？
[10:18.150] 洗吗？给他打电话650，我看他那边668，您这边不确定了，让你坐下，有。
[10:26.170] 有吗？全就没味了。
[10:28.020] 什么时候有关，万一他是你的空调滤芯脏了，还有一个就是你的蒸发箱脏了，但是你得清理空调，建议把
[10:34.430] 空调滤芯也换掉。
[10:36.080] 因为上回你就没换。
[10:37.780] 就这钱拿两。
[10:39.670] 皮带03，眉毛真的超过了。
[10:44.030] 对了，还有一个空调系统太。
[10:46.920] 我不是按什么账户做呢？
[10:48.870] 谁知。
[10:51.380] 不是厂家的，
[10:52.770] 如果厂家都做不了才让你不进货这密码的。
[10:56.630] 没有。
[10:59.040] 比如说你吃饭
[11:00.770] 容易打那就不行，做不了，如果是厂家的系统里面没有用不了的事，当天就不能用，除非什么激活主要用它这样
[11:10.070] 上面的。
[11:11.920] 项目。
[11:17.720] 现在11万。
[11:19.260] 那是建11,000换。
[11:21.520] 好了，空间里是换了把它了。
[11:25.050] 空调滤芯等等。
[11:26.750] 要投保单还有。
[11:28.180] 对，创业空调系统你看一下里边有没有信用卡，没有，你上次不算，你上去看我这带来就不用我把我投资。
[11:35.510] 他们用空调滤芯448。
[11:38.680] 书报刊上。
[11:40.080] 山药片空调杀菌668。
[11:43.280] 花钱矿区那标准还是了完了，不是他那个味道，是因为咱们的蒸发箱不要浮躁，蒸发箱的为。
[11:50.930] 蒸发箱太脏，就是咱们的有霉菌给打回来。
[11:54.640] 曾经告诉的金花
[11:58.520] 会等于咱们这次如果是加上这两项一共是跟太多强化，
[12:04.220] 然后这一波开始了还得这么弄话题，这个东西该如果有问题的话，
[12:11.270] 38893。
[12:12.920] 宝宝3889，包括你下次的B保养没问题，点点里面在检查给它里面EAB是1804，
[12:20.440] 然后刹车油活在空调滤芯，空调消毒是2080 80两，
[12:25.100] 谁知下车油。
[12:27.760] 火花塞、空调杀菌、空调滤芯、
[12:31.780] 这4个东西是2800 2085杀。
[12:34.730] 建模的地方，
[12:35.740] 刹车是每两年一换，刹车油是370块钱。
[12:39.900] 然后火花塞是599。
[12:42.760] 火花塞、
[12:44.260] 王三你这车但凡着车。
[12:47.010] 但凡车一着，那活塞就无限的点火要点，
[12:50.350] 现在点火了需要更换，
[12:54.320] 因为火花塞是每4万公里一换，您这活塞当时6万换，就10万公里就应该放活塞环，
[13:02.570] 然后就没了，要好好玩，他们都没必要做。
[13:08.190] 建一座没有，活塞是没有提示的，只有刹车片有提示，
[13:14.280] 只有保养有提示，
[13:16.080] 其他的都是看工具书来换的做到的，你知道吗？上次也是D吧，下次就是B宝
[13:24.870] 下去可以用，
[13:26.040] 我病房里边含基础的，大脑里边含基础的臂膀这样去做。
[13:31.670] 如果他来跟小下次就是变速箱油。
[13:34.980] 皮蛋蛋，
[13:36.420] 然后咱们的B保养，然后比如积炭清洗，
[13:43.140] A保养就是房东也换过，他没有其他的防冻液什么上来换了两了，没事如果没换红叶还换防冻液。
[13:50.230] 其他的没什么了，后面那就这么着。
[13:53.370] 我知道，再也没有折扣。
[13:55.240] 没错，她有个性。
[13:56.670] 就朝阳里边保养套餐首先是一个活动已经有折扣了。
[14:01.130] 然后这些包含空调滤芯，这些是已经有套餐价了，本身它有折扣，
[14:08.720] 你就不用再付费了，如果不包含你还得单独除此之外，或者咱们去弄单位一块，谁知两两个地方发型。
[14:18.200] 您走吗？天冷的话。
[14:20.070] 不必不用。
[14:22.270] 对吧？基本不管。
[14:24.290] 也得下午了，3点左右。
[14:27.360] 我回来这里保养了。明白。
[14:31.160] 打车拿小票，你B保养包含的肌肉里头最多30就叫导演慢慢。
[14:38.500] 午餐都不用花钱保养不用。
[14:41.060] 但是有的你现在在车现在不是200公里，也就是2万公里的需要换空调滤芯，
[14:48.710] 然后需要做区别，这2万公里需要做的项目到期的项目，但是有的车送保养时候送地板说睡觉能控制你，还有什么送，就这三项也就说这个一样。
[15:01.470] 当时说过这个事儿，我不知道他怎么跟你说话，你别说空调6000，
[15:06.500] 但是如果送你空调杜鹃了，你后面这4次网友都会有没错，基础好像不用花钱，
[15:12.700] 基础A技术B型不用花钱，他要能不能够的话，完我大学生就拿钱上了，
[15:19.270] 它是基础，你比如说打个比方说你下去不要报警，三个片子叫保险，我正好在你说一下，今天帮你换下机油、手机费、清理家掘进机，往前这里面5块钱，
[15:31.510] 可以吗？10号还有咱们时间现在是11:11，他不能拿2万块，就是离现场我在这坐了半天也没干也不在12，我觉得1:00 1:30左右。
[15:42.410] 五
[15:44.330] 他又不敢进去，从你随便坐一坐，最后这一块做完了，说不对，
[15:50.620] 这不是你加我微信给你拍卖了。
[15:53.510] 这田坤的吗？不是。
[15:55.230] 怎么做的？
[15:58.480] 谁知
[16:02.570] 充卡要给到时候给先充进去对吧？
[16:06.680] 行，我就先做谁知是吧？
[16:11.870] 然后我们那客户是不是跟您说过一个代步车险，对该做必要的，对感性可以吗？
[16:18.230] 行行，到时候这位先生会不会空调滤芯也就行了。
[16:23.080] 行。
[16:25.590] 好那行那就知道了，那就赶紧先做了，就不耽误时间了，然后到时候你后期的份你再跟现场沟通，
[16:33.720] 你到时候记得点帮我做一个B保养的问题好不好？
[16:36.670] 好了拜拜，我先给您做，看这边还要先给您做这，然后他到时候给我系统里面做进去一个B保养，然后我这边
[16:46.170] 找他结账就行，就按常规定期保养不出来。
[16:49.050] 他有空没空里没有空调这些，后来你要换，谁知到钱空调滤清器。
[16:55.290] 今天他是这样，所谓B保养是什么意思？D保养，
[17:00.050] 机油机滤空滤是没有问题的，所有的发展都是技术性的空域，不过你比如nothing，
[17:06.620] 谁知这就叫B保养，您多少钱？
[17:13.280] 从良心发展经济。
[17:14.580] 你好，反映售后行。
[17:16.190] 那就别做这个地方，然后坐下来我得找一下。
[17:19.800] 这叫什么？你他当时我谈了也是你。
[17:22.830] 不放假可以您来就行了，上班多少吗？
[17:29.210] 对没错。
[17:31.120] 要。
[17:32.320] 没错。
[17:33.530] 你直接过来就行。
[17:35.650] 都上班那这么着，当时等于细心。
[17:39.550] 当时我谈至少这4次皇上不用发一份。
[17:44.320] 没错，保养不用花钱。
[17:46.700] D保养积极保养。
[17:48.390] 不用没让你花钱，但是您空调就是到期了，要吃不需要换，这个是咱们不懂，当时你参与了这一块，对就有可能给您说的不
[17:57.610] 明白，就是说你的B保养，记住A上面记住这不是没花钱，就目的还是不花钱，
[18:03.570] 但是你空调滤芯到期的时候我要换空调滤芯，然后刹车片报警要卖卡片，一个发生坏事这个意思。
[18:10.490] 多少人工艺花茶，这些三个电视报警的话没有一定
[18:14.620] 像您要是来回跑的比较多，路途
[18:17.860] 长途比较多，但基本上那个时间挺久的。
[18:20.690] 要是去跑怎样快乐？
[18:23.320] 下面介绍。
[18:25.110] 完了。
[18:29.930] 然后那两块商那时候
[18:32.460] 我跟他约了27号，我再给他打个电话，给他约28号，到时候走完了是吧？行，然后我就写咱俩的小伙子票做，然后联播
[18:44.000] 完了以后你说我要有我也就直接交给你。
[18:47.280] 对可以你报对可以。
[18:51.620] 我可以就是说如果我要提前跟我说好就有意愿的，我也跟你说行，要不你直接让我帮忙帮你介绍讲讲也行，那行。
[19:01.460] 等您回来，然后帮我。
[19:06.320] 然后时间一会发现好了把车给洗一洗，然后预计。
[19:12.760] 瑶夏明辅助现实是54是85411多少？
[19:17.820] 这中午才11:30~1:00之间有个吃饭时间，一会儿擦擦等会。
[19:22.280] 什么车？
[19:23.080] 我在这块对，还要您那个点上三圈就微信。
[19:29.970] 要39年，
[19:31.960] 假如CNN
[19:33.780] 微信搜索三我给打败了，
[19:36.080] 公众号里面有一个反的力争。
[19:38.780] 对吧？三是吗？
[19:40.750] 54138。
[19:42.320] 我给您放着，我给你看一下。
[19:44.550] 了我知道了对。
[19:45.940] 好了，把什么急转编程更换电容。
[19:50.190] 好的。
[19:52.080] 你说一个。
[19:55.750] 你就差这1块3
[20:00.790] 地方。
[20:02.980] 放给你。
[20:03.700] 因为也不提您这取得单让他也有单向的。
[20:08.360] 没事待会帮你弄把密码打出来就可以了。
[20:15.760] 我刚才已经说了吗？咱们这边外向游戏在这一个
[20:22.130] 三
[20:24.980] 上海没有他不会丢失。
[20:33.370] 上次肯定
[20:46.720] 我不知道谁知
[20:50.730] 号。
[20:51.790] 你看刚才
[20:54.000] 能不能看怎么看？
[20:58.390] 应该是15,000×1万公里，我单个打哪了，我现在基本感觉是集团
[21:06.150] 是吧？
[21:08.080] 然后第二次19,000
[21:10.320] 换的华冠空调滤芯，告诉百得利集团了。
[21:15.240] 然后第三个微博版得利集团，然后4万公里
[21:21.390] 高地的皇帝
[21:24.590] 都没有了。
[21:26.400] 然后5万公里就是香港的
[21:32.890] 港白
[21:34.860] 53,000或者三楼店面
[21:38.820] 吃饭，
[21:39.650] 然后在6万公里的保养碰到律师，
[21:44.100] 没有这段下午
[21:50.020] 的。
[21:55.030] 你们的车幺具体。
[22:02.770] 很好，这不是1628，对133的话用4107 343 9 48 8点到92，具体的朋友
[22:13.250] 5335厘米。
[22:15.220] 他的供述
[22:17.770] 非常
[22:27.170] 有马。
[22:29.200] 138594
[22:34.190] 您听您自己为吧？OK这个看见
[22:42.210] 号码打开，现在就可以去了，已经不了，到二开始了，保险不好你还吃饭，我这边直接就抓紧做了。
[22:54.720] 1:30谁知2点左右，
[23:02.350] 2:30到时候我打电话没事，吃完饭去找他一下。
[23:08.840] 再聊聊。
[23:10.540] 然后工作
[23:18.120] 行行这事不要了，我这没有没拿，你看是不是在车里还。
[23:23.200] 至少
[23:27.410] 应该
[23:30.810] 谁知
[23:32.790] 工作站的微博
