[00:00.720] 2020年7月16号量与客户高新村建设路，我今天突然自己拿了，
[03:56.470] 还有一个是快速度根据需求去调整，玻璃水的位置是侧面按键按住别撒手就出现了。
[04:04.030] 黄人是不是都是low回来闪亮一下，
[04:06.650] 眼光推出去这试一试的。
[04:09.190] 方向盘的调整，这个车是手动卡扣在下侧，咱们打开根据您的驾驶习惯前后以及高低，
[04:16.000] 调整完位置以后想着把它锁死就可以，
[04:20.080] 这都没问题。
[04:21.930] 说一下中控的控制，首先左侧这三个文件控制是左侧仪表盘，
[04:27.560] 这三个对应控制右侧，
[04:29.500] 小房子是一个主界面，您按一下，首先会出现文字列表，
[04:34.170] 黑色的按键中间的这个是一个处空间，直接左右滑动去选择，
[04:38.800] 选好了往下按就是确认。
[04:41.190] 行程里
[04:42.630] 第一项是车辆的里程数17.4，上下滑动，
[04:48.640] 当前的车速，
[04:50.630] 还有就是车辆的能耗记录，
[04:53.150] 包括
[04:54.140] 您平常驾驶习惯的一个记录，再有就是百公里油耗，平均速度驾驶时间功率，
[04:59.620] 从里程计划下时间公里数这一圈会转回来，根据喜好调整自己需求界面。
[05:06.120] 蓝色的当前的剩余油量续航还可以跑117公里，
[05:12.040] 再有的话咱们看一下电话、导航、收音机、媒体这几项和右侧大屏幕是完全同步的，
[05:19.270] 待会在右侧对应介绍。
[05:20.980] 仪表盘的风格有多种，这个是主题与显示，
[05:25.280] 现在是经典蓝色，根据您的喜好切换成运动，
[05:29.400] 黄色
[05:30.330] 或者是前卫红色，
[05:32.030] 喜欢哪个界面次情绪调整就OK。
[05:35.050] 再有的话就是保养，他有一些基础信息的提示，比如说
[05:40.060] 首先行驶一段时间，4个轮胎会有对应的轮胎压力，
[05:43.930] 缺气会有提示，包括快到保养周期也会有提示，
[05:48.330] 以及冷却液机油对应缺失都会有中文提示。
[05:51.800] 一般的话不用看他如果确实都会自动爆出来，
[05:55.630] 建议的话搁在形成，
[05:57.900] 看一些基础信息就可以。
[05:59.660] 高速如果跑的多的话，咱们看一下下面这三个案件，首先右侧的金属件，
[06:05.110] 这个是一个功能切换键，
[06:07.240] 您往上推的话是小表的标识，
[06:10.100] 仪表盘对应的在最上面，这个是定速巡航使用的前提条件是
[06:15.520] 车速首先60公里以上的状态您才能用，比如说
[06:19.850] 咱们跑高速路况好没有车，60以上的车速选择巡航以后，
[06:25.330] 中间这个案件上推，
[06:27.490] 这会直接出现当前速度，想开多快，通过中间按键上下去设定一个速度值，
[06:33.570] 您设定好以后，左侧按键上推确定，
[06:36.680] 这时候车辆会按照您的预测值，
[06:39.390] 您只控制方向盘，不用踩油门，
[06:42.140] 设定多少车辆按多少速度自动走。
[06:44.650] 如果前方出现情况，
[06:46.670] 主要是踩刹车，或是左侧年下推功能自动取消了，
[06:51.760] 享用重新开启，
[06:53.510] 下推
[06:55.120] ALM标识，他的意思是限制您的最高车速，
[06:59.620] 中间按键上推
[07:01.530] 出现速度及开启这儿显示多少，您这车最快只能开多快？
[07:06.290] 遇到限速路段，比如说跑4环80，
[07:09.540] 咱们怕超速，您就把它调整为80，
[07:12.180] 这种情况下油门虽然自己采，但是车速达到80，你再理由他不走了，
[07:17.320] 防止超速使用，解除都是走三天瞎推。
[07:21.300] 没问题，OK。
[07:23.240] 党味的话怀档
[07:25.040] 在这的一个设计提示的话都在这，
[07:28.340] 方块内的白色字母首先是当前档位，那管侧面这个案件就是驻车P档，
[07:34.400] 挂档的前提必须踩刹车，否则挂不上。
[07:37.710] 他会有提车踩刹车，咱们往下看一下，
[07:40.700] 党委跳转手刹解除，
[07:42.860] 雷达会在右侧大平潭出来，
[07:45.210] 随着咱们距离的接近，
[07:47.590] 您看右边大屏幕的雷达就自动弹出了，
[07:51.290] 离得越近颜色会越深，红格亮的同时警报响，现在的话车距差不多30公分左右，
[07:58.520] 基本上宏哥亮就不太建议动车了，
[08:01.190] 到达往上推到底。
[08:03.450] 首先倒影会出现，
[08:05.340] 最下面这个白色是咱们车上的后保险杠，
[08:08.380] 这条红线是您车辆停车的临界点，
[08:11.710] 内侧两个大宽限是轮胎当前的行走位置，
[08:15.200] 轮子汇价宽叶走动方向盘，它会告诉你怎么拐弯。
[08:19.500] 后雷达一个是左侧的这，一个是这条红线，
[08:23.420] 什么时候您就不能到了，现在比如说后边是白色的墙对吧？
[08:28.090] 随着距离接近雷达有提示，红线上使500强，
[08:32.880] 再来一点这种情况杠立强就证明了您再到肯定蹭上了，
[08:38.960] 这一圈哪一进来都会有这种提示，左右4门也会有，
[08:44.440] 记住红歌量不动车就OK了。
[08:46.920] 停好车需要做的跟腱堵车，
[08:51.090] 然后直接灭车就可以了，手刹是自动上了，锁车离开就结束了。
[08:56.040] 没问题。
[08:57.210] 好，右边这个大屏幕，首先开关金属件咱们往下长，
[09:04.630] 是开启或关闭我就不关了。
[09:06.950] 操作的话，这三个文件以及触控板都是控制右侧的。
[09:11.710] 小房子小房子对应现在当前主界面，这儿左右滑动点击确定，
[09:17.190] 这也是一致的。
[09:18.450] 把您电话拿出来来个电话给您联一下。
[09:21.040] 这个屏幕是触屏，
[09:22.690] 设置您开蓝牙就可以，
[09:24.910] 让我告诉一下你的蓝牙名称就行。
[09:27.960] 对，设置里。
[09:31.150] 对，看一下。
[09:32.180] 看看对，你看一下蓝牙名字叫什么？
[09:38.550] OK高女士的iPhone这个事选择，
[09:41.880] 然后它会提示您的手机做一个对应的配对，
[09:45.440] 然后允许
[09:48.400] 通话记录电话本马上会同步车内。
[09:50.990] 电池电量移动信号都是您的。
[09:53.440] 我们看一下这里面，
[09:55.020] 这个就是您手机的通讯录马上就导入了，
[09:58.930] 再来电一波的同时，屏幕手机会同时显示这个车咱们是用声控系统了，
[10:05.310] 所以打电话的话也很方便。
[10:07.650] 只要联网蓝牙，首先激活生活系统这个案件
[10:11.910] 上推有一个说话的标识，您听一下我语音命令。
[10:15.720] 首先上推
[10:19.560] 呼叫
[10:22.040] 请告诉想要拨打的号码或者联系人的名称达
[10:29.080] 正在或将安达
[10:31.480] 就胡说了，
[10:32.640] 一个电话号码就糊涂了，如果是两个它就蹦出来了，您选择一下呼叫加名字，
[10:38.230] 前提就是上推这个系统都医生以后开始识别咱们的语音命令，在说话就可以，这个忽略就可以，
[10:45.450] 说话尽量偏上一点识别孔在这个位置，
[10:49.270] 导航的话也是声控可以的，直接一样上推。
[10:54.390] 导航
[10:56.960] 请告诉我您想输入的目的地金融街，
[11:03.340] 请选择一条记录和记录，找您自己需求的点一下计算路径，房子就开启了。
[11:09.590] 按照正常的线路走就可以，取消的话就点小叉子，
[11:14.270] 就可以。
[11:15.830] 除此之外的话，收音机调频都是存好的，
[11:20.040] 音量的选择旋钮上大下小，这个也是一致的。
[11:24.000] 左右滑动是选择快速切换，
[11:27.080] 当前能搜到的调频都会找到，
[11:29.470] 如果自己找到喜欢的波段想存储，找到波段点小加号，
[11:33.760] 他就存进来了。
[11:34.920] 清楚的话长按选向山出，
[11:38.650] 或者用声控也可以去改变调频。
[11:43.770] Fm94.5，
[11:48.760] 都可以。
[11:50.400] 再有的话就是裂纹蓝牙，平常手机听歌的话一定选择媒体，因为都是属于外事装置。
[11:56.640] 首先它默认的就是您自己手机歌曲，
[11:59.690] 想听的话直接用手机的任何播放器放歌就可以了。
[12:03.190] 如果是听U盘就选择USB就可以，
[12:06.150] 上下一手机一样是左右切换就可以了。
[12:09.590] U盘，车牌比较突出，
[12:12.300] 他是这种口叫TPC
[12:14.370] 您得回头自己买一个tp C的转换头才能拆个盘，
[12:19.030] 包括咱们手机的钱充也试一试的。
[12:21.620] 除此之外这个声控还能干嘛？空调温度的改变现在是低温，如果咱们想通过声控来调整也可以，
[12:31.610] 请将空调调整为20度。
[12:36.140] 好的。
[12:37.190] 我把温度调到20度，
[12:39.700] 可以没有问题，或者说氛围灯的改变，
[12:42.990] 也可以通过升空，
[12:46.160] 请将环境氛围灯调整为蓝色，
[12:51.410] 好的。
[12:52.400] 我来改变氛围这样的一个iPhone。
[12:55.010] 对，而且他声控识别度很高，
[12:58.120] 很多功能都可以用冲动来操作。
[13:01.230] 最多的一个选项功能叫车辆的设定。
[13:05.750] 这里边上面是5个大项，首先快速访问里只有2项，一sp是车辆方式策划审委的，
[13:13.070] 遇到雨雪天气或者过完快乐，如出现商业策划的话，这个系统会自动启动，同时纠正车辆行驶轨迹加上事故发生，
[13:20.680] 默认开启不要关。
[13:22.150] 第二个是雷达关闭，我刚才演示雷达咱们离近了有对应的话，中小哥提示
[13:27.430] 这个状态是关闭，什么时候会用到就是上自动洗车机，
[13:31.950] 离得很近，一直会预警，临时关一下出来，一定想去开启就可以了。
[13:36.960] 辅助效率都是这个车的主动，硬件安全默认开启，咱们就不做任何的关闭或变更了。
[13:43.640] 还有车辆里都是对应的一些小功能，
[13:47.410] 轮胎这个不用管，因为咱们不是极寒地带，不换冬季胎。
[13:51.860] 再有就是咱们在锁车的时候，喇叭让它响一声，有对应的提示，
[13:56.420] 以及车速1~15公里4门的中控会自动锁止，
[14:02.050] 锁车刚才说了经常自动收回，是在这儿设定，以及包括缺油了，加油站提示都会有。
[14:09.160] 照明里第一个是氛围灯这个颜色实际上是64种，
[14:14.350] 喜欢什么颜色做，点击自动切换了，到时候自行去调整。
[14:19.380] 亮度指的是氛围灯的明暗变化，
[14:22.380] 其实有一半或者更低一点，晚上就很亮了，白天因为光线强不是很明显。
[14:30.920] 再有就是在您锁车走的同时，大灯照亮一会儿自动熄灭，建议15秒够用。
[14:37.150] 同时的话车内也是对应的。
[14:40.150] 再有就是晚上停车两侧的小镜子下面有对应的召集更出现，这都是设定好的。
[14:46.640] 系统里时间是不对的，我给您调一下稍等。
[14:51.390] 这个选择一下时区，
[14:53.480] 表就都变成自动的了，
[14:55.720] 找中国就可以稍等。
[14:57.870] 最下面那一块
[15:25.150] OK表情自动切，我了都不用管。
[15:28.130] 这一行按键都是车辆空调的手动调整，首先咱们看一下
[15:33.740] 蓝空箭头是温度，往上是加往下是简式半柱弯头调整的。
[15:38.720] 第二个是风量越往上越大，
[15:41.540] 最大是七关的话，这根弦要一直关到头才可以，
[15:45.950] 整个它会断掉，开的话其实都可以无所谓的。
[15:50.120] 自动空调您可以设定车内的一个合适的温度，点亮凹凸见，车内会一直保持这个状态。
[15:56.570] 雨雪天如果遇到起雾的状态，
[15:59.140] 前窗除后窗除点亮就可以了。
[16:01.890] 双闪的位置是在中间，有事故警示播放启用，
[16:05.890] 现在是外循环亮灯的状态，是内循环雾霾扬尘或者制冷空调，咱们建一个有关状态，
[16:13.070] 制冷夏天用AC，冬天其实不用什么上来，温度调高自然有热风，
[16:18.480] 右侧是风向调节，吹什么位置你自行去切换就可以。
[16:23.190] 出风口
[16:24.720] 水平的状态都是有风垂直的状态都是关闭，
[16:28.890] 角度的话就是上下左右自行去切换就可以，
[16:31.990] 全排5个都是一致的，
[16:33.840] 包括这两个也是一样的，过来直接就关掉了，就没有风了，我那句话原话我永远记不住这个
[16:42.270] 有什么窍门吗？这没有什么窍门是这样，你比如说
[16:48.590] 天就是空气质量不好，
[16:50.460] 雾霾扬尘
[16:51.910] 建议是
[16:53.200] 内行了，因为很脏对吧？或者说你秋天的对量都是内循环，这是外循环。
[16:59.720] 这个就是封闭了一下车内的空气，但是比如说你制冷保持的会更好，但是
[17:06.920] 不适合跑长途，为什么？
[17:08.800] 你车内老是封闭空间，它容易缺氧，房客
[17:11.620] 跑长途不用这个或者你是适当的去切换。
[17:15.440] 对正常天气好，你都开外循环就可以。
[17:19.880] 这样的话小的一个组合，这个不用的话咱们直接关闭就可以了。
[17:26.190] 这个不用了。
[17:27.220] 观众就行。
[17:28.580] 左侧金属件事车辆的驾驶模式，这个车看一下对应的C字母上下选择金属件由低到高，分别是节油一状态，
[17:39.860] 舒适C状态运动这三个模式由低到高一CS，每上一档车辆的功率都相应放大，
[17:48.140] 越往上调这个车提速快，动力越强，但是相对油耗会高一些，
[17:52.920] 一般咱们建议就是舒适就够用了。
[17:56.080] 停车怎么样？
[17:57.600] 双方随时这个是自动泊车，
[18:00.440] 需要的话还有咱们出去做演示。
[18:02.940] 这些是快捷键，刚才进入的车辆，
[18:06.310] 包括
[18:07.390] 小的收藏家，
[18:09.000] 其实
[18:10.170] 是这样，小图标可以根据自己的喜好去重新排列顺序，就是比较个性化一点，
[18:15.700] 其实内容都是一致的，没有什么大区别，
[18:18.510] 这些都是快捷电话一键进入，
[18:21.610] 包括刚才说的收音机和蓝牙音频是一个
[18:25.170] 一下收音机，再一下是来
[18:27.520] 还有刚才说的导航对。
[18:30.280] 都是一样的。
[18:32.520] 这个也是tp C口回头得买个txt转换头才可以充电。
[18:37.230] 都是小两口了，没有USB。
[18:41.480] 上面的话
[18:42.870] 对应的都相对简单，一行全是灯光阅读灯左侧，
[18:47.360] 包括对应的右侧，
[18:50.390] 这儿设定了一个开门亮的，晚上比较有用，4门关好自动熄灭，
[18:55.640] 被关上。
[18:58.230] 然后前排的照明，
[19:00.890] 这个是后排
[19:02.540] 两侧能独立开启。
[19:04.640] 这两个是刚才给您介绍的叫密互联的功能，实际上车内饰有一个独立车载电话卡之称的，
[19:11.750] 这两个案件在实名认证以后明天就正式启动了，首先这两个案件您它会自动接到奔驰的服务后台有人工接电话，
[19:21.260] 同时又是三年免费使用周期，
[19:23.910] B标识这个作用
[19:25.970] 是信息咨询，比如说咱们想订机票酒店餐厅，包括查询兴趣点，
[19:31.910] 或者说出去玩旅程咨询服务，再有一个重要的是道路救援，
[19:36.260] 与车抛锚有问题了，
[19:37.780] 问他都是以跟肩膀
[19:39.430] 中间SOS是一个紧急呼叫键，
[19:42.770] 在咱们行车过程中，如果假设遇到人员受伤或者紧急情况，在里面白的除了连接后台120自动连接，
[19:51.030] 只要这个车行驶在有信号的地方都可以自动接通。
[19:55.300] 天窗遮阳帘，就这一个文件往后递一下掀开。
[20:02.400] 如果咱们是跑高速需要换气，打开以后往上推，
[20:06.660] A还会翘几个小缝了。
[20:08.780] 如果是想平开就不用往上推了一下，直接第二天再往后，
[20:13.540] 找到一个合适的角度，认识一下调整空间大小，
[20:17.200] 否则就是默认到最大状态。
[20:21.540] 反之往前关两下，
[20:25.910] 第一项关的是天窗，在关对应张扬关闭，
[20:33.730] 这个就是手动防眩目后视镜，正常调整一个后风挡视角就行了。
[20:38.550] 晚上远光刺眼，这个往上推做一个折射就可以，
[20:42.480] 就不刺眼了。
[20:43.770] 座椅的侧面这个位置
[20:46.030] 摸一下。
[20:47.010] 有一个圆钮吗？到了吗？
[20:49.260] 这上面有前后上下4个小凹槽，按住钱别撒手，
[20:53.540] 要通过往外顶，
[20:55.640] 上下前后调整跑长途会减少咱们一定的疲劳感。
[21:00.840] 后排没有什么控制，就是两边的玻璃，还有空调的出风口，其他的也都没有。
[21:08.900] 对，车内基本上也就是这些功能，看看还有哪些需求了解的，
[21:15.160] 或者不太明白的。
[21:21.250] 没什么事可以是吧？
[21:23.960] 下车说说外面后备箱有些
[21:26.720] 有一小的工具包做个清点，自动泊车学校是我待会出去，咱们在马路上才能找车位是。
[21:34.670] 来。
[21:39.190] 停车侧方随时都没问题是吗？
[21:43.400] 说一下这个车首先4门后备箱都4号的前提下，要是有200，
[21:49.110] 这是一板上面人间一下所指，
[21:51.700] 有声音转动调三件代表完全做好，
[21:54.810] 这是开口第一版第二版所指，
[21:57.320] 开车。
[21:59.170] 夏天如果特别热，记住了张良现在关闭状态下长开锁键按住别撒手，他会把上面遮脸，首先。
[22:08.910] 看到上面焦点展开了。
[22:11.890] 第二现在长按的话天窗玻璃同时。
[22:15.520] 开启比如说车内温度。
[22:17.420] 高可以跟踪中沟，
[22:19.000] 下车忘关玻璃天窗了，锁车键厂
[22:22.520] 不一样的阜阳了，
[22:25.920] 第二天再按这样连也会关闭，所以
[22:29.140] 都是对应的。
[22:31.600] 这个车的油箱盖是在咱们车辆的左侧，
[22:36.080] 加油的前提开油箱盖，车内没有单独地开启电脑，
[22:40.380] 锁车的状态它是锁死的。
[22:42.690] 解锁一下，
[22:44.160] 它就可以打开了。
[22:45.920] 直接你开加油，有的。
[22:47.550] 话不允许或5号。
[22:49.040] 后备箱
[22:50.240] 车内可以独立开启，或者要是最下边见长了，
[22:53.890] 他会独立开，然后
[22:56.700] 随车的话车三脚架原车是自带的，
[23:00.280] 车的话也是没有备胎的，
[23:03.170] 后边什么都没有，底下给拖车钩。
[23:06.840] 这里是咱们随车的一些东西。
[23:09.840] 保养的话这本保险信息要die，
[23:13.440] 三包的话，我待会给您填一下原件，让您带走。
[23:17.660] 有一个荧光救生衣，这跟交警的反光背心这次有事故，晚上起到警示作用。
[23:23.290] 车的说明书到了救援。
[23:24.910] 指南秘书连介绍都在这。
[23:29.390] 能够
[23:30.660] 上车咱视察之后火车做个演示，
[23:42.920] 收到。
[24:15.630] 自动泊车，它能实现车辆
[24:18.650] 自己找车位同时自己停。
[24:20.860] 怎么来用法？比如说咱们现在到了停车场，
[24:24.660] 想让车自己找车位，首先您挂一个前进档，
[24:27.730] 挂完以后直接按这个摄像头，
[24:31.090] 她这时候就开始提示前行，查找停车位置，您现在需要做的就是正常的开车，
[24:36.840] 这个车位不管在左边还是右边，侧风还是垂直，
[24:40.880] 它会自动识别这个车位，只要能停进去，它会在
[24:44.840] 仪表盘报给您，同时有一个声音，当然医生又提示说找到车辆找到车位了，
[24:51.600] 地上有没有这种
[24:53.650] 标准的停车位的划线都不重要，它识别的是空间，
[24:57.510] 只要您从这儿过看到吗？这就是左侧的侧房，
[25:01.820] 右侧策划带您去找一车来试一下。
[25:09.580] 但如果说
[25:11.440] 这一大排都是侧方停车，她一个
[25:16.580] 车都没有，他也不识别，比如说右边他开过，他也会使
[25:21.410] 比的右边有点远了。
[25:24.710] 对等您去库里，我看看哪种车位，
[25:29.680] 他根本都停满了。
[25:44.440] 比如说您到停车场无非就是这种状态，
[25:47.340] 咱们就正常开就行了。
[25:49.320] 开过车位的同时，他认为这有车位找到了，他会在这自动爆出来。
[25:55.240] 怎么会没识别到？
[25:57.520] 是稍等。
[26:03.410] 等到以后需要做的事，这时候自己去刹停车辆，
[26:07.370] 停住了，
[26:08.550] 他就问确认住车一个车位每个选直接确定或者点着也行，如果是左右或上下是多个车位，就需要滑动找到一个车位在停车场。
[26:18.490] 然后这时候按确认
[26:21.230] 提示挂入倒档，
[26:24.080] 过安倒档自动泊车现在完全启动了。
[26:26.730] 您现在需要做的是坐在车内，脚带点刹车控制车速，其他的都不管。
[26:32.470] 咱们看一下这个状态，
[26:34.400] 绿色的宽限是轮胎的行动位置，对吧？
[26:39.250] 咱们看一下他就开始自己倒了，
[26:41.650] 阿伦也是他自己打。
[26:43.770] 对，您需要做带点刹车控制车速。
[26:46.690] 远端小红线就是它的刹车点，
[26:49.760] 它进不去了，到那他自己就刹停了，
[26:52.780] 他会换挡再往上走，
[26:54.680] 只是停留预选车位。
[26:57.500] 你看
[26:59.340] 到这他就刹停了，
[27:01.950] 他会换挡反向打轮了，
[27:05.630] 但这个是机械助力，所以有点咯吱咯吱您的声音。
[27:10.000] 再挂倒档在
[27:14.520] 你就带点刹车就可以了，其他都不管。
[27:18.630] 梆梆梆梆梆梆嘭
[27:24.480] 不争它要调一把，
[27:39.150] 直接停到预选车位里。
[27:41.580] 虽然咱们看着地上有两条白线，它停的偏我这边，
[27:45.130] 它是靠策两个车的距离，
[27:47.610] 不光是以地上的白线为准，
[27:50.430] 咱们再停完车以后，它会自动切换为驻车，
[27:54.680] 现在需要做的就是按下启动键，选择离开就结束了。
[27:58.360] 侧方的话也是一样的，只要他能识别就一定能进来，是这样一个状态。
[28:06.420] 还有什么要问的吗？
[28:10.340] 我待会给你留电话，后期用车如果哪有问题不明白了随时问。
[28:14.270] 因为功能新车相对多，怎么也得开个
[28:17.660] 10天半个月能完全适应。
[28:21.590] 有什么要求？
[28:41.210] 这个车位只要是它能识别出来就肯定能进的去做，他只要能找到
[28:46.080] 就能进去。
[29:23.110] 这个车待会就给您送装饰了。
[29:25.740] 有车一这些
[29:27.180] 装饰，
[29:28.030] 做完以后就给您搁在那了，回头您折腾过来取就行了。
[29:32.140] 行，咱们就下车进屋。
[29:34.000] 把后边主机给你干完了
[29:35.790] 了。
[29:59.530] 回家。
[30:01.090] 以前开车有影响吗？
[30:03.860] 谁知是吧？
[30:11.570] 用这种
[30:13.780] 学车的时候肯定都没有，一有就适应了。
[30:18.080] 一开始不适应，开始
[30:21.100] 时间长了就不会太多，可能会有别的。
[30:28.830] 因为这个车全车都有，雷达左右两边也有，所以盲区相对会小一些。
[30:34.380] 刚刚梁一梅送那个单子来吗？
[30:39.750] 数据、
[30:43.560] 场。
[30:45.030] 场
[30:47.920] 数据
[30:59.090] 的
[31:28.150] 您用的苹果手机是吧？
[31:30.300] 打开您那手机。
[31:36.070] 英文搜索，
[31:41.350] MC I
[31:57.960] 有一个梅赛德斯me客户端，
[32:00.300] 然后您直接下载就行了。
[32:03.290] 第一个
[32:04.680] 第一个直接下您不是军人吗？
[32:07.120] 不是好勒。
[32:09.610] 然后您给我留个您的手机。
[32:12.230] 139您说。
[32:13.660] 1522号
[32:22.450] 给您手机马上会发一个短信，里边有一个6位数字激活码收到您告诉。
[32:36.710] 车主开走看看。
[32:39.410] 54958好勒。
[32:42.350] 下完一会您直接点登录，不用注册，我这一会都会给您注册完毕。
[32:47.990] 等一下。
[33:14.200] 场
[33:22.790] 上。
[33:31.720] 场
[33:33.350] 场
[33:41.130] 稍等一会，他现在正在给您绑定车辆。
[33:44.040] 咱们点灯的。
[33:51.370] 三
[33:52.080] 明天。
[35:07.840] 明天周五。
[35:10.030] 5又过多一天。
[35:21.620] 身份证需要您这样拿着咱们拍一个照片。
[35:26.650] 因为是实名的要动。
[35:30.810] 身份证您说好我这就完了。
[35:32.940] 待会手机会收到实名认证通过的短信，他会提示这台车108847完成实名认证，
[35:39.900] 然后您现在可以先登录一下软件，
[35:44.080] 已经到登录界面了吗？
[35:46.930] 手机号第一行加号86，您自己的电话，中国区的缩写是加号86，
[35:57.720] 第二行大A小A字母，然后123456，
[36:04.200] 五。
[36:17.840] 什么情况？
[36:22.580] 病房108847，谢谢。
[37:01.300] 里边是不是出现车的照片了？
[37:03.930] 这个数据的话明天你就能看到了，因为咱们刚提报，
[37:09.020] 然后从审核通过以后，后台需要一个实时，
[37:12.890] 基本上就是市民通过以后，咱们车辆要行驶半小时以上，或者明天就能
[37:18.730] 在手机上看到这个车所有的信息。
[37:20.860] 比如说
[37:22.120] 您这个车跑到这里，更多是由玻璃水是否缺失轮胎的压力，
[37:27.320] 下面有一个定位的功能，然后你可以
[37:30.760] 知道车的位置具体现在
[37:32.940] 被记录。
[37:33.910] 对，你
[37:35.280] 关注一个小叉子。
[37:36.600] 其实现在可以放大缩小地图。
[37:39.480] 对，这就是车的位置都能看到。
[37:42.360] 现在行驶还是未激活的状态，明天内行就出现数据了。
[37:48.360] 票是今天开的，
[37:56.240] 这本是咱们这台车的三包，涉及车辆质保您不要，
[38:01.520] 这一会原件你拿走。
[38:03.240] 这台车108847，生产是5月14号开票，今年7月16号
[38:08.990] 质保期这个车
[38:11.060] 三年不限里程，从开票今天开始算，
[38:14.220] 质保期内不管这个车开多少公里，这些大件出现质量问题的话都是管的。
[38:19.850] 后边
[38:21.220] 每一个易损件都有对应天数功率数的条件限制，除了这个条件对应的易损件在华旅游自费项目，这个一会您带走，
[38:29.260] 这是客服给您做个面法。
[38:31.530] 委托人高女士只能是bug，然后我去给你拿委托书稍等。
[38:50.760] 您稍等，您做面饭我去一下三包。
[38:53.520] 反而
[39:20.200] 第一点，
[39:21.670] 咱们
[39:28.080] 您好。
[39:31.050] 你好张女士等等，我这边是客服的，再给您申请一个购买新的小礼物，然后也感谢您这边选择在咱店购车了，
[39:38.850] 车提走以后，店里会给您打回访电话，到您接听一下咱们电话，配合一下回访就行。
[39:44.210] 然后厂家那个店里肯定打，厂家不一定，厂家是抽查性的，有可能打给您联系，有可能不联系。
[39:51.480] 如果厂家打了接通了，每一项都评个满分，最高分您保留，他给您打电话通话记录，
[39:56.910] 进行你接电话的截一下屏，然后拿给销售可以帮您申请份礼物。
[40:01.480] 您拿手机扫一下，在咱们店里给您打回访的那几个电话号码。
[40:05.680] 也可以同意。
[40:09.560] 这就是沟通。
[40:10.720] 电话号码，咱们店里打回访的那几个电话号码保存，
[40:14.420] 创建联系人，
[40:15.820] 直接点完成就行，关注了咱们公司公众号了吗？
[40:20.060] 您可以关注一下经常组织活动的
[40:23.950] 符号，健康组织活动，微信扫一扫，您点关注。
