[00:00.370] 2020年7月22号量与客户刘东东教授录音。
[05:54.760] 跟他看后面这回就看这儿跟这儿了，
[05:59.220] 您看这个黑色的是后杠，这条红线就是临界点，什么时候您就不能倒了，后边是墙对不对？
[06:07.650] 对。
[06:08.800] 红线上食物白色的墙，对再来一点，这种情况刚毅强就这么样，对这个车还多了，什么两边4个门的位置离近了都有了，以前只有前后杠，
[06:20.410] 这都是一样的，
[06:24.900] 那挺好，车归档对吧？对这是直接面车就OK了，对。
[06:30.570] 对这儿的这已经让对空气的这都是空调，咱说一下右边这个屏幕开关是金属键往下沉，
[06:39.570] 是现在的开启或关闭操作的话，这三个案件
[06:44.360] 还有中控板都是控制右边的，可以小房子就是主界面，
[06:49.110] 左右滑动，点击确定就确定以前觉得是1元98全景，
[06:53.870] 血流完了你要是左右转，不是暗示确定一下能翻是吧？这个直接划就行了。
[07:00.530] 回味试着挽回，对这个也是返回。
[07:04.420] 除了控制以外变成触屏了，您点也能用，把你电话拿来了，电话我给你连上，
[07:12.110] 设置您开个蓝颜，对1你不说，好打蓝牙打开蓝牙打开，
[07:17.260] 设置的。
[07:19.720] 打开就行，您看您这叫酒圈这样直接点。
[07:24.020] 对车辆就自动找您的蓝牙了，找着了点一下修了，对，然后您手机点一。
[07:30.820] 这段
[07:31.470] 看到了，
[07:32.570] 然后点一个同意
[07:34.310] 就可以了，稍等。
[07:35.990] 出来。
[07:36.830] 对，同意。
[07:40.200] 您看
[07:41.010] 电池电量移动信号都是您的，这个是所有手机的通讯录就马上导入了，通讯录就在这，咱一来有人电话就行了，
[07:49.690] 显示对方电话对着这个案件来电了，上学接听夏天挂断，女士在您手机存的叫什么？
[07:56.750] 这个名字。
[07:57.840] 我这个电话本里存的叫什么？一个刘建军就是女士是吧？
[08:03.840] 我教您一下这个电话以后怎么用，对这个车升级了有一个声控系统，
[08:08.910] 您看这个案件网上就有一个说话的变化，对它是声控，首先咱们激活的听一下我的语音命令，首先上吹
[08:18.120] A呼叫，
[08:20.800] 请告诉我想要拨打的号码或者联系人名称刘建军。
[08:28.070] 正在呼叫刘建军的手机就直接付出了，直接不出来呼叫佳名字就可以了。先说呼叫对，他就问了问那个名字或者手机号首先要
[08:40.580] 上推，然后她都一声以后系统开始识别，就是这意思上推。
[08:46.360] 对。
[08:47.070] 再说话就可以了。
[08:48.560] 除此之外，
[08:49.950] 导航也一样，声控多给您做个演示。
[08:53.920] 导航，
[08:57.210] 等会
[08:59.670] 导航
[09:02.910] 等会儿，
[09:07.360] 小点我觉得
[09:09.510] 去金融街
[09:14.720] 我找到了这些结果，您想去哪里是市场的需求正在计算路线。
[09:21.010] 路线和自动规划制度改革对。
[09:24.060] 就出来按照目的地走就行，对，取消就点小叉子就可以了。
[09:30.410] 从此对除此之外这收音机跟以前一样调皮都存好了。
[09:35.860] 对，但是多了声控。
[09:39.830] FM94.5。
[09:46.080] 他就切过来了。
[09:47.380] 存储的话找到自己喜欢的波段，点击小加号，对它就存进来了，存在清除，长按
[09:54.070] 选项删除
[09:55.790] 就完事了，音量一样产量下降，对，那也很重要，就对这个可以操作，对上下划就行了，这是方便付价控制吗？
[10:05.010] 手机平常您听歌吗？
[10:07.210] 手机听我很少，他们听没事就连one蓝牙，您就记住选择媒体想听自己手机的歌，
[10:16.000] 手机的播放器直接放就自动产生了，对都是一样的。
[10:20.900] 这个声控除了刚才咱们说的呼叫电话导航调频以外，
[10:26.340] 还能干嘛？比如说
[10:29.600] 请将空调调整为20度，对。
[10:33.610] 它就自动了，对好的。
[10:35.970] 我把驾驶员侧温度调到20度，
[10:39.640] 他就切过来了，因为咱们现在选的是分区空调，所以您那没动，如果选择他也是变成一样了，对，再有的话氛围灯
[10:48.880] 多了分类灯也是好几十种的，64种4对。
[10:52.960] 换的话也可以
[10:54.680] 对锦江环境氛围灯调整为蓝色，
[11:02.470] 好的。
[11:03.450] 我来改变氛围没有。
[11:06.150] 都可以，或者说开启座椅加热都可以，这儿也有一个
[11:11.930] 都是咱这是的，对是内因，暑假附加值相对。
[11:18.050] 再有您看一下车辆里功能选项相对会多，
[11:23.090] 逐一的去了解一下，快速访问里这几个大项E sp防止侧滑的永远不要关。
[11:30.310] 然后M是手动挡还是玻片不一样的，对。
[11:33.800] 这个是雷达关闭，我刚才演示雷达里进了黄橙红小格，
[11:37.600] 这个状态就全关了，没有任何提示，不要关他不要关掉对越野车
[11:42.650] 车多了一个功能还将对您知道电OK厚度好像开过这种事我没开过，我看它说明书里的就是我下载了以后，
[11:53.560] 它的一些功能的都有什么明白了。
[11:58.050] 举个例子说以前咱们开车下场落魄，您肯定是靠刹车控制车速来下去，这时候如果遇到这种情况，咱们就用陡坡缓降，首先开启。
[12:07.410] 对他是通过巡航定速控制键，首先对车辆的速度进行设计，先口径控制速度，
[12:15.370] 他的工作范围值是在2公里到18公里之间，您设定一个需求速度以后，车辆按照技术方案下行，你设计的他就按800
[12:23.750] 案设计师对通过这种特殊路段关闭就可以了。
[12:27.150] 越野车底盘相对高，咱们上海车不是太方便，所以这儿有一个上车时
[12:33.460] 自动降低，
[12:34.620] 车身自动降低，车是空气消化。
[12:39.010] 现在他在哪操作，现在就往下走，对往下走。
[12:43.430] 您上车的时候它会自动将，但是开起来就起来了，方便您上下就得定在这儿就行，到时候我一下车他就自动就下来了。
[12:53.010] 手动升降我待会告诉您，还有一个是什么？
[12:56.320] 这个叫洗车机模式。
[12:59.170] 您想想您以前洗车是不是这手动关镜子，对关天窗过关雷达，这个就是一件。
[13:05.900] 对，所有这些全部收了，到时候进电子洗车出来以后您开开
[13:12.420] 他就复员了方便了。
[13:15.800] 辅助项里还都是主动安全，默认开启，这里就不做任何的变更关闭了，对。
[13:21.140] 车辆里对应的一些小功能，咱们也再看一下，
[13:25.040] 回头您的牌照可以自己上玩牌，输进去输一下可以了，安全带系里头勒一下，有对我知道。
[13:32.020] 比别的车要新一点，一别的车他部队里没有泪的那种，包括锁车喇叭小声的提示，
[13:38.810] 车速达到15公里，中控锁止，
[13:41.830] 锁车镜子电动折叠，
[13:44.290] 包括汽油加油站提示都会有，对。
[13:47.320] 照明里第一个就是氛围灯，刚才咱们说的已经水果了，颜色是64个，喜欢哪个省您就一点他就能换了就了，喜欢热门赏您去调整就行了。
[13:59.450] 再有就是锁车走的同时，咱这大灯照亮一会延迟熄灭，岩石轻点，对，建议15秒购一个瘦身有作用，催眠是要不然你要姥姥姥姥不他是不敢走，
[14:10.550] 你不是早以为没锁上没走上，就等会看着他。
[14:14.820] 那个环境和环境照明指的是刚才咱们地上有两个在奔驰标子照地灯照地灯，对刚才能看到这就是夜间你进车库了以后，离车前他有一个量没错，
[14:28.010] 系统里时间咱们去对一下，
[14:31.350] 时区对表情自动的，您都不用调整它的自动化。
[14:36.550] 这一行金属件就是全是车辆手动调整了，空调蓝红箭头左右温度上下加点上下，这还跟原来的有点类似，就是践行不一样的。
[14:46.990] 风量大小对风电它自动空调，前后窗除雾，对现在Y菌含量内心好像卖新华
[14:54.450] 制冷这是分区控制，空调分区不一样的是什么？
[14:58.780] 是空调的
[15:00.560] 图示显示界面有个厨师件，
[15:03.230] 不是厨师，您看新的交易和GS多了一个功能，
[15:09.370] 叫做雾霾终结者。
[15:12.450] 如果外边扬尘空气质量不好，这是咱们车内的一定是非常优化悠悠，对。
[15:18.410] 因为咱们这室内相对好一点，如果您要是在外边这个数值会变高很高的，对，但是车内一定优化非常好，车内空气质量会非常强，对。
[15:28.180] 你就不用管一直开着就行。
[15:30.860] 还多了什么无线充电这个位置为中间叫我这个机子机型也能修吗？不是，它是只要您的手机带这个功能才能，我就说想说你带着功能，
[15:43.510] 苹果是8以上的，安卓的话您得问一下，如果带的话放着谁知自动充电，
[15:51.020] 它会有提示的，
[15:54.400] 一会儿割着她会这有一个无线充电一起用，对你这苹果肌的对吧？以上都能，行，他这有触点，您放好了他自动就碰到了。
[16:04.270] 然后提示了看着看到问题是无通电一起用一起对，他是用这个电话生意东西，还是你来电话是我来电话了电话。
[16:22.210] 然后两个杯托。
[16:24.220] 您不用关闭咱们就可以了，对这些对都是快捷键，对。
[16:29.950] 一键进入导航，导航这个是收音机和拉音频是一个按键，一下是收音机，蓝牙音频赞一下收音机生机，包括刚才看到电话的选项，
[16:40.570] 对驾驶模式老的一只有一根S对吧？咱们上下选择看一下，主要是对应的是蓝鼎CS，
[16:48.820] 分别对应的是节油一模式，对C舒适模式，还有S运动模式的模式，对这三档由低到高，每上一档功功率都放大，放大提速更快，动力变强，但是油耗相对
[17:02.170] 因为是越野车往下滑，还有一个越野模式还是月末调到这以后，它会切换成一小汽车的标志，同时底盘自动升起，
[17:10.880] 您看前面鼻子跟那家看看看就看出了起来了，已经动了有动作了，对前后价值越来越高。
[17:18.430] 这个就是走到那种极限路段非常崎岖的情况下，就调整起来方便一个通过多少？
[17:25.280] 大概5公分，不是66公分。
[17:28.920] 现在下车咱们看
[17:31.240] 轮眉跟轮胎中间轮枪就直接能看到会
[17:35.560] 起来很多，你好。
[17:40.110] 刘哥我放在一页。
[17:41.980] 床了这就有了，我看一下名头好好勒，好勒谢谢了。
[17:46.510] 行了，那个没有人吧？
[17:49.420] 没有人我都没有人。
[17:57.700] 不知道了。
[17:58.700] 知道吗？看
[18:00.440] 肯定的，他说我放心了，
[18:06.950] 他就了。
[18:14.160] 想干嘛
[18:15.290] 了？
[18:17.320] B
[18:18.380] 一般用不上，正常咱就舒适模式齐了，对。
[18:24.330] 正常就是舒适，对。
[18:27.090] 然后他抵抗又会回落，看前面就下去了，看看
[18:31.910] 路况不好才用这个月线对。
[18:35.610] 他最后又回落了，如果说刚才我说的是越野模式，底盘自动升降，对，如果说您说我就想在这舒适模式下，我们收盘行不行行？手动推就往上推，它又会起来才会起来，你看着我
[18:48.170] 现在等会他没有复位到头了，没到他线到头了，现在到头了，对你看到了还有提示了，
[18:54.650] 它还会往你一起
[18:57.790] 就点它一下就完了，你看他有一个缓冲的过程，它是不是说你这一推事情，它是液压顶杆一点往起顶，对。
[19:07.570] 它是有一个过程的，给他下来一会就回来了。
[19:13.310] 然后这个车说一下充电跟以前的不一样了，以前咱都是USB接口，这回都变成这种小扁口了，
[19:22.860] 叫TPC您得买一个tp的转换头，咱们能充电，对好的，这儿有两个都可以没问题，
[19:31.490] 这有点像苹果的，也不是小扁口TC小小瓶小瓶口颌面，有的安卓的系统，有的有些家里可能有瞧扁的，
[19:42.040] 还不是苹果的这些，对小两口都是灯光，以前他跟完全一样，有的灯左右
[19:49.730] 左右
[19:50.470] 设了一个开门亮灯对吧？关好自动熄灭，对。
[19:55.320] 前排照明后台照明都能独立，有点像水晶灯灯照全是LED的了。
[20:03.910] 这俩叫me互联，有一个车载电话卡已经内置好了，能干吗？我先告诉您激活以后，
[20:10.730] 这两案件您按它就接到奔驰的服务后台了，这个标识是信息咨询帮您能干嘛，比如说订机票、酒店餐厅查询兴趣点，
[20:21.150] 出去玩旅程的咨询服务，还有我刚才说抛锚了，道路救援都是这一个原件，他就能给它连接到上，您激活以后要离人家就接了，接电话语音服务都是直接对话，这是紧急呼叫假设，遇有人员受伤，一紧急快意外以后，这里边的除连接后台120自动连接尽量不占用，阿姨会激活，明天就急用了。
[20:47.430] 天窗一样停车一样的掀开帘，但是全景还是非常大，一直到最后边。
[20:55.570] 不诱发哪去都不知道，到后边他那有卷的可能对。
[21:00.570] 这是最大的，往上就是跑高速您换气，
[21:05.060] 再往后是平开，
[21:08.020] 找到合适的位置，咱按一下调整代表就行了，对，否则就开到最大。
[21:13.950] 反之往前能关两下相关停车，
[21:18.080] 在官商连关闭，
[21:23.320] 这大车就是跑出去玩去，开着特别
[21:26.800] 舒服。
[21:29.880] 对
[21:33.650] 没问题，结果有什么问题我就可以了，像这种操作我在网上能够
[21:39.610] 也能够那什么吗？得能一下，咱家后备箱里有爸有那个书，就一不是有一个包有一个兜子，有就在这里头的，我唯一想见
[21:50.290] 有点什么，因为讲这么着一下消化消弧线慢慢还操作过分支车要平车过来，他更什么一头雾水，因为啥呢？
[21:59.830] 我都狠心，再一个就是新车您怎么也有个适应过程，它不能说它起步开这个车跟开您以前的车还是有区别的，对油门的感觉，因为哪个车标不一样，对。
[22:12.910] 车人车它包括调教都会有区别吗？对。
[22:16.340] 灭车是一样的一下的对不对？
[22:20.120] 下车说说外边后备箱有点东西，这俩要是都给您试一下来。
[22:24.460] 车型均不开口贴车衣是吧？对。
[22:42.770] 俩要是先试一下，第一个就是锁车摁一下上面锁止。
[22:47.930] 这是对后备箱您试一下没事是不是？这车？
[22:54.170] 这是一本跟您说一下，以后这要是咱就不用
[23:00.580] 不好意思说了一米
[23:02.430] 不要拿出来腰上，比如挂羊肉跟包里头都行，我到那就行了，完了官车的时候就
[23:08.830] 观察他穿那小核桃就
[23:11.790] 是不是很听着单手标哥在这是对这有那low的，对开搁中间就开了4个门都一样。
[23:24.460] 对，摁一下就锁说，
[23:26.290] 谁知后备箱在下面长按图一开，
[23:31.960] 随车的东西我也给您做个轻点，您买的这是5座版，底下没有备胎，下面有。
[23:40.190] 车go，三脚架，砌缝和一个补胎，
[23:44.470] 这个是咱们随车的东西。
[23:48.020] 荧光救生衣有一个
[23:50.030] 这个是急救包工具箱的剪刀，
[23:53.130] 这块布是擦屏幕似的。
[23:56.160] 还有。
[23:57.790] 寿命包这说明书，最后的那个事还有保养信息道路救援指南，
[24:05.330] 后排的座椅它是电控，这两个文件，L代表左侧，L代表右侧，您看一下行。
[24:19.390] 他就放下了，
[24:20.980] 他就收了，对这个也是。
[24:24.490] 他强势他不是，他先对先往后放，然后再往下对，再收回对。
[24:33.960] 你要拉大件的这样对起的话也是一样的，价拿下来好像就搁在
[24:40.040] 哪，对可以放里面。
[24:43.080] 都是活的。
[24:45.410] 我待会把这三包给您填一下，然后告诉您一下注意事项。
[24:51.010] 这个车电尾门它这个高度您能自己调整。
[24:55.220] 这两个
[24:56.840] 右边的只是连关后备箱。
[24:59.460] 在锁车左边这个
[25:02.540] 4门。
[25:03.320] 是开锁的话，您按它只。
[25:04.900] 后备箱不锁，如果4门都是啰嗦，你看也是宽带。
[25:08.350] 特别高，购车费劲，他。
[25:10.820] 左侧的先下调合适位置。
[25:13.110] 完了。
[25:14.540] 行，在停住以后长按按键，您听有声音。
[25:21.670] 他就记在这了。
[25:23.530] 下回咱开一下，他就这个高度。
[25:25.920] 所以你就是方便。
[25:28.390] 对，因为每个人他
[25:31.610] 比如说您有的时候是有私家车库的，可能就开不了这么高。
[25:35.770] 您看他。
[25:36.910] 到这就自动停止了。
[25:39.420] 现在这就这么设置了，对。
[25:41.830] 如果说想回到最高为你要按住它两声，当然他就回到哪里了？一下世纪一两下。
[25:49.870] 土记住这就行。
[25:51.920] 听清楚了。
[25:52.710] 对，但一长长一生都记在这了，查了他两声就回去了。
[25:59.090] 这就是区别。
[26:01.130] 您350我看一眼，
[26:04.630] 这边少了东西。
[26:11.520] 行没事。
[26:13.140] 对，咱就进屋把后面手续给您办完了，不找我以为您是高配的，高配他第二排中间扶手那有一个小电子屏，
[26:22.940] 350没有，没事我看看谁知。
[26:27.560] 对，他就一三星的跟WiFi似的没东西，然后它可以方便号舰后排从整个控制这前排座椅
[26:35.350] 拍照的。
[26:37.820] 对。
[26:39.910] 今天怎么样了？
[26:42.050] 你这早上就。
[26:46.180] 您坐着稍等，我马上给您寄过。
[26:59.420] 咱们
[27:01.130] 感
[27:02.210] 把
[27:04.050] 我们马上老师
[27:07.700] 对。
[27:09.710] 怎么了？你说了再见。
[27:14.840] 一点
[27:15.890] 有一点。
[27:19.960] 不过
[27:24.890] 哪有送花？
[27:30.430] 这样
[27:31.660] 小心销售。
[27:33.120] 要不要休息？
[27:34.260] 销售松一下，我不知道您怎么谈，我就给您讲一个功能，有什么东西我都不知道。
[27:40.310] 您问问您销售有没有
[27:46.560] 满足带动充电。
[27:48.620] 充电
[27:49.660] 全体
[27:51.420] 这块
[27:54.890] 另外
[27:57.270] 也
[27:58.230] 我跟你一样的新的和老百姓
[28:02.740] 另外也要看到
[28:08.270] 我看一下你们保险，然后
[28:12.170] 你去找
[28:15.040] 他们也可能
[28:17.670] 了
[28:19.100] 好像是了一点。
[28:22.430] 你是冠军大系统，我选择穿过
[28:27.430] 高质量
[28:28.420] 保单反正就导弹那时候的
[28:31.440] 看见了，我跟你们讲了。
[28:33.720] 就搁车上，有时候去外地，您这样您留个您电话，
[28:39.000] 平时有点事要鼓励的，不是这个是激活车上那两个案件需要实名制，证明着我原来意见一致行。
[28:47.030] 我这认识的双号，没事，您给我留一个就行，行，无所谓，1300，
[28:53.950] 1301152。
[28:56.790] 您说。
[28:57.830] 661866。
[29:00.650] 00
[29:01.990] 6
[29:05.120] 664。
[29:13.090] 看您手机会发一个短信给验证码，对。
[29:25.720] 554762
[29:27.540] 类的。
[29:44.600] 宏图是军人吗？
[29:46.940] 企业。
[30:38.490] 数据。
[30:43.240] 花
[30:46.780] 数据
[30:49.060] 场。
[30:51.290] 场
[30:58.480] 数据
[31:03.170] 数据、
[31:11.600] 五
[31:42.980] 赶快激活。
[31:45.070] 那个都不用管。
[31:47.440] 我这都给用完了。
[31:49.880] 重新给您发了一个短信，刚才那个页面没跳转，
[31:58.950] 6
[32:02.160] 又一个验证码，对您说一下703703
[32:07.080] 160。
[32:08.790] 好勒。
[33:02.320] 过。
[33:06.620] 三
[33:13.680] 人家吃饱，
[33:18.040] 我听祝您几句，新车刚开始咱别太快，
[33:22.070] 车速别超120。
[33:23.720] 转速不要超3000钱，1500公里，您尽量平稳驾驶。
[33:27.970] 咱们少急加速急刹车，
[33:29.800] 出了1500公里正常用就行。
[33:32.420] 一千五六6六。
[33:34.800] 数字瓶装的油的战术三天对油的话咱们
[33:39.170] 95号就可以。
[33:57.000] 的
[34:05.620] 输身份证，您这样拍一个照片里，口罩帽子您临时摘下，
[34:14.000] 真正高一点稍微好。
[34:17.620] 不要动，我跟他说了，刚才说的
[34:22.960] 你还用身份证，
[34:27.390] 您问问梁宇是不是要给您办临牌，不是我那什么
[34:31.800] 这一是吧？银行还有一个什么弄什么的，有一个置换您就留下还不行，要不然的话没法给您过户。
[34:45.010] 复印件。
[34:45.990] 现在原件。
[34:48.420] 对您办临牌必须是原件，还有过户，身份证必须到场。
[34:58.470] 没有他们。
[35:00.230] 咱们说了不用打电话，我现在还在买。
[35:06.570] 公司
[35:13.120] 面访看看吧行吗？
[35:21.070] 您之前那车也是我们这买的吗？
[35:23.780] 行，稍后就在厅南侧。
[35:26.680] 行。
[35:29.210] 回头咱提前一天预约一下，这样的话节省您时间。
[35:35.850] 50完了。
[35:43.350] 行。
[35:46.650] 你刚才算的就是基础，您车上那两个文件，你这两个案件去对，您不能这些不他不让您做，
[35:54.870] 待会手机还会收到短信提示，咱们说2497完成实名认证是20小时。
[36:02.240] 对。
[36:18.750] 这是咱这车三包，您
[36:21.860] 知道一下，
[36:23.650] 这个车首先24 917，对加一个三五名，生产是202年的3月，
[36:30.290] 开票是今年7月22号，
[36:32.600] 这个车的质保期是三年不限里程，今天开票开始算，
[36:37.200] 质保期内三年不管您开多少公里，这些大件如果资源质量问题都管，
[36:43.330] 每个一审件都有销售工程师权力限制，除了这个条件在画了一整片，就您自费项目，
[36:50.010] 这是给我的，我待会印一下原件再给您。
[36:54.310] 每一个车在您交付给您之前，
[36:58.370] 都会有一个授权检查证书，这台车24 9 77号就住了，整车质检原件，一会我印象直接开走。
[37:06.510] 对。
[37:08.900] 来
[37:09.890] 对。
[37:11.330] 三年不限什么数？
[37:15.740] 至少他那些相对他那边的
[37:23.680] 但是
[37:29.710] 你要是给我10分
[37:32.850] 再写上给
[37:47.540] 还不行。
[37:49.070] 留下行好。
[37:50.960] 三年老师针对咱们给您月拿一次，对把公职也做了，老客户
[37:57.890] 咱们客户还有一个
[38:02.520] 咱们的耳机是耳机没在我们这儿，到
[38:06.610] 等到时候都直接给您放后备箱钥匙，如果说他答应你的画风，这个地方我们消防队
[38:12.830] 第二也没法说就答应电瓶站在那边焦点七是吗？对我没事，您到时候问销售给我们教授没事，对跟销售这边杨雨答应你的肯定会落实的，只要晚上这一块接着咱们老客户了是吧？
[38:29.650] 行先生您看给您做个简单变化吗？还是咱们那边流程？
[38:33.740] 领班1~5班，然后咱们换个就行，在咱们就办。
[38:46.080] 要满意，然后通过
[38:48.370] 平时还是一年或1万公里保养直接先到为准，您按时8点出来就行了，行，平时有什么爱好？
[38:56.080] 还有旅游吗？还有。
[39:03.800] 当事人和行业的可以。
[39:05.440] 相关
[39:08.940] 没什么，这属于哪个行业账号之间还是旅游行业是吧？客户经理对您签字。
[39:20.090] 行将还有镜子，还有第三个圈子。
[39:22.320] 这个是咱们的服务公司现在的都是基本性质，能看到服务工作确实在点钱给点钱。
[39:29.640] 咱们今天开的票是吧？
[39:36.810] 然后在这写一下日期。
[39:40.840] 7月25 22 20万。
[39:43.550] 行行，您之前嫂子咱们在微信吗？
[39:46.730] 应该有，他我原来没有，这不是，这次可能是我想路过你找一下。
[39:52.750] 就得微信扫一扫。
[39:54.670] 一会再确认一下。
[39:56.950] 好。
[39:59.250] 刚才也
[40:00.210] 那行了不用。
[40:01.780] 在这站着这等等账号年早就早，中间最中间对把
[40:11.830] 关注
[40:13.060] 赶紧关注。
[40:15.850] 行那就可以。
[40:17.300] 您可以把找找像给我们客服电话，今后你要是需要保养或者是不懂的咨询都可以打电话的，然后还是找找个人。
[40:28.680] 主要是今后也会给他打一个回访，到时候咱们沟通了，
[40:31.740] 然后点保存，
[40:33.300] 创建私下联系的。
[40:34.980] 第一个一个对右上角点击完成，他就在百度里增持，咱们都能看到，对你看我应该是你看是吧？行，到时候您续收到咱们的短信，行行把
[40:47.190] 咱们不要再搞错。
[40:48.560] 行，那就可以了，要不然我这完事了，他肯定不太清楚了。
[40:54.950] 这东西怎么不管？
[40:56.780] 现在提车比您之前的提车手续要多了一些。
[41:01.390] 其实没那么不过怎么讲，相对来说其实对于我们来说是一个保护，包括对于我们来说会有一个约束。
[41:10.640] 后期您的车辆出现什么问题，或者说是需要什么服务都能找到对应的人，
[41:16.690] 这会比较省事一点。
[41:19.240] 最开始麻烦一些，
[41:21.240] 后面就省心一些。
[41:23.030] 你这年龄年人员流动，反正这两年确实是相对来说有一点。
[41:29.470] 那不是我买那科长那头麦，我们那颗就走，但有时候着
[41:34.030] 这会现在不会了，现在我们会建立一个企业的微信群，到时候我们会有一个售后的服务顾问来管理这台车，谁知我刚他来说还好一些，我一会都会跟您说，
[41:49.520] 包括后期保养保修，您车上的这些所有的问题我都会给您讲到。
[41:55.520] 然后梁宇这边同时会建立一个企业的微信群，到时候要是先生开的话，会给您把您拉进去，
[42:02.600] 车辆有什么问题的时候，直接在群里边艾特我们售后就行了。
[42:07.780] 会比较简单。
[42:18.160] 我一会还要跟您讲咱们车辆后期的一个保修的事宜，
[42:22.200] 不要跟您说。
[42:26.230] 这两个东西，一个三高原件，一会搁车里也行，你搁车里。
[42:32.870] 然后剩下就是您得给我签几个字。
[42:37.250] 对，这是三包的复印件，这个是复印件，这您签名。
[42:42.460] 待到取走就行了。
[42:44.110] 要完善。
[42:45.730] 行。
[42:47.770] 你不进来了。
[42:49.900] 开始。
[42:51.430] 时间不用写，这样都带着时间。
[42:54.910] 这三个打印上有时间，然后这儿销售日期有时间。
[42:59.830] 这个是车辆的交接单。
