[00:00.160] 7月5号几天儿突然觉得。
[13:20.640] 他们画时要爆了，
[13:24.290] 包是什么意思？
[13:27.310] 我也不多。
[13:29.570] 高配的本身就是这种柏林的影响。
[13:37.800] 柏林的战友标识，
[13:39.610] 喇叭上B开头的，
[13:42.070] 不是一向不是都
[13:47.640] 当时丹麦其他
[13:49.980] 比较高端的，但拿到了还是咱拿都排不上名在这音响里头。
[13:56.440] 第一都是国林面试行吗？咱们的三人后
[14:01.590] 我这不就干嘛了吗？
[14:05.250] 干吗？我知道干啥了，您是哪个？
[14:09.380] 听到你说的。
[14:10.440] 你那是什么车？
[14:11.880] 你这Q7是吧？你那是后期。
[14:15.680] 中期正常厂家配是boss的，不是有机会。
[14:19.340] 您就是自个改的，改一下怎么改是咱拿。
[14:24.720] 他拿一番他属于这种大品牌。
[14:27.820] 你这块是怎么去走现车吗？看你要10年做了，
[14:34.100] 咱俩换首。
[14:36.560] 你来看。
[14:38.090] 明白有几个？
[14:47.270] 就打。
[14:48.670] 他调的这是。
[14:51.070] 这是可以调的，你
[14:54.360] 不过他们战争就这样他才能调整。
[14:58.310] 他后边那俩做基本上都是快乐，
[15:01.630] 或者现在这个情况，
[15:03.890] 他那边
[15:04.710] 感觉还要和死了，对，你可以把就往前提的后排放松的。
[15:12.500] 这个权放出来过来。
[15:14.440] 乃刚企业后面都合作。
[15:17.620] 你说付两盘是吧？
[15:19.510] 比较大。
[15:20.630] 发现了
[15:22.020] 咱给多了，
[15:25.370] 这几个字全都放了。
[15:27.600] 应该的，他没感觉说已经封顶用没法，他就西他第二大的吹，
[15:33.640] 我第二的吹了，
[15:35.930] 谁干得没感觉
[15:37.730] 又疯，他这行为更不是那种特别大那种像这种的。
[15:42.220] 它就一个孔
[15:43.440] 的那种的。
[15:46.700] 那个地区的话
[15:48.040] 的话就是管
[16:00.350] 我那个什么？
[16:01.890] 跟帖好了没有？
[16:06.480] 那不是行，其他的系统吗？差不多。
[16:16.320] 这块过来。
[16:17.380] 哪边走前面我就能调动，但是
[16:22.070] 我没错，我这真的亲爱的等
[16:25.840] 二页当时8月
[16:28.640] 在办公里都有，
[16:30.560] 油耗要正常快的
[16:33.780] 到5位数
[16:35.510] 和
[16:36.400] 对待他的基础上面要
[16:38.350] 这都是了，我那水口没有了，干嘛这块多少7点多没有。
[16:44.230] 多少我太复杂了，十二三个我感觉差不多。
[16:49.210] 老地方都在那里。
[16:52.760] 对。
[16:55.270] 包括黄彰了，
[16:56.960] 是吧？麓湖刷的1898，
[16:59.410] 这是干嘛？
[17:01.990] 这个就是一个复仇，特别其实255,000
[17:06.180] 公布了一个前赴后继，
[17:08.630] 对道路交通
[17:14.020] 进出它就会
[17:16.080] 当时还是做
[17:17.560] 不要消耗。
[17:19.170] 有他这座实话的，隔多长时间能？
[17:23.250] 两周左右。
[17:28.290] 是吧？
[17:29.430] 他俩聊的话他也接不了几天来。
[17:31.660] 对，接不了了。
[17:34.830] 人家在看晚上
[17:36.510] 豪华的带着
[17:38.370] 工作什么？
[17:39.260] 不是很固定的。
[17:40.830] 还有电动车。
[17:43.220] 如果说换成电工了吗？
[17:46.370] 没必要。
[17:47.760] 你电动了停下把
[17:50.360] 越野通过了，
[17:51.850] 电动车给收回去。
[17:54.130] 这什么底下点是吧？不就影响你去查去连接了，直接输液了。
[17:59.330] 看不了咱这上不了这首。
[18:04.120] 这不错吧？
[18:07.080] 是不是想换的话得换，完了之后你
[18:09.540] 我才能上班。
[18:11.210] 上说挂完就验不了车了，
[18:13.500] 原车怎么样？救援车没有怎么去上班去了，那是吧？车
[18:21.610] 我先上去跟我说，你俩来这些和
[18:24.140] 了再换麻烦。
[18:26.100] 都说有的的感觉吗？
[18:30.500] 这只是说是漠视他用摩了在这切换
[18:35.370] 开始管用是吧？优化条件的
[18:37.980] 效应，
[18:42.470] 在这个模式随便
[18:44.760] 现在到比赛
[18:46.450] 就算了，谁知
[19:11.440] 运动模式就是S
[19:13.410] 奥迪的
[19:17.190] 说这个地方发展了，
[19:21.390] 上班的车上吗？
[19:23.120] 这边有充分的是吧？
[19:25.460] 对吧？
[19:28.200] 多少正在回去的，原来他们家里。
[19:31.320] 对的吗？
[19:32.380] 不知道我知道他没搞到底。
[19:36.400] 我在上班晚上我还要半谈
[19:39.970] 大型的凉凉的。
[19:42.280] 咱家你这个往下压就
[19:48.210] 包括你看现在时间你下去的时候，到时候他们的
[19:54.590] 到底
[19:56.350] 后面还有
[19:58.670] 还有
[19:59.560] 哪个通过没有？
[20:02.690] 那边还是怎么样？
[20:04.730] 他要选配的
[20:06.810] 人做不大，
[20:20.120] 后边基本上两块对吧？
[20:23.150] 我为什么要投个企业？
[20:25.590] 水也能做的就是稍微
[20:28.230] 就这个事儿不算举措。
[20:30.680] 所以从的关注
[20:33.100] 那个才能拿。
[20:34.590] 还有
[20:37.970] 这个不敢两的补充吗？我爸没干，这是可量走了吗？我咋没干远远的。
[20:47.200] 你那个家
[20:48.850] 是该的。
[20:50.470] 我看我就说大学你干嘛啥感觉老大了，我没有我也创意了。
[20:56.830] 准备你好是吧？
[21:00.600] 是吗？我过去都什么不老房子，我
[21:09.270] 找到了哪个部门那些
[21:10.970] 说还得往上走。
[21:12.180] 左边那边走。
[21:13.830] 谁知
[21:18.970] 能
[21:22.630] 要是
[21:23.680] 到
[21:24.630] 那个号码。
[21:27.040] 刚才
[21:27.860] 不知道了，
[21:28.790] 我看到当然不是叔叔这儿舒服，
[21:32.510] 核算
[21:42.170] 这被做空的被做可以至少
[21:44.680] 还是得。
[21:53.560] 还有发现它加热了吗？
[21:55.090] 是吧？咱就说出来4
[21:59.300] 我也
[22:02.170] 我在
[22:08.290] 可以
[22:10.710] 试驾这款车你
[22:15.790] 可以。
[22:17.250] 行行给我打电话。
[22:20.820] 好了，来。
[22:24.080] 这等有啥现代功能？
[22:28.020] 我刚才说的比较智能的人机交互，
[22:32.320] 也好，奔驰这种，然后
[22:34.300] 然后像
[22:36.470] 64克环境和移动晚上的效果特别好看，然后这屏幕现在
[22:41.900] 触屏，这个都是新的一些科技手写板，
[22:45.550] 安全配置，比如驾驶辅助
[22:49.910] 费比较高的这种
[22:52.310] 基本没什么意思。
[22:54.510] 要不是高配的抬头显示那种吗？
[22:59.510] 抬头显示也是选择。
[23:02.830] 这高配不但是吗？
[23:05.130] 生态选配的还是家庭对额外交钱。
[23:22.470] 这车
[23:24.640] 优惠啥的能用和油水吗？
[23:27.930] 这车没有坏。
[23:29.180] 4车汽车的价钱
[23:32.320] 有希望的家庭。
[23:34.200] 现车加起来吗？
[23:35.820] 不是，下面给大家
[23:41.450] 但是我问了几个店，那时候
[23:43.630] 下车撕下去上车了。
[23:47.650] 你放在哪？
[23:49.590] 黄山的要加油门的。
[23:52.150] 长沙南昌玩的唐山跑车，
[23:56.070] 房山那遥远还有个
[23:58.330] 难道玩哪一块还有面，咱下午还有一个大道，
[24:03.460] 还有车多了一个面是不是？
[24:05.600] 就是说不能够就是说在北京来说，
[24:08.780] 你就实打实的，你合适我就这两天就行。
[24:12.860] 反正是肯定得这样，就跟加多加少了。
[24:17.460] 看一下。
[24:28.600] 看往前面看。
[24:35.670] 交2万。
[24:38.790] 产假
[24:39.690] 千万。
[24:41.050] 然后标配的可以。
[24:44.130] 咱们保费得加
[24:46.420] 3万块钱的装置，
[24:48.910] 装饰3万块钱的多少贴膜、脚垫互相惦记。
[24:53.070] 花鞋。
[24:55.160] 你们客户有没想吗？
[24:57.320] 有一家店没有，就是说没法使用。
[25:05.680] 消费，
[25:07.230] 可以说下那个装置等
[25:12.630] 凯美瑞悬挂软，
[25:15.760] 这有空气悬浮也有，这是标配的，
[25:19.310] 这是标配。
[25:20.640] 这不正常的舒适模式他就行了就没了。
[25:25.720] 行不行？
[25:32.570] 这加了太多显示多少？
[25:35.330] 忘了，我记得是12,000多。
[25:39.220] 战友转换
[25:41.990] 走30都拉走了，
[25:45.230] 就跟保时捷一样就卖你一个楼，
[25:48.800] 要查审配你自己。
[25:51.560] 其实还有点保时捷是乘车选择，
[25:55.680] 咱们有点这需要选择。
[25:59.040] 宝洁那车你不选，这车没法买。
[26:02.000] 太急了，所以
[26:03.320] 车身颜色都是原则都得加钱，反正确实他是属于那种壳。
[26:12.680] 加个表5000。
[26:14.560] 人家都说这个事，
[26:16.420] 本质的园长
[26:19.130] 原产预算没有，您买都不会送去双人伞吗特？
[26:22.890] 北大。
[26:24.090] 它是号称园长，不是远场不是延长，那不是原来。
[26:27.680] 其实现在已经不出于怎么了。
[26:31.120] 这是本店的，对，他是一个48伏一个电机辅助，这个电机是给发动机做动力补充的，
[26:40.520] 也有直接是吧？这也有这个是驱动型的48伏，然后
[26:45.270] 后边说
[26:46.870] 谁知
[26:48.170] 三智能化了，
[26:52.240] 到
[26:53.690] 我
[26:56.160] 当我举着看的话，开始在联赛腾讯
[26:59.120] 他在一起的马上给他们打一车，完了
[27:06.570] 感觉还没做
[27:09.440] 一颗清楚
[27:10.440] 没用座城市。
[27:11.960] 但是天主跟他说这个应该是
[27:14.980] 口气要软的就行了，只做一个跟踪误差是
[27:18.860] 作业的卫星，
[27:20.720] 摸摸它两边是不是硬塑料的膜磨两边，
[27:26.330] 这门是不是真的？
[27:28.330] 门子也是放屁，这块都是胖子，下面为自己倒车吗？
[27:32.890] 坏就跟躲车的这一块。
[27:36.770] 你不能到这里怎么走，用来我这没开关。
[27:40.420] 念完了，然后干嘛来着，然后他搜索车费，然后他来行，不是得点一下确定吗？对。
[27:46.610] 最后他收，然后车位是啥，你确认一下，都热之后确认。
[27:50.980] 对，我这回我没有明白过这个都是装的什么。
[27:56.160] 他听车子。
[27:57.500] 知道你
[27:58.670] 让他有一个仓库和说过的
[28:01.760] 是多少？
[28:03.880] 你点一下确定。
[28:05.800] 然后别动垂钓，吵架的时候我爸爸这就是三的，
[28:12.610] 我别说好不能放，
[28:14.940] 你感觉没有我的号行，公开的着杀手带着就行，
[28:21.750] 还没踩刹车，稍微打掉差不多就行。
[28:27.230] 沙参就稍微点一点，他会踩刹车的，怎么能听对我自己
[28:34.110] 怕他装上，也就是你的菜也行。
[28:36.510] 他也是把人才的
[28:45.460] 他就装你让
[28:47.070] 谁知
[28:49.570] 看不到今天上面，
[28:53.110] 我身边没瞅着。
[28:55.760] 会害怕。
[28:56.900] 没事不用去担心，
[29:00.670] 他是能停的。
[29:02.470] 昨天他在家里在家的话他就不怕了。
[29:09.960] 我没有是因为我着急作为
[29:13.230] 我不要折腾着走，咱谈谈这样走。
[29:18.380] 没真要了。
[29:21.310] 像
[29:22.360] 一会又干了，我觉得这个桌子比那个口的好像有一点，这在哪伸腿没看见，他说
[29:31.210] 自己在里边了，我觉得我这边尝试
[29:37.150] 他玩也的这场晚上
[29:41.920] 没有。
[30:25.000] 我先进去了，我把钥匙还一下。
[30:27.460] 想要的放一下就一下，行。
[30:45.520] 了
[30:47.530] 感觉。
[30:54.540] 对
[31:08.930] 对。
[31:10.880] 我要不我怎么干嘛了呢？
[31:14.290] 小马怎么接了我都不能。
[31:19.050] 我有一个客户
[31:21.370] 好了你就放前台，我马上我就走。
[31:26.730] 拿了不少，但能打个单子。
[31:29.250] 你们规划还有古剑不是问题。
[31:33.320] 叫你怎么了，这儿怎么报？
[31:36.470] 抱都不行。
[31:37.750] 就公司价格报，要不然你等着你参加卖干嘛在哪里。
[31:45.720] 行行好吧？
[31:48.850] 对了，就在
[31:58.270] 不要打电话了。
[32:00.580] 然后看我们比如桌子多少，
[32:48.630] 最近怎么评估评估没有，去过之后没有。
[32:52.080] 有。
[32:54.000] 昨天有一个
[32:55.850] 没找着女人。
[32:57.400] 现在她病了，对完新课了都。
[33:03.270] 你这服务不到位，你们。
[33:05.240] 黑
[33:08.090] 看着办。
[33:09.240] 有点困了。
[33:12.020] 反正不错这就是。
[33:14.850] 少了。
[33:17.470] 不错这几个人
[33:19.510] 是吧？
[33:20.520] 缺你这么一个讨厌呢。
[33:24.360] 张就不得了，人人的
[34:10.810] 要哪个配置？
[34:12.910] 的OK了。
[34:16.470] 不懂。
[34:17.730] 谁知
[34:20.750] 30万
[34:22.320] 不要了又
[34:24.790] 的。
[34:29.110] 你做。
[34:30.560] 我再讲讲行。
[34:36.330] 就这。
[34:37.320] 他们算是给
[34:40.200] 马上
[34:41.290] 三天活动，
[34:50.940] 的。
[34:53.430] 我刚才给您您这边小孩差点。
[34:57.920] 我这边来这边。
[35:07.200] 就让他给业主方您喝什么？
[35:11.120] 查。
[35:12.380] 您要喝茶时还是什么，还是二号就查着就行，等会我看看。
[35:20.950] 没我就打电话，你这大哥上午标明到时候可能
[35:26.440] 东西的怎么样，谢谢，巨大都是优秀的关键，他不卖没事了，三杯盘是吧？
[35:33.290] 不是我喝茶我没看。
[35:38.930] 问一下上上只有第二，没有。
[35:44.280] 还有电吗？
[35:45.400] 两杯茶。
[35:48.070] 了。
[35:49.290] 生产叫什么傻要哪个配置，
[35:52.400] 颜色要什么色的？
[35:54.720] 可以的。
[35:56.660] 为什么你那天算的，事实上我看一下我那天
[36:02.950] 发的，还有你看没错，
[36:07.310] 还有一个
[36:11.350] 石墨灰的深灰色，
[36:17.730] 的。
[36:22.380] 对，不是我给你算那是交易的时尚，叫S的豪华在后边
[36:30.530] 号
[36:31.690] 的。
[36:48.230] 的
[36:53.830] 远
[36:56.340] 数据
[36:59.160] 话。
[37:02.710] 您电话多少？
[37:04.150] 要求。
[37:05.990] 17483. 
[37:09.500] 135121421489288。
[37:15.880] 怎么称呼？
[37:17.090] 首先
[37:22.480] 咱们是全款还是分期？
[37:26.040] 七八分期首付考虑几层？30%，
[37:30.340] 把这钱不用搁在银行，你空间还剩这么差价。
[37:47.360] 您看你要是
[37:48.820] plc总负53%年
[37:54.720] 换算成银行利息是一点八几，有时候您带大概19万当小20万置换是吧？你
[38:02.830] 多少年才1万？
[38:04.740] 这块买房有12万4万块。
[38:08.580] 多块钱，
[38:13.290] 直接
[38:19.480] 谁知。
[38:22.820] 置换补一6000的保险补贴6000，保险。
[38:26.750] 这不是找人估一下出来。
[38:30.120] 行。
[38:31.350] 能。
[38:32.810] 在我
[38:37.350] 我也不会跟他们聊聊我就可以，我们肯定要买。
[38:42.160] 你突然带着漂亮，
[38:44.550] 哪个晓得不能今天把它扔了，我知道。
[38:50.550] 你说我没看过那块加入的东西，
[38:53.480] 超过了。
[38:54.370] 这有吧？
[38:55.360] 我会在，
[38:56.850] 但是别的台都没看，你就用电视的，这座就想拿着。
[39:04.920] 我明天接待您是吧？今天您有电话没有留电话，我。
[39:12.180] 来故意说
[39:15.460] 你过来好好。
[39:19.760] 现在他那个车卖了多少？
[39:22.160] 他那不是外地牌。
[39:24.400] 外地牌尽量别在北京卖不上价。
[39:29.110] 卖当地价格合适。
[39:34.130] 咱评估科龙行。
[39:37.160] 然后北京牌卖北京合适，外地哪的牌去当地卖，不是。
[39:41.680] 应该是什么，谁知
[39:43.640] 他这是奔驰北京牌，就上午给你提过一个河北吹
[39:49.750] 6260。
[39:52.770] 您车在什么位置听咱们这帮你那在搞绿化吗？就是看看你们的客户有点。
[39:58.750] 是的都没用，你那个车要不行你给我。
[40:02.180] 不是没有不用的话。
[40:04.290] 其他没问题，有气他要跟
[40:09.090] 我直接去了。
[40:10.240] 给我。
[40:11.240] 你们俩在这儿。
[40:15.600] 反正我把
[40:17.220] 抽检二分走。
[40:18.400] 好OK。
[40:27.000] 了。
[40:30.270] 他们置换到他们店里边吃饭便宜。
[40:34.310] 看给您啥价，到时候看看。
[40:37.880] 明天
[40:45.070] 能给的优惠赶紧得了。
[40:47.190] 放心，您买过说了，咱就直接我把我的底价给您就行。
[40:53.360] 了，你下次路到底是什么节目？
[40:56.630] 数据
[41:05.510] 坏，
[41:08.680] 场
[41:18.030] 颜色
[41:19.640] 颜色。
[41:23.310] 2万块钱是1,288,000，
[41:30.050] 费交付价11万113,000，
[41:34.010] 装饰16,800，谁知
[41:38.600] 2500保险预估是25,000左右算，最后按
[41:44.720] 您选择权
[41:46.420] 拿下来1,446,000，谁知100
[41:51.700] 44,000。
[41:55.920] 首付按建设银行来给您算过账比较不是太热了，对，奔驰金融最多只能贷三年。
[42:03.060] 对，而且还银行吗？
[42:05.060] 工商银行没有建行的利率低，建行利率是0点月70.0315的吗？没有，就从没免气的。
[42:12.960] 这种都没有增值，奔驰有低吸的车，比如B集合A级车这种低利率的，但没有免的。
[42:21.430] 然后就是这种方案最合适在哪儿？他月息结算，比如您贷644,000，月息0.3331就是1999，就是她乐嘻嘻，
[42:32.810] 加上你的还款本金除以60个月就5年
[42:36.680] 一万零点，您总共实际还款12,700一个月，对分支金融对5年5年，
[42:44.010] 最长5年，建行能做5年少，最长5年。
[42:47.810] 最少可以贷一年两年三年都可以。
[42:52.510] 奔驰金融公司固定的是一年到三年不能调，
[42:57.690] 年到三年。
[42:59.100] 对，奔驰金融的给你算一下。
[43:02.040] 现在占。
[43:04.190] 对三年的。
[43:06.760] 您带年薪越少，利息你在5年多24个月的2000块钱都有4万。
[43:12.610] 中国黄金期都花48,000，对7万对。
[43:16.230] 64万。
[43:17.570] 在三年
[43:19.590] 036年。
[43:21.390] 不是一还17,000 17,000再加利息1万，
[43:25.350] 也是2000块钱利息。
[43:27.300] 还
[43:29.310] 还款2万。
[43:30.830] 就是三年好像一个月还2万一年的。
[43:35.090] 一年就一年64万÷12÷12个乐队还53,000。
[43:40.830] 53,000的加利息。
[43:42.940] 23万。
[43:44.350] 二
[43:45.440] 买这种大车贷年限长点。
[43:49.280] 昨天这年限长了不合适，
[43:51.920] 一个月2000块钱利息，你这是买的鸭蛋，他这个的话情况就是建行有you是什么提前还款。
[43:59.310] 后边利息不用还，也没有违约金是建行的优势。
[44:04.380] 你不是今年2000一个月前一月月息就是关于
[44:09.760] 2000块钱对粤西折算他的储备对一年也2万多了。
[44:15.570] 一年2万多了，对了，今年的话。
[44:18.780] 我们看奔驰金融的看到温州金融的地位味道，年7月份一年就是2000，然后一个月24,000一年是20,042万。
[44:32.290] 年光利息交了白的，要是免息的话你就成了。
[44:36.600] 真的。
[44:40.070] 可能就来了。
[44:47.420] 这个要不就提前走掉。
[44:50.610] 您了解到最低现在是给您优惠的多少钱？
[44:55.290] 什么程度没关系的话，不是我申请一下都是
[45:04.410] 根据金融该自己的也没联系，没有
[45:09.990] 其他款都有，其他款也没有免息的。
[45:13.550] 奔驰没有免息的产品根本。
[45:16.110] 其他银行也没有。
[45:18.700] 因为目前利率最低的是建行。
[45:22.230] 等于奔驰全系就没免息的，对。
[45:26.680] 28号签收的，我们到了免费了，
[45:32.400] 奔驰确实没有
[45:33.940] 等职权。
[45:35.740] 交1万迪应该有
[45:38.430] 的。
[45:39.830] 谁知你看你要坐奔驰金融，
[45:45.390] 还没见过，不是他年化3.94了，
[45:48.960] 这年花3.6。
[45:50.870] 肯定还是建行国粹的。
[45:56.750] 就着等着，没有啥任何优惠都没有了，对说实话哥这车真没优惠，现在就到这儿了。
[46:04.440] 没得再谈了是吧？你刚才说的选配都是完了，你说原厂选配的
[46:11.870] 抬头显示后排座椅通风都有，在官网上会有一个小梅兰芳，
[46:17.170] 但是选配周期比较长，都得半年左右才能到坡
[46:20.810] 了，而且现在这酒店半年左右不一定能到，因为这时候产地是美国。
[46:26.000] 现在你这个车是几月出厂？
[46:28.400] 我看一下这台现车。
[46:32.130] 6月份生产的。
[46:33.700] 不是202 2020年2月。
[46:37.640] 月1月2月66月6月份我们付款开的票，那就没有太多总结，没有这车不带选配的。
[46:49.040] 有人想要抬头显示。
[46:51.060] 选择台的演示，后来加装不行了。
[46:54.430] 家装就是厂家定制，
[46:56.110] 就得半年加上就行，资本家装比如说现在我就提了。
[47:02.910] 有时候我老板现在就提了这台现车，态度简直后来加装了不行，就必需要求
[47:08.870] 他出场跟你说了，
[47:10.690] 他汽车之家帐配置不但缆车弊吗？不干原车就不大了，我只能说给您稍微快点。
[47:19.030] 按照
[47:20.000] 飞机差不多了，对颜色参加不参加没车。
[47:26.650] 应该。
[47:27.740] 后排的座椅通风这个能
[47:30.930] 那也都是出厂选装，出让前
[47:34.130] 后期再涨的话说什么都后期再整，你只能外边弄的。
[47:39.280] 攒点不。
[47:41.660] 不行，但是那个是大车都有什么太大。
[47:44.890] 师大的了。
[47:46.750] 那一款包对亚车就一台就是一样是吧？
[47:50.890] 这车有一个是这样子在不这就是厂家就给我们配一辆在。
[47:57.150] 两
[47:58.600] 你也到店做授权检查，在网上这行动灰荧光指挥白的。
[48:04.110] 要省太多钱都对半年了。
[48:08.780] 你说为啥这么高这么收费，为啥没有月11号他。
[48:15.210] 厂家的选配里头都是花钱去额外去装的，增加的。
[48:20.400] 多了还没到家。
[48:21.730] 不是原车带的。
[48:24.160] 奔驰提供个性化服务选配的就是一个抬头显示一个通话挺多的选派东西，在厂家官网里头有比较多的。
[48:33.050] 我给您打开您可以看一下。
[48:37.550] 听到
[48:38.580] 考察。
[48:44.830] 那就等于设计啥没有优惠不是。
[48:51.400] 还有优惠已经加了几万加了。
[48:54.400] 万3万贵2万块钱。
[48:55.890] 加2万加了一个16,800装饰。
[48:58.260] 对给你加了36,800了，你还找就没有优惠了万多了
[49:03.920] 了。
[49:06.250] 这不是第一吃完了指导价是1,268,800。
[49:10.720] 原车指导价是。
[49:15.640] 就是钱。
[49:18.530] 当然
[49:21.610] 万。
[49:23.130] 这孩子往前凉着，
[49:25.350] 你整个时代的这种说怎么来讲，这种没有优惠的车，它上下浮动很小，
[49:34.300] 可以去跟您谈，能不能少加点，只能去您问。
[49:38.940] 刚刚抬头显示单选配饰14,00014,000块钱，
[49:45.580] 但是还得等半年。
[49:50.950] 我半年对这车都不敢休息了。
[49:53.370] 半年关键也不知道这车什么价格什么行情，这都是待定的，一般我们也很少接这种个性化定制的订单，
[50:00.650] 因为牵扯时间太长，你要是1~2个月还好多了。
[50:03.620] 下半年。
[50:05.740] 关键进口是多长？对国产的快一些进口。
[50:16.440] 还能往下聊城。
[50:17.490] 给您看看能不能少加点，只能这样了，再加上小孩装修就开始你们装饰。
[50:26.100] 是什么完了吗？贴膜、脚垫、后备箱垫、行车距离，你要说想再贴个车衣，
[50:33.010] 就不是这架车机就一套就2万多。
[50:36.670] 我没有车衣。
[50:38.130] 一般买这种过百的车都愿意做一车一。
[50:41.650] 你说这一块必要。
[50:43.940] 哪一块就是装饰这一块呢？
[50:46.440] 估计够呛，只要问老板被捆绑的时候把
[50:51.410] 可以不做，但是他这个肯定就是价格不好，肯定往下谈了，这个发票的价格对。
[50:59.170] 开票开多少也是按实际征收来，家多少开多少。
[51:03.980] 都已经开到发票的。
[51:18.510] 2500他就出库上牌的时候就是艳照门，咱北京玩一条龙，
[51:30.200] 招式，近期就想用车。
[51:33.950] 合适的话一周之内就搞定。
[51:37.240] 是吧？对，反正我这新车倒是有一台现车是我就是说你把。
[51:44.030] 我觉得
[51:45.460] 你想要啥假我可以给您问问，这都没问题，咱都可以说就跟领导问问，看领导怎么说的。
[51:51.450] 因为这东西不多。
[51:53.000] 装饰就不要了。
[51:54.380] 家家装怎么做？
[51:55.860] 肯定不行哥。
[51:57.460] 你可以试试，这都不用问，申请这你看
[52:01.500] 你申请优惠的，
