[00:00.000] 是
[18:31.240] 但那个是13,800，如果你选择做的话，我们提供1万的保险，
[18:35.670] 就是说选择防水包有1万多，
[18:39.160] 就13,800，我们送1万保险。
[18:42.040] 三。
[18:43.550] 1毛7。
[18:48.290] 这1万块。
[18:49.530] 万里还是保持30左右三是吧？选中你自己定。
[18:56.880] 然后夜车上牌2500，
[19:00.650] 保险的话给预估一下，它基本在1万块钱左右。
[19:04.050] 15,000 1万，那一险1万，预估的话1万。
[19:07.900] 如果你置换的话，
[19:11.520] 厂家在提供4000保险等你加一块，如果你做装饰的话，14,000的保险
[19:15.990] 如果你用不了的话，可以变成别的，
[19:18.640] 可以变成选配，变不了。
[19:21.580] 选配市场加选装的。
[19:23.670] 这是随着你车架来的时候就有了。
[19:25.920] 大概多少？
[19:26.570] 6700 6700。
[19:28.840] 780。
[19:32.410] 然后全架基本上32万零点。
[19:36.380] 我下边的金融方式你可以看一下，首付17万多，待了11万多，
[19:41.380] 月还款应该3000多块钱，
[19:43.290] 待三年，
[19:44.540] 三年的利息总额5000多块钱。
[19:48.340] 对20万零点应该是全部落地。
[20:05.470] 保险也算了。
[20:06.920] 大概
[20:07.840] 都包括在内
[20:19.370] 的地方没有。
[20:21.480] 抵押垫高一点的。
[20:24.710] 之前我问了另一家店高，
[20:29.740] 他那边现金优惠多少钱？
[20:33.010] 那倒忘了，但是
[20:35.260] 好像也是6万
[20:38.280] 多一点，因为大概说落地的是315,000，差不太多了。
[20:43.690] 因为你这里边你还没随你减去你做装饰那钱，
[20:47.220] 基本你加上装饰之后差不多这么多钱。
[20:50.430] 美国威固的贴膜、大包围脚垫、后备箱垫记录仪
[20:55.970] 都是包括在内。
[20:58.000] 贴膜、脚垫有那一套才花了3800块钱。
[21:03.000] 打包你不用了。
[21:06.080] 不让你做还送你1万保险吗？
[21:08.430] 是吧？医疗保险你家里面置换14,000，你不是用不了那么多吗？
[21:12.950] 我会给你变成现金折让，
[21:15.410] 你下去了不就变成31万多了吗？咱能拿走。
[21:19.800] 因为你算你的
[21:23.050] 你看你要哪款，
[21:25.760] 就算你底下CS0L
[21:28.270] 这个4号干嘛，他一样的，我跟他一样，他的方式跟我不太一样，那什么方式
[21:34.770] 全部
[21:35.990] 为什么这么写吗？是不是带分期的吗？分期爬上去上面别着急了。
[21:41.630] 不是你上面给写了存款吗？
[21:43.560] 直接交这个上面不是全款吗？下边分析了，另外下班你折上这不就是确保存款吗？
[21:49.090] 有32万零对680，然后我就是再加上利息。
[22:02.000] 上一部分是全款了，下边是分期的，你看上面那不都完了，
[22:06.640] 不再出现。
[22:09.800] 你别你拿走
[22:11.470] 就分了。
[22:13.380] 基本上我就记住，
[22:15.050] 我过21共
[22:17.450] 3400，可能3年4
[22:20.250] 的以后
[22:21.870] 但是
[22:25.660] 他在里面
[22:27.870] 的。
[22:30.710] 你的这么多了，
[22:33.910] 是吧？刚刚在看你有没有置换，
[22:37.220] 长治市话你没吃饭，你还得把这4个包先加进去，
[22:40.930] 他减去4000保险了。
[22:43.430] 对8324类46800。
[22:48.090] 留言。
[22:49.670] 但是我没做饭的时候也得结算，但是地方
[22:58.060] 然后如果你要再加上比如如果你要做装饰的话，
[23:04.300] 差不多这么多钱在做装饰的话，我们送1万保险，我在那个基础上加3800。
[23:10.320] 13,800吗？送1万保险，
[23:12.610] 新车不可能不上保险了。
[23:14.630] 老三了，
[23:16.160] 他的。
[23:17.140] 他大宝多少？
[23:18.980] 多少？
[23:19.960] 不就多长时间。
[23:21.760] 都是2万公里2万公里，对美整数保养一次，单数要小宝，双数的大宝，好。
[23:28.140] 明白。
[23:29.200] 价格这还有什么疑问吗？都写明白了吗？
[23:31.660] 写明白。
[23:32.830] 然后下边还有商量，
[23:34.930] 我们到时候看看要订的时候在到时申请。
[23:38.660] 但是基本上如果要是
[23:42.040] 裸车的话基本就这样。
[23:44.250] 一点点。
[23:48.820] 然后下边到时候有个二维码，麻烦您回去之后扫描一下。
[23:52.420] 对，主要针对服务工业这块，看看纯净和强制你必须干嘛。
[23:58.110] 开车来了。
[24:38.760] 开车了。
[24:41.320] 了，你知道。
[25:02.920] 老师
[25:04.320] 重点你看到了
[25:06.880] 地方
[25:08.130] 在南京。
[25:09.170] 你在这儿。
[25:09.940] 了解了。
[25:56.080] 明天还得给您做好。
[25:58.720] 看看上午方面下午方面的都行，说什么沟通了。
[26:03.240] 那边
[26:04.520] 走了。
[26:05.400] 没事好了。
[26:52.560] 里边还有问题。
[26:53.970] 做到在
[26:59.270] 这边
[27:00.160] 显得
[27:05.250] 稍等。
[27:07.910] 你要不过来，今天老师要不然你们今天系统要好的话，
[27:13.180] 咱们这个客户名下有两个点你知道吗？
[27:16.420] 就出现这种现象吗？
[27:26.920] 号以后
[27:28.520] 完全
[27:29.960] 那只是短期
[27:31.880] 这样
[27:33.170] 到位。
[27:36.790] 上
[27:38.270] 收费。
[27:49.570] 帮
[27:50.530] 这样
[27:51.900] 我也没法进行。
[27:53.400] 咱们就去了时候，
[27:54.900] 你说正常来说叫了一个幻想。
