[00:00.000] 开始结束。
[05:11.010] 因为每个客户都会上保险，咱们修车不用您亲自花钱或者走客户的保险维修，
[05:16.690] 然后
[05:17.870] 我们这服务的价格是1498块钱，
[05:21.120] 假如说您对外观休完一次之后，我们是一次性赔付给你2500元现金，比如说这个服务根本就没花钱，你还落了1000块钱，
[05:29.150] 而且我们这服务是一年有效期，如果你再出现问题，
[05:33.360] 我们还是赔付2000块，因为他每年都有70，每每每年是赔付两次。
[05:39.450] 他有一年是按照今天说的
[05:42.420] 自然
[05:44.910] 维生素过去的话就没有的
[05:51.170] 的时候才可能对比如说你门上那个坑它就可以维修就可回去了，可以没有。
[05:58.520] 他们因为每个客户都会有保险的，你这东西，所以说你这个东西是这样，只不过你愿不愿意我点钱，我估计能修修这那个坑的，对不对？
[06:08.410] 我再给您您现在有一个误区，首先
[06:12.400] 为什么说我说您可以维修，因为你有保险，每年不都得交保险吗？
[06:18.460] 交保险的话，它最起码第一个险种就是车损险你肯定得有，
[06:23.950] 你那就可以走车损险维修，
[06:26.080] 明白我的意思吗？
[06:28.270] 你有保单吗？我帮你看一眼。
[06:31.360] 对。
[06:33.140] 我给你看一下，您让您了解更了解一下。
[06:38.560] 要不您可能上万包有些都不知道，是全部是这样。
[06:41.340] 行，稍等一下，我先帮你充一点买上。
[06:44.590] 咱们大概在12点左右取车两小时。
[07:18.840] 客户
[07:22.680] 旁边还有个人是吧？
[07:24.330] 旁边
[07:26.680] 没有账单。
[07:38.280] 我再到您这儿签下字，咱这个日说着。
[07:42.930] 谁知
[07:45.830] 车顺子
[07:55.450] 先生给您拿份取证单，咱们
[07:57.820] 您留一份我留一会儿。
[08:00.140] 其实咱主要是看这里面项目。
[08:03.900] 就给您做了一个小计项目是吧？
[08:07.760] 不用签字只是给您的，您留一份我留一份，
[08:11.780] 把这机舱洗一下，还有一个就是水箱舱，
[08:15.100] 首先
[08:16.900] 你帮我给你发一下，他送到你们没空发的等会发等等。
[08:39.240] 你看
[08:41.090] 里面还有花音响，
[08:46.070] 您这过期了的保单。
[08:48.760] 是过期的，就19年的保单。
[08:56.640] 这也是过期的，没用，你撕了就行了。
[08:59.690] 这些没用是吗？4成粉末。
[09:06.080] 我再往下去送到还没给我寄过来，电子保单也行。
[09:10.940] 电子保单也可以，我给你看一下。
[09:13.350] 没事，您先整理这些东西吗？装回去。
[09:17.920] 把这个东西装回去。
[09:19.540] 这都过期了我看看。
[09:21.720] 颜色的。
[09:26.400] 然后
[09:28.960] 到认为里面有点
[09:33.720] 这是正常的。
[09:36.100] 我调查咱们这儿
[09:41.750] 了，
[09:46.570] 的。
[09:52.100] 不好了就没事了，完全不用去车站。
[09:55.240] 取证的鸡都给您了，您装信封里了。
[09:59.210] 那曲让您不用给我那上面有明细。
[10:01.870] 这对其实你不用A保养不好找一下。
[10:07.810] 对你可以后悔，对。
[10:11.310] 我还给他处理这几个东西。
[10:14.210] 睡觉是的，带客户去取下东西，应该在车间的时候
[10:19.240] 经费给他的。
[10:26.090] 这是门禁卡。
[10:29.420] 平安队伍
[10:34.910] 远远
[10:37.450] 的
[10:38.590] 远场
[10:45.110] 数据、
[10:48.710] 数据、
[10:50.120] 数据
[10:53.350] 吗？
[10:59.840] 数据、
[11:02.260] 数据、
[11:04.080] 数据
[11:12.600] 有没问题。
[11:14.140] 哗一写你可以修三块分期。
[11:16.990] 我跟你说一下，
[11:21.120] 你在这
[11:22.120] 意思，我现在首先第一
[11:26.230] 您对车辆外观有维修的需求，这是不定的，是您自己知道。
[11:30.570] 第二您符合我们的需求，您有划痕险，
[11:35.460] 您可以修三块喷漆。
[11:40.950] 第三，
[11:43.270] 我们的服务是1498块钱，
[11:45.840] 您修完这三块，
[11:53.310] 就这么简单，没有别的。
[11:55.240] 我这修的话是从保险那还显示湟源县。
[12:00.860] 你不用。
[12:03.230] 这车的话我用车1万块钱的一块钱的额度，有1万块分三块，
[12:10.880] 奔驰的分期是吧？给保险公司大概在3000
[12:14.720] 二左右一块喷漆，
[12:17.130] 给保险公司价格，
[12:19.040] 因为我们是有合作关系的，可能全价要给你，明白这意思吧？
[12:23.500] 但是如果我不想
[12:25.020] 没有休的话，那就了，我建议您可以在一年之内，因为你的保单到20
[12:33.590] 22024 202 2021年2月，
[12:39.650] 您既然上来划一下，您就要show一下。
[12:42.680] 在2021年2月份之前给
[12:46.080] 修了，因为指不定在今天到2021年这个时间，你可能出现点什么小剐蹭什么，
[12:52.110] 明白我的意思吗？就I可以吗？可以。
[12:56.220] 它可以搜索可以划痕险就是收西面。
[13:01.550] 车身外观漆面。
[13:03.270] 明白我的意思吗？
[13:05.680] 修的话我知道您保费，你保卫战我们也会赔付你钱，
[13:15.690] 我们能陪至少能赔付您挣1000块钱对吧？
[13:19.220] 你用相当于用了，假如说你商场3000块，假如3000 3000块钱，你就相当于2000块钱修了车的外观，
[13:27.200] 你在外面修理厂你修不下来。
[13:30.190] 我明白您的意思，但是你
[13:33.790] 暂时先不用改好长时间了，我也不想反对，但是我最主要的目的你既然上了还一些
[13:41.230] 你别拍照你不要
[13:43.130] 用，要么你白你还不如不上。
[13:46.620] 因为我想因为现在在外没有太大的变化，如果您买了我们这服务见你，刚才我也说了吗？
[13:54.270] 既然您在2021年2月之前做一个工程，
[13:58.680] 这样子
[13:59.980] 您了解一下，先不着急。
[14:03.630] 好。
[14:04.910] 百营养了。
[14:10.410] 您休息一会。
[14:14.160] 下午跟微信到了，好了我通知你。
[14:17.340] 我先办下一个客户了，行行，我就先去休息，大概在12分钟左右车程。
[14:23.080] 要不要电话是吧？对哪些话题？
[14:27.960] 数据。
[14:32.750] 说。
