[00:07.400] 差不多。
[08:08.930] 可能很喜欢吃的。
[08:24.400] 这个药就是非常
[08:25.590] 怎么样黄色感觉。
[08:28.160] 我看到好多那种老的
[08:31.840] 那种长头像的，比如说那种
[08:36.550] 扒光在跑盘的那种，
[08:38.810] 都会特别
[08:40.390] 其实是挺壮实的。
[08:45.200] 然而那车的话有女儿黑了，现在去年的
[08:49.960] 而黑色的话其实显得有点
[08:52.920] 搜索的都是
[08:54.840] 或者的话又的
[08:57.420] 能下来，其实我们看了好几个人了，然后你说上中国因素，
[09:03.510] 他做了
[09:07.410] 这个视频是没什么问题，其实不想是不
[09:12.320] 这种价值就是否定
[09:16.690] 他奶奶家做活动更多一些。
[09:19.640] 我们也去说抢劫一样，因为毕竟也是大丈夫。
[09:23.350] 上次就想下手，然后第二次报告可能就
[09:29.390] 了。
[09:30.120] 那么工厂吗？
[09:32.620] 我小时候我就帮他
[09:34.220] 要合适的话，我觉得他们三下
[09:37.920] 还在发展。
[09:44.550] 关注一下场的话，
[09:46.780] 数据。
[09:48.910] 数据、
[10:20.870] 10
[10:24.260] 句。
[10:26.720] 看
[10:28.460] 坏数据。
[10:37.810] 大
[10:43.160] 的
[10:51.310] 咱们就考虑加B两板，
[10:54.630] 时尚期做
[10:58.960] 要7座的三刚才是7座的，刚才对我刚才听了。
[11:04.730] 对您刚才说了
[11:07.170] 怎么7个块？
[11:09.470] 7座的车
[11:12.590] 也
[11:14.640] 7座车，现在那个车就肯定没有你做的工作，
[11:20.470] 老是让你觉得紧张你给
[11:26.150] 反正除了这样灰色的你觉得不对，那也不是我觉得
[11:30.800] 就是要喝
[11:31.840] 这俩车，您说这没有5个的车多是吧？
[11:36.650] 补做，因为它主要卖的比较多一点，可能
[11:40.030] 自行车也多一点，然后优惠的话肯定我们做了也会更优惠。
[11:45.170] 慢慢
[11:46.890] 有多少？
[11:48.470] 好，请坐，他看清楚了，锁定期。
[11:52.560] 行，另外一个是黑色的中策，
[11:58.830] 韩国。
[11:59.710] 但是比如说您要黑内饰到9月份都没有。
[12:05.000] 大概
[12:07.580] 他这个配色是有什么的，一般黑车的很少。
[12:13.210] 都是
[12:15.810] 所以他会给你差，然后比如像灰色那是
[12:21.810] 然后黑车的话他就配个棕内饰，
[12:24.440] 都是分开的。
[12:27.880] 记住不是只有奔驰这样吗？还是反弹的东西，大部分都是这样的。
[12:33.820] 因为你用外观黑的里边要A黑的，
[12:37.330] 很少有人接受了两个小时，一般他也没有。
[12:40.430] 谁知
[12:42.000] 你这也能有吗？能过度造成的那种
[12:47.130] 金融活动金融
[12:49.900] 薪酬的话，一会儿会帮您算一下。
[12:53.230] 你们的金融产品现在有解决每月只还7月8
[12:59.310] 万，然后每月100多块钱。
[13:01.600] 对知道看看我们
[13:03.080] 了。
[13:04.870] 然后再看看你们还有什么其他的事情，行，稍等我马上报单，您喝点什么吗？
[13:11.470] 我自己拿了快点要说吗？您喝什么？我不我喝不了。
[13:16.950] 分红险。
[13:19.360] 他可以打
[13:21.270] 到了。
[13:24.110] 场
[13:25.440] 广场
[13:26.770] 场
[13:29.690] 场
[13:36.300] 场
[13:37.210] 场
[13:44.020] 数据。
[14:41.570] 的
[14:44.070] 睡不着。
[14:46.450] 4
[14:48.600] 可以
[14:50.780] 不是属于那种
[14:57.730] 的
[15:01.800] 时尚
[15:03.400] 花
[15:52.210] 要
[15:53.030] 来
[15:54.810] 每次看完书之后
[16:00.320] 刚看了。
[16:03.220] 我跟对我们上面俩刚吃完饭第二天
[16:06.330] 你把别的事都哭了。
[17:06.640] 但事实上跟动感型的就是5座跟7座，
[17:11.350] 您每月月还的金额也是不一样的。
[17:15.020] 你像5座版本是每月100多，
[17:19.150] 7座版本每月200多。
[17:26.440] 的
[18:15.110] 放假之前还得给您再看一下咱们服务公约的事。
[18:20.370] 咱们所有假还都是明码标价，公开透明，没办法。
[18:24.650] 你们这边出问题了，那么强调自从那个女人以后，西安那个女孩好，
[18:30.540] 坐在那边对，然后背奔驰的话，每一个都得说，
[18:35.840] 然后明码标价，什么公开透明，这就主要是别收那四姐送钱这事。
[18:42.090] 因为西安的女的后来那时候也赢在销售顾问收了的金融服务费，
[18:47.480] 金融服务费的话，
[18:49.120] 那是属于销售部给他二维码，他等于自己收了。
[18:53.250] 这个属于乱收费。
[18:54.850] 他营业营证
[18:57.100] 车的话其实正常走三包就行。
[19:00.410] 坐奔驰阀奔驰也因为
[19:03.260] 但是现在就特别规范
[19:05.700] 了，然后但是现在奔驰其实有些好的，作为您好好的就是做分期，
[19:10.710] 咱们现在没有服务费了就
[19:12.420] 您省了一大部分钱了，原来是有服务费吗？以前有贷款额，算其他店里边其他品牌的都有。
[19:19.270] 都会有，比如说像我们的竞品宝马，他又有服务费，又有强制的装饰，
[19:24.990] 那都是必须我们得跟迟这两个都没有。
[19:29.280] 宝马那边去可以找个人到我那没用没闹，因为
[19:34.480] 他反正怎么说咱就那样，反正您不买也行，他就车占用的少，但我们不是买不买，反正我都优惠这么多。
[19:42.600] 然后所有的配件渠道都是信息公示，然后这个是绝不捆绑销售了，强制消费，然后学不修假假以次冲好。
[19:51.070] 然后下班我服务监督电话400818188，
[19:55.440] 您要方便你要干什么给你打电话，什么时候开，但是在因为
[20:01.190] 咱们看看电脑里面
[20:04.240] 定每个半小时冒出来一只体型卫星提示，
[20:08.400] 然后咱们这个报告单是我们奔驰全国统一的一个新版报告单，上面所有涉及的价格，一进门给我工资条我可以帮您看看，
[20:16.540] 然后给他算是GLB2版叫时尚型的，那也就7个版本，
[20:21.370] 车价指导价是328,800，
[20:25.110] 然后北京指标优惠的话是46,000块钱的现金，
[20:28.560] 是282,800，
[20:30.330] 然后购置税是25,000，
[20:32.730] 这是车辆购置税国家收的都是小组的，
[20:35.420] 然后装饰我们是没有强制的，
[20:37.680] 反正我也没给你写，
[20:39.530] 你愿意做就做，因为不愿意做我也不强制。
[20:42.990] 套餐个验车上牌2500，
[20:45.810] 然后保险的话预估一下在1万块钱左右，当然我这只是预估险种是由您自己来定的，
[20:52.370] 如您上什么险什么险都没问题。
[20:54.480] 保险公司有您自己，
[20:56.280] 然后如果您旧车在店里边置换，厂家提供2000块钱的额外保险补贴，
[21:01.730] 比如算1万，那就是零8000我2000，
[21:04.430] 就这意思，全下了318,000。
[21:07.390] 金融方式的话就是首付一半带一半，18个月一年半，
[21:11.350] 月还款是234，
[21:13.270] 234，利率的话1.99，那一年半一共多还了多少钱？是4220。
[21:21.760] 然后首付合计176,000，
[21:24.920] 时期，
[21:27.990] 就算7
[21:31.140] 总价是它加上它的
[21:35.280] 加上他
[21:36.290] 对吧？13号31.8326对吧？380加上31万多家保险，交了保险就落地这样了。
[21:46.530] 然后置换提供2000的话，是不管什么车都置换提供两次，
[21:51.350] 只要4个轮子就行。
[21:53.660] 有牌就行，老年代步车，然后这样的话其实它就相当于是
[22:01.840] 加这就是8000 8000块就加了。
[22:04.700] 当时险保险您不一定非得上那么多，我这是因为有一价格我给您写就行。
[22:09.820] 正常的话1G2C的话，可能上面几个起来
[22:12.840] 都到不了一半。
[22:19.080] 价格比
[22:22.010] 几月份4月份看看月份4月份。
[22:28.230] 4月份到5月份4
[22:31.170] 4号四五月份55月5月份。
[22:33.960] 差不多，后边对那时候差不多，因为他这一车说白了，这一车它后期产检就这么多了。
[22:40.840] 然后这一窗子你说奔驰以后开的话，它后期的费用比较高，
[22:47.010] 那就是什么出来小毛病都行吗？
[22:51.280] 破坏零件，反正从维修售后维修保养这一块，这车是基本上不会的，奔驰的话是1万公里保养一次，
[22:59.230] 首先保养周期比较长，第二这车保养一次的话，小保养应该是800多块钱，D保养是1100多，
[23:08.550] 不会的，但是基础保养后续换的其实也不问，比如说你2万公里需要更换53，
[23:16.010] 那4缸的车换一次换4个富豪山庄，
[23:19.550] 一个火车3月100多块钱，
[23:21.430] 这个不算，可是常用的东西都不对。
[23:24.280] 对，但是别如果发生碰撞了，他就会了，哪些迹象，因为是走保险了，
[23:31.090] 首待房跟保险公司沾边的东西都过，
[23:34.680] 没法没人去单独换一大灯，总那么坏不了。
[23:38.870] 但是干脆走保险的话，都是对保险
[23:42.150] 开了一部分吗？
[23:45.890] 这也还行，维修正常您自己花钱的东西都不会，而且这车日常的话，
[23:51.410] 从节能上省油，这车其实费用不高，邮费
[23:55.120] 很少。
[23:56.240] 这还有我自己故事跟我说说春节的时候买的车，然后回到家正常在家开就上下班一米的，
[24:03.630] 上班开6个多油，
[24:05.790] 然后她春节回到老家4个多，
[24:09.110] 这是他自己坐车，
[24:11.730] 非常
[24:14.080] 主要是发动机先进。
[24:16.080] 燃气灶B有一个考虑，就是它那里面空间比较大一点，
[24:20.130] 但如果你要真是离奇做人多一点的话，他就第二排中间的座椅它前后可以调吗？不是。
[24:26.300] 是吧？但他没有后边不做，你往后退着，
[24:29.480] 你后排乘客可能还不舒服了，但他有人的话就稍微往着凑合挤挤，
[24:33.570] 对吧？可变性会更好一点。
[24:37.820] 对这是我试过我们可以买的车当中，在奔驰系列里面上面还觉得不对，就像刚才说的它的一个设计的外形，它是按奔驰的G的外形来设计方方正正，
[24:50.950] 驾驶员坐在上面，包括乘客座上面，他头部空间要高贵，
[24:54.930] 而且系lb它还有一个小的特殊的设计，
[24:58.340] 它的后排时候要把要比前排数要高，
[25:02.140] 前面这排要第二胎这样高的话，上面我会觉得距离更小都会
[25:08.020] 但是如果后排乘客他做高以后，他能看见前面，
[25:12.180] 所以她视线会更好。
[25:14.460] 他如果要长途驾驶的时候，乘坐的时候他会更舒服，不对。
[25:19.410] 你跟你妈妈说，
[25:23.840] 晓得其实是小的细节还是做的比较不错的。
[25:30.330] 而且像比如家里有老人人会发现奔驰的GRP的
[25:35.420] 特别大，
[25:36.590] 很大对吧？因为你开吹模他可能连底边的话一块都开开了，
[25:42.530] 如果家里有老人刹车的话，他就特别方便了。
[25:45.360] 没有这边测的这块没有什么打头了，基本上。
[25:48.940] 基本上
[25:49.760] 往这一座没错。
[25:53.890] 还挺实用的，小车20多。
[25:55.920] 全价360，
[25:57.680] 一款贷10万了。
[26:03.790] 反正期做的就是车厂。
[26:05.600] 现在车库里有的也就是这辆车，
[26:10.120] 还有一个黑的。
[26:11.350] 就没有，然后再铲的话就得下个月这月没有了。
[26:15.300] 下个月在场会调价吗？不会。
[26:18.950] 基本上都这样，不会有什么太大变故。
[26:22.360] 就像刚才跟您说的，但是整个车道我的进货价就这么，
[26:26.830] 然后加上返点可能也就这么
[26:29.050] 对吧？我优惠了这么多钱，
[26:32.050] 因为我卖一个车不能陪太多，你像花香那种店刚遭了一次一波袭击，然后更长，
[26:42.640] 更贵会更贵。
[26:45.410] 他不会因为自己受大家其实都不去，你看我们就定去不去。
[26:50.480] 对，我也不
[26:51.740] 不会聊这么多的活动来吸引花乡店隶属叫立兴行。
[26:57.300] 李昕航发相电力新行的话，他现在换了一个执行的总裁，是一个德国人，
[27:03.130] 后来得过来之后，他对价格把控特别严，
[27:06.140] 说多少就是多少钱。
[27:07.940] 比如说哪怕打个比方，咱这车就是46,000，
[27:11.090] 它可以规定我库存，这个车我没车，
[27:14.370] 你就只能优惠4万，
[27:15.920] 你但凡别的店有一个46,000，你也不能追他。
[27:19.750] 这样。
[27:21.510] 而且作为疫情来说，像我们店你看其实哪个店都收集声音，比如3月份
[27:26.760] 4月份，
[27:27.810] 我们你是
[27:30.200] 但是他不会像他那样太聚集了，他自己家都不让去，但是那一个店不会影响它整个利星行集团。
[27:38.090] 明白，但他这个店他自己有任务的话，他不会做一些营销的，他会但是公司的话也会给他剪树，
[27:45.850] 不怕为了整体调整对吧？你想立兴行它是一个集团过，因为他单独一个店去把这个市场价格就拉下去了。
[27:53.140] 对我还有其他地方撑着，大不了销售不挣钱的
[27:56.350] 代表
[27:57.430] 赔点店面出租，但我属于集团的。
[28:01.230] 你像花香那边出汗及的时候，我们现在连续好几个礼拜都要填报，就是你自己有没有去爬山，每次一定不能出去的时候你就暴男好了，没事你不签是吧？
[28:12.140] 我也天我们都出来这一块，有人说连续三个星期去过新疆，没去过大连，其实我像奔驰来说的话，像正常卖的
[28:22.820] 像A
[28:24.560] AB
[28:25.780] plc
[28:26.970] 等级最低的那款对ABGLP
[28:32.320] C
[28:35.060] C这几个情况其实真的说实话卖一个是可以的，
[28:39.880] 你加上后期返利加你的成本价是达不到他优惠标准了。
[28:45.020] 后来打这么多平米款车是为了什么？或者打这么多平坦的，
[28:50.700] 二三十万就可以买得怎么样，以前本科也有，以前他们只有30多万，
[28:55.200] 只不过现在的产品线更多了是吧？
[28:58.320] 434年前就有，我忘了是不是机系列还是怎么着，也是这种SUV的形式吗？
[29:05.850] 顶子特别多，我们主要为就要A是吧？只要K消费不放过，交费不现在买下来就29万吨，好像只要一
[29:14.990] 是吧一个小的城市，所以我当时觉得
[29:17.970] 你是出了一个比较大众板车，还都比较所以比较小心的买房，但是会发现好难是因为车的话就比较适合，比如说
[29:28.290] 就一个女孩货车上班，
[29:31.960] 接送个孩子，家里有第二辆车的时候，当时代步车
[29:36.250] 20多万就便宜对吧？和室友一奔驰，你看现在他就会很舒服，
[29:42.350] 就不会那么压抑，所以现在奔驰卖的多，大街上你看奔驰谁知
[29:47.550] 对它是从不同价位区间都有。
[29:50.100] 而且你从比如SUV我有20多万，轿车有20多万，
[29:53.930] 我都特别亲民，
[29:55.770] 你要好了我有好了，有S
[29:58.670] 迈巴赫，
[30:00.170] 包括你要想要激烈驾驶的，我们有mg，
[30:04.960] 都有
[30:06.880] 适用于不同人群。
[30:09.370] 马上迈巴赫不要供出一个大的SUV了。
[30:12.910] 像那种的话再北京能自己进来几辆。
[30:18.680] 真的。
[30:20.180] 别小看咱们
[30:21.630] 北京的消费能力。
[30:23.630] 对真的特别厉害，我的妈都好多我都不知道怎么就显著行，真的。
[30:28.770] 就跟我们店迈巴赫迈巴克美术门板的都得将落地的话将近160万。
[30:35.430] 到现在为止迈巴赫我们店
[30:37.980] 卖了20多，
[30:39.140] 每个月都是20多块电子二就算每个月都20多，每月都20，
[30:44.120] 都不知道是多少。
[30:46.110] 真的光大系贵大气会每个月基本都两三个。
[30:50.640] 外地不得加价吗？
[30:53.790] 人一进门他们是怎么买车装备，因为
[30:57.000] 风新闻车大地加100多家100万，没有
[31:00.390] 人说我们这没那么大优惠。
[31:02.470] 哼哼对，我们其实很
[31:05.740] 有时候开玩笑的时候其实没多贵，就多一个阿尔法，
[31:09.400] 把面丰田商务舱没多少钱特别多，那车我看北京200不是特别多，
[31:16.290] 他贵因为谁没事买了一80多万，还得加了30多万买一分钱，
[31:22.250] 我觉得他做国内都是被明星吵起来了，而且其实那个车在国外在日本并不会都是炒的。
[31:31.170] 对吧？
[31:38.770] 跟全世界进行像我们店每个月月这个月现在为止将近卖了开票价拆掉了200多个车，
[31:46.780] 上个月实际销量310辆，
[31:49.490] 基本不一定什么一些影响。
[31:52.970] 而且百能力像华北区算比较大的地方，我以为人们都不会出门，反正我们是不出门。
[32:00.440] 不是过去刺激，这个圆里边都是一个老板，
[32:05.760] 你要我们当然
[32:08.560] 根本就上班都不让你去大伦，所以出门你更不能出来，你就得报去哪了我们去
[32:15.690] 但吃死在父亲一样，
[32:18.000] 我们其实开发上没什么人
[32:20.840] 折腾人少。
[32:23.270] 对，由此可见，你看你的目标客户人群，
[32:27.110] 名企业老板不是就上你要上个礼拜赶上6日的话，那人就最多，
[32:33.030] 客户都排队，特别长的队大部分都是民营企业老板。
[32:38.840] 但是我反正参考了这车的话，反正
[32:42.770] 基本上
[32:44.460] 不是太大变动。
[32:46.390] 因为要这车现在就从我这来，
[32:49.960] 两个线车也不多，
[32:51.900] 对吧？
[32:52.440] 然后在产的话就是9月份
[32:56.310] 或者8月份能到几个，9月份陆续到几月左右，
[32:59.990] 所以它大型的促销活动基本上对我4月份
[33:04.520] 给人家咨询请教的人，说什么五六月份会来一个新的2020什么新什么
[33:12.390] 什么心，
[33:13.730] 反正比4月份要新一点。
[33:16.800] 是这么个意思，是时尚版还是什么？
[33:19.290] 贷款。
[33:20.140] 动感行，对送感情会出一个改款。
[33:24.590] 它的动感型又出来。
[33:26.470] 现在我们看到的在您没有变化，
[33:30.880] 时尚7座版是没有什么太多变化的，他母色板的话多了是电动的后备箱，
[33:39.090] 以前5个版本是手动的，现在是电动的。
[33:42.320] 然后以前的话
[33:45.220] 只有7座版氛围灯的，
[33:47.720] 五色版没有，但是5座版现在也有了。
[33:50.410] 他现在然后7座版本它多了座椅加热，
[33:54.440] 唯一有这么一个区别，以前7座版没有做一家肉，
[33:58.560] 现在座椅加热了，
[34:00.510] 我还以为是了，车就加热。
[34:03.440] 真的。
[34:05.310] 有吗？你吹的歌点缀。
[34:08.850] 真的我以为吃了之后你没有了，呵呵。
[34:12.500] 一般的座椅加热可能在美汽车或者我们
[34:17.010] 会比较多一点，可能就弄个标配，但是在德系里面机会很少，
[34:22.460] 基本都算旋转的。
[34:24.430] 原来
[34:30.660] 花香的过程。
[34:32.010] 一样，其实几月份其实都一样。
[34:36.530] 您看您主要是四五月份来，那时候其实也算疫情，那4月份还没算特别恢复，
[34:42.930] 对吧？没有我们当时对是没怎么关注的，仅仅就是说我们能出门对他那时候也是这么多。
[34:49.010] 你现在
[34:50.260] 第二段也快结束了，你看还
[34:54.950] 无非就是早餐与晚开的时候，
[35:01.150] 西服套装也没有什么影响，
[35:04.070] 对不对？
[35:06.670] 不是包含
[35:07.880] 好点
[35:08.800] 的。
[35:09.780] 蔬菜。
[35:11.510] 所以说
[35:12.920] 用来说来着一层影响，对于正向刺激增长的是吃素的市场，
[35:20.010] 衣服包包什么的，
[35:21.990] 反倒我觉得很聪明，
[35:24.240] 刺激消费了在干嘛？
[35:26.540] 还得配货。
[35:29.270] 比如马车买一大堆什么盘子没用才能给你个包。
[35:35.150] 不就是马车就这样，你想要一包，然后你
[35:38.640] 你得买配的，比如配个10万块钱的货，
[35:41.690] 给你一大堆没用的，什么盘子碗什么要练什么丝丝
[35:46.110] 够10万了，给你这包跟着包没准颜色还是比如说你想要个黑的，他给你配过来是一个屎黄的。
[35:53.410] 这是我说真的意思吧，
[35:57.760] 你还选不了颜色，
[35:59.790] 买点吃点时光了，说也有风格。
[36:06.290] 不过我们两个没有什么，
[36:08.500] 我们两个没有什么利益冲突，
[36:11.160] 我们都属于试点，
[36:12.770] 但是办法是
[36:15.140] 那是没有，但当然也有不是很贵的东西要买的东西。
[36:20.730] 真的。
[36:21.980] 但是跟那包实在让我接受不了了吗？这我先买那么多盘子干嘛去？
[36:27.470] 刚才我媳妇也说了，他说你不行，你不干奔驰了，你也卖奢侈品吗？
[36:32.640] 你也卖个爱马仕，你给我拍打包我们再见。
[36:36.910] 最好卖茶刚出来买吃的当然是
[36:41.560] 瓷器当中的爱马仕的叉子大概有200多欧一个小叉子，
[36:47.130] 百多个大叉子，阿联酋的王子过去之后，所有的东西是不带标价了，
[36:52.790] 叉子给我来这么两吨，
[36:55.360] 我突然就回我什么都不问，价之后这
[36:59.580] 他的财富已经播到了，
[37:02.770] 出产多少都是个数字。
[37:04.850] 你们的生活
[37:07.180] 两多最大一点就是不能多了很重要的东西，对，所以说像运行影响来说，其实对于消费品没有什么太多了。
[37:16.930] 衣服
[37:18.320] 说我们就跟我
[37:19.700] 照样买，
[37:20.920] 我们的用没事老开玩笑说这干嘛，因为我们有的人居多，因为我们也特别累，
[37:28.400] 这些销售接客户，然后其实不停的说说，
[37:32.960] 您这还好不是
[37:34.910] 对大盘还有时下的还是他办手续，
[37:38.150] 然后在路上咔擦了你们这个店1000不是一个月能说300310辆左右，
[37:46.810] 我们店基本上
[37:48.820] 3000单店单店是最多的，
[37:52.160] 你不能跟集团比，就单电的话应该体量最大，
[37:56.120] 300一天卖10辆，我们现在销售基本上30个，销售3个销售任务的话，每人是15
[38:03.600] 月一个月15台车。
[38:06.700] 就奔驰4S店本身有没有这个能力差，我看
[38:12.340] 就是三里屯那边有一家子送礼盒，那叫彭龙什么？
[38:18.030] 小他还有上面一个专门分给奔驰的什么一些会员或者怎么着开辟的餐厅，叫梅赛德斯me，对，是一个专门奔驰的形象的，内心是川菜馆。
[38:33.270] 对，又是一川菜馆，完了之后还得是得有什么别的卡才能进去，然后关
[38:39.550] 跟迟了一看奔驰的会员店，然后他不光是可以吃饭，
[38:45.170] 然后他有哥奔驰各种私家车，
[38:48.330] 比如跑车什么都在那，我们可以去客户体验的这么一个过程。
[38:52.770] 然后奔驰汽车连分等级，
[38:54.860] 你像我刚才说了，比如迈巴赫AMG包括普通奔驰，
[38:59.100] 这车都是有授权的，包括授权您有授权您这单店得到一定规模，不是所有单店我们卖
[39:08.450] 这么高级的车，
[39:10.230] 所有店都卖的不是所有4S店都能迈巴赫，对my马赫北京的都似家里。
[39:15.760] 你们店也都有迈巴赫，E mg，你有没有销售过出去买？
[39:20.890] 不会太多了，很多吗？对，当时我买的第一辆迈巴赫17分钟。
[39:27.570] 是吗？买迈巴赫的人是什么职业的呢？
[39:31.700] 项目就公司里都跟要么老板，要么就是煤老板，而且我们就是暴发户。
[39:36.590] 暴发户很少，因为奔驰
[39:39.210] 奔驰品牌他还跟宝马是有这种人群区别的，奔驰品牌相对要稳重一点吗？
[39:44.710] 没办法，无线不靠谱。
[39:46.510] 谁知一场没办法了。
[39:52.890] 可以了没事。
[39:54.580] 没事闲聊会反正也快下班了。
[39:57.600] 当时慢慢巴赫比较大，
[40:00.470] 两大煤炭
[40:05.040] 然后也进了医生这种，
[40:07.190] 他老板也是进来一声，看来把胡子拉碴，
[40:13.420] 然后斜挎了一包，
[40:15.870] 就进了。
[40:17.070] 然后前台的小女孩接待吗？说你看什么车？
[40:20.460] 鸡虎。
[40:21.460] 然后结果那东西
[40:25.470] 然后我们销售说有时候也不
[40:28.180] 也不爱，
[40:29.670] 后来我说我刚来了，我去基础不会找我看牧马人，
[40:36.130] 我瞎逗，后来说然后进去我说叔叔你看
[40:41.400] 越野车对越野的
[40:44.720] 月算有吗？
[40:46.960] 有200万这车型吗？交易，我说这100零点
[40:52.710] 太小，
[40:54.100] 大街2S7座的，
[40:57.210] 在内饰部号码G2，S多少钱？一百零几。
[41:00.960] 也是一百零斤，我说您要个那是好好往楼下看看迈巴赫贝。
[41:06.270] 我看看。
[41:07.690] 不行，这车型有现车吗？
[41:10.790] 我说有。
[41:12.030] 来
[41:13.680] 不卖白菜的，但是比200万不超预算了吗老两口？
[41:21.710] 卖8块100多万，买号不是200多万，200多万。
