[00:00.590] 今天上陈德华，但他现在没有那边的居住证，然后想找他办一下。
[15:33.680] 考虑实践一下，我们有市场的
[15:36.870] 可以安排那是假，
[15:38.600] 或者问。
[15:39.380] 不用你先问牌照，你是家也没有用，没有牌照，问好了以后给你打个电话，主要就问承德那牌照咋样。
[15:45.370] 行，明天我给您回个电话，对她记录我电话，他给我这有您上午方便下午方便，20分钟装备，上午八。
[15:54.140] 我上午给您回个电话，然后我把具体的如果需要什么手续我也跟您说，您到时候权衡一下看合适不合适，如果合适再说好吗？
[16:01.630] 行吧？
[16:03.210] 好了，谢谢客气应该。
[16:06.090] 没事。
[16:07.900] 感谢光临。
[16:09.100] 汪总。
[16:10.240] 老公小城市让
[16:12.370] 垃圾
[16:14.200] 我走了。
[16:15.260] 眼前的这么快。
[16:17.390] 没事应该。
[16:20.170] 没有牌子。
[16:21.750] 想上成都牌照，没有承德居住卡，
[16:24.890] 然后
[16:29.500] 还得让咱们给他想辙找一个
[16:33.550] 你找一个花钱，
[16:35.880] 然后现在有。
