[00:00.000] 2007
[07:57.380] 先生您拿身份证摘下张照片，
[08:03.320] 数据。
[08:11.810] 没事不用了用。
[08:18.370] 的。
[08:21.770] 就给您在银行办银行卡到
[08:31.140] 号
[08:34.710] 一
[08:36.200] 的
[08:39.340] 远远
[08:41.490] 首场。
[08:42.560] 场。
[08:43.700] 坏数据、
[08:46.210] 数据、
[08:49.430] 坏数据
[08:53.840] 的。
[09:01.730] 花
[09:05.040] 三
[09:14.780] 数据
[09:17.610] 的。
[09:18.530] 您手机给。
[09:19.730] 发了一个机会，
[09:24.800] 数据，
[09:28.730] 一个6位数字，
[09:31.370] 4
[09:35.310] 549656。
[09:44.310] 号。
[09:47.630] 我想问一下，
[09:50.260] 谁知
[09:57.320] 隐藏，
[09:59.250] 是吧？
[10:00.840] 那张卡号你也不知道是多少
[10:05.030] 的，
[10:06.090] 因为它隐藏在车里边，拿不出来也看不到。
[10:15.920] 比如说过了这个服务器之后，对你要用的话就续费不
[10:20.400] 用这。
[10:21.760] 这都多长时间？
[10:23.280] 多年还有。
[10:25.380] 6
[10:28.160] 这就跟以前车GPS一样。
[10:32.230] 当然其实一个
[10:34.680] 基本上用不上，然后如果你要升级就交升级费，这个不能跟你
[10:40.040] 手机里面
[10:42.550] 这个没有手机店的吗？
[10:44.580] 有一个PPT他不来了。
[10:47.360] 他是这样，而且车肯定带一个
[10:50.700] 他这有个APP，从你的手机上能看到车胜多有跑多少公里，
[10:55.530] 远程的台阶锁车门，车辆的实时定位什么的。
[10:59.800] 不是你这边对。
[11:01.070] 立马一改什么意思？
[11:03.060] 我跟你说APP，您会营销下滑被下一款还有一个密码已经改什么意思？
[11:09.060] 我这边给您设置的新密码，
[11:18.660] 以来1S密码就没有了，他这就没有原始密码，上来就得重新设计。
[11:23.810] 您这新车。
[11:24.640] 车怎么会有原始密码？
[11:31.500] 你要下的话我告诉您是什么。
[11:35.310] 打开您那F照的。
[11:45.670] 两个很像的。
[11:47.680] 你看
[11:49.520] 叫什么名字？
[11:53.310] 闷CMEICBI
[11:57.920] A
[12:05.800] 对。
[12:07.720] 过去
[12:10.970] 没错，但是像遥控国帅是不是遥控波，你这没有药品，
[12:29.540] 下载完了之后直接点打开登录就可以了。
[12:33.230] 了。
[12:35.740] 网
[12:37.190] 的。
[13:07.040] 他
[13:07.920] 再打开。
[13:16.840] 喜欢他信号不好，
[13:18.820] 我这屋里信号不稳定。
[13:21.360] 您姓啥？
[13:24.080] 他那是钢架结构，
[13:27.010] 这是你们故意评估非常，但是没有什么可怕的。
[13:32.620] 它是建造结构什么书的是吧？还是
[13:37.280] 是不是这个短信发出来的？
[13:40.780] 这个不是你得从软件懂那没用。
[13:57.580] 场
[14:01.560] 也
[14:05.180] 数据
[14:06.300] 注册登录的行动注册。
[14:13.790] 数据。
[14:16.330] 数据、
[14:18.120] 数据、
[14:20.350] 数据。
[14:21.950] 手机号加号86您的手机号账户。
[14:37.100] 原来
[14:45.870] 密码是大A小A123456
[14:50.040] 的
[14:52.090] 二
[14:54.320] 场场
[14:57.700] 场
[15:00.010] 说
[15:04.680] 场
[15:05.710] 的。
[15:11.400] 句。
[15:12.960] 的
[15:14.590] 坏
[15:17.400] 花
[15:20.350] 的
[15:21.920] 数据。
[15:26.080] 远场、
[15:28.130] 坏数据
[15:31.720] 数据
[15:35.160] 场、
[15:36.280] 场
[15:37.790] 场
[15:39.380] 坏
[15:41.230] 的
[15:44.040] 数据
[15:47.470] 的
[15:50.280] 数据。
[15:57.730] 进去之后就可以了。
[16:04.570] 进去了吗？
[16:06.810] 进去之后今天用不了，谁知
[16:15.160] 数据。
[16:24.040] 五
[16:29.510] 场
[16:35.440] 坏
[16:38.630] 数据、
[16:40.900] 数据
[16:41.800] 数据
[16:43.280] 数据
[16:44.480] 场
[16:46.470] 的。
[16:51.630] 场。
[16:52.340] 场
[16:53.920] 场
[16:56.950] 数据
[16:59.720] 场、
[17:05.890] 场
[17:08.520] 场
[17:20.810] 慢慢
[17:48.160] 东西放哪了？
[17:51.400] 而且十分图片可有意思了。
[17:53.430] 别的顾客用的伞都没有。
[17:57.720] 到你。
[17:58.620] 完车之后到时送你一把率。
[18:04.600] 场、
[18:06.680] 场。
[18:13.270] 点。
[18:14.930] 小
[18:18.770] 远。
[18:20.390] 远场，
[18:22.160] 坏数据
[18:23.990] 300
[18:30.150] 桌子
[18:32.430] 了
[18:40.150] 说。
[18:41.860] 了
[18:42.610] 不能。
[18:44.980] 我们没给你要在哪，谁知
[18:52.870] 你必须要
[19:05.680] 怎么了？
[19:07.260] 为。
[19:08.040] 你看见了吗？
[19:09.180] 晚上三你的手机上去了，手机对肯定7你摸肯定有。
[19:15.490] 你没商量，
[19:17.160] 强壮没电这墙挂了，
[19:21.840] 这墙上挂不愿见。
[19:26.990] 不是B
[19:28.800] 不影响我们今天的号，
[19:31.740] 对吧？这不是因为刚打完蜡，
[19:35.510] 刚打完蜡一摸都是
[19:37.480] 车都一样是吧？对，只不过是黑车之后黑车你看不太出来而已，不是白白车，你翻出来黑车比较明显，
[19:47.380] 摸都有印车这东西，这是空气，还有磨砂的那种系统，好点，磨黑磨砂机肯定是什么？
[19:55.110] 这不是刚才那辆车吗？
[19:56.780] 你这上一版往那边贴走装饰不开走了，
[20:00.390] 要不开走了，71别说一了。
[20:04.060] 停着车先生开是吗？等会他吗？
[20:15.150] 来点儿走。
[20:17.160] 等
[20:19.930] 他来了。
[20:22.050] 了。
[20:24.840] 谁知一会就忘了这就是这职业。
[20:30.450] 谁合照了，要不点头，万一漏电就麻烦了。
[20:35.870] 都是我从外公开始给您讲，要是一共有两把您开走，都会给您车无聊进入了4个车门，咱接拉门就行了。
[20:44.060] 左车的话每个车门上一个小凹槽一下或者查一下车直接上锁，每个车门都有的，对。
[20:51.490] 然后跟您说后备箱
[20:58.120] 把
[21:04.330] 数据
[21:07.510] 的
[21:09.810] 10。
[21:11.590] 而且。
[21:15.720] 到。
[21:17.060] 你开门有吗？
[21:18.540] 来，
[21:22.230] 你得有钥匙。
[21:24.300] 您对您要是开开了。
[21:27.800] 对，您那有钥匙还有吗？
[21:32.450] 这一点。
[21:34.080] 点的。
[21:35.440] 知道
[21:38.370] 夜色。
[21:39.470] 他这个人是不是？
[21:43.840] 您说一下咱们保险金手册，车是一年或者1万签到的保养手包一样的，
[21:49.960] 然后里边有急救包，反光背心，然后所有的手说明书，还有两根数据线都在这。
[21:56.990] 都可以用，对，然后这上面加载让
[22:00.330] 下了一个蒽类型或把脚放下来给打。
[22:04.980] 然后
[22:06.650] 应该
[22:09.630] 然后油箱盖车里面没有单独的按键，解锁停下按一下弹开了多少主流。
[22:16.390] 行，您做暑假我们讲。
[22:18.770] 觥了。
[22:31.210] 还有
[22:32.300] 启动要踩刹车启动。
[22:34.130] 有。
[22:36.050] 你在。
[22:37.940] 知道你在哪呢？
[22:39.460] 啥时候回来上班？
[22:44.720] 从最一开始给您讲，作为在这边去调整，
[22:47.740] 监控高。
[22:50.130] 一直靠着的。
[22:51.630] 然后头。
[22:52.700] 来个腿怎么样？
[22:54.500] 然后自己在记忆座椅方法反方向三方面都特别好了。
[23:03.150] 然后注意在家中
[23:09.310] 4个门的开锁火车。
[23:11.280] 从折叠火车的时候，谁知
[23:15.270] 手中的电话
[23:18.510] 然后删掉之后，
[23:20.950] 结果两
[23:23.930] 4个双变量
[23:25.960] 这个做不了。
[23:29.600] 后备箱的开启还有一个因素，
[23:32.760] 咱们楼下之后打开
[23:34.600] 的话，完全做好之后，
[23:37.110] 汉子。
[23:38.170] 对，开的话就电开不顶端。
[23:41.620] 大灯是自动的，天黑光线不好，质量又不用管了。
[23:45.640] 大众的下方是手刹，手刹也是自动的，
[23:49.020] 小心挂机手扎后面接走。
[23:51.480] 是让您开车门或者列车首发平台，
[23:55.540] 然后刷机在这块进行调整，两个曲线你能看到吗？
[23:59.840] 然后曲线都是自动上行通道，曲线之后，由于的话我们可以参观
[24:04.560] 瓜的大小的，
[24:06.850] 然后曲线的区别密集赶明赶，
[24:10.670] 然后银色的按键时间，然后最后形成玻璃，
[24:14.130] 然后左转降的上面
[24:16.000] 都一样，
[24:17.110] 往怀里，谁知
[24:20.400] 光盘交到晚上，
[24:26.230] 然后这三个小时
[24:28.200] 终端这块等
[24:30.920] 到环保电压之后就已经
[24:32.520] 一样就没了，可以说句话，
[24:34.760] 往下就确定这款不能进行。
[24:39.510] 然后这块是并不跟限速，
[24:42.440] 网上是定速巡航往下市县，
[24:45.250] 然后这边是功能的开启关闭。
[24:47.900] 然后家庭一下，
[24:49.600] 咱这俩工程师用的比较少，他电子过头对，
[24:54.440] 然后电子档杆采购刹车之后往上去倒车，往下使前进，等一下右边这个云端里面就地板。
[25:01.630] 了，电子的现在已经就是说
[25:05.170] 咱们现在开关的，你说拉车的有关系，你可能要放出去，可能以上就不可能开惯了，不存在开别人的，就是这个是吗？
[25:13.950] 特别的是现在开启了年费有关系，当然有时不自觉的它下雨了乖乖到的。
[25:20.580] 他展馆有电子保护，不管您是挂前面还到说只要开价几个门，他们自己知道这两天防止公车的
[25:28.500] 车跑11万以下一样，快递驾驶什么收获，自己驾车回到。
[25:32.930] 公司的话，
[25:35.060] 他可能也会把变速箱打坏了。
[25:37.960] 怎么不能把别人不要拿坏，你不踩刹车那个电费了。
[25:41.590] 比如说
[25:42.860] 比如说11分以下对不对？
[25:45.720] 然后。
[25:47.270] 误差的话语还去了，对吧？
[25:49.270] 所以在桌上卖实物以下，
[25:51.400] 你不可能什么都办不到的，对，只能是变成空的。
[25:55.920] 但是不是一开门，比如他变成P大了，会不会打下去？
[26:00.570] 对吧？尼玛一下都在里面。
[26:06.130] 然后我回去那边
[26:12.210] 先不要管现在了，就那个什么了。
[26:21.900] 然后
[26:22.990] 这边这块屏幕的控制，
[26:25.580] 通过这三个条件合一控制器。
[26:27.680] 小房子点下之后一样进入主界面，比如去划就行了。
[26:31.140] 然后音量大小调节这可以抽烟，然后这也可以去调节静音的话往下一按就行。
[26:38.400] 然后写这块是所有的空调的控制左边的温度，
[26:44.120] 控制右边温度是一个分区的空调，
[26:46.820] 然后出锋的位置，风速的大小，
[26:50.130] 自动空调，
[26:51.560] 前边挡风玻璃的图，
[26:53.650] 后边挡风玻璃除雾，
[26:55.450] 这个是空调同步看一下，两边温度就变成一样的，给他担心空调了。
[26:59.650] 然后内外循环不量的是外循环量体制内循环，
[27:03.130] 然后AC，压缩机封面可以把它关上，下跌一定让他量了，要不然空调不制冷。
[27:08.220] 然后这是这次控制的温度，然后空调得出风口，缺口中放出风控左是单独关闭通道，
[27:14.910] 然后这一排跟它是对应的
[27:17.560] 导航、收音机、媒体、电话数量和组织生产。
[27:29.130] 对。
[27:35.170] A
[27:44.420] 的
[27:50.990] 保险、
[27:53.730] 不着不对我给他发过去。
[27:58.820] 这种。
[27:59.890] 不是那条
[28:09.720] 说
[28:11.230] 说。
[28:13.770] 没收到。
[28:15.430] 应该是吧？
[28:16.970] 这都是我给你发是吧？还跟他。
[28:20.080] 没有。
[28:23.090] 什么意思？
[28:24.010] 我能说一下，你说没说到了？
[28:37.760] 这里的信号不好，你们跟没关系，我看看您是否有屏蔽。
[28:41.600] 目的清晰。
[28:43.570] 中间没有。
[28:50.370] 这是金融了。
[28:54.880] 上了什么保险行那个人没收到。
[29:00.400] 再等会。
[29:03.310] 然后这待无线充电，如果您手机在无线充电功能化完了没放弃，往这边比如说放在你袋子里搁在边上就行，往里边搁就行了。
[29:12.790] 哥给他那么大OK差不多等等。
[29:16.920] 这手机不带，
[29:18.400] 然后这个是驾驶模式的切换，车有5种驾驶模式一般放到舒适就可以了，然后这个是所有雷达都关闭，小说里大家都不想了，
[29:28.520] 然后这个是自动泊车，
[29:30.510] 一下之后以30迈的时速5公里短信上没有，
[29:35.650] 然后如果有适合这车停的停车位的话，这就显出了停车位里边画了个P
[29:41.370] 然后把车停稳了，小心点你完全确定，
[29:44.040] 不然到哪吹那个玩具。
[29:46.250] 但是这个功能话突然见能底层话还可以批评，
[29:50.080] 因为他对刹车片的磨损会比较大，
[29:53.350] 然后这个是自动启停踩刹车操作的一个机会，比如说着可以发展，而且
[29:59.490] 但是没有强制关闭，每次上车你得关一下。
[30:03.400] 然后他每次现在开车启动的还是默认亮起，都是默认启动。
[30:09.040] 这个是这块屏幕的一个开关，
[30:11.070] 然后这个是后边张脸的开关，那么后边我这来再看看怎么能不能
[30:16.770] 侧面的下面吵过了吗？侧面也是这么的爸爸了没？
[30:21.490] 就是后面两个波浪的控制，
[30:24.670] 就在这往上拉一下装那就开了。
[30:29.310] 那边也是一样的。
[30:32.000] 关的话就往下看就行。
[30:35.400] 比如说超出了我要关窗户了，
[30:37.970] 不是一个按键操作两个功能，对我原来开了一个什么开了一个车往下弄不就开窗户了吗？
[30:45.400] 开两次车升降的话比的后门控制不了，妈妈控制了。
[30:53.060] 后面不是有也是一样，我不人你这门上不有吗？车的椅子对。
[30:59.550] 你们那是6边的。
[31:01.710] 对，他能控制张脸的，后边有空装量的。
[31:07.080] 4个案件1个空张良的一控制，后边张脸的红两边的
[31:13.620] 4个念可以试一下就试出来了，对，然后这一排都是所有的灯光的控制，
[31:20.630] 左边阅读灯在这底下，右边阅读灯在这边，
[31:24.440] 然后这个是控制这排灯的，这是控制后边灯的，这是控制开门的时候灯亮不亮的，然后这两个是刚才给您开通一个梅赛德斯秘密的，轻易不要激动按出来了勒。
[31:36.010] 无所谓，你按一下之后如果你不想用的话，直接给他挂就行还行。
[31:42.210] 然后天窗跟张良就送了一个红，往后楼下先开张，
[31:47.890] 张连完全打开之后，
[31:50.560] 网上按时上翘，
[31:53.200] 往后楼市打开，
[31:56.360] 关的话往下按就关上了。
[31:59.050] 这两点是全都做好之后同样动作，
[32:04.040] 站一下张脸，不管他同步，
[32:06.770] 不能单独的
[32:10.720] 别的您看看哪方面还需要再了解一下，他有一个就300，像是什么情况他自己提供，但是我凭我看不是有个如果说不在这里，我想比如前面对吧，看不好我
[32:23.770] 手动操作一下。
[32:28.190] 这么条也行，比如有时候
[32:31.260] 高兴吗？没想来了。
[32:34.370] 来了你给我转发过来粘贴复制。
[32:37.080] 微信。
[32:47.830] 远
[32:49.120] 谁知
[32:58.910] 或者您这也行，
[33:00.450] 然后不是进来之后，
[33:03.630] 上下滑出各种图像，
[33:09.500] 的
[33:11.960] 新款，
[33:15.410] 要不
[33:17.120] 这么多的小花样。
[33:20.150] 然后别的
[33:22.780] 反正只是我觉得这个东西可能要时刻注意，别的都差不多的东西你开习惯了，
[33:30.150] 反正后期有什么不明白的随时问我们就行，待会我会把我电话跟微信都给您，行，咱回顾该签字咱把这签了。
[33:38.890] 别的倒直接让他给您做装饰了。
[33:41.980] 装饰我现在不是没有，
[33:43.980] 除了贴膜其他都可以。
[33:55.710] 可能老师只是颜色比远。
[33:59.000] 颜色
[34:02.080] 选
[34:04.080] 远远
[34:13.500] 什么
[34:16.480] 的。
[34:17.920] 数据、
[34:19.870] 车外边层车。
[34:27.920] 数据。
[34:30.070] 对
[34:31.310] 了。
[34:37.660] 完了直接回复。
[34:47.200] 您慢慢走，我先上班，等您去了。
[35:24.640] 场。
[35:29.800] 的
[35:36.790] 谁知
[35:41.820] 谁知
[35:45.290] 我现在出去我并不一样，还是看看咱这边做。
[35:51.880] 外边现在也一样。
[35:55.040] 说交易不知道，那没事吧。
[35:58.900] 第三，
[36:01.900] 消费基本上
[36:05.970] 三
[36:09.640] 的。
[36:10.540] 他说的。
[36:16.390] 您拿走也没有用对不对？
[36:21.690] 不会是吧？什么比如说别人拿
[36:25.640] 每个车上都有好像
[36:31.040] 好像数据量或者是什么，包括我觉得没人去拿您的东西，
[36:42.520] 数据、
[36:46.860] 528546。
[36:51.390] 签字谁签呢？
[36:54.270] 签的还是签，不是刚才您办手续时候签的时候谁签的？
[37:00.410] 车主他车主是您是吧？
[37:06.220] 您签。
[37:12.360] 的
[37:16.170] 的，
[37:19.840] 我把三包给您添了。
[37:24.010] 远场。
[37:29.420] 场
[37:30.890] 永远。
[37:33.370] 您那不是
[37:40.190] 美丽
[37:46.430] 数据
[37:52.870] 都一样，都是皮革的，是不是？谁知
[38:01.910] 现在没有批的，除非你私人定制，
[38:07.150] 那都是it go皮革。
[38:09.650] 但是整体数量版nothing。
[38:16.700] 带头珍品他带通风是真的，但是不是真批评是吧？
[38:22.850] 这要多少检测地方？
[38:24.840] 来。
[38:25.830] 垃圾现在车就是多贵的车，基本上像迈巴赫现在都不是真皮的。
[38:32.470] 他真。
[38:33.090] 只有定制，为什么？因为真皮的时间长了之后有止
[38:36.770] 很难打理，
[38:38.200] 容易毛容易三毛。
[38:40.300] 嗷真皮的始时间长了之后容易褪色什么的，所以现在没人使真皮的爱。
[38:46.070] 但是宝马现在不是他真皮拿条皮革都是P过的。
[38:52.520] 他对现在我这车我也可以跟您说是真皮，
[38:56.480] 明白吧？
[38:58.040] 这是您的一个小礼品，先登记一下您的信息，一会给您做一个简单的面粉。
[39:04.570] 鼠标。
[39:14.430] 的
[39:19.350] 的
[39:20.610] 的
[39:29.570] 因为现在对外
[39:32.780] 你买什么车，对外都是说真皮，你买宝马买奥迪他都是，但是现在
[39:38.810] 基本上没有。
[39:40.380] 还不，是因为环保，是因为我刚才不跟您说了真皮了，时间长了之后容易出，只这是第一第二东西褪色什么的。
[39:50.730] 客户在
[39:52.920] 谁知但是这个皮革不一定比皮的便宜，
[40:00.310] 给您做一个简单的灭法，问您几个小问题，全部都是1~5分评分标准，分就是满意，整体交车流程安排您满意吗？
[40:09.750] 他情报就是等时间在沙漏。
[40:12.580] 车辆功能讲解介绍还满意吗？
[40:15.670] 好的。
[40:16.640] 车辆的外观内饰情况您都看到了吗？
[40:19.470] 好的，将来如果你有亲朋好友在百分之车祸，你在想买车还会考虑我们店吗？
[40:25.460] 非常感谢您了，本次您是第一次在我们店买车吗？
[40:32.610] 您最终决定选择在这购车主要是什么原因？比如我们店的服务环境，地理位置，
[40:40.960] 方便是吧？
[40:43.060] 还有其他的吗？
[40:46.420] 比如说价格还是我觉得反正
[40:51.950] 都很。
[40:54.630] 你说的就是。
[40:55.790] 肯定在这买，因为他
[40:58.270] 对。
[40:59.730] 您平时有什么兴趣爱好吗？我帮您登记一下，打球、运动、看电影、旅游，坐下来休息一下，三包、移动，
[41:07.800] 包括在座
[41:10.720] 反正
[41:12.200] 咱们这边市场活动比较多，我帮您登记一下，将来有机会过来参加我们的活动，您是从事什么行业的方面？
[41:18.130] 一下等等科技就算科研方面对吧？
[41:24.650] 手机尾号6689是您的，
[41:28.240] 麻烦先生扫了二维码，您给销售留的是您的手机号，这是我们店内的回访电话，在您拍照或7天我们会给您打电话，问问您新车的一个使用情况，手续办理情况危险。
[41:39.850] 对，微信发就行。
[41:41.940] 买个车。
[41:43.120] 来加了不少微信，现在都是这样，而且还欠了不少字，不停的签字，还没场上。
[41:50.530] 我这个机器比较慢，比较懒了，点保存就行了是吧？个创建联系人先点保存，
[41:57.910] 创建新的联系人，然后右上角点和完成。
[42:01.360] 我们店的电话就存在您通讯录里边了，有市场我们一艘百得利就都出来了，我现在
[42:07.170] 什么意思？我可以了返回就行了，不用填名字什么都不用了，对你就找个碗就行了，冻死的都是。
[42:15.460] 所有的字都是女士您签的应该麻烦您再签几个字。
[42:19.970] 刚刚这分开发表，
[42:23.750] 然后还得拆两个，这是一份合同，公约在这儿签一个，在这签一个，就证明我们店没有强买强卖，没有强制消费，全部都是合法合规的，跟您当初订车的时候签那份一样。
[42:33.800] 这样。
[42:37.510] 现在厂家选择比较远迁
[42:42.310] 的
[42:43.350] 904300
[42:46.420] 220年7月9。
[42:49.120] 行，我这边就没有其他事了，您稍等一下了。
[42:57.990] 数据
[43:04.480] 来您帮我的亲戚。
[43:06.340] 签字
[43:07.930] 数据。
[43:20.040] 外观那是咱们看过，没问题的话您帮我签一下。
[43:27.010] 然后发票一共4连之间都已经开具了，保险给您出了钥匙一共200，
[43:32.410] 开走都会给您，三包已经填完了，包括新手册在车里边了，梅赛德斯me帮您开通了，
[43:38.120] 没有备胎，没有随车工具，三脚架在车里边没有机会给你放里边了。
[43:42.570] 鸡肉包在车里边，
[43:44.270] 然后拍是没有备胎的，说对，然后这不行。
[43:47.940] 因为。
[43:49.310] 救救救援。
[43:51.630] 救援。
[43:52.860] 免费救援的多长时间？三年。
[44:00.270] 还有钱。
[44:03.800] 这是什么东西？
[44:04.760] 刚才给你讲的功能使用吗？
[44:08.360] 谁知
[44:13.370] 然后这是三包的一个复印件，这是原件，车2020年7月9号给您开具正式发票，
[44:19.590] 从今天开始车三年不限公里数质保原件给您，复印件这帮我牵线。
[44:25.350] 树脂的对。
[44:29.200] 除了易损件。
[44:35.800] 然后现在加灰加我微信，后期两
[44:43.600] 对
[44:47.450] 新朋友。
[44:50.320] 您找我了，
[44:51.920] 我说你。
[45:03.630] 我给您发一个我的名字。
[45:05.490] 您发我把我电话微信都给您发过来。
[45:11.080] 对
[45:16.420] 我把我电话发给您。
[45:19.280] 没事，您那什么您给我发，我您有问题说您直接告诉我什么车就行，我这里边人太多。
[45:25.810] 行，我里边1000。
[45:28.570] 主持是吧？
[45:31.130] 里边现在1000多人，这俩手机一个手机里面1000多。
[45:35.670] 不是。
[45:37.490] 你们这个车其实人员是不是傻？
[45:40.890] 我们三
[45:43.740] 三个你就给我2000。
[45:46.930] 36,000一一我们一个月交最少300台车您算。
[45:52.510] 我给
[45:54.840] 给他们三包给客户，谢谢您。
[45:59.610] 这个是给我的。
[46:02.850] 这个东西。
[46:03.670] 给我们。
[46:05.510] 对，后期不明白咱随时沟通的不行，您
[46:09.850] 没有车不开走，然后咱们售后同事给您做一下售后交接，然后您完事之后您可以走。
[46:16.410] 我这边是咱交车的最后一个流程，给您讲一下咱们车的保养，保持服务内容价格需要注意的一个吻。
[46:22.930] 然后后期的话大概过7天会给您打一电话回访，问您问题跟今天差不多，
[46:29.900] 您觉得如果都还可以的话，您给我们打个满分，要不然他真扣钱。
[46:34.410] 对。
[46:35.770] 是真可是真扣。
[46:38.090] 是谁哥不是哥，也是公司过往。
[46:41.040] 谁知
[46:42.120] 我看看他这个一下包注意听。
