[00:00.000] 20年7月14号车上有客户交车录音，
[06:08.680] 也不用磨合，这不能磨合的，对什么都没有吗？
[06:12.840] 现在车基本上都是冷磨合了，除了
[06:16.180] 一些国产货日本车，
[06:21.570] 它主要1500公里也是，
[06:23.520] 就让那些电脑就没有G芯片磨砂那个人磨砂黑是怎么显得摸着手机的两个道德真不少，非常。
[06:30.630] 他摩卡黑，您看阳光照向灰色的，我跟他们看着黑也差不多。
[06:35.920] 这个就是什么？
[06:37.180] 在黑地的时候看着就是黑的，但是要给您开的纯阳光的地方是灰的。
[06:42.180] 对的，发挥
[06:44.470] 反
[06:45.420] 反倒好太对，就有点渐变色那种感觉。
[06:50.600] 反正这比他们那450稍微强一点。
[06:53.290] 做三四万块钱。
[06:55.880] 短点，
[06:58.020] 后排也没有什么娱乐，有娱乐，但是没有老板做什么。
[07:03.120] 行，咱进屋给您弄。
[07:20.800] 行。
[07:22.590] 咱这边走。
[07:26.800] 数据
[07:32.730] 数据
[07:41.400] 场
[07:45.810] 场
[07:49.920] 场
[07:51.090] 场
[07:52.000] 数据
[07:55.180] 数据
[08:00.190] 的
[08:02.480] 了。
[08:12.780] 32。
[08:18.200] 说一下你手机号，13213264364388356。
[08:24.490] 车加号。
[08:29.930] 快
[08:31.570] 场
[08:32.870] 场
[08:35.930] 数据。
[08:37.880] 565
[08:41.110] 见到这么整场，
[08:46.510] 数据。
[08:49.490] 的
[08:50.960] 数据
[08:54.360] 数据
[08:55.100] 数据、
[08:57.670] 数据、
[08:59.180] 数据、
[09:03.400] 数据、
[09:06.370] 花
[09:09.260] 场、
[09:10.600] 场
[09:14.660] 数据。
[09:17.400] 数据。
[09:24.470] 五
[09:27.980] 数据
[09:36.030] 还有
[09:37.690] 的
[09:41.500] 数据
[09:45.120] 场、
[09:49.070] 场、
[09:52.800] 数据
[09:55.420] 数据
[09:57.840] 坏数据坏
[10:02.010] 场
[10:02.700] 坏
[10:04.370] 数据。
[10:08.840] 刚才
[10:11.340] 坏，
[10:17.580] 北京
[10:19.360] 信息。
[10:21.590] 对。
[10:22.330] 正在给您操作。
[10:26.930] 完成。
[10:39.370] 把。
[10:42.960] 场。
[10:44.220] 五五。
[10:46.270] 了。
[10:52.560] 数据、
[11:00.080] 远
[11:02.290] 数据
[11:12.160] 数据、
[11:14.370] 数据。
[11:15.540] 数据
[11:17.700] 场。
[11:18.730] 数据
[11:20.730] 场。
[11:24.950] 您这样拿着身份证的照片，
[11:30.370] 别挡字那字打上面的字好了。
[11:35.780] 好了，是不是？您说好我这边用完了。
[11:46.260] 手续在现场理由拿走，
[11:52.820] 我今天完事了。
[11:58.320] 五
[12:01.250] 五。
[12:03.460] 5645. 
[12:05.350] 五
[12:09.300] 场
[12:10.810] 数据
[12:13.720] 场。
[12:20.710] 数据、
[12:22.960] 数据、
[12:29.640] 看一眼给您手机发了一个激活码。
[12:40.840] 62190。
[12:42.180] 7点
[12:42.790] 621907好勒。
[12:48.140] 这软件您下软件。
[12:51.080] 不下。
[12:54.660] 对。
[13:00.890] 近500。
[13:03.220] 900。
[13:04.510] 记住她。
[13:06.470] 排气管还是侧面对，还是侧面？
[13:10.440] 是这样。
[13:12.490] 达到不了。
[13:13.470] 对记录三就是mg还是旁边还是旁边那双出。
[13:19.950] 养水、
[13:23.880] 场、
[13:35.130] 场
[13:36.040] 手
[13:37.730] 场。
[13:39.490] 场
[13:44.780] 数据
[13:47.060] 数据、
[13:52.910] 场
[13:53.890] 数据
[13:55.230] 数据
[13:57.870] 的
[14:05.700] 现在季少卖一辆少一辆了，
[14:09.290] 过段时间就2.0T了，
[14:11.520] 多少量？
[14:12.800] 买了马上就2.0T了，
[14:16.780] 小马了，
[14:19.040] 现在还是4点4203008方，
[14:23.070] 过段时间那就没了，
[14:26.080] 那就不叫大了。
[14:29.000] 叫系不叫就叫G35
[14:33.370] 三三百，谁知
[14:35.660] 应该还
[14:37.090] 买房不就买三把刷子，对，但是
[14:40.950] 好多是330所他用不上。
[14:47.450] 现在还大记得。
[14:49.120] 80%，对。
[14:51.730] 反正现在把大家绑在听。
[14:54.010] 我跟你说他要真是20T的买人物也不少，
[14:59.800] 从外观你也看出来，市场那么大，
[15:02.720] 793加上消费税加上压的钱，我估计有300了，
[15:07.780] 不是350。
[15:10.140] 对三百六七八天那样，今天的万
[15:15.340] 你说前天我去买我买2000元财会，
[15:18.630] 他花多钱吗？换其他的花了340。
[15:21.400] 对。
[15:22.730] 谁知
[15:25.230] 内向本人
[15:28.710] 对，不是那个公布吗？就是危先生本人。
[15:32.300] 然后看着办
[15:38.390] 的。
[15:39.440] 您好，卫星久等了，我是不服的，是给您申请购买三小雨，一个带着咱们不要喊，主要是跟您说一下回访，
[15:46.690] 课题走以后店里会打回访电话，到时候您接听一下咱们电话，配合一下回访就行，然后厂家也会打，但是他是搜查性的冲动了。
[15:55.210] 评了满分，保留通话记录进行截屏了一下就可以，明白，只要买车您关注一下咱们这个电话，问一下打回访的
[16:05.470] 微信。
[16:06.590] 对，微信扫一扫就行，块姐就行了。
[16:09.560] 你点保存。
[16:10.910] 直接创建联系人点完成就可以了。
[16:13.990] 关注一下咱们的公众号经常组织活动的
[16:18.790] 参与吗？
[16:20.690] 我都没用。
[16:21.970] 对，这个是组织活动的。
[16:28.680] 售后是谁的？
[16:29.960] 待会有售后同事给您做一下售后交接。
[16:34.710] 咱们行业爱好方便留吗？
[16:37.230] 服装行业是吧？
[16:38.950] 你现在不干服装，
[16:40.560] 批发市场都是
[16:41.640] 北京强子给我清除了。
[16:44.080] 还留吗先生？
[16:46.490] 行。
[16:47.180] 您配合签两字。
[16:50.120] 客户签字，用您本人的名字，如果对您的销售都非常满意，在评价也OK。
[17:00.190] 你这次买车咱是朋友家人或者介绍过来，他说旧车做置换，
[17:05.410] 第一次来咱们店什么行，
[17:08.790] 客户签字，签上签您的名字，然后空白处签您本人的名字，这是咱们服务公约，绝不捆绑销售强制消费的公约。
[17:20.760] 行好勒，感谢您的配合。
[17:23.270] 行，到时候回访接听一下，你看看。
[17:27.910] 不能辞。
[17:29.770] 咋这么多东西，那是他的功力还没这么个东西。
[17:33.240] 什么东西毕竟她没什么商品手续，手续特别多是吧？
[17:39.490] 主要是我们店这不是属于集团的，它属于集团制，所以他手续要的特别多，你看就我签这个
[17:47.190] 这俩是一个东西。
[17:48.800] 这个部门要目标，所以我们签这么一堆，
[17:59.030] 他的手续走的比较多，比较正规一点，所以东西特别多。
[18:03.390] 大技改的话，有时候我们俩就没法开了，
[18:09.560] 你家里把它放上去嘲笑多道工序它也没用。
[18:13.850] 这怎么说就跟现在牧马人现在都36签不也都改20D了吗？那就没办法。
[18:20.670] 传不完那啥。
[18:22.150] 路虎卫士也是20D现在都这么改的，没法稍等一下我去付一下三包，然后到这我们售后同事帮您做售楼，好好。
[18:32.780] 我这块非常的
[18:34.590] 简单，说一下奔驰最新的车的一个政策就行了。
[18:38.800] 目前来说迈巴赫车主现在享受一个会员升级礼的服务，您原有的质保期也不是3年吗？现在卖8克车主您可以提新车的时候去做一个升级，
[18:48.620] 3年，然后增加2年变成5年，质保期延长的服务一直手续费说实话都挺高的，
[18:55.330] 对吧？但是现在针对S级别的车主，奔驰会给到您一个补贴，
[18:59.830] 补贴补下来之后，您自己承担的费用就是16,800，我告诉您您这个钱是干嘛使，就是5年内您这车出现维修的话，您直接回来奔驰走索赔就完事了。
[19:11.170] 外观上的磨损走保险里边的就是回来走保修，所以说您就确认您这车不会一两年两三年咱就换车，
[19:19.600] 咱要不换，其实我就建议您可以去做这么一个延长，会比较合算。
[19:24.280] 然后您就考虑告诉我您的补贴用于不用就行。
[19:29.290] 还是不考虑是吧？
[19:31.240] 还是不考虑。
[19:33.290] 您平均你们的车是用车周期有什么计划吗？
[19:38.150] 没准。
[19:39.330] 但是你迈巴赫我实话跟您说，我现在出去的迈巴赫都是5年质保，
[19:43.660] 您别一两年两三年换车挺亏的，
[19:47.250] 我这个东西不太大了。
[19:51.040] 你是售后是吧？对后期的保养保修您这边就到，我要把我
[19:57.110] 我要把我
[19:58.680] 我现在有两辆大，既然还是没少，加上这两
[20:03.910] 用户在您的
[20:06.080] 做保养乱七八糟的维修有能签个什么东西，
[20:11.320] 签东西，比如说觉得我能享受什么优惠，享受优惠，您直接到售后的话，您可以去办理保养套餐，
[20:19.860] 要吃对保养套餐还挺
[20:23.190] 合适的。
[20:24.210] 保修的话您就直接扣除。
[20:27.850] 所以如果说您要不换车，其实最省钱的模式就是给您做一个中间1万多块钱，您换一个开关，您这三天都出来了。
[20:36.610] 先生您帮我签几个字。
[20:39.240] 跟您说一下，这是咱们三包的一个复印件，这个是原件，咱们车2020年7月14号，
[20:46.760] 今天给您开具正式发票，从今天开始车三年不限公里数了一个质保，
[20:52.160] 原件给您，复印件您帮我签个字就可以了
[20:57.430] 了。
[21:01.830] 好了，然后您帮我签一下。
[21:09.660] 地铁正好一个签字。
[21:17.170] 前天
[21:18.550] 现在新车都三年了。
[21:20.740] 对，都是三年不见，咱家奔驰都是三年。
[21:25.250] 行，然后您教我微信还是留个电话，您？
[21:29.780] 给我电话行好勒，1326
[21:32.880] 0
[21:35.600] 三
[21:38.130] 332。
[21:39.520] 1180。
[21:42.190] 我姓田，田镇。
[21:44.350] 您好。
[21:45.480] 对，然后后期不明白什么的，您随时问我就行行。
[21:50.880] 然后您愿意加我的话，这也是我微信号。
[21:56.010] 电车是王燕车不是验车的话，他到时候会给您发一个信息，里边有到那之后他得先去比您去要早，他先去给您办手续去，
[22:08.410] 到那之后你直接找他，然后您在外边等着，让他验证见过外观就可以回来了。
[22:13.710] 行，您稍微歇会儿，我去把车中式的给您做一下，去把卖。
[22:19.250] 靠窗户您说。
[22:22.050] 头枕什么的是吧？和脚底那店都让他给您绑上。
[22:27.960] 行没问题。
[22:31.470] 行，您稍微歇会儿，我去给您弄，你弄完之后到那个情况有会给你打电话。
[22:44.710] 越贴膜也是他约。
[22:46.420] 是这样，贴膜的话您验完。
