[00:01.780] 刘女士。
[10:51.000] 我觉得挺适合家用的，因为它主打的就是安全和环保，因为毕竟长期开车坐在车里，
[10:57.470] 车里的话我觉得价格方面还是比较重要的。
[11:00.640] 网上都有数据您都可以看看。
[11:03.580] 我选
[11:05.560] 加电池差不多，睡觉差不多，
[11:08.630] 都是T4的情况下，
[11:11.400] 因为这款指导价是30万，
[11:13.870] 2900，如果T4的话，这还算388可以下载差不多。
[11:20.350] 这边是吧？
[11:22.320] 听着没？
[11:27.050] 没事，然后我给您算的就是说目前的价格，如果你要是买的话，在这个价格上会有一个比较大的
[11:34.030] 其实你很有可能你们有什么矛盾，对没？
[11:38.240] 差不多我没说。
[11:41.430] 没事你看看反正有电话或者你打电话就行了，行，然后我把我车号就行，说吃饭他为什么还有个V那不是V是吗？好的。
[11:50.800] 可能有的是外地牌，就把经理换了别的东西了。
[11:54.520] 行行好，拜拜慢走。
[12:00.600] 走吧。
[12:01.520] 园内规划没了，
[12:05.520] 要这么做能不能持续走了，然后
[12:08.390] 就电话
[12:09.210] 也来提高。
[12:17.160] 在
[12:19.330] 考虑什么？
