[00:00.000] 左转或者U比如说等车跑起来或者转弯的时候，
[14:42.350] 关系不好看，
[14:43.890] 把它拆拆掉，如果说这条冰箱没准还得换条，
[14:49.950] 这样反正不仔细看看不出来。
[14:58.770] 大多数进水
[15:06.630] 这里边还有水。
[15:08.540] 那是水从哪进来？
[15:13.070] 我也不知道。
[15:16.010] 当时给我弄一条水，最少得水弄起来了，
[15:19.010] 哥哥跑了会不会跑遍了管管了？
[15:34.810] 应该没有。
[15:42.960] 里边放咱看不见。
[15:45.550] 这里边的缝我看不见，是不是从里边
[15:49.430] 看。
[15:51.640] 这边没事儿。
[16:00.970] 弄一下。
[16:02.060] 这个弄一下。
[16:12.120] 您范围地方，但是我看有
[16:14.360] 科的一个小环节之前修过吗？没修过。
[16:21.060] 大同和净水没招主动化解。
[16:25.170] 就只能换了，只要灯一进水就没招了。
[16:29.520] 我估计因为你看外观现在看着没事，
[16:32.640] 现在在西服里面，因为下雨的它哗哗它里边不是还有个斜面的吗？
[16:37.360] 看前面有没有是吧，这东西就舒服好了。
[16:40.590] 因为他但凡有一点缝，他都会往里
[16:44.120] 千瓦头也间隔灯进水。
[16:48.250] 国际健康大宗有事，我看大门还
[16:57.630] 大灯倒没事儿，
[17:03.920] 大通道没事儿。
[17:08.760] 反正这个东西你要自己
[17:10.980] 花钱那就不知道。
[17:12.460] 是。
[17:13.790] 而且这就不应该是我这都是缘原件都也没动过你钱你出保修了我看一下。
[17:23.430] 今年正好是第6年应该
[17:28.100] 一今年正好第六应该已经出保修了没有？
[17:32.250] 报修了，那就只能做保险。
[17:39.220] 只能走走就把
[17:41.500] 撞一下课一下。
[17:43.640] 那张克莎也不晚，你把正在嗑了，你
[17:49.450] 这N个计划活动，你要是自己换个灯的话也得
[17:52.680] 打1000大几千。
[17:55.050] 那也不高，这里步行201LED好。
[18:01.520] 你只能你要这么里边有水的话，
[18:04.080] 你要这样的话倒没事儿，就害怕这样你看着吧。
[18:08.900] 他现在里边已经开始有水了，
[18:11.200] 就害怕水域来一段里边，
[18:13.430] 只要一短路，你再把别的地杀了，模块烧了就更麻烦了，确实水从哪进去了？
[18:19.740] 关键
[18:22.350] 肯定大部分大豆密密封不
[18:24.650] 肯定是密封不严了导致的。
[18:27.410] 刚才我也没发现，我刚一撞到我看着有点水务，我再一看看着有水了，
[18:35.990] 这伞回
[18:38.140] 灯里进水我还可以出去，有的大洞还进水，
[18:41.810] 有的车大灯也进水，
[18:45.160] 有时候他碰过，
[18:46.890] 或者
[18:49.720] 现在他顺着往下淋了，
[18:52.530] 我现在就是一一一一锹地顺着纹理，
[18:55.950] 不能水蒸气就直接流到底下，基层水库这不能修吗？大灯修不了，只能发新开了，把水给放
[19:03.950] 了，装不上
[19:05.400] 就装不上了。
[19:07.150] 她噔来一起来，我这非常顶层，他我就说把拆下来，
[19:11.760] 他有近的话就应该有能出来的地方。
[19:15.980] 他是ft的先生LE你现在这里边跟之前灯泡不一样，东方之前灯泡的话，
[19:22.550] 直接把它一拿下来看看水一空就行了，现在里边就一插头啪往上一插，没事。
[19:28.420] 对，我就说
[19:30.650] 找了他近水的地方。
[19:32.970] 你现在倒进水只能拆，
[19:35.060] 拆弹拆完之后还得换，你们散修不了这东西。
[19:38.950] 修不了这东西，但是你说因为我在坑一下走保险碰它一下，这玩意太不值了。
[19:45.050] 本来我这车
[19:46.120] 没伤，这是我看到一斤基本上没什么伤吗？
[19:51.110] 但是这东西你要自己花钱修的话，大几千，你何必
[19:55.500] 你一年走一走走一次方向的话，明年上保费能上浮多少钱？
[20:00.090] 上浮不了多少钱？
[20:02.210] 上5000百万，
[20:06.930] 不会上坡打折，折扣率没那么高了。
[20:10.400] 所以一般不出现的话应该基本上就是六几折对吧？
[20:13.600] 出具裁减7应该是七几折，优惠率没那么高了，他也不可能给你涨钱，但是你要现在
[20:19.630] 要自己换的话。
[20:21.260] 好。
[20:22.330] 换换一趟。
[20:25.600] 我单这个灯我走走这种情况下它不给保险吗？
[20:31.050] 走不了。
[20:33.150] 因为你没有收回去，你有没有上那什么显卡？
[20:37.010] 找不着对方第三方。
[20:42.050] 好，下面
[20:42.830] 我就算车身的就算车保险是咱们是从这上对。
[20:49.210] 这块
[20:50.970] 一会用手带你过去看看，如果你要上什么找不到第三方险的话，
[20:55.260] 你如果上想那就不用转了，直接把这用砖什么的啪一敲，直接
[21:03.100] 走慢了一点，
[21:05.320] 没什么那种小傻子怪了吧唧响，因为找不到第三方没有。
[21:10.510] 好像没有，我好像没上这东西。
[21:13.960] 好像没有，应该几十块钱一年几十块钱，五55六十我记得是。
[21:20.370] 你要没上去只能走车子，走车怎么办？你就只能找劲刮一下蹭一下，
[21:28.810] 给他打个孔给他，
[21:30.780] 你打一孔打孔，你要在洗车什么的，你还得往里进。
[21:35.420] 你贴不？
[21:37.080] 这些东西只要一大空头，尤其交代你看有时候那灯裂了，贴个胶带什么再怎么贴，他只要一下雨它该往街上去往还往里，
[21:45.770] 你水的话是无孔不入不入的，对不对？
[21:50.230] 在那交代的那交的话一碰水它立马就不沾了，
[21:55.670] 这一个灯多少钱？
[21:57.110] 灯花都积在四五千四五千，估计得四五千，
[22:01.280] 大灯更为大众的1万多了。
[22:07.780] 所以说还是走保险合适。
[22:12.510] 礼拜行吗？车里没有拿东西了吧？
[22:17.310] 这样待会
[22:18.360] 你这抱歉说让我还不
[22:21.880] 事实上煮饭用的给你看看。
[22:23.940] 行。
[22:25.710] 看看你没有上你想的话你也得那什么。
[22:34.180] 带你过去看好看有没有上那些
[22:36.870] 你要上那讲的话，
[22:40.030] 一会儿咱过去看看，如果你要上了险的话，你一会再上个
[22:45.040] 你明年优惠的钱就直接给你回来了。
[22:49.610] 什么这就是大夫来讲，你修一回的话将近2500。
[23:17.710] 二
[23:19.090] 三
[23:20.280] 远
[23:22.210] 场
[23:23.760] 的。
[23:35.100] 场
[23:37.400] 开车
[23:39.170] 往往
[23:42.080] 三年保修，
[23:48.230] 数据。
[23:53.890] 句
[23:55.960] 的。
[24:04.450] 场。
[24:16.800] 的
[24:22.930] 了
[24:29.950] 结果
[24:32.870] 最近
[24:34.090] 的
[24:36.660] 花、
[24:46.530] 数据。
[24:57.940] 的
[25:06.180] 的
[25:09.560] 说
[25:13.410] 场、
[25:20.860] 场
[25:22.080] 场
[25:24.880] 五
[25:32.590] 场
[25:34.430] 场
[25:37.000] 的
[26:00.960] 之前我看你把我当作现在往往有一个套餐有优惠，
[26:06.580] 当时做还是
[26:09.750] 套餐的话，它现在是两两个be形成一个套餐，
[26:14.100] 今年
[26:15.650] 用一回还有三回，
[26:17.620] 这次用一块块I也是这样，老姐
[26:22.400] 那种痛了都可以买保险送您的，对。
[26:26.120] 我给你查一下。
[26:30.510] 买。
[26:32.780] 查一下数据，
[26:35.800] 数据。
[26:40.450] 数据
[26:42.490] 的
[26:46.200] 好吧，因为开始7了，然后拿
[26:56.040] 你了没事。
[26:58.840] 那个地方要是关键要把这个灯给弄坏了，杠就是这样碰撞我用了。
[27:08.390] 对没查到信息，您这一会还得到朋友那边问一下去。
[27:14.190] FL039363，我没查到信息，没查到它送您一个保养，您还得找他去，这是买保险送
[27:23.010] 还是什么？还是你早上您说我来做保养不送？
[27:29.860] 我忘了，我手上有东西，那东西没带，因为今天不结账我没带，那关键是我得知道。
[27:39.160] 二
[27:40.770] 上午差不多。
[27:44.960] 没有，我这什么也查不到。
[27:55.690] 那边查不到你的车，
[27:57.480] 拧出我租房自然来醒来保养弄车的时候，
[28:02.280] 对21
[28:06.670] 上一次法院
[28:08.450] 数据
[28:11.200] 场。
[28:12.440] 场
[28:16.470] 的。
[28:18.100] 场。
[28:21.640] 场
[28:24.800] 场
[28:26.770] 场
[28:30.220] 场
[28:37.800] 数据
[28:39.850] 数据。
[28:41.730] 查不到您看这东西。
[28:46.930] 而且
[28:49.730] 那个不是结账时采用的，是结账的时候再用，对。
[28:54.220] 我就没带行。
[28:56.800] 要。
[29:20.430] A宝的话他送的应该只是机油和机油滤芯，
[29:23.690] 别的东西还得别的，包含不包含别的他们。
[29:30.870] 对。
[29:38.040] 包括什么A把他送的里边只包含机油和机油滤芯，
[29:43.750] 机油没送，你回头你看看所以说我的意思就先问问，你看到底什么东西咱说清楚，别回头到时候做完了，
[29:56.010] 您再拿来这A把你们都包含了，
[29:58.680] 官员得到干嘛到场即的跳板什么这样写，我画完之后你就从这里掉，对我跟你说明，对别回头对那种我按照它上面一般法一办法只把文具盒九里山
[30:14.330] 仔细看看都是应该，如果说上保险算出来，我这是这样子，
[30:20.040] 他就是学生
[30:21.580] 基础的基础保养一次对吧？
[30:24.330] 数据
[30:26.720] 场
[30:30.060] 数据
[30:31.490] 的
[30:36.120] 上次的话应该是传统皮带没给您做。
[30:39.280] 忘了，反正
[30:43.860] 我说等下次
[30:48.160] 数据
[30:56.250] 数据
[30:58.340] 数据
[31:02.600] 场、
[31:03.600] 数据
[31:10.210] 数据。
[31:16.520] 的
[31:17.660] 号
[31:20.580] 的。
[31:28.300] 五
[31:43.600] 的
[31:45.320] 0，
[31:47.040] 谁知
[31:50.630] 谁知
[32:00.380] 谁知
[32:04.180] 的
[32:10.550] 的
[32:49.550] 目前欢迎
[33:37.650] 放心大家
[33:39.220] 远远
[33:50.870] 数据、
[33:52.400] 数据
[33:53.380] 远
[33:54.260] 的。
[34:02.890] 一个变速箱油也没错。
[34:17.450] 空调现在开始没没有。
[34:19.850] 因为律师我看还是一般的5月份换的好长时间没
[34:26.600] 坏
[34:31.490] 二
[34:32.490] 二
[34:34.630] 的。
[34:46.610] 的
[34:56.210] 五
[34:57.120] 的。
[35:09.850] A郭教授您好。
[35:15.040] 二
[35:25.200] 对，一有一张把我卡会给到您那卡里边都有对。
[35:29.560] 对，如果说这卡丢了也无所谓，别人也使不了，就是说我们来了之后得核对车架号，只要这车子
[35:37.200] 别人就捡了之后，男的他也吃不了。
[35:43.570] 对，我发票和发票明细和卡都给您装个信封里，回头让师傅一块给您。
[35:53.460] OK没问题得勒。
[35:59.760] 好好拜拜。
[36:03.000] OK好的没问题，好拜拜。
[36:09.290] 远
[36:11.710] 场
[36:13.330] 花
[36:25.170] 场
[36:29.970] 的
[36:33.110] 的
[36:37.370] 五
[36:42.070] 数据。
[36:55.970] 的
[37:01.000] 谁知轻
[37:05.920] 光华策划了什么的？
[37:08.720] 变成油松机场。
[37:11.860] 谁知
[37:16.640] 上对不止一样，
[37:22.350] 皮带谁知
[37:25.450] 标准由发动机的
[37:30.640] 数据
[37:36.500] 的。
[37:37.640] 你上次帮我记录我这都能查到，对。
[37:43.050] 我把该做的项目都给您列出来了。
[37:46.360] 因为6万公里不是大宝。
[37:48.580] 等着上次大宝没错。
[37:51.130] 做了没做完，对没作权没做全对。
[37:58.250] 等于就把火灾刹车油和变和那个行业。
[38:01.940] 对。
[38:06.870] 3月
[38:11.560] 的
[38:14.220] 坏。
[38:26.320] 远远
[38:29.270] 场。
[38:39.010] 没事，还
[38:46.090] 场
[38:47.910] 的
[38:50.730] 数据。
[38:57.250] 因为基本RNN
[39:03.070] 我一会。找你了。
[39:13.260] 数据。
[39:17.660] 花。
[39:27.760] 数据
[39:29.100] 场
[39:30.190] 坏、
[39:31.720] 坏
[39:33.860] 场
[39:36.950] 的。
[39:38.570] 场。
[39:43.170] 场
[39:44.840] 句
[39:49.660] 五
[39:51.680] 的。
[39:59.360] 数据。
[40:05.640] 6133句话6A3
[40:17.790] 要
[40:36.510] 远场
[40:39.670] 场
[40:44.140] 的。
[40:52.310] 三
[40:55.340] 场。
[40:57.560] 一
[41:03.010] 场
[41:08.540] 的
[41:27.110] 场
[41:33.270] 五
[41:34.270] 的。
[41:36.890] 的
[41:49.410] 我现在只能先把费用先给您算了，因为那个劲儿不是还没给我的吗？
[41:54.990] 对吧？把A宝贝上的话，项目我简单跟您说一下，有一个基础的A榜，
[42:00.550] 然后还有一个变速箱油，再就是亲下放学鸡蛋节气门进到朋友嘴和粮食和三元催化的鸡蛋，
[42:07.480] 还有一个机舱里边先后养护和一个底盘悬挂用户在一个轨道的润滑家排水槽疏通，
[42:14.590] 然后还有一个
[42:16.710] 换化油器清洗剂，就是因为换变速箱油，他就把油底壳摘下来，把上面的油迹全给你清了，
[42:22.490] 这些费用全下来是8341，
[42:26.180] 然后如果A宝就是您给我的话，还能再减一个将近1000块钱左右，7408。
[42:33.640] 然后换减震器不是召回的吗？换减震器是免费的，还有一个
[42:38.430] 升级的话，
[42:43.190] 一个动力总成的控制单元就是一个房基一个电脑做一个软件更
[42:48.090] 别的就是一个全职检测。
[42:51.320] 皮带让他给您查一下，看到底有没有事，如果没事的话，现在还可以再跑，下次保养再看看。
[43:00.690] 今儿就不取了。
[43:02.750] 礼拜一去
[43:03.920] 或二礼拜二去，唯一性，对潍县青我这块的话反正也得到明天下午了。
[43:10.950] 这是最快的，反正周日肯定问题不大，如果是周日要没时间，那就礼拜二。
[43:16.080] 我把单子打出来，您帮我签个字换完了，旧件还要保留吗？签证？
[43:20.140] 一些滤芯的什么的。
[43:24.800] 曲生您那个单子您带千万别忘了，对。
[43:29.460] 单子将近一周年的对。
[43:37.450] 先生
[43:41.200] 数据
[43:44.780] 折现在
[43:54.710] 当
[43:58.350] 都是有折扣率。
[44:02.720] 我让您看一下您就明白了。
[44:06.460] 话
[44:10.540] 数据
[44:16.510] 坏
[44:29.170] 花
[44:30.700] 的。
[44:34.280] 的
[44:44.030] 12
[44:48.250] 的
[44:50.160] 的
[45:04.300] 这单子给您的，咱就拿个简单的例子来说，
[45:08.600] 就说变速箱油
[45:10.440] 131这不是2874，您看看
[45:18.190] 的
[45:19.840] 还
[45:20.650] 的
[45:25.760] 这么一看您就明白。
[45:38.350] 3525。
[45:40.680] 明白了。
[45:45.030] 来宁波吗？
[45:47.390] 原价3525，打完折是2000
[45:49.910] 874，
[45:52.020] 整个现在北京市价格都统一的，
[45:54.330] 现在都打折，你看包括刹车油，
[45:56.610] 划开空调滤芯，
[45:58.230] 都是有折扣率的。
[45:59.680] 而且这都是打工者以后的。
[46:01.560] 好的，我等你到保险那边，您看看有没有？
[46:09.400] 肯定没上，我没记得上面那你这个钱要不要？
[46:13.720] 上一下这啥我没看懂，这个东西您看着看差不多了，看着
[46:19.040] 你那个灯如果要修的话，你上这个险的话就一年1490就交1500块钱，你知道休息灯的时候他就发了2500，
[46:29.150] 然后如果说
[46:32.200] 你如果不刮风，别人把你管了，你过来这修车也反映2500一年最多给你两回，
[46:39.080] 电话。
[46:39.760] 他就是这意思。
[46:42.690] 你相当于你把车扔的时候给你个
[46:45.660] 给你个打车费下的那种。
[46:48.400] 不，我现在去交1500，对，然后上险这对这个险你只要修车的时候必须15天以后，
[46:58.150] 那灯的话他就排给你2500。
[47:00.620] 说实话当时你拿你名下的，你看看他到底就修完车就打到你卡里了，
[47:06.370] 就是这意思。
[47:08.660] 如果说要不休，
[47:11.680] 那就这么了，我们待会再说，我先找个人把更给他给
[47:18.760] 打个。
[47:20.820] 那也行，回给放了那也行，说你给他打个孔的话，你不能坏蛋。
[47:27.290] 这样好呢。
[47:28.240] 我分几年，第一而还是你的意思把灯拆下来是吗？
[47:33.760] 这鞋的那么其实用特别系里钻来钻洞，但一张弘闹你以后你还洗车吗？
[47:40.310] 你要听说你洗车都是必须要的，身体更好了，对。
[47:46.630] 行了先生，我这边手续都已经办好了，
[47:51.070] 简称G免费的，然后还有A宝A把回头你把卷给
[47:56.540] 再就是
[47:58.760] 人升级就这几项
[48:01.200] 等
[48:08.390] 吃过午饭了吗你？
[48:24.470] 车里面我要拿东西了，
[48:27.870] 你要没有的话，我就把车子给送车站去了。
[48:32.020] 知道不能听听油油的油泥什么的，因为他把泥石摘下来之后可能弄
[48:39.390] 油底壳拿拳头油吗？把里边的
[48:42.640] 原先游戏壳里边的油听完之后把这些渣滓给他清完，听一下。
[49:01.270] 的
[49:02.020] 的
[49:12.340] 的
[49:18.060] 的
[49:19.000] 督办两个全部减轻气势，这是免费的。
[49:25.790] 是这样，后面有钱，但是他是免费的。
[49:28.500] 这不收您钱的。
[49:36.800] 您算一下。
[49:51.470] 我告诉你哪个是免费的，收费的项目从收费的项目开始算，
[50:06.560] 大概
[50:08.440] 的
[50:10.650] 1000，
[50:13.010] 然后数据
[50:18.050] 4000万。
[50:20.360] 5000 5600。
[50:22.890] 七千五六千
[50:26.040] 1500。
[50:35.570] 鉴定
[50:37.880] 560。
[50:42.300] 计算机算一下大概数据。
[50:52.870] 的
[51:00.120] 根本利益
[51:01.380] 3万平米。
[51:03.820] 480。
[51:05.990] 1720。
[51:07.320] 123了。
[51:09.180] 基本一个亿。
[51:11.590] 3.8。
[51:15.190] 整个白天7300 500
[51:19.400] 加200
[51:21.240] 35好友，
[51:23.370] 崂山8330这边对吧？那么就没了。
[51:30.430] 这不算，这里面包含着这个是免费的。
[51:34.400] 免费，对，这些都是免费的免费
[51:39.320] 产品。
[51:44.750] 前面这个都对，这一共我刚才不跟你说了吗，费用一共是
[51:50.730] 小的时候我已经
[51:54.430] 的
[51:56.520] 电话，然后你们效果道理。
[52:00.240] 算了费用一共是8341。
[52:05.550] 8340亿，然后如果说您把A宝给我的话，一共是七千四百零七千四百零八对吧？
[52:11.310] 三天一共8000 8340亿，
[52:15.680] 这样不就清楚了对吧？
[52:18.240] 9000多上面他是把保修的什么全都算出来。
[52:33.510] 的。
[52:35.750] 行了，我这完事了，回头有事咱打电话好吧？
[52:38.880] 好了已经。
[52:44.510] 礼拜二十一我这快我慢的情况下，我这礼拜天怎么就差不多了，慢的情况下，
[52:53.190] 因为这点活的话，一个人两个是不是要一起干的话，我估计一整天多一点走完了。
[52:59.470] 然后礼拜天里面写八大，
[53:04.040] 有了慢点儿，再见。
[53:12.860] 没给你。
[53:18.690] 我说我是谁放那
[53:22.960] 坏
[53:26.870] 一声着了不着急，预算找着了，我跟你说。
[53:33.700] 谢谢。
[53:35.950] 138
[53:37.740] 7
[53:41.120] 已经去。
