[00:00.530] 没关系。
[26:04.170] 首先机油三滤咱们这次一是需要换机油机滤，
[26:09.170] 机油机滤的套餐价就是我这边所有的M账户就是把什么东西都打成了一个套餐，
[26:15.570] 公司材料都在里边，然后有一个固定折扣，这个是厂家统一的。
[26:20.020] 简单说机油机滤的B类保养，咱们这回该坐上位做A吗？这位该作弊了。
[26:25.910] 他是机油机滤空气滤芯，它的售价是4个2，
[26:30.100] 然后刹车有两年一换记录，我看了咱们车是17年10月份换的，到时间了，这是手册要求。
[26:35.850] 额头的，这是必须要换的。
[26:37.140] 这453块钱就不会特别贵。
[26:40.040] 然后火花塞咱们这个车也是。
[26:43.310] 公里换一次。
[26:44.320] 之前可能没算过，因为自然吸气现在都改增压到了4万亿，还咱们说是6万一块，
[26:51.670] 有6个火花塞是1225，
[26:55.360] 这个就是变成香油。
[26:57.070] 建仓游的套餐价是2523，他也是包含油和滤芯，
[27:02.030] 能点开了看一下。
[27:04.160] 他也是包含这些螺丝，压电片、滤芯，还有
[27:08.670] 也是一个套餐跟机油差不多，
[27:10.860] 我就不打算打败太阳了，完了还有一个
[27:15.360] 6万公里还需要更换一个就是打开机盖以后前边有好多轮子，好多轮，
[27:21.370] 好多滑轮上面绕着一根香蕉的皮带，6万公里的时候也需要换一下，要不要6万多来换就得了，现在不在跑了，
[27:30.320] 干嘛无所谓了，66
[27:33.440] 一直到6万，我6号再过来，这个事
[27:36.190] 是到年线的，我觉得现在不到年限的现代化到公里数了再说是吧？
[27:41.280] 我到时把皮带轮删了，
[27:42.790] 这套皮带轮差不多就得2000多块钱，你说我再来行，然后多功能清洁剂，我刚跟您说轻便孙杨油泥的东西，
[27:53.840] 然后还有一个
[27:55.980] 这个有一个叫做发动机节气门燃烧室的藏青血，
[28:00.730] 这个也是到公里数了，
[28:03.940] 知道宫颈术的我再过来。
[28:05.850] 不是现在就到了，对咱们上回是2万多万，它是基本上没2万多公里换油。
[28:11.910] 有记录可查的，然后还有
[28:14.960] 空调的一个过滤滤芯，
[28:17.430] 这是两年一换，上次宝A宝的时候咱没换，还是尚未发现是450
[28:23.300] 450多，然后有一个发动机的油路演护士，每次每年换机油的时候需要做一次711。
[28:31.460] 还有一个就是空调系统里边的一个杀菌除异味，
[28:34.680] 换滤芯配套做的一个空调这块的16，我给您报了一个。
[28:38.860] 厌食的套餐是668的，
[28:40.870] 原价是900多。
[28:44.040] 把皮带我先给您去多少钱，
[28:46.770] 我给你看一眼，我能直接看出这套皮带多少钱，
[28:50.400] 我把皮带这先给您，其它6万再换也行是吧？不一定非要等到
[28:56.810] 您等下次保养来也行，就别非得跑6万贷担保人来一趟了，您说得开个就开开了。
[29:03.060] 好吧？
[29:04.020] 这套皮菜应该这道皮蛋咱们车是3933块钱，4000块钱吗咱就说
[29:10.050] 就连公式代材料，因为这个是没有。
[29:12.250] 套餐的。
[29:13.440] 这个等于我看这个提到就等于上下次保养再做主板来做。
[29:17.830] 然后把这个待会我把这删一下，
[29:20.830] 可以删一下，我先把工时上。
[29:23.170] 然后我给您点一下。
[29:25.490] 啪的那些其他凡是前面带M的都是套餐都给你优惠完了的。
[29:30.030] 然后。
[29:31.740] 看看差不多这些做下来大概是11,439，
[29:38.390] 因为你看看上2000的就好几下，
[29:41.360] 觉得为什么没花那么多钱？是因为一般A保B保也就3000多4000多就到了大保养，因为它涉及到了有一些变速箱油，
[29:51.850] 特别潮流站2500花在1200，
[29:54.930] 这就比您平时多了3000多出去了。
[29:57.350] 又一个这确实已经优惠了，我给您看一眼缘加，我如果不用套餐的情况下，
[30:04.780] 我不用套餐的情况下，你现在都比较直观，就跟海底捞一样，您可以自己看看价格，
[30:10.090] 您可以拿着我平板自己看价格，
[30:12.970] 您看咱就以这基础B宝为例，这就是基础B类保养对吧？
[30:17.150] 这个是22，还有一项84-，
[30:19.800] 我刚跟您说次盖，如果不按套餐原价就是2900多块钱，其实它已经自身优惠完了，这为什么叫套餐？就跟肯德基麦当劳一样，
[30:29.190] 单买个汉堡15，你加杯可乐可能这汉堡才卖12，
[30:33.540] 就这个意思，我把皮带删了，皮带上次保养再收了，
[30:38.840] 完了到时候我让他们给查着，因为咱皮带上
[30:43.020] 说白了橡胶的东西它老转，
[30:45.200] 我传以后看看他那个状态怎么样，他如果没啥事，就是没有什么裂口或者什么东西。
[30:51.910] 下午发展来说，
[30:53.460] 如果有裂痕的话，
[30:55.210] 反正他折了你开不了车了，因为他一段以后什么水后也不工作了，发电机也不拿手机
[31:01.760] 气等等查一下，刚才我先给您查，咱先甭说话，先查查看看，如果能用
[31:07.770] 我不能下不断来说，因为咱们可能估计这车您开的也不会特别多，
[31:13.210] 一年也就几千公里，以前也开不了就。
[31:17.100] 是吧？董估计明年也就6万公里，我估计。
[31:21.240] 行，我给你打出单子就行了，然后那就明天完事了，我再给你打电话，
[31:27.110] 我把皮带删了，
[31:28.840] 其他方面到时候车况给您看看。
[31:35.440] 场
[31:49.840] 让他们把皮带帮我删掉。
[31:54.060] 打
[31:56.060] 11:15了吗？一会您就直接餐厅吃了午饭就回家了。
[32:04.650] 了。
[32:08.390] 完了如果想考虑的话，明天取车时候再说也可以，然后当然这需要提前准备东西，
[32:14.740] 需要准备行驶本身份证，还有电子保单，
[32:17.330] 还需要您投保的保单，
[32:20.290] 4881帮我把皮带那套伤了。
[32:25.120] 4881。
[32:28.780] 谢谢。
[32:30.400] 商业险保单，
[32:31.960] 谁知怎么着他应该都可以发电子版，
[32:41.180] 现在很少，只是把保险公司都发电子版。
[32:44.360] 它是因为投保的过程中必须要看一眼您的商业险保单。
[32:51.560] 刚才
[32:52.830] 您是在这上保险吗？那能查吧。
[32:56.110] 您如果不在这上保险就查不着，你哪家要人。
[33:01.140] 一般都上什么我上
[33:03.920] 没过15天我再来一次。
[33:06.330] 对，您比如说今儿上完了，举个例子，金26号对吧？那就得8月2号再来吧。
[33:13.160] 是吧？就17号。
[33:16.460] 24号是7天，31号14天这
[33:19.380] 10天您在2号以后就2号以后，你比如我10月份再来行不行行？
[33:26.210] 但是它不是一年有效期的吗？
[33:28.160] 就相当于从
[33:30.390] 你好比说金就是说2020年7月17号到2021年7月16号，
[33:34.830] 直接您比如说我10月1号我些小长假我来修车了行不行行？没事。
[33:41.340] 不耽误，或者比如说咱们车的
[33:45.970] 这个保险是9月份到期，我9月份等于我9月份该交心显了，这个冲突也不冲突，
[33:53.890] 也不冲突，因为他就单独计算一年，单独算一年，不跟您整车的保险走，他
[34:04.900] 只是说交完钱等了15天再说修的是
[34:09.050] 你要说交完钱立马就要修也不行，因为就必须得等15天，
[34:14.200] 这个是保险公司给我们的一个要求，
[34:18.200] 等待完15天以后就可以一切正常了。
[34:26.850] 不然我之前有个客户他是
[34:31.280] 他之前自己报了案了，
[34:34.040] 结果最后过来理赔赔不了。
[34:36.670] 因为你一旦给保险公司打完电话，保险公司就会记录当时接电话的时间。
[34:42.630] 如果你
[34:44.040] 不在激活期以后就没法互赔，
[34:48.480] 所以我们为什么都会提醒客户，您千万等15天以后再给办公室打电话，或者您直接开车来，
[34:54.770] 就直接过来，我们教您怎么给办公室打电话，就别提前自己倒，
[35:01.330] 打了麻烦。
[35:05.780] 到时候您说那钱真给不了，咱不就可惜了，我
[35:11.100] 得查查有没有发生风险了。
[35:13.340] 对，其实没房子你就没发生折损，反正先就走车损，就是说白了可能就只能修一块或者两块。
[35:20.900] 没法都修了。
[35:22.330] 对，因为您那商俩门后放都有，就没挨着。
[35:28.150] 他车损它必须要求是AA在一起的，中间有断档就没法一次走了。
[35:36.440] 其实再给您出个主意，您这个车我不知道买车保险什么时候到期，
[35:44.590] 什么到期，
[35:46.580] 10月份到期多少，也就是说比如您今天上完这钱以后，您在7~10月份之间修一次。
[35:53.190] 等于我。
[35:54.170] 今年出了一次险，
[35:55.840] 我给我出了一次险对吧？
[35:57.820] 我10月份交完新保险之后，
[36:00.190] 以后比如说还有知道show的第二，就是从10月份到明年的7月份以后，拿它去卡保险激活，
[36:08.400] 以后再看看有修的再走一步，等于我这个钱又出了一次，
[36:13.320] 等于我也是把这两次出险的机会，
[36:16.580] 这都5000块钱我都拿到手，
[36:19.120] 这样的话相对来说会合适一点，比您
[36:24.060] 猛这老这出两次险，我把这两次保险分到两次保险里边出。
[36:29.110] 是不一样的，比较高，对，如果连出两次险保费会高一点，比您每年单出一次可能
[36:35.270] 核试一下。
[36:38.090] 到时候看你怎么。
[36:40.550] 您先考虑，如果有需求，明天拿着身份证和行驶证直接过来，我带您过去办下去。
[36:46.470] 办理的话也就10分钟，其实就在吃饭楼的地儿。
[36:51.420] 对，他是单独有一个专员给办。
[36:55.650] 报案不单独给我们批这一个人出来。
[36:59.860] 咱不负责弄这事儿。
[37:02.520] 单独您交1500，他给您出一合同，开票完了给您就做到如果来修完了交钱也到时候也找他，
[37:11.860] 给他一卡号，他到时候他给你安排打钱，
[37:14.800] 单独有这么一人管这事儿。
[37:17.730] 没错了，他说我保养没事了，我保险正常安排就完了，汽车单您不收起来了吗？
[37:23.510] 那边取车等我电话，您该吃饭吃饭，然后待会打车回家就行了。
[37:29.490] 好吧？远场
[37:32.670] 场。
[37:35.110] 场
[37:36.660] 的
[37:38.560] 场。
[37:59.150] 坏数据，
