[00:01.930] 文章
[05:28.090] 咱们这就奥迪品牌没出，其他品牌都出了。
[05:33.620] 然后你可以考虑。
[05:35.590] 这个还比较合适，因为您也正好有剐蹭。
[05:47.470] 三
[05:49.390] 数据
[05:55.440] 光复假的气囊有富裕的吗？
[05:58.880] 的。
[06:01.240] 我不知道哪种你们也没统一说。
[06:04.390] 行行好了我就留着弄。
[06:06.930] 行。
[06:09.740] 好了，你统一说一声，小辉。
[06:12.990] 跟我们和我们领导可以统一说一声。
[06:18.650] 然后有就安排。
[06:23.350] 您现在还有多余的可以放换，明天就能完了。
[06:28.200] 可以放着会员对。
[06:31.520] 你等一下我出去商量一下。
[06:33.140] 成没问题，您可以一块考虑到时候
[06:35.720] 可以修车。
[06:39.920] 这个东西应该得下午了，挺费劲的。
[06:43.720] 还得正常得达仪表台，但是咱等一点事的方式也得从
[06:49.650] 下载扶手箱里边的掏出来。
[06:52.150] 来画。
[06:57.680] 号。
[07:04.380] 我也不知道，他say电梯你还正常，咱们。
[07:09.690] 他是在答案不是那叫什么立兴行的点。
[07:18.510] 的。
[07:21.310] 我这记录里面有。
[07:29.280] 人家就那边不加价跟提的，离咱家最近人还行挺好说话。
[07:43.510] 让他看你发好看了，那还。
[07:48.360] 了。
[07:58.170] 怎么着申请没来。
[08:00.200] 不会说直接就换问题，他不也得咱做申请吗？
[08:05.230] 同意了才能换。
[08:06.990] 你不吗？
[08:08.270] 不用被下面就能赔是吧？
[08:12.140] 还是这么着，不行我给你拆加一个，
[08:15.160] 我不行给你加一个拆装的工匠让板分拆一下看看。
[08:23.080] 用不用我给你加一个拆装的功效，让钣喷的。
[08:26.990] 钣金的拆开，
[08:29.880] 吗？
[08:30.500] 害怕
[08:33.080] 好。
[08:35.720] 确定明天我们开车，对，因为今儿我们基本上都加班干这些，找回你看门口没进去的时候全是今儿来的。
[08:46.000] 加班干的，
[08:47.120] 然后中药放心周明天下班前肯定能给你。
[08:52.080] 咱们就对能找您再跑，你要再跑也一样。
[08:56.390] 对你感觉正好有到的，我好些定的。
[08:59.960] 我约他来，他没准三五天之后才来，没准就等到下一批来了。
[09:04.950] 我都不敢约，基本就谁来了，看有就赶紧让他。
[09:10.900] 对。
[09:12.520] 我直接给你开单就行。
[09:16.300] 我的慧眼
[09:17.370] 住的不远。
[09:19.630] 也不见好。
[09:29.410] 这能看到我车啥时候该保养了。
[09:33.310] 我看去年年底做的，您还有年底
[09:36.770] 年底年底再。
[09:39.230] 跑的太少。
[09:46.960] 你骗是吧？
[09:48.290] 再来聊一聊，
[09:49.790] 有事可以随时联系。
[09:55.220] 像这个月也有
[09:57.940] 预存保养的优惠，两岸两地能有折上折的优惠，
[10:05.810] 找个娶错登，
[10:18.760] 到你想上的话就拿行驶本身份证就能。
[10:24.780] 的。
[10:26.630] 因为针对尤其是比如说您觉得这张可久可不修，有了
[10:32.550] 下定决心去修，他自己也能闹点，
[10:38.070] 这就可以了，比如说我交了1498，我当时就说我要修。
[10:42.720] 那得15天后修。
[10:44.050] 15天后生效。
[10:45.410] 以后。
[10:46.210] 如果没出险，我就说我想把修一下。
[10:49.070] 得风险修不出险时候咋修？
[10:51.650] 打出险，他就专门碰一下，就不用就。
[10:54.510] 来，我们就跟我们这报一下你的友商本身就碰出来的商号。
[10:59.680] 不会说那什么的上头。
[11:01.550] 不是说
[11:02.690] 自己就带着。
[11:04.190] 门这真不合理，我交1490 85天我可能去2500。
[11:08.260] 对。
[11:10.130] 只要你出险修车，不论是你的责任还是对方责任，
[11:14.690] 比如说有玻璃崩坏了，
[11:17.780] 这也问。
[11:18.460] 我要出险的话，明年的保费也。
[11:21.150] 会有影响，但你要出一致性影响不大了。
[11:23.990] 鼻子眼睛影响不会很大，
[11:27.180] 你给我这个小孩对着拿起专用。
[11:30.000] 给。
[11:30.970] 行，我这没上了车我就发给车间了，我明天。
[11:34.340] 大概见过了。
[11:35.540] 我会给你打电话，肯定下午了。
[11:37.770] 我给你打电话，我也得等师傅交上来，
[11:41.040] 我就给你留把车钥匙就行。
[11:44.840] 对车里没东西拿了吗？不也收了，OK那就撤。
[11:49.410] 走好了我可以出去。
[11:51.460] 上面的手机号就你了吧。
[11:53.350] 对。
[12:10.940] 这几天大夫选都没开会了，
[12:13.650] 了，
[12:17.370] 你
[12:30.350] 来。
[12:42.190] 场
[12:44.110] 的
[12:47.720] 的
[12:51.980] 场
[12:54.650] 数据
[12:56.020] 坏
[12:57.890] 数据
[13:00.110] 句
[13:02.880] 号
[13:03.800] 句。
[13:05.000] 走。
[13:15.210] 的。
[13:17.650] 你看一下。
[13:34.090] 数据
[13:36.750] 坏
[13:38.810] 号。
[13:39.590] 花
[13:46.430] 数据
[13:47.580] 的
[13:49.490] 数据。
[13:57.520] 数据
[14:04.460] 数据
[14:06.590] 场
[14:10.900] 花
[14:13.140] 花、
[14:13.960] 花
[14:15.360] 数据
[14:16.520] 数据
[14:23.480] 号。
[14:27.960] 的
[14:31.920] 花
[14:37.440] 二
[14:46.180] 数据。
[14:58.660] 三
[15:00.320] 的
[15:04.880] 的
[15:25.970] 的
[15:27.010] 的
[15:29.890] 的
[15:36.900] 二
[15:38.330] 的
[15:44.410] 远远
[15:51.000] 数据
[15:53.060] 的
[15:55.640] 场
[15:57.230] 场
[15:58.270] 的。
[16:05.520] 占用
[16:13.410] 了
[16:18.050] 数据。
[16:26.450] 这样
[16:33.080] 的。
[16:34.330] 今肯定我刚问了。
[16:38.950] 那就不了。
[16:39.970] 你放心，今儿他肯定他就干这活，快完事儿了，您放心肯定能走。
[16:47.020] 走不了我都不懂。
[16:50.820] 了
[16:53.950] 了，
[16:56.040] 我给你打出单子。
[16:58.490] 稍微洗了一下，没事您看，然后我一会去路出门条。
[17:05.750] 检查的话没什么大事，他刚才我这边备注的是
[17:10.600] 他写的是2000轮胎有伤，后备箱5过多，前电器占用没影响。
[17:17.040] 然后。
[17:18.000] 后边物品太多，就是没查，说白了
[17:22.520] 东西太多看一眼没动。
[17:24.610] 他正常会查一查后备箱那边的，
[17:27.540] 说白了就是灭火器什么这些东西带不带原为R
[17:32.100] 东西还多的话他们就不怕。
[17:35.990] 但是他们照例会备注一个后边物很多，
[17:39.140] 甩锅就是别说我没看东西跟我没，
[17:43.120] 就这意思了吧。
[17:45.820] 明天有吗？我打个单子出来，我去。
[17:50.770] 让他们给录一书一条。
[17:58.910] 娄姐露出调味。
[18:01.550] HCD662。
[18:03.500] 那行我给他
[18:04.890] 了快乐。
[18:10.770] bye bye bye。
[18:12.020] 好，哪里完了？
[18:13.690] 到了给打过来。
[18:17.120] 咱这就简单做了一种机会，
[18:23.130] 对单位
[18:24.780] 其实都无所谓，全国联网金融调查能调查，
[18:29.730] 然后
[18:30.970] 给您赶快说，就直接开始
[18:35.930] 我去我们了
[18:41.070] 不到10分钟里。
[18:43.630] 对。
[18:48.750] 场场
[18:50.770] 唱
[18:51.920] 场
[18:53.320] 数据
[18:55.520] 数据
[18:56.910] 的。
[18:58.630] 行。
[19:10.400] 的
[19:20.440] 的
[19:23.280] 数据。
[19:29.730] 数据。
[19:31.490] 咋办？
[19:39.800] 你说你20多了。
[19:42.960] 对
[19:47.560] 的
[19:55.200] 我说没有，他还有一个说什么东西？
[19:58.640] 买一次规划
[20:03.530] 东西，
[20:11.850] 找回的打电话来。
[20:16.920] 验证码0还是。
