[00:00.000] 呃怎么称呼您先生？
[05:03.090] 嗯还有这个
[05:04.820] 呃淘宝也可以30 513
[05:07.880] 左右，大脑在两侧多一点。
[05:09.720] 2018年。
[05:11.550] 差不多，对，它应该是比奥迪稍微便宜一点点，然后或分期之后调节一下，因为比较满意。
[05:21.030] 什么
[05:22.030] 在这科一把手黑色就是商家的要求，
[05:26.950] 好吧？
[05:28.310] 大家能不能
[05:29.400] 坐下来。
[05:30.440] 嗯
[05:35.730] 他那个是就是
[05:37.450] 全职是什么？在全职是多少要多少钱谁谁谁？
[05:44.090] 是
[06:06.430] 看一下没有。
[06:07.430] 那个不重要，他那个是原价都是900，可能是有北京20万的话，可能还有10万左右。
[06:14.670] 我们会管，然后我现在可能商量这个事情。
[06:19.070] 什么
[06:22.860] 罗罗斯特的那个分数是多少？
[06:26.400] 7月
[06:27.970] 当时的那些项目，
[06:32.730] 那这个现在也是
[06:34.030] 对首付602100%。
[06:36.840] 嗯
[06:38.200] 嗯我马上就
[06:40.410] 然后但是他有一个
[06:42.060] 一个贷款额到10%，
[06:43.850] 也就是有人贷20万，然后就是8000块钱的股份。
[06:47.240] 但是两年以后发现
[06:49.160] 嗯对对对对，就就不修了。
[06:52.130] 你就不管你了。
[06:53.180] 其实也合适，一年能活下来是40万左右，
[06:58.400] 贷20万和4072，这点都不算太方便，有案例怎么算？
[07:04.350] 你要是做个理财啊什么的，
[07:07.160] 然后我现在不是好像那么好。
[07:09.440] 呵呵。
[07:16.370] 呃先生我给您拿个配置单吧拿个那个彩页。
[07:19.820] 啊
[07:22.110] 嗯
[07:31.240] 您到哪了？
[07:35.470] 你好，您在哪？
[07:43.020] 唉给您。
[07:44.200] 这是那个叉c90的一个彩页。
[07:47.510] 那个时候
[07:48.500] 有时候分期的话，你能给我列一个单子吗？行，我给您算一下，啊要是雅还是之一之一，
[07:54.400] 这一种，因为我觉得这样那个这个行业。嘛
[07:57.100] 行，那您行您稍等一下，啊我正好那个客户到了，我跟他打一个招呼。
[08:15.720] 好，我有一个客户说他到了。
[08:17.980] 我那二次是吗？唉喂您好。
[08:20.880] 唉您好。
[08:23.530] 噢行好来那我在展厅那边，等您您进展厅别找我就行，因为大哥咱俩
[08:30.390] 其实这个是。
[08:34.520] 正对着您是在哪块？
[08:36.270] 呢
[08:36.880] 嗯
[08:39.010] 有的人。
[08:40.360] 他出口。
[08:42.310] 对。
[08:43.440] 就是这个这个就是要看一下。
[08:49.270] 噢我好像看到您了。
[09:00.960] 我见过二次来了。
[09:02.060] 说一下。
[09:03.010] 那个这个吗？不是马上让他进来给你登记一下。啊
[09:08.480] 现在要做下登记，我得进去给他列一下这个单词库的这个东西。
[09:12.370] 我老婆
[09:13.270] 但是没有要求的时候上班没有。
[09:16.400] 都
[09:17.810] 还有一个
[09:19.150] 不能拿门我干嘛？呀
[09:21.950] 都能够得到和谐，唉您好，先生来这边。
[09:25.480] 啊我姓陈陈文静，之前跟您微信联系过了，对您是一起的是吧？行啊这边先给您做一下登记。吧
[09:32.600] 小霞给客户做一下登记，然后那个那您找着稍坐稍等我一下，然后马上出来嗯你们消费就是昨天
[09:40.620] 没有
[09:44.840] 3002。
[09:46.220] 3000是验车上牌那个费用服务费对。
[09:50.200] 然后首付贷款月供手续费，
[09:53.400] 前期的一个费用。
[09:54.860] 嗯
[09:58.170] 这1万是
[09:59.500] 就是置换的，对对对那置换的就裸车是53万多，
[10:03.560] 我全部减下来是53万多，我这个贷的话我是从这个53。
[10:09.410] 对，53~60%。
[10:11.120] 53 40%贷款。
[10:13.970] 40%对对对。
[10:17.040] 那新车新车的话现在有什么你们能送货吗？嗯目前的话就是这么一个价格，然后你要是有时间的话，您可以到时候周六过来。
[10:26.970] 我们家周六是那个店庆。
[10:29.160] 店庆对店庆，然后优惠力度能比现在优惠力度大一些。
[10:33.250] 嗯
[10:34.400] 您稍微。
[10:35.760] 正正常的贴膜这些记录一个什么应该都有，呃平常是不送的，到那天的话等于是被申请人讲。
[10:42.340] 对，价格什么的也会车的价格。
[10:45.180] 优惠就是今天那车的价格也会比这个现在优惠力度会大一点，对，今天是周二吧周三周二。吧
[10:53.940] 今天周二对，今天周二礼拜二。
[10:56.600] 嗯
[10:58.420] 然后现车的话现在只有黑色是吧？
[11:01.360] 对，这车基本上就都是黑色的。
[11:03.630] 而且您这烧油加一半一半的话就更建议黑色，下面刚才我看到有一个这种颜色。
[11:09.060] 哪个？
[11:09.790] 就是这种这种是属于什么这般话一直没有这得这是白的。
[11:13.940] 吧
[11:14.560] 不知道，我看一下看一下这个也没什么好说的。
[11:17.960] 你说是这个是吗？
[11:20.010] 嗯
[11:20.920] 就这种这种东西它这有有色差的。
[11:24.110] 嗯嗯这基本上没有，就基本上都是黑的，这车我现在已经就考虑黑的就得了，我那那姐姐开自己一个人还人还考虑还买了黑的。
[11:32.200] 呢
[11:33.390] 这个我感觉太太普通了没了。
[11:35.800] 这种大个的车没有那种特别浅的颜色过，没有你说这种没有这种也没这种颜色，
[11:43.100] 不会生产这种这种大个车。
[11:45.690] 啊周六你们不搞吗？对对对。
[11:49.740] 行，那到时候那个我周五给您打电话给您约一时间，然后您看周六大家上午下午有时间您看好吗？
[11:58.510] 啊对，都可以，啊行，好大哥。
[12:01.100] 唉好再见。
[12:02.390] 小霞把手机号给我吧，好勒。
[12:04.720] 是这个先生这个先生怎么称呼呃姓李李先生李先生188
[12:10.330] 0100106771267712，把刚才我那24。
