[00:00.000] 京NL8Q。
[07:00.270] 是这样，没别的意思，就是说如果说您要是打算贴还贴这个膜，我etc先不给你粘着，
[07:07.610] 因为您贴膜的时候还得把它采下来。
[07:10.580] 原书袋
[07:12.750] 圆通是援助带毛的5代，
[07:16.910] 都在
[07:18.950] 钱我知道。
[07:21.490] 您还打算贴吗？
[07:24.760] 那天？
[07:26.770] 这根
[07:28.910] 据个人喜好
[07:30.600] 多少？
[07:32.660] 贴有啥区别？
[07:34.350] 用我们话的来说，
[07:39.000] 缝上一点是不是格式？您说说我这用词很谨慎的风，
[07:44.980] 因为可能紫外线晒的可能会好一些，另外一个来说也起不因为前风挡玻璃，它又不知道别的玻璃，
[07:52.130] 它虽然能起到一点点的辅助作用，但是起不了决定性作用，比如说您这个车
[07:57.940] 玻璃帮助他大师大师都绷着是吧？
[08:01.080] 他可能会拦着一点，但是他不会像玻璃，不像别的玻璃叭一崩整个全都碎了。
[08:11.560] 买了
[08:15.480] 忘了。
[08:18.400] 今天咱们这贴着膜的花多少钱？
[08:20.680] 前风挡玻璃这都是有便宜有贵的，
[08:25.040] 便宜的3000多块钱，贵的六七给办9000的。
[08:31.480] 那算了一下，
[08:34.380] 就是说什么我这兄弟我的意思就是说别给您来回折腾这事，就是说提前把这辆给您留好了。
[08:42.110] 你要想学，比如说个人喜好来说，你要想贴
[08:46.620] 我etc就先不给您站着，然后之后您到一级山公司那边去粘着。
[08:52.440] 然后您听是这样，我这边换完玻璃之后，您得一周以后才能去贴了，一周以后贴着膜，贴完膜之后
[09:02.510] 还得再过一至少得三五天以后您才能担这一比赛，因为要不然您这一推
[09:08.930] 直接粘膜上它容易掉下来，把魔都拽下来。
[09:13.220] 因为您在这方面经验不足，咱得跟您说清楚了。
[09:18.930] 这个意思没有必要没意思，说您必须得贴个黄什么的，我。
[09:24.280] 我知道您
[09:28.370] 您看我现在之前我得给您去看看。
[09:33.530] 问。
[09:34.590] 知道。
[09:52.920] 他说。好。
[10:01.930] 当Q房了，前风挡玻璃反正贴不吃不算太大。
[10:10.340] 然后您说两边的，比如说你要说门的玻璃，我是肯定会建议您贴上，因为现在
[10:17.010] 因为这门上这玻璃他一试咱说有点这私密性是不是？
[10:22.330] 另外一来说门的这玻璃没钢化玻璃这一睡哗啦去了，您贴膜它至少不是先不会飞的，哪都是
[10:41.760] 你好
[10:51.200] 对。
[10:54.720] 他有可能因为当时还是是D ms开的单子，他当时就是岛的OTR里头，
[11:10.010] 对也是人很。
[11:12.760] 咱只能说人家就给你导一数据，就那什么谁那么多，估计也不可能一个个
[11:19.880] 分别
[11:22.960] 得麻烦您了，谢谢。
[11:58.040] 的
[12:04.770] 的
[12:19.020] 您稍等一下我看看。
[12:32.440] 过。
[12:38.390] 因为产品交流都不是我们
[12:42.280] 了。
[12:49.120] 的
[12:53.290] 的
[13:03.000] 数据。
[13:08.340] 的
[13:13.960] 号。
[13:18.250] 1321
[13:21.120] 谁知。
[13:22.560] 行您就直接去
[13:24.600] 把
[13:29.170] 了
[14:58.810] 我看你忙了一直
[15:00.960] 走了，
[15:12.990] 也不赚钱，终于看到了
[15:16.080] 远
[15:17.730] 场
[15:19.240] 的
[15:21.690] 数据
[15:22.560] 场、
[15:24.880] 场
[15:26.480] 场
[15:27.200] 远远
[15:53.200] 到现在也没跟我联系，另外一个
[15:57.980] 没事。
[16:00.520] 了到时找你再说。
[16:09.170] 你给我出门，
[16:11.950] 他那桌子上有个二维码扫一下，
[16:57.400] 过
[16:59.920] 的。
[17:04.950] 二
[17:08.920] 一
[17:10.970] 远场
[17:12.820] 场。
[17:20.830] 的
[17:27.850] 的
[17:56.530] 您这车明天限行。
[18:00.530] 刘先生
[18:02.620] 这件有货您后天能够完成好。
[18:06.020] 昨天什么时候估计得下午4点。
[18:11.240] 车子
[18:15.210] 下边两这是一式两份，咱俩是一样的。
[18:19.240] 给这是您到时拿着来提车。
[18:22.740] 我叫胡勇和18010210193，这是我的电话。
[18:27.000] 因为我周三休息，
[18:29.460] 我就是后天我会给您安排好，您拿着这个单子到这来到这来提车，会有人
[18:36.460] 能做这些手续。
[18:38.180] 好吧？
[18:39.120] 周三下午对问他3点来说。
[18:44.120] 300对。
[18:46.430] 老哥我这说明白了吗？表现就清楚了吗？就是周三我休息，我就给您安排好了，没事。
[18:58.460] 支持
[19:03.280] 没事我这边就没事了，咱车里边确定没什么东西了，首条需要用的。
[19:08.520] 气话了，慢点。
[19:12.790] 喝点水。
[19:14.560] 咱这边数据。
[19:21.850] 快。
[19:27.670] 数据、
[19:34.080] 数据。
[19:41.250] 数据、
[19:43.390] 数据
[19:45.860] 数据
[19:48.710] 的
[20:04.970] 商报。
[20:06.120] 这没有什么没有方法的，但是
[20:08.670] 什么天然味道他去了。
