[00:00.100] 好的，你在。
[02:27.940] 了，然后是时尚版块你看看
[02:35.860] 你知道吧？还是说在高于。
[02:39.310] 舒享的指导价499,800，对。
[02:42.380] 不晓得不多少。
[02:43.790] 指导价499,800，优惠完42万多，4月23差不多。
[02:49.180] 这样你估计到我们店里的话，你们是哪个店？
[02:51.620] 海淀西四环四季青桥这边。
[02:54.120] 谁知。
[02:56.810] 文明我没。
[02:58.800] 可以。
[03:00.290] 我看一下。
[03:04.850] 我一般先考虑进口的，但是
[03:08.690] 我希望因为国产的车不知道这。
[03:11.800] 对吧？
[03:12.880] 进口的短。
[03:14.620] 我今年不了，但是我喜欢的我们孩子。
[03:20.590] 就是说就300谁知
[03:25.660] 负责的核查的问题，
[03:26.910] 进口的国产的过程开展业务就获得了
[03:32.910] 这样。
[03:34.110] 对吧？其中你给我，所以的话就是说你们指导下你们的店，我觉得抱歉还不错，你中华的时候你知道吧，我给他说好了。
[03:45.770] 电话报不了，您只能到店能不能给个胡说？
[03:49.470] 立冬你得给我办一个。
[03:52.050] 没有我电话。
[03:53.790] 因为咱们电话这边只是大概一个范围，但最终的所有做就说您不来帐，去别人家也得到店，他才能把底价或者是最终的误会给。
[04:02.970] 我们也落地价。
[04:05.400] 多是意思就国产的300来到暑假他们是落地假落地一下就是1万多这样。
[04:13.110] 41万多。
[04:14.650] 下不来，我知道您说的。
[04:18.560] 下回来了给你。
[04:20.040] 你多少我就。
[04:20.800] 你要说。
[04:25.320] 但是肯定下不来，这价格没必要蒙人是不是？
[04:29.830] 我妈妈这边另外不过是1万下来了，对咱们的贷款银行办理。
[04:35.990] 贷款的话首付2030%都可以。
[04:39.760] 两年三年看您自己那边。
[04:42.360] 03年还是年缴的是吧？
[04:44.210] 对。
[04:44.820] 咱们这边傍晚。
[04:48.600] 贷款咱们店内是您要做贷款，就在店内所有的手续都我们店内的这边给您，然后但是你要是说准备手续肯定您自己准备对吧？
[04:58.000] 我们这边是当场就可以。
[04:59.920] 我没看见我没有贷款买过车。
[05:01.950] 我估计要考虑是贷款还是什么，我。
[05:05.310] 贷款分期他优惠力度上是没有变化的，也没有手续费，可能会有利息，然后根据您贷款的银行贷款的
[05:14.240] 年线，他要的东西都是不一样的，所以说到时候到店之后看您这边
[05:19.710] 起码的好批，车贷比较好批量。
[05:23.790] 或者比较好的。
[05:26.010] 对，因为现在都支持做分析，所以说。
[05:28.810] 说。
[05:29.310] 对于中信各方面它就是没有那么高的要求，
[05:33.100] 而且它的选择性比较多。
[05:36.060] 东西都没问题，他就看看我的鼻子，我是
[05:39.130] 你就年轻的叫什么？
[05:43.780] 他可能有社保这些东西。
[05:46.020] 有吗？社保什么，我现在有病了。
[05:48.440] 那没问题，正常是没什么问题的。
[05:52.780] 行你这样
[05:55.160] 我们那个时间。
[05:58.580] 可以试驾。
[05:59.520] 因为是这样，因为我现在这价格是7月份的，他这个政策是每个月都在调整，他下个月价格政策会是什么样的，
[06:08.360] 但是上下价格不会浮动太大。
[06:10.560] 大。
[06:11.300] 他你比如厂家的，我们也是跟厂家政策走，现在我们也不确定，就价格不会说幅度特别大，
[06:18.610] 可能一些其他的东西会多一些。
[06:21.520] 但是我说你这样对通过他说238，
[06:28.960] 就是说我们一般是在45以内。
[06:34.850] 把。
[06:37.070] 我明白。
[06:38.830] 谁知不过330不过300，还有其他过去
[06:43.880] 都21了。
[06:45.410] 对那就SUV了。
[06:47.350] 又为了S you哪些。
[06:50.010] S. 
[06:51.360] 对，接着后面。
[06:53.940] 这样。
[06:54.300] 的
[06:55.170] 大家买的比较多的就是。
[06:58.440] 300一般都是你要是最低肯定也是300。
[07:02.150] 330. 
[07:02.960] 不交C300。
[07:04.570] 对。
[07:04.980] 将C300。
[07:06.510] 3。
[07:08.800] Cs也是300。
[07:09.970] 很多倍的。
[07:12.360] 您这两天有时间吗？琢磨。
[07:16.210] 我在
[07:17.590] 同等价我也烦3A因为它比300钱也不健康是吧？
[07:22.010] 不是对他应该他优惠政策没有138没有E级优惠的多。
[07:27.820] 我看他反正比别便宜了。
[07:30.920] 不是。
[07:31.270] 在家他当然。
[07:33.300] 内饰一加C260最低配的你的分配制。
[07:38.340] 的话。
[07:39.270] 对，但是他虽然也是2.0T的。
[07:41.560] 0.9对。
[07:43.450] 1+260知道幽会绿的都差不多。
[07:46.930] 百分。
[07:48.280] 二。
[07:48.770] 20200200. 
[07:50.710] 都是20款都是新款的是吧？
[07:52.740] 要过来的。
[07:54.280] 看着方便，看完材料又反正优惠的差不多了，就是看官方指导价的，对，13810。
[08:01.890] 你gl C的话优惠的少，
[08:04.240] 励的话优惠的多。
[08:05.960] 台湾人还吗？我这边肯定什么还是坐车。
[08:10.900] 因为我送又问了。
[08:13.540] 您可以到店看看车，到时候您中后对比一下。
[08:17.090] 还是喜欢300，关键我这孩子怎么坐车呢？
[08:19.470] 对他比较。
[08:20.780] 看到无礼都不曾发生过的。
[08:24.680] 对。
[08:25.700] 他商务性的。
[08:26.970] 可以先说是吧？
[08:28.040] 对友圈。
[08:29.600] 我就不再说什么。
[08:32.060] 对。
[08:32.350] 没有来过，对。
[08:34.100] 不加钱。
[08:35.740] 优惠怎么交钱？
[08:37.790] 他现在有优惠不加钱。
[08:40.050] 这还是可以。
[08:41.800] 代价。
[08:43.250] 这国产车没有加价的。
[08:46.230] 行吧。
[08:49.600] 您对比一下。
[08:50.470] 现在你们没有什么拓展。
[08:54.810] 什么意思？没有满意。
[08:56.890] 什么都展示，可能都有什么优惠和重大的这么。
[09:01.350] 那就是拍卖车，
[09:03.460] 如果能碰到。
[09:04.880] 车的话可以拍卖车。
[09:07.030] 对，但他也是新车。
[09:09.850] 还有脖子长车吗？
[09:12.560] 对是的对。
[09:14.380] 说你还记得。
[09:15.550] 行，你这样我看一下。
[09:21.800] 保养的话也去你们店的是吧？
[09:24.350] 没有强制性的。
[09:26.870] 马上一次能花多少钱？
[09:29.490] 千1000出头A吧。
[09:32.810] 还有多少钱？
[09:34.190] 1万公里左右。
[09:35.620] 都送了很多酒，
[09:38.500] 赠送东您到店，因为我们这边不强加做装饰，就现金优惠。
[09:42.720] 你确定的装饰不成家的。
[09:47.920] 对。
[09:49.410] 你们店里面有没有进车有吗？
[09:51.660] 有进口的就是只有轿跑版的，
[09:54.950] 一三百进口的车，目前是没有现车的。
[09:59.850] 只有做好的对不对？就没有13版的产权。
[10:04.040] 对1260进口。
[10:06.720] 我们不能考虑进口和国产到底区别不大，正常了。
[10:12.060] 整车进口就是不一样，到时候您可以过来看看对比下1260进口车，您可以过来看看林楠和一三百一样。
[10:19.750] 这个扣火车真除了车不能扣掉。
[10:22.460] 可以。
[10:23.990] 可以扣。
[10:26.140] 你们店里边住，我可以帮你吃掉是吧？
[10:29.340] 您自己应该也可以加热一下，但具体到时候。
[10:32.520] 不买他按说不让就说我那时候验收的时候可以别给偷掉的夜车吗？
[10:36.990] 不行，你这车标配什么东，他都合格证上都有。
[10:41.090] 比如说。
[10:42.340] 他用。
[10:42.820] 验完之后在内容之内，你可以谁知打打。
[10:47.570] 那行。
[10:48.790] OK明白了，不要加我微信到微信，然后那边给
[10:52.250] 每天我把每个月约时间我去看看错。
[10:56.020] 好了没问题，就加你手机号是吧？
[10:58.300] 我现在还打我还
[11:00.140] 我从来没看过好一点你知道吗？因为我知道是真的从打开是吧？对，因为说我看萌萌习惯，
[11:07.030] 他一般触动，谁知。
[11:10.020] 您说叫感应的是吗？
[11:13.050] 对于光我知道她怀了不是叫的位置。
[11:16.820] 是的。
[11:17.400] 但问题是以后有关有没有查透露说不能。
[11:22.300] 不会没有，他是一个换挡拨片，没有你想的那么大。
[11:27.430] 对，因为说我没见过是说我就是那个啥。
[11:31.560] 对。
[11:33.070] 行反正好就可以，如果说我这边怀上以后就这边打。
[11:38.970] 对是的。
[11:39.760] 没有是吧？
[11:41.390] 行OK，你这样你待会你加我微信，你给我开开几个里边，就是你先拍几个差不多篇我画一下。
[11:47.570] 好没问题。
[11:48.770] 对，然后你说话你的位置我想约一个。
[11:52.640] 我告诉你。
[11:55.110] 一块过来。
[11:55.800] 行。
[11:56.480] 因为我媳妇一直想买奥迪知道吧？
[11:59.840] 没没事儿，您可以一起对比一下，咱们园区也有奥迪店。
[12:03.630] 你奥迪对联系有好几遍看看。
[12:08.050] 可以行，我加您微信，然后没发照片你先看一下。
[12:12.630] 好的行，拜拜，好了好再见。
[12:16.290] 还。
[12:17.640] 28。
[12:24.630] 了。
[12:25.580] 话。
