[00:01.660] 您车号京qs3，P63T5，
[06:07.360] 我可以说。
[06:08.920] 想过了。
[06:10.070] 你看片他们不两张，
[06:17.270] 一大片没话了。
[06:18.520] 老板
[06:20.250] 就这样。
[06:21.640] 您
[06:23.080] 对于花几刹片
[06:25.840] 还有我看您的
[06:28.040] 前面有张小，
[06:32.650] 有一点
[06:34.900] 有点
[06:39.050] 17年8
[06:44.560] 刚脱离水，
[06:46.100] 在玻璃上画的的
[06:48.510] 搜索
[06:51.080] 那个意思。
[07:18.360] 他传感器就是测空气，
[07:21.430] 他就是配比混合气，明年就有点不想干，因为今年数据时代特别火，今年给您不了，今年收入技术顶受影响，对差不多都受益，对，今年能不换我真的无氧化，明白。
[07:36.350] 咱们
[07:55.850] 电瓶应该是没换过。
[07:57.810] 平时没放假。
[07:58.720] 但是现在你看我这边有两片，
[08:01.580] 我经常出差，有时放一段时间一打野号，
[08:05.640] 我感觉电池还是
[08:08.030] 其实已经有点深夜了，你看上面三夜鹰，
[08:14.190] 还是建议中这东西。
[08:17.560] 也有可能您说等我打着车你再换也行，但是已经出现有点生硬，
[08:23.570] 而且基本上年纪会特别高尚，对微软到年了，
[08:37.560] 轮胎都是新犯的。
[08:39.160] 轮胎去年。
[08:40.960] 不过这轮胎您在外边换了。
[08:43.100] 装反了。
[08:45.920] 因赛装装窗外。
[08:48.430] 这样子对应该反过来。
[08:54.200] 12片都还可以。
[08:58.130] 30点和轮胎也喜欢，
[08:59.820] 对吧？
[09:00.950] 18年
[09:12.760] 玻璃上有点小，
[09:15.990] 石子崩的。
[09:17.360] 我高兴。
[09:30.530] 一些外商四川碰碰的一些外伤避免不了，
[09:35.390] 然后就调动一下
[09:39.480] 打扫。
[09:40.280] 没事。
[09:44.560] 怎么了？不我信。
[10:01.670] 行，您到前台。
[10:11.800] 这个再也没带上就行了，没事。
[10:14.410] 一会就给挪挪走了。
[10:17.260] 这车今儿个估计也只能是排队，现在车做召回的车太多，不着急。
[10:23.450] 少一点。
[10:24.370] 刚出生的了。
[10:27.650] 这边登录。
[10:34.650] 您照一下你。
[10:35.700] 知道了。
[10:38.270] 那个电话您我改了了13311500。
[10:43.400] 对08 07位。
[10:45.000] 三。
[10:49.390] 的
[10:57.960] 您刚才说保养召回、
[11:02.080] 肉35。
[11:04.290] 您说刚刚启动了，就是说您说一踩油门前面说有点动，你皮带轮有点想。
[11:11.890] 什么皮带卢对，我到时候车间再查一下。
[11:17.490] 像一般要更换的话大概多少？
[11:19.860] 评价轮就看哪个罗想如果要单换的话，要整个都换的话得3000多块钱，单换的话就看
[11:30.000] 工时费就看哪一个逻的价格多少。
[11:32.810] 钱它是一套。
[11:35.060] 一共有三个轮和一套疲态。
[11:36.970] 如果要是单换这一轮，有可能到冬天它会出现这皮带，想可以有
[11:41.800] 是车间这边建议他说看换一个还是。
[11:46.060] 对是成套化大概下来乱七八糟的4000多年。
[11:49.620] 对，就是皮带这一套假刚才。
[11:51.700] 吸气量检测大概
[11:55.630] 然后要弄一下的话大概1万块左右。
[11:58.360] 对，差不多发动机黄灯。
[12:04.880] 都在开放。
[12:06.690] 因为现在去年好点，今年的检测电脑就是上线检测现在都是opp。
[12:13.130] 产就是他们进到系统里边也会。
[12:16.680] 也会测整个系统，今年得验车比较去年比往年都严了。
[12:22.710] 谁知
[12:24.890] 要发电，
[12:27.360] 刚出来的时候，
[12:30.240] 10万了。
[12:32.170] 这次的基础保养就是说A宝就不用花钱了，换机油机滤不您咱再单独花钱了。
[12:38.510] 马上那里抓和。
[12:40.050] 对雨刷片短线我女装就一下一堆。
[12:43.660] 对。
[12:45.280] 不说。
[12:47.590] 火花塞换过了。
[12:52.500] 虽然油画我。
[12:59.120] 您应该换皮带应该单换一轮应该。
[13:04.680] 问题不大。
[13:06.480] 现在是反正跑了，我看您这记录是。
[13:09.110] 6万公里的时候换过一整套，应该是一换过一套，现在跑了24,000了，应该有一个轮。
[13:15.150] 现在肯定是有楼享有
[13:17.620] 个别的啰。
[13:18.740] 谁知对也行，反正因为这皮带想他有可能。
[13:24.170] 他已经轴承有点磨损了，出现这行就已经有磨损了。
[13:28.550] 他在厉害，有可能就暴死，所以还是建议修一下。
[13:32.820] 看到了费用不太高的话，就这块行。
[13:36.520] 单换一个估计得
[13:38.850] 怎么也得1000多块钱，待会这一轮连工带料加起来得1000多块钱。
[13:44.310] 要换一套，可能会。
[13:46.600] 有一个张紧轮应该是不用。
[13:49.950] 站起来，我看您换过了应该问题不大。
[13:53.390] 正镜头借。
[13:55.350] 先检查一下，完了报个价。
[13:58.910] 行。
[14:02.500] 您坐一下等我一下。
[14:18.130] 还有您发动机机舱水乡冷气该清一下是580块钱。
[14:26.360] 电瓶您是先用着。
[14:28.450] 行，变形了。
[14:30.470] 电瓶是一。
[14:32.110] 246。
[14:33.390] 这是保养，这次这一项是不收钱的。
[14:37.190] 电瓶是1246，我要换原价是1930。
[14:41.280] 四能再优惠点回调。
[14:43.510] 就给换了了，这个价格是最低的，对。
[14:47.880] 如果你先帮我把电话加上看重一下，我给您加一下。
[14:51.960] 那就是先把不用花钱的消费去掉，
[14:55.990] 一个点评。
[14:59.630] 稍微有点
[15:01.210] 上面有一个空调路线，
[15:03.960] 他该放我不用化妆品。
[15:05.760] 空调滤芯我记得不是才放了。
[15:08.000] 朋友你是不是一会弹性。
[15:10.650] 可能没算对他去年弄我问我今年就做了。
[15:13.930] E保养，对去年就做一个保养。
[15:21.070] 机舱。
[15:24.320] 空调
[15:26.330] 加上的话得
[15:28.770] 3800块钱，总共加如果再加上皮带有可能得3800加上1000，
[15:35.320] 1000多一点得5000块钱，
[15:37.650] 你皮带你慢慢请先不加你先按这个来好吗？到时候皮蛋你想减再看看能不能比如简单的在正常来讲能够因为我一年也就是个1万顶天1万公里，我这
[16:00.970] 这很不一样。
[16:03.270] 比如现在没加上，
[16:06.450] 我点评一下时间也到了，对用的确实不少了。
[16:11.730] 就像你说的等哪天有机器的时候，突然间对这情况的。
[16:17.240] 就是这情况。
[16:20.110] 前两天有一个客户也是。
[16:23.550] 发现刚做完保养两天三天他还订了一个配件，他说我那电瓶先不换了，他有一个。
[16:34.110] 不是一什么世界了。
[16:36.360] 除了召回。
[16:38.470] 我们航空是什么全下来这些肯定下来这么多，对保养的这些项目，包括清洗水箱冷凝器发动机。
[16:45.550] 有照片，还有空调滤芯杀蚩尤电瓶都算上这些都是最低价了，这就是我给您打固定价是3834，我就按这个项目先给您做。
[16:56.470] 行，到时候如果这样的话，肯定下来之前就这钱也不会超，也绝对不会超就不会变，咱就做这些项目就这么多钱，对，现在有个单位工程检查。
[17:07.000] 想着是吧？行。
[17:13.660] 的
[17:20.740] 的大型B
[17:27.910] 二
[17:37.720] 的。
[17:38.860] 您找回这一块给您做。
[17:41.500] 长一点。
[17:42.780] 反正也是
[17:43.850] 也是跟您强调一下时间，因为现在的确压点压车压的比较多4年，所以得三四那三四天，
[17:51.870] 这边就什么时候做完，您可以，这是嘉嘉一下我的企业微信，
[17:56.700] 有什么事您可以电话或者微信。
[18:09.520] 场
[18:11.420] 数据
[18:14.760] 数据、
[18:17.370] 数据、
[18:19.370] 场。
[18:20.780] 五
[18:26.720] 的。
[18:27.930] 爱上你了。
[18:29.480] 你去了
[18:31.760] 的。
[18:32.950] 维修。
[18:34.450] 没有吧？没有，但是
[18:38.400] 你的性格没有，还有
[18:43.910] 要换一个
[18:51.160] 数据
[18:55.850] 的
[19:00.280] 的
[19:01.300] 的
[19:03.150] 的
[19:05.270] 的
[19:14.560] 的
[19:16.540] 的
[19:20.010] 大
[19:24.370] 了。
[19:33.550] 下午
[19:42.510] 发票。
[19:49.400] 发票原来有记录在专业，股票
[19:54.180] 转发的哪些呢？
[19:59.310] 这些都是导演的是。
[20:01.430] 对是刚才已经三天了，对三个人我这是千2000您先您。
[20:08.410] 对，就千万说一下。
[20:10.600] 您再等会您再发给我一张，您加我微信先发给我，还得放弃。
[20:16.810] 对，我在这里对您家咱们同一下就算了。
[20:20.620] 行好了，我通过一下。
[20:22.520] 原来是伴有记录的，不是开专票，是每次有一个模板
[20:28.890] 要盖公章的，现在我们得重新。
[20:32.940] 提前做一个模板。
[20:35.640] 行，然后您有时间您发给我就行。
[20:39.350] 我现在看好勒，我就走了，行你就甭倒了，有什么事我再跟您联系，再见好勒。
[20:45.300] 好勒行了。
[20:47.510] 这单子您拿着行好勒。
[20:51.440] 做完之后我通知你们。
[21:00.630] 好再见好勒慢慢勒。
[21:03.280] 下来出来。
[21:04.310] 好好，您坐这稍等我一下。
[21:09.210] 您那就还定米其林的是吗？推动型。
[21:14.760] 我把。
[21:15.940] 刚才就在那个是吧？
[21:18.150] 倍耐力的撇A倍耐力的，你昨天还有贵的，
[21:22.240] 贵的好像就是570点。
[21:24.440] 对比起来好像是每天的
[21:28.050] 这种注册的
[21:32.760] 什么都贵了，然后现在
[21:36.120] 普利司通的会
[21:37.920] 可能失踪的2000多一条
[21:41.340] 的
[21:50.820] 的
[21:52.480] 数据。
[22:01.580] 网
[22:03.400] 刚才您开过来的时候，
[22:05.270] 高位刹车灯也亮了。
[22:07.050] 没事弹过了。
[22:08.550] 做了。
[22:10.100] 那就是一个电气故障。
[22:12.110] 没事儿。
[22:14.540] 是没事，但是验车有影响，知道电荷做不了。
[22:19.700] 上
[22:25.120] 刚才
[22:28.780] 杨剑波过来。
[22:37.110] 我不休息。
[22:39.010] 昨天休息。
[22:51.300] 我两过两天回家休三天。
[22:54.420] 三
[22:59.200] 的。
[23:00.690] 三
[23:05.240] 快。
[23:12.170] 信号不好。
