[00:01.080] 7月16号上午11:30接待
[07:23.310] 给商家开心，然后还要迁就海量的的没有。
[07:28.080] 没有之前没出过问题。
[07:37.210] 咱俩一块。
[07:51.370] 然后给我看，就从你看见了153153的，
[07:55.060] 他老打电话问我怎么处理怎么处理，我让他把车送过来。
[08:00.180] 他又打电话吗？
[08:02.070] 他从早上开始从昨晚开始就没有消息，你知道吗？就老来骚扰我。
[08:06.440] 真的我要解决不了，我又不能怎么处理，我也不知怎么弄，跟说过两天收获让他过来，他又不过来，
[08:13.380] 不过来我让他他说你他是上班早上把车给开过来，开过来我说让你开过来你首先跟试车，
[08:20.080] 既然是跑偏的话，肯定一起试一下在那吃，他说你就开始你看我可以看街头了吗？
[08:25.870] 说些废话着在我就没给他回，
[08:28.300] 他又打电话过来了，
[08:29.900] 就让他正常修就行了，这事还是他钥匙，然后他就说很多废话，就特别影响人的经历，你知道吗？他跟我就发牢骚，
[08:37.900] 跟我说，说你们车退也这又威胁，用什么来找媒体，又找记者又曝光，
[08:44.160] 你就随便是吧？
[08:45.530] 你想你觉得要这问题没法解决，你就自己安排就行了，我只能这么说了，我已经没法
[08:51.130] 没法接受这个客户了，这些东西就只能说是正常往下走，您说您找民众媒体找到是找到都不是，你管的不是我，管的不是徐州馆的110，我
[09:00.010] 对你就跟我整回去被一根或者你就好好解决，咱们就是我说了好解决，我说了我说你中奖最大的一些东西对不对？如果说你我不起这茶，我不提他以自己就找准不要这东西你知道吧？
[09:13.970] 我去先吃下去了，你等我10秒钟我跟你说4秒钟，
[09:18.480] 昨天似乎有一周的，前面有三天才能你跟他说得话先打开，我们是何等的我可没这么说过，你是不是有什么是不是你接待的，我也不是我接待的。
[09:26.890] 不是我可没遇到过这么愚蠢事，我宁可不给他，我也不知道花钱买。
[09:31.120] 我没有我没遇到过。
[09:38.590] 这边咱从这里开始。
[09:43.050] 咱们试驾的路线是没有
[09:45.600] 围绕四环辅路，你先市场后市价公里处大概是9公里13 20分钟左右，
[09:50.920] 这个家是转接先生好了，
[09:53.250] 正好吃饭完了有吃饭的地方，他好多家都早都吃那么好，地方没
[09:58.740] 是吧？我们一直按照飞机没停过，一直开地铁销量很好，忙不过来都实际上
[10:05.910] 非常好，每个都300多块的销量多好，对，比以前时间还好什么的。
[10:12.320] 一直卖房子小弟到了吗？
[10:15.490] 找教育，我帮您问一下，您这样说，因为您取车的时候你顺便问一问他那单子都有备注的。
[10:21.250] 他们都在那里，对，就在那里取，要挨着取，您在家放水吗？
[10:27.760] 台湾都可以了。
[10:29.080] 好的，稍等一下别。
[10:31.760] 那也行。
[10:33.640] 正好咱们这320的试驾车贴换了，您要买350I刚刚好，
[10:39.160] 太好了，我也得记下去，我说正好能送到你想要买的车。
[10:44.010] 是稍等一下。
[10:53.250] 我在那心是诚，咱们到围绕四环辅路到南坞桥调头，
[10:58.050] 我开一半您开一半，您充分感受下这车的一个内是冻的交警一两百万，
[11:03.400] 这个也没有。
[11:05.720] 他记T分队员100多万，
[11:09.200] 谁知
[11:13.290] 多少？
[11:14.670] 对他每个产品
[11:17.720] 快。
[11:19.280] 对
[11:23.440] 这个就是书房里
[11:27.810] 在这个数字的时候，
[11:30.080] 可没有四五十万30多万、20 23，
[11:34.080] 对二三十万。
[11:35.790] 这个时候。
[11:36.820] 您先坐副驾，这个是迈巴赫吗？这个是迈巴赫。
[11:41.110] 卖马克450，我刚刚在大厅里面看看里面的
[11:44.800] 老板。
[11:46.260] 对您SOHU点。
[12:06.010] 6月3。
[12:07.050] 对，三五元就是元成原样，外观是炭灰蓝的颜色，
[12:14.200] 也是这个品牌。
[12:15.240] 对，屏幕都是一样。
[12:17.260] 对350是高配，咱们类似都是一样的，搭配是一样的，就是无非一些配置方面有什么差别，
[12:24.750] 比如说像座椅通风这些差别。
[12:30.810] 这是高配高。
[12:32.080] 对高配。
[12:34.930] 稍微开朗一点，350的高配三十三50整个是在整个级别里头还是最低的地方。
[12:40.460] 对，属于入门级的S技术，
[12:43.060] 但是配置完全够用了。
[12:45.190] 你把安全带系一下，对。
[12:46.940] 光看下去没关系，这个车的基本操作可简单跟你讲一下，摆在最下面是地道，这里能显示
[12:53.770] 排在最上面的道道跟咱们以往车一样，以往的不知道你开没开过白打车，
[12:58.930] 是吧？所以说他稍微有点差别，掰到最下边是D档，就15骗子的位置，
[13:05.590] 排在最上面到达都能看到，中间按一下是替代是个喷泉受到奔驰是吧？
[13:11.410] 那就没有问题。
[13:21.990] 那车有点长。
[13:23.680] 5米多的5米。
[13:26.430] 后面
[13:41.750] 对车的静力性非常好，你看启动的时候没有那么多声音，
[13:54.710] 但是我觉得350的
[13:57.810] 85万多这块已经足够了，
[14:00.280] 因为很多功能配置
[14:02.030] 基本
[14:03.190] 有，当然最好都是锦上添花的功能吗？
[14:24.550] 您现在看的是什么车？
[14:26.320] 老款的5系那也是瞎闯的那种。
[14:29.610] 厂子差不多，然后
[14:32.430] 有台路我发现
[14:34.560] 打算用哪个车置换？
[14:36.840] 露露我发现
[14:38.630] 被人修坏了，修坏了赔了我一台新车的钱，
[14:42.180] 所以我就想
[14:44.320] 直接把路虎就相当于报废了，赔了你车整7那个钱是吧？
[14:49.260] 还做的保险吗？还是？
[14:52.050] 不是他店里面。
[14:53.540] 我是没到4S店。
[14:55.760] 我贪便宜我去投壶。
[14:57.980] 其实很小的部分就换一个发动机，防冻油叫什么？
[15:03.930] 在那做。
[15:05.220] 整个发动机循环系统叫什么？
[15:07.590] 姐你节气门清洗，油路油路倾斜，然后我里面要打什么东西，要让发动机开着，然后让它整个循环一遍压排气。
[15:16.780] 那就是节气到。
[15:19.360] 对，就那些东西就不工业什么的，然后他提交图我去了几次，人家说我们都show劳斯莱斯，你看我院子里头再次有时候一看这个了，
[15:28.630] 我老台词比较车，大概心情还是挺大，旗舰店
[15:33.650] 要把我整发动机整的最后
[15:36.490] 排气没排好，
[15:38.280] 原来好吧，你气温过高，
[15:41.310] 然后就把进气管给它烫焦了，怎么这么粗的关闭淌掉了，炸鸡发动机，
[15:47.670] 还是要换发动机，发动机环保登记可不得了了。
[15:52.070] 那就伙伴的车站，对还有很多安全隐患，他那一拆房子一拆就是
[15:58.240] 对，还不要说还羞，他说要给我修，我他为什么修那简直了。
[16:03.870] 没事，我说你修可以，但是要把编制结算出去，
[16:08.030] 并且它修好了以后也有安全隐患，也没全国也没有这样事情，因为它是一个资本融资的公司，它有负面新闻的，
[16:15.070] 然后直接打到他们总部去，跟他们副总
[16:18.050] 沟通协调的。
[16:19.790] 我也没发火，我就告诉他我是搞法律的。
[16:22.840] 我说我所有的东西都有结果，
[16:26.550] 关键是他们修车的时候有个急事喝酒，
[16:29.440] 喝酒了那个车已经在卖仿冒半夜了那个房子，
[16:35.400] 漏了冒白烟，
[16:37.480] 到白烟以后没正事，
[16:40.490] 他们还要找漏水，把车放到电车开到4000转，
[16:44.950] 公开。
[16:46.120] 那么发动机温度更高了，车然后我就赶快安排同事给我，
[16:51.760] 还要提供
[16:54.610] 后来上了别笑别掉脱掉这样。
[16:57.360] 还是不想他们可能做好的东西还是没有经验，对我那车卖了86，他配了78，
[17:04.620] 开了三年也还行。
[17:07.320] 对了，中航这种事全国也不会这样发生。
[17:12.270] 对，但是你开了三年的车的，
[17:14.830] 你还按那个车价等于是让你去买个8500，我说卖的太
[17:20.190] 不可能。
[17:21.270] 实在受不了。
[17:22.790] 本身
[17:25.590] 那个车就是他比较娇贵，因为那车他没有自主的零部件，它的全是用其他品牌的领土，
[17:32.630] 他修起来是非常重要，也要小心的。
[17:38.350] 可是要走进了全要。
[17:40.420] 你还真不错，他真的不错，对我找别人差。
[17:45.340] 对，那店线下店是加盟的，人家加盟商一年都挣不到100万给你配人车，人家肯定
[17:51.600] 你不陪没钱。
[17:53.000] 说你不陪不费，我都不跟你说了，直接调总部开张发票过来。
[17:58.990] 针对走。
[18:00.180] 是那些线下店就是赚了这么钱。
[18:04.080] 那些什么枫叶那些东西看一下有图不送，就是一损价对易损件。
[18:11.590] 针对那些东西保养的东西，人家
[18:15.160] 几平房子夜能挣钱，为啥车皮呢？
[18:18.700] 这里面
[18:19.880] 这个车体测可以提速，没问题。
[18:22.720] 很轻松了以后有没有程度没有太深。
[18:27.200] 查
[18:34.540] 本身
[18:41.800] 号。
[18:43.100] 操控性会更好一些。
[18:47.170] 会快一些。
[18:56.320] 比较舒适。
[18:58.870] 安静。
[19:00.160] 比较好。
[19:04.230] 的
[19:21.970] 拿到手了。
[19:24.020] 妈我这车是
[19:26.560] 我只有一张另外一台车，
[19:30.320] 就拿我们的车
[19:33.440] 换车换不了无线
[19:37.970] 了。
[19:39.720] 是小孩外签掉，签掉然后还两个小孩接过来用这是吧？
[19:44.820] 我问你一下，
[19:46.380] 原来车牌是花钱买的，
[19:48.800] 然后现在换一台新车都迁到新车站去，
[19:51.880] 花钱买了谁的名，我的
[19:54.370] 没问题。
[19:55.420] 它不会像现在你老牌收回去，然后给你新的摇号取消，但是要你欣喜去选号，不会，他现在本都是你的名了吗？就是你的指标了。
[20:05.440] 外号可以跟我走，这队排好可以给你走一年以上就可以保留原牌照。
[20:15.090] 他现在是有这么一个政策，
[20:17.560] 一个人名下不能有多台车，对，好像新出的新出台的，但是还没有实施。
[20:24.240] 对，现在问正在对来着。
[20:58.990] 他调座位，座椅是挑哪个？
[21:15.920] 可以
[21:18.350] 暗示对方什么车？
[21:24.510] 霸道是吧？
[21:25.910] 可以就准备要走保险修车是吧？
[21:29.760] 可以走了。
[21:31.750] 晚上行你就自己安排，安排以后定损的话留我们店的就可以到时候把车给偷开过来做个定损。
[21:39.430] 好勒拜拜。
[21:43.410] 车臣。
[21:45.750] 商务车起步还是
[21:50.100] 对，跟我那车差不多重。
[21:52.720] 这起步速度差不多，我那是523跟有点像。
[22:00.670] 咱得主路坐火车路过。
[22:07.440] 亲爱的你先吃饭，你的手机
[22:09.110] 大概3点以后回来，然后当时给我打电话，这个时候打电话我拿给你。
[22:28.500] 哥，
[22:31.330] 我在客户试驾。
[22:37.090] 是吧？
[22:38.350] 行，我用打过去。
[22:40.280] 好勒，拜拜。
[22:44.660] 它的音响在哪里？
[22:47.730] 看看
[22:52.350] 这是什么影响呢？
[22:53.680] 这块
[22:57.080] 有十十几个三年，
[23:04.630] 那是有两三个
[23:05.640] 特别
[23:06.570] 看看。
[23:08.080] 其实业务还是可以商量，谁知到S
[23:12.040] 咱们还有一个主动制动系统，但是怎么样？
[23:17.540] 系统什么概念？合理
[23:20.160] 号。
[23:26.560] 的
[23:29.060] 在你相处的时候，
[23:31.790] 如果乾隆对前方车急刹车了，咱们之后就打电话组成分成了他车辆100块会出现一个三角形的小红灯，
[23:39.280] 提升自开车，如果你没有采取措施，紧急的会有一个低声音的提升。
[23:43.240] 如果你依然还没有这辆车的话，他在7里面的车也会帮助其他车
[23:47.670] 就停住。
[23:48.430] 因为你强撑着这一块。
[23:49.980] 这叫智能是吗？
[23:51.590] 主动式智能服务系统这一层这个功能一直存在的光亮，
[24:00.190] 低配的有套模式防御办法，
[24:03.340] 低配的那样。
[24:04.440] 对品质，
[24:05.740] 对仿皮的的对D公司
[24:08.790] 跟大盘的审批
[24:10.130] 真便宜，哪怕是南海
[24:12.150] 就低配也是腊八。
[24:21.680] 包括黄点金色你看到
[24:23.480] 小比较好的，好对其他品牌现在都有了很普遍，但是咱本事有什么特点呢？
[24:28.660] 车辆停止的时候，
[24:31.140] 他在三分钟之内都会起到一个作用，就会延迟三分钟，
[24:35.280] 避免什么？因为你车停好以后一拉车门突然过来个自行车，行人他没有提示，这样的话他了。
[24:43.190] 对，从那出口出去了。
[24:46.320] 它能监测到经常到情人或者自己可能接触到
[24:55.450] 他这个动力能达到多少？
[24:57.620] 当
[24:58.950] 你们的数好，
[25:01.280] 200 220平米的，
[25:03.590] 190 300 258马力，250
[25:08.490] 都是0，
[25:10.410] 基本上在北京开。
[25:12.360] 对。
[25:15.360] 原来
[25:17.040] 喜欢开长途车，现在
[25:19.600] 我想
[25:21.580] 长远
[25:22.640] 由原来30岁
[25:25.370] 到40岁还开1000 1000公里，
[25:28.740] 一会儿就到了，
[25:29.850] 中间不再休息。
[25:31.720] 你下车的时候是不是都不可走路了？没有你习惯了。
[25:36.610] 你习惯了就没事，现在开个5个小时要找这班车，开2个小时找个地方睡，会看一点小事又找地方。
[25:44.710] 不行，咱这话这年轻，您对40岁以前大锅，你现在也不大看到，
[25:50.310] 但是明显感觉到体力有点不。
[25:53.040] 我原来开楼发现是老冰棒跟中国
[25:56.500] 到处游山玩水去了，
[25:59.800] 他那个车也喜欢，那车里没他沉，
[26:03.760] 那车他听他不到10个油，
[26:08.100] 那还挺省油，对不对？
[26:14.270] 确实挺省油的。
[26:17.310] 你去到处玩的话，他加油的话有品位有品质有要求吗？
[26:21.170] 他那个车还好，
[26:24.080] 不是那么清晰。
[26:25.620] 还要扫。
[26:27.520] 咱们
[26:33.300] 这车过来第一次吃掉。
[26:35.090] 是吧？第一次还感觉
[26:37.770] 2.07还是差点意思。
[26:39.640] 跟6缸车
[26:42.780] 还差了
[26:44.140] 6级这6缸的话就应该上400以上了。
[26:47.390] 62米。
[26:48.880] 车是6辆车是吧？但是也是按调笑着的。
[26:53.650] 33
[26:54.670] 3.0的，这是3.0~3.0的，你们不做2.0的车子不坐了，2200的人取消了。
[27:01.870] 消是吧？你还是卖过一段时间，车队半个月时间2~033。
[27:06.600] 取消了，那3.0就好了，到6点对。
[27:10.400] 他3.0的加了一个48伏地往下往上上面
[27:17.040] 喜欢不知道怎么坏，
[27:28.900] 开车很小心，
[27:30.340] 基本上都不会发生。
[27:33.070] 开开玩笑，
[27:44.520] 的。
[27:46.130] 对。
[27:51.350] 汇报
[27:53.510] 往下
[27:56.150] 网上
[28:07.040] 打开对我们俩都没。
[28:11.930] 那边还有公厕功能吗？
[28:13.740] 有车要达比较长吗？
[28:15.800] 这个车在吗？
[28:17.600] 我是靠他进来点赞一下，可以再调一下往前上一点。
[28:22.600] 其实您看习惯了以后特别方便，您看一下是吧？你能感觉到之前的账号里就可以了。
[28:31.060] 没关系的。
[28:40.730] 我看看都不行对吧？
[28:45.620] 不用没关系，然后
[28:47.980] 然后等一下对等一下，然后再一键启动的按一下。
[28:52.200] 再按一下下，现在松吗？
[28:54.910] 送地方快乐。
[28:56.560] 对这类菜就贴车了，不用手刹什么，他手上全是自动的，你推车的时候它自动配垃圾，然后你挂D挡自动解除，
[29:04.690] 全是自动化的电子受伤。
[29:08.710] 这是我的手机。
[29:12.330] 这是什么？
[29:13.860] 这是智能启停，智能启停一般都不用我那开发票给你发掉了。
[29:20.250] 但是我路虎有，但是开个半年这个叫时效的，他说是没电的。
[29:25.380] 你这个车祸现在没用了。
[29:27.170] 存在的。
[29:27.930] 对一终生都会有热，对，他是只要你启动的时候，它你有时候红绿灯
[29:33.860] 一踩油门它就熄火了，对，然后立起动图上，我觉得可能对发动机老是就相当于开启了，反正其实还是有一个。
[29:44.570] 影响它的寿命的，对，没有不用它会更好，对，这可能是这样的。
[29:50.200] 只要你每次启动它都可以。
[29:53.200] 面色的里头他就变了吗？
[29:55.380] 但你每次
[29:56.360] 关闭了还有
[29:58.550] 必须的。
[30:00.040] 的。
[30:01.230] 一样的。
[30:29.390] 动力就是低配动力，
[30:31.990] 跟他是一样的。
[30:39.850] 咱们去楼上看，楼上应该又上来一个车，
[30:42.670] S级的
[30:45.490] 动力都是一样的，他们输出功率马力都是一样的，
[30:49.650] 就是一个配置上面的差别。
[30:54.470] 可以考虑做一个分期，咱们有县长
[30:58.080] 可以先付一半，
[30:59.500] 50%，
[31:00.680] 然后每个月还几千块钱还的是利息，
[31:03.240] 到第48期的时候再把那50%还40万其实就是
[31:07.080] 到8点。
[31:08.260] 4年4年对下半年。
[31:19.010] 一会我给你算一下，算利息还挺高
[31:21.340] 的，一个月要不要5000块钱，一天用不了那么多。
[31:25.390] 都不了。
[31:26.530] 对，没有。
[31:29.750] 现在候选的
[31:31.570] 这个点的话它比较高，
[31:33.840] 咱们这个也会高。
[31:35.760] 对他的优点为比较高，它的唯一的好处就是你看现在的股市也比较好，你可以把50%做一个
[31:43.250] 理财股市，她都能把你的利息钱完全给政府，
[31:52.220] 平摊到每一个月的话没多少钱，
[31:54.620] 整体算一个总数感觉挺贵的。
[31:59.070] 那就相当于借了大概4个多点。
[32:02.750] 一年4个月，
[32:03.980] 年化利率4个亿以上。
[32:07.100] 然后还说家具也是不对，也
[32:09.670] 你们不做手术肯定了，改革
[32:12.080] 有空了，对，所以说为什么现在90%的能够分期，因为分析从某种角度考虑也是一个变相理财，
[32:19.640] 是吧？你一个可以把贷款膜作为一个投资周转，可以做一个股市也这么好，
[32:26.470] 头一个股市
[32:27.930] 可能政府的。
[32:28.970] 永远比独立性。
[32:29.710] 一要超出很多，
[32:31.610] 充分利用这些。
[32:36.550] 这都是借银行的钱。
[32:38.210] 对先进银行再掀销售单，从设计上进行处理是吧？商办贷款
[32:43.970] 是吧？
[32:47.610] 先借银行的钱先享受，你看现在买房买车都是一样，
[32:54.520] 我们可以是S的，他们的
[32:58.980] 对，刚好因为是昨天晋升的。
[33:03.300] 这个
[33:05.140] 说配置你看方向盘有点差别，
[33:09.440] 但它的大小都是一样的。
[33:22.580] 对，好了，少了一个座椅通风，
[33:30.760] 找了一个最高峰甩一个放键盘跑步放在盘，
[33:34.280] 后面一个排。
[33:35.490] 后排出风口都是一样的。
[33:37.300] 一样还少了一个柏林乡柏林声音相当。
[33:43.460] 这个座位可以调吗？
[33:45.600] 注意可条件角度口条大概已经投到这边，
[33:50.500] 平方高层下面这个调整下面调不了，
[33:55.560] 下面这道他能伸缩，可能往里蜷缩，这是一次对其实就算口条了。
[34:02.490] 是吧？
[34:05.120] 这这也可以，他对他有
[34:08.930] 气坐到窑口，
[34:10.520] 是吧？
[34:11.240] 咱们前面有腰部支撑，
[34:13.750] 和下要不他们可以
[34:15.600] 他出风口和什么样？
[34:18.180] 一样的，
[34:19.880] 搜索格式一样的，对冲空调的出口都一样的，后边可控的调节都一样，
[34:25.330] 那种分区空降的应该不算，分独立分区空调都冲到瘦瘦这种操作，对，然后温度可自己调和自己关闭。
[34:34.490] 其实我建议配置就可以用。
[34:51.250] 还有一台车
[34:53.310] 跟一样的行。
[34:59.260] 压力
[35:02.060] 也
[35:05.520] 不一样，
[35:09.970] 一样差不多一样的不应该。
[35:13.220] 一样的，那也是非常难的。
[35:15.200] 十三五的是2.0的，那450还是差点。
[35:20.410] 那就是35350是2.0T的2.0T但是刚是6-，
[35:25.950] 四方应该说350是4根，
[35:29.120] 我说GRE的3504~2.0，T的也有35635014082也得70多万，
[35:37.080] 全部办下来，办起来的80多了，
[35:39.610] 46个。
[35:41.330] 66座5万和5个车多少？
[35:45.430] 就做了一个方案来看一看可以已经收了吗？
[35:49.430] 我不知道，我现在知道，可能他知道。
[35:57.360] 新东方
[35:58.230] 我有一个很好的价格，
[36:01.950] 咱们
[36:03.710] 然后就那种开会刚到不断了已经
[36:08.110] 了
[36:12.870] 的话也接下来黑色
[36:15.300] 我基本上都是的是吧？特色，但是真的好看。
[36:19.740] 对，要是满分，谁知
[36:24.200] 国内开始了又怎么样？
[36:26.720] 马6,038,000块钱。
[36:29.420] 18块钱。
[36:30.600] 那条2:24的有点车上面。
[36:35.330] 高三有一期百4=7，对。
[36:39.150] 112 80上。
[36:40.930] Ps40，结果回去，人家说最后又不买，天天喝酒奔驰奔驰还白色不就白送了。
[36:49.090] 然后我们都比较头疼，
[36:50.660] 要讲的这句话，
[36:52.280] 对大家做生意的比较多的，你来说
[36:57.030] 但是说实话奔驰你还真得考虑上去一把S车
[37:01.440] 更好的黑色，
[37:02.770] 因为它是纳米水，这颗星他智者质量不好，特别亮，
[37:13.120] 一样的。
[37:14.240] 这边还有一个颜色的，然后
[37:17.480] 我们坐这边来了。
[37:22.070] 来做的。
[37:24.520] 给您算一个价格，
[37:32.400] 你那个是患者量人的麻烦。
[37:35.390] 我还有一个前我还要用
[37:39.430] 要给钱
[37:41.150] 就能出来。
[37:43.160] 因为他好坏
[37:45.320] 我的能力，
[37:47.710] 他这里边
[37:51.410] 北京上班。
[37:55.130] 对他的
[37:56.600] 的。
[38:05.180] 两个人都做一个好不？
[38:07.490] 是两个配置是吗？还是两个梯形？
[38:11.680] 还是GRE？对两个。
[38:15.030] Gre是SUV是吗？
[38:17.230] 对S加ESE做低配的350合作一个
[38:22.370] GRE2.0，你给我发一个定位，
[38:39.360] S350的低配，
[38:41.510] 还有GRE的
[38:43.450] GRE2.0是不是有中T中的分配和dk GRE2.0T的350吗？还是450350现在只有一个豪华和一个动感，
[38:53.110] 但现在目前应该是都没有破的状态，都没有车还是什么？
[38:56.640] 都没有车，那个是美国生产的。
[39:00.980] 不受疫情影响，
[39:02.280] 会受疫情影响了，所以说它的一个
[39:04.850] 到它周期稍微会延长一些。
[39:09.920] 您大概就说豪华的。
[39:13.220] 豪华大7座的350豪华7座。
[39:16.580] 不是豪华7座的，不是豪华，他豪华只有7种，只有2个配置，1个动感是5个，然后
[39:23.500] 7座是吧？
[39:25.140] Gre的3507座。
[39:28.310] 豪华这个事我说最大的吗？
[39:30.780] 不是最大的，这是gl，我知道，还有一个就是我们不考虑最大客户还是说最大，
[39:36.350] 特别蠢，
[39:37.230] 质量特别差的
[39:43.870] 852,000
[40:18.850] 叔叔、
[40:23.910] 做
[40:29.040] 还没到是吧？
[40:30.540] 到了。
[40:32.270] 没问题到我抱出去。
[40:49.770] 行没问题，说好勒拜拜。
[41:13.850] 王杰。
[41:16.000] 中国好。
[41:17.960] 上海要是不能住的，原来对你家里项目
[41:22.590] 刚才
[41:26.690] 外面的
[41:42.910] 沙发垫子。
[41:59.480] 我
[42:00.360] 上访
[42:02.360] 我一直
[42:04.550] 对。
[42:05.450] 我给你们也一下应该不好，我知道。
[42:09.010] 再用谁知
[42:11.550] 写篇过来，
[42:12.610] 这个平台出来的。
[42:16.010] 再给您做一个那种信仰或者金融方案吗？
[42:18.960] 客户了解你们刚才没做金融方面，
[42:21.460] 我先做一个对标准报价，还有所有的费用，然后接下来你做一个分析。
[42:28.890] 一年四点几到了三年，
[42:30.920] 可以我会把作业最后的总的利率给你看算出来。
[42:35.480] 因为我本身也是从银行贷款用钱的是吧？
[42:40.210] 在你的对面的设计城。
[42:42.880] 对，设计成离这挺近。
[45:24.320] 我给你做了两个车型的一个两种方案。
[45:27.820] 对这个是S350D配的对吧？152,800一共5万是802,800或者是71,001点，
[45:35.450] 保险以外估算医疗费是2500，装饰也要5800代写91万，跟他们说不要的，这给你做的预算，但你可以不要不材质的。
[45:45.330] 他90万反正这也是一样的，是78784,800，
[45:50.180] 桃花潭77座，优惠2万一万七十六万四千八，去掉装饰的话，那就是85万多一点是承担。
[45:58.840] 对85万，然后这个分析方案我刚说的是新思想相互一半，他48.48自动生成了
[46:06.080] 389,000，然后贷款是52 52、5241%，并购是1988，
[46:12.770] 你在413,000的话带三年一共多花71,000的利息，
[46:18.430] 然后这期41万的话到36期三年以后，最后一个月再还本金
[46:24.140] 还
[46:24.890] 就算对，所以说这样的话每个月1000多块钱，你可以把这40多万充分的利用起来，这三年完全超过了利息的钱。
[46:32.150] 前期准备费用是一个40%多的首付，加上购置税、保险验收费装睡你准备49万，
[46:39.200] 如果不要装的话就只能48万元，后续每个月还1900
[46:43.020] 多一点，所以这种方式特别的不可能。
[46:45.640] 这也是一样的，这也就是他的月供的差别。
[46:49.260] 因为他的收款不一样，所以这种差别
[46:52.390] 为什么贵的质量都不一样，
[46:55.770] 但这台车实际上最后价格是还要便宜，对和比例不一样，刚才的没有它自动生成的，你可以做多一点。
[47:03.920] 对。
[47:05.870] 接电话
[47:07.950] 为
[47:12.720] 我现在有一个客户
[47:15.160] 是小王呢，
[47:17.850] 我稍后给你回过去可以吗？您的事情我已经反馈给领导了，没有了。
[47:25.110] 好吧，我稍后给你打过去。
[47:27.980] 好勒。
[47:31.280] 这个车店里有辆车吗？
[47:34.010] 没有车都没有看到什么。
[47:37.060] 这不没有样车，这车都没有车来不了，我看一下这是后边管线里面什么，难道
[47:46.120] 450的豪华可以再过来看看。
