[00:04.400] 女士您的行驶本驾照您带着吗？
[06:29.200] 高三自从次驳回。
[06:33.280] 当天去。
[06:36.490] 这晚上才能看到雪峰。
[06:40.200] 当然自己看着办，晚上您自己的现在放的是
[06:46.200] 轻轻的。
[06:54.210] 没事，我看看收了一块。
[06:56.200] 看你了。
[07:01.520] 你们先给您登记，要不一会太对了，现在车特别多。
[07:07.110] 您到现场了。
[07:08.460] 因为我得把车拍到车间，他才从开始。
[07:37.610] 他来说
[07:39.350] 我明天。
[08:17.920] 您看。
[08:19.270] 您看加这里边就行。
[08:22.040] 我再给您看一下外观。
[08:34.040] 您鲎罡也一块伤。
[08:36.360] 发
[08:39.850] 后杠应该是别人追过您还是您倒车？
[08:43.330] 我不知道碰的，我没送过，您没碰过。
[08:47.140] 对伤害肯定想。
[08:49.120] 你好了，来我给您看来您给我过来。
[09:02.250] 正中间。
[09:06.030] 我真不知道。
[09:07.490] 这儿那就是别人给您点，
[09:10.430] 这都一点这都裂了。
[09:12.300] 没见过这都裂了。
[09:15.520] 行。
[09:17.550] 您到前台。
[09:18.620] 好勒，您等着吧。
[09:23.590] 刚才看了一下您那水平冷气就点了，这您给我。
[09:31.070] 您能做个什么好点
[09:54.170] 您坐下去。
[09:54.880] 年底之前，
[10:06.090] 您那水箱冷凝器特别脏。
[10:08.580] 什么东西？水箱就是发动机的散热。
[10:11.060] 热。
[10:11.780] 那得清。
[10:21.640] 百。
[10:26.040] 结果
[10:32.370] 一点，
[10:34.590] 对吧？
[10:39.130] 找到的。
[11:00.520] 您这应该有一个保养套餐，
[11:02.970] 2A2B的
[11:05.960] 应该
[11:16.040] 2015加班，另外
[11:18.060] 退了再重新刷新，变成内容界面。
[11:24.340] 等
[11:53.150] 的
[12:00.250] 的
[12:01.800] 的
[12:06.350] 您的电话登记13661108597。
[12:13.510] 场、
[12:18.100] 场、
[12:24.070] 场、
[12:26.120] 场
[12:32.260] 场
[12:35.090] 远。
[12:38.070] 五
[12:38.800] 数据
[12:40.700] 句。
[12:48.370] 数据
[12:50.840] 的
[12:52.210] 先生您好，您到了是吗？
[12:57.080] 您这样您找一个停车位应该在第二排有。
[13:01.530] 您先停下车。
[13:03.450] 行，等会您到前台。
[13:05.540] 好了。
[13:11.570] 您这次首保换一下机油机滤，在我看了一下，刚才您这车应该有一个保养套餐，
[13:19.390] 套餐是有基础保养，
[13:25.040] 远。
[13:32.230] 的
[13:35.470] 有一个水箱冷凝器和发动机机舱该清了，前面特别脏，
[13:41.250] 影响散热的。
[13:44.200] 您那是有两次基础保养。
[13:48.240] 那个是不涵盖的。
[13:50.640] 是用您这个基础保养的做发动机的保养，发动机前面水箱冷气和机舱清洗是自费的。
[13:58.900] 还有一个刚刚和网友一个润滑油道的清洗，
[14:02.170] 也是建议做的，您自费这部分给您报个价。
[14:05.680] 主要是哪个？
[14:11.610] 送？
[14:12.300] 您那车有伤的那几块，您打算修咱修多少钱？
[14:18.560] show的话是这样，它正常就是主保险，
[14:22.480] 走保险明年保费肯定是要上浮的，
[14:26.160] 如果要是修的话，您可以先办一个大夫车险，这是一星期将最新有的
[14:35.380] 主要就是看您修不修，你要说不打算修的您就不用管他。
[14:40.120] 要是想修的话就可以考虑装修了。
[14:45.140] 好一点。
[15:00.710] 好谢谢。
[15:02.990] 再有您这车您会用多长时间？
[15:05.680] 打算用多长时间？
[15:07.440] 什么打算？一般换车周期是多少天，多长时间车周期？
[15:13.690] 我还真没想好，我也打算常用您，到时候我不知道您这车办没办延保销售。
[15:19.670] 销售那时候有没有跟您说过什么延长保修期的？
[15:23.530] 正常的，因为在新车中办是最便宜的。
[15:26.780] 一会我让同事再跟您说一下，您这次的保养是一个发动机的保养是不用您花钱的，
[15:34.920] 有一个发动机机舱的清洗，水箱冷器和机舱，
[15:38.750] 是建议主要是需要您自费的。
[15:41.470] 我跟您说一下，这个是一个
[15:45.880] 千喜多少钱？
[15:47.760] 发动机机舱是580，还有一个肉菜肉燥的清洗是355。
[15:53.010] 五
[16:05.480] 男人电话有一次我加油的时候，有人说我邮箱里面怎么家具游戏了跟没关系，
[16:15.550] 没关系，保养是这项这一项是免费的，1128这是不出钱的。
[16:26.560] 这是44次的基础保养，
[16:32.090] 换机油机滤、机油机滤、空滤。
[16:39.060] 这两项属于您自费的，
[16:43.710] 自费部分算起来应该是935。
[16:46.480] 下边这一层送
[16:48.920] 赠送的是1128套餐，
[16:51.780] 您看我就按这项目给您做。
[16:53.640] 行行好行，大概时间到中午得两两个小时多一点，
[17:00.120] 做完之后再给您洗了车，差不多到中午了。
[17:02.940] 您是在这等吗？
[17:04.700] 我晓得，要不然。
[17:06.190] 明白。
[17:07.760] 因为不甘心。
[17:09.460] 风险。
[17:13.980] 导演、
[17:21.180] 洗车
[17:22.740] 里边它会简单些沉，但是也不是他这边的正常的洗车房。
[17:28.210] 到时候那边。
[17:31.730] 在房山这块。
[17:33.710] 同意过了。
[17:35.620] 反正车一般是1万公里还是这两个1万公里，对1万公里或者一年保养一次。
[17:42.890] 因为现在您这个是有一个保养套餐，反正能像您车用的少，
[17:50.250] 有效期到2024年。
[17:53.410] 有可能咱们两年时间内对
[17:57.200] 哪里保养的事，
[17:59.400] 这就活了下来加密的技术，
[18:11.040] 还有没有？最后您自费这部分发票给您怎么开个人开公司的？
[18:16.380] 个人就够了。
[18:17.810] 还可以。
[18:21.520] OK。
[18:27.760] 中午这边是11:30有客餐，您在这吃点饭吗？
[18:31.230] 1:30能来做吗？
[18:33.830] 估计得在11:30左右。
[18:36.770] 8点我
[18:38.040] 点点这样到时候您看我给您交车的时候，需要我再给您签证。
[18:47.300] 场
[18:52.970] 数据
[19:00.730] 数据。
[19:03.650] 坏数据。
[19:06.380] 数据。
[19:13.190] 数据
[19:19.970] 远
[19:21.690] 场
[19:29.010] 数据、
[19:31.530] 数据、
[19:32.790] 场
[19:40.430] 为
[19:44.080] 的。
[19:46.880] 后边二楼也做了休息，使您就休息一会，一会吃完我给您打电话，对。
[19:51.990] 行，你说两年之前一直到晚上你在那书记在你的到来。
[20:01.910] 我看了。
[20:07.500] 没有玩了。
[20:10.020] 二楼是吧？对这边二楼有休息室。
[20:13.600] 麻烦你帮我查一下。
[20:16.270] 行行，等最后取之后您再提醒我一下。
[20:19.300] 行了。没事儿。
[20:31.610] 五
[20:33.600] 五
[20:35.070] 的
[20:37.440] 了。
[20:49.370] 话
[20:51.150] 数据
[20:57.710] 场。
[21:00.460] 五
[21:07.650] 为
[21:14.110] 找我现在干什么？
[21:20.580] 你转过来，完了我跟他说句话。
[21:23.500] 为。
[21:25.480] 你好，您说。
[21:29.080] A。
[21:34.960] 你要是想修得肯定得先定损，昨天我不跟您说了吗您？
[21:42.300] 您这样您
[21:44.520] 先我说的您先办一个大夫车险，
[21:47.380] 您先什么时候想定，什么时候您定，定完之后
[21:51.440] 15天之后，您什么时候想休都可以。
[21:55.600] 的
[21:57.070] 这样。
[22:01.500] 不影响，只要有刮伤他就能走保险。
[22:12.520] 都没事儿，你只要有没有需要换的搭建什么的，没有吧？
[22:19.370] 没有谁知。
[22:30.430] 对，什么时候修都行。
[22:33.710] 行好勒行行好了。
[22:45.380] 308。
[22:57.100] 场。
