[00:01.100] 接待首次赋予女士。
[06:56.050] 家用家家用都可以。
[06:57.790] 商务家家用都可以，咱国内说白了哪有什么商务买S都还家用。
[07:03.350] 让你坐那边就300，对，这个是138。
[07:07.550] 这是一三百，他分260系列和300系列，
[07:10.960] 然后价位的话从40~60多。
[07:15.130] 这是260。
[07:16.080] 这个是300。
[07:17.430] 三对，刚才我们看20是260，对260轿跑也有260，这有点也有260260
[07:26.350] 跟二楼的区别在。
[07:30.350] 那个就是两门版，
[07:32.730] 他的260也是这么大个，也是4门的。
[07:36.150] 那个是轿跑版不行，
[07:38.800] 和C260
[07:41.210] 和C260这咋说和C20他俩就完全不同，一款车它比它整个高一档次。
[07:46.170] 他同时高一点是空间大，他大。
[07:49.670] 它的大小尺寸，它的配置，它的做工，它的价位都要大。
[07:54.100] 到200怎么。
[07:55.580] 260全办齐40左右。
[07:58.320] 40对3
[08:01.080] 300要多，300的话基本上在48万左右，47万多48也。
[08:06.400] 你现在
[08:07.520] 目前最低的。
[08:09.120] 40
[08:10.960] 4吨40。
[08:13.440] 最低，也就是说你是指的40是我所有的全办齐。
[08:19.210] 49.45。
[08:21.180] 260260
[08:23.720] 260后，
[08:24.820] C3
[08:31.200] 了。
[08:35.880] 对，在网上的话再比他再高于。
[08:39.410] 那就按照您现在比如你有一个
[08:43.460] 还靠谱的价钱的话，就这个板块差不多。
[08:47.620] 40。
[08:48.620] 你为什么不信？我说说它的指导价是429,800。
[08:53.480] 优惠
[08:55.810] 30
[08:56.480] 这个是300 300，整个下来4047万多。
[09:01.990] 你们就等等算下来40，这个是40
[09:06.760] 499,800优惠75,000，优惠完之后全办齐大概47万多。
[09:13.260] 整个半年43万，对比C要多出C跟C比得多出来10万对。
[09:23.600] 这个都有什么颜色？
[09:25.500] 它主要以黑色的为主，
[09:27.780] 其他颜色的话就只能限定，你比如像那种月光石灰他也有红色、白色银色他也有过，但是现车的话只有黑色，
[09:36.810] 这种车没有要彩色车的。
[09:39.390] 这种车型定位本身就是整个比较稳重大气。
[09:44.280] 这种要彩色车的少，
[09:49.290] 全景天窗。
[09:51.100] 对。
[09:53.490] 的。
[09:54.680] 再比它高一些的cos。
[09:57.720] 那就快了。
[09:58.830] 从60多块到80多万吨。
[10:01.510] 了。
[10:02.800] 这个价位里就这两个了，然后大概跟他同价位的SUV。
[10:07.800] S队。
[10:09.290] 要车的话就是这两
[10:11.600] 30万40万GLC。
[10:14.110] 交臂
[10:15.460] 教B30万左右，
[10:23.200] 里边
[10:24.870] 那个是G1C
[10:26.480] 这两个哪个？
[10:29.180] 小一点。
[10:30.480] 小这4米6多，那4米7多，
[10:34.060] 但是颜色这个也有。
[10:37.360] 没有这个颜色。
[10:39.230] 这个就是黑色、白色、蓝色、红色
[10:43.970] 也都有，但是以白灰为主，但是没有这个颜色。
[10:47.220] 浩沙云娇B
[10:53.480] 全班级大概得66 51。
[10:57.120] 300号，
[10:59.040] 有一个会议应该优惠完全半期指导价是493,800，
[11:05.020] 优惠3万56,000块钱。
[11:09.560] 我觉得要真的
[11:11.430] SUV就是说你开起来不舒服，
[11:14.010] 也不是说还挺舒服。
[11:16.900] 他坐姿高，视野宽阔。
[11:19.020] 所以说对于开惯了轿车的来说的话，
[11:21.810] 可能SUV其实也不错，看起来感觉，而且有些人喜欢lee的坐，就是他要做自立的，
[11:27.710] 但是轿车的坐姿是他的，
[11:30.160] 后面的就做的不对，你要说舒适性的肯定还是轿车。
[11:35.920] 所以我也
[11:38.410] 你要说舒适性的话肯定是教师。
[11:53.640] 为什么不考虑叶成就没开过越野，不想买个越野车，我不怎么开，他不怎么愿意看，其实我
[12:01.510] 觉得这个车它开起来应该好，你要考虑舒适性的话确实是轿车。
[12:07.030] 同样价位，你比如就拿它我们对待别的老人什么的，他可能舒适是
[12:15.040] 一般这个都是一个年轻人。
[12:18.620] 走一些烂路什么的，通过性好一些应对。
[12:23.350] 教。
[12:25.350] 别的看哪个车型比较喜欢都可以给您介绍一下。
[12:36.830] 对这个是好。
[12:41.220] 肯定各方面他都要占有了一些。
[12:54.830] 喜欢的话，这事也都是驾车去都可以安排时间。
[12:58.890] 休假了。
[13:00.310] 我想问
[13:02.950] 他以白色的位置确实。
[13:05.140] 对白色为主，不过这个车型咱们现车的话像灰色的、白色的、红色的，
[13:11.890] 好像还有一台蓝色的线图，其他颜色都没有，这车也不赖。
[13:17.120] 后来又不是
[13:19.400] 是非常痛。
[13:23.140] 我还挺喜欢这颜色。
[13:25.130] 就是说那个车比较。
[13:28.100] 对，比这个要更小一些，还好一点。
[13:31.020] 太当然他不能写作业次，这它里面他忐忑比较的
[13:36.900] 肯定转到那车也是个
[13:41.870] 凭什么车？
[13:44.060] 是吧？
[13:47.090] 可能习惯了。
[13:48.370] 准备什么时候买，有一个大概的预期吗？
[13:52.040] 停不下来了。
[13:53.950] 现在等于在大概大范围内去看一下，对比一下。
[13:59.450] 都看了什么车型。
[14:02.560] 现在就穿着可以吃别的。
[14:04.860] 三十九四。
[14:07.060] 三四十万。
[14:09.670] 300万就400万，两种车比较多。
[14:15.380] 咱们奔驰的话在这个价位能反正没有重叠的车型，
[14:19.260] 反正这个车还有一个后备箱，
[14:22.560] 一三百平米要比要大耀大比较。
[14:29.420] 高大。
[14:30.370] 哥大它的尺寸，
[14:32.440] 它的尺寸比他大，所以说空间比它越大样子。
[14:35.910] 都是
[14:36.920] 他后备箱就大。
[14:39.680] 没有也这个就行了，咱不能去谁输送上去，这个完全可以说。
[14:45.210] 你别跟人家说就是这个道理，那不行。
[14:51.310] 有汽车有试驾车，
[14:54.790] 有兴趣的话都可以给您安排试驾感受一下。
[14:57.800] 他作图现在想的不一样。
[15:01.120] 它可以调。
[15:04.890] 如果坐姿低，对他可以往上调。
[15:09.390] 对，他都可以整个往上调。
[15:11.610] 都可以调。
[15:13.160] 不能起来。
[15:14.280] 每个人的习惯姿势不太一样。
[15:17.340] 对，这都可以调。
[15:18.930] 他们在前边是也找不到。
[15:22.560] 这种都是半躺姿，前面都是弧线形。
[15:26.490] 你就是放在最高的位置，他也不见得比他也不见得能直接看吗？
[15:32.460] 网上就可以。
[15:34.250] 他就是比较让你能够冲开。
[15:37.250] 对是吧？
[15:45.270] 大概
[15:46.690] 比如内衣太好。
[15:50.760] 可以考虑，我觉得这个车型在这个价位里面。
[15:54.340] 还是都比较占优的。
[15:56.540] 他那个车型里边它应该是性价比整体各方面来说是最优的。
[16:03.240] 要不他为什么卖得好，肯定还是有原因的。
[16:06.840] 使用她也没有那么的什么，
[16:10.890] 而且我觉得
[16:24.250] 先看看别的方面暂时没什么疑问。
[16:26.720] 用不起安排试驾吗？暂时没有是吧？你可以随时时间上午10点下午2点都可以。
[16:33.130] 你有车的评估吗？你这哭了吗？
[16:36.190] 旧车开了吗？可以给您做个
[16:39.000] 开来了可以给您做个评估，有人吗？
[16:42.130] 有人，你给我看这个人可以
[16:50.510] 我给你喊评估是稍等。
[17:04.770] 张哥个评估。
[17:08.470] 平台
[17:16.200] 里面好像每个
[17:18.940] 摆的颜色都是一样。
[17:20.870] 得对，不一定摆什么颜色。
[17:23.680] 平时反正基本上因为白色的是卖的最多，其他颜色基本上有彩色车，我们一般愿意摆着彩色，这叫什么辉？
[17:31.430] 这叫月光石。
[17:33.550] 对。
[17:34.720] 这个颜色还挺漂亮的，男的看女的开都行。
[17:37.300] 对他两个都可以，对颜色既不是太深也不是太浅。
[17:46.610] 20多了。
[17:47.790] 这是咱们20多张是我的给看，对，我知道我绝大多都贵了。
[17:52.970] 都不靠谱了。
[18:09.070] 这车上个月。
[18:11.340] 这车太大了是吧？
[18:13.810] 特别大，
[18:14.960] 美国
[18:20.590] 基本上就是考虑近期再换车，
[18:23.110] 现在等于在大面积的在对比一下，
[18:26.490] 差不多大概价位的车型。
[18:28.870] 各个品牌都看一下，
[18:30.610] 怎么一个满你们这个牌子，我是一个确定的奔驰还是没问题。
[18:37.400] 其他方面还有什么疑问顾虑吗？
[18:40.490] 没有，基本上没什么事觉得。
[18:43.190] 是又改了，我还说跟你说了，你随时都找了。
[18:47.280] 正常明后天的话，到时候立群也会有回访到，您简单接听一下电话留的是您吗？
[18:52.320] 您先您时间先生。
[18:55.140] 时间大概什么时间方便不打扰简单说一下行驶本带着
[19:01.400] 算了不是简单接下来放了电话，
[19:05.120] 大概情报前提想安排一下，不远静态的你把行驶本给我车子，别的不用去，我说太原车他大概都会看一下几分钟的事儿。
[19:21.760] 10 700。
[19:22.590] 我离开的明白的大家
[19:25.630] 来客厅中驼色。
[19:30.960] 我今天也就是说
[19:32.270] 只有做秀京，我系统的称大概人家价格就可以，他这也是给您一个参考价，然后实际。
[19:39.080] 最终放车的时候动态测试一下，
[19:41.590] 上下架子，看看有没有什么。
[19:43.680] 底盘上有没有伤，到时候给一个准确的价格。
[19:51.160] 年审到9月份刚才。
[19:52.940] 对半年的。
[19:56.470] 我先简单看看出来看看。
[19:59.060] 我把电话给你转一下。
[20:01.130] 再转过来的。
[20:18.310] 我都不了。
[20:19.510] 了。
[20:22.520] 晚上
[20:23.480] 反正他就不是特别多还行，现在11年出来。
[20:27.880] 多少年了？
[21:21.590] 您住哪？
[21:23.160] 礼拜
[21:23.980] 枫海。
[21:25.200] 可以这。
[21:35.390] 待会咱这园区里还看其他品牌吗？
[21:38.320] 对，就待会林奥迪、
[21:42.670] 保时捷，
[21:43.930] 然后隔壁有个沃尔沃，这四都是咱们集团的。
[21:48.600] 我想提醒您的是待会记得临走扫一下出门条，咱们园区里是收费的，
[21:53.320] 前台会有个三小时免费的出门条，
[21:55.830] 但是他是15分钟有效，您扫完了之后15分钟以后会重新计费。
[22:00.920] 对，所以说如果您待会看别的品牌一定记住，最后不管在哪个前台上都有，记得临走扫一下就行了，钱肯定这钱他也有。
[22:10.210] 这钱的也有。
[22:54.350] S
[22:55.220] 300那是什么？
[22:56.820] S300没有了，S现在只有350和450，那个是过去的事吗？
[23:01.590] 对那是老款。
[23:03.210] 内袋没有了，350不是不C
[23:08.040] 也有S也有A队，也有S
[23:11.090] S是一个系列，
[23:13.960] 这个系列一直会有，然后逐渐的出新款。
[23:18.160] 包括咱看C以前也有老C
[23:20.810] 什么C180KC180C200看
[23:24.470] 浙C260C260。
[23:26.770] 新款
[23:29.070] 要
[27:34.460] 但是价格
[27:35.530] 当然宝马或14万都是高超过了。
[27:38.710] 谁知
[27:45.080] 范围一种
[27:46.560] 的
[27:47.490] 的。
[27:48.710] 你大概给我说一下，我就是想不少了，你等了这边你等一会我给你回电话，你要
[27:55.030] 旧车的价格的话也不是咱一个人说了算，我们他们看完了之后，
[28:00.040] 也会几个人中心和一些系统里放了。
[28:03.880] 我到时候给您回个电话给您说一下，大概价格我找一下就对，到现在找个出门条就行。
[28:12.800] 对做一个评估，然后也是这几个人商量一下，现在整个市场行情大概我们之前收购的一个大概状况。
[28:19.560] 然后综合的整个一个价格。
[28:21.670] 现在都是公司也不是个人和一个人大概多少钱呢？
[28:26.920] 比以前更严谨。
[28:31.090] 组建一个大概时间，
[28:32.620] 最后你们上车的时候不去动态的概念了。
[28:35.880] 马上。
[28:36.560] 风险不看也不行，走手机价位就出去多少钱越来越。
[28:41.650] 当然基本上都差不多了太多。
[28:43.810] 你像这车
[28:44.950] 基本上只要总结没有那么大的超过了你们。
[28:47.600] 基本上我们用多少钱，最后不能大概出场。
[28:51.850] 除非有那种个别的APP不要发现，
[28:55.220] 动态已经开始发现，没电视看。
[28:57.520] 他们电商有什么故障，结果我就得带着年假。
[29:01.200] 因为这些东西你直观能看到的，
[29:07.590] 不同外的收益。
[29:10.160] 到时候我给你打电话，大概已经说
[29:13.890] 先生的电话也没什么，
[29:15.720] 过去的包括
[29:19.370] 我们现在飞机时卖的还了，
[29:25.430] 放假不大。
[29:26.830] 这车说白了，您今天说我今天就要
[29:30.120] 这价格我就觉得不合适，能不能？
[29:32.410] 可能上下已经两天少文件也是这样，
[29:35.220] 没有说参赛资格。
[29:37.200] 因为说白了电话跟说话价格来说的够，而且他优惠的差不多。
[29:42.730] 像C的话你优惠比较多，对的改革点。
[29:48.640] 行测水。
[29:49.550] 部门只能右转，您往哪去？你往丰台区对没有丰台区应该正常直接放托盘了，从那右拐对。
[29:57.630] 600 680~4完了。
[29:59.980] 在这里
[30:08.520] 感谢。
[30:11.390] 感谢。
[30:13.900] 头浪漫。
[30:16.690] 不管我能再确认一下。
[30:18.600] 这边没报价过来。
[30:20.310] 对，跟你说的是不要。
