[00:00.960] 我知道了我进来。
[18:51.750] 卡纸画什么优惠置换有优惠，赚了7000块钱现金补贴。
[18:56.440] 不用在那么大了，我还以为得上二手车市场自己也卖了。
[19:04.260] 买车好了，打车
[19:08.930] 就甭管这二手车残值值多少钱，都是7000。
[19:14.010] 拿
[19:15.350] 7000还是237,000的真是挺少的。
[19:20.090] 所以我不想买贵的，我觉得心态贵的，利用率不高。
[19:24.520] 我不高性价性价比又高看需求，
[19:28.100] 因为每个人对于车辆的需求不一样，
[19:30.620] 其实我就想买一个90的话，对长一点可能有一些人
[19:36.630] 可能有一定的商务，
[19:38.710] 完全没有大舅带孩子玩儿，
[19:42.200] 因为孩子越来越大对吧？基本上不多了，
[19:47.440] 因为我们操作正常的几率求的不多，
[19:50.990] 不多，还有别人地台，
[19:53.550] 哥S90他做功课他也
[19:55.650] 也别扭，我不知道。
[19:57.750] 比他还高，算算60再算算90行不行？
[20:02.280] 行收费对了，这三块钱差不多，
[20:06.150] 看看要合适哪个就买了，咱卖车要开的多，人家这几年开
[20:11.820] 20公里买好
[20:14.670] 还少。
[20:16.820] 月开的少，钟小姐不关键是咱们
[20:19.720] 家就要出去玩去，就你一个人开车。
[20:23.710] 263,800. 
[20:26.710] 这个带自动跟车也没开。
[20:28.830] 有自动泊车入位吗？
[20:30.960] 泊车没有，对前后都没有不是。
[20:36.890] 90得也
[20:39.070] 高配条，因为90车大好多人他停不了，
[20:42.890] 所以它有个自动泊车，但是说实话
[20:46.280] 有自动泊车的，
[20:48.100] 好多客户买高配的车型，自动泊车可能刚看车的时候
[20:52.330] 说说根本就没人，
[20:54.910] 根本就没人用就不会开的。
[20:57.750] 可能刚开始
[20:59.370] 看看
[21:00.770] 你看习惯了之后都不用那个没用。
[21:05.010] 我刚才中不能叫什么就是挂错档，它提示
[21:08.550] 比如说我现在车头在车位里头我想报出来，但是我爸的前进挡
[21:14.330] 雷达给小了，人家小，
[21:18.810] 我记得特早特导弹还有奔驰一个广告，他是说
[21:22.670] 他鼓励防护大概基本上。
[21:25.060] 就对于司机来讲有点用。
[21:27.940] 撞墙的经常用。
[21:30.780] 自动刹车。
[21:37.090] 这个车对于我来说。
[21:39.320] 没什么用。
[21:41.400] 我就是做。
[21:43.060] 我记得奔驰的广告就是他那个车头朝。
[21:46.070] 他是
[21:47.430] 挂前进挡它会有一个提示，
[21:50.250] 他挂倒车挡，后面过东西它也会提示也不给你杀，挺就那种功能。
[21:55.330] 那种。
[21:56.390] 那边叫什么样子？
[21:59.560] 都对你自己管用。
[22:03.720] 开不会拍也
[22:06.380] 不管什么用，
[22:09.800] 咱考虑城管考虑分期。
[22:12.700] 分期有优惠吗？
[22:15.520] 分期的话就跟全国价格一样的，只不过是免息。
[22:19.430] 7对。
[22:20.810] 有两年免息，或者说3000米7都可以一块。
[22:24.630] 手续费的话贷款的4个点最少6000
[22:27.670] 4点。
[22:30.270] 对，等于10万块钱，就是90006000，最少6000，最少多少？最少6000。
[22:37.760] 一。
[22:38.540] 全款还是90？
[22:39.820] 我反正全有，要是
[22:43.790] 现在贷款的比较偏多，大人只吗？
[22:47.900] 你算10万块钱带三年，三年每年的利息还1000对6000万。
[22:53.560] 行，那家等于就是说白就是2%左右的
[22:57.420] 利息，张建那带的是
[23:00.050] 不大。
[23:04.400] 13分，那一个月还多少钱？2777。
[23:08.650] 算算你算得多少？
[23:10.600] 1010万三年对三年。
[23:13.820] 2000什么百2777这个多少？
[23:18.400] 那就再两年，三年的话就15 10万。
[23:23.820] 三年只有10万，对，两年的话只能贷一半。
[23:27.720] 两年就贷3120万，对，为什么12 15待不了？
[23:32.490] 厂家又不因为它免息的，他有控制。
[23:37.810] 行。
[23:39.320] 全付也行。
[23:44.030] 您把这钱做个理财或者是谁挣钱，
[23:48.190] 10块钱就是你现在股市涨这么快，你3块钱你扔两星期可能变成十几万了是吧？
[23:55.590] 明天可能就没了。
[23:58.000] 现在整体关键是这段时间整体大盘都涨了，
[24:01.840] 这是准备圈散户的钱，
[24:04.710] 真的准备让大家往里割还是割肉？
[24:09.720] 但是这10万块钱6000你就跟银行。
[24:12.430] 定期6000块钱两年也出来了，
[24:15.160] 有一年也赚了。
[24:18.880] 可以。
[25:06.640] 你们不收钱。
[25:07.500] 我把它送给真正的
[25:09.080] 你到了我就给你找个东西。
[25:14.240] 来您看一下。
[25:18.120] 前面几个差3万块钱，
[25:19.890] 成本就差3万。
[25:29.960] 这等于这是原件。
[25:32.230] 对优惠元的价格优惠的大概。
[25:35.240] 66 65,000。
[25:38.590] 65,000，
[25:40.500] 相当于优惠了7万多了，72,000，因为您加上你的置换补贴。
[25:47.640] 对这期好像对加上政府补贴了。
[25:54.270] 这俩差在哪，一个是那什么？
[25:57.900] 一个座椅是皮革的，一个是皮的。
[26:02.000] 但是
[26:03.680] 在龙骨一个17 18的，
[26:06.870] 然后
[26:09.510] 什么腿穿？
[26:11.730] 全仪表盘导航
[26:14.600] 全有了，然后对中这高配的地块培养着头咬着这核心的东西，它都是标配，
[26:24.760] 差的可能是显得
[26:27.300] 看着逼格更高。
[26:28.900] 这种东西。
[26:33.400] 产品木头
[26:39.530] 是吧？
[26:41.420] 无钥匙进入，我得看有他没有的，
[26:44.760] 不要接受。
[26:46.530] 这18分钟通用的。
[26:49.470] 这是
[26:50.840] 对空气净化系统。
[26:58.010] 招行。
[27:03.110] 他现在的车载导航是自己查4G卡的是吧？
[27:07.430] 不是，他就那么道行，您说标配的吗？不是他现在车的，因为我们家卖车行这边，然后他用网是自己买自己的。
[27:18.640] 你们还没有这个。
[27:21.890] 这样力争盘。
[27:24.600] 但是
[27:26.020] 中控台中间没有区别，大屏幕都是一样的，湄公河上也没区别。
[27:33.850] 您跟他说，您说这我都听不懂，真急。
[27:37.950] 要看您拿钥匙吗？
[27:40.640] 哪要什么区别？真皮包裹要是。
[27:44.820] 就没登，这都是为了显得。
[27:52.350] 应该
[27:53.240] 这是正常的钥匙。
[27:55.040] 这是高配的真皮包裹的钥匙。
[28:00.410] 你看外边不是皮子的，这皮子看出来了，
[28:03.710] 无所谓。
[28:22.700] 关于记忆功能。
[28:23.880] 对。
[28:26.950] 也都是小细节的东西了。
[28:29.130] 把贩卖
[28:40.640] 他就是高配主要技术低配是什么？是钥匙得按一下然后进去。
[28:46.760] 个启动的话都是5月27洞的，对。
[28:51.120] 他只不过多了一个多，然后要开车走就不20多万对吧？
[28:57.610] 等于是。
[29:01.280] 打个比方，我买这个赔是
[29:04.220] 首先麦琪的礁石175,000，守护包含包含了车款，他购置税、保险验车全权交那个钱之后，每个月合约部都OK了，不会，所以
[29:14.350] 这么快沃尔沃验车一直都是3000，我从15年1月份卖Volvo到现在从来没变过，
[29:20.000] 不管是你买906040都是3000，
[29:24.250] 这是不包括您上牌拿到验车上牌，包括您后续把临牌所有的这些费用全都在里边。
[29:30.630] 这也不便宜。
[29:32.530] 等于这是首付再捡我们家车的残值，假设车值10万就捡
[29:40.150] 20万，
[29:42.010] 是20万。
[29:43.920] 因为这个月供还都一样，对这20万
[29:47.150] 私家车
[29:48.200] 能值78年的车能值7万块钱，
[29:52.000] 那得找评估师给您看车。
[29:54.440] 大概。
[29:55.550] 要不找评估师给你看，开了开了到评估师给您看看。
[30:04.650] 意思咱们等他掏10万块钱就给开走就挺好。
[30:09.720] 您右手贷款最多贷了，地方不让多待。
[30:14.830] 那就等待三年了，我觉得还的
[30:18.190] 就别待三年了，要百年，在一年两年带一半，你10万块钱也不止，
[30:24.880] 两年带一半，每年带一半我还多少钱。
[30:28.040] 你就相当于多袋，都在1万多块钱买之，一的是多贷3万块钱。
[30:34.910] 这事实看看车，
[30:38.240] 你说喂。
[30:41.430] 是10 13万。
[30:43.800] 我在展厅等让他来找您前台找我就行了，3万。
[30:47.560] 2000对吧？
[30:50.020] 大概12 132,000。
[30:53.230] 什么13万两就说对一半，这两天相当于多带三块钱，咱们
[30:59.480] 全款
[31:00.950] 都赋的其实也行。
[31:03.680] 我觉得没必要，现在基本上越有钱的都贷款，没有一个存款，还有一个什么就是说
[31:10.520] 代表多带点小袋的。
[31:13.350] 因为为什么？因为车贷的利息是目前您所有的贷款利息里面有的房贷是5点多，
[31:21.820] 因为我正常贩卖的我知道5点多我年轻5点红军供应贷的合适，我知道近代
[31:30.190] 我们就问
[31:31.670] 公积金我把车开过来行不行？开门就行了。
[31:36.780] 您车停哪了？我在哪儿不同，后面我这没找着，您给开过来开开前台这块
[31:44.290] 门口就行了。
[31:45.170] 妈的车。
[31:47.840] 了。
[31:55.060] 红色加上不可能的之后站着没有假期，就是有些特色是吧？这是版还是这个车其实卖的最多就是白的，
[32:04.370] 小小买大买黑麻白的多
[32:07.300] 了，大的很大是吧？那是90
[32:12.070] 就开办了，等你再开店了就行了。
[32:26.040] 打掉了。
[32:27.240] 开始跳了。
[32:31.510] 刚才你给他穿上了下药过头的开手机报价了给税收
[32:37.430] 楼阁接收户口吗？
[32:38.840] 上来
[32:40.070] 就能用，能不能给你上级让计划，我不再傻了，
[32:45.780] 你别用5000种病在涨几万，你看看
[32:50.670] 来兑现。
[32:52.690] 对不对？
[32:55.820] 这果然是车太多了。
[32:58.670] 这张嘴都
[33:02.910] 你放心。
[33:05.010] 没有半年他不敢买车。
[33:07.930] 他去其他电疗，你帮您其他的销售顾问不住他吗？
[33:12.080] 就这样用，用得着堂堂的
[33:20.180] 没到现在人生都没干嘛。
[33:23.390] 那个车看过来了，
[33:25.330] 今天在百度一看都说了OK给我多少钱。
[33:29.300] 优惠就算。
[33:30.770] 回想起当时王明销售并不等于账几万。
[33:35.040] 10万12点左右定。
[33:38.530] 会见这不回来了，都是man了，
[33:43.470] 我也还是不行。
[33:45.850] 这句话谁知。
[33:56.490] 谁知。
[33:57.830] 这东西你要是有啥想法知道吧？
[34:04.310] 还是我看我漂亮了，下降我说
[34:11.790] 还有谁知你的照片
[34:16.030] 看好了哪好饭好吃，我跟你出去。
[34:19.920] 拿回家去，你不吃饭不是什么这些唐山的排骨的，
[34:27.930] 你自己不上也不早了，你要吃
[34:32.180] 就跟你说一下，你跑出来，你要是想哪个做好都欢迎，你别告诉他我不敢。
[34:38.230] 我就跟你说说，我认为我就够可以的，他给你挑挑，我觉得打的太复杂了，太近。
[34:44.660] 套餐练就了快捷，过来看气死了，
[34:49.470] 就好了就去
[34:53.000] 多年
[34:55.600] 心对你的补充的
[34:59.090] 哪来的？就是说上次发过吗？
[35:03.090] 整理了群里边，但是昨天不是有银行肯定。
[35:07.750] 这里这两天也没人卖车。
[35:09.680] 不是你定了吗？
[35:10.930] 他去40。
[35:12.380] 给你期货
[35:14.610] 的
[35:16.560] 远
[35:21.800] 好吧？
[35:24.040] 超过6小时。
[35:25.520] 对面你没
[35:27.090] 也都是激动这面吗？
[35:29.760] 谁知。
[35:31.320] 好，没结果是吧？
[35:33.320] 是吧？
[35:35.900] 您年轻是吧？最终呢。
[35:38.850] 差不多的
[35:40.870] 其他商标
[35:52.580] 我拿手续。
[36:00.440] 元璋。
[36:01.240] 我的
[36:03.570] 还有。
[36:07.770] 三。
[36:10.620] 看。
[36:11.620] 你都给我就行了，我一会就一会没多睡一下，不完税的话，
[36:18.970] 明天后天看后天能不能见车见，最好后天要是你我要
[36:26.290] 行，这所有的东西都在我这块，验完车之后他统一明天礼拜三，
[36:33.800] 不行礼拜四我上班，礼拜五要不礼拜四我把车给你送过来。
[36:39.760] 你打我给送了，不是在咱们这儿电车去7421。
[36:46.580] 不是我还去吗？验车我。
[36:48.220] 您得拿身份证去。
[36:51.260] 不是什么都不用管，您开始只管开着车去就行了，我还得去对。
[36:56.980] 行，拿身份证最拿到最新有效期内的身份证。
[37:02.050] 那就周五行行。
[37:05.340] 周五那就是咱们第7次L检测场在
[37:10.520] 有个庄那块。
[37:11.930] 月份对离咱们这儿10个分钟，开车十五六分钟。
[37:17.190] 等于去北车验完了，对上午验车估计的话，
[37:22.220] 上午10:00 11:00就完事了，然后回来
[37:26.590] 做装饰，对，然后争取一天就全完事。
[37:31.070] 验车完了是不是就上台了？验完车的话，他牌子他给你寄在家里边，大概
[37:36.600] 国家都统一给统一指定寄到家里边，还记得家里，当然家里边
[37:42.100] 它基本上是四五天就到您家里边，
[37:47.210] 在家里边你要是有规律的话，您上没工具的话拿过来我给你上来，行你就明白，那4我从你给我你得有什么用？
[37:55.750] 螺栓。
[37:56.800] 改变，行行，他不是一次改革，它是内能的改革，好好。
[38:04.010] 因为你的改变不好，上你这边就行，那就中午约中午行行。
[38:12.090] 三定周五有什么变动，咱们现在沟通好勒，好，到时候车别太脏。
[38:17.720] 这种肯定没问题，特别让他把车刷一下，行行还得拍照片儿。
[38:25.610] 慢点车里边什么
[38:28.790] 副驾驶的，我乡里边东西都别动，因为有什么反光背心，要不就在后备箱，从内心三脚架都别拿下来了，好。
[38:37.880] 谢谢您。
[38:39.120] 没事慢点。
[39:00.200] 本来。
[39:02.720] 炒一波。
[39:04.500] 周四验车，结果客户周四去不了，还得周。
[39:07.830] 这是你自己不争气，
[39:11.650] 你那个见不了了。
[39:25.430] 情绪、
[39:30.040] 空中的车模、
[39:36.680] 伤心。
[39:40.120] 它马再也不靠谱，叫girl，车的人看车了，妈的。
[39:45.130] 快乐。
[39:47.000] 半天了。
[39:49.400] 10分钟了。
[39:53.180] 现在晚上就我就怕了。
[39:57.200] 知音。
[39:59.800] 大哥你找人了吗？
[40:03.790] 不是找找谁谁在红枫带不带？
[40:11.630] 刚刚
[40:13.300] 洪峰通关了，
[40:20.840] 找谁赶紧给我等半天了。
[40:23.850] 还好不好。
[40:30.200] 对，你跟他催一下，您说销售客户这块等着着急。
[40:35.880] 然后给他说一下。
[40:39.680] 稍等一下没事。
[40:42.120] 二哥安排一下。
[40:45.040] 要回去。明天。
[40:52.330] 他为救了那条桌面一块也签了，
[40:57.280] 我找不到那条了。
[41:01.110] 没事，我跟客户说了，下午5点以后过来取车。
[41:05.480] 超哥。
[41:06.340] 没事，你要弄。
[41:08.250] 没走。
[41:09.040] 我先去吃饭了，都没写，你什么都给我，你懒得你加点都去，我看看。
[41:14.990] 跟他互相一样。
[41:17.280] 阳光的。
[41:43.260] 353549。
[41:56.590] 我叫客户。
[41:58.160] A哥，
[41:59.480] 来了看一下车
[42:01.170] 给
[42:06.410] 跟猴哥说一下，这婆婆前两天让头签过一次，但是他们那边没找着，放在桌子他们桌子上。
[42:13.010] 着。
[42:13.870] 真不是这样，总是假刚才不跟您说了吗？
[42:17.450] 这车您路上行驶本带是吗？
[42:20.950] 的。
[42:25.970] 高
[42:26.720] 阳光。
[42:32.510] 谁？
[42:37.090] 洪峰他当领导，
[42:40.260] 刚刚我看见那当领导的填
[42:43.850] 跟我一样。
[42:45.410] 你说什么？
[42:47.260] 都告诉
[42:48.700] 个挺高，你说不太打的。
[42:51.040] OK我早上试驾什么效果？试驾的话从定慧北桥到4成金牛钻头带回来，
[42:58.540] 有个上给一个支架等着等着。
[43:03.110] 您家日本带上的吗？
[43:08.530] 打开微信扫一扫。
[43:11.620] 扫。
[43:12.790] 没想到如都是无纸化办公，直接从这上面约就行了。
[43:18.590] 莫比。
[43:21.900] 小程序。
[43:26.100] 小燕车型对冷静老款的。
[43:31.050] 坏聊。
[43:34.980] 登录一下。
[43:36.200] S60不限行，我记得前两天刚下完行了。
[43:40.530] 看你。
[43:42.720] 的。
[43:57.610] 兄弟一会把钥匙直接放前台就行了。
[43:59.770] 行。
