[00:00.000] 坏数据
[09:45.170] 场？
[09:49.000] 句。
[09:57.780] 数据。
[10:08.880] 刚才接另外一个电话，
[10:30.150] 不该修
[10:32.100] 干脆修一下。
[10:34.860] 号
[10:35.880] 模块。
[10:40.480] 对他不会骗，就是他量了只要灭了之后，他要在亮就一直在亮，就是平凡的
[10:47.220] 后期一直会将它肯定是有问题的才会亮的，但是不一定不见得会影响开，但是他得肯定是有什么的。
[10:56.120] 我知道它不影响开的情况下，虽然不抖或者是对，但是他肯定他灯亮。
[11:02.180] 要频繁的量他肯定还是有原因的，对。
[11:07.460] 后天过来，明天可能不在店里，今天下午后天和明天这两天不在店里。
[11:12.880] 早上9:00上班。
[11:17.750] 对。
[11:19.190] 好的没问题，后天。
[11:24.580] 对放着。
[11:26.570] 好的，过来找我就行。
[11:29.760] 好。
[11:31.090] 你好。
[11:33.430] 京EM5111是吧？好了，你去把这车你现在在随便看一下。
[11:40.150] 我这是黑马。
[11:41.820] 等会我给查一下。
[11:43.060] 先看下去，就是咱们一起去看车问题。
[11:48.880] 机油就用好点就有了，你直接用mt的机油了就行，他应该价格会差400块钱左右，也别补了，我直接能用了就用了就完了。
[11:58.150] 然后现在公里数39,938就4万公里，
[12:01.560] 保养得有机油机滤，这个不用再单独付费，卡券直接您就用了，然后机油几率空空气滤芯的话，下次B保养也是需要更换的，下次就完了说话就完了。
[12:14.090] 然后火花塞4万公里更换一次，
[12:16.680] 这张卡到4Y
[12:18.390] 然后剩下的其他也没什么特殊的，主要就是把三元催化器的幽幽道清洁一下，就可以常规的保养4万公里。
[12:25.540] 然后
[12:26.820] 这里边对还有一个
[12:29.670] 一般都是
[12:31.620] 再换完空调滤芯直接做他就行了。
[12:35.110] 就没必要，反正个人建议没有必要单独去做这个东西，因为单独做的话可以做也可以直接结束就行了，但是他没有什么性价比来。
[12:43.790] 本来你在要做相当于一个清洁，你空调滤芯还是之前没啥用，现有的系统还是有的。
[12:51.050] 所以你这样做完之后
[12:52.270] 效果不好。
[12:54.390] 个人推荐你看空调利润率都不会，你下次你上次保养的时候换空调滤芯了，
[12:59.300] 你下次保养的时候需要换空调滤芯，反正推荐是换空调滤芯的时候打开一做就可以了，把个人建议，但是你要说不想拿这个东西想做了，也可以直接给您做完了，看您个人怎么选择。
[13:10.150] 因为不一样保险怎么着都得用。
[13:13.460] 完事就我那拿对这个就是您留好了别丢了，这个单子别丢了，做的时候拿出来用它做就可以了。
[13:21.590] 没有什么时间限制。
[13:22.780] 没有他写的有限性，实际上您还没放到系统里面就没什么时间建议。
[13:27.290] 下次保养的时候换空调滤芯，直接说有一个清洗，把它拿出来一做就可以了。
[13:37.000] 你看一眼，
[13:39.280] 这就是除了A保养就集中基地之外，剩下的几个小的项目，
[13:43.800] 主要就是华山刹车油是每两年更换一次，滑塞是4万公里更换一次，
[13:49.610] 然后三元和汽车得到的清洁是每3万公里做一次就可以了，百分14万上次还没做，正好也不是那么的
[13:56.740] 严谨的说2万或者3万必须得做，反正最晚别超4万公里就行了，其他的也没什么东西。
[14:02.880] 回头你说我前段时间验车去，他说我那灯光大灯有点问题，是什么问题？打车。
[14:11.890] 我也不知道，后来又换了一个人演，那人说又说没事儿，你让师傅跟
[14:18.640] 明白，我说
[14:20.050] 我跟你说什么意思，灯光咱这登你要有问题他就报警了是吧？就是说它就亮不亮，然后它就会报警，然后他说灯光有问题，换一个人就没问题了。
[14:30.690] 如果说你在车上有问题，就咱们这么聊天，平常说的早就报警了，实际上肯定没有问题，然后他
[14:38.620] 这个就是验车的二逼拿个纸在那登天逛逛街，这都不行，完了换了一个人，那人说着灯全爆了，对董事长
[14:48.950] 了，
[14:49.600] 好多这都不行，然后我说咋办？你说你休息你回来show，你到饭店去修不了，
[14:55.700] 啥毛病没有，
[14:57.040] 有没有坏了啥的，咱们去祖父叔父把文科去哪给我介绍一下，在沸腾。
[15:02.670] 放心，这个摊是标准的都要检查的，没错。
[15:06.500] 编写对最后再把车洗一下，然后把A帮小明再加上去，除了A宝是2038，
[15:13.370] 有这么一个费用，A宝就不用再付费了，用AMD留给你别用。
[15:17.660] 说说我这还得再付2000多块钱，
[15:24.920] 你看一下就A保养，你看有两个A保养，AMD由普通油直接给你用M记的了，好了。
[15:34.000] 好OK你直接不用了。
[15:36.840] 时间用9:30两个小时左右。
[15:44.750] 差不多好了给你打电话。
[15:46.700] 稍等一下，我给你留张取消单。
[15:48.600] 您把那券给我。
[15:52.360] 这是三节咱们还管饭吗？管中午11:30。
[15:56.700] 对，中午一会你过来找我就行，11:30左右你过来找我。
[16:02.820] 保多长时间？两两个多小时差不多。
[16:09.160] 对，中午也有中午餐，一会在那边吃中午餐就行。
[16:18.450] 你帮我签字先生。
[16:20.530] 在右下角路车。
[16:23.770] 这个地方对
[16:26.760] 新奔驰说是内电视。
[16:30.380] 对他网上他们现场看。
[16:34.820] 网上谣传的正要取车的单词，一会儿到时好了，咱们取消拿着单子一个凭证取车就行，1:30到你打电话那边到这等我一下，然后咱们给您发一下开卷，如果穿好了，你吃完饭到时候咱们把手续办完，你别看了，
[16:51.450] 没房你吃完饭也好，
[16:53.350] 你就这会他就楼从左拐二楼休息一会儿，这边对好了给你打电话。
[16:59.690] 这奔驰总是改中间的一会。
[17:07.410] 然后还有什么曝光了，大概管了。
[17:15.780] 跟上次同样也是先从分局才是开始展，
[17:21.930] 真持着套路，人熟了，
[17:24.910] 觉得
[17:27.670] 你们业务工作不要催我，我说你待会还给我不敢出这个。
[17:33.210] 不保养说他后台能看，你说你的保险到期了，
[17:38.180] 我也下去，但是这是没事。
[17:45.920] 稍。
[17:47.580] 你庄里还是的别装，你知道留一张那个单子时候。
[17:51.840] 打印完了是吧？
[17:54.470] 有一张在的地方，对。
[18:00.410] 宫颈他
[18:04.470] 了。
[18:06.110] 不要对，谁知
[18:11.320] 330
[18:13.210] 上班
[18:16.700] 费用大概
[18:18.010] 有多少人？
[18:20.430] 你在
[18:24.600] 不可能在一块。
[18:27.930] 太郎。
