[00:00.250] 因为我踩的并没有脱离对
[03:17.660] 你给约了一个召回了。
[03:58.480] 第
[04:01.160] 了。
[04:02.420] 去看一下。
[04:05.160] 一
[04:06.800] 还挺快的。
[04:10.120] 还行，他们都加班，因为这两天车太多
[04:15.230] 了。
[04:25.830] 五
[04:27.860] 二
[04:28.840] 五
[04:41.010] 二
[04:43.990] 二。
[04:47.360] 的
[04:50.650] 场
[04:54.050] 坏数据，
[05:13.240] 快乐。
[05:24.310] 谁知
[05:30.120] 句。
[05:33.490] 场
[05:35.990] 场。
[05:38.710] 三。
[05:42.290] 场。
[05:45.560] 花。
[05:48.070] 场
[05:50.490] 召回
[05:57.320] 数据
[05:58.770] 数据
[06:05.630] 数据。
[06:06.980] 的
[06:08.660] 数据
[06:10.830] 场
[06:12.810] 吃
[06:15.240] 车的前后左右都有些。
[06:19.300] 我这个没上，您看哪场？
[06:24.840] 远。
[06:29.220] 传。
[06:31.430] 数据。
[06:32.980] 数据。
[06:37.460] 万。
[06:38.730] 数据。
[06:41.700] 的
[06:46.470] 花。
[06:51.690] 数据
[06:53.750] 的。
[06:54.950] 数据、
[06:58.300] 数据、
[07:00.400] 数据。
[07:01.460] 数据。
[07:05.530] 五。
[07:06.720] 的
[07:14.510] 喜欢
[07:17.150] 数据。
[07:20.930] 场。
[07:23.060] 数据
[07:26.470] 来。
[07:27.280] 赶紧。
[07:28.540] 了。
[07:31.050] 点
[07:32.530] 一。
[07:34.480] 14 14年的，他那车是13年14年买的。
[07:40.390] 买完车到现在换过电瓶吗？
[07:42.510] 他跟我说没换过，他说没换吗？因为他看我的电瓶车你应该没办法，因为上班就。
[07:50.470] 你帮我看看，我查了最近。
[07:53.100] 上次保养是上次万19年7月份，
[07:56.400] 3月中你做的保险。
[07:57.780] 谁知月正好一年了。
[08:01.710] 了。
[08:03.190] 上海现在好了5000公里。
[08:04.600] 对一年你B怎么拍？
[08:07.590] 给你打开。
[08:08.490] 我不说我不爱开车，
[08:11.260] 出去玩了都是坐地铁坐差不多腿走，
[08:16.780] 主要检查也好，减肥这样。
[08:21.080] 如果再倒这车一年或者1万公里就得保养是吧？对。
[08:26.890] 还好一点，现在是你就不堪，那就一年，所以其他车系的有的都是在多少钱都是半年。
[08:34.710] 反正现在基本上就是两种半年的一年上风好像就换了不少东西，这样子回来上回你保养。
[08:40.940] 像范范养护的比较功夫比较多。
[08:44.180] 对，都是高明坏什么东西。
[08:48.030] 喜乐什么空调，你看空间升级。
[08:50.850] 空调滤芯空调清洗，这次空调就不用再做了，什么诉讼下次干活该做对不对？
[08:55.400] 隔一次做一次空调不好，
[08:58.920] 这次小宝西班牙我B保养，
[09:02.390] 下次。
[09:19.750] 这就刚才跟您说。
[09:21.280] 您出现对没事您研究一下，对您研究一下，比较透明比较简单，有
[09:27.890] 你要有商这就合适，你要是没有伤，你要车没有伤那就没必要修，
[09:34.700] 你就用他不修你就不用了，就这很简单的一个东西。
[09:39.120] 休跟您明年它为什么叫代步车补偿险，说白了您要是出了一个什么意思，我明白这意思，一看就知道。
[09:49.160] 但我那车收钱好书吗？
[09:53.320] 他们有时候
[09:55.130] 你还得用我给。
[09:56.560] 保险公司打电话。
[09:57.470] 等等，你有没有都得打电话报案，你就抱抱。
[10:00.280] 了，然后他们就行。
[10:01.630] 后边那边不。
[10:04.860] 你看一下变形老板B你看B180您就爆料你要照片吗？车架号是。
[10:12.430] 小伤没事，只要我打个电话说一下就换电瓶，就到时候您要是想弄，他就是告诉你怎么弄呢。
[10:19.100] 他们有着都不对是吗？但是您这个商铺比较多，您要是说报两次的话就挑两个伤比较大一点，休息完了。
[10:26.270] 你先就像您说的先show一个后边行，我道不愿意我。
[10:30.390] 到不想弄两个对一般好三角形我随便下一个有多大的？
[10:33.810] 俺就行，这意思，因为
[10:36.650] 无论是全责还是无责任，有一点有什么说什么的，咱俩过你说这一年是一年多点钱，你告诉他实行861年之间，万一被哪个不长眼睛刮了碰了一下子，您来咱们这修还可以给你2500，
[10:49.440] 您可以自己报一个2000，不好意思按，然后给您2500之后，
[10:53.350] 然后您就这一年一年有效期吗？您就攒了这么一年8。
[10:57.400] 然后你看如果说快到期了。
[11:00.330] 我现在就这样说，我要修这后边你们不是都给我看了吗？我就现在打电话。
[11:05.760] 你们这次能够修吗？
[11:07.550] 这次就是一会带您去那边办一下可以没问题，还是在那边，对，因为我们这是负责保养的这一片。
[11:14.930] 二。
[11:21.050] 谁知到80了又回来了，对。
[11:25.920] 但是两天肯定是玩不了。
[11:27.620] 对，一般两天。
[11:29.930] 然后一会要修这个放到这修。
[11:33.340] 我这边手续给您办好了。
[11:34.620] 之后就在这后边走保险，无论如何你就是不该怎么样走，只要走保险。
[11:40.000] 就在咱们后边去交保险保费的，不是有一个出险的地方，
[11:43.870] 然后重点来了之后去那之后。
[11:45.600] 证件都要什么？
[11:46.750] 他要行驶本驾驶证被保人身份证原件。
[11:49.990] 对，然后去报案，然后报案之后。
[11:52.830] 二会有一个指导，然后给您一张修车单托修单，然后您过来之后，咱们就可以给您这边安排修车了。
[12:08.720] 我还得再打个电话是吧？
[12:11.300] 你不是您就到那边就告诉你怎么具体操作。
[12:16.380] 后刹车片薄了，我知道。
[12:19.220] 前三年就完了，前三年交房了。
[12:22.210] 三年就让我换，我就没换，这三年干嘛离开，为什么呢？
[12:25.550] 我尽量不采不就省了吗？的不贵阳慢点开我。
[12:31.610] 不是不死吗那是。
[12:33.110] 你抽个疯似的开，你老得
[12:36.530] 我老早买卖，
[12:40.280] 我坚持了三年了的，
[12:42.360] 三年前就让我换行，那你别惯
[12:46.240] 车手出身，
[12:50.670] 坏其实
[12:52.720] 他只是着了，他并没有到那个地方，到那个点他在报警了，对，您说没错，他只是着了。
[13:05.840] 的
[13:11.390] 车里没有什么都没有，没事
[13:16.250] 的。
[13:26.640] 第。
[13:31.160] 来这给您180
[13:33.290] 我下面D保养15901307906电话，网友基本上车子机油150，我打电话您大部分时间用标号的具有一共有两种，谁知白了就好点，机油还是他利用这种级别的机油用，你要不要随便换不行，因为行业聚合
[13:57.680] 和5W的机油应该差个几百块钱，外观这两周画勾就没事，咱们都所有的窗你看着这个应该
[14:06.510] 我了1000都是打折的，你看原价基础期一般机油机滤空气滤芯是2419，咱这1490咱们这个好点，使用普通的情况就散装的有用枪打，因为您估计。
[14:17.230] 2075难要您之前的价格反正钱了平稳发展，我您说您这边要不方便过来，
[14:26.410] 我们这边免费取送车，方便你不麻烦了，您这可难了，明天给送过去了，对就行了，咱明儿见，谢谢您。
[14:36.920] 好，谢谢。
[14:39.240] 那就是不要简单把基础的B保养前刹车片和电瓶换一下就可以了。
[14:44.450] 然后谢谢您看一下这个要弄完了，我们没时间来取车给送过去吗？可以做，但是你要有费用的话，
[14:51.970] 他基本上算是没法送，拿出来后来没弄，然后你也可以提前
[14:59.080] 不要要好一点，有
[15:02.440] 方便你说你要没事。
[15:06.640] 等等。
[15:07.940] 这正日只要不是周末。
[15:10.760] 我们不是中对也可以送没关系，你比如说确定了。
[15:15.130] 因为咱们不是有费用，咱送就是提前的账结的到时候就可以送，你要是因为咱正常取消在结账，就这意思。
[15:21.870] 行没关系，然后价格您简单说一下，因为这个车电瓶比较贵的是80安时的。
[15:29.860] A GM的电瓶。
[15:32.720] 等一下。
[15:33.520] 这在这
[15:35.230] 2000 2000多打完折，这都是打折的，2415咱们电瓶的费用，
[15:41.910] 然后这块不用看，这是单独的列出来一个电瓶，
[15:45.960] 在这里边就包含了你看圆光一个电梯附加工费是2630，这个是连工带料打完折是2415，
[15:52.440] 基础B保养1498=2，然后前刹车片反正是1161 123这三个加起来是5074。
[15:59.630] 一共777047704减去一个2630就是5000块钱，差不多就这三个项目。
[16:08.560] 然后时间的话咱们就可能时间比较长点了，因为做完之后，然后一个系统都要免费的做个检测啥的。
[16:14.170] 那边后边你修吗？今天就今天放这修吗？
[16:18.850] 对，你帮我问一下是吧？什么意思？问一下保险麻烦不麻烦？
[16:25.830] 你正常过去报案，不接电话就是正常报案，然后干什么单子看不见证件让他到案其就行，看看去。
[16:33.610] 如果你说他过去怎么都是车干活，
[16:36.970] 我就没跪他。
[16:38.000] 济钢表面上为不行，他人家是看车的。
[16:40.710] 保险公司一般肯定看车的，就是你要是确定要修了，直接把车开过去，开过去之后郑姐都买好。
[16:46.960] 我就是方案停车。
[16:48.350] 然后正好报案就行了，一块我收了。
[16:51.100] 对，然后报案之后给一张单子，然后你再把车开过来，拿单子开过来，然后这边会有专人给您负责记录。
[16:56.620] 对接了刚才停车的。
[16:58.510] 就这个意思。
[16:59.890] 所以看你要时间方便。
[17:02.100] 反正是有点休，时间不方便，到时候再翻修，反正不行。
[17:08.480] 了
[17:26.330] 然后如果说要。
[17:27.680] 他要修大概一共几天，我估计预计我只是个人工作。
[17:34.450] 4天左右。
[17:35.600] 4000左右，然后如果说。
[17:37.780] 那条后杠。
[17:39.300] 他们进去之后，
[17:41.650] 就看那个基本上情况，如果需要更换新的话，
[17:44.860] 再看以后没做的话可以给您定做，定做之后倒过来再喷漆，反正大概流程。
[17:50.370] 保险。
[17:53.590] 快乐。
[17:55.880] 起码
[17:59.780] 你来一下。
[18:01.270] 我让保险部门的。
[18:04.780] 师傅先给您看一下杠杆用不用。
[18:07.660] 他们是专门干这个的。
[18:09.330] 一会你这个做完之后报完险定完损之后修车以后他们还接车的。
[18:14.790] 先让您看一下过去他也许打不着的就差不多。
[18:18.010] 去报名916620。
[18:22.050] 你看一下后杠。
[18:23.540] 看后杠撞了一一小空，你看是需要换新的，还是还能修复啥的你。
[18:29.900] 看一下给你。
[18:31.400] 你先给他搁一块看一下怎么办？
[18:34.260] 为啥呢？
[18:35.560] 建设。
[18:41.990] 因为手术了。
[18:46.790] 了
[18:52.520] 他们说。
[18:56.140] 他说。
[19:03.890] 住院
[19:14.090] 数据。
[19:16.480] 数据
[19:20.600] 场。
[19:23.600] 数据、
[19:25.290] 数据、
[19:38.770] 库房、
[19:40.830] 电话
[19:48.830] M 8U了，
[19:56.740] 数据。
[20:08.470] 的
[20:11.070] 的
[20:13.350] 的
[20:16.860] 的。
[20:30.920] 重新下车，
[20:34.430] 然后列车所说，然后
[20:38.400] 中
[20:49.480] 二。
[20:53.140] 20. 
[20:54.500] 20年5月21号有8000公里以后，当时是做了一个
[20:59.160] A保养，
[21:02.580] 患者肌肉和基地。
[21:04.550] 这就B了。
[21:08.090] 不用了。
[21:09.360] 不用越说不知道他们
[21:11.350] 很简单，然后这场我可以给他，你要上吊就给你钱，一句话两句话该回来，
[21:18.590] 不再给你，你不用了，你太多放不放？
[21:21.670] 谁知你说你不给你钱，
[21:28.590] 这孩子高高了，
[21:31.050] 换下电瓶还前天坏，我给你你还接吗？我这就
[21:38.140] 二了你可以了，那必须的，不过确实是刚刚过来一车联系打电话交通了，记住我跟那个词没毛病，
[21:46.530] 真的一看人称号。
[21:48.590] 还行，我说直接给你拿回来了。
[21:52.280] 本没经过还是。
[21:53.760] 谁知
[21:54.750] 做没有。
[21:58.220] 的就三样的小弟，这都是2400。
[22:03.510] 网友天年10月15，前面也不知道吗？
[22:08.320] 1130钱3万。
[22:11.440] 了，
[22:12.640] 那就不是把凶猛了。
[22:16.360] 他这个等于先上车前，对是没错，都是先上车点，对，那你就不行先把代步车检上了，还有什么意思跟你说没道理的，2010年10月。
[22:27.590] 反正
[22:31.540] 放在眼里，那您就等于就是什么不了。
[22:34.520] 现在他不是你我是这意思，刚才说的是
[22:39.070] 没关系，块钱你也不会没来，对，我给你的意思就是说今天在这修吗？修后边修是吧？
[22:46.660] 出错了，你。
[22:47.540] 不了稍微等会儿。
[22:49.140] 他已经报进去了那个东西。
[22:50.780] 报不了保险是吗？这个变成可以可以报。
[22:54.100] 你给他保修都是为了他现在改成了。
[22:57.920] 那就这事一一会这动作。
[23:00.110] 了我就正常保养，真的明白吗？
[23:03.400] 如果要修也得抱着，因为他先修的我给忘了，还有还得修复是吧？您看我拿不准你越哭了，
[23:13.070] 那就算了，我先同行。
[23:15.160] 我就给您咱们今天就把这个做完就行了是吧？应该差不多今天能取车来。
[23:20.730] 是吧？你这样你5:30下班就是5:00左右给您去电话，如果能取
[23:27.230] 今天你要过来取，5:30之前过来就行了，今天不过来了，反正明天订完了，明天中午之前已经收到了。
[23:34.060] 明天不过来，后天行，一会儿就是车该怎么样，车好了我给您去个电话，你车这
[23:40.030] 我在写签个名字就行。
[23:42.340] 对。
[23:45.410] 我给你留一张单子。
[23:46.890] 这个是取消单，到时候
[23:49.610] 洗车的时候拿着单子取车，别丢了就行，那就给他安排了，没事。
[23:55.150] 我要是出去的时候开另一出来。
[23:58.110] 到前台把车牌号给他说一下，
[24:00.840] 条讲。
[24:02.750] 快点。
[24:04.740] 场。
[24:09.490] 场
[24:14.560] 场。
[24:16.080] 场。
[24:17.280] 的。
[24:23.690] 花
[24:25.000] 的。
[24:34.320] 场
[24:35.400] 刚才
[24:37.330] 了，
[24:43.030] 三年前。
