[00:00.000] 等会。
[13:38.400] 保养吗？对，有没有首保赠送？
[13:42.220] 因为有的。
[13:43.520] 或者是老客户转介绍，比如说您原来有一个车，您或者您
[13:50.230] 介绍一个朋友上这儿又买过一个车，他们这种是有一个赠送，这种的可能我们就查不到，就给您问一下，或者让他们做到
[14:00.660] 这么想。
[14:01.790] 咱这车有没有首保赠送？
[14:16.390] 刚没有记录。
[14:19.120] 但是没有记录，没有什么
[14:22.760] 没资格收费。
[14:31.710] 没有是吧？
[14:37.330] 稍等一下他问一下。
[14:39.950] 再有刚才跟您说延保，
[14:42.290] 如果办两年两年整车贵一点是7798，
[14:48.010] 现在我们是可以申请赠送一个您考虑
[14:51.550] 申请政策售后这边可以，因为这是厂家保养套餐，它也是为了留住老客户，
[15:01.070] 有这方面的，其他的是煤又。
[15:11.820] 您正常问。
[15:14.400] 我这边保养我就正常给您做。
[15:16.870] 因为您要是有我也能抵，您要是没有到时候您就正常交费去。
[15:22.200] 了。
[15:22.930] 对，您要正常交费就行了。
[15:56.920] 还有刚才跟您说阎宝这次给。
[16:00.490] 这次。
[16:01.810] 延保是什么意思？
[16:03.700] 我就跟您说，如果要是车正常的三年之内它属于厂家保修，就跟您买一手机买一个电器一样，
[16:11.930] 他有一年的保修期，我坏了，我可以找厂家。
[16:16.550] 车是属于大件了，他也有保修三年，
[16:21.050] 出了三年以后，像这些什么电器家或者可能自费了，
[16:27.770] 这样它也是好多，因为。
[16:31.350] 微微消费高，有的客户就上外边可能
[16:34.310] 找一地儿便宜点，可能质量上可能差一点，它也是为了留为留住老客户。
[16:38.850] 酷还要再来一年是吧？
[16:41.150] 延长一年或者延长两年，民选可以延长一年，延长一年等于2000多块钱，
[16:47.600] 等于4年的时候，因为车越往后4~5年，故障频率故障概率稍微高一点，
[16:53.720] 维修费用低，比如这真是有一个小件，可能都不是几千块钱的事儿。
[16:59.340] 了。
[17:01.170] 维修一下可能都得上万，大一点大家肯定都得上万了。
[17:06.260] 就是一年延保，我看您这车现在办事最合适。
[17:12.290] 延长一年是2000多块钱，延长两年是4000多块钱。
[18:29.720] 我就先折腾
[18:30.770] 你们这里保养鲜红。
[18:31.970] 保养他正在问一会儿有信息。
[18:34.430] 行。
[18:36.510] 一会儿有没有信息要您报一下，这次
[18:40.510] 车要做的就给您做A保，
[18:42.650] 做一个洞，还有热水清洗，一共1288，
[18:46.160] 就按这个项目先给人做着领导往前走。
[18:49.140] 堵车是。
[18:50.280] 对，谁知。
[18:57.130] 这也没事儿。
[19:05.700] 他送的应该是一个基础A保，
[19:08.350] 如果要是有应该是933。
[19:11.360] 有。
[19:12.680] 路清洗是磨合完建议做的基本上
[19:16.640] 这次做完下次。
[19:17.880] 一次3万公里再做一次，
[19:21.670] 他的帮着记者巡，他刚刚了就行是吧？
[19:27.950] 行没事，你让他问一下。
[20:27.970] 保修等会您也考虑一下，您告诉我。
[20:32.800] 您这车现在办两年整车那也合适。
[20:36.410] 两年整车应该是70007000多块钱送一保养。
[20:59.310] 这边是
[21:00.420] 车间是9点上班，今儿早晨开个会。
[21:03.220] 您那车。
[21:04.650] 车估计。
[21:05.490] 应该在。
[21:06.500] 10. 
[21:07.510] 10:30 11:00左右应该就能调整好。
[21:41.710] 当初上班。
[21:42.790] 搬过来再确认一下。
[21:48.570] 一年半了。
