[00:02.490] 出色，张女士。
[04:18.930] 另外有蓝色，我当时对半包，但是宝洁纳兰你还得不能选。
[04:24.290] 对你得花钱对花钱是吧？所以说
[04:27.970] 我当时还挺喜欢的事，蓝好像是
[04:32.220] 新出的颜色的是保时捷新出。
[04:35.700] 是不是？
[04:36.170] 然后简单跟您说一下，咱风池有一个服务公约，
[04:40.300] 咱们所有价格都是明码标价，公开透明，
[04:43.280] 然后配件渠道是清晰公式，绝不捆绑销售强制消费，
[04:48.080] 绝不使用假假OK，
[04:50.100] 假以次冲好，然后下边有服务监督电话，4008186188，
[04:55.460] 然后如果你要考虑分期购车，也是不收取金融服务费。
[04:59.230] 北京指标您这边有指标置换还是有线条的，之前都卖的都麻了，什么课链子？
[05:06.610] 赛马怎么样用的还行吗？也开了五六年也
[05:10.950] 特别好看，特别声音，我感觉是下班还学过那车，看看搜一搜的什么。
[05:16.250] 当时我要是比如煤气化的我没卖的话，
[05:19.660] 也可以在这句话
[05:20.940] 可以。
[05:21.780] 但三一这车到现在是这样，厂家不是上市了吗？城市之后，然后但是
[05:27.570] 因为车没有的，
[05:29.060] 如果你要订的话您可以先订，
[05:31.380] 贴完之后，然后等车到实际倒车之后再定价。
[05:35.540] 降价了对超厂商只是公布一个指导价格。
[05:39.690] 一般来说上市之后会每指导价格贵还是不一样，基本上不会区别。
[05:45.390] 知道家庭到价现在多少。
[05:47.680] 我帮你看一下这个不车就一个价也不分什么警号是吧？
[05:51.910] 对他就是一个C200，然后要不就是旅行就猎装，我们叫猎装两三那种。
[06:01.920] 听说
[06:03.590] 全景的前景天车具体的配置我跟您这么说，
[06:08.380] 实在没法跟你说，
[06:09.760] 打了没有现实的，因为没电车厂家只是发布一个价格，车长什么样，然后他弟子配置单也没发过来，我的意思比如今天我们来不是订车要交定金对吧？
[06:20.160] 如果要是会不会存在决定不到到处发。
[06:24.120] 还不会，这车的话，如果您要蓝色的车，黑色内饰这车的话是6月5号生产的。
[06:32.810] 7月2预计到港是7月22号到港，I9白色是同类吗？
[06:37.760] 黑马都是黑。
[06:39.900] 这车其实实际已经在天津港了，
[06:42.140] 到天津港已经到天津港了，然后就等着发车了，应该预计的话下个月就能提到出来是吧？
[06:48.250] 但是价格这样的就没有办法谈价格是吧？现在没法说，因为我的价格政策里边没这车，
[06:55.700] 我就能看到现有的库存，目前其他车的价格工作怎么样都能
[07:02.300] 看看你的C20能优惠点应该是100，
[07:06.670] 庄稼也多，渠道价是
[07:08.840] 20 34万多，不是我看下面标的上市公司的价，就是咱们指导价多少架，然后公示一下工事件，然后您上北京指标再优惠点，比公司将还要再低一点，
[07:18.350] 大概320万米，
[07:20.620] 要是到了27万，
[07:22.200] 27万裸车27万多有裸车，但是刚才
[07:25.420] 我听说24万就听说24万多有不加长的。
[07:29.960] C2C260，然后咱们楼下320LL知道您要是不带L的如何完成248,800。
[07:40.820] 恩其实我个人
[07:42.600] 我觉得
[07:43.630] 这么就买那款车其实也差不了多少钱，要使用的话还是这款使用。
[07:48.560] 这好看的。
[07:49.560] 不是我说4
[07:50.680] 30多年是不是买使用一下，但是
[07:54.850] 要比外国时就您自己开吗？我们一家三口。
[08:00.160] 搜三楼的床上，反正是咱这车属于轿跑车设计对吧？不框式车门，
[08:05.260] 再加上还有进口的性价比还是可以的，而且外观汇票虽然说一个cos小的号，因为我记着这款车上次
[08:15.140] 上次上市的时候好像特别难吗？
[08:19.480] 之前那个车上市之后，因为它内饰不好看，现在的那事全都变了，
[08:25.730] 这肯定好像小女孩旅游这女同志肯定特别喜欢车，我现在无框式车门对我对吧？然后他就造型也好看，我说这尾灯设计的特别对，因为我刚才跟我老公说了吗你说
[08:38.190] CRV跟
[08:39.960] 你看这cos就看到那车队一模一样小样对。
[08:45.480] 对好看那车门。
[08:47.230] 而且现在你还能这样1.3T1.3现在还能选颜色，估计过一段时间强调一共就5个车都在这儿，这边是北京旧车，不这我们店电话。
[08:58.210] 你看这不是ca吗？
[08:59.790] 200户，
[09:01.020] 一共5个车，149是白色，
[09:03.720] 787就楼下灰的。
[09:05.820] 667是纳兰的。
[09:07.430] 一共5。
[09:08.560] 然后带少了就俩。
[09:10.150] 前期车肯定会特别少。
[09:12.430] 现在还没有人订，没有订，因为前面要发布吗？
[09:16.840] 前天不是，因为我昨天了。
[09:20.230] 你看
[09:21.840] 你觉得
[09:22.970] 也是
[09:25.910] 也在这里。
[09:32.830] 我问
[09:58.110] 299,800。
[09:59.910] 价格。
[10:01.930] 也不可能说有车，他发布这个吗？
[10:04.710] 299,800，您说要是如果再等一段时间倒车了，
[10:11.590] 还比如颜色又多了，会运行会降价吗？不会，我觉得很冷。
[10:17.340] 我说估计是不是都不好定。
[10:20.470] 我进口车是这样，它不像国产A什么这些C什么随要随有。
[10:25.820] 进口车你首先你产出来到运动场就得参与勒
[10:28.980] 了，这是哪儿？这就是压力，匈牙利旋律
[10:34.020] 跟他比较费劲点，就那车。
[10:36.410] 而且在到了话以后再到的时候，您有什么傻就敢这么傻，
[10:39.840] 就只能再找错了。
[10:41.440] 是这样的，现在我车牌不在北京，
[10:44.820] 在别的车上用，我
[10:48.250] 我去把指标挪过来，来得及多长时间我购车，您这车就算到了，你得这车得下个月才能到，那不我知道我第一次到了以后，到了之后，然后您也可以您全款还是做更新。
[11:00.260] 怎么坐什么样车都行，反正这车就算到了，您就算不管您全款分期，然后全款交全款你要分析的交手，
[11:08.200] 然后车到了以后，新车给您开发票，办个临时
[11:12.390] 能开开走，第一次的话15天，第二次一个月，
[11:16.100] 我的意思就是排最迟，明年3月时间还不到一个月时间还不行可以。
[11:22.890] 对吧？
[11:23.680] 来得及。
[11:25.270] 车牌是我妹妹的，完了之后，比如说我要是想做
[11:31.520] 有个分期分期的话，那个是用他的名字贷款，还是我们用他的名去申请，因为它是指标人，这个离不开他，
[11:39.210] 然后您可以作为还款人您来还款，跟他没关系，但是他本人得同意。
[11:44.440] 我明白了，他不用提供什么东西，征信什么都不用，能帮我们大概算一下，他分析的话，
[11:52.390] 手续费就没收益分利率不好算。
[11:56.080] 因为为什么这车还没来，
[11:58.020] 现有的价格没这车型。
[12:00.900] 不，他的意思就是车队它利率不一样，车型不一样。
[12:06.070] 平时就拿CS，一般来说是多少？不他肯定比3SDR为好像我记得
[12:13.670] 分期的，您这有送天宝的地方吗？
[12:17.020] 图上有楼下有，我给你做一个配送，你知道前面
[12:20.670] 好像
[12:22.070] 车档
[12:23.800] 力很低的，但不骚。
[12:29.880] 利息特别低对不对？好看的车。
[12:32.800] 不漂亮。
[12:37.020] 都是小车，我就一直插队之前好多人找着车没有？
[12:43.980] 从网上看到国海外版的，对，但中国那时候清楚不了，我觉得那车没发布，但是之前不有一批
[12:51.550] 完了又退市了，全部生产之前是老的，对，我记得我说也是那
[12:56.990] 那款车我见过别的票，但是随着全新一代骚味了，
[13:01.080] 特别漂亮。
[13:02.380] 我们也是看网上宣传的东西，维持昨天刚刚提高的行消息，
[13:07.690] 说阿姨已经发布上市了，你发布其实你看现在已经很快了，预计的话你现在车上已经到港口了，
[13:14.400] 刚刚我做检测，
[13:16.940] 很快就打完了，全款的话30我都30吨不超过35不超过。
[13:23.240] 你给我算一下。
[13:29.830] 这球在不到就买了。
[13:31.390] 没想到还。
[13:33.640] 稍等。
[14:11.380] 车辆的功能上，因为这车没到，我也真没法给您介绍，然后具体到无所谓。
[14:16.850] 因为
[14:17.520] 我刚才大概看了一下，
[14:19.310] cos
[14:20.790] 因为他他俩
[14:22.140] 差也差，就是一个大小，就是大小，谁知那是都不一样。
[14:28.580] 因为毕竟我之前开了也开奔驰开了好多年，
[14:33.120] 你换车
[14:34.510] 好像还是小货车，上次去看奥迪了，开奥迪还不是那么特别喜欢。
[14:44.850] 具体的参数，到时候您只能扫二维码的，全系的参数都会有，但是不见得有这车型。
[14:50.740] 然后颜色的话，反正刚才看了咱们楼下有7面前为P电板到你们看一看好不好？
[14:58.250] 车这边您还有什么疑问吗？
[15:00.370] 没有，现在考虑怎么
[15:03.090] 思考的方式里面。
[15:09.830] 我们这边要是比如我老公，
[15:11.960] 军官，我们要做什么提供什么，
[15:15.550] 提供比如说您身份证，然后您是上班还是上班，您告诉我一个工作
[15:22.910] 工作单位的名称，
[15:24.560] 然后工作地点，
[15:26.950] 然后您这边提供一个住所的地址，
[15:31.100] 然后大概住多长时间，然后有一个移交房子，你自己
[15:34.920] 这点就文字类的，你什么都不用提供，您编辑信息给我就行了，完了也不用说什么
[15:40.590] 流水什么就可以die了，R
[15:44.360] 比如用你的名字交给
[15:46.620] 同意完之后，
[15:48.040] 你去做光板的吗？就提供一下你的
[15:51.520] 工作单位名称，咱们家庭住址就文字上的就
[15:56.300] 最低是多少，首付2030%都行。
[16:00.960] 20 36环的。
[16:03.620] 无所谓，一般年利率现在不好算。
[16:07.780] 如果按D就是用现有的低和高来说，现在基本上这车的话3点多4点多也就这样，年化三点很低，
[16:16.490] 车的
[16:18.650] 贷款您看这是我今儿给我上午订的车，你看人家做的分期，
[16:23.470] 就发一条信息就完事了，然后他就批了。
[16:29.740] 上周五提交的这块批完了就特别快，
[16:32.780] 是吧？车到了就行了。
[16:35.340] 三年是吧？
[16:37.280] 两年三年都行。
[16:38.780] 二年是最长不就三年吗？三年。
[16:41.680] 三年的话。
[16:42.820] 你给我算一下。
[16:44.050] 我付30
[16:45.810] 算不了去，
[16:47.270] 反正的利率是不一样，不是我是首富，
[16:50.710] 首付百分就这收入30万，你要30%那就91090万，加上购置税的话是26,531万多，
[17:00.380] 11万多家保险12万多，车损13就可以开不下来了。
[17:06.210] 他说权限是338,000多，反正大概你看待
[17:09.690] 待了
[17:11.810] 96,000+20万带20对吧？22时
[17:17.530] 不要分三年。
[17:19.080] 我的意思换个大概我算了大概21 61年还7万，一个月还6000多。
[17:25.330] 为什么昨天
[17:27.370] 将来比
[17:30.240] 谁
[17:32.110] 这可能不能去了。
[17:35.390] 因为我们询问卖钱，现在不是你做了一部分理财都套了，
[17:39.290] 现在都是分期购车，因为利息利息低的话可以拿钱去干别的用，或者可能这车上市之后，可能还有另一种金融方式，就每月不用还本了，
[17:50.090] 然后两年或者三年之后一次性在回款，还可以就中这只还利息就行了，这样。
[17:55.630] 现在有这种方式那种反正稍微粘话高点，但不是还本，您拿着钱远远高于这个钱是
[18:04.250] 能不能用？
[18:05.670] 钉现在我们今天就可以定了，可以公共谁的门定了，就您妹妹的名他的指标吗？
[18:12.430] 他这几遍他不用，他那边你稍等一下跟他没联系上。
[18:15.670] 那就用您的身份证可以签订名字说明比如定金一个。
[18:20.180] 然后他们退了是吧？
[18:21.350] 农村也看到对，因为眉山车
[18:23.710] 没错，孕育妇话，但是我的意思是
[18:26.490] 不会坐车，到时候没有我的车，不这车已经有车牌号了，
[18:31.440] 这车就给您留着了，肯定喝到了又明了，这应该没什么问题，就是我亲妹妹她可能在外面有点事儿。
[18:37.730] 我跟他马上说一声，
[18:42.530] 注意到
[18:45.900] 错在哪里？
[18:50.750] 大家可以这样，
[18:53.790] 这是重点。
[18:55.930] 也可以。
[19:38.880] 他这个车就是定金，如果这个车到了之后，万一有什么变故要不要了的话，订金就不退了。
[19:46.080] 是这样的，等车到了之后会通知您，然后这个车比如说咱们过来给您算具体价格，
[19:53.930] 然后你看看车的外观什么，那是人要洗完了，咱们就开始签正式的那种订车合同了，如果你要不洗的话，定金是可以退的，
[20:01.010] 车就放出去了。
[20:02.440] 就这样我们先
[20:05.680] 您可以先占着，因为这上确实少，就这一点，对蓝色可以。
[20:10.580] 灰色太多了，我个人就挺喜欢家里的话还是蓝色比较合适，咱们看之前
[20:17.350] 他那个颜色都是需要
[20:18.660] 额外花钱。
[20:20.950] 颜色特别
[20:23.830] 他蓝不一定说你这不都已经看这栏，但是
[20:27.580] 因为你开的话，你就想一共三个选择，兰白黑白的你不喜欢，
[20:32.460] 蓝白灰白色的灰色的可能显得
[20:36.670] 沉重，对玩啥呢？
[20:39.320] 尤其这狼其实特别进口车放在这栏上特别漂亮，尤其是这种小轿跑车，现在这种车要是保养的时候维护的正常的跟国产一样。
[20:49.350] 不错，他
[20:52.000] 那件估计因为进口车件事没有一样，常用备件都是咱们都有库存的都有，对中国港口基本都是有的，就进去懒得赶紧定，原来你现在就让您妹妹的身份证
[21:02.510] 还是用您的身份丢钱。
[21:04.280] 我们要把你接电话。
[21:06.460] 您可不可以先做别的？
[21:08.160] 材料，完了我现在跟他联系，不用您身份证就行。
[21:11.690] 那个车明是谁是吧？
[21:13.600] 出名到时候再换。
[21:15.610] 不是我的意思，我用他的
[21:17.400] 指标不是车牌号是他的，但是现在走手续是不行于的，明定也行，我随着可以我把身份证给
[21:25.820] 当然咱们再换就完了。
[21:29.340] 换也只是你们内部的一个，对，也不牵扯到别的。
[21:35.020] 一会
[21:37.230] 哥哥心里
[21:45.560] 孩子做得好。
[21:46.620] 着急。
[21:47.790] 像约翰不行，
[21:49.160] 反正订完了。
[21:54.750] 只有你一定你在学校吗？
[21:56.720] 带了用他的行，我觉得因为
[21:59.890] 因为我想到时候
[22:01.440] 用他的比如说分期什么，他一定保管都一样，咱们只是先做一个合同把车定了，他收钱都一样。
[22:10.550] 我先下去看一下行吗？他自己在这办也行，没问题，我看看。
[22:38.670] 咱去那边电脑。
[22:40.100] 这电脑肯定不看书。
[22:55.800] 现在您还是在车上。
[22:57.710] 没问题了，您两个东西了，
[23:01.220] 弄好了就行了，我记得我的意思现在反正你也在等，那就是新车OK。
[23:07.880] 就这样扫一下。
[23:09.190] 颜色不是这种是那种蓝不知道，但是也不会好看，就是说十分肯定的。
[23:16.420] 你说
[23:17.120] 尤其造型，
[23:20.920] 上次
[23:22.030] 特别喜欢
[23:23.310] 告诉
[23:24.790] 我们好，我们好多销售都喜欢，
[23:52.320] 不会把其中
[23:53.760] 才能
[23:55.210] 它的作用。
[23:59.280] 他用他的名，
[24:03.220] 因为然后他喜欢他改来改去，骗子等一会你必先要签，反正无所谓的。
[24:09.750] 不用给他打电话，因为以后做如果做分期直接用他的了，就直接让
[24:15.530] 登记了。
[24:20.480] 不着急。
[24:24.690] 后面会怎么样？
[24:30.900] 那也是上月抗好几
[24:35.190] 因为其行10点下班不知道，
[24:38.270] 先把车定了，岂不岂不是有什么
[24:42.260] 车就怕晚了，到时候颜色对吧？
[24:50.710] 谁知
[24:56.910] 的
[25:00.360] 的
[25:05.850] 号
[25:06.720] 数据
[25:08.690] 坏
[25:11.990] 场
[25:14.600] 数据
[25:18.880] 坏
[25:20.040] 场
[25:22.070] 数据、
[25:23.490] 数据
[25:26.840] 场
[25:28.520] 数据。
[25:30.570] 明天
[25:51.160] 的
[25:51.970] 上
[25:53.150] 上
[25:58.800] 餐具厂
[26:04.000] 场。
[26:41.320] 句。
[26:43.030] 五
[26:45.630] 的
[26:47.170] 场。
[26:49.390] 场
[26:58.120] 数据
[27:03.770] 数据
[27:06.280] 点、
[27:12.760] 数据。
[27:18.200] 的
[27:22.920] 场、
[27:24.320] 数据、
[27:26.940] 数据。
[27:28.970] 花
[27:45.810] 做
[27:48.750] 的
[27:51.990] 远场
[27:58.550] 数据
[28:04.260] 花
[28:08.450] 结果
[28:11.560] 数据
[28:14.360] 场。
[28:21.810] 数据。
[28:31.490] 4×2号，然后拿着下来，我觉得在马上。
[28:36.410] 等一下。
[28:37.650] 何况好像有点变。
[28:42.430] 好。
[29:03.330] 数据、
[29:12.090] 到
[29:15.440] 36。
[29:18.740] 对。
[29:21.790] 难道
[29:23.710] 谁知
[29:25.950] 未来
[29:27.740] 月份来
[29:37.920] 3月
[29:44.680] 说
[29:46.190] 两
[29:52.640] 数据
[29:57.090] 的
[30:03.290] 蓝是不是？
[30:09.040] 这个不是一会咱通的特点，知道门口有没有A的那车。
[30:59.630] 在这边
[31:05.900] 我走还是怎么样？
[31:12.180] 特别疼。
[31:18.480] 往里走。
[31:19.580] 等一下。
[31:40.160] 的
[31:43.870] 的
[31:45.390] 的
[31:47.250] 的。
[31:50.520] 坏
[32:00.280] 的
[32:04.230] 月
[32:04.940] 二。
[32:08.810] 每天晚上
[32:13.710] 他白了。
[32:15.440] 在网上
[32:16.540] 马上要有的，但是日本和宝石蓝的天气
[32:22.570] 老师来，谁知
[32:25.030] 目前是没有用，但是根据他的
[32:29.900] 一个市场要大大，
[32:33.300] 最后一样差不多，这边打仗，等于这个公司还有比
[32:40.830] 好多别的奔驰三道德都不一样。
[32:43.630] 这边闹了。
[32:45.280] 蓝色
[32:47.940] 很少。
[32:51.250] 就这么大店，你看看还分了5个，
[32:55.070] 这是分店里边算华北区每个月的产量是最大的变化。
[33:02.800] 跟加入并知晓的，所以图片P的
[33:09.890] 数据
[33:11.680] 场
[33:15.500] 坏、
[33:26.720] 坏
[33:35.320] 它原有的车就是公车上的话，
[33:40.970] 他需要到车管所办手不是吗？您那个车只要指标出来了，
[33:46.400] 然后咱们这新车去验车上牌的时候，
[33:49.380] 然后直接跟他说的保留原号牌都可以
[33:52.560] 了，那都不用从外地开。
[33:54.950] 对开市我就说你要保留着原号牌的时候，
[33:58.540] 跟他说一声就行了，他得先做什么，首先得把那个车开过来，
[34:04.330] 然后做来北京做外迁手续，然后签一下，
[34:08.860] 做完外迁手续之后，档案他就车管所那边他自己就掉过去了，
[34:13.310] 你就不用管他了，然后他只要把档案提走了，
[34:17.360] 你那车指标大概有个三个工作日差不多出来了，
[34:20.750] 然后她自己再把这个车开，他自己就直接那种车开回去就行了，然后他给他临时
[34:26.550] 他到车管所办的，在网上直接车去冲绳，对直接去不用预约是吧？可用。
[34:32.750] 看看有，谁知
[34:40.620] 资源
[34:45.600] 点。
[34:52.160] 我没有。
[34:55.500] 感觉
[34:57.830] 我觉得阶段
[35:06.390] 的
[35:07.720] 场。
[35:18.510] 的。
[35:25.380] 好，我先给您写。
[35:27.560] 因为这个车
[35:33.600] 电脑系统里边都没有这车。
[35:35.740] 我们订单的合同里面没有车，然后先给您定下来，然后车架号我给您手写签上名字，然后就什么颜色都给你写，
[35:44.040] 然后又给盖上公章。
[35:45.840] 行，我们这边没什么不会，到时候我告诉你不会不放，这车都已经到过
[35:50.940] 了后再放下了。
[35:52.880] 好了，我现在标的这辆车两，
[35:58.490] 你看这车架号137449，然后再667的就是颜色蓝的，
[36:04.070] 然后就给我车账号了吗是吧？然后这个车往后拉一下，到港日期7月22号就已经到天津港了，
[36:10.460] 登记的话下月就到了，
[36:12.250] 然后他就做检测出管检测，明白，他只是系统上没有，车辆里面的系统没有，我说的意思就下一个程序没有公布，但是
[36:21.430] 公益不能再说什么，
[36:23.520] 你就担心你问我我玩颜色较
[36:28.610] 水洗完自己
[36:33.500] 车架号是
[36:35.240] 谁知，
[36:36.200] 然后发现边疆，
[36:38.570] 我说为啥我就在网上去哪纪录片，
[36:41.400] 我就这样。
[36:43.590] 谁知
[36:51.790] 车架上我给你写这后边了，然后颜色的话就是水洗蓝颜色较
[36:58.560] 然后车架的话
[37:01.470] 299,800。
[37:11.720] 和
[37:16.790] 可能你的事儿
[37:17.900] 你说
[37:19.060] 公户的去委托书不得需要个委托办，谁办那事吗？读书。
[37:25.700] 在工作文档。
[37:27.770] 跟办临牌不一样吗？一样碰到文档，然后这有一个也在这里。
[37:33.300] 委托书你不是
[37:36.200] 公布委托个人对。
[37:39.190] 委托人是不？
[37:40.760] 我是指的交税阿娇出来你拿A4纸盖个空白章就行了，那是交涉模板，我还有一个委托书，他们那边办的公司委托个人的，还有
[37:51.610] 带上公章去。
[37:52.960] 北部了当天在公安局，对，反正你看咱们交税那啥，
[37:57.180] 朝阳那个里边复印机上面贴了一个盖章的地方，有一张我知道怎么办，还有一个委托书，
[38:05.160] 比如委托唐阳或者委托周琦去办，不知道，反正我每次都让他们带着去更重要。
[38:10.830] 今天
[38:12.500] 1号。
[38:13.360] 知道了。
[38:15.230] 听听。
[38:21.320] 到时候具体别的事。
[38:24.190] 反正。
[38:25.410] 来您这帮我签几个字着，这块合同就说给您车水洗蓝黑色内饰，然后咱们就是CIA200，
[38:34.030] 车加我给你写上了，又在这地方给你看一下，知道为啥不行这老型号的。
[38:40.630] 对，没有这车情况，但是这车价我给你写了899,800，然后车交一定预付款没给，你写这定金定金是不能退的。
[38:48.900] 预付款可以退的，好好的，您在这签个字弄三张合同义务这条给他盖章日期就行了，不用下班了。
[38:56.970] 谁知
[39:01.790] 但是我估计如果这个就要就到了
[39:04.960] 展厅，你要是现车肯定走得特别快，这车估计如果您要不定这啥车，这场车
[39:11.190] 肯定会到展厅展厅进展厅，而且我感觉一进展厅肯定走得特别快，
[39:17.700] 量非常多。
[39:19.820] 就像你餐厅都是这么多人，
[39:21.950] 而且很多人
[39:23.280] 大家没缓过神了，对大家好多人不知道这个消息，我是特别关注这些，昨前天发布的，昨天知道了，
[39:31.280] 昨天有人问，
[39:32.480] 昨天我刚知道没车。
[39:33.960] 您稍等会，我得找我们头签个字去先稍作。
[39:52.010] 对
[40:03.710] 还是你
[40:07.080] 不适用。
[40:12.520] 你跟你说以目前
[40:14.320] 随时都能用。
[40:16.330] 我昨天
[40:19.290] 谁知
[40:21.910] 一样邀请你，到时候就不能少了。
[40:24.820] 对一半。
[40:25.960] 我转给你了。
[40:27.680] 后来
[40:28.550] 不能跑了，
[40:30.480] 你就赶回来，我不干这行字。
[40:33.400] 什么吗？
[40:35.140] 我今天现在不前端处理，
[40:38.100] 万一有什么找问题，
[40:40.450] 我是这么想，
[40:46.400] 要转动。
[40:48.130] 没事先放在这，我在想一会钢琴用的
[40:54.130] 把这个东西
[41:04.440] 实际上
[41:06.660] 交换机什么照片？
[41:20.690] 的
[41:31.570] 花。
[42:02.720] 场
[42:03.420] 坏。
[42:13.130] 的
[42:14.570] 片
[42:16.100] 片子、
[42:27.230] 你觉得德国
[42:31.450] 还是我像公司越大最近。
[42:34.210] 没有，你们先不说。
[42:36.100] 是他给我介绍不是。
[42:38.130] 不信对，如果
[42:43.440] 咱们
[42:46.570] 感觉各方面都不错。
[43:09.810] 数据
[43:11.000] 场、
[43:22.790] 明天
[43:30.950] 的
[43:47.500] 需要
[43:48.140] 市场
[43:51.200] 数据
[43:53.110] 远
[43:54.310] 数据
[43:57.160] 的
[43:57.920] 的
[44:01.160] 的
[44:03.010] 的
[44:15.300] 一半
[44:21.170] 站。
[44:22.490] 数据在哪里？
[44:31.200] 这样
[44:35.720] 远。
[44:39.120] 慢
[45:01.110] 为
[45:53.330] 这样
[45:55.740] 你可以
[45:57.240] 他也不
[45:58.100] 对。
[46:10.230] 你还没有。
[46:13.830] 不清楚。
[46:52.480] 谁知
[47:02.080] 知道。
[47:03.070] 怎么办？一会上医院。
[47:04.980] 疾病。
[47:07.550] 不是我们交钱一会交定金都定。
[47:13.090] 奔驰。
[47:15.150] 车。
[47:17.770] 一会我给你看看。
[47:19.330] 其实。
[47:21.260] 谁知
[47:27.240] 陈赫总
[48:19.500] 见仁见智，
[48:20.580] 我觉得
[48:21.600] 那也不错。
[48:22.750] 不是我说你觉得自己
[48:24.670] 的
[48:29.250] 对。
[48:30.760] 我觉得你们
[48:32.140] 来自己
[48:58.780] 这个牌子吗？
[49:00.820] 微信微博了。
[49:03.460] 卡住了。
[49:04.260] 2万多块你看见吗？
[49:06.090] 没看见。
[49:07.480] 是中国的公司接近的刷卡不是信用卡吧？
[49:12.670] 卡储值卡有微信里的
[49:16.480] 数据储蓄卡是吧？不是微信什么的，不是主持人刷卡是吧？好。
[49:23.610] 这种信用卡有不行？
[49:26.970] 我没有。
[49:28.190] 稍等发。
[49:31.530] 比如交
[49:32.910] 存款的时候也是主角的数据，
[49:35.350] 不知道。
[49:36.280] 正好也没什么。
[49:49.830] 眼睛。
[49:51.340] 行来，您这儿签个字。
[49:54.280] 一。
[49:56.240] 证券
[49:57.470] 身份号。
[50:01.670] 你不要多条的生产号。
[50:05.820] 然后再人家就直接点。
[50:07.340] 上。
[50:07.920] sorry。
[50:08.620] 多一点。
[50:10.940] Sorry。
[50:11.900] 你说得对。
[50:13.400] 你。
[50:14.190] 说的对。
[50:14.930] 说的听懂我。
[50:16.300] 画了中文，你说的对。
[50:18.640] 眉毛咱没关系，到时将矛盾
[50:49.800] 一半。
[50:50.750] 上海的储蓄卡是吧？
[50:54.790] 在。
[50:55.510] 我们奔驰这个系统里边跟当时我刚才您说是店里面的系统里面没有这车，
[51:00.310] 但是跟水里边你看着你的能打电话。
[51:03.770] 说起来C2月2号
[51:07.020] 但是车奔驰这套系统里面已经有了，这种车这边好多了，车架号都给你挂了，对sp。
[51:14.870] 好的。
[51:16.620] 为。
[51:17.830] 你有没有想过吗？
[51:20.730] 应该好多年了，没办法。
[51:26.320] 的
[51:27.890] 了。
[51:34.510] 没了。
[51:35.370] 查一下。
[51:36.720] 漂亮，没有了就看到了吗？
[51:41.650] 稍微放松。
[51:45.850] 我演示一下。
[51:48.030] 我再去换卡，等会再我给您先把那卡原文试一下，你看我的手机平台我看看。
[51:56.490] 没有模拟。
[51:57.130] 你们。
[51:57.920] 没开车。
[51:58.930] 这不有湖景的。
[52:00.100] 签字。
[52:01.390] 水管上就没问题。
[52:05.320] 现在都老师网上转，对你这张用卡了都。
[52:09.550] 我这好多年都没话说，他们拒绝掉了。
[52:21.960] 这卡月要换卡了。
[52:24.260] 是吧？
[52:25.440] 我这么做脱节。
[52:31.250] 的。
[52:32.760] 知道，
[52:44.200] 的。
[52:46.330] 还没查
[52:48.480] 的。
[52:50.970] 想脱离
[52:54.270] 政策开始
[52:56.010] 出现了。
[52:57.750] 你幻想呢？
[52:59.620] 看看一下。
