[00:01.060] 送人有没有？
[38:18.800] 今天也定不下来是吧？
[38:22.770] 等预算报价单上面有个二维码，你方便的时候你可以帮我扫描一下。
[38:26.680] 有一个问在线的
[38:29.180] 服务公约的一个在线问卷。
[38:37.350] 然后我们这边的话明天会给您打一个回访电话，到时候您看电话旁边短信方便，上午还是下午？
[38:44.480] 打电话没事。
[38:45.560] 行可以。
[38:47.180] 谢谢没事。
[38:52.320] 楼上是啥子？
[38:53.490] 楼上也都是跟楼下车都差不多都是一样。
[38:56.190] On的，有AMD的车型。
[39:04.870] 行没问题，好你就明天打电话。
[39:07.830] 然后想睡觉的话你就拿驾驶本过来，
[39:10.470] 然后打电话的时候，我到时候给你看一下明天车限不限号，
[39:13.620] 你先好的话就可以是没问题的。
[39:16.230] 不特别严重。
[39:17.670] 慢慢走感兴趣关联。
[39:41.490] 不是你刚才报了。
[39:43.680] 好。
[39:45.740] 你打电话聊一明天下课吗？
[39:51.510] 应该。
[39:53.120] 这样
[39:55.600] 只要一次。
[39:57.840] 9. 
[40:27.800] 现场电子
[40:48.790] 了。
[40:50.600] 都可以。
[40:56.040] 和面现在。
[41:10.020] 我带孩子要做好饭，完了把我咬了，
[41:19.970] 不了，本都没看过。
[41:23.800] 中
[41:32.440] 厂厂花
[41:47.980] 的
[41:48.810] 数据
[41:51.530] 号。
[41:54.010] 场
[41:55.090] 数据
[42:01.850] 数据、
[42:07.830] 数据、
[42:10.470] 数据
[42:11.490] 场。
[42:13.430] 数据
[42:16.360] 花
[42:17.870] 走
[42:19.550] 也
[42:21.780] 坏数据，
[42:23.740] 厂花
[42:30.600] 数据。
[42:39.150] 号
[42:43.870] 三
[42:47.500] 二。
[42:49.720] 谁
[42:54.950] 坏
[42:57.410] 的
[42:58.200] 坏
[42:59.950] 的。
[43:04.980] 的
[43:12.390] 花
[43:13.860] 好。
[43:15.850] 不用吃。
[43:20.890] 五
[43:23.230] 行
[43:28.700] 的。
[43:42.910] 应该
[43:45.170] 还要排第一回去。
[43:48.470] 他还领回去。
[43:49.700] 开始
[43:58.730] 号
