[00:00.320] 交车客户。
[03:40.940] 另外理赔括号平方对吧？
[03:42.960] 多少钱定完损以后把成绩单给你了，就定出5万80万打给你给出去。
[03:49.330] 不像别的公司主要他有一套麻烦，这一个就是直接走完了以后全都打给你，咱修理
[04:15.750] 好事。
[04:20.250] 贴膜让我们金融经理抓时间过来给打个折。
[04:23.880] 算了太贵了，我回去再考虑考虑，反正也不是现在贴对吧？
[04:28.080] 贴说我在快乐长一点，但是你现在装的话跟你打球你便宜，
[04:32.900] 你那行太贵了，我叫他过来我们能够找到多少？
[04:36.600] 因为它新三板挣钱以后寄过来的话就贵了，
[04:40.780] 你买新车有这个服务，
[04:46.040] 算
[04:59.790] 对。
[05:00.960] 道路旁边。
[05:02.570] 我在二楼前面了，你过来一趟，我给我讲一下贴膜到手价格的
[05:09.620] 天天二楼。
[05:13.910] 在
[05:20.570] 行吧，因为我不知道我这什么时候完事，你知道吗？
[05:23.780] 行吧？
[05:25.640] 行
[05:33.430] 不在这贴膜了，太贵了别闹了，你就跟他说这样的角度，完了
[05:38.860] 都在飘在
[05:40.360] 他过年得带开过了，还耽误时间。
[05:42.950] 我不是专门课程
[05:45.110] 负责的态度。
[05:49.710] 你就不让他叫了，到对完了。
[05:52.200] 这边咱们跟在这里为主的，完了让它过去好不好？开会。
[05:57.730] 干嘛？
[06:03.040] 小潘过来接你。
[06:05.530] 不知道，我这再说看时间差不多，但是我刚才问他了，他说5:00
[06:11.420] 约的4:30，
[06:13.100] 4:30到那，
[06:18.030] 你看那就彻底没电，但是电池都出来。
[06:21.410] 你就用那个接。
[06:27.920] 4:30能完吗？
[06:29.610] 44.4差不多，我4:30有事。
[06:33.850] 不是5点吗？对你俩刚打电话又往前移。
[06:37.940] 跟人约帅哥，你在交车的。
[06:42.070] 你能帮我客户代办临盆的吗一般？
[06:51.130] 刚才那客户
[06:52.650] 刚才客户。
[06:55.000] 行没问题，手续我在前场二楼，然后客户现在应该在车里边，
[07:00.000] 然后保险再保险部门
[07:03.300] 不行就开我车锁在车，明天再来。
[07:06.050] 开庭我找我不用身份证了。
[07:09.490] 拜拜是吧？
[07:13.550] 行好了这杯。
[07:16.080] 晚上不行我接。
[07:19.280] 我还得喝点。
[07:21.400] 他也有个领导见面。
[07:25.510] 就光见面吗？
[07:27.090] 吃个小饭。
[07:30.850] 现在你不用身份证了吧？
[07:32.680] 得用。
[07:34.430] 你先把用身份证是吧？还没到那一步。
[07:37.380] 没事，尽可能的快点。
[07:40.240] 不是他们俩不在行，是这意思吗？
[07:43.430] 一会就是身份证，
[07:48.930] 在等2点还说是过去。
[07:52.040] 在这不是有椅子可以理解了，说
[07:57.440] 借外吗？
[08:00.550] 你是主角。
[08:04.840] 上个椅子过来没有打了。
[08:07.330] 没问题。
[08:16.600] 没有我看。
[08:23.620] 都解决了。
[08:29.960] 太可怕了。
[08:33.630] 你可别着急，他们这女孩太厉害，那天给他嚷嚷得够呛。
[08:37.890] 好像。
[08:39.060] 不是他们这觉得当今社会女的比男的都厉害三。
[08:45.200] 真是我们这姑娘真的。
[08:47.520] 这里他们。
[08:48.520] 过敏男生干一样的活，但是相对而言也是姑娘
[08:53.280] 过了卖车什么我卖过吗？
[08:56.980] 对，那么。
[09:00.270] 原来我们干销售分享的时候，
[09:03.410] 人家就说我们这有个女的，
[09:05.290] 那么青岛的
[09:07.320] 他以前干模特了，因为拔王丹
[09:11.180] 本身公司所有上海都是男销售，都对他有意见，为什么这姐们就坐在办公室里接电话？
[09:18.090] 他是客户打的，他后来是他都接了，
[09:21.480] 谁跑的客户感到他这都变成了真是给他干。
[09:26.930] 受不了。
[09:29.450] 你跟学习
[09:32.480] 反正有些女优也咱们学不了，
[09:35.620] 人家天生就有优点。
[09:37.990] 你简单
[09:43.760] 你跟我问在哪有一个厂家好，
[09:46.190] 你们相当于差了一年的销售额就上千万。
[09:49.190] 我刚考过关了，你们这个了着，
[09:56.910] 我发现你有一位完事，
[10:00.190] 但是人家有优点，
[10:02.380] 人特别有耐力，对，那上翘局长办公室玩，一般人不敢敲，给他进去，不知道跟局长怎么沟通，
[10:09.630] 人家哒哒哒跑局长弄得都一动一动，
[10:13.540] 看看赌博哥上厕所的组织不敢出来，然后最后采购的电缆全世界的
[10:20.890] 天真厉害，
[10:23.140] 这女的一年就好几百万，
[10:25.850] 还得10 10多年前。
[10:37.190] 你只要想挣钱。
[10:49.800] 这灵牌给办好了吗？
[10:51.400] 还没到那步。
[10:53.530] 那边快对临床看。
[10:56.040] U808.5元。
[10:58.110] 这算什么？算三算所有的费用。
[11:03.700] 你列个明细没问题，我这边写文件电脑宝写多少电脑，我现在手我得以习惯是先手写一份电脑在做一份这样一对，
[11:12.750] 没问题就可以了。
[11:13.820] 还有一个是。
[11:15.270] 还你还得拿一半，然后就跟领导。
[11:17.100] 这种自动生成。
[11:20.670] 独立刚才
[11:22.830] 模态。
[11:23.830] 方针。
[11:25.250] 方知干进去。
[11:28.610] 颜色
[11:30.180] 营养都充分向我们这都晚了，
[11:32.250] 也不太
[11:36.350] 回家耍了。
[11:38.360] 天天耍是吗？
[11:41.200] 我买了两根小刺儿。
[11:44.410] 别跳绳、
[11:46.500] 唐小姐。
[11:50.930] 一会让我们领导听见的时候暂时没有。
[11:53.590] 孙先生孙先生、霍先生。
[11:56.370] 所有咱们车手是我们负责精品的
[11:59.770] 主管做小经理。
[12:01.600] 后来我们经理了，我的小命不保了，你们这一个。
[12:04.590] 车一一个台阶磨，
[12:07.210] 反正先生觉得是
[12:08.770] 有点贵。
[12:11.710] 这是二哥大哥没
[12:16.200] 今天是。
[12:17.630] 想定是吧？交钱提车，那天是下午没来得及太赶时间了，那个产品咱们之前看过吗？
[12:25.350] 什么产品？
[12:26.330] 刚才看了看了，
[12:29.660] 您
[12:32.050] 想贴一个帕拉迪在做一车一是吧？这太贵了，坐车坐。
[12:36.620] 我好的挺好。
[12:38.210] 确实挺喜欢的，但是太贵了。
[12:40.000] 我就把弄完了以后我操的。
[12:42.380] 10多万都不到了。
[12:44.460] 10多万。
[12:45.570] 10多万。
[12:47.260] 或者现车一不要。
[12:49.300] 仅主要贴膜，
[12:50.530] 铁木真安全。
[12:51.850] 特意没事车E的确反正他是进口的。
[12:54.810] 东西的确物有所值，
[12:56.700] 要么贴完最可以做起来。
[12:59.960] 反正我这拍离了，就算他安防磨
[13:03.000] 最便宜的19,800。
[13:04.950] 要不然我们为我们贴牌，要么自己花钱，
[13:08.440] 要公司出钱，公司不可能，但是我们个人花钱没必要，都是公务车不是钱的。
[13:16.570] 要一般的U can U维护的。
[13:18.700] 您贴膜这个产品来讲，对我们正常用车的时候，他最重要的实际上
[13:25.760] 也是最显著的一个功能。
[13:27.640] 夏季主要是设防、防晒、隔热，他对我们也有普通的这种格症模型，为谷品牌的产品也不错，你也可以选择，咱们也可以用旧了。
[13:37.710] 了，您至于说隐形车衣的东西，您刚才也看到了产品的特点，
[13:43.820] 这个都是进口的装，确实是没看车E光看阿富汗车衣是吧？
[13:50.010] 咱们整个园区的隐形车衣，
[13:54.650] 大家用的都是一种包括保时捷跟我跟食用的都是一样的东西，
[13:59.400] 这个价格都是33,800，这个也是我们集团的供整体的公示价格。
[14:06.160] 您现在主要是对于太阳膜，您是觉得价格高是吧先生？
[14:10.120] 收收高。
[14:12.310] 我先不弄了，我们先把车提走过去，我们再跟领导汇报一下。
[14:17.800] 领导是什么意思？
[14:19.580] 他有保养的。
[14:21.470] 现在我们也弄不了是吧？
[14:23.400] 上牌发牌以后才能没关系，就是说对于隐形车衣的这种产品来讲，我有必要提醒您一下，
[14:30.670] 因为这个事保护漆面目前来讲最有效的产品它不同于美容的产品，你像镀个膜打个蜡封肉他跟产品不一样，
[14:39.630] 这个产品是一堂
[14:41.620] 透明的保护膜，贴在车的漆面上，
[14:44.560] 给车的芯片提供一个持久完整的保护。
[14:50.130] 然后我们在做这种施工项目的时候，最好是在
[14:56.790] 刚买的时候就给他贴上了，这样的话您的漆面有说过风吹、日晒雨淋、骑车
[15:04.170] 这样的一个经历的话，你的气面是最好的一个状态。
[15:07.710] 然后您摩天之后也是把清亮的状态保持在10那样的一个状态。
[15:13.880] 您甭管说您这车开3年卖还卖5还是开5年卖，您把膜揭掉的时候，
[15:20.510] 您的漆面是不是心？
[15:23.160] 您卖的是比新车漆面的。
[15:26.070] 您是觉得这东西贵，您想您卖车的时候您原车漆。
[15:30.910] 漆面好跟新车一样，您设备都能卖钱。
[15:34.100] 车架。
[15:35.440] 实际上您现在所做的隐形车衣的工作，
[15:39.920] 最终的
[15:41.270] 买单的是您下一位买车的车主，
[15:45.220] 并不是您自己掏的钱。
[15:47.760] 您想想是不是这两。
[15:49.380] 您看着
[15:50.740] 您能卖什么也没啥。
[15:52.740] 您的二手车都卖上价，另外一点您贴了隐形车衣错，每年您这车
[15:57.130] 需要美容吗？打T什么？
[16:00.160] 抛光。
[16:01.300] 什么镀膜不需要
[16:04.640] 正常洗就行。
[16:08.070] 您是刮了碰了这膜没坏漆面就不错，把磨一换完事。
[16:13.230] 原车漆。
[16:14.620] 一样。
[16:15.390] 您原车漆今天得快一块，起码得四五天，我们得换一块磨半天用掉，我们回去先得跟老大汇报一下。
[16:23.750] 再汇报这部分钱要是三三天两天我就做了了，
[16:29.430] 太多了就会爆上万了，3000 2000太一般了，不就这个意思，那个没必要。
[16:35.610] 3000 2000，您跟你的车都不会，我们都回去汇报，结果这车
[16:41.400] 你看没有？
[16:42.870] 公车是不是？你看这
[16:46.370] 我开的不是我车，
[16:49.530] 你交钱不是你说对我就结婚了。
[16:52.990] 喝。
[16:53.650] 公车。
[16:55.040] 我回去再跟老板汇报一下，老板他弄
[16:59.900] 我们就能来弄。
[17:01.870] 老板说太贵，
[17:03.350] 我们就大师。
[17:05.720] 您早晚都弄，您还模糊，现在就问好了，到底弄还不弄？
[17:09.610] 二哥好吧，你要说弄行了，您把这车就留着接个车一就完事了，合同您直接取走，不影响行车什么都不用想。
[17:17.390] 您说您开走了，出去在路上蹦一石子。
[17:20.830] 没事我没整天又贴，这车一就不完美了，对吧？
[17:25.640] 我的那是不用贴，我那车便宜，他那块就会发现他开车，他整天上工地，
[17:31.590] 我没问题，我天天在工地里边，
[17:40.050] 那天天天上工地才证明车也太嚣张了，老板不是要
[17:44.970] 买了，我说上工地不用买这么好车，我在那会买一个霸道，
[17:52.080] 老板不喜欢日本车，
[17:54.320] 不让买霸道，
[17:55.800] 要到也就60万左右。
[18:01.330] 你现在咱那边什么时候有个日本队老板不要日本车，你这玩意。
[18:05.960] 对，
[18:09.520] 我们回去汇报一下，要是需要的话，我们报同时保养之后我们过来就等到老板同意了我们就没问题，这个东西您看了，您给我们留个的，我们回家跟老板说一声。
[18:20.040] 那个是一个介绍的是吗？对，我们把回去跟领导汇报一下，好行行，毕竟我们不是花钱的吗？
[18:36.720] 罗哥你看他们花
[18:39.070] 我也在。
[19:41.000] 具体。
[19:43.040] 让我们技术经理过来再给您签那个合同。
[19:46.070] 的
[19:48.590] 让他把电池。
[19:51.590] 俩手机充电宝。
[19:54.750] 放了一点水。
[19:57.430] 陈哥你过来在前二楼顾问。
[20:00.950] 好了，没问题，咱这来钥匙是一样的吧？
[20:05.260] 钥匙应该是一样的，比较的。
[20:08.190] 一样的，要是这多容易混。
[20:14.520] 庙是吧？这就是你
[20:16.670] 为什么我
[20:18.440] U盘里
[20:19.880] 到。
[20:32.160] 这块黑了，要是变了，原来老板五五百，
[20:36.950] 这个月别老卸了，没接什么，这坏了，
[20:43.130] 这么给我算了。
[20:44.820] 现在些坏还不算咱们的不
[20:47.900] 你待会出门鞋坏了就麻烦了。
[20:51.850] 一般要是200 200，
[20:54.920] 我上次别克换了把钥匙还了1500。
[20:58.470] 我在找我我又开始了，不是，我想我要是
[21:02.160] 掉我们家仨方块里边，我找了一天没找着，最后我在刚刚
[21:06.690] 从公司拿着钥匙坐车给我送了两口。
[21:09.880] 送去了吗？不对。
[21:11.490] 然后上4S店就找了个拖车，拖了4S店换了，换了之后，
[21:18.090] 你掉在沙发里能找不着了，把沙发开了也就是1000多万找不着。
[21:23.280] 没第二年第三年我外甥。
[21:25.580] 完他没必要是吗？
[21:28.310] 等你不找它就出来了，对，你不找着人就出来。
[21:32.400] 电池有多大，也是纽扣。
[21:46.590] 不是你那个钥匙怎么拔出来？
[21:49.050] 谁知。
[21:54.200] 好。
[21:55.700] 这个机械要怎么用现在呢？
[21:58.040] 对，但是如果说没电了，拿以前你们钥匙门似的。
[22:03.300] 有。
[22:04.510] 就在
[22:05.730] 主驾的马手腕底下。
[22:07.970] 油价不拽车门吗在。
[22:10.070] 盖底下有口，可以从。
[22:12.710] 找找不了车。
[22:14.140] 能开门也能倒车不倒车。
[22:17.450] 能倒车。
[22:19.200] 他你没电是吧？
[22:38.630] 那天给小宝看点车，我给校长拿一个街道，
[22:45.650] 原来都是既然了，S
[22:48.570] 找哪个了？
[22:49.890] 原来300小小小道看，
[22:54.140] 下周看哪个，那就60多万就无框玻璃CS。
[22:59.660] 对cm这个是吧？那就给拿这个
[23:03.280] 4门轿房，还有一个蓝色的麦哥。
[23:06.870] 叫什么？对个人这边不到的这款。
[23:15.400] 有时候批发的。
[23:16.500] 批发。
[23:17.520] 咱们公司全都封死了。
[23:21.630] 批发的。
[23:23.350] 杜经理再买一看周经理再买，可不都是奔驰了，对两大品牌东池跟别克
[23:30.690] 350或者450。
[23:33.870] S. 
[23:34.830] S我觉得他买
[23:36.360] 450可能用
[23:37.770] 兄弟你这回把我们服务好了，我们下次咱们买450S
[23:42.720] 看到你
[23:43.650] 我那客户没走，还等着半天牌照就不去了，我让我一会助理过去给他办，我赶紧
[23:49.630] 像后来买了个风车，450还得找你。
[23:54.210] 你想你觉得从我们这一家你得买30辆车，这辆车好了，等他过。
[23:59.690] 真的本来想让你开个迈巴赫的朝他没有，你要说180 456500迈巴赫是你的，
[24:07.210] 你一下子就卖4568，
[24:09.990] 不要986680，不是这谁知，
[24:14.750] 所以就要什么560件60吗的，
[24:19.000] 结果只有天没车。
[24:23.100] 我们老板原来开捷豹的时候，
[24:25.590] 打个转的车不是四驱的，崔先生霍先生您好，代您签一下金融合同，首先我先跟您下。
[24:34.570] 您说。
[24:35.760] 您。
[24:36.630] 只要非要把的资本I
[24:40.210] 对好的。
[24:44.390] 您大概说一下。
[24:46.520] 合同
[24:47.690] 一份是三页，
[24:49.400] 后边两页一会每条条款您都可以仔细阅读一下，然后我先跟您说一下您做核对哪些
[24:54.440] 打印出来就在梅赛德斯奔驰汽车金融有限公司的公章，您主要核对这个事您当时购车时候签订的订单，
[25:02.480] 首先您的车型交C300。
[25:04.780] 常州四驱动板在这，交C300，常州四驱动感，您的车架号后6位493175在这车加上。
[25:13.310] 493175，您的车辆实际售价优惠后391,800。
[25:18.430] 等着您的车辆总价391,800，
[25:21.070] 方案36期首付50%就带了他的一半，随着您的贷款金额195,900。
[25:27.650] 36期之内每月。
[25:29.020] 月供就是5739.4亿多一点，每个都是这个钱找您的车型，您的车售价，您的方案没问题就行。
[25:36.730] 然后这份是您的，我都给您订好了，这是我的是吧？
[25:40.140] 然后一会您跟他那一套购车合同直接搁一块，您带回家刘春。
[25:43.350] 就行了，然后具体细则条款您可以仔细看看，回家看看。
[25:47.050] 也关系没问题，合肥也都该签证签完了不走，就说。
[25:50.690] 签字，现在都是电子签字。
[25:52.380] 最后今天一会儿还有一个您第一回跟指标人这边是
[25:59.160] 申请时候的，还有一个确认合同两步，然后今天一会您指标那边会收到两
[26:05.480] 连接，
[26:06.450] 因为两辆车买是，然后您二位二位会分别收到一个链接，然后这回电子签署了，进去以后您看这合同跟这就完全一样，互相都行吗？
[26:14.940] 您今儿开车开，开车的话您就今天就得给弄了。
[26:20.780] 今天老板。
[26:22.640] 老板谁会给他弄的，咱俩都这回就简单了，不用。
[26:27.480] 上传身份证正反面照片了。
[26:29.220] 你是不用这些是我们老板使得手机是三星格拉斯翻盖的，
[26:34.430] 那他根本就打看不全，你知道吗？就是应对正门他那都没地书都我俩登录的弄。
[26:44.140] 那能找遍有人吗？
[26:46.450] 谁知。
[26:49.880] 反正我比机会简单多了，也不用什么
[26:52.620] 上传银行卡，也不用上传照片就接收一下马路，上次你们验证码他找不着书，你把链接怎么还得放在老板呢？
[27:02.000] 好，我把电接我你发给我，他给我登录，我跟他约的马不等。
[27:07.270] 还有一点点识别，
[27:09.030] 连带识别是过不去的。
[27:10.390] 了明白。
[27:11.650] 那就让发小嘴手机，我放下走到小店弄。
[27:15.010] 行。
[27:16.310] 行，他是这格拉斯真tm烦人了，估计叫不是他明天你发过去，没有叶子就输入的。
[27:24.430] 图片验证码说GPRS183的了。
[27:28.000] 他有图片煤矿他那个字太大了，他自己对他
[27:32.910] 他那翻盖的跟咱们这不一样，他这么长。
[27:36.190] 他可能是字体调太大了，我那有一种三星也是叫什么，
[27:42.110] 估计都他这可能了，一也那一一两万
[27:47.430] 很难看不太适配是吧？
[27:49.620] 这份您说好就行了，对还款您用哪张卡来？
[27:55.120] 剧本您带您先或者您告诉卡号也行。
[27:58.970] 萱萱萱。
[28:00.400] 都去了
[28:01.680] 9天了。
[28:04.970] 2014
[28:06.680] 您。
[28:07.940] 人保都在。
[28:09.930] 桶里了是吧？您当时申请的时候录入的家伙。
[28:14.840] 研究那张卡的号码。
[28:16.260] 工商银行那首。
[28:17.250] 灯没关，手机手电筒，行，好的拜拜。
[28:24.150] 一会都没电了。
[28:26.240] 赶紧那边。
[28:28.390] 您是交易。
[28:31.150] 一样，您的车型交14504驱动感，
[28:35.030] 在这12 14504驱动感，
[28:37.950] 车架号
[28:39.740] 226634。
[28:42.860] 车架号26634，车辆实际销售价格864,800加上864,800，
[28:49.530] 难道方案36期首付30%，就是带了他的70%在这605,360，
[28:55.640] 三年之内每月月供就是18827.68不会变，每个都这钱也是只要车型车到手价方案没问题就行。
[29:03.490] 然后后边的跟先生这就是
[29:05.880] 完全一样的，您要仔细阅读一下也可以。
[29:08.840] 没事，也不是你的字太小了，然后这块也是您一会跟您那套构成合同直接搁一块带回家，您留存好就行了。
[29:16.630] 然后跟我刚才我想有一个问题，假如说过两天，我觉着她们在怀孕不太麻烦了，在趸交了。
[29:24.290] 可以吗？
[29:25.120] 它是会有一个未还本金的，就是剩余的利息不再给您寄了，会有一个未还本金的3%违约金。
[29:31.730] 还有违约金对5分60万，就3000多交几千块钱，我这不是钱的事，有时候觉得这麻烦贴鸡巴麻烦了，我还不给他懂得玩玩看，有这可能性。
[29:43.570] 行行可以办是吧？
[29:46.470] 看来你们着
[29:48.570] 不用打电话就行，打电话您给他们留邮箱，他们就直接给您邮箱发一个电子的对账单，到时就给您相亲拿多少钱一张，给了多少借款本金是多少，未还利息是多少，又抛出去是多少，搁一块光泽，然后他还款提醒现在都是通过微信和微信公众号
[30:08.040] 提醒您二位，但现在因为指标人不是崔先生，您绑定的时候验证完也会发到她手机上，然后今天您办完手续以后，我会
[30:15.590] 从后台把联系方式都改成您二位了，前两个车，然后到时候我会分别在群里跟您说，让您绑定一个微信公众号，然后您还是输入指标人的姓名证件号码，当时验证码就会发分别发到您二位的手机上，
[30:28.030] 然后您绑定一下以后每月的什么还款提醒自动扣吗？
[30:31.310] 是自动扣，我卡里边有，但是以后还款提醒您得看看您这车还有多少钱没还，最后一期哪年哪月哪日归还，您自己从微信全都查到了，特别方便。
[30:40.510] 对。
[30:41.180] 行，最后一步就是新车验完车上完牌以后，需要指标人的身份证原件大概三个工作日去完成车辆抵押登记，
[30:49.570] 也不用他跑，都是我们给您代办，也没有费用，我们拿身份证当然也没问题，您不要分程序吗？对，我就一天闲着，别着急没事行没问题，那到时候我们就让抵押同事联系您，对，让您去我们就一天来，对一上午完事了，别提代理人一块过来。
[31:05.480] 对，然后您这边还款也是用当时那数也用那张卡是吧？行。
[31:11.530] 一会那个链接就能推送给您，我就分别发到您的群里，您看辛苦一下，让他找一边的人去帮他协助他操作一下，然后因为您二位都分别确认完了以后，我们。
[31:21.650] 着才能提交这放款。
[31:23.960] 那次弄的手机我们三人跟着乱七八糟的您麻烦，现在您就跟银行您办手续，您看全是电子签名的，在手机上全开了。
[31:33.360] 对，现在以后我给您发过去，我自己买小狗去中戏了。
[31:38.530] 决战了，小组去中戏了。
[31:40.780] 在这。
[31:43.120] 行，我这去了，您先。
[31:45.850] 我在小林弄不了发言就来了吗？
[31:49.030] 给我一份保险，
[32:07.520] 这半年卡的手机
[32:14.110] 给客户来一份，还有一个户型，
[32:16.730] 就给这个问题给他查一下行吗？
[32:18.740] 那个带给你，
[32:21.670] 然后直接从他走就行了。
[32:23.650] 行。
[32:24.700] 人家都留下来吗？
[32:27.100] 然后别的话告诉他我给打电话，
[33:33.710] 您上回咱院市供电局那哥们，他那车就是没有电了，就找不了车了。
[33:40.610] 酒店不了车了，他是一个日产的车，
[33:45.550] 变成不见了吧？
[33:48.520] 不是，他就是车钥匙吗？钥匙没电了，他什么那种电波可能发不出去了，时间不到。
[33:56.510] 你那个桌子
[33:58.560] 他是什么车型，找半天没找着钥匙口是吧？
[34:02.430] 还有
[34:04.090] 目前这款的企业，我记得我买奥迪的时候，他给了我一把那塑料钥匙，
[34:12.050] 它的配料是什么？
[34:13.080] 那是一个模子，
[34:15.000] 要跟这一样是塑料的，是配钥匙用的是吧？它是母的，我后来不知道扔哪去了，这回给人我就给这200这样子。
[34:23.660] 占地。
[34:45.200] 我们俩还得填一下是吗？
[34:47.450] 我要给你举个列，
[34:51.080] 既然爱它俩一样的，
[34:53.650] 有，我不想捡了一分别
[34:56.400] 点
[34:57.550] 各自的脸也进不了，
[34:59.720] 都是发的截了一。
[35:01.880] 这政府推地笼，而
[35:03.600] 聋子是我的，其实我觉得是老大的。
[36:43.020] 这保证人和付款人怎么样？
[36:47.730] 我为什么要管？
[36:48.970] 就这样。
[36:53.520] 您是用的？
[36:55.550] 我问吗？
[37:04.480] 就刚才那哥们的
[37:06.640] 这样我签署电子合同，以保证人付款人是不是我就牵着付款人就行了？
[37:15.020] 对，您公司链接各自的不会换的。
[37:19.350] 可是我这上面保证人付款人都有。
[37:24.360] 您是别链接您解决。
[37:26.960] 对。
[37:27.970] 对，您就正常用就行了。
[37:29.590] 就签保证付款人这保证人我不用签是吗？
[37:33.020] 对，您等会一会过去，我应该就有一个连接。
[37:37.130] 两两两。
[37:38.170] 对，聊聊别动，我来看一下。
[37:41.040] 我这有点
[37:42.010] 是吧不一样。
[37:51.810] 一会交钱是直接我让单位给你发胀，就是单位转账是吗？对你告诉我账号直接给你转过来。
[37:58.140] 有单位公章吗？他有个垫付的。
[38:01.650] 他就是网银转过来就完了吗？是谁在迎一转，对公司名义转包是吧？不是私人的事，崔先生自己是吗？
[38:08.630] 对OK？他们是
[38:15.280] 大哥自己的账户自己
[38:24.910] 为
[38:30.360] 不能超过
[39:07.860] 他们
[39:09.080] 梳理美国俩都说执着
[39:12.280] 分别点就行了，我分什么分别点？
[39:20.350] 这不就我刚才给您看的那个吗？
[39:22.870] 您的车型
[39:24.280] 交14504驱，然后26634，然后月供18,000吨，我们阅读共签署知情。
[39:32.730] 然后付款人是因为从您的卡里扣款划款授权书叫授权奔驰金融说您农行是吧？您提供张卡，对。
[39:40.790] 你看下边您的姓名卡号证件号都给您填好了，
[39:43.980] 然后以后每个月您保证卡有这么多钱就行了，到时候自己就划走了，然后也是下边阅读并确认的时候
[39:50.350] 就完了，然后您看下边有一个
[39:53.440] 确认就可以了，对您点一下，然后有电子签名。
[39:57.880] 我不用打你行贿。
[39:59.380] 你就直接按照他这上面画就行了。
[40:02.400] 那就话就行了是吧？您就正常写字儿就行，只要别太奸了。
[40:08.670] 完了对，您看写您的全名就写。
[40:12.520] 霍先生您这边也一样。
[40:14.740] 给你写。
[40:15.990] 您看右下角有一个
[40:19.390] 电子签署。
[40:20.360] 确认签署不对。
[40:23.240] 皇帝俩字都不用写了，
[40:26.280] 就急了。
[40:28.530] 行。
[40:30.270] 人家那边就是指标人在一样的操作。
[40:33.840] 这就完了是吧？完事您直接关了就行了。
[40:38.820] 完了你给我发
[40:40.900] 系lg区政府这应该发给指标人的队发给指标人的，然后您看我跟您那群里发LC崔政府他就牵着两个，一个plc一个交易，
[40:50.030] 我就把这俩都发，
[40:52.930] 谁知
[40:55.960] 然后您这样说说。
[40:57.800] 我刚才忘跟您说一声。
[40:59.800] 印公众号。
[41:00.860] 因为您用的指标是一个人的，所以只能绑在一个人的手机上，对，您看要不您就关注微信以后让他给您发短信，他发给我链接在一块，没事行，那反正您就只能一个人往这微信要，俩人都往就给顶出去了就给。
[41:15.160] 对，因为您用了一个人的指标，网络歌往你的爸爸，我的也我玩的不是6还是你玩的，您看微信
[41:26.310] 你还在中戏你先走你还在中心。
[41:33.330] 行行，我跟你说我待会发给你一个链接，你还得跟老板一下验证码，确认一下就OK。
[41:43.540] 你们老板的手机不行，让他帮他操作一下是吧？
[41:48.070] 但是你得给老板打电话要叶正码，
[41:52.070] 我说不行，老板还得刷脸，对没在。
[41:57.430] 老板走了是吧？
[42:00.050] 行，你回去你先看看，待会我跟他说一下。
[42:09.930] 三。
[42:14.520] 对，你看看他在不在，而且待会就打钱了的。
[42:18.530] 让他给账号什么的，给个账号上面，你把账号给我，等我待会我。
[42:24.440] 我的。
[42:25.610] 对，明天再说，我都问问王雪在不着。
[42:29.140] 主要夜正门的好处还得刷脸。
