[00:00.000] 先生。
[05:56.650] 这跟市一级可能对比的会更多一点
[05:59.940] 一些。
[06:06.000] 看您更买车的话，更关注于车辆哪方面特性。
[06:09.730] 假如说看过的话是看过过的安全环保，还是说其他的哪方面特性？
[06:20.050] 广阔的
[06:22.440] 安全
[06:26.320] 因为
[06:29.150] 我刚
[06:32.940] 这款车的话要是买这个的话，
[06:37.000] 这就是结婚之后
[06:38.940] 送就可以了。
[06:40.580] 对，主要是结婚用了是吧？对，结婚之后就会送给他，然后我再不再讨论了
[06:47.640] 了。
[06:48.620] 我再换一个说明您是比较有责任心的，因为沃尔沃的话也是所有车里边坐他们的车，
[06:56.940] 安全系数最高，
[07:00.270] 之前开过沃尔沃的车吗？没有，您如果说今天有时间有兴趣的话，但是驾驶本可以邀请您进行试乘试驾，
[07:09.590] 因为光看的话只能看看外观看看设计，不如动态演示能体现更车辆更多的一些性能，我们今天过来时候完了一看没带，
[07:18.010] 你在
[07:18.920] 行了。
[07:19.920] 下边是吃不香，您这个车的话是今天刚进来听，
[07:24.500] 这东西还没拿来。
[07:26.640] 对，刚进来出来，但是您可以到逐渐刚才您到车里边也
[07:32.020] 做了没什么味，对吧？
[07:36.580] 还是非常本宝的。
[07:54.270] 爸爸
[07:56.050] 要不我给您拿一个特殊给您彩页，您需要喝点什么吗？咱们这儿有茶水，矿泉水有果汁儿，
[08:03.510] 有一小点行之类的，您看您笑脸。
[08:05.820] 果实我就可以，好。
[08:08.240] 您是先看看车，还是说找D要休息一下？
[08:11.040] 先看一下行行。
[08:22.320] 超级相信。
[08:23.450] 傻逼什么？
[08:24.780] 超级下。
[08:27.370] 咱来跟她说话颠三倒四的，一会说
[08:30.350] 开过来开保时捷911，
[08:32.210] 看看49。
[08:33.640] 说话他们话都说不清楚，我都是禁演这种傻逼。
[08:59.900] 所以说
[09:01.040] 一会那个车子话完事之后你们得拍去，
[09:04.420] 一会那车完事之后你找人开去行。
[09:18.800] 你慢用。
[09:20.220] 因为疫情期间的话只能都是一次性的给我们准备了。
[09:24.460] 然后这是一份特殊，看样子
[09:49.290] 可以在到车里边感受一下。
[09:51.400] 您爱人的话有看过这款车吗？
[09:55.910] 没看过实际车块钱，驾驶本还没拿到，您什么时候回国？
[10:02.150] 我是去年
[10:04.860] 7月
[10:07.380] 您是在国外留学吗？
[10:11.150] 他跟您一起。
[10:14.440] 他在国内对。
[10:18.070] 我是回国内之后才认识。
[10:22.180] 好了，
[10:25.340] 就考虑今年结婚
[10:29.180] 今年年底的话，议程这件事我觉得应该可以过去了，然后
[10:35.960] 今年年底或者是明年年初，
[10:42.560] 给我。
[10:43.980] 还需要还要在系里边吗？
[10:46.090] 好。
[11:14.960] 现在也就这一款车，
[11:17.140] 还有S60S6元，也目前卖的比较多的一个车型卖比较复杂。
[11:22.120] 如果说这个小女孩开的话也比较合适，因为他毕竟上S从车身车麻烦，
[11:28.750] 也好多女司机不是说贬低女性，好多目前
[11:33.950] 好多女司机可能驾驶技术不像男性那么好，
[11:36.730] 可能这么大的车他开不了，
[11:38.840] 所以很多人就喜欢买一个小一点疼里边用的。
[11:47.890] S60的跟S90的话是同一个生产平台，同一个厂子出来的。
[11:54.410] 但是做S60的话，作为沃尔沃比较新的一款车型的话，它配备了一个
[12:00.340] HRSTVA点阵的女孩，可能要比S90的底盘还要好一些。
[12:09.950] S60的话可能它的外形设计更新颖，更好看一些，
[12:15.040] 颜色只有这种灰色，不是颜色还是比较多的，有白色、黑色、
[12:21.690] 阿松林辉的，还有牛仔蓝的这种加颜色。
[12:25.840] 我们一会儿会进展厅一台牛仔蓝的
[12:29.450] 特色。
[12:31.820] 女儿拍的话也比较好看一些。
[12:34.900] 改天有时间的话可以带他一起过来看看来。
[12:38.300] 在体验深度体验一下。
[12:40.820] 你拿回来
[12:41.560] 开门我来了，
[12:42.760] 打不开了，
[12:45.520] 还不知道没有你们的了。
[12:47.380] 不确定是我还没告诉你给她个惊喜。
[12:59.230] 像这款车的话，沃尔沃的核心安全科技也都是挺多的，因为握着品牌跟其他品牌不太一样，
[13:06.090] 他把他所有的和先进科技都作为标配，
[13:09.290] 因为我认为它的安全是部分品牌分配电的，
[13:18.360] 像咱们您看到的三点式安全带，这东西就是沃尔沃发明的，哪台车商都会有。
[13:23.870] 这是沃尔沃
[13:26.590] 他当时的一
[13:28.290] 总工程师叫尼尔斯柏林，他在1959年的时候创业并发明了三年，
[13:34.110] 在申请完了专利之后，他把这个专利要免费的公开给所有的机械制造商，
[13:41.380] 咱这一项的话，沃尔沃每年就
[13:43.780] 少挣好几亿美金，
[13:47.590] 不过这品牌还是非常
[13:51.000] 非常有责任感的。
[13:53.750] 好多其实沃尔沃好多车身上面的一些安全科技都是我的餐厅，
[14:01.620] 而且你结了婚之后肯定要涉及到另外一个
[14:05.660] 这个大事就是要孩子对吧？
[14:09.080] 小孩的话对于车内的这些环保的东西
[14:12.270] 还是非常重要的。
[14:14.890] 因为小孩的骨骼是持续在8月，而且在小孩在露水66个月之前，
[14:21.070] 他感知外物主要靠近给人东西往嘴里飞，
[14:25.150] 所以说你车内如果说有些不好的
[14:27.800] 的话肯定影响比较大。
[14:30.560] 像Volvo的话，刚才您说他做的填充眉毛采购全部纤维的
[14:34.620] 集团这个就是裸车是多少？这款原价的话是30万两瓶酒，现在裸车优惠的话是
[14:42.600] 对。
[14:45.260] 这个是P4的标配，
[14:48.170] 它不同，
[14:54.980] 包括目前教学的话基本上都是两次，
[14:57.800] 前期的
[14:59.190] 前期安全性能更好一点。
[15:03.720] 如果说是您买到插电滚动的提拔的插电混动在研发是4000吨，
[15:08.550] 因为他的后来试验机在后面
[15:15.970] 还是建议您有时间的话可以
[15:18.280] 拿着驾驶本过来试驾一下。
[15:21.680] 您观看的话你可能只能看看设计外观之类的。
[15:25.330] 当然小现在女生也比较关注这些东西，
[15:28.560] 因为就是说
[15:30.720] 我的价格
[15:33.440] 好像是不足以试驾，
[15:35.990] 别人这边都说了，他们说所以是假。
[15:40.750] 是为什么是您这家日本满两年是吗？
[15:44.510] 过国外的码了，我国外的三年。
[15:47.880] 三年国内的不行，对国内的事我班考了，我回家不行，我回国
[15:53.370] 首先可以是疼一下，
[15:57.130] 可能说是没关系，
[15:59.960] 今天就方便，今天就这样，今天就可以了。
[16:05.090] 您要是疼一下吗？
[16:07.620] 您安排一下，好。
[16:09.580] 是诚的话一样，您驾驶本带上了没？
[16:14.170] 没带驾驶本。
[16:15.550] 因为是成的话也得需要办手续。
[16:18.760] 你来六安。
[16:21.910] 要不改天改天的话您拿驾驶本过来给您办个试用手续，刚好就是
[16:27.990] 他们那边奔驰，因为我需要两台车，奔驰我看的是
[16:35.120] 看的是一一台
[16:38.800] 厂。
[16:39.880] 行，然后那台敞篷是
[16:43.360] 还没有拉到展厅里面。
[16:47.410] 还在库房放着是吗？
[16:54.190] 所以我们或者不良在。
[16:56.250] 行。
[16:57.460] 明天的话也是咱们店的店庆，到时候有一个活动，
[17:04.430] 可以明天拿价格过来给他买4架，再详细的体验一下。
[17:11.510] 因为好多的沃尔沃一些科技的
[17:15.520] 状态，或者我刚听我说没有一个直观的了解。
[17:18.680] 最近您平常喜欢发一些什么像抖音P之类的这种视频类的APP吗？
[17:26.450] 很少是吧？因为站在最近这段时间，网上的一些网络的安全科技的视频非常火。
[17:33.910] 没有，我这有一些小视频你可以简单看一下，要不咱在这坐一下。
[17:42.050] 要不来这边。
[17:51.540] 我做
[17:53.850] 篇小视频，
[18:02.380] 花、
[18:09.320] 数据
[18:27.890] 他负责咱们打了一个房团，网友打贪盘，
[18:30.800] 反正前面有车的话，它有自动刹车了，
[18:35.240] 好多地方沃尔沃的一些
[18:38.930] 刚才刚刚那是一个车间厕所，
[18:43.350] 一个安全保护监测，这也是自动刹车
[18:46.180] 才起作用。
[18:47.470] 这是Volvo的一个高级辅助驾驶，如果说您平常喜欢跑高速跑河路的时候割的话可以用
[18:53.430] 它可以沿着连续的清晰路标线自动行驶，
[18:58.220] 在确保缩性的前提下，
[19:00.470] 才能保证安全，因为它跟沃尔沃的承担系统，金沙车之类都是相互结合来启动，
[19:07.580] 跟他补助。
[19:10.570] 非常简单，
[19:12.780] 这是硪的一个棚光车身，
[19:15.100] 刚才跟您说了车身37.6%比例的红山参，
[19:19.950] 这是它的股价主体骨架，红色部分的话说明用的是强度最高的膨胀。
[19:28.440] 这是国外的一个视频，这非常
[19:31.810] 迎面速度很快，赢面跟
[19:35.790] 卡车重卡撞一块了，但是人没事。
[19:41.740] 这沃尔沃的车型包括拆得久了，拍的90现在是有及时认证的，是目前量产车里面唯一的一款0死亡率的撤销，
[19:49.420] 这是紧急避让辅助。
[19:52.340] 这出来，
[19:55.670] 听到他说的在自动币种
[19:59.850] 这个也是它这一个小视频。
[20:03.180] 巷子刹车。
[20:04.600] 看到了吗？
[20:06.760] 他那块有人过来的话，因为他的并排形式它根本就看不到，但是车辆可以检测到。
[20:15.800] 这个是前两天网上比较火的。
[20:20.700] 看到大大车了吗？你正常看车正常行驶的话你是看不到的，肯定是看不到光线特别暗，
[20:27.300] 但是车辆可以短一点。
[20:28.990] 谁知
[20:30.240] 这些视频都是一些沃尔沃，咱们科技的事情还是非常火。
[20:34.970] 下雨了，
[20:41.010] 您住附近吗？
[20:42.690] 附近屋住大兴，你说住大兴，亦庄那边您口远今儿过来是
[20:50.940] 路过还是说是专门过来看车的？
[20:53.360] 是专门过来看车，谁知门看
[20:58.540] 是研究在保时捷。
[21:02.040] 大兴亦庄那边也有，咱们一个保时捷也是咱们集团的，看着，因为那边主要方面。
[21:09.740] 行，他说说来总部这边海淀二不是，因为就是说你说那边91没有现车，我就
[21:18.230] 打电话问的这边打电话问问这边。
[21:21.130] 这边也有，但是也只有这一台。
[21:25.360] 因为这主要的话基本上都是需要一定定制的，保时捷的品牌的话基本上定制的基本上得等
[21:32.140] 6个月左右OK，
[21:37.790] 然后就刚好过来
[21:40.050] 看到沃尔沃
[21:51.650] 还需要喝点什么或者吃点东西，
[21:54.300] 我不需要我现在要走了形，
[21:58.790] 改天的话可以跟点评过了，明天的话店里边有店庆，您到时候可以拿着驾驶本过来给人家那个是假。
[22:08.390] 没事，您是程可以智能的话也是拿假日本过来看看您的是吗？对。
[22:16.350] 号。
[22:23.400] 要
[22:26.990] 没事，其他东西了。
[22:33.750] 您今儿是怎么来的？
[22:36.800] 我刚刚的投入送来的，他还在院里边去吗？
[22:41.320] 他告诉我走走，
[22:42.860] 咱一会您怎么回去，
[22:44.470] 能下雨了你怎么我去这边等一下行了，24小时的话会给您打回访电话，回去有问题咱们再沟通一下。
[22:54.950] 在省
[22:56.440] 我记得你从昨天晚上到卡号得到了
[23:00.030] 真贴心。
[23:04.970] 花了
[23:13.120] 你慢走，载着我品牌的关注，
[23:16.050] 脑子明天善待咱，打开了你下来不行了，
[23:20.070] 不过回来早点
[23:23.900] 有点丑。
[23:25.740] 对，你都不问。
[23:31.410] 慢走您。
[23:36.570] 抹脸了，他们下班了让我揭个秘。
[23:39.560] 傻逼。
[23:41.620] 我怎么老他们接这种。
[23:43.770] 一早昨天
[23:48.740] 好。
[23:49.840] 背包包日和他放前台你们都不知道。
[23:57.800] 到了
