[00:00.000] 对那边
[19:32.060] 我不说虚数，不要一年两次我交。
[19:36.160] 你今年比如说你今儿交了1498，从今天开始到明年的今天，
[19:42.160] 这一年的期间内如果你出血了，
[19:45.750] 我给你两天就给你2500，但是他一年就给你两次，就是你出两次我就给你两次，你出去三回都不给你，
[19:54.040] 最多就两天，然后我要是就出去回来
[19:57.420] 你出一回他就给你，
[19:59.210] 但是您和您怎么着都能挣1000块钱。
[20:02.860] 没出就
[20:04.220] 1500挣。
[20:05.490] 所以说我刚才说前提是什么？
[20:07.680] 在你这个车有伤，确实想修的前期策划这个东西才有意义。
[20:12.630] 比如说我车管的乱七八糟的，我就不
[20:15.530] 我看着他不难，
[20:17.800] 这个没用对吧？我就是说看看这个一点用，
[20:22.160] 但是说我想
[20:24.270] 但是我第一我有可能真的是交通的不方便，我家里就一个说我得看看看看。
[20:30.140] 第二个是我担心第二年不会背诵对吧？但是这个东西就可以补偿你了，
[20:36.960] 对吧？我补偿你1000块钱，
[20:39.240] 或者是你拿着1000块钱去打车都行。
[20:42.360] 所以说这个鼓励客户来店里边租车的一个
[20:46.990] 方法，明天保费没关系吗？我没跟你说你正常没有你该修该怎么怎么休，
[20:55.290] 这个跟你的保费没关系，这是额外的一个补偿的选择，你可能是你担心你比如说
[21:03.270] 比如说我修一钱让我出了一些酒，我在用这个是不是还得算我出一个？
[21:09.350] 不是完了吗？真也没关系，你保险公司这不是不知道不额外占用的出产次数，
[21:16.750] 以该出一次还是出一次，你该出两次还是出两侧不额外的战略的出口刺激。
[21:22.360] 不会是因为你有这个就算你3次或者4次，
[21:25.460] 跟你没关系，这个不算次数，
[21:29.280] 你该怎么走怎么走该怎么做，别让明年还，咱今年的交保险，您会不会在找保险费？
[21:37.210] 你没有你修过车他不涨吗？
[21:40.640] 涨肯定得涨，对。
[21:42.880] 你用这个不负责了。
[21:45.160] 也跟你没关系没关系这两码事，这个只不过是你在我这修车，我就用这个给你点钱，给你1000万你能
[21:52.530] 你2500块钱简单一点共计3000，觉得这个不会单独，因为你用了这个了，你的保费给你打，
[22:00.280] 不会的，跟他一点关系都没有，你这修车有风范没有？
[22:05.240] 只要我想听说，不管你从哪都必须得走保险，对，前提是必须得走保险了，一个要求。
[22:11.320] 两个要求还得等15天，比如说你今天办了这个了，
[22:15.940] 如果说你立刻马上就能修，你得等15天15天以后才能过来，比如说你的钱让拿出才能报保险修车，
[22:24.390] 可能
[22:26.360] 而且它能量
[22:27.920] 不管是全责还是无魔，
[22:30.500] 啥意思？
[22:32.370] 全责就是咱们自己开车碰东西，
[22:35.100] 什么蹭裤子，凤翔送到别人车，这都是
[22:41.090] 就是说你走保险他给你钱，
[22:43.750] 无责什么意思？比如说我开车管理层，我自己开车怕我100万班车了，走到我的保险跟你一点关系都没有，
[22:50.800] 但是来在这里停车了，这钱也剩了，也没有任何的其他的限制。
[22:57.510] 陆游饭店安排修完车，然后应该是在一周就打到卡里，
[23:05.360] 你就说完了以后，你给他提供一个银行账号。
[23:09.120] 对来电给了他钱转到
[23:13.830] 而且
[23:16.860] 然后一般平安的太平洋
[23:20.170] 因为这是跟保险公司合作的，保险公司给他们
[23:23.160] 一般平安的一周左右，
[23:26.570] 但是太平洋的有可能就得照着
[23:29.160] 半个月等等
[23:31.840] 都不一样，选择他们的办事的速度怎么那些这样。
[23:36.320] 对，因为平安会做事儿。
[23:38.680] 你看上回修车我给你反馈那钱收到了吗了，您享受保险吧。
[23:44.970] 人家会不没事，不像前面杨娜公司
[23:49.340] 比较大的。
[23:51.490] 行，明白了。
[23:53.120] 对，您看看比较合适的东西。
[24:00.040] 我说的这些前提都是你想说
[24:03.760] 你想搜索的，
[24:06.720] 比如说不走不休，
[24:13.170] 几个小时，
[25:21.520] 你有钱有钱。
[25:23.590] 有钱，
[25:25.630] 客户开始
[25:28.260] 两
[25:32.940] 刚才
[25:34.500] 我问问他，
[25:36.040] 谁知
[25:40.440] 场
[25:47.430] 数据
[25:49.440] 二
[25:50.160] 号
[25:51.710] 的
[25:54.200] 数据。
[25:56.500] 数据
[25:58.830] 的
[26:00.880] 谁知
[26:02.950] 后面
[26:04.060] 提高这两三角形，
[26:05.720] 北京有三个左右。
