[00:01.020] 车里别搁任何贵重行，没有任何自认为是吧？贵重物品我不动车我做静态评估，
[07:47.840] 不要了市场的。
[07:50.390] 知道了吧，说话不咋地。
[07:53.360] 我的特色
[07:57.010] 我这A就是车祸咋地，
[07:58.970] 没办法。
[08:00.670] 有知道吧？
[08:03.300] 这里的报告没做完。
[08:05.910] 是这车吗？
[08:07.890] 这是谁拍的？
[08:14.770] 反正当时没拍叫朱什么球队，对就。
[08:18.960] 为什么当时报告没做完，那就估计没拍没什么就行了，那就查去行了。
[08:24.400] 了。
[09:17.390] 今天只做一个
[09:19.660] 尽快检测，你尽快
[09:22.270] 静态评估，
[09:24.040] 看完以后我一会给你查一个市场均值，您先参考。
[09:27.650] 下次过来会有一个动态检测，是要市民的发动机变速箱，包括车体结构，
[09:34.000] 就验证您所有的叫发动机变速箱车有没有什么问题，
[09:38.320] 这个是需要在园区里试驾，您的车
[09:41.610] 车试驾时间差不多也20分钟左右，
[09:44.800] 这个过程是需要您全程陪同，同时您还是带着行驶本跟车辆手续车的，不要喝任何卫生物品，
[09:53.960] 在我试驾之前有许多你提前告诉我开你车有什么效果注意的，
[10:00.420] 等试驾回来验证完所有问题回来以后，我会有一个合同价格，
[10:05.440] 您同意的话我能当天给签约的价格，
[10:08.580] 但我这个价格是有时效性的，我们现在是当天有效，
[10:13.740] 以前会保留三个工作日到一周时间，现在基本都难免有效。
[10:19.140] 还是我们评估让我下次还是我
[10:35.480] 车我看完了，我跟你说一下，大概我一会去查查价格，去查完价格以后，王大雄告诉您价格您先参考。
[10:42.840] 因为现在是就做一个静态评估，如果您觉得差不多了，下次带过来以后，
[10:48.400] 我会是发动机变速箱的，就是查一下没问题，你是先穿了以后查车体结构，
[10:54.070] 没什么大问题，跟今天的价格在短期内电话不是你刚才说的有道理，
[11:00.740] 因为它是动产，我要觉得D我自个住一夜，对。
[11:04.840] 我觉得合适，
[11:06.140] 我就图一省心。
[11:07.990] 还有您最初你也问问有没有什么心理价位，因为你随便是
[11:13.970] 我这车
[11:15.380] 刚才射到繁昌，
[11:17.060] 我车子没洗车吗？这边这车我不能洗，但是在地库里搁着他，他不会差这多少弄坏。
[11:24.790] 还有我跟您说了，因为咱也是为了卖新车，
[11:28.640] 您跟着我价格报完以后，您跟大勋沟通一下，如果说跟着心的价位或有什么偏差，我这边可以让我们系统看能不能调整，如果行了您少麻烦。
[11:39.580] 如果实在人在步行对错你的收益合适的对吧？因为我们现在是按市场行情上面是这车啥毛病没有，我都自己开车跑10
[11:49.910] 十十四五万公里15万多的对。
[11:53.440] 你看我一直这么多年我一直就不怎么开，你知道
[11:57.240] 就跟开别的车，有时候因为像他现在是这样的，旧旧车是第一知名品牌，那就属于相对比较保值的品牌。
[12:04.930] 但有一个因素是什么年份？它是12年的车，对12年的车了，年费几个是08年的还。
[12:11.710] 还有一个因素代码，还有一个就是现在新车卖的忒便宜了，奥迪现在就降价降的太多了，所以它对机动车影响特别大，而且我的车这4条拍都是新的。
[12:21.480] 好的，您先看新车，我这边就能查查完，到时候告诉您咱您来综合好吧？好勒。
[12:30.870] 吗。
